"L1","Output11","L2","L3","L4","L5","L6","L7","L8","L9","L10","L11"
6.722,"Class1",77.534,48.747,"Z",75.801,65,"J",58,17.56,42.421,40
81.631,"Class3",94.847,30.934,"E",30.161,55,"W",37,72.56,71.711,97
70.068,"Class3",89.823,33.01,"U",49.769,36,"J",34,64.408,85.045,88
12.69,"Class1",47.732,44.182,"I",65.393,64,"Q",76,20.967,52.991,57
83.909,"Class3",76.145,30.286,"R",35.123,19,"F",55,73.606,60.981,89
76.497,"Class3",86.739,28.287,"E",49.625,23,"F",33,73.407,31.816,84
75.462,"Class3",69.846,21.839,"R",51.452,46,"W",29,58.659,52.043,87
72.316,"Class3",83.622,37.095,"E",58.864,19,"J",36,65.28,94.996,97
88.117,"Class2",62.436,59.465,"Y",58.679,37,"H",70,25.188,50.274,59
24.781,"Class1",52.233,19.054,"Z",62.883,63,"J",55,9.553,21.174,69
89.208,"Class2",50.583,53.04,"S",63.129,46,"H",74,NA,32.825,59
89.698,"Class2",51.457,56.611,"S",61.975,45,"I",74,84.773,59.38,57
75.396,"Class3",83.486,32.342,"E",75.786,61,"J",23,74.196,85.141,89
20.281,"Class1",47.442,40.318,"Z",62.522,64,"K",73,6.414,63.759,76
73.557,"Class3",78.121,27.265,"L",30.474,58,"A",17,66.268,61.074,86
89.462,"Class2",52.428,57.447,"K",56.781,41,"M",74,92.496,51.525,57
41.916,"Class1",19.061,46.883,"U",72.614,64,"K",4,20.502,63.135,46
12.961,"Class1",18.983,20.189,"U",54.353,63,"K",19,13.513,51.951,11
88.995,"Class2",67.66,56.657,"A",58.599,32,"C",72,77.008,46.244,58
36.051,"Class1",62.464,41.153,"Z",61.303,64,"Y",70,4.648,68.078,92
6.793,"Class1",68.984,20.809,NA,80.96,63,"Q",55,15.707,40.974,45
31.94,"Class1",25.569,21.897,NA,83.358,63,"K",53,13.667,37.578,19
24.875,"Class1",74.864,47.817,"A",47.74,64,"J",21,NA,55.282,92
69.941,"Class3",91.599,27.305,"U",51.778,28,"W",30,67.038,59.212,97
71.291,"Class3",81.022,34.793,"U",65.888,39,"J",37,69.609,15.588,87
71.392,"Class3",93.703,45.033,"E",78.584,23,"W",57,72.061,69.197,88
32.211,"Class1",81.927,51.929,"F",51.013,65,"Q",35,15.339,56.702,13
12.909,"Class1",34.209,61.545,"U",58.089,63,"Y",55,13.502,62.438,60
22.346,"Class1",43.898,45.521,"A",62.515,64,"L",33,NA,50.573,60
26.76,"Class1",33.333,22.089,"I",70.288,64,"K",65,15.782,31.378,7
88.732,"Class2",72.867,48.076,"A",59.778,45,"H",68,70.971,58.72,60
89.066,"Class2",43.623,54.982,"Y",58.13,33,"C",72,62.522,42.114,60
15.712,"Class1",85.436,60.428,"I",76.643,65,"J",63,2.661,65.042,58
86.922,"Class2",60.054,64.971,"S",61.194,47,"C",74,71.754,56.774,57
88.948,"Class2",55.809,53.281,"R",61.848,42,"I",74,75.294,40.559,60
74.295,"Class3",95.652,37.635,"R",60.591,34,"F",36,NA,65.162,91
39.231,"Class1",24.686,32.12,"Z",48.891,63,"Q",70,18.907,51.588,84
20.57,"Class1",20.348,0.305,"U",63.844,63,"J",67,15.073,23.217,58
29.097,"Class1",10.981,40.714,"F",42.748,65,"Y",6,3.955,59.653,38
78.038,"Class3",75.753,28.596,"U",37.83,58,"S",52,74.812,77.167,91
69.244,"Class3",68.384,32.668,"L",57.277,40,"W",19,56.65,48.024,96
75.134,"Class3",93.325,34.192,"R",47.202,35,"F",31,74.526,61.746,88
67.437,"Class3",63.505,43.025,"R",43.606,56,"J",32,60.177,38.956,93
74.392,"Class3",78.638,30.284,"E",75.211,32,"W",26,57.507,65.348,97
81.518,"Class3",82.376,31.468,"U",47.143,18,"W",52,68.665,52.855,97
20.728,"Class1",70.646,16.166,"U",74.547,65,"J",71,5.356,47.015,79
87.346,"Class2",40.445,56.462,"S",62.131,48,"M",71,18.677,43.061,57
84.903,"Class3",87.872,29.099,"R",28.381,60,"W",43,72.248,28.784,95
87.796,"Class2",52.364,56.951,"Y",63.191,37,"M",68,35.96,56.309,60
79.634,"Class3",93.465,29.401,"U",57.577,49,"J",42,60.946,46.467,96
88.247,"Class2",42.395,51.392,NA,61.638,42,"O",70,56.312,47.516,57
68.247,"Class3",84.487,39.236,"L",61.048,22,"F",33,72.807,52.037,90
70.497,"Class3",66.486,26.542,"U",61.833,47,"J",26,61.314,58.701,91
17.682,"Class1",23.999,40.028,"A",55.208,65,"K",80,5.641,19.691,40
43.835,"Class1",10.508,30.78,"A",66.886,64,"K",61,22.947,29.404,8
14.994,"Class1",61.661,5.125,"U",59.118,65,"K",68,14.111,48.713,69
25.608,"Class1",68.317,27.238,"A",78.42,65,"K",49,14.15,32.461,61
90.338,"Class2",72.627,49.814,"A",58.176,41,"M",69,26.895,31.769,57
88.282,"Class2",50.461,51.207,"Y",64.369,36,"I",72,71.777,43.981,57
37.676,"Class1",86.124,46.8,"F",46.309,63,"K",34,21.142,66.735,69
28.013,"Class1",66.588,68.415,"I",67.285,64,"J",38,20.786,43.368,23
80.81,"Class3",93.243,33.68,"E",75.469,30,"S",25,68.595,62.839,94
76.998,"Class3",91.591,40.757,"C",57.565,44,"W",20,62.306,80.795,93
89.772,"Class2",44.953,59.163,"Y",60.311,36,"I",72,23.48,35.359,57
88.7,"Class2",64.365,46.05,"A",61.494,48,"C",73,73.766,52.607,57
16.603,"Class1",17.079,70.282,"F",51.493,64,"L",41,5.012,31.521,78
73.771,"Class3",95.293,37.995,"R",57.7,46,"W",36,74.552,12.046,85
88.558,"Class2",47.726,58.458,"K",57.974,50,"I",72,52.38,32.877,58
16.395,"Class1",45.105,36.911,"I",58.824,64,"K",81,12.999,65.292,19
91.148,"Class2",39.4,55.184,"A",60.002,35,"H",70,26.219,58.741,60
27.56,"Class1",46.806,26.184,"A",42.205,65,"Y",26,12.597,61.797,56
23.812,"Class1",23.158,37.259,"A",48.792,64,"J",45,11.594,49.464,36
51.069,"Class1",50.464,52.252,"U",60.549,64,"J",34,20.098,60.362,56
88.677,"Class2",43.951,60.428,"R",57.502,47,"M",70,2.911,56.552,57
25.513,"Class1",81.816,34.12,"A",96.036,64,"K",23,12.064,43.182,12
88.707,"Class2",70.853,47.963,"K",64.619,42,"H",69,24.486,62.853,57
74.111,"Class3",90.635,30.342,"E",87.718,20,"F",44,70.444,61.769,94
88.607,"Class2",56.97,63.72,"A",65.159,49,"M",73,24.636,47.116,59
33.761,"Class1",28.049,55.428,"Z",61.26,64,"J",82,7.287,63.662,8
25.945,"Class1",69.75,37.48,"I",93.55,65,"Q",68,22.366,57.603,34
83.074,"Class3",80.471,33.265,"L",42.756,58,"A",42,66.334,75.661,97
63.849,"Class3",83.475,49.777,"C",52.146,18,"S",23,73.716,35.838,91
26.213,"Class1",80.368,36.17,"F",68.174,63,"Q",50,10.98,39.298,36
89.653,"Class2",58.672,59.085,"K",60.681,36,"M",73,58.323,44.972,60
70.058,"Class3",76.288,52.17,"U",71.687,28,"W",41,59.397,91.459,86
68.153,"Class3",74.811,40.601,"R",63.409,44,"A",26,60.872,58.945,85
78.191,"Class3",87.616,43.348,"E",48.931,42,"F",22,61.359,55.754,84
31.934,"Class1",59.167,62.608,"U",77.467,64,"J",10,8.664,56.175,77
89.496,"Class2",55.278,53.284,"Y",60.222,49,"H",71,NA,55.546,59
29.91,"Class1",60.086,35.689,"Z",66.137,64,"Y",43,21.653,18.301,82
88.586,"Class2",50.718,58.392,"S",60.738,47,"H",70,20.561,52.323,60
72.428,"Class3",84.336,44.217,"C",76.006,55,"A",28,55.582,60.942,90
88.558,"Class2",45.257,55.716,"Y",63.654,48,"I",74,4.235,40.704,57
40.832,"Class1",71.561,25.2,"I",81.151,65,"K",83,13.114,60.181,83
76.816,"Class3",69.812,55.234,"U",38.966,39,"J",16,67.679,25.673,86
25.949,"Class1",40.095,8.446,"A",66.296,65,"L",32,18.73,63.4,41
89.634,"Class2",60.353,58.588,"S",62.595,48,"C",72,57.605,62.703,57
89.114,"Class2",61.685,61.251,"Y",58.16,43,"C",71,92.529,32.239,59
77.682,"Class3",81.212,36.279,"U",50.161,58,"F",45,57.794,88.369,97
23.197,"Class1",80.743,42.432,"A",55.772,64,"Y",57,13.776,67.263,29
88.976,"Class2",50.288,53.904,"A",58.372,49,"O",73,6.021,43.553,60
88.69,"Class2",63.893,59.71,NA,59.104,44,"M",71,72.145,36.962,60
87.82,"Class2",62.042,48.233,"A",60.151,50,"M",68,50.184,52.927,57
13.203,"Class1",52.079,54.153,"U",66.07,63,"K",60,21.307,68.828,39
14.589,"Class1",75.978,56.489,"F",56.325,65,"Y",58,4.884,29.925,39
17.6,"Class1",84.111,43.33,NA,68.811,64,"Y",61,18.638,27.795,8
62.878,"Class3",82.99,15.619,"R",45.449,29,"A",12,55.011,14.615,96
87.766,"Class2",62.918,61.893,"K",60.842,40,"O",70,19.766,59.891,60
87.408,"Class2",57.718,61.204,"A",58.299,35,"I",68,34.573,59.395,60
89.006,"Class2",49.52,43.555,"R",60.249,32,"O",68,19.286,43.026,60
80.837,"Class3",88.267,26.754,"U",45.961,25,"A",11,74.465,82.244,91
71.174,"Class3",64.023,29.408,"C",51.179,20,"W",33,56.29,94.504,95
88.888,"Class2",59.257,60.503,"Y",60.227,44,"H",71,68.414,33.701,60
20.009,"Class1",70.15,32.291,"Z",76.925,63,"K",74,3.4,31.551,46
66.119,"Class3",62.009,32.59,"E",28.784,29,"A",57,NA,57.852,91
90.35,"Class2",42.15,55.555,"K",65.487,40,"O",71,61.808,62.617,57
41.241,"Class1",86.276,62.117,"F",66.679,64,"K",47,13.237,35.13,78
62.833,"Class3",70.911,47.286,"L",56.366,31,"J",23,59.393,40.673,85
87.885,"Class2",51.086,56.109,"K",63.406,36,"H",70,92.688,54.082,59
17.611,"Class1",59.592,50.424,"F",80.712,64,"K",29,18.107,60.357,75
14.879,"Class1",10.22,16.232,"U",67.787,65,"J",34,19.104,24.706,51
89.569,"Class2",71.981,63.906,"R",60,39,"M",72,30.461,62.099,59
78.842,"Class3",93.192,45.358,"L",63.774,22,"S",28,63.023,90.263,89
27.761,"Class1",32.896,42.22,"U",71.06,63,"L",13,2.327,24.499,49
17.027,"Class1",8.949,47.839,"Z",78.658,63,"Y",39,17.721,65.489,42
79.427,"Class3",65.148,31.948,"E",59.875,18,"A",32,58.416,37.434,97
41.905,"Class1",48.89,15.779,"U",82.985,65,"J",64,15.481,32.363,49
85.155,"Class3",80.951,26.427,"E",65.75,61,"J",13,68.808,70.888,85
22.424,"Class1",24.723,45.758,NA,57.902,65,"K",78,NA,69.734,85
14.958,"Class1",85.915,70.224,"I",47.293,64,"K",70,9.376,33.211,86
76.057,"Class3",85.182,40.526,"E",49.751,53,"S",29,73.738,70.39,90
89.082,"Class2",72.038,54.312,"A",55.386,43,"M",71,81.256,52.807,57
89.631,"Class2",52.306,53.353,"A",61.178,42,"C",70,88.341,44.245,59
87.044,"Class2",44.87,46.468,"S",60.528,47,"O",74,31.505,63.305,59
69.177,"Class3",73.189,46.372,"R",49.037,40,"F",22,67.169,73.262,89
87.643,"Class2",57.971,60.196,"A",57.713,38,"O",70,90.532,33.706,60
23.719,"Class1",32.075,51.085,"F",83.935,63,"J",46,14.81,43.533,84
77.74,"Class3",93.69,36.86,"L",50.118,46,"A",24,66.013,83.953,88
89.171,"Class2",41.127,52.427,"K",60.687,50,"M",69,10.121,46.548,59
86.479,"Class2",57.52,49.351,"S",60.425,38,"O",68,46.992,53.737,59
21.646,"Class1",22.331,37.668,"I",64.86,63,"L",29,11.762,50.685,79
64.931,"Class3",86.117,50.474,"U",86.625,56,"J",57,62.357,70.613,88
70.745,"Class3",69.08,25.061,"C",68.836,58,"F",54,64.735,29.357,87
39.109,"Class1",83.319,30.516,"U",63.22,63,"K",35,14.591,49.367,58
81.63,"Class3",67.682,45.734,"L",51.952,55,"S",34,66.272,81.723,97
74.839,"Class3",77.785,33.905,"C",65.132,52,"A",47,66.232,69.555,95
86.639,"Class2",51.216,61.897,"Y",63.989,34,"H",71,67.925,34.325,57
89.361,"Class2",51.899,47.912,"R",57.403,33,"I",72,8.711,60.67,57
30.372,"Class1",85.05,41.894,"U",75.198,65,"Q",6,20.308,63.039,47
24.428,"Class1",18.667,53.871,"Z",71.058,64,"J",29,8.184,55.157,49
71.148,"Class3",75.142,34.84,"C",47.628,49,"J",15,74.812,27.954,90
82.78,"Class3",84.538,29.743,"E",56.544,33,"W",11,NA,35.057,92
71.441,"Class3",88.19,31.012,"C",87.588,40,"J",32,67.412,15.155,95
84.058,"Class3",62.918,32.569,NA,69.456,55,"W",47,62.488,58.412,94
67.837,"Class3",85.352,17.034,"R",35.507,46,"A",39,67.053,64.934,92
83.516,"Class3",92.804,40.426,"L",73.119,59,"F",13,59.521,86.08,93
25.811,"Class1",72.786,22.858,"A",61.603,63,"L",32,21.39,41.641,16
74.127,"Class3",71.116,8.69,"L",79.803,54,"J",11,74.278,63.022,87
90.134,"Class2",65.084,55.776,"Y",62.358,40,"O",68,NA,43.179,59
76.654,"Class3",84.248,41.482,"L",54.145,30,"A",20,61.623,63.706,84
87.075,"Class2",59.37,57.754,"R",60.653,49,"O",72,72.9,40.774,57
30.461,"Class1",32.006,36.359,"F",65.65,65,"Y",77,15.488,25.7,81
27.364,"Class1",37.673,28.098,"U",63.038,65,"L",44,22.484,44.451,26
31.333,"Class1",11.178,36.954,"I",42.426,64,"K",56,8.413,63.399,7
29.67,"Class1",44.827,38.553,"Z",68.876,63,"K",48,10.652,43.595,19
89.322,"Class2",39.562,60.822,"A",62.147,50,"O",69,87.728,62.977,60
67.03,"Class3",73.156,24.853,"E",46.45,25,"J",20,70.866,52.497,95
89.434,"Class2",54.041,54.619,"R",61.468,32,"C",71,37.721,41.94,59
14.038,"Class1",80.434,44.122,"Z",77.488,63,"L",75,9.962,42.979,28
88.501,"Class2",65.739,59.297,"S",60.94,42,"H",72,30.501,55.016,58
74.62,"Class3",66.523,32.463,"E",46.696,25,"J",30,69.38,49.634,88
73.092,"Class3",73.41,38.791,"U",64.478,48,"W",38,70.865,54.025,93
26.418,"Class1",67.217,46.19,NA,67.532,63,"K",29,18.363,29.036,46
88.826,"Class2",41.204,64.151,"A",61.165,43,"I",74,44.343,56.672,58
75.466,"Class3",67.084,30.124,"L",59.968,47,"F",46,67.884,51.949,85
86.904,"Class2",43.349,53.516,"K",64.772,36,"H",71,66.162,37.697,57
77.925,"Class3",83.634,17.92,"C",65.189,28,"W",39,56.167,44.41,86
86.834,"Class2",54.408,57.031,"K",60.531,39,"C",73,42.778,60.813,57
89.263,"Class2",63.887,57.773,"K",61.459,41,"M",71,90.806,57.846,58
89.123,"Class2",61.584,56.81,"S",61.642,35,"C",73,44.262,60.002,60
40.685,"Class1",12.832,32.766,"F",42.087,65,"J",76,20.063,64.927,58
88.741,"Class2",45.989,59.492,NA,59.101,40,"O",70,7.757,33.428,59
88.504,"Class2",53.388,53.478,"R",60.359,41,"H",71,15.408,37.148,58
87.114,"Class2",61.195,55.136,NA,58.04,38,"H",69,45.424,58.919,60
87.802,"Class2",65.673,51.966,"S",58.852,39,"M",72,67.475,47.744,60
88.574,"Class2",61.533,62.456,"R",59.363,35,"H",69,NA,52.511,60
76.644,"Class3",76.829,44.202,NA,74.981,34,"A",11,NA,24.966,91
18.427,"Class1",75.477,37.582,"U",59.043,64,"L",52,12.637,43.562,7
89.432,"Class2",44.336,54.411,"S",57.274,44,"C",71,32.084,45.233,59
86.373,"Class2",71.56,57.886,"S",60.422,47,"O",69,56.686,39.939,57
73.968,"Class3",70.038,37.881,"E",59.945,26,"A",45,68.607,16.239,91
10.781,"Class1",56.719,13.219,"I",74.471,64,"K",42,18.509,20.344,79
65.371,"Class3",67.658,29.275,"C",31.312,51,"W",42,66.931,57.358,96
6.287,"Class1",36.475,29.784,"A",58.048,65,"J",24,16.949,50.217,69
90.366,"Class2",62.998,52.498,"R",59.332,39,"C",73,90.562,62.858,59
80.889,"Class3",74.668,30.978,"L",67.359,23,"F",17,74.203,18.596,86
78.863,"Class3",95.163,18.133,"E",45.883,52,"W",16,66.584,40.722,90
73.787,"Class3",82.738,34.052,"U",41.534,40,"J",45,72.295,25.568,96
31.347,"Class1",60.407,54.351,"F",75.344,63,"J",56,5.521,28.844,7
73.486,"Class3",77.617,36.056,NA,50.099,36,"S",19,74.342,33.703,92
87.628,"Class2",42.941,52.428,"R",57.565,50,"M",69,75.47,35.025,57
87.908,"Class2",59.974,45.657,"Y",62.651,47,"I",70,24.197,36.072,60
19.549,"Class1",45.961,16.172,"I",64.162,65,"Y",59,5.698,30.107,72
30.8,"Class1",28.931,68.329,"A",89.091,63,"J",11,4.825,45.413,43
79.997,"Class3",77.848,35.63,"U",51.277,41,"S",17,71.31,51.46,87
70.863,"Class3",73.441,26.528,"E",37.042,32,"J",30,62.232,91.707,85
77.531,"Class3",77.263,45.528,"E",36.926,53,"A",25,67.322,87.402,86
26.151,"Class1",69.623,53.008,"F",95.525,65,"J",22,20.822,26.085,55
87.454,"Class2",43.978,55.505,"K",59.64,36,"O",71,41.018,42.237,57
42.105,"Class1",80.66,69.632,"I",53.021,64,"Q",30,8.7,57.674,17
20.855,"Class1",78.164,39.723,"U",47.888,63,"J",60,NA,28.176,7
35.329,"Class1",13.761,59.616,"Z",49.911,63,"L",58,20.366,54.425,48
43.127,"Class1",73.935,58.387,"I",50.805,63,"J",78,4.14,69.579,12
75.06,"Class3",93.49,32.481,"L",49.429,57,"S",48,70.174,64.656,91
84.878,"Class3",81.423,27.836,"R",58.546,32,"S",27,60.346,25.378,85
66.036,"Class3",80.556,18.65,"U",67.289,55,"F",11,NA,38.964,88
27.962,"Class1",80.841,46.378,"F",54.837,64,"L",30,13.993,32.706,29
24.866,"Class1",40.859,48.014,"A",60.604,64,"K",26,3.973,60.082,35
7.344,"Class1",70.587,31.429,"U",52.457,64,"L",43,7.054,62.975,88
43.245,"Class1",64.264,40.097,"A",57.719,65,"Q",80,18.241,44.392,64
79.499,"Class3",90.709,35.014,"R",49.4,24,"A",12,71.644,16.724,95
87.999,"Class2",44.224,63.63,"K",62.298,48,"M",69,75.613,47.514,60
82.527,"Class3",86.938,20.678,"U",77.896,52,"S",51,56.257,84.563,86
87.668,"Class2",47.103,56.751,"A",60.967,41,"M",68,30.941,33.061,59
88.698,"Class2",62.139,40.772,"K",62.367,40,"C",69,12.319,31.401,60
87.142,"Class2",67.327,57.53,"K",60.623,32,"I",73,21.765,46.977,57
86.931,"Class2",58.309,59.371,"K",60.949,51,"H",68,10.404,32.843,57
70.647,"Class3",89.283,36.017,"E",87.059,29,"F",30,69.064,82.304,92
28.844,"Class1",60.695,30.175,"Z",62.45,63,"L",9,19.52,43.643,17
83.416,"Class3",84.325,37.306,"L",92.421,28,"W",28,66.61,36.146,93
77.365,"Class3",72.777,35.585,"U",48.749,33,"A",20,57.031,49.91,89
89.505,"Class2",58.296,57.69,"Y",59.077,35,"H",70,86.152,47.212,57
13.114,"Class1",82.996,48.207,"I",82.369,64,"J",25,17.356,62.682,47
72.637,"Class3",85.017,19.246,"C",55.169,23,"J",49,60.659,37.466,94
88.252,"Class2",69.655,56.089,"A",59.727,44,"I",68,24.657,36.106,58
88.83,"Class2",44.778,54.598,"Y",59.947,43,"I",70,15.034,61.066,59
86.57,"Class2",47.775,62.785,"S",64.289,48,"O",69,57.086,41.227,58
76.749,"Class3",89.348,22.065,"R",66.035,55,"J",40,59.888,70.581,93
81.059,"Class3",79.813,39.898,"U",68.988,57,"F",54,71.433,55.591,84
88.88,"Class2",39.773,57.101,"Y",60.489,40,"M",74,61.256,50.957,60
89.115,"Class2",52.998,49.741,"R",61.76,40,"C",70,18.488,32.894,57
9.297,"Class1",30.564,51.466,"I",60.541,65,"L",54,9.624,38.087,89
89.242,"Class2",67.024,52.939,"S",60.897,43,"H",73,72.243,41.817,60
26.344,"Class1",60.791,15.076,"Z",68.882,64,"J",48,8.306,56.4,49
73.735,"Class3",87.195,39.503,"C",55.862,53,"W",42,73.128,52.418,90
73.896,"Class3",94.695,29.748,"L",49.012,32,"F",10,67.321,43.012,84
84.62,"Class3",80.755,29.007,"E",65.732,55,"J",26,60.134,83.148,92
87.896,"Class2",60.237,55.136,"S",64.53,41,"H",68,16.904,42.873,57
88.258,"Class2",62.261,56.168,"S",59.261,51,"O",72,10.828,59.294,60
88.127,"Class2",66.729,57.622,"K",64.639,46,"M",69,4.634,63.587,60
20.908,"Class1",23.982,20.59,NA,62.99,64,"Y",19,4.591,59.459,80
88.729,"Class2",40.134,46.959,"R",60.119,36,"M",71,54.616,61.781,60
25.413,"Class1",29.47,14.278,"F",51.339,63,"J",34,6.128,42.336,49
31.955,"Class1",58.428,48.508,"A",60.758,63,"Q",56,21.958,33.805,74
13.574,"Class1",19.297,29.798,"A",56.951,65,"Y",41,22.988,43.843,71
84.685,"Class3",81.842,16.715,"C",65.045,32,"W",50,60.77,44.91,92
89.745,"Class2",60.266,58.581,"K",66.105,50,"H",74,9.267,51.694,58
88.696,"Class2",67.509,56.549,"Y",61.624,33,"O",74,40.742,41.238,57
75.106,"Class3",85.984,38.931,"R",61.427,28,"F",46,58.378,20.755,93
14.007,"Class1",62.547,37.458,"A",58.814,63,"L",41,12.417,20.698,64
22.168,"Class1",70.983,53.173,"A",62.611,65,"K",23,17.035,57.506,7
87.014,"Class2",40.751,59.768,"R",61.399,34,"C",70,38.783,34.842,58
88.433,"Class2",48.433,55.474,NA,62.285,36,"C",69,85.608,33.687,58
88.488,"Class2",60.911,53.477,"S",64.946,39,"H",70,1.336,32.136,58
73.291,"Class3",71.568,27.158,"C",55.842,51,"S",22,63.686,13.144,93
21.332,"Class1",62.876,31.495,"Z",73.508,64,"K",75,13.592,55.182,31
79.027,"Class3",91.876,36.601,"C",56.261,40,"W",36,70.784,33.634,90
32.155,"Class1",75.939,8.002,"F",68.438,63,"J",75,NA,60.907,67
68.604,"Class3",61.959,35.207,"U",52.047,44,"A",12,58.37,90.847,85
28.1,"Class1",84.682,32.866,NA,72.792,65,"L",10,3.117,38.854,22
27.854,"Class1",86.383,29.793,"Z",63.159,64,"L",79,14.67,37.909,78
11.923,"Class1",54.109,21.078,NA,82.75,63,"Y",39,5.22,64.046,9
26.626,"Class1",67.754,20.924,"F",55.433,63,"Q",38,18.055,37.676,32
91.416,"Class2",56.558,62.994,"S",63.149,36,"C",73,73.443,46.353,59
32.307,"Class1",40.195,61.427,"U",84.531,65,"Q",35,19.14,18.778,51
29.426,"Class1",15.152,42.804,"F",67,64,"L",57,NA,67.208,88
31.348,"Class1",35.319,60.005,"I",64.067,64,"K",75,2.147,40.6,32
87.68,"Class2",57.652,63.452,"Y",57.476,47,"O",74,36.618,37.898,58
82.129,"Class3",84.62,27.884,"L",40.57,30,"F",53,58.925,75.299,91
90.733,"Class2",67.59,54.579,"K",61.216,46,"O",70,81.636,42.42,58
69.482,"Class3",63.291,16.809,"U",63.596,24,"A",56,64.501,44.094,87
88.197,"Class2",50.566,60.182,"A",61.374,32,"M",73,17.378,37.109,57
87.176,"Class2",44.964,48.268,"R",60.39,39,"O",71,29.534,32.575,57
31.495,"Class1",58.312,41.307,"I",72.171,64,"K",21,20.354,30.591,66
90.471,"Class2",51.671,50.191,NA,59.009,48,"C",68,30.263,59.543,57
87.924,"Class2",58.727,62.467,"Y",62.161,41,"H",68,66.316,53.305,60
15.633,"Class1",63.593,60.933,"U",66.696,65,"Y",79,14.355,18.336,34
88.601,"Class2",44.53,55.847,"S",62.641,37,"O",74,33.762,35.909,57
88.835,"Class2",42.545,44.679,"Y",61.763,32,"C",70,28.926,46.097,57
88.003,"Class2",47.032,55.116,NA,62.045,46,"I",68,78.383,32.122,59
33.004,"Class1",16.057,20.941,"U",52.396,65,"J",6,20.137,61.062,81
22.067,"Class1",78.793,24.724,"A",79.337,63,"L",26,19.733,17.43,60
31.646,"Class1",20.042,36.766,"A",53.712,65,"Q",46,4.491,31.736,75
30.753,"Class1",45.418,44.655,"Z",47.973,65,"Y",62,10.23,57.125,43
44.729,"Class1",67.394,50.642,"I",75.6,65,"J",46,4.264,55.03,76
88.709,"Class2",42.108,57.867,"A",60.812,49,"I",71,44.421,40.26,59
88.187,"Class2",68.193,50.77,"S",57.352,39,"I",69,35.867,46.673,60
33.189,"Class1",45.077,49.878,"U",63.886,64,"Y",38,10.292,39.208,28
82.458,"Class3",79.724,41.383,"L",45.864,40,"J",23,69.254,47.439,96
86.968,"Class2",58.91,55.415,"A",61.738,34,"O",69,NA,61.579,60
12.246,"Class1",8.476,77.103,"A",50.106,63,"K",33,NA,26.299,40
88.196,"Class2",51.244,58.535,"R",58.616,35,"M",73,13.385,48.673,60
88.976,"Class2",63.738,55.077,"A",61.325,51,"M",68,73.455,40.572,57
68.483,"Class3",74.636,43.189,"L",89.325,38,"F",50,72.348,73.737,90
74.919,"Class3",90.303,39.152,"R",85.688,24,"F",57,57.413,39.452,85
14.691,"Class1",30.69,43.434,NA,64.29,64,"J",32,15.044,32.293,73
73.991,"Class3",72.863,48.209,"E",59.903,21,"S",35,62.124,29.587,92
22.005,"Class1",85.332,50.404,"A",52.256,63,"L",19,21.006,57.13,39
17.011,"Class1",22.498,7.765,"A",50.508,64,"K",17,9.747,27.492,54
74.841,"Class3",63.621,42.999,NA,56.247,49,"S",25,57.739,18.921,91
75.067,"Class3",94.742,45.788,"L",38.914,38,"A",41,62.557,41.974,97
82.138,"Class3",67.288,30.286,"R",49.438,47,"J",29,69.562,49.576,92
33.962,"Class1",9.268,38.025,"U",66.544,65,"Q",30,12.442,33.824,30
82.522,"Class3",62.405,24.216,"L",43.275,56,"W",34,59.557,17.439,89
