"N1","N2","N3","N4","N5","N6","N7","N8","N9","Output13","N10","N11"
51.203,75.087,47,75.078,"R",19,75.954,76.809,"O","Class2",45,71.4
54.937,73.661,68,71.196,"O",22,75.07,68.884,"E","Class2",82,71.719
47.847,88.318,65,70.276,"N",19,75.038,74.032,"G","Class2",42,69.77
52.432,50.277,71,72.533,"O",24,75.066,76.662,"B","Class2",24,70.47
25.99,49.277,50,6.473,"W",84,84.426,35.753,"Q","Class1",76,59.184
24.539,44.413,54,15.042,"W",74,83.383,23.943,"Q","Class1",74,28.855
41.508,47.013,50,70.285,"O",22,75.63,71.045,"C","Class2",74,67.845
44.168,59.146,59,15.151,"R",96,86.145,20.425,"A","Class1",73,53.928
48.68,62.618,65,68.925,"N",16,75.533,80.226,"B","Class2",73,76.449
46.112,63.01,51,68.566,"N",24,75.488,88.057,"B","Class2",27,64.896
56.212,50.97,54,16.216,"U",95,76.41,66.379,"G","Class1",73,11.044
20.551,43.075,59,10.147,"U",82,89.429,78.266,"Z","Class1",78,107.291
90.724,56.027,53,16.936,"X",74,75.449,18.591,"Q","Class1",78,55.995
37.269,66.688,50,NA,"W",91,89.819,66.251,"A","Class1",78,49.409
53.819,69.354,47,66.547,"J",24,75.492,82.254,"G","Class2",26,64.987
48.872,63.9,55,11.498,"U",94,79.204,30.73,"G","Class1",73,46.458
28.639,51.088,48,21.603,"X",84,87.152,64.048,"Q","Class1",74,-6.449
53.548,65.206,64,72.636,"R",24,75.406,84.858,"G","Class2",49,68.344
62.924,47.979,55,14.314,"X",71,75.949,53.252,"Z","Class1",77,45.059
28.299,43.957,51,2.945,"J",75,83.597,53.001,"G","Class1",73,55.663
57.016,89.429,68,68.971,"R",25,75.945,77.106,"O","Class2",54,66.216
49.976,80.282,70,71.946,"O",19,75.044,67.575,"G","Class2",57,56.556
44.203,44.749,46,71.731,"M",18,75.528,86.092,"B","Class2",18,80.132
45.948,58.58,63,66.773,"N",16,75.969,78.916,"C","Class2",70,79.11
62.586,50.544,48,25.437,"U",73,77.093,88.826,"Z","Class1",77,14.131
64.026,64.468,56,14.359,"J",98,78.32,78.146,"A","Class1",78,69.17
5.154,43.06,58,NA,"X",71,90.92,26.996,"A","Class1",77,43.215
55.521,69.467,48,12.029,"J",70,73.154,92.264,"Q","Class1",76,41.92
49.523,71.932,63,70.369,"J",17,75.677,87.285,"G","Class2",54,69.268
36.614,90.657,64,70.443,"O",25,75.404,89.083,"B","Class2",40,87.568
60.334,84.377,63,71.951,"O",16,75.517,74.004,"E","Class2",37,80.849
30.886,50.841,59,6.855,"X",83,83.575,74.677,"V","Class1",74,50.619
40.921,72.942,71,NA,"N",19,75.099,83.406,"E","Class2",90,75.179
46.261,62.603,48,3.706,"J",95,87.375,51.22,"Q","Class1",77,55.464
66.503,46.303,54,9.643,"J",93,75.946,73.637,"Z","Class1",75,72.959
47.526,74.467,70,71.482,"N",20,75.842,86.778,"B","Class2",73,52.791
47.209,74.172,45,NA,"N",25,75.531,82.098,"B","Class2",70,59.134
43.748,74.005,55,13.453,"U",91,85.822,32.011,"G","Class1",75,22.41
-10.402,46.2,50,6.326,"U",72,82.556,10.583,"Q","Class1",73,131.715
39.986,63.3,53,NA,"W",77,83.179,35.937,"Q","Class1",76,87.261
46.546,64.956,57,3.273,"W",77,83.83,69.045,"V","Class1",77,40.042
49.446,53.585,41,73.89,"R",20,75.939,89.736,"O","Class2",78,67.678
52.977,65.911,59,10.435,"R",70,73.534,61.659,"A","Class1",75,97.486
47.676,69.559,51,70.473,NA,23,75.543,85.072,"O","Class2",62,79.887
64.928,53.937,55,6.624,"J",94,84.678,80.31,"V","Class1",78,19.339
75.625,67.131,54,NA,"X",98,75.141,73.37,"V","Class1",77,46.739
51.953,86.619,45,69.754,"O",20,75.165,81.062,"G","Class2",26,62.072
59.78,61.91,60,67.226,"J",16,75.864,89.617,"O","Class2",34,70.445
59.754,62.553,48,15.118,"R",82,82.137,57.465,"G","Class1",76,54.79
46.197,54.064,52,70.386,"N",18,75.015,69.49,"B","Class2",29,70.255
25.435,66.773,58,9.307,"U",70,74.785,83.017,"Z","Class1",76,38.444
32.409,62.481,52,7.802,"W",98,72.965,64.99,"V","Class1",76,11.88
27.332,74.846,55,7.112,"X",87,87.761,45.45,"Z","Class1",78,76.462
64.882,49.517,52,4.918,"J",84,73.671,90.877,"A","Class1",77,28.663
62.254,52.645,58,71.805,"R",18,75.282,77.193,"O","Class2",91,74.436
54.135,70.014,54,69.263,"O",23,75.585,85.335,"O","Class2",86,70.019
16.234,48.398,53,24.293,"U",82,73.166,37.645,"V","Class1",73,50.277
49.85,82.329,62,NA,"R",16,75.51,89.93,"G","Class2",65,76.08
47.468,63.113,54,71.359,"N",16,75.047,67.289,"B","Class2",21,67.155
48.788,63.733,47,68.974,"M",21,75.75,78.946,"G","Class2",85,71.841
19.389,64.491,58,16.789,"W",76,89.51,83.657,"G","Class1",77,17.314
57.77,67.23,70,69.076,"M",19,75.566,73.139,"G","Class2",40,70.961
60.139,85.138,46,69.023,"R",24,75.263,70.826,"B","Class2",19,83.207
62.634,79.657,71,72.986,"N",19,75.849,75.489,"O","Class2",84,54.124
36.469,71.442,50,NA,"W",78,84.377,74.917,"Z","Class1",74,33.476
10.299,54.135,56,8.955,"X",83,74.803,62.799,"A","Class1",72,45.165
48.659,87.983,61,70.796,"R",16,75.362,73.04,"G","Class2",66,82.105
53.758,51.761,51,-0.328,"J",82,83.2,17.12,"A","Class1",77,61.397
42.066,47.38,57,10.167,"U",76,89.236,24.417,"Q","Class1",73,33.02
61.123,69.252,57,1.179,"U",70,81.588,59.983,"V","Class1",75,50.626
43.57,49.319,48,-8.482,"R",91,86.872,46.871,"Z","Class1",74,71.565
48.661,48.229,54,17.116,"R",92,89.215,72.747,"A","Class1",74,33.77
55.036,57.793,58,-3.254,"R",88,75.686,32.752,"A","Class1",76,26.977
46.731,73.78,38,69.553,"O",17,75.664,81.115,"B","Class2",22,70.568
55.149,79.732,62,71.363,"J",16,75.452,67.724,"B","Class2",90,87.102
54.382,57.371,35,70.858,"R",22,75.865,86.558,"C","Class2",86,66.812
54.437,50.412,68,72.062,"N",20,75.79,79.464,"G","Class2",19,79.971
30.16,74.29,55,12.492,NA,92,81.667,43.613,"Z","Class1",75,25.008
52.452,62.834,51,12.371,"W",85,72.317,69.052,"G","Class1",77,58.671
31.317,67.633,49,16.188,"X",97,85.715,79.806,"A","Class1",72,36.219
44.566,76.556,70,70.405,"N",22,75.044,67.487,"E","Class2",17,79.417
49.112,53.66,68,69.58,NA,21,75.095,72.41,"B","Class2",21,62.339
37.526,70.226,54,-3.584,"R",81,78.293,21.897,"Q","Class1",72,32.252
65.192,49.947,56,15.665,"X",83,89.098,38.007,"V","Class1",78,50.378
47.09,59.592,71,71.894,"O",17,75.386,84.272,"B","Class2",28,74.223
27.669,55.932,51,9.118,"U",84,82.392,13.148,"A","Class1",72,12.466
45.368,89.734,50,67.849,"R",24,75.334,69.24,"G","Class2",57,96.963
59.53,89.778,59,72.131,"J",17,75.311,75.988,"E","Class2",45,62.976
61.524,78.063,37,74.109,"O",16,75.438,80.518,"B","Class2",55,76.273
61.07,43.179,49,7.419,"U",90,77.405,67.214,"V","Class1",75,36.944
69.747,68.406,50,8.029,"U",83,90.491,53.77,"Q","Class1",74,48.673
40.71,54.449,49,8.819,"R",86,89.189,77.54,"A","Class1",72,23.826
50.349,58.668,52,74.134,"O",24,75.523,74.403,"G","Class2",92,82.487
57.264,48.424,58,8.594,"J",98,74.861,8.063,"V","Class1",73,37.272
41.119,46.639,45,71.855,"O",21,75.873,78.333,"B","Class2",35,87.552
54.082,58.095,54,19.993,"W",92,80.544,28.901,"Q","Class1",76,46.74
39.193,52.573,59,18.524,"X",97,72.471,45.624,"Q","Class1",75,86.818
55.629,53.329,54,69.512,"R",23,75.072,82.135,"O","Class2",33,71.583
39.373,51.1,52,8.466,"J",96,86.982,48.27,"A","Class1",75,41.734
61.938,55.197,51,8.551,NA,88,81.452,43.009,"V","Class1",76,70.889
16.764,67.965,48,13.065,NA,75,80.403,65.272,"A","Class1",74,49.361
52.486,89.021,59,69.006,"N",17,75.335,87.612,"B","Class2",79,64.471
47.667,56.539,36,68.748,"M",25,75.759,75.657,"O","Class2",56,82
52.112,44.388,36,69.089,"M",21,75.085,81.416,"O","Class2",59,71.931
50.065,63.688,51,73.155,"N",20,75.495,76.575,"O","Class2",38,69.158
52.694,50.273,46,73.9,"M",18,75.946,88.214,"C","Class2",90,89.116
41.564,68.206,49,6.924,"W",70,79.787,76.486,"V","Class1",78,26.24
39.746,67.873,44,68.443,"R",21,75.72,80.95,"G","Class2",23,66.564
47.674,82.297,45,70.493,"M",19,75.996,76.823,"E","Class2",18,87.575
24.266,47.853,50,7.436,"U",94,76.886,84.323,"V","Class1",75,30.016
48.959,83.224,57,72.255,"R",17,75.299,86.165,"B","Class2",84,64.128
45.346,46.72,67,69.691,"R",16,75.626,79.978,"B","Class2",74,73.135
56.214,86.591,61,75.711,"R",23,75.226,86.463,"G","Class2",52,69.333
47.831,82.817,65,70.896,"R",20,75.61,81.496,"B","Class2",64,71.119
49.565,68.083,43,72.076,"M",21,75.567,74.059,"C","Class2",88,84.73
38.596,73.745,54,13.437,"J",76,73.461,91.353,"V","Class1",76,26.967
25.058,61.795,56,7.062,"U",89,82.26,43.289,"G","Class1",76,27.703
75.293,46.525,57,4.572,"R",79,89.028,64.05,"A","Class1",76,120.05
59.003,77.906,55,71.518,"M",24,75.742,76.58,"B","Class2",19,78.043
43.326,60.56,50,16.885,"J",91,86.176,92.238,"Q","Class1",75,95.636
52.958,87.722,58,68.725,"N",23,75.666,75.836,"C","Class2",48,70.517
60.891,71.423,58,NA,NA,18,75.58,69.333,"C","Class2",36,67.656
40.062,51.709,44,70.549,"N",16,75.807,89.53,"O","Class2",54,70.154
44.664,47.424,64,70.117,"O",22,75.654,66.177,"E","Class2",68,78.796
56.914,61.239,56,13.148,"X",76,76.775,72.764,"A","Class1",76,43.812
8.665,54.285,53,5.535,"W",75,75.458,36.035,"A","Class1",78,76.368
43.968,92.731,55,71.827,"O",24,75.591,72.412,"O","Class2",47,91.513
34.244,73.09,52,NA,"J",79,85.109,25.098,"Z","Class1",77,88.725
27.543,63.381,50,-1.672,"X",71,72.408,90.992,"A","Class1",78,56.559
22.675,52.273,59,NA,"J",90,85.451,15.678,"A","Class1",78,69.892
41.262,70.869,55,11.603,"R",72,91.351,38.505,"V","Class1",74,37.696
30.16,63.631,50,17.715,"R",72,81.131,20.043,"Q","Class1",76,54.932
41.622,53.785,35,73.281,"R",25,75.698,73.349,"G","Class2",39,67.334
57.467,67.121,41,70.353,"O",19,75.898,78.087,"C","Class2",70,60.689
51.971,72.158,39,69.863,"M",24,75.993,88.074,"O","Class2",54,82.829
52.347,93.023,53,69.355,"N",22,75.971,89.8,"G","Class2",31,70.575
41.007,69.202,48,7.607,"W",95,78.459,62.639,"G","Class1",76,74.801
28.8,73.94,48,13.588,"W",75,82.295,74.617,"V","Class1",78,47.158
68.73,57.36,50,4.844,"W",86,85.072,28.545,"Z","Class1",75,68.433
50.813,65.599,56,71.259,"O",20,75.632,79.936,"E","Class2",88,66.665
46.253,47.261,57,67.14,"R",19,75.163,80.102,"B","Class2",87,66.808
44.314,52.095,50,10.978,"U",78,81.211,66.505,"G","Class1",72,30.627
38.706,57.149,54,19.999,"J",78,75.109,38.478,"V","Class1",78,52.902
56.456,50.789,54,70.255,NA,21,75.631,89.529,"E","Class2",40,69.59
40.542,47.548,59,11.393,"J",93,88.85,31.178,"V","Class1",72,51.951
68.694,63.181,57,10.988,"U",95,73.162,22.683,"A","Class1",78,41.91
51.606,51.284,68,70.748,"R",18,75.956,76.157,"B","Class2",91,61.323
24.659,52.971,49,7.849,"W",77,73.177,74.055,"A","Class1",75,12.178
37.838,74.116,57,3.969,"X",95,79.145,81.665,"A","Class1",78,11.153
32.314,69.869,56,6.967,"U",92,91.022,15.334,"Q","Class1",74,28.195
52.772,46.688,37,70.904,"M",20,75.427,75.524,"B","Class2",56,68.594
48.45,70.198,37,67.614,"J",24,75.666,75.788,"E","Class2",38,51.445
41.783,48.352,48,7.182,"X",82,84.274,51.314,"V","Class1",73,24.099
49.247,79.15,57,69.903,"R",21,75.731,77.691,"E","Class2",39,58.978
19.093,64.311,59,-4.241,"R",82,87.003,86.905,"G","Class1",76,29.788
50.601,67.075,53,11.656,"R",75,85.12,62.344,"A","Class1",77,12.161
61.863,63.561,53,1.572,"W",74,76.661,78.968,"V","Class1",75,28.757
61.035,71.355,53,12.485,"R",70,88.444,35.964,"Q","Class1",77,16.395
57.746,58.535,57,72.516,"N",17,75.111,79.655,"C","Class2",86,79.695
13.102,70.69,57,9.974,"R",86,91.13,77.27,"Z","Class1",76,19.594
55.265,46.783,61,69.587,"J",22,75.613,79.686,"C","Class2",90,63.942
33.583,66.664,53,18.905,"X",72,90.646,11.746,"V","Class1",77,27.456
47.102,71.494,66,72.648,"N",21,75.389,70.893,"O","Class2",52,68.658
30.664,47.655,55,22.742,"U",93,83.12,90.512,"A","Class1",72,28.97
43.139,48.366,53,19.495,"U",93,89.262,88.757,"G","Class1",78,35.039
43.378,50.329,56,10.47,"X",74,89.851,24.714,"A","Class1",78,9.13
47.879,54.63,52,69.224,"O",23,75.563,72.338,"O","Class2",49,69.609
42.104,84.607,52,70.562,NA,22,75.698,89.572,"C","Class2",81,55.33
47.352,77.618,55,71.423,"J",24,75.016,86.068,"O","Class2",56,64.801
50.764,91.069,55,71.188,"M",22,75.385,66.572,"E","Class2",55,66.071
25.9,60.992,54,14.099,"W",92,83.674,78.746,"Z","Class1",76,90.82
46.551,80.155,53,68.856,"J",18,75.029,74.094,"B","Class2",93,62.431
10.063,59.147,57,3.602,"U",95,89.85,64.559,"G","Class1",76,13.368
26.128,58.188,59,8.884,"X",77,88.624,37.478,"Q","Class1",72,30.66
53.958,45.603,71,72.791,"N",20,75.93,82.868,"G","Class2",78,86.605
40.875,74.058,59,15.841,"J",98,86.155,67.98,"Z","Class1",74,37.328
46.19,53.246,51,0.704,"R",84,82.541,71.26,"Q","Class1",77,42.692
54.203,46.207,55,69.172,"M",19,75.364,89.641,"O","Class2",24,49.346
45.925,55.428,48,8.983,"W",77,73.15,88.704,"A","Class1",77,51.582
46.045,84.99,44,73.436,"R",25,75.671,73.055,"G","Class2",48,64.44
43.811,70.286,50,12.363,"R",95,76.909,62.303,"V","Class1",76,90.187
-1.577,62.248,53,5.732,"R",82,82.633,57.67,"G","Class1",74,-0.968
54.028,57.842,41,69.741,NA,22,75.887,84.02,"O","Class2",20,53.846
34.575,56.944,57,6.796,"U",84,78.798,29.366,"V","Class1",76,60.817
56.006,91.521,48,73.231,"J",18,75.031,83.338,"C","Class2",78,68.041
44.914,69.956,56,7.373,"W",84,78.104,22.927,"Q","Class1",73,-1.975
63.892,50.985,51,5.783,"J",74,77.857,80.485,"A","Class1",75,76.257
40.457,52.796,54,9.916,"U",82,88.956,68.229,"G","Class1",76,-12.88
21.344,71.715,54,9.718,NA,82,88.235,73.713,"Z","Class1",73,44.292
60.518,71.188,57,21.14,"J",83,81.209,58.529,"A","Class1",77,52.673
47.605,52.276,48,11.706,"R",77,88.196,29.41,"A","Class1",72,45.642
52.302,72.964,37,72.911,"O",25,75.718,88.657,"E","Class2",37,76.937
36.557,51.592,50,16.294,"R",84,80.764,53.962,"A","Class1",77,43.026
57.68,52.678,48,69.094,"N",18,75.999,70.678,"O","Class2",29,57.464
63.806,63.356,53,10.082,"U",76,90.045,34.496,"Z","Class1",75,25.149
54.369,55.424,52,19.15,"J",94,85.544,90.303,"V","Class1",74,51.833
47.253,60.861,48,70.298,"J",21,75.93,79.595,"B","Class2",71,69.383
39.992,83.517,66,71.549,"J",23,75.798,87.296,"C","Class2",86,70.388
49.386,87.958,39,70.229,"J",20,75.614,71.196,"E","Class2",73,79.014
49.934,46.739,42,73.456,"M",19,75.142,89.92,"O","Class2",60,68.042
53.338,67.814,56,6.535,"X",77,83.299,67.931,"A","Class1",75,12.989
44.166,46.315,48,70.379,"O",17,75.93,70.037,"C","Class2",93,66.458
61.728,60.278,54,12.269,"W",71,90.235,10.917,"V","Class1",75,73.298
62.339,70.764,48,NA,"N",20,75.651,83.766,"G","Class2",75,67.533
48.709,60.787,53,5.362,"U",76,84.294,19.479,"Z","Class1",72,95.652
41.129,57.151,52,70.108,"N",16,75.97,80.907,"E","Class2",24,63.41
49.394,60.642,64,74.338,"O",19,75.41,80.413,"O","Class2",31,85.211
46.261,67.821,61,71.543,NA,18,75.079,80.577,"B","Class2",62,75.828
41.405,61.937,58,13.351,"X",70,75.779,91.762,"Z","Class1",76,76.046
52.914,48.114,53,69.047,"M",18,75.8,69.848,"B","Class2",94,90.243
59.631,91.177,66,71.99,"N",23,75.695,87.693,"O","Class2",37,80.009
38.271,64.646,51,14.844,"X",81,78.732,80.313,"A","Class1",73,37.994
42.937,64.588,48,3.47,"J",81,82.005,35.819,"G","Class1",72,74.485
23.75,59.042,59,19.398,"R",86,80.992,40.336,"Q","Class1",76,-4.008
44.704,55.949,52,4.431,"X",97,81.621,60.467,"G","Class1",78,60.754
40.839,54.823,56,12.304,"W",72,77.705,84.955,"V","Class1",73,67.155
50.774,91.995,62,69.672,"O",23,75.642,76.969,"B","Class2",86,54.559
62.685,73.855,49,3.739,"W",71,79.297,64.91,"V","Class1",78,20.54
30.149,58.53,51,3.22,"X",94,75.087,32.398,"Z","Class1",78,48.345
41.425,67.16,56,4.413,"X",77,78.573,91.454,"V","Class1",74,67.779
45.092,79.514,64,72.105,"O",24,75.767,89.719,"O","Class2",19,76.04
46.206,67.58,59,8.31,"W",85,82.104,87.731,"Z","Class1",76,71.704
50.846,87.554,57,70.552,"R",20,75.746,68.974,"O","Class2",73,70.214
45.527,73.325,57,9.077,"W",94,72.594,66.668,"Q","Class1",73,54.228
46.325,79.176,45,70.727,"N",21,75.757,76.628,"B","Class2",56,90.075
32.364,50.951,54,11.978,"R",97,91.123,82.34,"Z","Class1",75,6.392
23.259,49.356,56,14.841,"U",83,91.35,68.203,"G","Class1",78,-3.443
51.051,63.373,59,4.441,"R",77,80.502,75.472,"A","Class1",75,58.708
68.65,55.325,53,9.595,"U",69,73.336,17.23,"V","Class1",74,68.398
62.101,86.552,69,71.614,"R",18,75.158,78.433,"O","Class2",78,68.349
56.739,57.503,37,71.098,"M",21,75.973,66.83,"B","Class2",26,74.332
43.576,62.482,67,73.235,"R",25,75.38,72.979,"C","Class2",37,65.358
42.059,48.133,70,70.32,"N",19,75.265,68.333,"C","Class2",31,68.812
46.908,43.675,48,7.649,"J",96,81.882,43.389,"V","Class1",78,52.904
39.249,71.347,57,7.235,"X",83,82.252,83.893,"G","Class1",73,8.051
57.841,58.158,52,14.551,"X",86,85.387,36.719,"A","Class1",76,26.01
43.208,72.557,49,3.469,"W",69,81.185,36.684,"Z","Class1",73,86.605
52.038,66.359,54,70.131,"N",17,75.528,77.986,"E","Class2",88,82.105
65.53,54.131,48,9.272,"U",85,75.552,50.653,"G","Class1",76,35.132
35.981,49.56,59,1.489,"X",88,81.762,50.843,"Z","Class1",77,44.933
48.001,64.146,36,71.552,"O",24,75.034,76.993,"B","Class2",18,58.26
38.192,78.903,42,71.326,"N",21,75.392,73.388,"G","Class2",47,74.59
32.742,43.503,52,5.958,"W",82,85.866,91.02,"G","Class1",76,70.752
41.949,55.119,48,-0.846,"U",90,76.55,64.155,"A","Class1",76,40.46
57.461,57.117,59,12.273,"J",71,79.645,70.818,"G","Class1",77,27.947
52.757,71.19,59,14.421,"W",83,88.437,63.599,"Q","Class1",76,67.793
50.288,85.457,68,72.043,"M",18,75.316,72.118,"O","Class2",31,69.386
28.114,60.003,52,20.211,NA,84,78.927,77.398,"G","Class1",72,35.026
28.664,72.704,55,NA,"J",94,75.2,92.941,"A","Class1",78,19.006
47.999,55.369,55,70.913,"M",16,75.026,89.697,"O","Class2",68,64.747
63.911,48.562,56,-2.473,"J",92,72.995,24.555,"A","Class1",76,39.094
34.421,71.71,59,14.889,"W",93,80.844,39.254,"A","Class1",72,46.103
45.322,75.183,54,73.356,"N",24,75.973,88.85,"B","Class2",30,68.522
62.09,68.092,45,69.329,"M",23,75.176,68.356,"B","Class2",52,57.881
43.33,45.74,49,71.887,"O",24,75.337,72.976,"C","Class2",44,81.077
16.423,63.64,56,9.724,"U",80,84.496,50.383,"Q","Class1",74,57.91
29.016,73.6,51,10.363,"X",93,80.059,44.1,"G","Class1",78,38.711
45.929,52.149,63,70.457,"J",19,75.587,74.962,"B","Class2",48,54.567
50.176,70.964,43,73.521,"N",24,75.773,86.39,"E","Class2",57,81.15
47.782,93.692,63,71.302,"R",17,75.838,85.097,"E","Class2",46,70.031
49.973,65.735,58,0.037,"X",86,73.033,58.286,"V","Class1",78,57.497
14.654,69.383,53,11.191,"R",87,85.792,68.777,"G","Class1",74,20.169
44.19,86.318,66,68.488,"N",24,75.498,72.902,"O","Class2",73,65.133
43.803,77.08,49,NA,"O",24,75.804,76.115,"B","Class2",36,89.848
