"J1","J2","J3","J4","J5","J6","J7","J8","J9","J10","J11","Output9"
73.535,71.907,9,"I","X",91,87.511,73.747,49,74.932,22.233,"Class2"
72.596,47.2,13,"C","J",65,83.873,77.249,61,91.193,90.552,"Class2"
46.125,63.447,13,"C","G",85,71.246,49.779,23,85.906,43.313,"Class5"
61.969,77.655,43,"S","S",35,10.564,55.408,6,92.851,61.171,"Class4"
46.502,46.691,19,"B","G",78,73.077,48.669,32,78.735,48.384,"Class5"
63.208,60.193,28,"T","X",51,52.069,42.106,55,45.165,48.389,"Class1"
54.94,69.506,7,"O","J",54,78.012,56.486,69,65.861,40.025,"Class2"
11.911,58.912,38,"G","Y",51,71.558,44.038,62,47.38,46.307,"Class1"
30.194,47.048,67,"Q","P",38,77.779,43.868,55,53.197,45.721,"Class1"
79.084,78.104,24,"B","I",33,22.07,65.746,9,96.271,25.182,"Class4"
68.998,56.113,16,"I","J",57,83.094,50.049,70,79.269,31.197,"Class2"
77.953,78.644,38,"O","G",39,14.947,69.729,10,92.892,36.726,"Class4"
46.317,67.593,29,"Q","H",78,72.132,49.01,20,80.576,58.61,"Class5"
21.713,38.429,4,"A","J",79,52.335,87.229,63,27.574,8.846,"Class3"
54.346,53.539,14,"F","N",93,86.339,86.178,52,88.091,63.056,"Class2"
45.86,49.496,26,"V","I",80,76.923,49.171,50,79.855,72.282,"Class5"
86,78.952,29,"O","I",40,15.627,69.633,7,88.237,44.158,"Class4"
22.637,37.639,44,"U","R",64,50.705,78.712,64,16.588,18.249,"Class3"
40.73,59.209,45,"G","X",48,61.532,43.233,59,32.355,42.879,"Class1"
46.593,58.94,27,"V","G",77,74.988,49.799,26,79.321,47.986,"Class5"
46.726,54.873,30,"Q","H",80,72.318,48.468,85,86.57,52.547,"Class5"
72.489,44.574,8,"C","N",97,82.453,66.201,71,87.171,51.783,"Class2"
27.781,50.542,63,"T","Y",23,83.389,44.072,58,63.533,48.925,"Class1"
77.716,56.756,15,"Y","X",86,80.212,54.366,65,74.344,10.033,"Class2"
24.054,38.954,60,"D","J",82,46.809,51.273,26,48.489,7.455,"Class3"
71.603,75.885,61,"G","G",39,16.431,66.556,8,90.995,47.311,"Class4"
73.93,63.52,10,"F","X",40,79.872,52.022,56,87.568,82.77,"Class2"
42.619,23.586,61,"T","Y",38,51.924,41.827,63,56.619,46.991,"Class1"
91.729,61.393,14,NA,"X",50,86.182,57.369,66,85.489,64.393,"Class2"
14.52,42.883,15,"U","Y",62,48.945,91.938,42,23.798,41.706,"Class3"
62.52,54.068,7,"I","J",83,86.609,76.778,70,92.263,43.216,"Class2"
65.1,56.077,15,"F","N",37,74.346,83.585,42,78.057,50.001,"Class2"
80.098,44.146,7,"C","H",41,83.909,75.914,59,77.615,88.535,"Class2"
21.888,40.699,33,"D","R",59,51.813,44.728,23,38.28,60.878,"Class3"
19.691,30.914,7,"D","R",54,51.666,95.016,56,24.04,37.155,"Class3"
22.756,31.132,53,"A","R",62,54.027,50.51,42,27.87,40.654,"Class3"
46.304,71.084,30,"Q","G",82,75.789,49.072,68,88.807,63.743,"Class5"
34.146,23.912,26,"M","P",41,42.29,44.139,47,52.517,45.747,"Class1"
83.153,61.611,15,"C","J",73,83.056,85.769,70,77.701,88.723,"Class2"
46.597,61.466,22,"V","G",84,74.701,49.457,42,81.722,66.654,"Class5"
84.627,56.945,13,"I","J",92,87.419,72.628,64,86.699,68.702,"Class2"
46.539,47.632,23,"T","I",83,71.123,49.01,59,87.764,54.271,"Class5"
82.137,67.221,14,"C","A",66,88.323,72.088,64,94.734,8.547,"Class2"
70.728,60.864,63,"K","T",37,64.816,41.519,56,71.624,48.294,"Class1"
57.947,58.9,45,"Q","Y",NA,86.656,42.625,51,56.047,43.229,"Class1"
68.988,78.834,14,"S","I",NA,8.427,54.498,7,87.296,46.292,"Class4"
46.513,59.743,23,"T","I",82,74.901,49.284,85,92.917,50.087,"Class5"
16.705,33.468,34,"D","R",57,52.896,76.531,14,41.38,32.186,"Class3"
65.69,48.956,10,"F","H",42,79.845,60.923,50,96.05,20.211,"Class2"
31.273,39.115,65,"T","F",47,100.654,41.029,50,49.043,45.34,"Class1"
45.675,18.28,66,NA,"X",47,58.737,43.934,56,52.604,43.845,"Class1"
30.787,38.078,31,"T","P",51,29.476,43.591,60,44.314,47.721,"Class1"
78.368,78.357,20,"S","I",38,14.575,64.38,7,86.712,64.532,"Class4"
82.121,77.398,23,"S","G",34,19.213,60.485,10,88.66,27.7,"Class4"
46.54,61.573,22,"Q","G",84,76.025,49.221,35,85.582,47.097,"Class5"
64.502,53.126,7,"O","A",77,87.283,87.736,64,84.721,54.132,"Class2"
73.274,79.102,27,"G","J",34,13.598,60.197,8,94.291,42.388,"Class4"
25.745,33.978,19,"U","K",86,60.475,86.304,15,35.185,59.286,"Class3"
24.776,17.398,35,"T","X",28,98.97,41.933,61,42.425,48.38,"Class1"
78.239,77.979,54,"X","J",32,15.891,52.399,8,92.114,66.495,"Class4"
88.435,79.567,51,"B","J",35,18.523,61.321,9,92.032,61.326,"Class4"
60.34,77.061,69,"X","G",42,13.308,57.639,9,91.334,34.358,"Class4"
56.987,20.615,41,"T","F",43,83.039,41.979,62,55.041,46.307,"Class1"
103.223,65.911,7,"O","J",78,79.901,75.117,54,82.56,36.442,"Class2"
28.451,40.315,35,"F","R",91,53.924,82.096,38,48.68,28.728,"Class3"
46.558,58.613,19,"Q","X",86,74.222,49.98,90,83.48,70.782,"Class5"
81.9,76.471,60,"X","G",44,12.784,66.954,9,94.034,25.726,"Class4"
75.551,77.913,71,"S","S",33,16.212,72.591,10,89.129,33.725,"Class4"
46.464,43.107,50,"K","F",51,73.353,42.766,59,53.908,46.795,"Class1"
22.805,32.892,16,"D","Y",57,48.943,70.81,46,25.048,40.612,"Class3"
81.552,76.228,44,"O","S",34,10.543,72.125,8,96.367,45.05,"Class4"
64.128,77.705,48,"S","G",42,15.919,69.919,6,88.585,29.639,"Class4"
75.428,47.611,8,NA,"X",82,81.649,76.128,64,86.512,21.493,"Class2"
50.655,30.706,34,"M","P",31,97.431,42.972,60,67.269,45.335,"Class1"
100.565,54.163,8,NA,"X",52,83.71,73.962,57,83.583,58.322,"Class2"
72.411,79.705,33,"B","S",44,11.972,69.823,7,84.896,33.14,"Class4"
82.117,76.162,24,"G","J",40,14.351,60.145,6,91.691,24.883,"Class4"
46.472,61.193,19,"B","G",86,72.971,48.181,93,83.805,50.437,"Class5"
76.716,56.586,15,"I","X",95,83.519,86.575,66,85.654,16.16,"Class2"
46.504,55.715,28,"V","I",82,78.968,48.482,71,89.036,68.561,"Class5"
46.059,73.623,16,NA,"C",83,74.947,49.655,80,80.518,52.485,"Class5"
82.579,75.417,18,"S","S",42,16.865,52.273,10,89.407,47.66,"Class4"
46.509,61.031,23,"C","C",80,75.318,48.884,20,84.042,50.951,"Class5"
73.674,48.262,15,"Y","J",80,85.293,86.612,54,74.507,83.183,"Class2"
49.221,56.344,34,"Q","F",40,65.52,41.286,47,52.645,44.597,"Class1"
61.752,62.646,35,"Q","P",26,71.151,41.63,56,56.898,42.02,"Class1"
63.809,69.699,9,"F","A",72,84.963,57.706,44,98.053,41.007,"Class2"
88.812,75.235,14,"B","I",42,17.168,67.163,6,91.15,52.471,"Class4"
45.742,73.29,23,NA,"X",86,74.444,48.35,35,80.445,64.844,"Class5"
87.207,79.025,65,"B","J",40,13.774,65.806,6,89.245,67.551,"Class4"
47.058,54.521,31,"C","G",79,76.734,48.225,65,88.011,61.26,"Class5"
12.313,34.452,32,"K","P",48,39.191,42.804,60,57.359,42.709,"Class1"
46.681,57.162,26,"V","H",85,73.12,48.751,50,79.6,59.131,"Class5"
46.334,62.17,15,"C","H",NA,74.217,48.522,60,84.539,49.743,"Class5"
46.229,10.523,26,NA,"Y",23,67.897,42.103,60,54.816,48.179,"Class1"
73.859,63.131,15,"C","J",77,84.966,52.534,55,102.226,34.341,"Class2"
12.168,30.703,25,"Z","Y",66,53.877,65.248,65,24.966,27.557,"Class3"
79.156,50.862,12,"Y","N",38,78.196,58.046,51,100.036,79.072,"Class2"
17.818,42.061,34,"U","J",61,51.938,64.91,20,28.717,13.889,"Class3"
78.923,79.467,64,"X","I",37,17.507,55.359,7,89.857,52.064,"Class4"
15.243,3.873,51,"K","Y",31,102.03,43.603,53,62.385,42.005,"Class1"
68.481,74.9,66,"S","I",38,16.407,66.834,9,87.433,51.968,"Class4"
61.412,65.611,7,"Y","J",91,79.54,64.118,61,74.883,28.618,"Class2"
25.676,38.669,59,"D","J",56,44.399,39.577,37,31.428,55.605,"Class3"
88.247,79.418,19,"O","S",35,16.016,65.567,10,88.103,27.283,"Class4"
19.969,34.524,20,"A","J",84,54.049,49.985,30,32.992,30.398,"Class3"
73.74,78.798,72,"B","I",36,16.791,61.825,9,88.944,29.332,"Class4"
68.215,52.072,11,"O","N",82,85.96,72.372,44,74.871,11.12,"Class2"
74.611,79.978,57,"G","S",NA,11.957,54.321,7,95.476,33.23,"Class4"
77.717,74.001,14,"O","J",41,13.018,72.688,9,95.659,39.911,"Class4"
50.066,20.793,48,"Q","Y",42,75.161,44.667,51,40.554,47.368,"Class1"
18.133,36.232,8,"F","J",94,51.913,52.196,34,35.081,33.276,"Class3"
45.546,64.582,26,"T","X",85,80.047,49.204,77,72.994,68.327,"Class5"
23.495,41.919,0,"U","R",55,51.531,42.738,61,38.705,15.527,"Class3"
47.068,74.516,27,"V","I",79,72.382,48.722,88,81.1,64.394,"Class5"
57.995,77.474,43,"X","X",37,15.878,67.295,10,90.788,56.149,"Class4"
46.957,60.494,14,"C","G",84,77.167,49.701,30,70.543,68.202,"Class5"
19.766,38.157,17,"U","C",95,48.224,51.185,45,24.835,17.372,"Class3"
84.55,76.404,51,"G","J",40,14.129,52.522,7,94.001,43.83,"Class4"
46.572,60.497,26,"C","H",79,74.562,48.924,25,84.803,53.13,"Class5"
46.304,50.847,15,"T","I",78,72.444,49.374,87,80.913,48.327,"Class5"
46.287,73.843,14,"C","G",86,70.068,49.921,88,87.682,53.384,"Class5"
46.821,67.601,27,"C","C",86,75.059,48.751,69,82.216,59.569,"Class5"
12.022,42.807,27,"A","K",85,44.176,48.654,51,22.882,41.507,"Class3"
46.741,53.103,24,"V","H",83,74.176,48.936,24,85.736,64.754,"Class5"
50.255,54.317,60,"M","T",48,29.528,42.324,47,44.452,46.215,"Class1"
71.694,25.871,27,"G","T",37,49.79,44.13,59,45.375,42.393,"Class1"
46.723,74.449,16,"B","X",83,70.409,49.512,79,81.096,70.863,"Class5"
46.338,48.844,21,"B","I",85,72.668,49.696,60,77.097,45.794,"Class5"
46.942,74.749,28,NA,"C",77,74.74,49.01,55,80.382,43.284,"Class5"
26.556,43.137,51,"Q","P",42,71.338,42.567,56,53.471,45.324,"Class1"
62.889,24.766,45,"K","T",31,85.57,42.103,56,46.263,42.139,"Class1"
89.833,74.591,60,"G","J",36,15.377,70.797,6,92.38,27.417,"Class4"
46.338,71.967,20,"T","G",79,75.207,48.673,53,89.027,60.694,"Class5"
33.685,4.891,63,"T","P",NA,78.302,44.28,46,47.083,46.134,"Class1"
78.127,76.323,30,"B","X",33,17.026,61.747,9,92.538,30.063,"Class4"
75.528,78.218,65,"S","J",35,15.804,63.283,7,87.822,30.793,"Class4"
46.375,61.449,15,"B","I",80,71.924,49.991,79,85.939,63.108,"Class5"
46.236,55.546,28,"C","H",81,74.936,49.18,24,86.923,67.814,"Class5"
72.198,74.344,54,"O","I",36,14.576,65.964,10,96.282,61.953,"Class4"
46.499,49.848,13,"C","X",NA,74.826,48.722,73,81.366,55.913,"Class5"
46.587,54.825,27,"Q","H",83,78.197,49.625,37,85.801,52.915,"Class5"
63.729,63.137,14,"Y","N",35,79.597,61.276,43,75.678,39.515,"Class2"
21.648,33.08,39,NA,"Y",95,55.494,69.254,23,41.389,23.961,"Class3"
48.58,64.979,14,"I","X",51,86.133,83.842,62,86.891,80.088,"Class2"
79.098,76.871,18,"S","J",34,12.842,62.596,7,93.495,28.526,"Class4"
84.462,78.642,53,"X","S",39,17.032,56.947,6,93.59,38.498,"Class4"
17.994,43.571,55,"D","R",90,54.491,80.973,62,36.688,10.365,"Class3"
30.577,49.872,26,"K","X",45,30.594,43.046,58,58.531,44.942,"Class1"
76.659,77.784,54,"O","S",32,18.171,68.722,8,83.893,48.429,"Class4"
72.63,78.223,44,"X","G",32,15.117,52.786,7,92.769,68.176,"Class4"
98.377,77.96,53,"X","G",33,19.638,67.771,10,93.742,64.227,"Class4"
63.668,78.731,19,"G","G",NA,14.067,72.333,6,91.536,25.675,"Class4"
46.51,50.524,14,"T","G",79,76.905,48.112,76,88.79,67.487,"Class5"
21.3,42.948,64,"D","Y",70,56.469,48.017,67,36.428,43.104,"Class3"
69.294,73.229,8,"F","H",66,81.939,59.096,46,76.333,55.006,"Class2"
14.386,31.17,41,"U","J",76,46.369,74.974,40,34.406,42.208,"Class3"
43.868,37.964,39,"T","P",28,63.659,43.487,46,62.749,44.639,"Class1"
35.955,58.444,66,"K","F",38,88.656,43.648,57,50.192,43.748,"Class1"
66.629,58.359,13,"Y","X",74,75.514,82.099,56,67.93,3.728,"Class2"
45.872,61.078,23,"T","X",84,73.927,49.013,67,81.896,59.47,"Class5"
52.261,48.908,44,"Q","Y",47,70.081,43.081,58,50.934,45.274,"Class1"
73.601,77.689,36,"X","J",38,12.789,57.587,8,94.064,26.906,"Class4"
46.299,60.061,28,NA,"C",83,77.014,48.307,29,88.924,67.042,"Class5"
75.235,77.604,56,"X","I",43,14.468,52.302,8,89.426,28.304,"Class4"
24.925,45.661,52,"F","R",86,52.409,50.484,19,32.423,7.499,"Class3"
24.374,42.083,65,"Z","C",52,50.484,70.893,30,25.32,9.842,"Class3"
78.447,60.161,9,"C","H",64,87.591,75.958,52,94.108,61.524,"Class2"
45.478,62.598,64,"M","Y",26,93.115,43.957,59,56.554,42.315,"Class1"
78.3,76.004,17,"O","S",37,11.436,68.492,6,93.017,55.084,"Class4"
89.372,44.46,9,"Y","X",70,80.587,87.124,49,76.508,39.991,"Class2"
16.491,36.203,27,NA,"Y",61,53.498,45.55,45,50.438,38.854,"Class3"
81.192,76.577,51,"X","X",35,18.347,70.989,6,97.427,40.441,"Class4"
46.304,58.986,29,NA,"C",81,72.527,48.26,52,75.725,63.078,"Class5"
24.693,43.017,60,"U","J",66,56.99,77.948,30,45.015,34.849,"Class3"
20.521,30.648,44,"U","R",71,59.232,75.722,59,10.586,55.763,"Class3"
74.69,74.729,52,"O","S",40,12.256,72.203,6,92.126,44.29,"Class4"
45.865,69.899,24,"Q","I",82,77.792,48.446,93,76.084,51.972,"Class5"
81.633,54.12,13,"Y","J",51,86.176,60.081,43,98.373,9.191,"Class2"
52.019,10.878,43,"M","X",29,80.288,41.324,63,53.041,47.816,"Class1"
86.781,79.076,72,"X","S",40,13.133,70.039,6,88.715,42.96,"Class4"
46.448,73.44,17,"V","C",83,73.168,48.412,65,84.981,51.923,"Class5"
46.313,57.961,20,"B","X",85,71.722,48.264,81,81.624,50.596,"Class5"
60.72,16.812,47,"G","Y",38,74.097,43.758,46,56.258,44.814,"Class1"
56.735,47.235,66,"T","X",38,40.183,41.913,47,57.079,42.586,"Class1"
51.095,16.612,31,"M","P",28,58.607,42.787,52,24.879,43.672,"Class1"
83.051,75.172,66,"X","G",34,16.884,52.942,6,84.547,30.191,"Class4"
47.452,56.698,45,"M","F",44,55.419,44.036,47,54.226,45.3,"Class1"
46.809,74.127,28,"V","X",78,70.528,49.592,59,81.964,53.626,"Class5"
46.394,60.655,26,"B","G",80,77.049,48.068,82,87.719,47.946,"Class5"
17.328,44.02,18,"D","C",79,52.234,42.384,61,27.249,6.921,"Class3"
58.037,63.57,13,"C","A",95,78.329,86.346,57,92.371,70.979,"Class2"
33.984,38.622,48,"K","T",30,55.163,42.781,63,63.795,44.448,"Class1"
74.796,74.122,12,"O","J",79,77.069,77.718,44,81.615,30.29,"Class2"
85.379,58.667,8,NA,"H",33,88.646,73.323,57,88.426,82.721,"Class2"
78.212,66.315,15,"Y","N",75,78.945,58.893,57,94.174,7.436,"Class2"
51.179,4.817,56,"T","P",NA,43.393,42.486,62,55.772,46.275,"Class1"
46.097,50.59,13,"V","I",78,71.635,48.659,80,72.825,47.219,"Class5"
46.555,52.401,22,"V","X",83,74.028,49.609,57,83.803,54.013,"Class5"
79.536,75.272,35,"S","X",32,11.52,51.502,7,91.293,34.413,"Class4"
46.674,52.876,20,"Q","C",85,72.52,49.861,67,80.841,58.633,"Class5"
79.279,76.225,58,"O","G",43,12.024,70.407,6,93.811,31.012,"Class4"
46.835,55.915,20,"V","X",79,77.712,48.24,34,77.939,52.978,"Class5"
14.91,37.666,45,"Z","C",58,46.637,81.333,17,17.058,30.809,"Class3"
42.614,56.064,33,"T","T",38,56.352,42.957,51,41.722,45.275,"Class1"
45.926,70.21,22,"V","X",79,72.523,49.628,67,78.175,55.745,"Class5"
17.439,46.698,0,NA,"Y",NA,50.611,65.932,18,25.624,41.674,"Class3"
80.483,79.752,22,"G","J",38,17.467,59.14,9,93.493,52.325,"Class4"
17.639,31.954,38,"A","C",59,54.877,41.756,57,37.804,51.373,"Class3"
82.936,49.29,11,"Y","N",46,79.445,63.93,68,80.312,50.199,"Class2"
76.414,45.453,15,"O","X",80,79.564,79.797,58,100.816,74.297,"Class2"
33.288,3.968,53,"K","X",35,79.802,43.005,49,46.686,42.245,"Class1"
57.86,15.07,66,"M","T",32,61.645,41.628,61,44.636,47.86,"Class1"
18.62,36.653,3,"F","J",91,49.129,48.473,62,26.614,49.399,"Class3"
24.052,39.203,45,"Z","C",85,47.762,42.554,23,31.213,6.281,"Class3"
77.241,78.859,57,"O","G",41,17.806,51.164,8,87.884,24.586,"Class4"
46.649,74.343,21,"T","C",NA,77.415,48.402,31,82.264,71.587,"Class5"
46.035,59.096,30,"T","C",85,69.753,48.534,87,74.776,66.041,"Class5"
46.435,74.193,13,"T","H",79,76.223,48.885,59,79.937,51.659,"Class5"
65.117,78.886,58,"O","I",44,15.44,72.563,7,92.389,31.241,"Class4"
75.808,79.752,38,"B","S",32,14.556,59.783,10,87.794,37.513,"Class4"
17.668,43.361,40,"Z","K",61,52.901,45.761,59,22.526,4.181,"Class3"
52.066,8.671,57,"T","X",38,56.967,41.304,63,50.463,43.622,"Class1"
46.17,29.399,61,"Q","F",37,34.651,43.4,60,54.122,43.8,"Class1"
46.658,57.845,31,"B","C",79,73.305,48.612,77,71.41,44.853,"Class5"
46.819,50.198,21,"T","H",79,71.947,48.745,88,85.607,70.743,"Class5"
89.441,69.785,10,"O","A",97,81.936,78.1,48,79.485,89.096,"Class2"
46.497,64.093,23,"B","C",85,73.999,48.962,56,85.972,56.527,"Class5"
40.682,9.648,51,"T","P",43,100.073,41.135,53,43.071,44.811,"Class1"
87.905,79.047,34,"B","G",41,10.64,53.144,7,90.417,54.016,"Class4"
57.297,10.249,44,"T","F",48,53.29,42.582,52,49.981,42.353,"Class1"
46.773,58.363,19,"Q","G",81,73.484,48.597,67,77.892,69.986,"Class5"
28.454,42.657,32,"F","J",62,50.067,45.502,28,16.528,53.522,"Class3"
78.808,78.187,71,"G","J",39,13.777,72.477,8,90.693,33.863,"Class4"
46.006,49.963,24,"Q","C",83,74.895,49.769,87,84.651,44.652,"Class5"
48.118,25.845,40,"K","F",50,73.24,43.379,54,51.086,42.092,"Class1"
35.977,48.005,37,"K","F",39,76.017,41.794,56,34.999,46.633,"Class1"
16.817,41.892,51,"Z","J",64,52.563,91.322,48,41.149,42.716,"Class3"
90.175,79.429,38,"G","I",NA,11.332,58.043,6,92.673,35.956,"Class4"
