"U1","U2","U3","U4","U5","Output20","U6","U7","U8","U9","U10","U11"
26.498,50.029,56,88,22.934,"Class1","Z",39.91,85.737,"U",32,13.483
45.444,32.179,85,74,6.338,"Class4","N",92.062,32.782,"W",52,56.086
46.273,43.149,44,82,68.431,"Class4","N",91.41,35.548,"W",54,45.127
33.066,79.573,28,86,81.595,"Class1","B",46.135,80.295,"C",47,82.589
14.911,40.279,93,68,54.198,"Class4","N",89.817,30.945,"J",63,51.79
26.133,32.039,83,67,25.897,"Class4","Y",89.019,38.779,"O",96,43.973
79.358,59.391,57,66,20.524,"Class4","M",90.69,36.473,"O",30,27.511
55.827,32.941,72,78,48.132,"Class4","J",92.787,22.43,"S",41,67.917
24.915,45.813,28,86,74.858,"Class1",NA,45.911,82.11,"C",25,80.805
24.663,69.293,47,86,81.538,"Class1","C",52.057,74.781,"F",59,43.558
56.778,37.481,52,50,15.705,"Class2","J",92.413,66.785,"F",80,37.654
14.808,21.815,62,22,49.599,"Class3","Y",9.596,21.441,"S",36,26.001
49.617,61.345,60,75,55.373,"Class4","F",92.651,35.564,"O",36,22.989
38.169,61.154,72,70,3.26,"Class4","M",91.096,23.259,"S",96,37.263
10.686,22.601,45,70,66.679,"Class4","J",89.499,34.772,"W",52,54.011
21.125,28.048,14,92,68.553,"Class1","B",17.487,64.219,"M",32,50.133
17.137,21.391,29,32,75.741,"Class3","Z",15.712,21.297,"S",35,9.294
46.613,28.86,55,59,15.906,"Class2","O",82.994,54.631,"A",80,53.912
19.762,21.382,37,9,70.136,"Class3","Y",12.357,15.721,"C",19,4.601
40.662,26.05,60,18,21.935,"Class2","J",91.259,57.345,"P",82,34.985
42.183,58.824,55,78,18.027,"Class4","Y",92.581,37.07,"W",23,66.815
25.138,29.958,79,82,96.315,"Class4","Y",90.809,24.703,"O",57,45.421
34.734,63.056,28,74,68.196,"Class1","Z",9.805,30.648,"M",44,20.649
16.164,21.811,43,28,101.524,"Class3","T",11.16,18.237,"I",26,32.586
56.544,26.7,58,69,19.169,"Class2","J",84.366,90.759,"E",79,51.179
42.8,54.064,76,70,67.905,"Class4","F",88.735,39.103,"H",23,26.048
57.456,38.287,66,20,22.197,"Class2","Y",87.968,48.77,"P",80,46.178
29.499,80.296,16,75,58.819,"Class1","Y",14.08,85.035,"U",64,25.065
54.919,41.244,61,NA,22.271,"Class2","O",88.386,64.707,"P",77,50.28
18.38,21.003,37,16,72.871,"Class3","R",18.088,12.687,"C",8,58.426
5.789,21.132,43,27,61.185,"Class3",NA,14.863,22.807,"O",18,53.498
52.515,23.122,58,91,18.708,"Class2","G",86.309,85.611,"L",78,43.298
53.635,74.442,42,80,40.764,"Class4","J",91.01,20.705,"S",46,37.925
24.777,55.126,70,82,45.639,"Class4",NA,90.395,36.673,"O",8,36.827
34.139,39.827,54,83,119.346,"Class1","Y",50.903,27.766,"F",39,55.726
60.76,18.623,54,41,18.98,"Class2","J",88.196,33.47,"P",79,44.138
23.334,21.093,40,32,46.609,"Class3","R",15.098,33.006,"S",25,-3.781
52.846,32.093,53,10,22.329,"Class2","G",88.129,73.854,"L",76,40.783
14.507,21.839,59,22,59.975,"Class3","Y",20.986,13.258,"O",24,6.338
20.717,47.215,37,86,97.383,"Class1","C",22.989,79.286,"P",26,59.151
27.155,51.386,86,73,45.24,"Class4","Y",89.056,21.396,"W",27,55.162
16.77,21.373,59,5,65.126,"Class3","G",14.78,13.617,"S",37,-8.39
18.401,21.128,60,28,23.351,"Class3","R",16.157,30.483,"S",35,54.852
19.673,21.08,40,15,79.02,"Class3","Y",10.509,33.59,"O",40,6.863
17.36,31.181,12,74,76.009,"Class1","Y",15.726,74.618,"F",27,60.996
65.483,17.5,60,50,21.558,"Class2","O",85.118,81.341,"L",83,48.408
20.46,76.425,34,87,47.803,"Class1","Y",27.875,49.904,"U",48,90.35
18.089,21.077,53,17,43.998,"Class3","G",17.095,20.262,"I",28,34.589
55.57,42.472,64,46,25.629,"Class2","O",87.177,51.194,"P",81,50.237
39.574,40.337,59,61,20.293,"Class2","U",91.685,93.736,"E",77,39.94
34.927,40.215,78,79,53.353,"Class4","M",91.142,30.11,"W",31,49.431
57.251,36.761,65,55,25.085,"Class2","J",93.633,61.629,"P",78,39.441
30.536,40.21,15,85,83.539,"Class1","Z",4.139,59.858,"P",39,37.92
29.159,46.96,25,87,28.153,"Class1","Z",6.78,46.505,"C",29,94.604
54.377,26.897,60,8,24.191,"Class2","Y",83.348,79.208,"L",77,49.823
47.306,21.388,61,75,58.865,"Class4","N",89.428,18.26,"S",57,31.579
62.02,26.959,64,40,21.688,"Class2","G",82.503,93.348,"L",80,68.556
13.662,48.866,12,83,42.021,"Class1","Z",12.113,43.026,"C",64,73.943
13.033,21.227,57,36,48.678,"Class3","T",15.03,18.891,"I",30,76.954
47.148,46.416,58,41,15.856,"Class2","J",86.426,42.17,"P",83,36.763
45.327,28.442,65,20,22.337,"Class2","O",82.697,57.702,"L",81,47.465
24.007,68.653,38,77,79.995,"Class1","Z",50.382,54.236,"P",50,38.244
40.018,18.958,53,22,17.573,"Class2","O",92.993,65.227,"F",82,30.392
62.037,77.052,94,66,27.029,"Class4","N",90.429,32.438,"S",11,56.345
58.127,23.095,54,66,21.582,"Class2","U",83.896,78.542,"P",77,45.078
22.878,21.337,61,8,42.532,"Class3","R",18.532,14.227,"C",9,45.71
28.5,55.114,24,88,70.894,"Class1","Y",37.546,75.347,"C",31,66.598
29.515,72.319,57,NA,59.278,"Class4","M",88.113,30.356,"W",76,44.723
11.202,42.24,17,82,45.494,"Class1","K",58.463,22.488,"F",47,59.751
41.826,28.735,92,74,38.011,"Class4","M",88.265,20.579,"W",93,46.443
16.341,21.545,56,27,30.67,"Class3","Z",17.383,22.831,"O",18,29.477
57.341,43.484,56,45,19.793,"Class2","U",88.088,74.228,"F",80,45.236
50.113,28.499,57,NA,25.229,"Class2","O",86.818,51.408,"P",76,50.577
46.058,50.911,53,82,37.264,"Class1","B",50.202,91.426,"P",32,42.895
21.105,21.646,61,34,93.238,"Class3","Z",19.634,33.641,"N",40,2.511
25.847,21.21,30,33,60.9,"Class3","Y",15.546,20.461,"O",17,58.845
20.246,21.451,40,30,69.738,"Class3","G",19.48,24.345,"O",37,44.157
44.132,28.616,47,73,29.642,"Class4","M",88.662,36.264,"H",27,41.276
70.981,75.444,85,80,62.103,"Class4","N",92.936,40.71,"H",79,43.94
39.667,63.289,51,82,96.604,"Class1","C",15.582,46.824,"P",42,92.728
33.712,42.334,88,71,75.553,"Class4","F",88.463,28.292,"J",75,40.84
27.921,48.194,41,86,68.838,"Class1","B",57.083,39.06,"P",57,102.103
53.612,20.834,61,68,8.922,"Class4","J",89.588,38.093,"W",18,39.865
33.962,43.058,32,89,86.585,"Class1","K",38.763,89.574,"M",55,78.218
16.617,21.142,38,34,71.559,"Class3","T",20.753,13.735,"O",27,28.068
63.381,41.423,56,23,20.476,"Class2","G",86.425,66.24,"P",83,50.73
60.653,72.384,72,70,-9.038,"Class4","M",88.458,38.966,"H",17,40.569
52.503,38.227,55,53,21.365,"Class2","O",89.035,94.254,"E",81,46.152
20.229,72.515,20,90,53.635,"Class1","K",47.434,30.463,"P",27,20.091
37.509,80.182,55,82,29.387,"Class1","C",52.957,82.579,"U",66,49.3
36.846,56.891,72,72,14.344,"Class4","N",89.055,20.108,"O",86,47.453
24.666,21.27,51,5,37.214,"Class3","R",10.434,12.021,"N",32,44.163
27.814,37.473,27,NA,78.853,"Class1","Z",57.67,58.317,"C",62,3.642
21.205,21.428,35,17,76.719,"Class3","Z",16.54,19.785,"O",22,20.402
16.019,21.937,44,25,67.53,"Class3","G",12.249,11.261,"N",19,62.925
44.934,33.396,63,26,21.869,"Class2",NA,91.459,74.147,"P",76,48.233
11.455,21.771,44,15,62.407,"Class3","Z",15.69,15.494,"S",34,30.105
49.401,71.416,60,66,0.158,"Class4","M",91.805,31.695,"J",65,35.568
27.26,65.511,41,76,41.048,"Class1","Y",25.665,81.95,"F",50,46.618
57.617,39.635,62,53,23.671,"Class2","J",87.389,41.864,"E",80,47.913
14.164,20.486,87,77,49.427,"Class4","F",88.543,40.631,"H",29,53.74
26.175,77.978,28,78,67.358,"Class1","C",14.866,45.343,"P",55,68.261
55.68,42.588,55,32,20.754,"Class2","G",90.487,90.691,"E",77,41.261
57.348,27.316,57,82,14.901,"Class2","Y",87.702,29.482,"F",81,51.536
53.795,27.857,53,77,18.916,"Class4","N",90.814,31.085,"S",18,49.387
10.05,73.613,41,74,93.784,"Class1","K",52.475,57.481,"C",58,59.207
41.248,64.485,62,76,45.357,"Class4","N",88.915,25.709,"O",100,49.298
54.968,44.113,53,NA,22.009,"Class2","O",88.086,93.814,"E",83,43.863
24.444,21.353,36,32,-2.202,"Class3","Y",20.534,24.741,"N",37,-2.472
41.254,45.954,49,70,100.309,"Class4","M",88.287,38.767,"S",46,39.925
18.091,21.46,60,35,79.867,"Class3","R",16.396,15.99,"N",32,38.953
30.33,21.877,42,33,39.507,"Class3","T",16.118,32.231,"S",24,69.68
25.663,44.759,39,91,73.014,"Class1",NA,28.188,19.826,"U",66,52.579
24.74,21.933,43,24,79.793,"Class3","G",9.306,26.538,"N",34,36.682
18.453,21.655,28,36,67.58,"Class3","T",12.36,23.415,"C",36,61.704
2.163,21.728,29,15,46.152,"Class3","R",17.427,31.953,"O",6,27.543
52.026,24.009,53,61,25.677,"Class2","U",93.174,63.143,"A",79,44.01
40.163,53.631,36,82,49.769,"Class1","B",21.536,16.373,"F",30,40.433
32.04,74.752,40,77,50.028,"Class1","Y",55.024,32.874,"U",23,58.932
27.99,44.607,35,79,50.925,"Class1","Z",17.207,21.276,"F",54,39.287
39.686,28.106,39,85,70.64,"Class1","Z",37.711,74.192,"M",65,38.809
78.14,36.861,94,63,35.72,"Class4","N",92.732,36.286,"J",22,61.755
29.992,40.483,85,78,22.058,"Class4","J",92.653,38.235,"W",48,42.519
52.096,36.074,62,3,24.236,"Class2","J",83.475,89.497,"F",76,27.103
36.655,21.069,49,36,62.698,"Class3","G",8.93,24.32,"N",20,19.552
17.211,21.262,42,20,128.619,"Class3","R",8.658,17.716,"O",35,16.663
58.143,51.61,41,75,50.523,"Class1","Z",26.952,41.99,"U",25,51.947
60.215,48.005,80,81,52.781,"Class4","Y",88.161,31.887,"O",79,49.623
10.552,21.488,58,36,72.213,"Class3",NA,20.674,19.018,"C",16,51.309
49.887,47.239,63,91,22.859,"Class2","J",87.676,24.031,"E",79,38.797
25.08,21.566,39,7,23.946,"Class3","T",19.33,11.527,"O",33,17.168
23.781,21.077,59,16,16.53,"Class3","R",20.035,23.335,"O",27,20.409
27.151,47.43,55,74,56.241,"Class1","Y",49.028,32.32,"M",22,67.123
38.815,80.922,70,77,11.829,"Class4","Y",89.147,33.459,"J",87,31.393
21.005,77.75,15,77,78.861,"Class1",NA,46.147,72.806,"M",29,66.764
21.281,42.434,34,73,78.174,"Class1",NA,52.486,42.427,"F",63,55.146
14.469,21.682,47,31,55.025,"Class3","T",8.083,33.652,"N",38,54.701
66.199,36.41,65,75,14.995,"Class2","J",82.534,28.513,"P",78,42.226
68.778,47.884,89,80,77.136,"Class4","N",92.179,25.616,"H",70,47.879
30.148,21.784,46,6,43.695,"Class3","T",11.823,23.631,"O",38,63.585
22.73,36.07,85,69,-6.02,"Class4","J",89.228,37.413,"H",53,32.513
53.969,58.275,94,74,-0.481,"Class4","M",90.987,34.288,"H",86,55.016
11.962,79.635,38,91,38.076,"Class1","Z",5.404,51.394,"M",69,-12.213
58.581,36.397,51,80,22.865,"Class2","J",83.329,22.157,"A",79,39.557
15.832,21.391,60,37,33.534,"Class3","G",9.92,12.135,"S",21,37.794
32.405,65.627,32,90,77.053,"Class1","B",57.386,47.024,"P",56,57.4
23.741,68.231,28,84,57.884,"Class1","B",23.749,85.685,"M",27,78.72
72.179,67.888,60,72,71.96,"Class4","F",90.325,26.796,"H",40,44.883
57.127,39.593,76,72,60.811,"Class4","N",91.717,33.031,"H",75,50.913
28.893,41.049,13,91,26.329,"Class1","K",32.163,48.797,"C",45,58.943
49.483,55.937,51,76,1.133,"Class4","N",88.763,24.254,"W",40,65.427
56.353,31.865,62,36,21.377,"Class2","G",85.654,73.923,"L",78,46.859
61.902,21.9,63,70,18.571,"Class2","O",90.126,81.681,"L",82,49.115
39.583,43.059,60,3,24.532,"Class2","J",86.692,34.355,"A",77,46.374
2.871,71.997,17,89,62.265,"Class1","C",53.618,19.697,"C",35,64.298
16.225,21.787,52,36,68.415,"Class3","Z",14.089,12.031,"S",23,36.521
14.648,21.148,44,36,119.976,"Class3","Y",17.862,22.216,"N",35,34.071
6.266,56.46,41,85,66.302,"Class1","K",44.363,27.649,"U",47,61.692
48.286,37.424,57,67,21.318,"Class2","Y",90.592,68.578,"L",83,50.721
50.145,71.442,57,70,33.389,"Class4","M",91.451,25.067,"S",26,55.771
16.566,70.551,48,73,64.149,"Class1","Z",42.776,38.206,"F",55,34.598
37.562,59.648,26,80,93.985,"Class1","Z",7.919,84.656,"M",59,55.169
20.32,35.456,27,85,38.069,"Class1","C",28.666,47.522,"C",28,20.144
50.652,23.77,63,50,18.802,"Class2","J",84.886,21.8,"A",79,45.527
44.77,31.17,62,31,24.062,"Class2","J",86.597,36.207,"F",81,39.291
13.659,21.035,53,34,93.67,"Class3","Z",8.436,12.953,"N",13,74.714
58.09,44.346,61,74,22.26,"Class2","J",91.472,32.204,"E",83,38.308
40.774,76.81,86,68,56.456,"Class4","J",91.088,29.484,"H",25,37.929
18.286,21.641,38,NA,26.164,"Class3","T",18.125,18.74,"N",27,90.821
45.316,46.506,52,77,74.305,"Class1","B",29.081,51.123,"P",41,7.093
35.002,70.057,16,NA,69.247,"Class1","K",33.523,38.962,"F",22,-4.976
38.08,60.242,28,78,44.929,"Class1","K",32.418,26.427,"C",51,22.983
53.409,41.354,53,8,24.966,"Class2","U",89.973,35.091,"E",76,65.699
37.024,62.846,26,91,31.445,"Class1","C",41.277,60.07,"C",65,55.329
58.466,45.477,54,64,18.77,"Class2","G",86.269,84.407,"E",83,46.858
50.729,50.026,87,64,57.295,"Class4","F",91.292,32.341,"O",48,40.46
54.121,19.238,64,4,19.024,"Class2","Y",91.317,62.263,"F",83,39.025
62.67,27.905,55,92,22.64,"Class2","G",84.764,38.378,"A",76,49.748
30.491,21.415,30,32,63.056,"Class3","G",13.608,30.627,"S",25,22.539
46.596,42.444,62,38,16.977,"Class2",NA,92.05,61.311,"L",78,41.096
48.811,42.675,57,43,20.713,"Class2","J",82.483,93.767,"F",78,48.068
48.8,79.801,70,NA,48.799,"Class4",NA,90.945,34.121,"H",99,50.331
40.39,20.152,62,82,25.563,"Class2","J",91.016,49.353,"P",80,38.099
53.18,34.875,61,70,22.026,"Class2","Y",86.176,28.058,"L",76,42.504
34.171,82.125,51,92,68.044,"Class1","B",16.635,86.491,"U",55,83.535
17.374,21.346,44,30,8.435,"Class3","Z",8.203,25.272,"I",27,24.822
15.168,60.287,21,89,25.819,"Class1","Y",45.263,66.979,"P",27,22.221
59.564,24.756,80,67,41.251,"Class4","F",88.428,32.397,"H",38,45.777
50.731,24.327,64,78,21.709,"Class2","U",87.163,42.265,"A",82,37.839
42.819,33.555,14,91,38.427,"Class1","C",28.292,81.828,"M",36,71.215
51.845,29.973,59,57,20.48,"Class2","U",87.047,51.112,"L",77,36.701
24.357,21.37,39,37,50.906,"Class3","Y",20.28,22.041,"C",29,22.388
64.132,43.271,55,12,20.285,"Class2","U",85.659,22.576,"P",83,52.755
60.993,47.631,56,13,24.193,"Class2","U",86.372,28.146,"P",76,42.09
51.498,24.346,51,65,46.436,"Class4","N",90.188,19.562,"W",86,28.948
10.543,21.881,51,13,-10.256,"Class3","Z",20.222,18.306,"S",6,26.648
67.701,77.942,77,65,53.24,"Class4","Y",92.836,28.953,"S",94,38.147
64.533,72.765,53,75,32.102,"Class4",NA,91.93,40.683,"J",72,34.518
45.094,57.25,33,88,41.959,"Class1","C",10.003,79.776,"F",54,35.773
27.45,21.504,34,12,82.347,"Class3","T",19.432,27.383,"O",28,11.924
41.741,50.971,44,89,36.369,"Class1","Y",58.047,57.123,"C",23,92.619
58.573,34.621,65,44,21.089,"Class2","O",93.198,53.909,"E",80,40.086
16.507,21.729,45,25,31.555,"Class3","Y",13.65,27.895,"N",27,59.523
48.248,46.571,66,75,28.832,"Class2","O",84.477,95.43,"A",76,33.095
49.953,27.113,61,25,19.804,"Class2",NA,90.522,56.921,"P",83,42.984
50.465,29.257,85,72,37.217,"Class4","F",89.405,38.24,"H",99,50.556
18.224,21.136,38,5,94.843,"Class3","R",9.982,33.268,"O",21,44.285
54.158,68.934,77,NA,28.99,"Class4","Y",92.771,20.095,"O",32,73.043
52.235,22.258,65,61,19.972,"Class2","J",82.106,83.207,"E",76,44.774
42.709,17.884,52,65,21.817,"Class2","Y",93.078,56.498,"P",79,37.969
56.772,60.751,41,76,55.331,"Class4","J",90.832,31.127,"O",63,32.969
19.604,39.08,32,82,98.781,"Class1","Y",51.147,33.149,"U",67,57.274
10.525,30.247,43,92,62.32,"Class1","Y",28.851,31.83,"F",59,68.537
30.265,67.915,21,81,68.691,"Class1","B",57.433,50.546,"M",30,45.03
32.196,66.017,57,68,69.719,"Class4","Y",89.512,27.645,"S",62,42.015
22.156,39.403,53,91,79.715,"Class1","Z",17.134,58.274,"M",60,20.125
64.212,80.688,74,72,13.595,"Class4","J",89.369,20.649,"S",50,11.301
49.456,66.273,56,63,30.181,"Class4","F",92.641,21.477,"W",63,37.07
20.576,48.118,12,78,82.528,"Class1","Y",23.772,52.198,"P",25,101.408
51.074,43.693,63,28,26.469,"Class2","O",92.589,31.641,"L",80,53.452
25.724,21.245,57,9,55.698,"Class3","Y",20.669,23.886,"O",33,43.16
32.17,50.298,37,83,87.416,"Class1","Y",22.59,18.474,"C",44,58.054
41.55,22.264,90,81,70.831,"Class4","M",91.66,23.767,"W",30,40.506
52.211,22.487,63,77,21.277,"Class2",NA,83.482,83.494,"E",82,38.72
17.773,21.452,41,24,72.116,"Class3","T",16.487,33.807,"I",14,38.798
46.863,27.988,56,44,27.556,"Class2","O",89.084,85.596,"A",81,41.353
30.541,36.189,38,75,99.927,"Class1","Y",34.662,63.445,"C",60,42.335
59.527,40.191,62,71,71.409,"Class4","M",90.796,28.629,"S",13,54.049
54.954,30.382,57,83,26.415,"Class2","O",88.998,41.82,"P",82,56.462
24.876,49.037,51,89,65.697,"Class1","C",31.233,78.778,"F",46,26.906
53.123,22.196,65,47,20.305,"Class2","J",93.825,48.305,"E",83,36.365
57.041,62.629,71,NA,55.411,"Class4","J",88.294,19.287,"H",44,62.483
32.114,21.525,46,30,62.849,"Class3","T",8.533,16.494,"I",20,-45.508
52.595,55.004,50,74,43.022,"Class4","M",88.371,36.748,"J",86,37.919
20.483,79.769,25,76,74.986,"Class1","K",21.062,22.806,"P",36,81.126
35.678,43.01,89,81,70.35,"Class4","F",91.863,24.843,"O",30,36.395
55.4,45.032,59,81,26.445,"Class2","Y",85.104,31.091,"E",77,41.34
17.697,21.667,44,5,40.181,"Class3","Y",10.746,23.701,"C",36,17.198
63.119,70.592,82,68,42.12,"Class4","N",88.464,38.36,"W",17,41.571
28.019,47.395,52,93,67.427,"Class1","K",30.059,34.921,"P",67,10.606
44.353,36.931,45,73,33.31,"Class4","N",88.873,27.047,"O",89,55.749
11.276,33.8,72,77,54.741,"Class4","F",89.238,22.765,"H",34,53.947
21.156,21.214,49,20,78.102,"Class3","R",16.261,19.381,"S",37,67.575
21.223,21.255,30,22,58.072,"Class3","T",9.487,30.811,"N",16,37.315
44.273,32.897,61,18,26.591,"Class2","U",84.416,88.63,"P",78,26.012
40.784,53.366,72,81,29.884,"Class4","M",90.099,26.711,"W",15,43.192
21.086,78.721,42,79,77.341,"Class1","Y",51.24,55.397,"F",22,52.784
56.792,25.176,55,58,18.556,"Class2","J",91.643,93.736,"P",80,47.224
48.416,19.521,66,29,21.103,"Class2","G",90.321,76.899,"F",76,48.994
57.237,30.402,55,92,24.591,"Class2","J",84.281,26.231,"A",76,51.269
49.041,19.337,65,25,21.824,"Class2","J",92.93,63.214,"L",80,34.155
13.217,21.296,35,10,51.311,"Class3","Z",11.717,20.767,"O",7,29.409
49.22,66.146,65,76,74.533,"Class4","J",90.037,33.897,"W",87,61.136
-0.163,49.214,48,85,64.004,"Class1","B",23.852,90.785,"U",24,41.999
89.4,73.622,59,69,35.465,"Class4","M",92.012,30.121,"W",84,28.627
53.859,46.37,58,NA,18.678,"Class2","J",83.264,55.401,"E",78,54.895
21.891,21.734,29,NA,49.933,"Class3","G",8.318,20.982,"C",22,43.14
45.657,31.137,66,82,17.295,"Class2","J",93.744,90.021,"E",80,40.981
17.331,21.108,59,37,107.32,"Class3","R",18.998,29.498,"O",36,63.29
30.043,74.581,18,89,62.964,"Class1","Y",55.233,50.696,"U",42,48.587
6.268,70.452,15,77,29.756,"Class1","K",17.888,31.246,"M",61,61.63
15.819,21.453,40,24,86.465,"Class3","R",15.828,21.977,"N",32,71.89
34.079,66.041,53,73,81.872,"Class1","Z",26.403,31.543,"M",31,30.152
59.533,34.102,52,8,23.039,"Class2","J",84.522,42.084,"F",76,46.149
24.338,21.526,45,31,50.077,"Class3",NA,13.771,27.24,"O",24,31.775
