"A1","A2","A3","A4","A5","A6","Output26","A7","A8","A9","A10","A11"
14.796,23,95.417,84.787,23.585,"J","Class1",53.204,"S",46,7.64,38
72.91,67,61.484,66.144,46.414,"B","Class2",73.66,"D",88,63.677,89
77.257,66,65.725,NA,42.261,"A","Class2",60.96,"S",63,34.551,81
3.997,30,90.568,71.638,21.177,"K","Class1",54.177,"Z",35,8.725,43
7.32,25,78.848,79.396,24.666,"K","Class1",47.512,"Z",48,8.479,35
10.178,21,79.902,82.644,NA,"K","Class1",35.581,"Y",42,7.681,45
20.384,19,87.349,71.499,21.923,"K","Class1",33.873,"S",46,6.109,39
65.326,67,69.007,66.711,50.736,"K","Class2",91.592,"S",95,67.544,91
50.311,69,48.84,82.937,43.103,"I","Class2",82.41,"D",58,60.508,91
8.044,30,85.281,79.307,23.465,"K","Class1",52.928,"S",44,8.963,40
54.469,68,50.429,66.128,71.298,"B","Class2",65.319,"S",92,52.186,81
18.948,25,73.995,65.547,25.232,"O","Class1",47.294,"S",47,7.666,39
12.091,24,87.959,87.657,23.384,"E","Class1",44.005,"Y",35,6.841,33
16.417,21,88.457,78.878,23.1,"Z","Class1",60.65,"S",35,7.157,37
78.858,68,58.232,79.463,71.449,"B","Class2",60.508,"D",67,28.432,86
62.396,67,62.714,65.069,40.985,"T","Class2",93.915,"T",87,43.228,85
75.664,68,43.833,70.032,64.42,"B","Class2",95.489,"D",97,66.924,84
79.477,66,52.848,77.606,43.063,"A","Class2",87.303,"S",63,53.41,81
92.586,69,26.138,69.524,50.289,"I","Class2",61.685,"Z",85,44.256,90
67.331,67,29.83,76.976,38.468,"T","Class2",95.271,"W",90,63.605,90
22.649,24,91.893,81.092,23.74,"K","Class1",54.884,"Z",57,8.104,48
6.033,30,86.569,80.208,22.024,"K","Class1",39.125,"Y",34,6.098,44
14.056,17,87.062,NA,24.002,"J","Class1",26.569,"R",48,7.333,29
15.049,30,87.642,85.882,23.722,"O","Class1",40.497,"Y",41,6.637,43
79.928,69,44.238,68.27,47.851,"K","Class2",61.46,"W",85,65.502,87
7.532,19,85.192,76.348,21.441,"J","Class1",43.512,"X",41,7.647,40
10.279,28,90.49,82.365,22.686,"K","Class1",45.749,"S",43,7.206,40
17.694,23,87.185,66.757,25.623,"O","Class1",34.624,"R",56,6.734,37
13.444,17,92.548,81.434,23.77,"O","Class1",25.511,"X",58,6.394,42
75.081,66,61.39,72.506,64.181,"A","Class2",97.635,"S",63,66.015,87
74.207,66,53.559,82.334,53.978,"B","Class2",66.267,"S",69,33.472,82
15.405,18,100.835,80.885,21.752,"K","Class1",62.334,"S",46,8.932,45
9.417,18,92.084,83.196,23.169,"O","Class1",24.076,"Z",44,7.346,34
14.717,28,85.744,76.331,NA,"J","Class1",46.723,"S",34,7.496,30
17.814,21,104.647,68.499,22.07,"E","Class1",51.619,"S",49,7.506,45
12.615,19,97.643,82.51,23.755,"K","Class1",33.241,"X",57,6.584,46
15.52,17,86.057,75.865,24.912,"J","Class1",26.54,"S",54,8.325,48
11.913,24,82.173,65.425,23.952,"J","Class1",25.941,"Y",43,7.994,33
4.83,30,88.84,87.277,23.334,"K","Class1",58.837,"Z",52,7.359,49
13.618,22,84.456,72.119,23.905,"Z","Class1",55.597,"X",33,6.1,37
62.81,66,46.902,NA,52.367,"T","Class2",92.288,"T",57,54.841,89
80.167,68,25.563,82.783,48.551,"B","Class2",62.835,"Z",58,53.204,85
16.996,19,90.699,67.932,24.562,"J","Class1",44.284,"Y",47,6.103,50
39.976,68,39.24,71.794,51.673,"B","Class2",84.684,"Z",56,61.942,86
11.664,18,83.877,82.411,21.094,"E","Class1",49.526,"Y",33,8.479,48
67.804,66,51.682,80.527,57.528,"A","Class2",61.23,"Z",65,34.108,83
16.106,26,85.903,65.808,24.465,"Z","Class1",49.374,"R",44,8.859,37
73.601,69,64.731,83.71,NA,"I","Class2",52.753,"T",67,29.903,89
73.523,68,46.187,76.31,44.563,"A","Class2",77.081,"T",75,58.675,89
9.804,22,93.129,68.08,24.93,"O","Class1",29.206,"X",49,6.325,31
14.273,19,83.492,73.824,22.421,"J","Class1",35.832,"Y",34,7.522,31
7.704,26,97.518,83.187,25.422,"O","Class1",32.685,"R",35,6.996,32
46.002,68,46.533,77.366,42.292,"B","Class2",98.92,"T",91,48.961,85
100.471,68,30.744,67.864,43.571,"A","Class2",70.22,"T",88,62.545,86
7.341,25,87.536,88.602,23.008,"Z","Class1",59.251,"R",41,7.961,34
60.959,66,50.319,77.499,NA,"K","Class2",79.985,"W",65,35.054,91
16.845,23,91.982,69.657,23.188,"O","Class1",50.26,"R",45,6.346,34
9.435,23,80.008,78.747,21.898,"K","Class1",39.823,"R",52,7.991,28
76.952,66,63.176,72.566,44.847,"B","Class2",55.385,"S",84,41.174,90
7.708,19,94.821,81.001,25.087,"J","Class1",59.405,"X",38,7.768,35
58.163,67,45.078,67.556,67.866,"T","Class2",73.766,"T",87,18.721,87
14.782,23,81.316,NA,21.958,"O","Class1",45.303,"X",58,6.314,27
56.133,66,58.441,70.216,50.686,"I","Class2",72.554,"S",63,41.259,85
62.382,67,45.089,66.384,46.818,"I","Class2",72.403,"Z",69,37.353,82
78.756,66,28.864,84.658,58.012,"K","Class2",62.924,"Z",74,33.328,82
16.965,29,85.159,NA,21.652,"K","Class1",42.15,"R",44,8.075,44
11.158,18,87.568,67.07,23.047,"E","Class1",59.615,"S",41,6.65,30
7.708,25,80.059,70.052,21.712,"K","Class1",60.211,"X",40,6.404,46
4.63,24,88.373,74.33,22.166,"K","Class1",31.571,"Z",47,7.214,50
55.619,67,54.434,82.9,49.799,"A","Class2",89.927,"Z",86,47.868,84
73.788,66,51.24,67.41,39.849,"A","Class2",92.109,"T",81,25.033,85
7.759,19,95.22,67.482,25.096,"K","Class1",51.501,"Z",55,6.3,44
13.156,28,83.299,67.317,24.116,"E","Class1",30.919,"Z",35,8.75,40
78.661,69,9.501,75.754,44.145,"A","Class2",54.101,"Z",70,20.533,84
46.434,69,40.308,81.356,61.692,"K","Class2",61.155,"Z",66,17.258,88
5.843,30,88.564,65.378,23.212,"K","Class1",48.691,"S",38,8.967,37
76.973,66,66.424,75.886,50.139,"K","Class2",73.953,"S",78,67.452,87
11.463,24,83.161,83.374,24.543,"O","Class1",53.508,"Y",57,6.704,48
59.11,68,55.853,69.511,47.459,"A","Class2",83.089,"S",63,48.958,82
49.691,68,61.157,82.024,NA,"T","Class2",78.32,"W",97,55.118,87
61.273,68,69.976,NA,57.361,"K","Class2",94.87,"D",57,29.602,90
8.148,26,83.753,67.725,24.625,"K","Class1",45.245,"Z",49,7.052,46
89.821,67,38.412,75.58,57.161,"I","Class2",54.35,"D",80,31.73,88
66.083,67,41.098,NA,57.818,"K","Class2",65.023,"Z",82,64.568,86
11.641,28,80.999,72.026,26.229,"O","Class1",34.077,"S",57,6.415,49
69.904,66,61.726,NA,64.612,"A","Class2",65.706,"Z",94,62.304,83
16.634,17,85.451,75.474,21.732,"O","Class1",29.391,"X",52,6.284,38
14.714,30,86.705,78.97,23.223,"E","Class1",55.747,"Z",39,7.747,31
67.048,66,43.226,66.31,47.519,"T","Class2",67.967,"T",80,41.521,89
13.402,24,90.003,79.584,24.244,"K","Class1",48.309,"Z",48,6.84,45
5.145,23,86.533,73.061,20.814,"E","Class1",57.672,"Y",48,7.503,41
6.832,21,87.674,86.064,22.196,"J","Class1",55.14,"Y",34,6.389,44
67.046,68,45.885,83.96,54.099,"T","Class2",85.012,"Z",92,18.743,88
88.674,67,33.226,84.058,NA,"I","Class2",69.828,"Z",70,48.011,89
78.703,66,25.557,71.057,63.992,"T","Class2",56.359,"T",63,22.903,88
77.52,66,25.466,72.618,41.44,"T","Class2",68.879,"Z",97,37.392,81
75.62,66,32.984,67.609,19.301,"I","Class2",75.759,"S",61,23.208,81
17.677,29,83.542,86.13,23.278,"J","Class1",47.56,"Y",45,8.095,46
71.982,66,59.361,80.785,52.139,"B","Class2",56.454,"Z",72,65.27,84
3.94,19,85.57,78.688,NA,"K","Class1",31.904,"S",40,8.846,39
17.946,23,82.399,70.046,23.381,"Z","Class1",29.309,"S",51,8.154,28
17.33,24,85.11,70.746,22.259,"O","Class1",29.683,"S",58,7.263,49
82.198,68,76.156,78.8,48.985,"T","Class2",75.934,"Z",56,17.683,89
70.287,69,48.885,NA,44.868,"K","Class2",97.364,"Z",93,49.528,83
18.329,20,78.831,87.814,22.402,"J","Class1",38.453,"S",53,6.013,40
68.876,66,45.366,65.901,37.063,"T","Class2",86.75,"Z",93,48.236,83
9.589,18,90.703,84.594,23.727,"K","Class1",38.04,"X",55,8.65,29
15.053,21,84.056,78.227,23.064,"E","Class1",54.101,"R",36,6.081,41
12.693,25,93.583,65.486,22.156,"J","Class1",57.323,"X",57,7.833,42
9.508,22,82.959,79.347,21.88,"K","Class1",36.719,"R",53,7.165,28
52.698,67,50.732,81.907,55.982,"I","Class2",73.912,"D",92,16.444,83
85.85,66,43.16,78.607,51.321,"B","Class2",59.199,"D",56,37.718,87
12.614,30,86.011,85.501,23.121,"Z","Class1",37.257,"Y",41,8.906,30
44.686,66,51.107,81.001,35.994,"K","Class2",92.884,"S",70,47.489,82
76.986,68,58.916,84.627,61.971,"A","Class2",76.051,"T",81,61.275,83
62.384,69,62.67,75.804,54.231,"B","Class2",79.712,"W",74,28.494,91
55.361,69,32.704,65.111,58.588,"B","Class2",76.635,"Z",70,55.279,88
69.109,68,57.402,73.843,29.457,"T","Class2",59.449,"S",76,63.781,90
56.973,66,42.518,81.51,65.143,"I","Class2",99.913,"W",88,62.809,88
8.115,28,86.703,NA,23.753,"J","Class1",57.586,"X",49,8.464,35
65.948,66,52.623,NA,36.221,"T","Class2",99.193,"T",70,58.188,86
6.651,25,92.382,84.429,21.965,"K","Class1",57.918,"Z",38,8.754,31
78.16,68,64.009,74.507,45.666,"B","Class2",62.964,"S",65,56.37,88
68.631,67,51.137,65.31,24.873,"I","Class2",83.665,"S",95,67.791,89
21.404,29,95.506,69.27,21.694,"E","Class1",59.263,"X",49,8.237,28
47.218,68,91.249,76.986,26.575,"T","Class2",57.036,"S",69,31.227,86
60.762,69,54.022,79.046,38.001,"T","Class2",99.341,"Z",84,39.23,89
68.303,66,49.995,76.92,NA,"B","Class2",53.45,"S",60,49.449,86
19.549,21,90.757,67.578,21.753,"E","Class1",46.395,"Y",47,6.063,36
64.651,66,57.601,81.219,45.196,"B","Class2",87.822,"S",62,18.705,81
64.833,68,61.075,80.546,40.82,"B","Class2",93.051,"Z",64,26.254,87
54.386,66,68.431,83.659,52.39,"B","Class2",82.581,"T",81,20.575,91
72.709,68,40.496,73.369,66.415,"B","Class2",79.467,"D",63,17.783,91
51.151,67,57.74,75.087,42.634,"T","Class2",63.312,"S",71,62.495,91
19.98,27,83.314,71.754,22.64,"Z","Class1",51.726,"X",53,7.708,37
27.718,17,86.778,81.055,23.549,"K","Class1",47.344,"Y",35,7.361,38
56.187,67,62.362,67.209,57.065,"I","Class2",91.474,"W",81,31.432,83
4.268,29,87.895,81.045,23.028,"Z","Class1",25.064,"S",58,6.168,30
16.315,21,86.044,74.894,21.968,"Z","Class1",25.141,"X",39,8.71,41
86.409,69,50.467,71.474,44.806,"B","Class2",69.335,"S",58,66.36,82
0.765,27,94.507,75.849,24.923,"K","Class1",38.344,"X",57,6.642,49
6.234,24,80.161,76.224,21.242,"J","Class1",26.935,"R",43,7.507,49
12.938,20,95.295,67.518,23.753,"K","Class1",58.229,"R",54,8.553,37
75.968,67,76.199,66.968,52.485,"I","Class2",96.353,"W",57,59.104,85
71.445,69,48.858,75.96,52.691,"I","Class2",76.262,"S",70,45.837,81
14.664,22,95.804,81.75,24.554,"Z","Class1",29.071,"X",39,6.082,40
60.743,69,38.477,81.197,38.491,"I","Class2",70.128,"T",87,48.66,84
63.486,69,50.537,77.542,55.762,"K","Class2",60.534,"S",81,56.77,83
12.153,20,81.522,65.522,23.414,"K","Class1",28.317,"S",45,8.955,32
9.319,25,93.87,85.072,23.342,"K","Class1",25.782,"Y",36,7.204,36
4.981,25,100.328,73.811,22.745,"Z","Class1",27.985,"S",39,6.247,29
73.976,69,65.254,82.37,55.628,"B","Class2",56.657,"D",96,47.249,81
68.546,66,47.052,73.941,57.719,"A","Class2",85.322,"W",88,58.847,81
61.714,69,60.591,66.454,58.938,"B","Class2",76.987,"T",72,51.12,81
15.172,18,87.512,79.003,22.147,"O","Class1",50.58,"S",57,6.223,29
4.922,20,93.487,80.126,23.126,"K","Class1",42.835,"Y",44,7.57,41
79.259,69,40.71,79.155,43.446,"I","Class2",53.603,"D",65,49.481,85
13.205,23,81.394,79.573,23.535,"Z","Class1",59.708,"X",44,6.822,45
22.537,29,83.906,73.359,26.403,"J","Class1",44.503,"Y",51,8.65,50
16.079,19,95.472,77.595,22.328,"Z","Class1",31.519,"R",40,7.437,44
6.981,25,94.436,78.272,23.948,"Z","Class1",35.544,"X",49,8.208,47
5.426,18,86.68,69.877,23.121,"K","Class1",43.508,"Z",34,8.918,30
8.25,17,92.179,68.038,22.77,"O","Class1",31.284,"R",44,8.509,45
21.038,28,92.236,87.992,21.426,"O","Class1",58.064,"X",49,7.971,44
68.022,67,64.043,81.608,49.423,"K","Class2",79.907,"S",66,28.26,90
11.924,19,96.834,84.331,25.579,"K","Class1",35.997,"Z",35,6.339,44
69.305,68,73.062,81.091,65.964,"A","Class2",93.725,"D",83,59.068,82
13.359,29,82.398,79.61,23.019,"K","Class1",44.773,"R",49,6.05,44
17.211,29,84.609,82.319,21.407,"Z","Class1",32.664,"S",49,8.991,41
11.216,19,89.302,86.537,22.732,"E","Class1",26.915,"S",48,6.822,42
3.653,28,89.825,NA,23.067,"E","Class1",27.413,"R",47,7.359,41
9.364,22,84.198,87.521,23.787,"E","Class1",34.604,"Z",35,8.479,38
65.439,69,72.51,84.714,NA,"A","Class2",98.334,"W",60,17.792,89
55.113,66,52.659,70.532,74.372,"T","Class2",77.004,"Z",75,40.937,85
75.4,66,56.088,82.5,44.313,"I","Class2",62.078,"T",56,59.427,86
13.369,21,88.89,79.96,23.277,"K","Class1",31.69,"R",44,6.432,38
44.578,67,51.601,NA,50.117,"A","Class2",85.196,"T",57,58.95,85
10.535,24,89.405,83.77,25.586,"E","Class1",45.887,"S",36,7.043,41
64.727,69,31.95,74.971,NA,"K","Class2",94.572,"W",63,40.972,82
13.146,23,88.994,65.817,NA,"E","Class1",35.467,"R",49,6.556,36
62.923,68,25.043,76.634,41.224,"I","Class2",82.63,"S",62,61.718,85
8.928,25,91.192,74.729,20.372,"K","Class1",48.552,"Z",50,8.848,46
8.244,22,80.608,79.406,22.209,"K","Class1",39.512,"Z",39,8.186,31
62.371,67,44.031,80.475,46.836,"I","Class2",55.029,"D",72,52.908,83
76.206,68,47.609,72.88,30.817,"I","Class2",95.781,"S",66,55.807,82
65.031,67,23.012,70.366,37.064,"I","Class2",80.178,"W",91,26.983,82
10.455,22,89.795,80.81,23.906,"K","Class1",59.279,"S",56,6.401,37
77.212,66,51.639,76.585,60.475,"A","Class2",86.356,"Z",91,55.832,85
2.438,25,86.26,76.453,24.036,"J","Class1",26.226,"R",45,8.662,39
61.475,68,57.202,68.807,37.604,"K","Class2",69.928,"W",77,37.434,87
8.665,22,82.67,79.127,25.908,"Z","Class1",58.999,"R",44,7.832,36
66.236,67,50.653,81.134,43.161,"A","Class2",96.389,"Z",78,37.385,83
51.212,66,53.292,67.008,64.385,"I","Class2",95.576,"Z",76,24.869,86
61.696,69,54.115,79.108,34.979,"T","Class2",72.653,"D",79,55.471,90
66.337,68,16.566,NA,59.333,"K","Class2",80.772,"T",62,56.378,82
11.497,30,86.697,74.122,21.387,"Z","Class1",28.204,"R",37,7.384,40
64.02,66,62.104,74.249,54.819,"T","Class2",95.062,"W",94,43.821,82
9.54,19,76.883,87.335,24.569,"O","Class1",57.182,"Z",52,7.648,27
77.573,69,61.356,66.176,53.232,"B","Class2",71.593,"S",68,67.566,84
7.66,24,94.938,84.465,24.738,"J","Class1",35.939,"R",38,8.348,39
25.548,25,86.232,73.39,22.922,"K","Class1",38.972,"R",53,6.232,39
65.028,66,58.518,73.306,52.17,"A","Class2",73.014,"W",96,26.827,89
12.336,17,83.38,73.773,22.514,"J","Class1",49.463,"S",52,8.906,37
12.686,21,86.182,78.524,24.832,"J","Class1",49.095,"Z",51,6.484,27
15.97,27,92.243,87.715,21.188,"O","Class1",53.096,"R",55,6.151,33
9.742,22,92.313,87.255,NA,"Z","Class1",49.054,"Z",50,7.465,28
71.129,66,86.991,65.308,51.921,"T","Class2",73.004,"T",96,48.944,86
12.859,23,90.764,68.208,24.869,"K","Class1",59.393,"Y",52,8.836,47
59.546,69,67.684,68.624,63.392,"B","Class2",97.424,"T",63,29.744,90
86.394,68,17.409,71.284,40.378,"B","Class2",70.261,"W",57,66.336,84
71.202,68,51.167,73.735,62.843,"I","Class2",80.52,"Z",86,35.795,84
16.634,17,87.152,66.612,24.938,"O","Class1",46.755,"Y",45,7.377,32
8.822,23,90.9,77.76,23.701,"K","Class1",48.063,"Z",47,8.044,50
11.648,25,76.66,86.844,21.438,"Z","Class1",58.622,"Y",46,7.763,33
72.068,68,54.854,74.677,67.421,"I","Class2",70.609,"T",67,28.093,88
71.661,69,69.809,72.128,60.085,"T","Class2",66.496,"T",58,34.346,85
66.776,66,57.909,79.693,50.085,"I","Class2",72.271,"S",73,37.908,88
76.918,67,74.928,70.044,20.818,"I","Class2",60.764,"Z",61,44.032,91
18.446,21,89.608,85.473,24.17,"E","Class1",29.728,"S",48,7.872,27
13.58,29,92.028,NA,23.364,"J","Class1",58.352,"S",48,6.842,35
13.56,25,83.355,66.279,24.432,"E","Class1",24.196,"S",53,8.822,32
72.527,66,78.231,82.692,40.867,"I","Class2",57.965,"S",86,32.857,91
59.06,68,57.022,73.029,47.277,"I","Class2",87.321,"W",57,34.528,91
11.456,28,85.412,70.301,21.037,"O","Class1",54.556,"S",52,7.458,31
9.147,30,89.911,77.922,22.243,"J","Class1",56.24,"X",39,7.908,31
19.971,27,85.876,75.301,23.711,"Z","Class1",27.962,"Y",36,8.031,27
61.085,69,47.105,82.842,48.287,"T","Class2",75.161,"Z",61,36.693,83
9.288,20,96.396,87.789,24.219,"K","Class1",40.956,"S",47,6.178,39
17.501,22,89.985,73.378,22.272,"O","Class1",28.061,"Y",53,6.682,38
13.227,22,85.339,67.148,NA,"K","Class1",32.01,"Z",52,7.186,48
68.647,68,75.147,73.748,39.89,"T","Class2",94.036,"T",96,51.742,82
16.45,26,81.888,85.762,24.634,"O","Class1",43.48,"S",36,6.923,28
10.544,22,80.261,82.511,23.903,"K","Class1",26.1,"S",51,8.597,39
51.393,66,45.811,72.715,58.003,"I","Class2",66.054,"T",83,35.214,91
73.495,69,61.303,81.202,50.546,"I","Class2",53.026,"S",70,28.486,90
7.217,27,76.41,71.015,23.691,"Z","Class1",53.909,"S",33,7.496,38
68.257,69,59.977,71.567,61.038,"A","Class2",91.234,"T",82,32.749,86
9.876,25,88.418,77.445,21.945,"O","Class1",59.756,"X",34,6.063,46
9.047,24,77.445,68.721,22.647,"O","Class1",57.302,"S",37,6.384,35
62.497,68,62.484,83.733,43.12,"B","Class2",81.432,"Z",93,56.578,91
62.396,69,44.301,84.67,47.273,"I","Class2",52.341,"Z",76,67.201,90
12.748,17,75.799,69.681,22.396,"J","Class1",45.292,"S",33,8.947,35
10.245,27,89.109,81.769,23.856,"O","Class1",24.496,"Y",43,8.374,50
47.495,68,68.305,66.112,56.692,"A","Class2",66.801,"W",67,32.224,84
13.453,22,88.172,77.066,24.62,"J","Class1",48.947,"X",39,6.991,28
77.508,67,81.561,68.659,45.01,"A","Class2",67.637,"W",92,27.248,87
85.653,66,29.219,74.889,56.801,"K","Class2",58.693,"D",57,61.989,90
13.623,20,91.408,85.355,22.721,"O","Class1",37.588,"X",41,7.589,30
17.944,27,84.651,71.876,25.224,"O","Class1",41.593,"Z",47,8.401,28
85.035,68,65.917,71.039,62.143,"T","Class2",79.279,"Z",80,35.456,83
7.92,27,78.482,74.199,23.657,"Z","Class1",35.812,"X",40,6.059,35
53.215,66,40.008,71.143,33.063,"A","Class2",96.063,"S",71,35.18,90
41.766,69,67.386,67.532,NA,"A","Class2",81.438,"D",61,29.06,87
50.147,67,67.606,68.264,75.797,"T","Class2",74.956,"W",97,19.295,87
9.568,30,90.396,79.54,21.287,"Z","Class1",53.192,"S",41,8.722,43
16.691,19,91.644,80.077,23.04,"J","Class1",49.647,"X",57,8.161,34
46.976,66,59.496,NA,57.336,"I","Class2",53.746,"W",70,19.884,91
99.336,67,54.564,68.769,37.12,"K","Class2",80.395,"Z",75,16.648,89
13.305,25,85.82,NA,NA,"K","Class1",25.895,"X",33,8.591,27
1.685,21,94.492,84.105,24.56,"K","Class1",50.938,"X",52,7.158,38
61.666,69,75.375,69.134,52.85,"K","Class2",70.044,"W",96,29.811,91
11.231,17,88.141,69.795,22.872,"K","Class1",32.671,"X",49,7.548,49
14.325,26,83.49,67.212,22.55,"J","Class1",28.366,"Y",46,6.483,40
60.555,67,52.202,67.514,35.805,"I","Class2",98.51,"Z",67,40.144,91
73.872,69,66.426,83.788,66.271,"T","Class2",66.136,"Z",76,51.202,89
57.302,69,66.035,65.611,56.666,"B","Class2",69.863,"S",91,50.022,90
13.785,29,90.733,68.148,22.083,"K","Class1",59.813,"S",35,7.663,49
20.153,30,80.764,83.845,22.866,"E","Class1",32.81,"R",57,7.872,43
71.721,67,57.49,77.176,47.781,"B","Class2",57.524,"S",80,35.432,83
11.099,17,80.067,78.807,23.073,"K","Class1",54.576,"X",37,6.621,43
15.975,17,94.729,87.104,22.576,"Z","Class1",53.373,"X",39,6.259,42
