"D1","D2","D3","Output3","D4","D5","D6","D7","D8","D9","D10","D11"
73.138,"N",93,"Class2",64,9.157,51,29.3,23.56,43.616,57.268,"C"
67.011,"L",65,"Class3",20,85.632,38,87.592,77.14,82.588,86.916,"A"
68.764,"M",93,"Class2",63,4.721,65,48.523,44.125,32.061,93.317,"H"
61.476,"L",96,"Class2",67,8.591,40,30.781,23.984,28.52,81.303,"H"
62.797,"L",95,"Class2",67,7.558,40,NA,48.707,60.759,84.811,"A"
72.787,"N",68,"Class3",22,84.396,19,86.884,42.115,82.763,87.297,"C"
9.548,"Z",38,"Class1",56,39.454,77,84.452,18.921,83.273,30.517,"T"
67.275,"G",71,"Class3",21,84.967,52,84.766,32.918,87.509,86.67,"A"
64.015,"N",72,"Class3",18,84.928,62,88.891,16.601,76.004,88.25,"A"
9.589,"L",42,"Class1",40,39.573,77,89.018,24.497,68.829,30.274,"R"
1.838,"H",37,"Class1",50,37.481,82,87.825,47.827,60.49,38.143,"Q"
16.886,"L",37,"Class1",55,39.921,59,NA,40.634,89.486,37.96,"K"
76.219,"N",72,"Class3",22,84.727,22,88.19,83.18,82.922,87.28,"T"
12.941,"V",42,"Class1",50,37.456,71,87.666,41.636,81.415,39.112,"R"
59.317,"L",95,"Class2",70,5.319,37,40.57,45.133,55.869,93.367,"Y"
67.319,"Y",94,"Class2",72,5.789,55,33.44,21.732,67.299,92.186,"C"
79.079,"M",96,"Class2",75,6.95,47,9.975,60.278,43.13,76.872,"Y"
54.276,"N",96,"Class2",72,5.809,62,22.987,62.276,52.169,69.912,"A"
63.183,"L",95,"Class2",66,7.281,38,33.79,46.717,59.302,90.832,"X"
9.706,"L",40,"Class1",36,39.099,79,89.519,41.185,87.867,34.452,"R"
12.514,"L",40,"Class1",36,40.43,66,91.655,23.058,86.411,37.757,"R"
83.098,"Y",95,"Class2",74,5.07,47,8.302,41.606,35.494,NA,"Y"
52.91,"M",94,"Class2",71,4.802,43,21.115,24.765,19.137,92.714,"X"
85.544,"L",95,"Class2",63,7.425,51,11.288,52.062,45.346,60.468,"A"
15.609,"H",37,"Class1",43,38.811,82,89.574,51.753,69.903,31.54,"K"
15.294,"B",37,"Class1",65,37.101,79,88.754,39.94,84.725,31.343,"T"
4.719,"L",37,"Class1",44,36.031,79,93.091,33.808,84.64,30.781,"X"
86.628,"N",75,"Class3",16,85.111,48,83.075,68.114,84.261,87.904,"T"
7.056,"H",39,"Class1",45,37.829,74,88.396,39.61,70.601,NA,"Q"
91.618,"L",76,"Class3",25,84.451,37,84.357,33.679,76.712,87.095,"T"
72.775,"N",95,"Class2",62,8.767,38,14.968,20.674,33.84,65.631,"H"
71.732,"Y",96,"Class2",68,5.225,32,42.391,23.642,73.962,54.559,"C"
3.561,"B",37,"Class1",53,36.294,78,NA,26.191,79.375,35.214,"T"
80.351,"J",75,"Class3",24,84.521,48,86.563,71.589,83.387,NA,"A"
58.729,"M",95,"Class2",63,8.16,66,24.695,45.626,80.992,58.433,"H"
13.362,"B",37,"Class1",53,37.406,75,91.141,43.67,76.375,39.736,"R"
72.282,"D",95,"Class2",72,6.717,53,32.717,48.804,36.384,54.398,"C"
6.771,"B",42,"Class1",58,36.796,69,86.103,53.49,85.588,38.449,"T"
3.679,"Z",41,"Class1",50,39.549,74,89.731,22.878,74.863,33.168,"Q"
62.122,"N",94,"Class2",73,6.889,61,39.317,55.694,52.226,55.895,"C"
7.267,"V",42,"Class1",59,37.427,55,85.823,32.318,85.478,38.778,"R"
5.004,"Z",38,"Class1",48,38.484,55,87.318,49.891,65.059,34.733,"X"
61.681,"Y",96,"Class2",67,6.715,33,23.891,10.712,44.132,69.292,"X"
8.552,"Z",39,"Class1",58,37.07,74,93.132,60.234,85.091,37.943,"Q"
54.889,"L",96,"Class2",70,8.871,53,16.266,14.888,43.636,NA,"Y"
14.744,"V",37,"Class1",45,39.479,58,88.382,43.292,78.252,34.611,"R"
15.235,"L",37,"Class1",38,37.667,71,89.03,61.466,91.939,36.337,"T"
84.551,"G",72,"Class3",25,84.078,25,85.136,38.96,88.077,86.968,"T"
67.763,"G",67,"Class3",16,84.044,46,84.555,56.4,74.634,88.358,"K"
10.725,"Z",39,"Class1",65,37.683,57,93.555,35.233,89.038,29.388,"R"
9.698,"L",40,"Class1",51,38.561,69,89.369,48.801,78.637,38.473,"K"
66.683,"Y",95,"Class2",72,9.132,42,25.629,31.477,37.32,55.951,"C"
8.406,"B",40,"Class1",58,38.279,69,93.439,54.051,90.1,37.126,"T"
59.273,"M",96,"Class2",70,6.278,31,46.712,37.921,49.103,68.083,"C"
86.755,"J",71,"Class3",17,84.728,56,83.837,30.991,94.147,86.751,"T"
0.15,"Z",38,"Class1",67,38.708,71,88.04,58.537,94.053,31.976,"K"
1.237,"V",38,"Class1",54,39.397,55,87.019,26.193,72.141,34.296,"R"
79.977,"G",77,"Class3",16,84.439,46,87.125,49.502,70.764,88.344,"T"
84.844,"X",73,"Class3",19,84.724,51,86.102,44.624,82.305,87.814,"A"
86.088,"D",93,"Class2",72,5.04,37,24.95,15.116,53.7,84.178,"C"
56.485,"J",72,"Class3",25,84.391,52,78.22,16.612,89.466,86.234,"B"
89.605,"J",68,"Class3",22,84.519,51,84.808,37.777,83.798,86.769,"C"
2.664,"Z",37,"Class1",44,36.952,81,93.895,16.378,100.65,34.279,"K"
65.831,"M",95,"Class2",70,4.444,32,23.903,14.099,50.294,64.08,"X"
58.236,"M",94,"Class2",62,6.564,37,27.987,56.759,25.967,90.176,"H"
1.762,"Z",41,"Class1",38,38.46,58,91.714,33.714,91.265,39.99,"Q"
56.608,"X",70,"Class3",18,84.097,36,81.748,43.792,84.661,88.675,"C"
83.564,"J",66,"Class3",14,84.614,35,81.973,16.009,92.855,88.879,"A"
57.538,"X",65,"Class3",25,84.647,64,79.466,72.947,80.391,88.947,"T"
9.827,"H",42,"Class1",50,38.178,77,90.535,52.445,105.173,30.211,"X"
68.819,"N",94,"Class2",66,7.09,66,14.596,25.009,48.767,70.178,"C"
72.322,"L",96,"Class2",72,7.873,33,30.319,63.837,62.292,58.243,"X"
69.501,"D",93,"Class2",66,2.983,55,16.351,36.165,44.196,76.214,"A"
63.101,"J",77,"Class3",14,83.77,38,83.981,37.305,90.387,88.325,"B"
8.798,"L",39,"Class1",56,38.33,56,88.281,23.316,75.613,36.846,"R"
1.99,"V",42,"Class1",52,39.265,68,89.345,49.134,79.812,38.217,"R"
62.621,"Y",95,"Class2",76,6.85,67,27.321,25.448,25.147,68.155,"C"
0.261,"Z",40,"Class1",58,39.869,70,83.216,18.5,93.042,32.607,"K"
58.535,"L",74,"Class3",18,84.943,46,80.325,48.487,80.051,87.771,"T"
50.325,"L",95,"Class2",63,7.047,69,12.565,54.396,43.598,65.243,"X"
13.826,"B",38,"Class1",47,39.038,81,NA,24.629,72.786,32.236,"K"
15.077,"B",38,"Class1",55,38.333,65,91.238,35.363,93.335,32.009,"R"
0.6,"L",39,"Class1",53,37.808,83,93.294,30.249,68.898,30.384,"T"
6.35,"V",41,"Class1",43,39.644,71,92.18,21.365,101.16,38.657,"Q"
83.797,"M",96,"Class2",75,7.549,49,30.57,10.37,60.365,62.415,"C"
58.362,"Y",96,"Class2",70,9.844,62,19.818,34.738,47.27,56.784,"X"
66.289,"L",73,"Class3",24,84.632,55,83.149,24.698,72.988,86.108,"T"
6.034,"H",38,"Class1",66,40.044,77,90.42,30.804,87.734,39.553,"Q"
73.253,"D",96,"Class2",76,11.43,34,13.813,17.079,40.819,62.015,"X"
73.985,"Y",94,"Class2",64,5.62,38,40.531,30.777,59.997,78.47,"A"
3.706,"H",41,"Class1",44,37.078,59,84.978,52.952,84.983,29.237,"Q"
65.703,"L",76,"Class3",17,84.654,24,84.844,33.169,85.882,87.347,"T"
49.482,"Y",95,"Class2",70,6.927,44,33.166,15.845,38.183,NA,"C"
63.6,"L",67,"Class3",25,84.35,31,83.559,56.677,79.313,88.171,"K"
60.024,"N",68,"Class3",14,84.539,57,90.616,41.302,72.378,87.789,"K"
61.446,"N",67,"Class3",25,84.55,38,84.651,67.805,103.185,88.358,"A"
15.686,"B",38,"Class1",40,37.96,60,91.754,51.384,78.53,29.263,"X"
47.163,"M",96,"Class2",62,8.127,31,NA,35.899,15.977,92.448,"A"
69.338,"L",96,"Class2",62,7.863,58,25.032,26.772,46.913,51.194,"C"
6.315,"V",40,"Class1",67,39.657,81,85.458,27.298,97.982,38.935,"X"
10.18,"H",39,"Class1",52,38.241,77,89.499,27.239,69.019,34.177,"K"
7.037,"B",37,"Class1",40,39.983,61,87.704,18.152,74.284,33.733,"Q"
76.312,"G",67,"Class3",19,84.844,36,89.803,57.399,98.603,87.212,"C"
15.387,"V",39,"Class1",58,39.343,61,NA,55.479,95.408,37.719,"Q"
80.158,"G",65,"Class3",22,84.793,55,81.872,29.918,94.486,88.763,"B"
82.742,"L",72,"Class3",16,83.977,32,81.786,23.665,73.529,NA,"C"
73.334,"L",70,"Class3",18,84.38,38,NA,33.131,83.842,88.314,"B"
75.119,"L",95,"Class2",72,4.088,38,25.913,41.931,23.998,76.691,"A"
72.482,"D",93,"Class2",64,5.224,33,27.471,43.668,40.659,69.259,"Y"
5.44,"Z",41,"Class1",44,37.644,61,92.285,52.865,84.381,37.397,"R"
58.437,"Y",94,"Class2",74,5.593,69,8.639,27.545,74.158,92.709,"H"
83.788,"Y",94,"Class2",65,5.205,67,23.859,63.885,61.246,62.607,"A"
79.565,"L",70,"Class3",19,84.364,24,85.614,46.335,91.958,88.276,"T"
9.396,"B",40,"Class1",43,37.648,83,90.935,16.042,86.225,35.557,"T"
84.129,"J",78,"Class3",17,84.661,41,83.064,74.794,85.563,88.805,"K"
15.622,"L",42,"Class1",56,37.508,64,92.816,18.104,81.755,29.182,"T"
1.756,"B",39,"Class1",57,38.017,59,90.136,33.326,90.96,29.499,"K"
6.761,"L",40,"Class1",60,37.493,67,91.231,38.018,75.779,30.318,"R"
60.939,"N",94,"Class2",76,6.149,62,29.93,34.506,62.781,73.908,"Y"
57.977,"N",76,"Class3",22,84.36,43,84.327,74.667,84.969,87.914,"A"
74.012,"L",70,"Class3",20,84.771,39,82.98,36.268,87.836,87.567,"B"
14.007,"B",39,"Class1",43,37.803,82,91.047,32.899,89.83,39.099,"T"
83.746,"M",96,"Class2",62,5.743,32,23.533,37.55,44.061,49.315,"C"
4.128,"B",41,"Class1",42,39.658,80,86.831,55.002,73.968,32.789,"T"
53.297,"N",96,"Class2",62,9.072,37,6.47,65.25,35.218,74.768,"X"
80.097,"L",72,"Class3",20,84.534,30,86.112,21.568,82.492,88.775,"K"
86.216,"N",67,"Class3",17,83.844,29,86.037,43.291,69.788,88.052,"T"
61.507,"J",76,"Class3",17,84.611,31,84.522,72.894,84.733,88.213,"K"
10.467,"B",42,"Class1",58,37.847,74,NA,37.916,84.885,39.488,"T"
68.96,"G",66,"Class3",20,84.065,21,83.798,87.038,92.16,86.612,"K"
9.717,"V",40,"Class1",63,40.369,71,85.926,58.453,84.353,38.344,"Q"
11.005,"H",42,"Class1",50,38.173,60,90.932,18.807,106.658,30.983,"T"
65.315,"X",65,"Class3",25,84.48,43,84.151,62.512,77.319,88.367,"T"
73.546,"X",76,"Class3",19,84.735,25,86.692,41.812,71.548,88.246,"A"
71.843,"J",76,"Class3",16,84.007,27,79.738,72.913,85.33,88.089,"K"
9.567,"B",42,"Class1",66,38.158,78,NA,46.247,82.756,37.688,"X"
12.011,"B",42,"Class1",60,36.593,68,89.255,32.569,92.933,39.164,"R"
78.198,"N",71,"Class3",22,83.956,44,86.556,40.867,68.006,87.875,"B"
57.684,"J",72,"Class3",23,84.615,51,87.344,32.98,86.661,88.997,"T"
8.941,"L",39,"Class1",42,36.45,75,86.004,58.074,71.545,30.726,"X"
76.372,"N",95,"Class2",62,7.102,37,22.915,49.589,38.589,59.556,"H"
68.421,"L",71,"Class3",18,84.788,32,NA,19.295,81.932,86.786,"K"
2.18,"L",37,"Class1",49,39.871,63,88.071,47.369,68.26,NA,"T"
5.058,"Z",38,"Class1",52,38.72,77,94.112,57.327,93.294,37.958,"K"
69.498,"M",96,"Class2",62,4.581,48,39.99,19.05,38.481,67.405,"H"
50.997,"Y",93,"Class2",73,5.917,35,31.572,53.454,38.359,76.338,"Y"
7.092,"B",37,"Class1",58,38.361,56,91.944,44.896,94.969,36.624,"Q"
74.403,"G",66,"Class3",16,84.474,20,83.483,25.851,80.267,88.072,"A"
61.992,"G",74,"Class3",14,84.626,26,81.494,32.092,88.244,NA,"C"
71.135,"N",70,"Class3",19,84.017,34,82.941,35.223,89.151,86.191,"T"
69.753,"D",95,"Class2",73,8.834,45,27.278,20.318,66.978,79.203,"X"
58.816,"D",96,"Class2",68,6.45,47,45.546,14.982,37.42,79.987,"Y"
79.608,"N",74,"Class3",17,85.026,50,86.259,38.394,87.775,86.857,"A"
84.278,"G",73,"Class3",16,83.954,35,82.678,30.05,83.255,87.703,"A"
64.74,"N",96,"Class2",75,3.132,49,22,64.286,46.337,69.059,"A"
77.231,"M",95,"Class2",74,4.171,40,24.1,59.349,31.786,70.029,"H"
66.552,"L",74,"Class3",18,84.258,52,83.911,70.299,84.594,88.472,"K"
59.393,"M",94,"Class2",66,6.397,45,4.423,56.127,47.698,60.076,"Y"
67.349,"M",95,"Class2",74,5.995,40,11.219,23.021,23.606,71.435,"C"
73.35,"X",77,"Class3",17,85.174,34,86.092,16.342,99.46,86.621,"A"
86.547,"M",96,"Class2",63,5.622,38,30.233,24.219,45.703,92.466,"X"
59.051,"L",75,"Class3",18,84.934,28,85.801,27.017,89.308,87.489,"T"
58.194,"D",95,"Class2",71,8.861,69,33.85,41.568,49.835,50.393,"Y"
13.008,"L",37,"Class1",47,37.018,62,88.376,55.469,86.612,38.642,"Q"
56.717,"N",96,"Class2",73,5.628,47,21.49,38.06,39.631,63.255,"A"
64.808,"Y",96,"Class2",63,6.907,53,10.381,59.367,23.644,49.895,"Y"
74.563,"J",66,"Class3",24,84.253,33,86.459,58.152,79.318,87.675,"C"
16.618,"H",41,"Class1",53,39.061,57,87.521,24.301,72.446,38.246,"X"
60.441,"G",67,"Class3",15,84.407,39,84.559,25.116,69.116,88.193,"T"
73.667,"X",66,"Class3",17,84.392,54,NA,30.427,89.597,87.177,"B"
53.075,"Y",96,"Class2",64,8.205,38,NA,11.221,27.135,NA,"Y"
72.626,"M",93,"Class2",71,5.794,59,NA,37.514,43.26,80.858,"C"
72.558,"G",66,"Class3",18,84.42,46,87.938,35.943,90.294,87.741,"A"
60.866,"L",96,"Class2",75,5.735,57,16.877,10.81,32.739,59.906,"A"
48.868,"N",93,"Class2",71,6.055,39,1.722,45.409,31.511,83.104,"C"
53.002,"L",94,"Class2",73,11.183,53,26.149,21.283,38.709,81.492,"Y"
6.069,"V",41,"Class1",45,37.799,58,84.391,45.032,99.063,NA,"R"
77.512,"N",67,"Class3",15,84.517,50,87.673,35.595,90.487,NA,"B"
48.594,"Y",94,"Class2",64,7.014,58,26.28,31.556,30.354,89.274,"A"
65.961,"M",96,"Class2",64,7.494,36,27.694,17.339,51.429,83.467,"Y"
55.431,"D",96,"Class2",69,7.023,51,43.241,12.499,45.5,88.956,"H"
80.568,"L",95,"Class2",65,4.272,53,21.224,33.622,47.467,78.865,"C"
70.277,"M",93,"Class2",75,7.686,34,45.665,26.559,47.678,73.464,"H"
83.753,"M",96,"Class2",67,6.269,56,-4.568,28.907,52.547,53.802,"A"
72.677,"L",95,"Class2",68,5.653,34,37.104,30.123,61.896,84.064,"H"
72.677,"G",68,"Class3",24,84.594,41,81.9,31.169,75.787,86.886,"C"
71.552,"N",95,"Class2",64,5.306,39,37.032,17.564,46.007,94.438,"X"
59.791,"J",69,"Class3",21,84.726,37,84.94,84.669,66.29,86.384,"T"
71.477,"N",76,"Class3",24,84.545,25,83.464,76.45,80.915,87.304,"B"
7.483,"V",42,"Class1",45,38.481,67,89.105,25.729,79.364,29.728,"T"
85.462,"L",66,"Class3",16,84.35,46,88.398,26.304,87.748,86.52,"B"
90.159,"L",72,"Class3",22,84.916,48,88.591,26.646,75.216,86.058,"A"
79.287,"M",95,"Class2",73,6.084,54,30.319,53.461,32.558,48.534,"Y"
5.118,"B",38,"Class1",53,37.965,80,87.132,56.311,74.617,31.822,"K"
72.37,"J",75,"Class3",15,84.542,52,80.519,86.534,70.173,87.556,"A"
85.313,"J",70,"Class3",25,84.683,50,83.934,24.211,77.818,86.695,"C"
66.342,"X",78,"Class3",22,84.685,34,85.63,52.673,73.971,87.714,"A"
73.089,"X",70,"Class3",22,84.754,45,83.223,28.646,92.426,88.841,"K"
86.459,"L",72,"Class3",25,84.453,44,81.954,28.564,88.68,87.335,"B"
83.259,"G",74,"Class3",22,84.279,38,80.789,74.366,69.243,NA,"A"
50.669,"M",93,"Class2",66,6.55,34,36.732,39.302,34.542,62.024,"H"
73.482,"N",77,"Class3",21,84.747,24,83.747,28.563,63.948,87.619,"B"
62.505,"D",94,"Class2",64,6.987,58,9.378,37.128,53.279,72.366,"A"
87.777,"N",76,"Class3",18,84.55,63,86.851,66.197,80.88,86.702,"C"
10.739,"Z",39,"Class1",47,40.806,63,87.777,41.207,89.071,35.054,"X"
59.089,"L",93,"Class2",69,5.099,30,21.931,59.336,36.197,61.337,"H"
14.538,"H",41,"Class1",43,39.055,56,92.529,44.687,85.356,37.653,"X"
87.982,"X",78,"Class3",23,84.543,47,83.452,19.203,83.497,87.613,"K"
9.048,"Z",42,"Class1",43,36.125,63,90.9,27.417,69.125,36.554,"T"
48.771,"M",93,"Class2",67,7.506,31,21.383,39.538,21.389,74.054,"A"
66.862,"J",65,"Class3",18,84.341,24,83.308,25.779,87.571,87.062,"B"
49.295,"Y",95,"Class2",66,5.268,67,48.186,41.632,58.703,69.212,"X"
72.32,"L",72,"Class3",25,84.534,34,89.14,56.974,83.001,87.081,"T"
6.27,"Z",40,"Class1",42,39.196,62,88.739,55.517,91.183,38.908,"Q"
68.096,"N",74,"Class3",23,84.372,37,85.422,70.062,73.875,87.277,"B"
52.663,"Y",94,"Class2",71,2.56,66,42.573,10.189,31.79,51.301,"X"
9.06,"H",40,"Class1",60,39.398,78,87.028,52.323,69.671,35.137,"X"
3.862,"V",42,"Class1",41,38.575,79,91.251,29.994,94.396,32.328,"T"
11.993,"Z",39,"Class1",66,38.973,59,NA,32.142,90.569,30.579,"K"
64.874,"X",77,"Class3",16,84.21,30,86.058,54.293,85.758,NA,"K"
83.115,"D",95,"Class2",64,8.296,67,28.779,57.666,35.871,91.324,"H"
1.949,"B",42,"Class1",67,38.616,61,86.701,38.236,81.841,34.32,"Q"
5.241,"H",41,"Class1",45,38.35,80,92.704,41.337,95.957,32.581,"K"
60.48,"G",70,"Class3",14,84.771,28,85.069,21.46,91.289,88.475,"B"
63.023,"J",74,"Class3",19,84.8,58,81.667,39.54,82.336,86.03,"B"
5.975,"B",40,"Class1",36,38.557,60,90.864,22.347,83.443,29.616,"K"
87.073,"L",95,"Class2",65,5.168,64,24.561,51.547,51.678,72.015,"X"
73.747,"L",66,"Class3",17,84.647,33,83.528,51.662,77.372,86.579,"K"
11.108,"V",40,"Class1",52,38.105,76,90.065,39.67,87.437,36.981,"Q"
49.177,"N",94,"Class2",70,4.664,38,27.426,48.3,49.976,53.215,"H"
52.158,"Y",96,"Class2",74,4.934,41,32.583,27.35,79.857,92.636,"A"
57.698,"X",76,"Class3",19,84.327,28,84.633,55.643,85.361,88.906,"B"
54.702,"M",93,"Class2",67,5.114,45,35.937,59.932,22.946,48.817,"H"
82.502,"X",71,"Class3",23,84.578,41,88.725,87.391,90.434,87.014,"A"
1.171,"B",40,"Class1",50,40.197,77,89.579,26.334,76.886,29.143,"T"
78.376,"N",94,"Class2",63,6.729,66,15.078,18.552,43.911,54.648,"H"
70.851,"N",73,"Class3",14,84.359,38,85.052,30.985,76.562,88.765,"K"
8.758,"H",39,"Class1",60,37.798,77,91.333,28.304,74.073,34.99,"T"
69.477,"Y",94,"Class2",73,8.071,33,31.194,20.004,40.388,91.321,"H"
78.916,"J",70,"Class3",15,84.75,61,84.498,26.185,87.232,88.286,"T"
78.789,"G",66,"Class3",22,84.174,49,89.311,75.912,67.839,88.147,"A"
79.485,"N",68,"Class3",16,85.237,55,78.871,50.912,79.252,87.957,"T"
61.847,"N",95,"Class2",64,7.545,64,29.46,16.089,72.93,80.146,"C"
63.611,"Y",93,"Class2",74,6.533,55,33.276,20.119,9.699,59.409,"A"
72.309,"X",74,"Class3",21,84.715,60,NA,60.416,78.054,87.514,"T"
88.189,"G",74,"Class3",19,84.781,34,87.433,34.668,91.322,NA,"B"
11.078,"H",37,"Class1",57,38.048,68,88.678,53.284,80.115,35.061,"K"
1.377,"B",41,"Class1",44,40.01,66,91.453,50.78,98.08,29.806,"R"
87.882,"L",70,"Class3",17,84.287,19,87.631,32.657,90.524,87.005,"K"
14.459,"Z",38,"Class1",51,38.813,57,92.663,52.038,72.369,35.969,"K"
78.155,"G",71,"Class3",17,83.816,63,77.411,54.596,85.536,88.959,"B"
63.184,"N",74,"Class3",23,84.588,61,88.316,45.448,81.975,86.403,"A"
0.202,"Z",39,"Class1",47,38.982,59,84.624,27.703,93.15,37.965,"R"
76.925,"N",95,"Class2",72,5.623,44,14.655,56.343,47.228,72.731,"H"
11.326,"L",40,"Class1",52,38.622,60,88.116,51.809,71.906,38.284,"X"
86.015,"L",96,"Class2",62,4.071,62,15.595,37.488,45.042,75.851,"H"
70.34,"L",94,"Class2",74,6.718,57,NA,47.578,42.469,59.533,"Y"
3.698,"B",39,"Class1",52,38.864,72,87.301,59.052,105.926,30.024,"Q"
5.371,"V",40,"Class1",47,38.108,55,87.508,17.406,89.632,36.14,"K"
9.569,"V",38,"Class1",61,37.701,76,89.629,39.855,77.588,30.988,"K"
71.001,"N",95,"Class2",72,5.707,35,26.827,59.8,39.358,74.704,"H"
51.77,"Y",96,"Class2",66,8.332,50,8.792,65.164,28.753,87.643,"X"
10.088,"Z",41,"Class1",55,38.84,62,88.054,19.15,79.366,29.441,"R"
0.34,"B",42,"Class1",59,40.154,77,93.792,39.84,79.78,34.37,"R"
74.548,"N",94,"Class2",70,5.353,57,13.747,56.6,60.901,64.178,"C"
5.009,"H",38,"Class1",44,37.671,82,94.296,25.538,85.51,36.973,"X"
6.439,"Z",37,"Class1",56,37.882,65,92.261,32.009,80.734,36.987,"R"
87.082,"L",93,"Class2",76,5.999,62,8.808,31.576,23.065,72.607,"Y"
2.975,"H",38,"Class1",58,39.208,75,88.321,34.682,97.777,30.526,"X"
11.425,"V",41,"Class1",59,38.201,82,88.761,53.256,70.755,30.133,"T"
