"B1","B2","B3","B4","B5","B6","B7","Output1","B8","B9","B10","B11"
44.298,48.969,29.198,92,71,52,51.568,"Class1",90.308,"O","S",90.911
NA,48.227,29.394,71,98,87,37.37,"Class1",84.933,"O","P",91.59
47.549,71.739,53.948,5,36,52,44.225,"Class2",51.804,"E","P",82.341
30.814,76.93,28.956,6,14,67,77.473,"Class4",76.177,"R","Q",56.305
29.563,71.475,32.323,23,60,67,53.327,"Class4",76.071,"R","M",57.309
31.373,79.819,48.981,38,52,37,63.561,"Class4",76.613,"P","Q",59.228
32.139,73.24,61.95,10,75,53,78.986,"Class4",76.028,"R","Q",49.786
41.049,70.863,41.34,4,21,39,49.256,"Class2",41.729,"E","N",62.71
91.131,35.67,86.319,48,67,60,56.825,"Class3",56.321,"A","G",69.792
53.608,70.623,87.253,66,73,65,37.592,"Class3",31.123,"J","Q",83.724
32.005,NA,63.734,11,24,62,74.125,"Class4",76.598,"E","I",60.699
57.473,48.481,50.857,83,45,65,35.494,"Class5",38.955,"F","Y",80.291
35.054,77.275,25.411,7,87,70,81.022,"Class4",76.659,"E","Q",51.198
70.287,NA,42.822,82,38,71,8.303,"Class5",47.549,"Y","Y",78.244
NA,54.076,84.982,18,64,76,21.161,"Class3",58.029,"C","Q",44.233
32.789,78.922,26.071,33,76,63,70.747,"Class4",76.433,"E","I",53.615
NA,29.841,45.901,82,40,67,60.838,"Class5",34.809,"Y","J",85.464
40.989,76.469,73.472,5,15,40,38.072,"Class2",22.827,"S","M",69.427
65.603,48.597,34.982,82,41,64,7.642,"Class5",39.829,"F","D",69.708
31.478,77.061,40.05,22,57,67,55.156,"Class4",76.225,"P","M",57.519
57.298,21.604,27.594,84,47,78,45.129,"Class5",49.679,"Y","Y",82.851
52.468,57.307,51.25,9,16,41,37.026,"Class2",30.351,"S","P",67.396
34.608,74.938,33.029,19,35,62,78.78,"Class4",76.273,"P","Y",68.322
58.309,44.719,51.517,82,37,70,65.853,"Class5",50.359,"Y","J",77.17
45.742,48.667,28.537,71,85,37,46.101,"Class1",94.298,"O","E",89.876
NA,68.14,23.098,5,14,46,45.33,"Class2",29.478,"S","C",71.005
54.413,14.725,48.674,82,45,65,8.554,"Class5",45.328,"R","I",79.316
59.314,19.628,43.056,84,46,80,17.023,"Class5",28.926,"F","T",72.961
73.527,28.103,38.443,84,42,76,47.271,"Class5",42.895,"R","J",68.659
41.099,64.514,24.626,5,20,39,50.695,"Class2",47.309,"B","T",68.006
32.354,74.486,35.31,14,68,35,69.095,"Class4",76.916,"E","H",51.538
42.71,71.452,62.804,12,6,46,51.609,"Class2",49.081,"R","T",58.919
44.908,12.23,87.788,36,71,36,53.139,"Class3",30.404,"C","V",38.457
40.684,66.811,61.735,13,26,51,52.667,"Class2",26.316,"R","T",67.287
NA,27.901,89.706,69,60,70,48.531,"Class3",54.31,"V","O",69.22
43.825,3.451,42.843,83,38,76,58.34,"Class5",43.851,"F","J",75.793
66.42,25.226,56.765,82,47,78,65.658,"Class5",43.846,"F","I",75.369
33.078,77.195,27.177,15,42,39,68.212,"Class4",76.617,"P","I",61.832
55.615,14.224,51.484,82,47,80,55.754,"Class5",43.986,"Y","J",79.036
54.266,69.916,76.589,9,21,45,47.988,"Class2",37.617,"B","P",67.105
92.07,32.303,85.074,85,58,76,25.088,"Class3",59.155,"J","G",47.793
51.978,27.264,89.044,32,76,62,42.507,"Class3",50.702,"V","Q",86.312
89.686,37.695,84.437,51,69,67,21.711,"Class3",40.225,"A","G",51.537
70.964,6.185,70.818,84,47,81,18.956,"Class5",23.572,"C","T",83.441
47.413,74.207,69.4,12,3,50,38.539,"Class2",53.013,"Q","C",69.861
39.751,49.545,29.302,70,82,37,35.297,"Class1",89.935,"R","S",95.216
27.448,69.355,40.912,12,20,47,49.309,"Class2",33.639,"S","C",58.255
26.112,77.358,58.993,7,32,42,35.97,"Class2",45.262,"E","M",57.83
73.433,70.915,89.746,64,73,44,28.385,"Class3",39.122,"J","Q",61.695
35.42,69.951,70.62,5,72,68,79.572,"Class4",76.241,"R","Q",57.355
75.534,8.728,84.972,68,67,59,58.859,"Class3",47.422,"J","B",39.415
34.936,NA,29.778,74,96,78,42.964,"Class1",81.649,"K","S",93.134
35.549,57.034,28.058,6,27,49,50.009,"Class2",23.018,"E","T",60.255
61.558,22.033,47.292,82,45,78,31.2,"Class5",32.771,"G","T",81.803
54.279,60.717,87.236,8,21,40,34.085,"Class2",41.749,"S","T",74.37
33.609,NA,31.205,15,30,49,79.658,"Class4",76.4,"R","Q",52.412
80.685,46.714,65.191,83,44,79,50.88,"Class5",37.87,"C","I",89.058
33.719,73.337,35.586,6,12,47,41.027,"Class2",46.477,"S","M",57.419
31.598,80.682,67.354,19,17,72,55.632,"Class4",76.025,"M","H",50.954
66.007,31.538,63.876,83,36,80,54.394,"Class5",22.455,"C","Y",76.637
NA,67.171,69.32,4,31,49,39.754,"Class2",24.841,"B","N",58.472
33.699,NA,50.674,10,28,38,31.107,"Class2",30.364,"S","N",50.638
41.891,60.72,75.627,13,8,51,52.034,"Class2",39.354,"Q","P",64.432
45.911,49.673,29.09,55,90,46,50.23,"Class1",99.245,"M","S",93.324
36.931,65.251,78.768,4,24,50,34.806,"Class2",45.421,"E","C",66.2
33.801,NA,24.625,23,82,42,64.489,"Class4",76.501,"E","H",45.707
60.747,3.292,58.679,83,47,80,54.751,"Class5",42.634,"F","J",71.285
NA,69.48,46.288,28,86,57,51.914,"Class4",76.576,"P","Y",55.502
33.858,77.474,37.3,38,48,57,68.713,"Class4",76.256,"Q","Q",56.981
39.754,74.722,100.15,7,23,44,49.879,"Class2",46.694,"R","P",59.972
67.029,34.613,33.061,82,39,81,65.357,"Class5",20.167,"Y","D",81.412
33.386,49.884,29.317,74,78,75,47.073,"Class1",86.955,"K","I",94.365
36.429,49.711,29.618,71,74,58,46.821,"Class1",89.482,"O","S",92.446
19.201,10.624,88.178,72,77,39,34.978,"Class3",41.104,"A","G",64.022
97.067,61.04,83.073,77,68,47,27.439,"Class3",35.727,"V","O",68.772
39.7,47.475,29.333,65,85,44,36.909,"Class1",77.968,"K","I",92.289
40.585,48.61,29.238,86,85,46,34.018,"Class1",91.396,"K","T",94.587
35.386,76.525,51.264,10,32,41,53.104,"Class2",52.595,"E","C",63.002
75.775,20.975,84.521,21,61,43,46.846,"Class3",54.271,"A","G",63.633
31.58,80.328,51.634,14,88,36,61.709,"Class4",76.24,"Q","Q",55.486
75.69,13.31,18.027,82,36,73,15.079,"Class5",31.751,"G","D",84.47
122.403,31.669,90.89,87,74,55,50.087,"Class3",41.412,"F","B",31.955
29.647,79.46,45.913,30,10,69,51.231,"Class4",76.614,"E","H",52.925
27.319,49.578,29.559,67,93,61,49.508,"Class1",74.211,"O","T",91.447
41.058,NA,28.885,59,100,70,37.452,"Class1",88.932,"M","T",89.277
67.652,40.932,51.939,84,46,66,53.279,"Class5",38.286,"F","D",76.69
81.049,54.844,52.334,83,39,64,41.463,"Class5",38.259,"C","D",77.352
67.131,14.478,61.999,84,45,64,11.828,"Class5",27.617,"F","Y",78.974
68.237,21.246,49.522,82,44,79,14.261,"Class5",27.818,"Y","D",68.64
32.839,75.745,10.83,7,78,61,53.562,"Class4",76.634,"M","M",61.504
41.146,65.576,73.775,11,30,39,40.552,"Class2",40.972,"R","P",56.496
74.18,50.077,60.806,83,47,78,17.306,"Class5",38.328,"F","D",75.267
70.532,49.101,88.999,44,80,47,58.726,"Class3",59.089,"V","G",83.023
76.506,46.51,40.07,83,38,76,38.857,"Class5",31.79,"G","D",80.399
NA,67.522,53.578,4,26,41,47.533,"Class2",42.057,"E","C",61.655
89.076,6.764,86.591,49,75,44,23.925,"Class3",49.078,"J","B",74.683
63.781,15.758,94.926,82,66,58,56.387,"Class3",59.193,"C","B",62.582
28.219,77.294,78.274,10,30,47,33.901,"Class2",47.079,"R","P",72.506
54.177,6.338,83.123,57,70,69,22.775,"Class3",43.605,"J","O",52.361
40.335,7.258,87.755,46,82,52,53.31,"Class3",31.518,"C","Q",56.5
28.438,76.916,52.66,39,88,67,76.102,"Class4",76.32,"Q","Y",60.682
46.923,69.514,87.434,89,67,50,30.982,"Class3",46.684,"A","B",57.403
35.281,60.652,47.049,6,27,43,33.322,"Class2",34,"B","P",68.584
90.959,NA,90.46,87,60,45,57.633,"Class3",44.133,"A","B",59.929
57.87,36.628,49.689,83,39,77,4.568,"Class5",31.974,"G","I",79.387
40.864,60.147,86.796,6,6,44,31.367,"Class2",52.135,"R","M",66.446
68.338,36.831,41.85,84,37,76,39.347,"Class5",22.124,"Y","Y",74.221
64,47.738,63.815,82,47,77,68.174,"Class5",32.497,"C","I",90.304
43.269,48.091,29.299,62,87,60,37.714,"Class1",93.435,"O","I",86.572
NA,69.541,39.162,6,61,57,73.387,"Class4",76.54,"R","H",46.931
29.506,76.398,61.773,36,29,43,70.411,"Class4",76.926,"P","Y",63.35
33.594,79.787,20.752,35,30,70,55.38,"Class4",76.216,"Q","Q",54.246
27.895,73.392,21.976,6,30,44,33.755,"Class2",54.784,"R","T",67.832
28.273,78.176,55.591,29,40,62,72.124,"Class4",76.804,"M","I",48.787
90.053,33.721,86.884,79,62,46,38.344,"Class3",45.419,"F","B",70.236
48.184,54.615,36.642,83,35,72,68.26,"Class5",44.698,"C","I",70.536
68.586,34.034,29.358,82,37,67,63.102,"Class5",30.604,"Y","I",82.752
57.575,15.377,34.834,84,40,75,46.21,"Class5",47.234,"Y","I",72.657
33.638,76.477,28.521,35,93,68,56.168,"Class4",76.891,"E","Y",51.439
43.217,NA,57.045,83,38,65,36.786,"Class5",45.778,"G","J",71.376
39.508,NA,29.024,84,72,51,51.524,"Class1",94.923,"O","I",90.357
56.535,22.181,55.016,84,44,67,67.354,"Class5",32.071,"C","D",78.968
64.013,10.509,47.984,83,43,78,38.853,"Class5",21.068,"G","J",78.276
35.191,NA,29.939,9,25,59,75.383,"Class4",76.948,"E","Q",46.147
46.021,59.196,44.179,5,7,40,31.419,"Class2",24.984,"S","N",66.903
41.017,49.149,29.812,81,86,70,49.197,"Class1",78.647,"R","P",89.842
65.993,63.931,90.205,47,80,49,28.56,"Class3",59.648,"A","G",55.213
51.545,49.083,29.454,58,88,43,43.841,"Class1",74.879,"O","E",98.48
45.442,70.723,5.283,5,31,52,39.651,"Class2",30.734,"B","C",64.76
62.515,36.997,53.877,83,37,70,48.795,"Class5",44.26,"F","T",64.85
35.685,75.491,55.506,25,17,39,73.101,"Class4",76.832,"E","Y",56.382
35.112,47.009,29.568,72,92,83,39.808,"Class1",77.007,"W","S",92.996
29.282,69.857,53.567,37,26,49,79.077,"Class4",76.335,"Q","Q",55.147
37.936,47.238,30.338,55,77,85,38.836,"Class1",94.216,"R","S",86.735
31,76.164,44.617,35,81,35,52.319,"Class4",76.796,"R","H",49.031
NA,75.484,37.064,36,10,60,62.531,"Class4",76.068,"M","Y",50.283
NA,47.589,29.4,69,84,66,51.223,"Class1",75.102,"K","P",90.898
20.341,75.985,28.292,4,18,41,45.745,"Class2",22.292,"E","C",47.574
59.849,46.007,41.851,83,44,66,23.535,"Class5",34.42,"G","T",67.419
89.697,NA,88.87,32,61,50,46.204,"Class3",49.378,"F","G",64.297
17.649,64.523,25.26,8,19,49,32.395,"Class2",45.604,"S","M",65.311
26.799,71.065,53.536,8,26,45,48.388,"Class2",38.14,"B","N",67.704
41.475,49.673,29.166,92,79,38,38.247,"Class1",92.335,"O","I",87.649
42.104,57.041,40.623,10,20,52,41.287,"Class2",22.483,"S","M",67.213
39.845,47.253,29.792,80,75,70,34.871,"Class1",74.498,"O","E",89.741
34.73,48.58,29.876,91,75,77,40.077,"Class1",74.49,"M","P",94.24
34.135,74.838,57.859,38,37,34,76.232,"Class4",76.956,"P","Q",45.645
28.559,70.464,18.362,12,72,31,66.38,"Class4",76.282,"M","I",61.284
39.785,48.907,29.428,74,98,51,45.497,"Class1",81.136,"O","I",95.345
31.374,77.491,46.847,12,69,37,77.064,"Class4",76.605,"R","M",46.416
41.888,47.673,29.668,90,81,56,51.656,"Class1",90.927,"K","I",92.702
58.774,4.153,55.81,82,38,71,1.028,"Class5",49.532,"F","D",83.18
49.394,47.949,29.638,90,96,79,49.191,"Class1",76.552,"W","E",89.847
29.034,75.854,1.79,10,68,62,59.709,"Class4",76.357,"E","M",47.805
32.197,79.564,38.41,35,37,49,81.345,"Class4",76.483,"Q","Q",61.514
77.124,63.108,88.971,29,61,53,54.375,"Class3",35.389,"A","V",71.631
73.345,39.038,62.879,84,45,76,62.446,"Class5",33.323,"G","D",87.3
82.537,26.083,89.19,28,60,55,58.624,"Class3",57.387,"C","V",51.997
31.502,61.267,36.011,5,13,38,34.369,"Class2",51.953,"R","T",73.789
34.306,48.201,29.198,57,93,39,42.346,"Class1",84.429,"W","P",95.632
33.582,79.535,44.507,7,29,41,73.093,"Class4",76.872,"P","H",61.265
28.91,79.37,17.314,29,68,33,81.985,"Class4",76.811,"P","Q",58.562
57.664,26.14,86.316,64,73,58,37.83,"Class3",36.636,"A","G",55.537
33.63,65.553,45.384,9,10,44,51.738,"Class2",40.712,"S","M",68.806
63.948,73.249,83.255,85,60,66,22.53,"Class3",60.981,"C","Q",60.977
31.576,67.124,88.78,7,11,50,37.496,"Class2",40.649,"E","M",55.442
51.723,20.264,87.568,47,62,52,52.96,"Class3",43.885,"V","G",79.766
42.738,49.468,29.388,72,95,84,51.007,"Class1",99.396,"W","E",91.655
32.185,78.369,29.745,18,9,56,53.611,"Class4",76.311,"R","I",51.966
41.072,47.32,29.253,61,80,55,48.396,"Class1",76.103,"K","E",90.271
33.396,74.989,14.629,14,17,62,65.959,"Class4",76.757,"R","H",50.633
71.54,44.61,40.807,84,40,71,62.394,"Class5",43.465,"C","Y",65.32
30.49,78.622,21.371,10,71,67,55.631,"Class4",76.534,"E","I",49.122
43.4,49.725,29.323,71,79,45,50.622,"Class1",95.539,"W","P",89.996
36.87,77.938,61.893,7,7,50,52.416,"Class2",31.421,"S","C",64.39
50.984,49.452,29.01,58,81,64,44.727,"Class1",79.199,"M","T",94.084
35.061,81.484,38.809,33,12,51,77.807,"Class4",76.72,"R","Y",42.714
NA,48.126,28.857,55,86,40,40.109,"Class1",91.945,"W","T",90.753
31.202,74.694,61.845,8,10,35,74.942,"Class4",76.088,"Q","M",55.636
58.497,4.958,53.498,82,47,77,41.734,"Class5",31.164,"G","I",75.323
54.09,62.406,94.086,43,61,40,48.106,"Class3",52.1,"A","O",74.723
62.58,18.056,24.342,84,36,77,36.231,"Class5",21.237,"G","I",83.383
NA,68.977,77.205,9,11,47,49.72,"Class2",20.267,"Q","P",54.141
71.534,20.973,87.084,21,63,42,24.003,"Class3",50.586,"J","G",56.894
32.513,69.401,77.975,6,19,41,53.617,"Class2",45.766,"E","C",62.524
46.626,74.971,89.482,10,12,48,32.677,"Class2",29.79,"Q","P",73.192
32.81,77.527,54.83,7,18,75,52.094,"Class4",76.585,"R","Y",58.504
58.334,17.331,57.532,83,47,71,17.538,"Class5",38.307,"C","T",89.432
30.499,76.105,62.816,11,32,54,58.244,"Class4",76.206,"R","H",55.017
71.733,40.901,90.263,63,79,56,46.227,"Class3",55.988,"A","G",84.998
69.308,24.436,51.142,82,44,75,27.755,"Class5",30.255,"G","J",87.898
29.914,71.475,29.511,17,95,55,68.56,"Class4",76.484,"P","Q",53.46
71.097,46.135,65.231,82,43,76,30.397,"Class5",41.082,"C","I",73.619
35.046,76.442,48.162,38,49,71,60.629,"Class4",76.109,"Q","M",50.328
31.379,67.682,66.538,12,10,47,46.091,"Class2",32.356,"E","N",73.588
41.868,78.572,85.706,13,24,45,49.437,"Class2",49.845,"B","T",70.999
25.884,69.029,83.264,59,80,67,34.671,"Class3",41.563,"F","Q",82.586
NA,48.673,29.567,61,88,92,51.591,"Class1",78.239,"W","I",93.084
60.89,40.943,89.717,43,80,44,36.157,"Class3",40.262,"J","B",90.213
31.017,67.677,1.12,11,27,52,48.732,"Class2",21.442,"Q","T",68.407
31.377,76.045,60.524,21,82,43,55.376,"Class4",76.69,"R","H",47.048
31.177,75.047,46.067,24,50,40,66.106,"Class4",76.767,"R","Q",56.223
34.686,75.234,49.771,7,11,43,53.818,"Class2",30.559,"R","P",73.539
45.552,32.826,56.918,82,44,65,50.834,"Class5",41.838,"R","I",92.717
42.515,48.682,29.413,63,100,49,35.353,"Class1",85.344,"R","T",86.832
84.961,52.806,84.516,38,82,39,24.818,"Class3",51.562,"F","G",81.059
43.756,37.73,92.489,65,73,60,48.569,"Class3",46.133,"J","G",69.04
54.676,19.664,40.527,84,36,81,20.137,"Class5",22.884,"Y","T",70.808
28.657,77.983,39.511,9,69,61,69.432,"Class4",76.932,"Q","H",49.381
28.002,74.925,91.762,6,7,50,46.582,"Class2",22.425,"Q","P",62.345
34.184,48.564,29.88,80,73,60,36.256,"Class1",74.675,"W","T",92.223
31.71,45.604,87.22,28,66,59,21.143,"Class3",37.098,"V","V",82.471
38.684,48.129,29.321,90,91,53,35.074,"Class1",99.422,"R","E",92.616
30.69,73.313,76.364,38,67,59,66.101,"Class4",76.942,"Q","Q",48.347
36.937,44.724,35.048,84,43,68,43.231,"Class5",23.951,"R","T",81.495
43.462,49.947,29.954,74,81,75,50.304,"Class1",94.856,"K","P",93.55
39.084,48.001,29.703,92,85,37,43.682,"Class1",85.255,"O","P",88.328
56.302,3.487,33.953,82,44,76,11.026,"Class5",34.837,"G","I",94.222
44.366,55.441,85.616,42,71,61,57.596,"Class3",37.105,"A","O",63.521
49.364,26.764,46.172,82,35,65,41.066,"Class5",21.474,"C","I",71.612
46.638,71.352,47.897,12,15,38,36.837,"Class2",31.567,"S","T",66.654
40.232,8.925,81.286,61,66,74,32.57,"Class3",55.509,"C","V",63.625
35.294,49.993,29.542,87,86,52,37.805,"Class1",83.817,"O","P",92.127
41.933,75.677,59.967,13,31,47,50.617,"Class2",20.16,"R","N",64.258
47.894,33.351,62.703,82,42,68,14.643,"Class5",34.967,"G","D",70.799
49.104,77.921,51.223,4,19,50,50.682,"Class2",42.06,"S","C",59.61
56.975,6.961,39.534,82,43,66,10.73,"Class5",40.404,"G","D",76.606
32.596,48.976,29.474,67,80,76,45.922,"Class1",82.788,"W","P",92.175
31.762,47.602,29.554,70,81,53,40.456,"Class1",88.395,"M","T",94.035
36.144,47.694,29.759,78,86,40,43.501,"Class1",84.602,"M","S",94.074
74.284,8.06,65.527,82,37,67,25.191,"Class5",36.049,"G","Y",76.61
48.888,48.989,29.195,69,76,49,44.594,"Class1",96.562,"W","E",90.2
47.577,63.176,51.94,13,16,43,45.044,"Class2",24.177,"B","T",59.193
59.245,7.513,85.495,62,72,39,58.036,"Class3",51.519,"J","B",65.562
34.353,74.866,-1.304,17,40,60,55.586,"Class4",76.465,"Q","H",53.701
38.999,49.654,29.421,58,90,67,50.632,"Class1",79.962,"M","E",89.338
45.847,75.326,4.149,11,12,52,42.887,"Class2",31.032,"Q","M",65.845
66.512,67.105,89.024,60,82,48,27.395,"Class3",38.827,"F","G",71.544
58.577,67.181,87.017,26,83,58,24.422,"Class3",42.309,"C","V",74.886
46.201,73.961,87.925,87,64,58,46.94,"Class3",36.674,"C","Q",67.059
44.978,69.716,90.083,10,3,49,39.843,"Class2",52.019,"E","P",72.951
30.321,70.522,22.95,11,96,61,59.652,"Class4",76.181,"R","Q",56.722
57.996,31.903,56.054,82,46,73,56.982,"Class5",20.238,"C","T",84.023
36.181,71.347,38.829,32,41,68,64.64,"Class4",76.37,"R","H",61.453
24.741,41.008,91.144,77,73,58,54.702,"Class3",35.01,"V","O",74.631
40.96,49.366,29.301,84,85,94,43.481,"Class1",93.192,"W","I",92.204
51.926,23.23,54.577,83,38,75,3.279,"Class5",43.746,"Y","D",81.545
40.979,49.559,29.613,68,92,94,34.365,"Class1",88.505,"W","T",91.416
62.729,32.053,21.499,82,41,75,56.849,"Class5",20.187,"Y","Y",85.296
45.925,67.31,103.01,7,31,41,35.139,"Class2",54.225,"R","N",55.616
33.976,49.176,29.727,80,73,90,35.395,"Class1",76.201,"W","E",93.148
33.445,75.609,73.652,18,33,59,80.743,"Class4",76.791,"Q","Y",51.055
81.285,28.686,90.777,81,68,68,56.005,"Class3",60.232,"J","Q",62.046
17.032,70.93,70.534,11,23,44,37.223,"Class2",41.712,"Q","P",61.68
65.334,38.189,52.206,84,40,70,52.805,"Class5",44.688,"Y","I",69.465
66.875,35.687,30.875,84,35,74,27.634,"Class5",46.761,"F","T",74.845
54.843,15.705,44.352,82,44,70,39.116,"Class5",29.744,"F","Y",67.424
34.959,47.675,29.359,83,84,68,50.009,"Class1",91.108,"K","T",96.222
30.226,76.11,52.455,29,11,62,62.919,"Class4",76.624,"E","I",49.517
61.606,NA,60.024,84,46,66,68.031,"Class5",23.218,"Y","Y",78.71
71.776,21.46,71.528,84,42,66,69.346,"Class5",49.216,"F","J",76.382
47.365,32.413,26.017,83,45,75,6.385,"Class5",48.6,"F","T",77.063
59.593,30.75,59.481,82,48,79,69.822,"Class5",22.957,"C","J",77.558
36.183,47.629,29.59,62,87,65,43.03,"Class1",82.596,"M","P",90.448
56.169,55.535,89.602,60,65,50,22.574,"Class3",58.404,"J","G",70.468
32.175,NA,38.986,14,89,47,63.349,"Class4",76.228,"M","Y",61.039
64.15,22.198,71.863,84,41,70,32.318,"Class5",21.677,"R","I",85.073
35.457,48.006,29.278,60,98,49,36.63,"Class1",84.791,"W","E",88.979
66.878,27.492,83.763,34,69,35,22.085,"Class3",51.773,"J","O",49.352
60.266,NA,88.219,37,83,54,46.388,"Class3",49.98,"V","B",56.881
72.463,36.987,64.98,82,40,70,56.133,"Class5",34.888,"C","D",73.636
36.347,48.94,29.802,60,92,43,35.596,"Class1",93.337,"K","I",93.025
39.217,62.207,46.782,7,9,42,42.62,"Class2",23.95,"E","C",65.446
38.653,61.879,34.71,9,32,47,43.236,"Class2",38.019,"E","N",67.775
60.08,37.029,51.128,83,35,77,50.071,"Class5",33.6,"Y","T",76.359
40.079,47.322,29.373,89,72,38,37.686,"Class1",96.435,"R","S",91.113
51.965,13.825,55.95,83,39,78,61.508,"Class5",30.743,"R","D",91.209
NA,65.578,56.525,13,6,41,42.629,"Class2",51.237,"B","C",51.945
31.109,72.147,45.618,33,45,67,61.978,"Class4",76.605,"M","H",56.396
49.349,49.677,29.893,65,83,50,43.29,"Class1",80.699,"O","P",83.846
32.896,76.707,61.667,18,74,32,80.065,"Class4",76.961,"R","H",64.066
62.273,8.255,44.076,83,46,75,33.177,"Class5",48.21,"Y","J",74.861
22.167,13.834,84.267,49,59,42,42.162,"Class3",34.099,"A","B",84.203
38.883,49.493,29.854,57,75,76,52.292,"Class1",97.27,"K","I",92.531
58.82,22.508,48.513,82,44,76,31.917,"Class5",44.838,"R","T",80.152
90.202,13.056,87.546,84,79,49,22.69,"Class3",43.442,"J","Q",45.135
35.21,NA,27.211,29,20,41,81.849,"Class4",76.022,"M","I",58.953
42.822,39.421,88.659,26,83,44,58.408,"Class3",36.508,"V","Q",40.51
37.229,NA,69.489,4,18,38,41.168,"Class2",35.279,"E","N",52.734
60.134,51.649,61.68,82,37,73,24.839,"Class5",44.986,"G","T",79.676
34.938,61.236,74.679,6,36,52,41.803,"Class2",26.146,"R","T",69.144
30.387,72.935,39.011,30,24,41,66.11,"Class4",76.026,"P","M",54.193
30.566,58.194,88.883,10,12,45,38.103,"Class2",26.052,"B","P",65.896
73.021,4.236,84.499,28,65,53,24.081,"Class3",41.948,"A","V",75.146
56.97,48.546,86.503,78,64,63,48.768,"Class3",43.208,"F","O",79.678
54.078,72.431,98.314,12,27,48,34.3,"Class2",24.897,"B","M",55.221
64.493,52.31,45.911,83,42,71,65.208,"Class5",47.758,"R","I",85.047
31.425,59.144,52.432,12,33,51,37.38,"Class2",41.151,"B","N",59.77
72.477,14.643,85.146,42,70,76,47.691,"Class3",46.755,"F","B",73.206
44.148,58.839,46.147,9,21,38,40.953,"Class2",38.521,"R","P",57.855
32.211,74.493,-0.472,35,81,73,65.653,"Class4",76.492,"R","Y",54.269
47.565,71.898,47.081,7,22,45,37.203,"Class2",38.073,"E","N",74.259
32.836,79.103,42.952,34,70,41,53.074,"Class4",76.162,"Q","I",52.583
43.56,76.221,54.297,10,10,46,51.905,"Class2",37.991,"B","T",63.273
59.183,49.969,60.107,82,36,76,55.22,"Class5",37.899,"C","J",85.842
33.513,78.182,71.627,14,74,42,55.67,"Class4",76.11,"E","M",58.083
37.987,49.186,29.553,70,86,40,49.721,"Class1",86.829,"O","E",92.115
67.329,67.602,84.478,89,69,50,36.78,"Class3",45.351,"F","Q",66.887
45.719,5.176,87.699,47,82,71,55.276,"Class3",30.564,"A","G",62.461
42.669,47.561,29.854,60,79,76,48.76,"Class1",89.696,"M","P",91.878
41.167,48.478,29.625,76,92,71,43.175,"Class1",74.056,"W","P",88.921
62.462,52.484,54.791,82,45,71,15.68,"Class5",42.376,"C","I",88.081
35.328,62.539,63.314,4,17,41,31.598,"Class2",24.82,"B","M",60.938
53.528,72.507,85.026,75,62,33,26.23,"Class3",39.453,"V","O",77.453
48.901,71.074,85.703,52,76,33,31.997,"Class3",54.347,"J","V",55.644
37.121,49.384,29.52,83,71,61,44.938,"Class1",84.512,"W","E",92.965
