"L1","L2","L3","L4","L5","L6","Output11","L7","L8","L9","L10","L11"
43,16,"W",58.653,53.863,18.931,"Class1",70.387,"S",7,47.543,52.202
26,32,"I",71.006,80.727,14.992,"Class2",32.312,"H",23,18.94,24.604
58,26,"K",70.167,71.493,15.464,"Class2",39.942,"Z",38,18.73,34.076
43,52,"Y",46.593,40.192,12.838,"Class1",66.859,"S",26,45.307,48.925
34,46,"W",11.553,41.53,40.109,"Class1",71.946,"S",40,52.972,50.258
15,41,"I",66.741,85.934,18.108,"Class2",37.558,"A",42,18.734,33.988
36,23,"G",61.782,82.373,17.224,"Class2",NA,"A",38,18.474,32.448
38,37,"Y",6.019,57.674,32.282,"Class1",47.705,"O",10,41.292,50.483
42,42,"I",63.525,80.747,20.286,"Class2",30.654,"A",39,18.82,8.488
12,46,"Z",67.251,85.883,19.635,"Class2",38.59,"V",32,18.753,29.516
32,37,"Z",50.561,85.178,12.122,"Class2",32.805,"B",36,18.055,26.106
43,38,"M",67.265,57.774,31.07,"Class1",NA,"S",41,42.553,51.912
35,55,"M",55.864,58.645,27.143,"Class1",40.92,"N",78,57.612,50.45
40,60,"J",47.245,56.152,24.445,"Class1",37.089,"O",15,52.151,48.261
31,24,"I",50.342,82.306,14.848,"Class2",36.384,"B",30,18.613,10.928
37,55,"J",33.962,36.493,31.077,"Class1",63.047,"O",51,46.348,50.804
41,72,"K",65.391,48.85,17.39,"Class1",70.209,"O",60,50.243,51.089
41,90,"Y",54.282,45.967,21.54,"Class1",47.166,"O",42,46.156,51.805
61,25,"I",53.988,70.979,11.557,"Class2",39.624,"V",37,19.008,16.549
68,52,"Z",59.273,85.962,21.504,"Class2",31.705,"H",36,19.103,26.735
22,50,"K",68.072,69.2,16.164,"Class2",39.174,"H",33,18.717,23.432
39,77,"Y",62.477,52.72,33.184,"Class1",48.293,"X",15,49.679,52.647
43,91,"K",68.696,52.701,12.054,"Class1",52.937,"S",18,45.174,53.755
39,46,"J",61.722,39.72,36.188,"Class1",76.154,"X",70,40.981,47.64
30,40,"I",65.07,79.726,24.771,"Class2",37.538,"A",28,18.431,16.984
34,87,"M",59.007,57.712,36.435,"Class1",56.989,"X",28,49.343,50.34
35,53,"Y",21.612,41.771,23.718,"Class1",77.383,"S",47,51.641,50.242
35,78,"J",30.244,48.204,9.257,"Class1",68.208,"O",75,42.649,51.682
63,43,"Z",69.58,71.445,14.122,"Class2",31.953,"H",31,18.558,33.117
40,23,"G",49.377,85.049,18.49,"Class2",34.102,"H",36,18.013,34.712
11,52,"I",69.444,84.436,15.113,"Class2",32.842,"Z",36,18.189,10.973
48,42,"I",71.346,75.433,23.6,"Class2",30.4,"B",25,19.208,32.378
50,43,"I",50.48,79.494,17.3,"Class2",39.792,"A",36,18.366,31.901
38,92,"Y",20.17,49.726,40.029,"Class1",73.319,"O",15,48.725,51.548
34,67,"W",61.541,36.526,8.089,"Class1",44.173,"X",4,51.669,49.235
21,32,"K",59.078,82.2,18.076,"Class2",38.127,"A",26,18.722,12.257
60,39,"Z",69.01,73.619,21.018,"Class2",35.573,"A",25,18.324,37.17
7,49,"K",68.48,77.513,14.447,"Class2",34.783,"H",35,18.677,33.062
51,36,"Z",48.976,74.223,16.901,"Class2",NA,"H",25,18.151,40.376
35,37,"Y",10.327,55.324,22.322,"Class1",44.849,"O",20,47.376,50.144
34,69,"K",59.202,47.399,-1.927,"Class1",41.592,"X",45,49.772,51.776
58,23,"S",69.403,70.399,11.732,"Class2",39.834,"Z",29,18.647,1.218
57,38,"Z",54.306,73.848,10.603,"Class2",33.577,"A",30,18.325,42.536
33,22,"Z",70.353,76.339,19.278,"Class2",34.55,"B",31,18.278,23.229
34,29,NA,58.258,83.956,24.504,"Class2",31.056,"V",42,18.212,30.874
66,25,"G",60.774,75.292,22.135,"Class2",29.321,"V",42,18.478,33.077
15,29,"I",50.989,69.51,20.35,"Class2",39.366,"H",34,18.242,32.8
9,27,"Z",65.951,81.547,17.661,"Class2",35.638,"V",26,18.316,24.455
31,29,"K",65.824,72.252,15.715,"Class2",34.779,"H",35,18.735,15.287
42,58,"K",56.954,58.795,8.857,"Class1",68.33,"X",18,48.008,51.497
38,59,"K",40.676,41.838,11.732,"Class1",65.664,"X",53,44.899,50.226
26,30,"Z",56.171,74.761,1.772,"Class2",30.406,"Z",34,17.591,44.353
17,39,"G",57.314,83.401,14.67,"Class2",30.097,"B",34,18.021,40.694
53,52,"S",64.545,83.352,12.815,"Class2",32.284,"V",36,18.905,27.582
40,39,"W",30.329,44.994,11.112,"Class1",62.026,"O",70,50.773,52.524
43,28,"W",11.954,38.428,3.359,"Class1",71.727,"Y",52,45.188,53.285
9,46,"I",61.653,85.43,6.64,"Class2",33.356,"B",29,18.285,24.979
7,43,"K",64.232,72.499,21.953,"Class2",NA,"B",31,18.012,26.667
37,80,"Y",17.928,37.229,26.683,"Class1",39.994,"S",25,50.181,51.827
21,48,"Z",70.448,74.366,17.395,"Class2",38.292,"B",32,19.234,34.932
34,91,"Y",66.697,61.498,23.246,"Class1",74.303,"S",71,43.127,50.839
40,40,"K",56.133,83.121,18.433,"Class2",33.699,"A",29,18.862,33.767
42,93,"J",20.509,39.665,10.497,"Class1",61.112,"Y",70,46.762,50.577
42,84,"Y",50.412,60.701,4.001,"Class1",37.79,"Y",32,50.35,49.647
34,59,"J",39.443,40.189,37.118,"Class1",66.857,"X",39,47.446,50.144
41,89,"M",51.558,59.317,25.483,"Class1",81.299,"Y",71,45.393,50.809
56,32,"K",62.387,73.888,12.894,"Class2",34.652,"Z",38,18.428,35.629
38,20,"W",47.58,41.497,8.734,"Class1",44.39,"X",66,37.384,52.192
37,17,"W",66.576,40.975,23.066,"Class1",76.985,"N",11,52.721,49.316
36,15,"K",28.062,57.21,40.564,"Class1",64.747,"N",73,45.661,51.121
42,24,"G",70.493,82.767,18.077,"Class2",29.291,"V",25,18.699,24.214
43,74,"K",62.556,49.058,39.704,"Class1",68.318,"N",37,41.402,51.212
42,83,"Y",66.513,46.63,22.273,"Class1",41.365,"O",45,41.66,52.642
50,48,"Z",58.185,84.717,10.689,"Class2",32.018,"V",39,18.649,42.996
68,43,"G",49.019,77.762,14.638,"Class2",31.362,"A",40,18.355,39.734
42,96,"W",7.727,41.412,46.543,"Class1",69.255,"N",72,46.987,51.89
39,69,"W",51.585,38.524,19.845,"Class1",57.211,"X",57,43.159,51.928
41,37,"G",53.11,76.583,13.14,"Class2",35.392,"B",24,18.407,13.147
35,79,"M",44.117,54.13,13.253,"Class1",71.352,"X",34,52.089,50.836
70,21,"Z",59.797,74.639,21.961,"Class2",NA,"V",40,18.713,11.079
39,59,"J",36.547,49.909,20.885,"Class1",67.519,"O",59,46.051,51.104
50,42,"Z",54.475,83.348,14.319,"Class2",32.407,"B",35,18.078,30.595
38,31,"K",15.706,50.237,11.374,"Class1",37.869,"S",20,45.982,52.887
28,53,"I",57.025,78.648,18.215,"Class2",32.451,"H",32,18.424,26.475
39,72,"Y",43.448,59.277,21.392,"Class1",55.536,"Y",26,49.408,50.771
43,29,"S",71.705,83.1,16.048,"Class2",31.467,"B",27,18.01,39.979
42,30,"W",45.867,56.837,13.723,"Class1",73.183,"Y",38,48.71,50.394
62,35,"K",53.748,72.405,15.561,"Class2",34.458,"B",23,18.493,14.35
35,47,"Y",39.363,50.725,26.055,"Class1",69.802,"S",68,49.343,51.936
40,63,"K",33.206,49.088,13.242,"Class1",56.813,"O",70,53.98,51.379
36,93,"M",66.038,44.508,46.025,"Class1",67.094,"O",64,51.476,50.275
67,47,"Z",55.538,76.773,22.834,"Class2",30.932,"A",25,18.516,12.048
21,43,"S",48.323,82.163,19.351,"Class2",34.985,"V",41,18.431,31.877
55,48,"I",66.011,81.229,18.854,"Class2",35.409,"Z",29,18.813,17.032
35,54,"Y",20.268,51.202,28.018,"Class1",58.075,"N",13,55.028,53.819
42,46,"M",25.311,43.501,26.192,"Class1",37.062,"Y",27,46.453,52.908
15,33,"G",50.694,69.588,19.361,"Class2",36.921,"B",31,19.01,9.211
42,60,"M",11.69,61.628,37.951,"Class1",58.117,"S",19,43.051,51.859
65,25,NA,50.629,72.847,21.23,"Class2",35.645,"A",36,18.35,35.782
15,33,"I",68.481,69.586,14.685,"Class2",30.743,"A",34,18.233,36.514
43,58,"Y",40.061,40.241,48.372,"Class1",52.579,"X",61,43.449,49.507
40,50,"J",55.915,42.837,39.756,"Class1",71.183,"O",5,47.319,49.29
42,32,"K",30.606,54.566,-1.028,"Class1",49.066,"Y",32,53.763,49.581
41,22,"Y",8.942,58.584,-12.694,"Class1",69.852,"Y",28,37.138,52.098
34,50,"J",55.554,47.868,11.904,"Class1",78.725,"X",31,41.031,50.884
37,37,"K",54.541,57.507,27.676,"Class1",59.002,"O",16,50.842,50.568
40,33,"Y",65.715,37.496,13.023,"Class1",51.385,"S",5,43.104,53.147
53,32,"K",53.59,84.442,12.361,"Class2",37.021,"Z",33,18.65,21.213
37,74,NA,19.112,55.187,27.696,"Class1",NA,"X",69,54.558,52.563
41,63,"W",10.666,39.165,-2.079,"Class1",36.414,"O",18,53.623,51.341
39,40,"M",65.162,56.269,25.641,"Class1",56.407,"O",59,47.26,52.321
43,50,"I",59.71,73.442,27.919,"Class2",38.611,"V",39,18.884,42.992
34,67,"Y",42.844,47.204,26.221,"Class1",48.83,"X",61,55.374,50.089
32,52,"Z",61.517,71.376,18.274,"Class2",31.761,"H",41,19.326,61.482
38,45,"W",27.807,54.346,26.499,"Class1",48.191,"N",55,55.745,51.724
40,36,"G",70.772,84.691,23.597,"Class2",30.09,"H",42,18.751,15.565
52,40,"Z",59.877,83.004,12.132,"Class2",30.826,"V",27,18.569,27.48
7,34,NA,65.488,76.307,19.269,"Class2",34.283,"H",28,18.077,16.388
41,21,"J",14.387,41.081,17.616,"Class1",52.72,"S",15,40.764,53.038
44,42,NA,71.809,77.636,19.76,"Class2",30.898,"V",33,18.399,28.947
37,85,"W",61.295,54.903,10.439,"Class1",55.726,"Y",37,57.344,48.759
33,52,"I",52.559,73.56,22.077,"Class2",34.279,"A",32,18.474,45.874
41,31,"J",51.823,61.687,4.816,"Class1",53.821,"Y",48,44.31,51.822
38,82,"M",11.094,36.272,16.222,"Class1",76.182,"S",29,50.039,50.62
40,91,"K",8.646,38.249,21.123,"Class1",59.614,"N",67,51.33,49.998
34,31,"J",11.912,50.293,17.032,"Class1",38.929,"X",77,52.125,50.244
70,51,"K",59.112,74.453,17.714,"Class2",31.221,"V",32,18.713,38.595
37,29,"K",53.722,52.837,11.283,"Class1",42.878,"X",25,31.839,50.964
37,90,"M",53.022,38.17,34.461,"Class1",64.371,"S",25,48.611,47.925
38,15,"Y",25.174,49.308,24.254,"Class1",66.243,"X",32,45.598,48.251
42,30,"Y",9.289,61.079,22.129,"Class1",39.52,"O",46,56.161,48.032
37,80,"M",66.696,52.863,38.83,"Class1",53.912,"Y",45,55.773,49.069
39,32,"Z",65.784,71.331,13.246,"Class2",31.938,"Z",39,18.697,18.6
48,42,"I",49.815,82.056,17.898,"Class2",29.618,"H",28,18.35,16.427
21,45,"S",68.772,82.697,11.68,"Class2",29.579,"Z",38,18.658,33.29
60,50,"G",54.554,81.065,17.403,"Class2",29.209,"Z",26,18.335,17.545
12,34,"K",50.121,75.678,17.116,"Class2",32.858,"V",24,18.701,39.259
13,46,"I",62.12,83.611,13.592,"Class2",35.025,"H",42,18.473,38.645
40,90,NA,30.317,61.808,-0.012,"Class1",51.57,"X",18,37.464,50.681
34,35,"I",68.354,80.503,17.517,"Class2",37.64,"B",29,17.916,23.123
38,38,"M",28.551,59.822,17.713,"Class1",64.749,"N",37,46.553,53.089
35,22,"K",56.196,83.444,21.108,"Class2",34.98,"A",38,18.849,-11.002
34,48,"M",52.646,51.132,6.263,"Class1",72.139,"S",14,40.566,50.983
30,41,"I",62.263,84.47,13.753,"Class2",32.861,"Z",27,18.738,27.11
38,74,"K",20.845,37.899,30.722,"Class1",36.936,"X",52,44.307,50.453
72,47,"K",49.013,69.904,20.559,"Class2",34.044,"B",30,18.488,42.097
41,53,"M",23.803,54.387,5.011,"Class1",NA,"O",19,47.182,49.314
54,29,"I",67.795,82.945,11.705,"Class2",38.551,"B",35,18.575,24.442
35,43,"K",66.543,45.058,35.523,"Class1",40.021,"S",58,52.209,51.488
46,32,"K",50.157,80.384,23.656,"Class2",35.581,"B",42,18.484,12.964
22,28,"G",56.045,84.107,18.99,"Class2",31.476,"V",24,18.741,20.791
42,47,"K",67.657,80.033,21.779,"Class2",34.55,"A",24,18.425,25.142
9,45,"Z",50.219,78.719,13.947,"Class2",34.235,"V",37,18.443,36.881
42,95,"Y",15.999,50.962,26.735,"Class1",50.741,"O",35,48.875,50.502
34,57,"M",63.312,52.285,15.388,"Class1",76.893,"N",64,50.981,50.636
63,35,"Z",51.455,84.437,14.906,"Class2",29.029,"V",38,18.774,20.508
30,30,"I",67.835,76.293,17.354,"Class2",NA,"B",40,18.793,24.627
14,45,"Z",61.836,85.652,18.664,"Class2",32.821,"V",26,18.106,35.227
41,17,"W",44.324,42.491,7.874,"Class1",NA,"N",72,55.018,49.534
33,37,"I",62.717,69.839,16.718,"Class2",31.564,"A",25,18.223,17.672
42,26,"W",56.404,43.83,14.257,"Class1",77.554,"X",50,50.315,51.117
41,63,"M",11.213,60.024,49.376,"Class1",37.45,"Y",74,60.885,53.55
18,37,"K",49.679,72.472,16.452,"Class2",30.614,"B",23,18.803,28.447
42,19,"Y",29.29,47.171,11.076,"Class1",59.333,"Y",38,45.693,50.857
66,43,"G",48.606,80.092,15.381,"Class2",34.277,"B",38,19.288,25.931
29,36,"G",69.434,70.736,16.804,"Class2",31.652,"Z",30,18.37,15.368
66,24,"Z",62.459,71.869,22.526,"Class2",38.431,"H",29,18.462,17.544
53,35,NA,58.058,85.076,27.358,"Class2",33.06,"Z",36,18.37,9.04
41,39,"J",59.151,53.42,13.557,"Class1",40.48,"S",27,52.344,52.616
17,22,"S",54.638,81.459,19.153,"Class2",NA,"H",32,17.94,29.594
19,24,"I",69.22,85.181,17.696,"Class2",32.472,"B",31,18.46,34.276
35,74,"M",42.66,45.282,24.908,"Class1",44.523,"N",57,52.155,50.075
7,45,"I",49.849,74.817,14.485,"Class2",35.393,"Z",36,18.127,21.109
69,51,"I",52.052,76.883,11.544,"Class2",37.529,"B",39,18.479,23.108
64,46,"I",70.432,77.167,17.7,"Class2",31.999,"Z",41,19.254,47.068
41,38,"Y",34.116,61.388,20.325,"Class1",45.898,"N",69,44.675,51.485
64,52,"S",61.334,73.077,20.557,"Class2",31.434,"B",37,18.711,38.668
63,22,"S",71.158,85.302,12.38,"Class2",37.58,"A",25,18.141,25.553
10,26,NA,52.987,78.485,13.454,"Class2",32.741,"B",32,18.419,32.229
40,15,"J",19.987,41.531,17.841,"Class1",59.9,"S",54,47.691,49.388
38,22,NA,9.097,48.908,17.121,"Class1",59.332,"Y",11,58.917,49.357
19,25,"S",48.768,69.371,21.221,"Class2",34.562,"Z",34,18.295,27.811
67,43,"I",64.626,79.561,16.163,"Class2",39.802,"Z",25,18.263,30.49
67,35,"Z",70.179,85.032,24.056,"Class2",34.747,"H",37,18.902,33.753
49,37,"G",67.098,80.128,10.175,"Class2",33.825,"V",40,18.402,12.637
40,25,"W",62.563,51.12,27.13,"Class1",75.038,"N",49,46.716,50.917
59,47,"Z",57.776,83.182,16.34,"Class2",39.257,"A",27,18.724,37.618
33,39,"S",70.712,78.069,20.788,"Class2",39.274,"B",38,18.103,29.806
7,39,"Z",48.724,81.597,15.256,"Class2",32.251,"V",40,18.26,29.776
35,75,"K",63.153,48.505,18.953,"Class1",77.142,"S",64,41.131,52.976
54,27,"K",48.9,81.536,24.322,"Class2",29.4,"V",36,18.267,20.844
41,66,NA,59.426,43.474,7.242,"Class1",57.707,"O",39,48.181,48.798
32,39,"Z",70.982,71.248,20.416,"Class2",35.597,"H",36,18.087,21.619
42,42,"J",60.807,40.394,21.068,"Class1",35.266,"Y",78,47.515,49.572
20,33,"Z",68.862,81.167,16.315,"Class2",35.033,"Z",23,18.638,36.271
41,31,"Y",65.518,55.031,54.414,"Class1",75.643,"X",26,53.695,50.995
28,50,"I",52.477,83.721,15.918,"Class2",31.108,"B",25,18.243,32.401
37,47,"I",64.14,77.04,9.407,"Class2",38.467,"Z",27,18.755,25.129
28,30,"S",63.254,76.072,8.937,"Class2",34.626,"A",24,18.801,23.445
34,40,"J",26.903,36.503,29.418,"Class1",58.319,"X",49,43.665,50.461
63,49,"G",67.342,72.886,19.878,"Class2",36.186,"V",27,18.11,43.018
37,53,"K",21.82,44.74,26.991,"Class1",48.347,"O",69,41.021,49.483
14,34,"G",59.618,70.918,24.908,"Class2",35.571,"A",40,19.385,20.755
34,35,"J",9.568,53.049,10.652,"Class1",49.131,"Y",75,50.406,51.762
11,37,"G",69.883,79.149,14.892,"Class2",36.717,"V",40,18.503,32.951
34,38,"W",18.493,43.618,48.073,"Class1",47.439,"O",77,48.713,50.183
36,61,"K",39.965,49.553,50.876,"Class1",55.764,"Y",73,51.38,51.244
68,36,"G",70.577,81.979,17.785,"Class2",30.182,"H",31,18.274,23.184
61,44,"I",61.516,80.336,19.893,"Class2",NA,"V",27,18.812,17.001
42,23,"M",25.724,46.893,13.208,"Class1",37.687,"N",73,52.47,50.984
38,80,"K",35.511,59.384,6.906,"Class1",39.981,"N",78,49.233,48.804
37,82,"Y",60.811,49.033,-6.033,"Class1",68.127,"N",55,40.616,50.437
63,40,"I",54.746,74.653,19.214,"Class2",33.706,"A",23,18.604,29.84
43,63,"J",33.95,61.004,28.979,"Class1",50.069,"O",41,56.095,53.243
34,73,"K",20.792,39.108,14.134,"Class1",59.257,"Y",67,47.688,49.871
39,72,"K",36.917,50.583,-7.911,"Class1",41.393,"O",61,49.95,51.116
40,46,"M",26.017,40.23,-4.443,"Class1",62.521,"O",53,50.216,53.139
38,16,"K",51.26,43.542,14.559,"Class1",75.319,"O",39,46.305,49.917
39,95,"W",8.158,40.851,10.212,"Class1",73.764,"N",77,41.341,52.579
24,21,"Z",51.109,78.238,16.951,"Class2",NA,"H",36,18.494,36.542
52,49,"I",49.108,73.622,11.619,"Class2",36.379,"B",36,18.205,45.678
40,89,"J",45.785,57.132,28.012,"Class1",78.134,"X",37,46.032,51.006
36,72,"W",7.974,48.569,28.18,"Class1",54.514,"Y",51,45.141,51.696
35,84,"M",69.147,47.706,21.121,"Class1",72.998,"Y",75,48.741,53.215
40,87,"Y",44.989,38.765,19.515,"Class1",43.751,"S",63,44.153,52.108
41,16,"Y",45.509,45.622,42.998,"Class1",76.462,"O",18,41.731,51.082
62,40,"G",59.441,70.788,16.602,"Class2",29.084,"A",38,18.556,37.846
37,50,"Y",25.188,60.446,34.468,"Class1",54.87,"N",3,49.241,47.397
42,17,"Y",69.267,56.875,43.267,"Class1",67.388,"O",51,47.159,51.055
41,43,"M",65.794,38.829,24.833,"Class1",69.583,"Y",30,54.522,50.081
42,22,"J",34.093,60.098,27.391,"Class1",68.822,"X",22,48.674,51.67
36,37,"J",19.161,47.014,9.097,"Class1",60.513,"S",36,46.667,50.783
68,50,"G",71.552,79.159,26.144,"Class2",36.334,"V",25,18.631,38.332
69,42,"G",69.267,72.434,24.743,"Class2",31.375,"A",25,18.369,31.587
43,83,"M",63.231,36.249,44.927,"Class1",68.331,"N",39,45.835,52.167
47,36,"Z",53.35,83.42,18.979,"Class2",34.442,"B",41,18.233,22.922
36,76,"Y",41.288,49.891,18.062,"Class1",44.072,"N",61,44.717,50.163
59,33,"K",69.893,77.116,21.469,"Class2",37.285,"H",25,18.569,38.834
43,84,"K",59.319,58.089,30.534,"Class1",39.435,"N",78,53.782,49.655
66,50,"G",57.213,78.38,20.314,"Class2",29.086,"Z",30,18.988,24.826
67,36,"Z",61.201,74.432,21.471,"Class2",36.005,"V",36,18.768,26.187
14,25,"I",59.676,85.339,9.74,"Class2",34.295,"A",31,17.864,29.311
40,29,"K",51.112,36.174,3.592,"Class1",38.934,"Y",18,51.445,52.058
36,59,"Y",14.847,47.153,15.219,"Class1",36.9,"N",65,50.371,53.781
39,24,"M",52.168,54.419,32.74,"Class1",40.273,"Y",71,54.264,51.222
43,94,"W",61.916,42.366,11.031,"Class1",39.47,"N",52,53.97,51.422
41,80,"J",20.093,42.65,18.441,"Class1",78.582,"S",78,51.622,51.01
66,42,"S",49.565,73.572,12.984,"Class2",33.782,"Z",32,18.553,40.747
45,34,"G",57.576,80.05,14.462,"Class2",38.622,"Z",26,18.559,14.073
18,40,"Z",60.847,83.077,11.84,"Class2",39.37,"H",34,18.86,31.304
28,50,"G",52.411,73.659,14.379,"Class2",30.584,"Z",31,18.263,21.365
35,48,"Y",4.444,46.892,24.67,"Class1",55.279,"N",24,43.63,51.207
39,79,"M",48.712,45.046,3.865,"Class1",66.907,"X",36,54.478,48.529
37,74,"K",55.984,42.271,14.683,"Class1",51.203,"O",20,43.336,52.45
23,36,"G",59.728,77.165,20.214,"Class2",34.634,"B",23,18.254,25.678
13,43,"I",69.108,77.525,13.638,"Class2",36.857,"H",32,18.537,44.283
34,37,"W",45.389,58.97,36.504,"Class1",80.873,"S",69,48.557,49.991
45,49,"Z",55.474,74.012,16.559,"Class2",NA,"B",32,18.217,20.073
38,43,"W",49.071,59.536,43.54,"Class1",48.035,"O",23,42.801,50.713
35,58,"W",22.26,51.4,34.113,"Class1",51.207,"Y",42,49.695,52.626
38,77,"M",46.304,45.855,26.177,"Class1",75.035,"X",54,57.007,50.722
30,32,"K",65.007,84.681,18.469,"Class2",37.353,"Z",42,19.006,37.707
72,24,"S",52.435,81.652,18.905,"Class2",29.148,"B",36,18.091,40.3
31,33,"K",52.673,76.372,12.725,"Class2",38.881,"V",36,18.409,39.844
36,73,"K",4.475,60.546,11.994,"Class1",71.346,"X",60,48.022,51.079
7,26,"S",67.534,85.036,11.847,"Class2",38.771,"V",42,18.842,34.025
41,32,"J",24.755,56.931,5.162,"Class1",79.482,"X",39,52.047,51.447
36,61,"K",41.173,56.396,13.092,"Class1",39.873,"N",47,58.116,50.818
37,41,"W",17.341,49.255,39.57,"Class1",36.429,"Y",75,45.861,52.81
35,53,"K",5.305,41.902,16.872,"Class1",NA,"X",72,49.933,51.849
59,26,"G",70.037,72.26,14.222,"Class2",39.713,"Z",41,18.791,25.557
29,46,"G",64.519,69.017,21.461,"Class2",34.912,"H",33,18.469,41.863
32,46,"G",66.753,73.785,22.039,"Class2",30.436,"B",25,17.926,34.031
19,36,"G",67.188,83.597,22.915,"Class2",36.392,"Z",34,18.184,33.603
34,69,"W",64.242,45.071,29.286,"Class1",36.581,"N",21,45.664,50.945
21,33,"S",51.599,70.383,21.574,"Class2",30.896,"B",27,18.727,39.952
66,28,"Z",71.61,81.243,19.595,"Class2",29.997,"Z",37,18.556,33.374
67,42,"S",71.953,77.903,14.342,"Class2",33.857,"H",39,18.185,31.092
39,27,"M",69.547,38.986,11.759,"Class1",73.737,"O",42,39.836,50.938
13,44,"K",66.988,79.902,13.704,"Class2",36.383,"H",42,18.107,16.413
42,92,"K",21.888,60.09,16.322,"Class1",65.211,"N",64,48.9,50.347
35,40,"J",43.306,37.386,22.843,"Class1",NA,"S",44,47.851,52.478
35,26,"Y",69.679,41.175,31.449,"Class1",64.947,"N",50,46.182,52.855
42,83,"Y",18.287,40.017,39.573,"Class1",60.076,"N",37,38.941,50.206
41,21,"M",13.839,61.81,27.619,"Class1",47.325,"S",59,49.319,50.5
39,38,"W",35.094,46.369,17.843,"Class1",41.43,"Y",11,47.688,49.882
35,38,"W",66.609,51.183,37.71,"Class1",56.56,"O",18,49.882,53.243
20,32,"I",69.156,83.793,18.364,"Class2",37.195,"Z",29,18.284,42.659
37,58,"Y",63.356,57.602,30.447,"Class1",46.817,"N",45,36.719,50.182
