"K1","K2","K3","K4","K5","K6","K7","K8","K9","Output36","K10","K11"
55,59.161,48.904,13,16.081,18.538,7.678,"F",34,"Class4","S",83.188
13,92.659,89.262,24,41.059,20.968,43.192,"S",60,"Class3","C",15.438
6,82.408,47.282,29,92.31,12.699,25.178,"S",17,"Class3","U",10.618
76,45.039,59.362,53,26.96,15.781,19.667,"F",21,"Class4","G",85.2
31,43.558,70.253,87,19.214,50.807,77.488,"K",63,"Class1","R",56.309
72,0.79,81.192,65,72.661,55.87,22.991,"M",44,"Class2","S",65.729
18,79.719,88.652,42,83.029,NA,35.811,"B",61,"Class3","R",17.404
5,78.387,79.151,51,93.504,4.966,19.411,"B",55,"Class3","E",8.315
68,0.256,82.275,32,10.122,64.407,1.251,"D",56,"Class2","A",9.62
6,89.07,54.442,30,19.425,19.616,30.542,"B",66,"Class3","R",10.93
16,78.934,42.873,41,18.271,19.64,25.27,"P",10,"Class3","Q",16.767
41,39.925,69.548,41,24.444,52.619,86.516,"Q",79,"Class1","F",50.03
67,0.594,NA,57,67.961,69.925,16.33,"M",46,"Class2","S",56.067
36,36.591,73.512,70,17.139,54.876,95.046,"J",60,"Class1","R",56.164
35,41.842,68.429,62,21.665,52.115,84.363,"K",66,"Class1","U",69.597
68,0.389,52.145,35,63.103,67.154,4.977,"M",69,"Class2","A",37.73
81,61.446,74.813,56,8.26,19.753,43.855,"U",35,"Class4","Q",85.01
48,19.441,69.29,28,20.672,53.455,98.017,"J",70,"Class1","F",55.08
11,86.903,60.23,21,37.241,4.211,28.352,"V",55,"Class3","E",9.064
7,84.127,85.65,62,68.226,15.735,34.295,"S",39,"Class3","R",8.133
74,65.839,49.941,55,19.97,19.246,26.008,"U",23,"Class4","S",85.828
68,0.701,33.486,82,32.897,66.721,46.977,"D",38,"Class2","C",13.636
13,91.069,77.277,20,79.708,15.086,17.861,"S",52,"Class3","E",9.884
10,87.236,68.478,37,37.294,10.486,28.129,"S",33,"Class3","C",9.814
18,92.92,96.055,44,52.735,13.06,29.12,"P",30,"Class3","C",12.176
69,0.741,67.844,35,13.538,65.377,15.611,"D",47,"Class2","L",34.292
12,81.072,NA,48,48.758,16.006,24.638,"B",57,"Class3","R",10.659
65,41.579,55.412,47,32.657,18.895,0.26,"F",31,"Class4","V",86.66
28,47.764,69.133,49,21.178,48.831,61.114,"V",53,"Class1","U",59.202
67,53.907,58.725,7,34.559,15.136,48.912,"T",19,"Class4","G",83.477
68,0.013,68.099,69,76.164,66.094,21.628,"E",57,"Class2","A",45.271
70,-0.119,43.769,45,71.412,65.138,33.114,"D",56,"Class2","S",11.987
7,81.163,93.178,39,64.611,8.378,41.578,"V",73,"Class3","U",11.556
14,71.999,77.173,18,66.901,18.82,12.763,"V",24,"Class3","E",12.874
75,64.039,69.798,19,36.464,19.249,30.913,"P",34,"Class4","V",84.69
68,0.485,88.188,77,24.158,67.894,33.78,"N",47,"Class2","I",45.547
46,38.016,71.4,65,22.892,50.45,78.177,"Q",56,"Class1","D",44.456
7,86.189,64.494,24,86.863,19.522,30.504,"P",28,"Class3","R",12.055
52,51.322,60.701,44,12.406,17.689,24.571,"U",25,"Class4","Q",83.123
53,74.522,56.614,40,22.483,20.575,23.434,"T",28,"Class4","Q",85.151
66,0.436,46.264,54,68.606,59.419,32.634,"E",59,"Class2","C",60.604
5,82.262,39.669,36,56.306,17.207,31.708,"X",47,"Class3","C",7.079
82,61.882,57.032,36,13.588,18.063,41.777,"P",30,"Class4","J",85.286
69,64.304,68.157,40,18.844,15.773,28.121,"T",20,"Class4","Q",84.136
70,0.577,80.598,49,19.044,61.897,22.111,"Z",54,"Class2","C",40.177
68,0.63,79.975,37,25.005,61.821,13.75,"D",57,"Class2","C",21.909
16,90.013,64.844,61,23.616,9.471,24.167,"V",10,"Class3","E",15.934
68,0.758,87.724,53,69.235,59.874,28.597,"N",40,"Class2","I",24.458
7,89.901,58.24,23,48.468,7.924,26.341,"V",72,"Class3","R",16.681
28,56.721,68.028,67,18.555,48.008,79.11,"J",83,"Class1","F",47.554
79,43.454,65.448,56,11.457,22.514,48.9,"T",37,"Class4","G",85.535
63,50.846,61.41,8,20.2,19.206,14.662,"T",49,"Class4","S",86.906
65,63.559,49.089,39,34.33,19.854,40.098,"T",18,"Class4","S",85.69
7,91.476,62.218,26,77.058,8.614,19.212,"S",18,"Class3","E",15.786
68,0.843,81.987,38,83.025,70.104,43.607,"E",60,"Class2","L",65.216
62,68.764,77.885,47,15.324,13.004,72.118,"F",42,"Class4","Q",85.62
42,28.023,72.686,79,22.93,NA,76.028,"V",69,"Class1","R",70.407
79,80.437,62.309,33,23.944,NA,6.754,"U",25,"Class4","J",85.883
48,34.406,72.408,45,20.457,NA,74.037,"K",53,"Class1","F",45.151
16,92.5,82.177,28,52.939,11.136,20.497,"S",18,"Class3","E",15.337
68,0.195,24.271,59,31.07,69.494,49.924,"E",45,"Class2","A",67.409
43,23.169,69.353,30,19.467,48.789,70.303,"V",71,"Class1","U",71.013
32,42.222,73.083,73,20.123,53.263,49.876,"C",73,"Class1","F",48.407
17,94.92,71.468,20,27.652,2.411,16.078,"B",42,"Class3","Q",13.167
11,72.357,NA,35,36.839,21.453,18.579,"P",10,"Class3","Q",14.28
70,75.424,70.266,31,22.295,16.781,27.573,"F",33,"Class4","S",85.868
69,60.339,51.78,41,26.712,19.097,-13.713,"T",28,"Class4","S",84.404
14,80.523,44.789,50,53.979,19.499,31.243,"S",58,"Class3","U",12.256
36,38.581,70.243,73,16.532,52.297,91.404,"C",78,"Class1","R",72.361
72,0.38,45.5,32,25.828,66.426,47.207,"D",49,"Class2","C",40.862
73,77.641,63.065,58,33.305,16.57,-1.652,"T",43,"Class4","V",83.068
12,85.575,69.036,69,58.311,12.816,16.899,"X",69,"Class3","C",14.697
18,85.129,61.174,33,56.082,5.315,35.593,"S",42,"Class3","Q",12.788
33,25.759,69.665,66,20.919,52.161,93.278,"Q",52,"Class1","U",47.858
5,92.141,49.265,26,91.325,5.005,36.43,"X",61,"Class3","C",9.025
48,29.796,73.641,89,20.2,53.364,68.593,"J",60,"Class1","A",43.432
68,-0.098,70.934,60,0.814,55.421,13.758,"E",53,"Class2","C",68.91
72,0.95,42.764,82,86.042,63.703,31.861,"E",53,"Class2","A",42.581
67,47.989,57.769,15,9.759,20.427,26.899,"B",28,"Class4","J",87.811
12,72.739,40.501,60,88.549,6.146,32.626,"S",38,"Class3","E",10.555
53,70.91,57.862,22,14.262,NA,18.284,"T",46,"Class4","J",84.794
73,0.3,80.088,56,49.244,70.487,42.292,"N",59,"Class2","I",32.486
82,59.468,72.914,12,28.304,20.368,66.955,"U",28,"Class4","J",87.148
63,87.167,52.502,59,30.687,17.888,12.882,"F",40,"Class4","S",87.742
80,61.254,77.073,18,15.891,20.948,60.905,"P",35,"Class4","G",83.376
13,80.332,58.5,47,58.595,11.827,29.57,"S",72,"Class3","Q",13.889
17,107.641,36.641,70,23.584,11.762,35.832,"P",56,"Class3","R",8.257
73,1.024,29.918,71,16.067,64.103,14.24,"N",57,"Class2","A",61.322
67,0.623,20.025,58,29.664,57.138,63.577,"D",42,"Class2","I",36.518
82,65.372,64.987,21,36.466,15.558,31.159,"U",20,"Class4","S",84.528
70,0.797,NA,59,58.037,62.045,48.424,"N",69,"Class2","S",34.206
75,56.807,75.855,9,30.021,14.599,36.958,"B",48,"Class4","G",85.511
70,0.162,65.588,76,39.834,66.922,35.954,"E",48,"Class2","S",59.682
38,23.211,69.359,53,24.026,51.377,85.436,"K",52,"Class1","R",72.803
16,83.965,44.028,23,96.98,22.017,28.324,"X",28,"Class3","R",7.757
11,88.813,NA,69,25.445,8.521,21.828,"P",42,"Class3","C",16.774
15,85.943,87.333,38,80.354,10.719,26.425,"V",15,"Class3","Q",8.187
29,8.321,67.143,43,21.83,49.182,59.141,"J",67,"Class1","F",62.663
68,60.755,64.852,39,15.007,17.233,68.691,"T",30,"Class4","Q",87.483
7,96.388,56.987,45,68.253,19.389,6.709,"B",29,"Class3","Q",8.774
70,0.448,19.42,57,78.954,63.639,24.744,"D",61,"Class2","I",29.936
18,93.789,75.466,32,80.217,4.175,24.095,"S",24,"Class3","U",17.762
38,31.108,70.696,13,21.245,50.252,77.146,"J",61,"Class1","U",55.776
64,58.6,62.361,21,28.75,14.399,4.14,"P",21,"Class4","S",83.802
71,0.411,66.152,51,44.139,64.741,20.1,"D",57,"Class2","L",65.442
9,88.42,75.568,70,52.401,23.516,27.729,"S",44,"Class3","Q",13.918
37,34.985,69.172,54,17.068,51.12,82.617,"Q",79,"Class1","R",50.254
80,89.426,66.638,43,14.609,22.806,30.404,"B",19,"Class4","S",86.168
69,0.493,56.957,60,8.432,69.745,34.796,"N",44,"Class2","C",21.82
11,82.861,76.64,25,34.26,23.454,16.862,"S",45,"Class3","U",16.946
65,52.205,54.946,23,19.157,17.166,-23.595,"U",32,"Class4","Q",85.899
45,25.938,73.157,33,21.892,NA,87.098,"Q",71,"Class1","A",58.231
57,52.198,62.662,53,26.458,21.476,47.718,"B",38,"Class4","Q",83.598
57,65.304,NA,60,18.806,NA,36.052,"U",20,"Class4","V",83.74
71,84.987,68.923,50,24.417,24.592,71.503,"U",36,"Class4","V",85.176
60,63.096,52.519,54,24.44,16.043,33.624,"B",24,"Class4","V",84.929
35,10.853,73.222,92,24.447,55.951,69.666,"K",57,"Class1","D",43.481
48,54.362,72.932,30,24.075,50.341,101.494,"Q",64,"Class1","D",62.585
14,84.543,80.091,25,74.255,26.8,18.401,"S",41,"Class3","R",9.022
41,46.699,67.717,31,16.04,56.244,79.815,"V",79,"Class1","F",56.791
34,2.029,73.471,40,23.836,52.665,85.708,"Q",69,"Class1","U",53.793
35,41.38,71.255,60,18.87,53.785,64.975,"K",70,"Class1","A",66.161
9,79.015,55.198,49,42.119,18.313,28.679,"S",36,"Class3","E",8.352
53,67.349,62.99,39,35.451,16.516,27.197,"P",24,"Class4","V",85.004
33,28.336,72.363,87,21.951,50.079,74.772,"K",59,"Class1","A",71.691
72,0.587,63.111,74,65.179,71.657,42.079,"E",42,"Class2","S",55.94
64,56.859,69.567,50,37.109,23.368,75.201,"U",40,"Class4","Q",86.101
42,28.161,70.286,19,16.331,49.443,61.283,"Q",68,"Class1","D",60.468
12,71.03,94.515,31,51.262,5.866,20.012,"V",11,"Class3","R",9.627
66,0.64,62.494,75,73.862,59.099,19.991,"M",43,"Class2","S",22.031
80,63.74,52.944,20,38.842,15.118,55.361,"P",46,"Class4","V",85.077
12,94.283,65.817,67,58.853,16.518,15.898,"B",71,"Class3","E",14.18
70,0.748,55.553,62,9.274,62.349,8.736,"E",51,"Class2","S",41.034
31,20.295,72.018,85,22.499,52.008,70.002,"J",71,"Class1","R",41.539
15,84.342,39.851,71,17.151,18.604,27.333,"V",47,"Class3","Q",12.036
11,67.741,70.986,70,45.959,12.982,34.834,"B",26,"Class3","E",10.842
49,7.755,73.568,87,19.036,51.98,88.753,"C",53,"Class1","F",52.289
75,85.555,67.622,24,12.649,16.596,63.812,"U",29,"Class4","Q",85.612
69,0.325,54.965,80,4.895,58.49,36.62,"E",46,"Class2","L",37.368
72,52.339,57.457,22,8.436,21.345,74.237,"F",20,"Class4","G",84.589
60,72.402,70.682,36,31.476,NA,21.886,"U",47,"Class4","V",83.231
69,0.603,39.302,70,22.384,64.044,25.477,"D",66,"Class2","S",54.779
5,100.557,52.368,43,63.228,19.489,4.949,"S",19,"Class3","E",16.174
38,15.709,72.293,84,17.401,57.046,120.493,"J",81,"Class1","R",45.39
70,0.545,67.853,68,1.978,63.645,41.275,"E",37,"Class2","A",51.998
67,0.193,85.859,54,73.607,63.943,7.713,"M",43,"Class2","C",14.267
68,0.472,66.27,39,84.848,63.458,22.235,"M",62,"Class2","A",44.686
6,72.043,45.162,35,94.846,10.074,9.68,"V",18,"Class3","U",14.288
70,0.606,87.2,79,47.645,57.535,9.941,"N",60,"Class2","C",24.489
36,33.464,69.854,86,16.196,51.375,79.147,"C",67,"Class1","A",45.92
61,77.088,61.684,40,35.277,15.245,22.734,"T",38,"Class4","V",83.477
36,15.614,67.94,55,20.041,54.967,63.9,"J",59,"Class1","U",72.622
65,57.868,60.249,35,31.241,18.441,8.368,"F",48,"Class4","S",85.886
71,0.253,45.059,75,59.837,61.999,11.787,"N",58,"Class2","L",32.868
66,0.278,89.95,81,26.397,64.989,9.759,"N",58,"Class2","I",16.457
44,27.699,67.259,81,18.019,50.931,105.739,"K",68,"Class1","D",44.079
41,47.951,67.59,47,20.482,49.309,64.909,"V",83,"Class1","R",48.313
60,69.204,67.357,19,36.12,14.432,79.241,"F",23,"Class4","S",85.683
80,63.089,48.004,12,29.3,24.231,36.623,"P",28,"Class4","J",83.821
45,22.62,69.303,76,22.728,49.535,101.956,"K",78,"Class1","F",47.394
18,82.358,83.303,35,55.788,6.187,15.642,"X",28,"Class3","Q",12.187
28,35.751,68.778,16,19.963,54.47,86.828,"J",83,"Class1","A",63.21
41,57.806,68.476,74,22.398,50.709,92.62,"V",66,"Class1","A",54.458
65,67.919,60.523,60,18.23,21.643,20.638,"T",36,"Class4","J",87.965
68,0.132,90.592,46,53.634,60.781,24.578,"E",64,"Class2","I",8.867
39,33.649,68.527,35,21.408,59.381,69.849,"V",52,"Class1","F",57.917
45,19.088,68.941,25,24.646,55.174,69.294,"C",64,"Class1","D",72.024
66,0.125,21.726,77,74.532,61.662,27.635,"N",53,"Class2","S",34.875
8,85.779,45.749,59,26.47,12.776,27.71,"V",18,"Class3","E",12.764
36,31.882,70.437,24,17.089,52.977,76.033,"J",78,"Class1","F",42.161
38,35.025,71.134,15,17.045,NA,99.009,"V",56,"Class1","A",71.199
28,56.187,69.122,35,16.035,50.215,52.57,"C",77,"Class1","A",56.553
73,44.282,68.066,19,33.677,23.1,37.335,"P",44,"Class4","J",87.258
55,63.323,56.716,11,20.129,24.853,18.056,"T",34,"Class4","G",84.638
73,0.105,82.272,76,54.234,66.467,22.334,"M",40,"Class2","L",14.233
70,0.814,84.821,63,45.652,62.844,18.119,"D",41,"Class2","I",50.225
44,36.639,72.189,74,24.874,45.482,91.968,"V",73,"Class1","A",67.291
40,18.931,72.941,83,16.995,54.833,107.132,"Q",74,"Class1","R",52.447
40,31.186,70.388,44,18.11,52.645,68.908,"V",78,"Class1","F",48.936
70,0.468,26.749,56,87.19,60.568,51.591,"Z",69,"Class2","S",62.707
29,51.139,69.399,41,18.577,47.914,94.806,"Q",57,"Class1","A",59.273
77,46.479,NA,45,17.312,20.272,37.257,"U",32,"Class4","G",84.032
44,51.968,67.665,78,23.939,50.233,86.894,"V",80,"Class1","R",58.361
59,46.754,51.957,26,31.616,16.607,18.83,"P",44,"Class4","S",86.365
47,40.307,73.001,36,22.681,51.304,82.281,"C",63,"Class1","U",48.537
69,0.334,59.064,73,31.761,68.822,27.146,"E",56,"Class2","S",23.275
47,27.084,71.434,45,18.14,47.223,63.184,"J",55,"Class1","U",41.215
70,0.935,33.532,61,39.264,66.093,18.712,"Z",49,"Class2","I",20.359
42,3.226,NA,33,19.736,51.451,85.821,"Q",73,"Class1","D",40.48
43,45.027,70.224,8,16.509,55.284,79.203,"V",57,"Class1","F",69.638
48,15.387,70.927,76,17.356,57.346,70.873,"V",70,"Class1","F",70.694
43,30.773,72.246,36,21.447,47.276,87.254,"J",56,"Class1","R",47.117
53,71.758,54.151,12,38.635,20.189,50.362,"F",48,"Class4","Q",86.386
33,-0.082,71.907,29,20.509,50.735,67.347,"K",56,"Class1","A",51.161
16,85.823,42.884,70,40.67,16.262,15.479,"V",38,"Class3","U",7.683
10,83.501,53.853,67,55.873,NA,47.268,"P",60,"Class3","E",15.217
72,0.725,NA,55,24.191,66.132,25.948,"Z",37,"Class2","C",37.921
39,25.798,69.301,64,20.815,50.653,83.451,"J",52,"Class1","A",70.66
8,85.54,54.271,25,66.948,3.976,10.239,"P",71,"Class3","U",9.81
8,82.246,89.597,37,42.858,11.632,25.912,"X",26,"Class3","R",14.99
72,0.804,82.199,39,48.536,65.824,38.395,"N",50,"Class2","A",14.595
39,23.295,73.111,50,22.946,51.658,65.485,"C",79,"Class1","A",71.19
10,89.479,86.625,37,68.526,11.389,31.875,"S",55,"Class3","Q",7.173
32,0.625,72.302,84,20.622,44.095,76.76,"C",66,"Class1","D",58.206
6,92.043,47.823,67,59.273,8.647,19.591,"V",10,"Class3","E",12.584
33,18.143,NA,50,24.156,NA,73.246,"K",75,"Class1","A",56.764
58,65.954,50.935,42,9.135,16.84,72.815,"F",46,"Class4","S",87.511
68,0.412,57.816,37,27.486,65.886,19.701,"E",50,"Class2","A",63.871
78,77.739,74.097,7,17.162,16.733,55.941,"U",31,"Class4","J",86.312
69,0.171,90.581,69,90.787,61.04,19.108,"E",45,"Class2","I",43.438
71,0.553,59.002,43,22.831,NA,31.093,"Z",51,"Class2","I",68.824
12,88.32,75.277,66,24.915,11.784,30.171,"X",52,"Class3","R",17.388
71,0.793,53.1,62,89.34,62.199,18.53,"N",44,"Class2","A",31.494
29,51.146,71.629,74,16.198,55.625,70.984,"C",52,"Class1","D",44.284
67,0.829,91.541,69,77.329,62.25,-10.858,"E",58,"Class2","A",14.024
30,69.441,67.232,43,23.806,51.037,86.147,"C",74,"Class1","F",45.324
12,79.715,75.732,34,71.039,19.131,26.015,"V",69,"Class3","U",15.562
45,10.913,70.373,10,23.976,48.835,71.143,"K",82,"Class1","U",64.387
34,19.133,69.395,54,24.778,56.401,82.295,"C",59,"Class1","D",51.719
70,0.663,53.511,40,44.524,63.103,34.684,"D",60,"Class2","S",59.667
66,57.454,49.849,6,19.832,21.087,71.066,"T",36,"Class4","V",83.758
38,30.286,72.788,19,16.735,54.912,61.952,"V",73,"Class1","A",61.167
69,0.601,61.282,76,76.432,64.421,46.574,"N",52,"Class2","L",51.743
34,18.86,70.731,50,20.235,49.339,90.075,"K",63,"Class1","R",71.653
46,46.164,68.008,19,20.457,51.141,75.008,"K",76,"Class1","F",40.474
79,71.657,75.896,14,27.785,NA,32.466,"T",30,"Class4","G",87.558
63,50.73,72.933,7,27.89,15.69,39.123,"P",46,"Class4","J",84.922
39,41.896,72.416,69,22.869,47.326,82.37,"V",80,"Class1","D",50.064
13,88.534,63.528,40,33.818,13.81,13.352,"P",24,"Class3","Q",8.657
67,0.406,76.164,59,63.542,67.774,22.659,"E",47,"Class2","S",53.231
72,0.771,21.7,40,42.15,65.584,35.842,"Z",60,"Class2","S",12.656
68,0.302,44.287,59,69.727,64.031,40.227,"M",65,"Class2","C",39.014
59,60.597,70.5,37,33.41,23.864,62.301,"U",25,"Class4","V",86.637
66,59.807,63.007,38,16.484,16.768,8.466,"P",40,"Class4","S",85.884
36,16.912,68.994,80,18.501,46.002,80.374,"J",61,"Class1","F",50.989
44,40.691,72.526,11,23.772,54.14,92.623,"K",52,"Class1","A",64.412
48,20.893,71.254,40,21.311,48.745,69.053,"Q",73,"Class1","F",42.163
10,75.431,46.238,44,63.413,9.037,1.722,"V",13,"Class3","C",9.862
10,76.273,70.838,68,60.983,5.869,20.296,"B",56,"Class3","U",8.918
42,47.655,70.919,83,22.878,53.914,73.959,"Q",53,"Class1","U",57.355
15,84.056,61.246,64,73.022,14.383,33.054,"X",28,"Class3","E",15.237
67,57.045,68.701,11,8.496,25.386,75.957,"B",20,"Class4","V",83.809
80,67.525,60.953,19,18.075,NA,26.282,"T",21,"Class4","Q",85.708
35,9.193,68.484,49,21.91,49.978,80.454,"Q",62,"Class1","A",65.951
77,51.143,61.145,39,37.601,19.34,40.436,"U",41,"Class4","Q",85.423
66,73.157,63.38,41,24.598,16.543,32.021,"T",35,"Class4","G",86.541
16,65.071,87.149,69,88.357,11.127,21.57,"S",75,"Class3","C",8.433
39,41.214,70.505,32,18.132,46.329,88.427,"J",72,"Class1","A",66.392
53,74.118,71.719,41,31.47,15.154,74.617,"F",46,"Class4","Q",84.24
44,40.237,71.543,72,19.52,50.627,63.474,"V",70,"Class1","U",50.7
43,20.725,73.883,87,23.536,55.265,78.656,"K",69,"Class1","R",59.661
38,32.142,71.478,25,18.123,53.125,76.529,"Q",63,"Class1","D",42.683
38,14.949,68.535,34,16.664,55.331,71.429,"Q",52,"Class1","F",67.506
34,35.221,72.353,31,22.923,52.887,99.134,"J",75,"Class1","F",52.363
69,0.968,77.08,42,74.225,58.982,14.786,"Z",51,"Class2","I",31.889
5,93.228,59.122,61,59.098,9.973,15.617,"X",16,"Class3","R",16.395
71,0.383,NA,51,83.582,65.086,56.124,"M",55,"Class2","A",55.798
7,85.04,90.164,29,63.26,17.068,37.558,"V",40,"Class3","R",13.882
73,63.03,68.695,56,31.42,13.615,19.514,"P",22,"Class4","Q",86.631
70,0.661,25.965,47,38.266,62.246,25.645,"Z",63,"Class2","I",31.132
81,74.504,77.967,59,17.573,29.163,59.736,"B",44,"Class4","J",85.246
6,78.202,82.805,66,77.412,8.534,11.39,"P",34,"Class3","C",13.224
14,85.108,66.733,20,25.372,16.895,32.786,"B",72,"Class3","C",14.218
79,49.147,53.761,18,15.568,15.672,22.704,"P",48,"Class4","J",87.345
70,0.3,66.96,47,23.554,64.049,27.61,"N",37,"Class2","I",44.72
14,91.33,51.046,66,72.247,14.91,53.047,"B",60,"Class3","U",13.975
68,48.435,77.223,29,28.757,17.67,33.752,"P",40,"Class4","S",84.675
8,71.1,94.12,71,91.668,6.436,5.988,"X",29,"Class3","C",12.004
31,42.977,67.581,18,18.878,50.832,70.134,"K",53,"Class1","R",40.606
13,89.444,38.354,53,80.26,10.39,23.4,"P",39,"Class3","U",13.472
46,59.047,67.32,38,23.866,57.416,86.517,"K",64,"Class1","D",48.003
49,41.664,72.515,32,17.13,55.17,69.891,"C",73,"Class1","D",50.8
67,63.684,NA,44,20.628,19.813,34.978,"B",48,"Class4","S",87.021
67,0.225,72.001,82,48.316,73.861,43.601,"Z",69,"Class2","S",19.016
70,0.618,69.033,78,68.742,65.784,26.148,"D",50,"Class2","S",48.378
36,35.243,67.287,6,17.005,54.137,71.583,"J",80,"Class1","R",45.411
36,8.471,69.993,30,17.55,48.929,83.65,"V",70,"Class1","A",72.457
12,90.896,36.411,62,20.724,12.305,27.108,"B",11,"Class3","E",9.745
56,44.351,51.243,54,15.073,23.435,34.43,"T",42,"Class4","Q",85.22
71,0.443,60.649,67,11.89,61.519,31.55,"N",48,"Class2","S",14.675
68,48.055,69.965,14,18.935,20.702,51.784,"B",22,"Class4","Q",85.018
13,92.597,50.154,61,82.348,13.391,39.574,"P",48,"Class3","E",17.019
29,33.719,72.292,35,24.619,50.351,86.986,"C",58,"Class1","D",59.899
73,80.534,NA,39,29.386,18.028,61.062,"T",37,"Class4","G",86.389
67,0.305,81.295,62,45.425,61.658,17.604,"Z",39,"Class2","C",11.264
18,94.358,58.912,43,80.281,15.512,30.327,"V",28,"Class3","U",10.246
13,96.886,41.047,48,20.637,9.089,28.28,"V",25,"Class3","Q",12.961
68,0.451,63.024,75,67.324,64.062,64.351,"Z",37,"Class2","I",9.032
69,0.249,66.215,81,35.103,67.835,39.079,"Z",44,"Class2","L",21.891
66,1.042,54.868,72,26.375,59.214,26.339,"N",47,"Class2","I",35.488
66,0.809,83.944,43,33.212,70.288,27.236,"Z",62,"Class2","C",48.224
69,56.833,NA,25,30.974,16.302,23.861,"F",46,"Class4","J",84.626
66,0.043,62.801,58,66.539,70.479,28.294,"M",43,"Class2","L",68.864
