"I1","I2","Output34","I3","I4","I5","I6","I7","I8","I9","I10","I11"
28.916,32.81,"Class3",36,98.843,75,"K","I",37.274,27,32.909,83.793
28.485,29.724,"Class3",31,83.112,87,"Y","E",18.786,24,28.331,100.075
27.557,29.282,"Class3",34,42.411,88,"K","L",54.631,22,32.175,97.226
25.94,65.372,"Class1",57,67.448,74,"V","R",37.536,29,32.344,54.645
77.524,69.901,"Class2",68,24.101,38,"I","A",81.376,61,12.322,24.878
70.62,35.583,"Class2",48,25.793,42,"E","G",69.026,74,7.461,41.524
30.246,54.565,"Class2",48,24.901,43,"E","C",69.33,65,9.708,42.296
28.04,35.684,"Class3",31,67.258,82,"Y","T",10.883,29,33.62,95.487
36.645,10.03,"Class2",72,25.37,42,"Z","L",22.89,57,9.752,77.624
52.637,41.429,"Class2",61,25.714,38,"E","L",72.283,69,7.541,35.417
28.2,34.744,"Class3",26,69.72,72,"N","L",11.268,28,31.273,86.134
27.848,32.104,"Class3",38,64.842,75,"X","L",45.039,24,32.368,87.175
31.584,75.151,"Class1",66,68.067,85,"V","E",38.678,55,37.931,52.063
28.868,34.212,"Class3",29,88.286,86,"T","G",69.282,29,27.946,86.446
57.5,54.78,"Class2",73,25.273,43,"E","C",38.303,56,10.342,31.379
71.72,56.214,"Class1",54,68.59,69,"M","Y",33.51,46,44.061,40.734
59.68,65.648,"Class1",67,68.839,74,"V","H",37.971,43,NA,55.689
75.573,69.877,"Class2",68,26.584,43,"D","G",43.105,51,11.137,30.705
38.768,70.206,"Class2",69,26.104,38,"E","A",43.953,70,10.575,7.813
48.575,70.23,"Class1",69,67.682,73,"O","R",36.932,30,34.291,48.554
79.185,60.167,"Class1",62,70.542,80,"M","Y",39.737,57,41.612,44.777
27.172,30.384,"Class3",31,45.005,34,"K","E",76.02,31,31.435,96.196
34.417,71.979,"Class2",47,24.112,39,"I","G",82.476,51,12.387,0.731
61.39,47.89,"Class2",63,25.79,41,"M","L",35.942,67,9.137,38.837
26.022,69.146,"Class1",70,68.63,68,"N","Y",29.183,64,31.813,52.501
38.174,69.416,"Class1",57,70.039,71,"V","R",40.212,52,50.356,45.441
27.691,33.704,"Class3",29,48.356,38,"N","T",42.061,25,31.018,88.896
79.446,71.847,"Class1",71,68.081,84,"O","K",38.856,67,41.171,54.441
41.135,79.444,"Class1",59,70.328,73,"N","K",35.411,64,43.471,48.13
58.645,45.82,"Class1",58,68.648,81,"N","Y",31.727,61,31.243,54.684
56.926,73.013,"Class1",55,68.179,75,"W","R",35.69,51,35.529,57.173
28.272,34.201,"Class3",26,24.712,44,"N","G",22.053,26,33.578,95.79
23.264,78.478,"Class1",66,66.932,68,"V","E",35.568,66,42.216,50.465
54.245,37.398,"Class2",53,24.147,41,"Z","Z",85.879,63,9.103,23.392
36.566,58.108,"Class1",70,67.703,79,NA,"K",29.54,60,43.331,52.381
28.499,34.07,"Class3",36,66.95,9,NA,"L",11.804,24,32.32,93.556
38.604,69.812,"Class1",61,69.607,77,"M","E",39.095,57,35.036,49.736
21.888,74.274,"Class1",67,70.945,70,"W","H",31.099,63,32.815,48.495
45.188,54.029,"Class2",52,25.242,41,"D","C",77.164,84,12.067,66.834
58.348,48.894,"Class1",59,67.722,82,"W","E",38.192,66,46.416,49.209
46.806,46.697,"Class1",52,67.511,70,"O","E",33.443,45,37.484,46.996
28.777,34.745,"Class3",38,46.578,32,"K","G",65.659,23,30.731,92.44
65.798,24.771,"Class2",49,25.457,38,"I","Z",83.608,86,NA,46.772
39.021,52.516,"Class2",79,26.55,43,"I","Z",48.159,59,9.517,45.885
28.474,32.084,"Class3",31,54.66,83,"Y","T",22.637,23,30.804,82.52
27.189,34.447,"Class3",37,31.777,16,"Y","E",3.755,24,34.344,86.684
57.864,67.027,"Class1",57,67.899,78,"O","H",34.066,38,44.119,50.754
28.153,30.614,"Class3",26,104.885,13,"N","I",58.251,26,31.634,95.156
61.925,33.383,"Class2",66,25.385,43,"I","A",46.115,81,NA,34.6
28.878,34.291,"Class3",34,18.911,51,"K","E",41.349,26,28.291,88.258
28.926,33.74,"Class3",32,47.248,11,"Y","T",4.325,24,NA,92.958
39.367,15.671,"Class2",79,24.885,43,"E","A",40.333,86,8.617,51.864
85.454,56.533,"Class1",61,68.519,78,"V","H",31.538,75,36.617,62.408
56.486,33.271,"Class2",67,26.512,43,"M","C",66.802,67,10.193,65.706
77.858,31.526,"Class2",54,26.592,38,NA,"G",62.651,67,10.065,32.148
60.62,46.465,"Class1",61,68.355,74,"N","H",38.456,32,40.94,57.81
79.736,22.184,"Class2",66,24.899,38,"D","Z",36.736,84,9.526,14.007
87.152,75.586,"Class1",68,68.136,85,"N","K",34.734,40,35.633,52.391
38.181,49.347,"Class2",49,24.396,43,"I","G",68.634,61,10.789,3.134
27.177,32.404,"Class3",39,72.671,9,"X","G",3.948,26,32.656,88.544
53.924,50.032,"Class2",54,26.078,41,"Z","C",74.613,75,8.838,38.348
27.315,31.776,"Class3",34,50.66,19,"N","I",21.634,22,36.361,87.931
28.18,35.864,"Class3",27,68.891,42,"T","L",12.185,30,31.348,90.397
66.442,10.306,"Class2",56,26.514,39,"M","C",23.544,72,8.463,36.851
42.807,35.387,"Class2",76,26.858,38,"E","G",81.134,76,11.431,55.794
51.134,49.64,"Class2",55,25.323,40,"D","G",49.498,59,8.734,16.804
54.238,25.499,"Class2",59,24.037,40,"E","Z",23.789,84,8.281,41.994
72.603,39.694,"Class2",56,24.615,38,"D","Z",77.164,76,10.656,39.765
28.856,29.32,"Class3",26,52.772,34,"T","I",11.458,30,31.865,92.268
31.231,81.097,"Class1",59,69.304,76,"N","H",33.89,67,41.966,58.661
28.719,35.457,"Class3",38,81.835,76,"N","L",31.861,26,28.16,89.291
78.518,63.518,"Class1",58,67.2,84,"W","K",29.551,69,46.054,50.012
74.987,79.485,"Class1",60,70.388,74,"M","R",35.474,73,28.353,46.69
52.981,10.486,"Class2",72,27.015,40,"M","L",30.299,53,8.636,40.212
52.838,70.919,"Class1",64,69.694,85,"W","R",38.932,60,37.347,52.285
41.594,74.276,"Class1",58,69.347,68,"V","H",39.525,47,30.36,53.179
73.308,11.885,"Class2",65,24.274,43,"E","Z",76.444,61,7.598,58.408
28.922,33.743,"Class3",41,28.619,14,"X","T",29.06,23,31.527,91.878
87.31,55.614,"Class1",52,70.156,85,"W","E",35.921,78,38.006,64.372
36.068,15.845,"Class2",48,25.448,41,"E","C",84.647,47,10.825,14.187
27.173,30.392,"Class3",31,48.655,34,"K","E",29.863,28,32.957,84.53
55.178,29.566,"Class2",54,25.767,40,"Z","L",54.898,78,8.667,51.847
18.544,68.865,"Class1",68,68.564,79,"N","K",34.607,56,35.397,52.29
59.216,37.269,"Class2",64,27.233,42,"M","G",80.766,83,NA,32.612
79.934,66.595,"Class2",53,25.278,38,"Z","Z",29.113,56,11.821,27.729
28.367,31.122,"Class3",39,33.101,8,"X","E",77.616,24,32.857,99.519
27.424,70.448,"Class1",64,70.157,79,"W","K",40.377,43,31.192,57.28
17.282,71.795,"Class1",54,68.405,82,"N","H",34.408,48,41.33,42.624
27.726,32.172,"Class3",28,96.952,50,"T","E",16.109,23,29.327,97.552
48.483,46.844,"Class1",61,68.514,75,"O","K",37.798,75,39.834,54.142
37.826,41.329,"Class1",62,68.884,79,"V","H",31.899,68,33.404,48.969
59.331,27.238,"Class2",57,26.753,40,"M","C",35.301,58,9.737,-2.848
27.21,34.246,"Class3",35,108.955,10,"Y","G",32.668,33,31.594,92.725
28.653,34.999,"Class3",40,57.629,68,"T","I",41.748,33,30.689,86.009
28.872,35.561,"Class3",32,67.598,88,"T","I",55.386,32,32.332,93.696
36.135,68.626,"Class2",64,26.969,43,"D","A",50.784,80,8.54,17.988
37.946,16.245,"Class2",67,25.767,43,"Z","A",68.73,62,10.199,30.609
27.119,81.792,"Class1",55,69.506,80,"M","Y",31.376,78,44.064,52.581
83.947,60.327,"Class1",68,69.849,74,"M","E",35.553,68,37.044,62.78
71.447,67.76,"Class1",69,68.04,68,"N","R",40.802,31,45.014,53.889
28.261,33.345,"Class3",31,31.357,90,"Y","T",50.755,31,32.015,99.533
27.048,35.905,"Class3",26,99.589,59,"K","E",12.899,28,31.678,93.25
29.448,44.489,"Class1",69,68.68,84,"V","R",40.021,46,39.107,43.071
77.941,16.781,"Class2",71,25.879,40,"D","Z",89.052,48,10.202,1.596
13.978,49.73,"Class1",58,67.89,84,"M","E",33.024,66,41.339,49.209
36.306,56.864,"Class1",68,65.624,69,"N","R",37.564,52,25.484,48.665
27.895,34.548,"Class3",42,31.692,34,"Y","G",16.866,28,29.17,97.979
56.583,53.893,"Class1",56,67.723,74,"W","K",40.698,42,34.163,53.635
27.266,33.567,"Class3",41,60.173,12,"N","E",75.372,30,31.391,85.978
44.703,78.647,"Class1",69,69.011,74,"W","E",36.878,65,34.639,58.935
46.568,61.559,"Class1",64,67.889,78,"O","R",40.564,38,41.342,47.005
53.118,53.074,"Class2",70,25.847,38,"D","G",29.6,50,7.212,53.123
13.636,61.204,"Class1",58,68.488,82,"N","R",36.769,58,32.011,53.57
79.747,45.116,"Class2",74,25.1,39,"Z","A",81.722,68,8.637,53.014
59.249,30.437,"Class2",61,26.74,40,"M","C",25.739,48,7.514,43.551
27.684,29.031,"Class3",42,69.17,69,"X","E",8.463,30,31.466,89.188
80.88,60.954,"Class1",62,68.206,72,"M","Y",37.166,78,43.946,58.917
49.137,38.312,"Class2",54,26.395,43,"Z","C",56.441,87,10.54,16.063
60.284,52.711,"Class2",46,25.53,42,NA,"L",83.694,76,7.897,54.861
35.745,68.631,"Class1",71,69.277,74,"V","H",32.207,45,29.907,66.001
28.249,33.129,"Class3",32,57.324,24,"X","T",7.533,33,33.114,99.992
27.624,33.759,"Class3",40,47.415,13,"Y","L",4.393,28,28.562,96.554
39.715,24.675,"Class2",74,24.142,43,"M","C",69.443,67,9.652,18.038
61.611,41.4,"Class2",53,24.03,39,"I","L",87.909,74,12.264,46.13
86.606,47.94,"Class1",56,66.353,73,"W","H",37.857,76,41.44,56.29
27.014,29.42,"Class3",33,54.423,63,"K","L",23.708,26,30.968,95.747
39.687,60.934,"Class1",67,67.205,76,"W","H",30,73,NA,38.857
33.426,14.313,"Class2",58,26.722,41,"I","G",50.855,63,10.669,48.537
28.83,31.026,"Class3",43,70.07,7,"X","E",71.555,26,30.601,87.999
14.231,63.905,"Class1",64,68.872,70,"O","E",30.208,29,37.58,61.95
86.752,53.497,"Class1",71,69.58,85,"M","H",35.109,52,30.489,46.362
24.181,55.738,"Class1",52,70.069,75,"W","Y",39.8,33,30.854,55.422
70.627,40.159,"Class2",64,24.627,43,"D","G",52.48,57,12.289,43.358
63.81,36.066,"Class2",58,25.767,38,"E","G",31.953,75,7.919,39.107
73.809,79.529,"Class1",55,69.92,69,"N","R",38.371,61,43.161,59.729
68.323,47.715,"Class1",52,67.158,73,"O","R",39.137,45,29.701,46.223
76.785,65.373,"Class2",71,26.043,41,"M","L",88.102,57,7.944,-29.12
89.883,55.88,"Class1",63,69.902,79,"N","K",33.466,67,29.425,57.646
53.343,70.688,"Class2",77,25.524,38,"Z","Z",70.718,68,12.01,51.792
64.688,61.352,"Class1",58,68.794,77,"M","Y",36.554,64,40.435,50.492
28.2,30.94,"Class3",38,80.172,45,"K","T",62.99,24,30.963,94.796
28.846,31.784,"Class3",42,61.17,49,"Y","T",15.103,29,31.826,90.78
53.492,35.151,"Class2",68,25.587,40,"Z","C",65.092,84,10.932,37.057
27.277,32.074,"Class3",26,42.484,20,NA,"T",32.712,29,31.581,92.317
27.599,33.047,"Class3",28,61.655,83,"Y","E",42.176,22,29.291,87.088
54.918,52.475,"Class2",57,24.906,40,"I","C",79.396,83,11.904,31.932
32.358,46.784,"Class1",68,67.867,85,"M","H",39.283,31,30.035,62.972
66.986,39.981,"Class2",48,26.847,43,"I","Z",25.357,72,9.649,60.221
17.846,43.447,"Class1",54,69.371,84,"V","K",32.334,40,28.728,46.995
28.229,35.056,"Class3",27,69.568,81,"K","I",44.624,32,32.488,88.415
33.412,49.862,"Class1",64,69.873,76,"M","H",33.963,73,38.428,62.483
48.709,57.665,"Class2",59,24.654,38,"D","L",78.233,56,11.051,44.496
28.067,32.434,"Class3",43,30.028,20,"K","L",15.114,32,NA,100.037
28.442,34.587,"Class3",29,33.136,68,"K","E",3.908,26,31.962,87.24
35.78,62.247,"Class1",69,69.322,84,"V","K",39.292,77,53.682,62.333
48.665,75.628,"Class1",58,67.401,73,"O","E",36.341,49,25.714,50.037
48.454,36.2,"Class2",72,25.835,40,"Z","A",58.063,82,9.542,36.256
27.29,35.711,"Class3",32,91.824,7,"Y","I",53.113,33,33.508,95.226
32.301,53.982,"Class2",49,25.128,39,"I","Z",29.06,59,8.584,16.682
57.835,44.426,"Class2",46,25.746,42,"D","L",47.599,74,11.393,32.745
27.483,33.316,"Class3",33,52.883,33,"X","I",50.757,25,29.273,87.297
81.584,64.805,"Class1",55,68.285,71,"V","E",31.926,29,42.192,52.267
57.483,47.126,"Class2",46,26.05,38,"Z","A",47.392,47,9.837,31.107
48.587,28.575,"Class2",63,24.54,41,NA,"G",38.751,48,10.251,41.268
54.644,24.695,"Class2",70,26.773,41,"Z","A",54.006,84,7.948,40.474
28.288,34.076,"Class3",28,55.111,64,"Y","I",79.376,26,31.557,91.681
64.575,50.609,"Class2",71,26.004,41,"D","Z",73.618,81,11.938,7.454
74.476,74.164,"Class1",52,67.032,77,NA,"K",40.947,50,37.091,49.611
28.656,29.972,"Class3",28,31.526,82,"K","I",41.086,22,NA,96.099
66.739,68.236,"Class1",62,68.369,75,"M","H",39.365,36,29.058,52.319
27.807,33.599,"Class3",34,48.739,66,"K","L",32.225,24,28.772,98.035
28.886,35.273,"Class3",32,30.505,84,"N","L",73.955,27,33.422,94.495
75.038,64.177,"Class1",54,69.636,79,"V","R",31.578,63,32.716,54.224
21.114,57.365,"Class1",65,68.095,70,"V","H",35.675,28,28.155,61.394
32.124,42.173,"Class1",61,70.663,80,"O","K",29.59,30,38.219,54.383
28.904,35.658,"Class3",39,44.249,82,"T","G",54.026,31,30.058,88.194
27.877,31.051,"Class3",41,51.785,48,"N","G",31.768,22,28.268,87.122
52.107,74.407,"Class1",62,69.332,83,"N","K",34.81,35,32.526,52.944
28.457,32.677,"Class3",38,76.229,38,"N","L",15.066,26,32.068,84.674
28.597,34.606,"Class3",40,41.701,28,"T","L",31.505,32,28.812,95.867
36.975,42.033,"Class1",66,67.778,84,"V","H",37.134,29,42.384,59.05
20.658,50.815,"Class1",52,66.447,68,"N","Y",31.951,58,47.298,62.784
72.954,41.811,"Class2",61,25.69,39,"Z","L",83.369,87,9.31,46.206
28.144,33.427,"Class3",36,55.209,63,"X","I",45.272,29,28.008,99.011
72.956,55.494,"Class1",53,68.463,71,"W","Y",29.38,47,44.785,60.675
28.757,31.346,"Class3",34,41.07,13,"X","T",10.338,29,33.397,89.712
27.4,33.316,"Class3",28,59.6,50,"K","G",65.756,29,27.931,91.524
22.412,68.99,"Class1",68,70.188,75,"V","E",33.696,47,35.911,54.301
59.449,47.262,"Class2",48,26.798,42,"M","A",39.47,76,8.693,8.779
51.845,44.637,"Class1",68,68.057,84,"O","E",39.453,40,32.956,66.283
74.959,59.476,"Class1",71,68.292,85,"W","K",33.18,68,50.071,44.574
28.564,33.912,"Class3",39,58.9,46,"X","I",47.165,30,27.732,104.843
28.566,35.013,"Class3",42,78.496,29,"X","I",78.689,33,32.815,89.67
35.912,72.432,"Class2",60,25.679,41,"M","G",49.092,79,7.698,69.709
52.316,73.89,"Class1",52,68.051,82,"V","R",31.203,27,35.112,53.645
27.276,31.854,"Class3",32,36.398,10,"X","T",19.48,30,30.382,91.323
28.341,30.199,"Class3",27,51.387,57,"X","L",34.15,24,31.541,92.767
55.905,69.22,"Class2",51,25.644,38,"I","C",42.66,50,8.71,52.194
28.395,32.926,"Class3",36,82.137,22,"K","G",71.734,23,33.691,91.899
55.989,78.961,"Class1",70,69.02,72,"V","E",33.08,29,36.234,45.098
27.906,30.415,"Class3",34,80.551,43,"Y","I",68.722,31,32.52,92.033
30.504,14.771,"Class2",62,25.373,41,"D","L",34.187,84,10.448,-11.041
78.321,37.101,"Class2",76,25.467,38,"D","G",59.193,69,NA,20.04
28.637,29.024,"Class3",28,55.689,49,NA,"E",73.464,30,33.092,100.473
79.624,18.06,"Class2",78,25.078,39,"D","A",61.214,50,9.165,12.535
61.806,57.726,"Class2",53,23.987,41,"D","G",45.332,83,8.342,37.47
31.497,48.519,"Class2",57,26.63,43,"E","C",86.143,83,10.219,23.096
