"V1","V2","V3","V4","V5","V6","V7","V8","V9","Output21","V10","V11"
1.07,16,"A",24.262,32.356,42.898,45,32.257,"L","Class1",25,22.401
6.478,17,"J",37.512,47.076,51.605,38,26.791,"X","Class1",65,32.808
2.232,19,"A",64.502,30.278,29.194,46,22.588,"L","Class1",21,43.248
3.782,15,"O",36.348,58.13,40.207,10,40.981,"M","Class1",NA,35.43
71.849,22,"D",43.303,48.577,81.324,3,85.859,"B","Class2",82,91.205
7.954,16,"D",76.44,44.635,30.445,8,25.703,"X","Class1",68,35.915
2.079,16,"A",21.061,34.273,47.703,61,27.615,"F","Class1",67,28.195
4.501,18,"A",77.918,57.772,51.475,28,29.283,"L","Class1",25,31.48
3.774,17,"J",78.641,61.312,31.331,37,25.972,"F","Class1",46,32.672
2.873,19,"J",13.284,65.04,35.206,56,25.309,"F","Class1",51,31.369
73.38,17,"H",43.459,48.547,64.011,6,86.337,"G","Class2",55,90.748
1.027,15,"D",37.908,45.237,45.002,54,39.071,"K","Class1",48,35.147
75.442,36,"D",45.869,30.877,34.799,10,84.902,"G","Class2",68,90.361
4.982,19,"A",45.738,59.544,48.858,9,40.699,"F","Class1",62,32.428
4.845,15,NA,12.69,44.647,45.115,58,39.132,"X","Class1",52,32.577
6.851,15,"D",89.618,34.704,31.671,38,22.533,"F","Class1",40,37.276
3.356,15,"Q",41.337,64.147,30.293,35,31.274,"K","Class1",38,30.742
74.851,41,"H",41.521,58.985,57.054,10,86.263,"B","Class2",81,91.133
5.259,17,"J",76.77,32.795,50.895,40,32.069,"K","Class1",NA,34.607
76.245,21,"X",42.493,11.787,20.278,3,84.179,"M","Class2",84,91.023
5.821,17,"A",65.594,55.064,32.469,34,39.21,"X","Class1",53,45.456
2.983,17,"O",26.308,70.036,56.695,7,41.604,"M","Class1",34,30.165
76.251,22,"D",43.171,15.69,70.965,12,85.827,"B","Class2",58,92.085
67.429,32,"D",44.31,21.805,15.673,11,85.043,"G","Class2",82,91.076
2.394,16,"O",7.898,34.202,28.832,54,40.519,"K","Class1",71,20.346
72.059,23,"X",40.312,21.119,73.119,8,86.779,"G","Class2",62,91.244
6.211,16,"D",36.232,45.647,31.798,23,31.868,"F","Class1",55,35.649
84.134,18,"X",43.565,33.256,17.864,7,84.562,"M","Class2",53,93.597
5.713,16,"O",86.112,33.489,43.315,47,29.147,"M","Class1",63,29.28
79.126,26,"H",42.901,30.603,42.554,9,85.835,"G","Class2",63,91.703
65.76,28,"X",42.634,47.701,34.169,3,84.785,"M","Class2",66,90.28
2.144,18,"Q",66.908,65.243,43.381,57,24.798,"M","Class1",71,31.875
7.02,19,"D",23.28,71.479,38.576,70,23.934,"F","Class1",83,31.083
77.773,39,"X",41.328,33.772,47.607,8,84.579,"I","Class2",57,92.107
2.641,16,"J",56.919,44.042,56.113,17,30.476,"X","Class1",47,39.516
6.85,17,"O",47.296,70.689,44.536,18,24.169,"K","Class1",74,28.158
75.736,19,"F",44.207,32.302,37.25,9,84.537,"M","Class2",51,90.415
80.1,32,"F",43.374,59.64,54.888,11,84.737,"G","Class2",69,90.624
6.423,18,"O",53.46,34.834,34.824,51,23.766,"K","Class1",81,33.297
6.569,15,"O",47.885,54.184,53.544,71,24.394,"F","Class1",71,34.649
74.061,41,"D",42.5,57.41,63.378,8,84.626,"G","Class2",58,91.983
5.475,19,"A",54.863,29.864,33.802,63,40.479,"F","Class1",75,26.367
73.133,22,"X",42.733,39.751,69.931,7,86.934,"G","Class2",56,91.99
3.48,15,"D",33.906,58.909,54.682,51,24.289,"F","Class1",62,38.383
2.454,15,"D",54.507,47.152,33.232,29,24.899,"M","Class1",46,27.933
79.568,40,NA,40.188,16.019,27.449,6,85.657,"I","Class2",92,90.655
76.545,23,"H",41.452,50.516,77.505,11,85.1,"I","Class2",80,90.52
75.661,30,NA,44.526,13.435,48.559,11,84.832,"M","Class2",88,92.671
74.598,18,"J",41.019,38.345,16.949,10,85.009,"M","Class2",53,90.357
71.655,28,NA,41.671,31.858,16.387,7,85.085,"M","Class2",60,90.915
76.36,29,"H",43.08,44.576,24.231,6,86.374,"I","Class2",90,91.006
5.376,17,NA,77.971,46.156,56.589,68,33.215,"K","Class1",54,34.16
71.629,32,"X",42.483,12.421,69.501,5,86.908,"I","Class2",56,92.74
77.476,18,NA,41.904,26.141,21.207,6,84.356,"B","Class2",65,91.121
80.539,34,"H",42.917,16.297,71.409,8,85.109,"G","Class2",70,90.772
4.591,16,"A",31.986,50.717,47.385,50,37.34,"X","Class1",32,34.63
1.236,15,"D",69.142,49.996,35.897,73,30.314,"K","Class1",24,30.41
74.465,34,"D",43.333,47.223,45.584,8,86.818,"R","Class2",85,90.516
71.872,25,"X",42.764,30.705,77.967,9,86.832,"I","Class2",68,91.462
66.945,38,"F",43.793,40.357,35.801,8,84.54,"I","Class2",57,91.678
72.244,35,"D",42.702,50.988,25.585,4,84.915,"M","Class2",77,91.736
68.565,19,"J",44.458,34.652,79.222,8,84.584,"I","Class2",58,92.8
75.26,22,"F",44.906,46.342,21.313,11,85.926,"I","Class2",60,91.567
4.693,16,"O",47.752,58.297,41.685,27,35.016,"X","Class1",29,40.478
70.475,34,"X",43.564,21.268,32.518,5,85.923,"G","Class2",NA,90.719
74.258,28,"F",42.485,29.422,67.927,6,85.558,"B","Class2",67,90.326
71.944,30,"J",42.843,41.171,30.146,12,85.204,"I","Class2",79,92.247
2.969,19,"A",75.239,48.437,44.952,15,40.871,"M","Class1",33,31.66
80.367,29,"H",43.128,10.599,83.969,5,86.718,"B","Class2",88,90.501
83.253,17,"F",43.27,9.547,17.492,6,84.707,"G","Class2",68,92.256
76.515,19,"H",42.888,11.559,46.431,7,85.128,"R","Class2",59,94.029
77.43,17,"X",43.399,51.169,74.076,10,85.222,"I","Class2",82,90.873
72.205,21,"J",42.647,57.856,69.167,11,85.34,"G","Class2",62,90.515
6.554,17,"O",50.898,71.907,39.41,57,40.54,"K","Class1",NA,30.967
6.845,16,"D",54.761,71.399,46.016,70,23.68,"F","Class1",46,25.731
1.843,17,"D",67.877,37.736,45.414,27,34.288,"L","Class1",NA,32.424
74.221,19,"X",42.557,52.838,20.501,4,85.266,"B","Class2",54,91.395
76.312,27,"H",42.59,12.313,82.573,9,85.05,"G","Class2",82,93.288
2.524,15,"Q",33.403,33.462,34.46,64,30.199,"L","Class1",76,39.594
1.727,16,"O",35.391,34.239,28.825,67,29.897,"F","Class1",26,30.395
83.434,36,"X",41.857,42.238,63.49,4,84.862,"R","Class2",76,92.73
82.783,34,"D",42.428,19.448,64.727,12,84.912,"R","Class2",66,91.274
6.573,16,"J",46.421,41.905,56.015,67,29.835,"K","Class1",20,39.185
74.183,39,"J",43.572,42.266,32.928,11,85.436,"I","Class2",69,92.695
5.01,16,"D",49.981,32.767,50.851,40,23.983,"X","Class1",68,40.065
4.695,18,"O",53.721,46.442,30.705,59,34.142,"X","Class1",39,28.827
2.492,15,"A",25.456,47.893,31.664,13,25.582,"X","Class1",78,38.951
3.144,19,"Q",61.681,42.37,39.686,19,37.544,"L","Class1",45,35.487
69.564,23,"F",42.63,37.606,34.905,8,84.901,"G","Class2",89,90.475
3.243,18,"Q",47.759,39.684,44.862,32,32.192,"M","Class1",50,27.743
3.09,15,"O",77.027,45.914,50.824,25,38.612,"F","Class1",33,40.747
76.176,31,"J",41.681,58.303,69.584,9,86.381,"I","Class2",85,91.449
4.477,19,"D",46.957,33.713,29.474,14,25.669,"K","Class1",34,48.131
69.32,29,"X",42.591,41.454,49.536,5,86.1,"I","Class2",74,93.035
79.707,23,"X",43.511,44.846,48.018,8,85.966,"B","Class2",NA,88.63
6.212,16,"J",49.878,45.961,45.388,69,38.248,"X","Class1",59,35.906
69.152,22,"J",42.254,39.588,59.758,12,85.357,"M","Class2",88,92.448
2.511,18,"J",34.792,38.222,53.103,20,23.221,"M","Class1",27,34.936
72.242,32,"X",41.557,52.67,32.632,5,84.316,"I","Class2",70,90.351
3.368,19,"D",43.483,62.097,37.167,10,41.507,"M","Class1",62,31.376
71.839,24,"H",42.392,9.886,47.084,8,84.357,"B","Class2",86,92.943
75.508,19,"F",44.409,24.968,22.456,7,84.023,"M","Class2",55,90.112
3.584,17,"J",87.948,68.906,32.703,73,21.029,"F","Class1",39,28.029
8.61,18,"D",83.073,42.93,36.692,54,25.057,"M","Class1",83,33.928
78.28,24,"F",42.825,20.763,58.855,10,85.235,"I","Class2",57,91.536
70.07,19,"X",43.018,28.98,66.296,10,84.642,"R","Class2",71,93.26
3.811,18,"Q",44.604,38.308,55.829,64,31.994,"M","Class1",77,34.172
3.187,17,"J",36.317,58.177,45.902,25,39.2,"K","Class1",NA,31.476
79.544,32,NA,45.239,19.263,70.295,11,86.12,"R","Class2",83,89.531
83.785,17,"J",43.245,48.516,41.397,3,84.99,"B","Class2",88,91.336
78.33,18,"F",41.001,40.222,49.031,11,85.425,"I","Class2",76,90.533
74.133,41,"F",44.116,12.651,69.585,11,85.477,"R","Class2",78,92.38
77.704,17,"X",40.414,47.733,31.476,3,84.723,"I","Class2",83,90.782
82.149,33,"D",43.656,16.76,37.362,9,86.681,"B","Class2",76,91.668
5.838,19,"J",28.508,59.223,33.012,18,33.186,"X","Class1",56,31.78
5.748,18,"O",42.422,55.657,50.12,20,25.787,"K","Class1",63,30.482
5.887,19,"D",68.158,71.788,38.352,39,40.141,"F","Class1",79,37.212
4.085,18,"O",31.892,59.254,29.482,62,36.502,"K","Class1",45,40.894
5.519,15,"A",26.403,63.562,45.638,36,29.92,"M","Class1",23,28.303
76.371,17,"J",42.015,16.244,81.126,6,84.988,"I","Class2",69,91.665
6.823,19,"O",37.806,64.584,56.406,43,30.296,"L","Class1",48,27.546
5.314,17,"D",35.845,67.065,39.806,53,22.607,"M","Class1",19,24.005
72.463,22,"D",43.125,56.297,60.677,10,84.484,"M","Class2",81,91.79
72.785,37,NA,42.989,11.586,48.363,8,85.483,"G","Class2",55,92.054
70.098,40,NA,41.984,30.781,70.536,3,86.59,"G","Class2",61,93.508
77.605,37,"X",41.957,15.895,58.642,4,84.178,"B","Class2",58,92.43
3.276,15,"O",11.74,64.74,50.381,20,23.195,"F","Class1",56,32.629
4.701,16,"Q",46.69,57.63,49.954,12,21.711,"L","Class1",73,33.208
79.285,23,NA,43.025,52.078,12.51,11,86.825,"M","Class2",66,92.683
74.806,17,"H",43.03,28.739,47.479,7,84.37,"M","Class2",60,89.776
73.601,35,"H",41.425,38.563,40.534,5,85.558,"I","Class2",67,91.973
5.076,15,"D",60.384,70.935,28.599,43,22.743,"F","Class1",40,27.961
2.481,18,"A",18.127,66.443,46.427,37,24.74,"K","Class1",71,24.405
6.331,18,"D",77.73,63.794,55.619,25,21.044,"L","Class1",25,34.795
2.176,19,"Q",40.539,65.773,50.242,46,40.558,"M","Class1",84,24.208
6.398,15,"Q",63.513,52.661,43.495,26,34.396,"K","Class1",32,37.636
4.475,17,"D",65.307,48.771,30.968,24,37.312,"K","Class1",19,26.876
5.487,17,"J",-0.35,54.537,55.165,72,39.458,"F","Class1",40,36.689
71.526,31,"F",42.188,50.509,65.195,11,85.716,"M","Class2",75,91.539
4.579,17,"O",73.616,36.755,55.823,27,27.967,"K","Class1",30,31.709
6.134,15,"D",30.218,58.258,54.11,69,28.285,"L","Class1",21,40.393
5.852,19,"O",12.517,68.185,52.082,48,32.505,"M","Class1",64,28.336
3.446,19,"Q",54.153,53.496,35.395,38,32.313,"K","Class1",28,18.558
2.07,18,"A",6.654,63.2,47.848,41,40.917,"K","Class1",54,31.584
78.087,31,"D",44.638,40.033,69.243,5,86.381,"M","Class2",59,91.479
6.685,17,"O",47.685,30.392,40.661,40,23.533,"F","Class1",40,38.951
77.225,25,"D",42.952,43.212,79.438,10,84.342,"M","Class2",60,90.676
7.22,18,"J",33.319,37.135,52.943,72,23.077,"F","Class1",78,32.931
78.611,26,"X",48.012,27.275,46.691,7,84.577,"I","Class2",57,90.57
70.052,20,"J",42.56,35.67,30.616,6,84.454,"I","Class2",52,91.889
3.124,19,"Q",49.099,34.061,50.258,17,31.208,"X","Class1",49,38.343
6.59,17,"A",41.981,48.588,44.147,43,37.12,"M","Class1",61,29.394
66.081,27,"D",43.665,43.675,35.384,7,85.95,"I","Class2",50,90.519
6.5,19,"Q",53.136,67.108,31.394,52,40.024,"X","Class1",82,39.41
4.494,17,"J",39.097,29.406,46.626,55,38.08,"L","Class1",67,34.075
76.533,29,NA,44.825,36.802,54.333,11,84.607,"R","Class2",91,92.746
5.468,17,"J",61.197,36.446,42.938,51,25.461,"X","Class1",55,42.066
3.855,16,"A",76.541,37.393,37.253,32,38.261,"L","Class1",69,34.656
6.623,17,"D",18.131,60.291,34.442,72,27.389,"L","Class1",40,31.987
2.307,18,"A",49.408,40.31,37.888,50,29.58,"L","Class1",66,24.174
71.666,25,"J",42.428,51.088,13.316,6,84.616,"M","Class2",57,91.091
75.768,18,"J",43.491,24.314,18.62,6,85.849,"G","Class2",66,92.582
6.204,18,"D",15.709,70.252,28.893,52,35.59,"F","Class1",26,31.827
69.201,28,"X",43.686,59.69,35.396,12,84.601,"M","Class2",54,92
4.193,15,"J",11.464,52.06,50.008,70,32.607,"K","Class1",61,30.045
71.996,26,"J",43.696,20.908,31.543,10,86.483,"B","Class2",71,94.14
5.509,19,"A",24.55,35.189,34.215,61,27.267,"F","Class1",87,33.587
70.053,29,"D",41.427,56.661,60.344,7,84.512,"I","Class2",69,91.171
2.639,15,"D",68.201,67.74,53.316,14,37.042,"M","Class1",51,28.067
4.865,18,"O",28.486,38.595,36.871,22,38.931,"L","Class1",45,37.221
78.202,21,"F",44.232,47.555,36.652,12,84.656,"M","Class2",55,92.777
4.391,18,"Q",57.967,40.414,46.214,36,40.015,"L","Class1",72,28.635
66.646,18,"F",40.557,25.665,50.413,10,85.082,"G","Class2",88,90.598
79.35,31,"F",42.974,9.727,26.145,8,86.185,"I","Class2",57,92.14
62.787,27,"H",44.05,11.015,84.419,11,84.124,"G","Class2",69,90.675
80.754,22,"D",43.194,32.923,51.426,11,84.973,"M","Class2",73,91.932
77.688,38,"J",44.949,8.663,64.644,8,85.419,"G","Class2",91,92.225
76.599,24,"X",43.541,11.541,52.959,10,85.895,"G","Class2",64,90.21
80.845,24,"F",43.108,22.662,35.932,12,86.467,"B","Class2",74,93.645
3.885,15,"Q",23.727,66.187,36.133,72,39.255,"K","Class1",83,29.082
75.633,19,"F",41.211,24.023,19.732,11,86.901,"I","Class2",62,92.13
6.219,18,"O",46.914,66.599,43.965,13,24.223,"M","Class1",61,34.862
2.006,17,"D",52.982,61.707,30.51,58,39.55,"X","Class1",75,32.484
3.186,17,"A",12.055,39.083,53.007,36,28.46,"X","Class1",56,32.865
78.837,27,"D",46.893,58.992,68.107,10,86.369,"M","Class2",80,92.071
69.358,31,"X",39.981,46.886,55.87,8,85.243,"I","Class2",73,91.432
76.262,17,"X",40.702,17.911,43.597,3,86.028,"M","Class2",75,90.311
76.781,37,"H",46.429,20.719,37.929,6,85.937,"R","Class2",62,91.374
83.651,35,"F",43.345,55.599,74.834,8,84.887,"G","Class2",83,93.356
70.462,33,"X",44.871,39.952,52.925,10,86.351,"M","Class2",51,90.318
71.165,23,"X",43.36,44.577,58.482,11,86.603,"B","Class2",67,91.758
5.211,19,"O",8.302,64.33,52.616,49,40.396,"M","Class1",40,28.164
82.039,31,"X",45.458,13.505,84.966,5,86.419,"M","Class2",57,91.655
68.312,37,"X",41.793,40.286,65.733,9,86.065,"B","Class2",71,91.364
73.025,38,"X",41.4,47.547,56.066,7,85.763,"I","Class2",84,92.158
6.415,18,"D",40.345,49.598,36.745,14,39.971,"K","Class1",78,28.515
7.296,16,"D",47.364,61.872,51.366,38,24.207,"M","Class1",54,33.906
86.163,33,"X",42.558,44.595,58.312,8,85.547,"R","Class2",69,91.712
5.874,19,"Q",47.742,70.113,56.07,24,37.443,"K","Class1",20,25.021
4.347,17,"J",49.172,47.195,40.039,52,32.536,"L","Class1",66,28.974
4.079,19,"D",70.224,32.104,34.073,11,32.222,"L","Class1",24,36.003
4.357,16,"O",62.157,60.647,29.833,63,36.194,"K","Class1",NA,34.441
72.439,38,"D",40.932,53.344,37.354,8,85.602,"I","Class2",51,90.624
2.815,15,"J",77.023,62.687,31.97,31,26.858,"F","Class1",22,38.126
1.934,16,"D",67.923,67.614,51.932,28,39.243,"L","Class1",50,20.227
5.094,16,"Q",38.435,39.158,30.696,46,38.15,"X","Class1",45,34.186
79.85,21,"X",42.63,35.553,61.25,7,84.492,"I","Class2",85,92.428
69.685,39,"D",44.308,32.729,47.081,5,86.614,"B","Class2",53,91.612
3.668,18,"A",36.042,63.683,41.138,23,25.892,"L","Class1",69,30.295
72.642,20,NA,42.127,53.197,30.471,12,86.37,"R","Class2",79,90.008
3.83,17,"Q",41.287,64.835,46.723,43,23.041,"K","Class1",63,36.259
80.882,20,"H",42.168,47.61,63.174,8,85.496,"G","Class2",74,90.842
73.511,36,"D",40.789,49.09,78.243,4,85.381,"M","Class2",86,90.849
7.369,19,"A",4.91,46.772,43.793,36,33.26,"M","Class1",44,22.964
5.811,16,"Q",31.682,55.426,55.689,12,26.185,"L","Class1",83,30.554
0.896,16,"O",66.906,29.069,47.403,49,21.277,"X","Class1",87,23.581
6.122,15,"Q",54.589,29.86,50.205,43,23.559,"M","Class1",81,32.736
78.467,42,"F",42.966,8.914,59.212,5,86.77,"I","Class2",77,92.086
3.426,15,"O",69.853,51.639,44.456,56,39.101,"M","Class1",55,33.073
77.917,33,"F",44.499,53.24,81.327,9,84.81,"B","Class2",64,91.195
75.048,33,"H",40.863,26.167,77.588,5,85.094,"M","Class2",72,92.169
81.492,41,"H",41.915,21.495,18.991,8,84.282,"M","Class2",55,92.063
2.854,16,"A",50.088,32.234,50.482,22,23.668,"L","Class1",26,33.544
7.966,19,"A",42.552,33.326,33.326,64,34.221,"M","Class1",28,21.678
71.991,23,"D",40.246,33.313,45.467,11,86.606,"B","Class2",67,90.492
8.468,15,"O",49.881,34.005,41.621,65,21.102,"K","Class1",47,36.927
70.409,29,"H",43.123,47.959,41.796,6,84.981,"R","Class2",74,92.271
3.397,18,"O",54.438,56.487,38.657,68,29.334,"F","Class1",68,38.028
78.642,24,"J",42.939,40.073,84.763,8,84.772,"I","Class2",91,91.702
79.435,17,"J",41.959,16.686,68.403,3,85.777,"I","Class2",85,91.581
71.768,22,"D",40.949,26.589,65.607,9,85.503,"B","Class2",91,91.251
2.7,16,"J",0.333,59.628,35.873,29,26.578,"F","Class1",83,34.503
74.157,26,"X",43.911,30.699,43.257,9,85.698,"R","Class2",60,90.764
68.785,24,"H",44.026,31.302,55.334,11,84.326,"B","Class2",91,91.952
79.408,17,"J",42.164,58.399,38.044,7,85.56,"I","Class2",90,91.201
81.768,34,"H",45.608,47.797,52.855,5,85.057,"G","Class2",69,91.401
85.935,21,"X",41.075,45.674,30.441,11,85.181,"G","Class2",67,93.736
4.544,18,"A",52.046,47.572,48.791,48,28.936,"F","Class1",30,26.238
71.217,36,"X",41.778,44.151,19.321,3,85.077,"G","Class2",88,91.754
3.391,19,"J",47.473,63.643,38.204,42,23.289,"X","Class1",77,26.18
3.449,15,"D",48.992,62.281,33.176,24,23.611,"X","Class1",30,33.147
6.488,16,"D",43.464,41.743,30.205,49,28.735,"M","Class1",NA,37.728
3.173,18,"Q",25.709,38.839,45.18,29,28.727,"F","Class1",34,35.41
5.984,15,"Q",25.156,64.32,33.285,49,22.462,"M","Class1",33,22.108
2.147,19,"J",52.338,44.734,35.339,41,37.694,"F","Class1",32,34.838
77.741,37,"H",41.911,10.287,71.003,5,86.455,"B","Class2",62,92.079
77.649,18,"D",41.606,11.14,49.702,10,85.787,"B","Class2",63,89.073
74.455,26,"D",43.88,17.992,12.887,11,84.199,"M","Class2",66,91.56
68.084,36,"F",44.509,48.932,18.618,9,86.714,"M","Class2",87,91.844
75.162,17,"H",42.96,56.405,61.477,9,86.457,"R","Class2",55,91.051
73.881,35,"J",44.514,58.262,58.011,4,84.063,"R","Class2",79,91.999
73.318,21,"D",42.928,34.607,32.537,7,85.521,"G","Class2",59,90.901
78.862,35,"D",41.687,14.384,42.136,11,85.331,"G","Class2",76,92.737
78.089,40,"J",42.227,46.186,14.583,7,84.544,"G","Class2",72,91.907
5.033,17,"Q",10.463,30.845,40.499,22,38.989,"K","Class1",74,31.83
3.393,19,"A",16.737,49.107,45.126,71,40.489,"M","Class1",36,23.271
72.467,34,"J",42.777,43.151,44.035,5,85.99,"R","Class2",86,91.317
5.681,17,"D",35.842,48.832,35.333,52,38.052,"K","Class1",37,37.166
7.314,15,"A",28.506,66.357,33.827,37,30.886,"X","Class1",47,35.213
6.563,19,"D",60.093,43.431,53.757,19,35.113,"M","Class1",32,34.929
4.855,16,"J",57.257,31.252,42.693,7,31.894,"K","Class1",80,36.768
66.403,40,"F",43.292,48.998,12.18,8,84.698,"G","Class2",57,91.664
76.712,27,"F",44.263,12.782,16.677,3,86.58,"M","Class2",88,92.868
3.383,15,"A",31.528,37.821,30.893,59,40.376,"M","Class1",77,32.142
4.51,16,"J",29.674,59.553,49.105,47,27.847,"K","Class1",84,19.522
69.992,33,"F",43.048,25.706,58.856,5,86.248,"R","Class2",67,90.928
3.648,16,"A",36.762,70.1,46.221,31,31.181,"X","Class1",49,27.505
76.109,30,"X",43.51,49.754,71.729,3,86.243,"M","Class2",72,93.111
6.69,16,"Q",34.742,66.366,29.269,43,41.85,"L","Class1",84,39.267
79.22,19,"D",42.491,19.172,38.532,6,84.212,"B","Class2",62,90.036
3.341,15,"O",10.724,32.411,29.726,34,33.106,"F","Class1",64,34.912
4.394,19,"D",39.509,33.223,28.488,51,22.549,"F","Class1",58,32.162
81.996,20,"J",41.126,35.835,76.131,8,84.008,"M","Class2",82,90.525
6.02,15,"D",17.088,32.453,56.858,8,32.404,"X","Class1",71,31.307
69.19,27,NA,43.986,28.922,62.041,12,86.8,"I","Class2",83,92.097
76.989,22,"F",42.661,58.213,31.546,8,84.504,"R","Class2",83,92.387
3.481,15,"O",61.379,55.387,54.092,66,22.265,"L","Class1",80,39.332
5.763,19,"O",-4.702,64.568,35.389,32,36.437,"X","Class1",78,34.016
5.629,17,"A",44.87,44.872,40.239,24,29.984,"X","Class1",39,32.18
4.172,16,"D",90.659,71.114,39.208,73,30.386,"M","Class1",28,32.916
3.325,19,NA,33.824,53.066,45.831,62,37.602,"F","Class1",24,38.654
7.13,16,"J",22.921,37.047,35.06,68,27.411,"F","Class1",43,28.285
73.824,23,"H",43.587,55.721,56.544,7,86.665,"I","Class2",89,91.748
3.305,16,"J",-7.244,69.982,37.469,33,22.207,"X","Class1",37,26.381
6.684,17,"A",40.339,65.926,35.173,53,27.257,"K","Class1",28,27.224
4.421,16,"J",48.026,34.515,53.638,29,30.183,"K","Class1",48,32.31
4.963,19,"O",14.084,38.104,50.982,30,28.876,"L","Class1",60,36.819
7.35,15,"D",50.003,34.187,42.643,25,29.755,"K","Class1",66,24.566
3.266,16,"A",10.599,52.014,35.074,60,25.242,"L","Class1",54,33.981
64.382,18,"H",43.063,40.088,30.716,4,84.803,"G","Class2",63,90.092
80.634,24,"X",42.739,39.659,80.212,9,84.31,"I","Class2",57,92.339
68.778,19,"D",41.918,12.028,51.878,7,84.057,"B","Class2",85,92.809
5.066,16,"J",57.833,49.16,38.021,68,35.152,"L","Class1",51,24.93
73.824,33,"D",45.72,33.741,43.346,11,84.413,"I","Class2",67,91.734
75.542,26,"F",42.33,14.336,48.085,6,86.302,"G","Class2",59,90.681
3.394,16,"O",59.9,32.785,48.798,69,28.132,"L","Class1",45,27.978
77.28,38,"J",42.602,21.857,54.46,11,85.952,"G","Class2",51,91.105
77.367,25,"D",44.878,36.369,39.408,10,86.453,"R","Class2",83,91.77
77.517,40,"H",39.361,19.998,40.734,12,84.18,"I","Class2",53,91.351
2.727,17,NA,50.469,42.216,32.16,15,39.84,"K","Class1",78,36.01
74.009,22,"J",39.853,17.571,55.709,11,85.784,"B","Class2",84,90.075
3.964,17,"A",30.876,69.739,34.132,66,39.506,"M","Class1",43,31.442
6.226,19,"O",64.53,45.375,51.909,45,27.846,"L","Class1",87,35.288
6.007,16,NA,0.769,34.345,51.898,73,21.67,"M","Class1",86,33.594
65.526,22,"X",43.273,52.672,51.728,8,84.864,"R","Class2",76,90.429
75.381,38,"D",42.091,28.48,21.274,11,86.663,"I","Class2",61,91.16
73.782,39,"J",43.504,24.71,61.96,8,84.886,"I","Class2",82,92.86
79.365,35,NA,45.823,19.43,27.542,11,84.362,"I","Class2",51,92.54
80.456,41,"F",41.709,34.081,65.803,8,84.25,"M","Class2",50,92.318
76.485,41,"F",46.494,13.141,48.168,11,85.335,"R","Class2",90,90.2
74.795,27,"J",44.773,30.734,63.899,7,85.398,"G","Class2",89,92.832
73.892,29,"X",43.284,46.641,81.848,9,86.091,"I","Class2",72,93.28
69.481,20,"F",43.988,16.655,46.564,12,86.892,"M","Class2",86,91.236
71.91,41,"D",45.161,20.459,15.458,9,84.644,"I","Class2",88,91.794
73.235,17,"H",42.422,22.362,71.958,7,84.337,"R","Class2",75,91.445
75.25,36,"J",41.854,58.596,27.093,3,84.583,"B","Class2",84,90.226
71.544,22,"F",42.128,47.663,39.028,9,85.17,"R","Class2",91,91.652
73.247,34,"H",41.912,54.375,65.148,3,85.91,"G","Class2",57,92.55
75.878,35,"J",42.728,12.658,68.753,4,86.411,"I","Class2",87,91.323
3.439,18,"O",38.649,42.332,45.26,15,28.812,"M","Class1",83,34.026
84.774,21,"J",41.775,50.953,74.308,12,86.218,"R","Class2",56,90.678
76.42,38,"J",44.411,51.28,35.102,3,84.705,"B","Class2",71,90.968
