"H1","H2","H3","H4","H5","Output7","H6","H7","H8","H9","H10","H11"
60.136,78.937,32.234,96.47,20.775,"Class1",56.555,2,"T",73,"R",69
58.629,37.138,82.975,60.966,38.423,"Class4",21.715,21,"W",30,"I",25
39.35,49.553,23.507,21.027,21.372,"Class1",58.34,5,"T",76,"C",9
52.944,40.335,25.14,39.937,15.812,"Class1",63.717,0,"X",56,"P",58
53.964,31.242,78.135,58.259,51.326,"Class4",55.363,18,"V",25,"R",26
16.016,28.258,88.507,42.235,20.95,"Class4",58.015,16,"J",47,"T",22
59.736,24.598,25.972,46.966,48.922,"Class3",87.17,30,"J",53,"Q",70
20.635,35.554,79.289,66.69,19.9,"Class4",33.242,26,"J",59,"S",27
62.275,21.518,75.454,26.238,32.391,"Class3",25.971,22,"J",48,"Q",67
31.314,NA,81.299,58.305,78.807,"Class2",12.89,29,"K",21,"V",19
56.154,49.907,73.542,50.166,65.511,"Class4",22.082,23,"J",44,"S",24
56.48,44.668,75.65,65.526,29.887,"Class4",21.673,16,"V",31,"G",26
80.688,14.495,85.881,55.72,26.64,"Class4",29.439,19,"D",30,"I",24
67.219,21.321,85.614,45.536,41.564,"Class3",27.556,44,"K",48,"O",87
66.549,NA,28.019,61.614,20.284,"Class1",63.352,16,"I",41,"P",46
45.843,22.346,53.584,67.556,38.533,"Class3",32.495,19,"H",40,"U",83
30.634,55.507,83.603,51.851,77.559,"Class2",12.119,25,"U",23,"X",22
56.725,83.367,24.767,31.856,22.723,"Class1",57.355,4,"X",49,"F",90
29.004,84.203,76.027,53.437,79.055,"Class2",12.158,28,"U",18,"K",22
48.704,17.397,79.411,68.197,81.804,"Class4",32.985,27,"V",25,"I",26
31.933,41.725,77.662,56.351,79.165,"Class2",13.566,29,"Z",19,"V",34
31.757,55.728,82.612,57.187,77.271,"Class2",13.763,28,"A",21,"F",22
55.959,49.424,78.32,75.662,56.407,"Class4",56.976,11,"D",33,"R",22
61.69,76.169,31.553,89.524,15.528,"Class1",68.315,15,"S",53,"P",18
48.172,28.574,29.837,57.712,21.528,"Class1",60.793,8,"T",45,"R",76
52.014,23.463,27.208,84.338,43.83,"Class3",19.793,17,"R",44,"O",85
31.792,48.26,81.551,52.989,78.348,"Class2",12.336,31,"A",18,"X",28
70.503,35.279,89.472,70.305,71.046,"Class4",21.331,21,"D",34,"I",26
33.898,NA,83.233,43.598,79.384,"Class2",13.294,23,"U",19,"F",24
43.048,15.46,78.683,39.746,73.347,"Class4",19.293,16,"G",25,NA,24
30.815,51.126,77.578,53.783,79.081,"Class2",13.385,31,"Z",18,"N",29
63.062,22.987,51.957,34.76,46.702,"Class3",22.864,35,"H",49,"O",81
29.962,49.711,78.934,62.503,78.164,"Class2",13.073,30,"U",16,"X",34
30.514,66.445,76.115,47.538,79.44,"Class2",12.295,24,"C",15,"N",30
65.379,21.618,62.299,71.802,22.372,"Class3",36.787,18,"Q",53,"U",83
51.062,82.601,21.569,5.966,12.372,"Class1",62.942,5,"X",56,"O",78
28.616,49.98,83.527,49.201,79.095,"Class2",13.886,19,"U",23,"X",26
30.229,64.398,78.399,44.402,78.452,"Class2",12.546,29,"C",18,"N",31
60.918,21.639,81.242,27.436,36.628,"Class3",75.73,19,"H",41,"H",67
45.456,22.943,33.887,45.928,24.453,"Class3",51.686,45,"J",51,"U",84
28.242,41.954,88.418,58.215,71.655,"Class4",12.657,14,"D",58,"R",25
47.388,33.902,32.731,29.24,19.612,"Class1",61.134,1,"I",55,NA,46
54.228,22.888,73.451,68.743,25.792,"Class3",72.374,42,"R",47,"O",89
55.284,8.088,78.168,48.981,36.724,"Class4",66.065,17,"J",31,"I",22
34.313,62.002,82.612,52.844,79.055,"Class2",12.794,26,"U",16,"F",31
31.377,52.246,78.935,45.618,77.453,"Class2",12.643,23,"Z",24,"N",28
71.922,58.417,19.61,31.653,11.754,"Class1",56.125,19,"X",56,"O",76
48.849,21.982,89.358,40.028,27.64,"Class3",67.01,15,"K",42,"Z",91
53.098,23.867,57.589,57.341,43.224,"Class3",56.851,31,"Q",41,"H",84
47.705,22.812,75.798,40.303,32.926,"Class3",51.643,26,"J",46,"U",67
76.477,29.081,79.827,67.895,58.501,"Class4",62.436,29,"V",53,"G",23
71.251,20.378,81.329,74.34,16.924,"Class4",46.97,9,"V",38,"T",27
30.485,85.549,77.944,49.817,77.672,"Class2",12.306,21,"Z",21,"V",32
53.451,22.7,40.903,44.206,30.588,"Class3",45.825,43,"J",53,"Z",83
59.539,22.793,39.323,52.227,18.189,"Class3",7.13,28,"R",49,"Q",76
58.444,38.889,26.694,38.156,13.334,"Class1",58.638,7,"V",52,"F",47
34.494,21.42,76.109,68.742,32.859,"Class4",38.603,21,"J",44,"I",22
23.235,18.733,88.152,43.833,61.815,"Class4",47.917,22,"D",38,"S",24
64.043,23.514,46.195,33.274,35.256,"Class3",35.258,19,"K",40,"H",75
12.497,28.433,81.96,78.702,61.93,"Class4",33.014,20,"D",35,"S",26
51.25,22.739,35.333,63.409,27.799,"Class3",56.489,37,"K",52,NA,79
82.137,24.964,72.997,53.819,59.578,"Class4",46.195,26,"J",53,"R",27
57.121,79.228,20.625,46.341,15.97,"Class1",56.404,19,"T",53,"P",71
52.547,22.477,50.385,77.917,23.229,"Class3",9.103,30,"J",51,"Z",84
39.749,56.517,25.031,30.821,21.467,"Class1",65.286,17,"S",40,"F",75
46.143,59.991,32.134,45.055,20.708,"Class1",62.661,2,"V",37,"F",43
29.914,40.383,83.372,58.918,77.604,"Class2",12.864,25,"C",22,"V",30
56.896,57.506,26.544,95.925,13.327,"Class1",66.914,4,"X",32,"O",73
30.115,61.39,78.138,49.938,78.496,"Class2",13.007,29,"Z",19,"X",28
48.338,20.984,73.123,51.611,47.415,"Class4",60.201,13,"G",49,"I",23
46.956,10.573,88.376,62.196,27.008,"Class4",42.646,26,"W",46,"T",25
60.618,74.339,28.867,46.593,18.073,"Class1",66.536,12,"X",63,"P",26
33.122,46.174,84.385,39.72,78.228,"Class2",12.329,25,"Z",22,"F",24
45.523,22.238,74.817,66.793,32.499,"Class3",27.474,37,"J",39,"Z",91
34.977,67.096,84.02,39.631,78.355,"Class2",12.44,29,"K",21,"N",30
36.237,36.592,82.124,36.261,17.718,"Class4",34.844,15,"J",38,"T",25
41.797,23.365,32.95,63.691,24.614,"Class3",23.337,16,"R",40,"Z",86
39.873,10.057,80.751,53.54,73.282,"Class4",51.81,10,"D",47,"T",27
57.501,40.714,31.435,80.348,19.542,"Class1",63.022,9,"S",70,"F",5
63.772,29.601,79.163,42.785,47.084,"Class4",30.456,30,"D",32,"T",26
56.199,22.769,88.182,67.96,44.161,"Class3",32.259,48,"J",49,"Q",82
64.377,39.441,20.612,25.479,15.789,"Class1",58.673,24,"T",34,NA,66
59.317,90.534,26.56,72.069,19.823,"Class1",56.164,14,"V",47,"P",85
29.653,67.556,82.371,45.143,79.968,"Class2",12.22,27,"A",20,"V",22
51.843,24.172,79.425,15.549,45.536,"Class3",44.547,32,"J",49,"H",92
42.472,38.906,75.374,61.979,45.448,"Class4",39.257,23,"W",44,"I",25
33.661,59.125,84.567,53.221,79.908,"Class2",13.884,30,"C",21,"X",19
0.338,51.98,82.005,64.603,46.405,"Class4",20.845,23,"D",32,"T",27
62.183,24.297,38.246,93.917,50.353,"Class3",20.284,38,"K",44,"H",90
34.22,51.915,80.994,49.088,79.28,"Class2",13.059,23,"A",15,"N",31
33.591,55.802,23.408,76.81,13.259,"Class1",59.171,24,"X",46,"F",63
50.462,22.896,61.941,33.627,43.042,"Class3",13.475,34,"H",48,"U",88
43.441,32.224,20.558,85.309,16.008,"Class1",57.576,19,"V",50,"P",16
50.472,23.588,73.117,53.758,39.804,"Class3",86.961,40,"H",51,"U",71
30.497,51.815,81.545,53.241,77.05,"Class2",13.927,21,"C",16,"N",29
34.439,41.24,72.691,53.149,75.19,"Class4",21.283,11,"W",27,"R",27
61.843,56.125,31.046,52.024,21.013,"Class1",64.602,20,"V",61,"R",70
34.86,75.953,83.389,36.745,78.659,"Class2",13.166,27,"Z",24,"V",26
42.929,33.442,27.276,44.219,22.182,"Class1",68.374,12,"S",74,"C",12
65.022,22.338,83.201,28.637,48.966,"Class3",32.451,15,"H",46,"O",91
28.809,61.87,78.919,51.15,77.034,"Class2",13.124,28,"Z",19,"K",31
46.177,28.97,80.585,69.206,71.462,"Class4",68.577,11,"J",27,"G",26
51.657,41.978,23.056,17.973,12.456,"Class1",58.63,8,"S",60,"O",81
51.37,72.747,31.742,21.996,17.01,"Class1",64.34,17,"X",67,"O",52
45.396,47.549,24.882,66.715,22.182,"Class1",66.406,7,"X",59,"P",5
51.62,21.671,83.583,51.103,36.251,"Class3",50.968,46,"K",52,NA,90
34.471,47.046,85.686,61.397,78.529,"Class2",13.348,31,"Z",16,"V",32
48.172,31.036,77.338,67.309,57.9,"Class4",57.191,23,"G",57,"G",26
61.138,NA,72.981,51.44,24.591,"Class4",49.47,11,"G",52,"T",25
51.781,56.393,22.64,28.316,22.293,"Class1",60.409,3,"T",71,"C",12
26.643,24.783,81.699,46.661,77.2,"Class2",13.131,25,"Z",18,"K",30
34.105,89.513,84.276,49.915,78.786,"Class2",13.608,30,"Z",16,"K",24
44.3,51.509,30.109,95.463,14.724,"Class1",65.548,18,"V",44,"F",28
46.813,NA,22.677,0.191,23.285,"Class1",66.018,2,"T",68,"C",25
74.335,19.481,36.899,38.902,24.442,"Class3",57.814,40,"J",39,"H",83
29.671,63.275,84.796,52.302,77.155,"Class2",13.396,25,"Z",18,"V",22
76.907,33.686,73.894,62.56,42.766,"Class4",16.114,17,"V",41,"G",27
66.04,22.369,88.148,65.527,71.193,"Class4",65.985,23,"V",33,"R",26
64.468,33.269,20.672,55.272,21.39,"Class1",64.785,11,"I",69,"C",2
45.809,36.258,88.672,60.24,77.917,"Class4",57.815,17,"V",36,"I",22
59.556,23.997,91.79,61.941,38.871,"Class3",49.596,19,"Q",41,"Q",68
51.76,55.534,22.54,83.706,13.655,"Class1",68.96,2,"V",68,"O",24
46.394,45.905,21.093,43.068,13.646,"Class1",60.816,4,"V",74,"P",69
47.569,22.613,79.872,49.312,24.119,"Class3",75.617,14,"Q",48,"Z",92
29.507,43.274,81.139,48.759,77.179,"Class2",13.509,27,"A",19,"N",34
42.455,25.183,83.938,43.388,40.552,"Class4",16.499,19,"J",43,"T",26
53.188,33.788,29.068,35.021,19.26,"Class1",62.848,21,"T",70,"R",79
54.002,21.855,62.83,49.184,24.834,"Class3",68.047,15,"H",53,"O",84
75.59,33.539,87.738,64.169,48.903,"Class4",16.404,10,"D",31,"S",23
25.635,49.872,82.338,46.315,77.158,"Class2",13.929,25,"U",20,"X",27
42.67,13.016,81.673,74.874,66.869,"Class4",53.658,15,"W",28,"I",27
32.318,31.068,78.638,49.417,71.351,"Class4",17.438,29,"D",49,"R",25
50.118,22.812,24.406,44.551,25.66,"Class3",41.495,43,"H",43,"O",68
31.229,69.718,82.177,66.01,77.898,"Class2",12.326,23,"K",21,"V",29
44.586,76.477,21.28,46.89,18.561,"Class1",59.35,21,"I",66,"C",18
29.847,19.421,86.785,61.285,32.628,"Class4",35.972,14,"D",57,"G",26
43.612,60.318,75.976,79.171,58.596,"Class4",26.967,28,"V",59,"S",24
30.312,47.48,84.243,61.984,79.895,"Class2",13.181,24,"K",15,"N",30
29.323,27.231,83.125,64.206,79.332,"Class2",12.671,22,"U",16,"X",32
92.595,21.464,84.594,58.18,72.735,"Class4",43.894,16,"J",25,"S",26
27.277,29.336,79.989,45.491,79.776,"Class2",13.96,31,"C",20,"N",28
65.632,21.276,40.56,83.344,47.669,"Class3",24.263,36,"K",45,"Z",81
44.728,59.712,19.199,45.206,20.632,"Class1",63.08,23,"S",52,"C",2
29.198,75.875,81.965,49.369,77.481,"Class2",12.137,31,"C",21,"V",34
50.735,63.003,22.54,73.251,17.585,"Class1",65.903,0,"V",43,"F",41
32.293,64.08,85.142,53.421,78.376,"Class2",12.611,21,"Z",21,"N",24
42.658,51.213,22.401,87.77,21.063,"Class1",64.342,16,"V",46,"C",84
36.963,74.206,80.086,50.405,78.505,"Class2",13.342,20,"A",21,"V",34
35.327,43.98,77.966,46.75,77.392,"Class2",12.096,19,"K",18,"V",20
48.413,53.535,26.619,60.52,15.648,"Class1",66.612,22,"T",47,"R",43
55.158,34.613,24.046,37.762,13.372,"Class1",66.443,7,"S",51,NA,87
53.138,19.9,66.06,77.5,38.992,"Class3",90.861,19,"J",50,"O",79
34.112,54.779,83.004,57.084,79.884,"Class2",13.117,25,"K",20,"K",31
72.412,58.958,24.66,58.479,17.831,"Class1",61.056,8,"V",73,"O",40
58.717,24.465,77.603,71.25,37.982,"Class3",31.321,49,"K",42,"O",74
37.478,23.921,87.631,39.671,38.772,"Class3",73.508,44,"K",53,"Q",71
58.309,57.555,28.543,49.809,11.149,"Class1",57.545,0,"T",37,"C",5
65.105,8.858,29.392,39.232,23.568,"Class1",63.544,22,"T",50,"P",84
17.237,45.533,73.335,59.293,32.306,"Class4",43.489,29,"G",52,"G",24
67.252,46.015,23.749,58.631,19.331,"Class1",63.282,4,"V",63,"C",29
30.005,65.044,78.431,47.384,77.507,"Class2",12.721,25,"U",22,"F",21
44.292,21.696,35.839,72.075,34.412,"Class3",41.866,30,"H",45,"U",82
20.613,35.994,72.526,64.679,44.965,"Class4",29.939,27,"D",55,"R",25
56.191,43.217,87.707,63.755,55.166,"Class4",59.613,9,"W",57,"I",22
51.843,65.423,20.835,54.003,19.361,"Class1",62.412,9,"I",41,NA,89
51.449,66.646,28.071,25.069,19.017,"Class1",66.474,18,"X",56,"P",50
52.963,49.753,73.48,77.816,66.287,"Class4",34.058,14,"W",57,"R",23
29.688,67.074,77.028,47.486,79.493,"Class2",12.188,22,"U",16,"N",23
47.637,35.132,25.396,63.721,15.48,"Class1",61.362,15,"S",49,"F",20
41.775,74.24,24.177,32.638,16.745,"Class1",67.739,0,"X",35,"F",12
47.689,49.219,83.988,58.609,67.971,"Class4",16.553,28,"G",59,"I",25
29.234,79.426,85.254,56.071,78.59,"Class2",13.693,20,"K",20,"X",21
32.951,73.064,81.009,45.017,77.859,"Class2",12.631,30,"Z",23,"V",20
59.676,16.182,88.928,71.555,24.952,"Class4",13.158,11,"G",46,"I",22
30.172,39.799,77.971,54.855,77.734,"Class2",13.794,31,"A",21,"K",31
52.207,79.131,25.29,32.42,15.421,"Class1",56.176,1,"T",60,"C",26
30.225,76.45,76.661,53.423,79.191,"Class2",12.643,25,"A",21,"X",34
34.561,55.946,85.339,59.622,78.404,"Class2",12.113,31,"Z",23,"X",20
52.38,21.466,84.585,34.117,22.894,"Class3",72.726,47,"H",49,"Z",85
-4.046,53.145,72.105,69.53,72.182,"Class4",36.362,14,"D",39,"R",26
30.579,72.287,78.464,52.135,78.334,"Class2",12.249,29,"U",21,"K",26
57.512,50.21,24.402,13.44,20.387,"Class1",68.686,3,"S",46,"P",21
54.242,74.561,30.164,49.35,22.701,"Class1",61.328,16,"V",45,"R",1
54.115,54.533,31.862,42.292,16.762,"Class1",60.7,18,"S",58,"R",2
31.448,53.294,81.308,52.894,77.543,"Class2",12.259,19,"Z",23,"F",25
47.143,22.575,39.509,90.238,33.72,"Class3",45.27,23,"H",39,"H",91
50.241,23.53,52.175,65.711,18.86,"Class3",77.749,48,"R",51,"U",82
54.881,22.508,67.03,73.42,48.95,"Class3",73.282,14,"Q",44,"H",89
50.23,55.992,23.422,31.448,20.524,"Class1",68.362,4,"S",36,"R",33
32.039,54.737,72.033,43.569,26.926,"Class4",14.742,28,"V",35,"G",23
52.869,22.962,60.482,67.808,23.424,"Class3",89.062,40,"K",52,"Z",67
43.516,55.38,26.767,20.135,17.072,"Class1",66.984,14,"V",75,"F",91
28.719,27.983,79.693,62.633,77.639,"Class2",13.08,23,"K",16,"X",30
35.694,82.813,81.852,54.527,78.854,"Class2",12.242,19,"A",21,"F",26
40.355,41.982,82.986,49.711,20.965,"Class4",16.8,9,"J",42,"G",27
32.718,41.472,78.598,55.796,78.926,"Class2",13.507,25,"Z",18,"N",24
51.607,24.903,67.999,23.508,36.784,"Class3",44.849,30,"J",46,"Z",76
54.593,21.279,38.728,56.749,20.151,"Class3",28.768,26,"H",44,"Q",74
62.944,8.472,84.424,71.388,47.178,"Class4",65.265,24,"J",53,"T",24
59.921,61.048,32.378,27.518,17.129,"Class1",58.374,23,"I",52,"P",33
59.708,22.348,33.534,52.987,26.427,"Class3",37.069,42,"K",48,"O",82
58.323,21.094,58.257,58.122,27.534,"Class3",44.075,26,"H",47,"U",86
42.896,60.2,24.91,43.589,21.172,"Class1",61.571,20,"I",32,"C",46
59.137,22.341,92.041,63.064,47.19,"Class3",10.913,38,"H",52,"Q",93
64.036,23.73,45.926,40.17,24.545,"Class3",33.545,23,"J",53,"Z",67
61.444,56.423,23.393,48.499,11.561,"Class1",62.822,23,"V",70,"C",32
29.556,41.094,76.454,53.846,79.159,"Class2",13.414,19,"U",22,"K",28
36.666,30.357,75.646,63.129,22.381,"Class4",17.016,13,"V",45,"I",26
55.029,72.225,20.572,48.98,17.541,"Class1",63.269,3,"X",75,"O",46
53.487,45.26,30.302,37.208,16.606,"Class1",57.456,20,"T",69,"F",23
39.713,47.668,80.223,74.443,15.507,"Class4",39.791,11,"V",37,"G",24
32.461,101.133,76.174,41.012,78.232,"Class2",12.71,19,"Z",22,"K",27
45.626,22.222,68.414,37.306,25.167,"Class3",59.127,42,"K",47,"Q",86
57.098,22.072,91.429,77.351,35.222,"Class3",67.903,47,"J",44,"O",67
33.584,100.857,77.522,51.343,79.945,"Class2",12.114,21,"Z",16,"F",26
30.242,46.674,84.054,56.837,78.225,"Class2",13.979,29,"Z",22,"V",27
56.383,23.166,35.185,72.993,33.635,"Class3",66.465,49,"R",41,"Q",72
26.965,26.683,77.651,53.662,48.279,"Class4",28.511,25,"D",53,"R",26
30.428,71.126,83.712,44.995,77.906,"Class2",13.307,20,"C",19,"V",31
34.244,51.889,76.615,56.715,78.409,"Class2",12.988,26,"Z",23,"F",32
51.202,23.259,48.257,64.134,45.786,"Class3",53.56,27,"K",41,"Z",74
48.677,21.167,33.404,108.163,24.708,"Class3",12.856,32,"Q",53,"O",73
31.485,94.187,81.44,58.544,78.792,"Class2",12.44,21,"K",15,"K",25
54.408,22.164,50.969,53.887,31.947,"Class3",16.968,22,"H",44,"U",77
33.264,66.069,77.826,37.94,78.784,"Class2",12.398,30,"Z",20,"N",32
36.966,30.908,88.352,49.653,62.019,"Class4",43.385,28,"J",59,"R",27
61.404,29.168,78.416,49.73,74.163,"Class4",17.434,24,"V",40,"I",26
52.034,48.79,23.562,49.95,21.588,"Class1",56.854,11,"V",65,"F",82
84.878,28.219,80.377,66.613,42.113,"Class4",70.207,30,"D",60,"G",24
47.578,20.415,89.104,75.518,69.686,"Class4",68.829,26,"W",26,"R",24
46.882,30.899,77.138,54.895,40.988,"Class4",66.047,26,"W",42,"S",22
51.246,80.215,28.874,40.078,17.008,"Class1",60.938,8,"I",51,"C",22
45.322,45.247,83.861,55.381,21.649,"Class4",35.754,29,"V",32,"R",24
64.827,22.739,56.939,66.055,41.571,"Class3",65.702,24,"K",43,"Z",69
33.404,42.547,81.438,51.249,79.954,"Class2",12.479,26,"A",22,"F",23
30.076,90.661,83.994,60.742,79.429,"Class2",13.788,20,"K",18,"K",31
56.467,57.956,22.221,58.124,14.541,"Class1",56.588,22,"T",42,"F",24
30.318,57.327,80.585,37.72,78.878,"Class2",12.493,30,"C",19,"K",34
52.69,37.014,84.594,49.692,81.946,"Class4",15.978,15,"V",30,"S",25
48.553,23.327,77.424,41.723,25.884,"Class3",55.481,27,"H",52,"U",76
56.873,23.71,33.082,68.248,37.244,"Class3",38.165,47,"Q",41,"Q",85
55.44,24.522,91.141,55.59,40.207,"Class3",79.081,38,"R",44,"O",75
50.887,NA,26.903,98.894,20.484,"Class1",61.419,0,"T",45,NA,35
-0.351,31.307,79.758,58.932,34.906,"Class4",65.436,18,"G",45,"R",25
51.531,21.262,45.192,42.999,29.358,"Class3",45.799,31,"H",51,"Q",72
33.375,74.58,84.187,47.716,77.516,"Class2",12.902,23,"U",16,NA,29
72.438,21.866,27.004,15.89,23.97,"Class3",64.147,42,"Q",52,"U",77
31.592,87.643,79.975,57.945,78.653,"Class2",13.974,20,"Z",21,"N",29
27.33,55.723,76.162,39.527,78.734,"Class2",12.746,26,"Z",17,"X",23
45.292,23.226,54.22,80.894,30.22,"Class3",24.39,36,"R",47,"U",91
47.384,14.896,72.787,73.043,75.589,"Class4",32.562,9,"J",48,"S",24
70.025,27.881,71.701,60.781,66.227,"Class4",26.201,24,"W",38,"G",24
113.596,53.288,85.305,60.891,60.768,"Class4",13.811,27,"W",59,"T",25
30.651,51.315,84.101,49.858,78.427,"Class2",13.734,24,"C",22,"K",22
32.339,72.572,77.678,74.674,79.156,"Class2",12.247,29,"K",18,"K",19
73.828,38.112,82.992,55.071,34.708,"Class4",34.675,10,"G",36,"S",26
67.319,85.323,32.033,36.224,20.737,"Class1",66.19,8,"T",69,"F",18
28.341,63.542,77.778,51.42,77.436,"Class2",13.552,25,"A",24,"K",34
52.996,21.958,79.274,90.586,31.406,"Class3",60.199,32,"J",53,"U",92
31.915,73.439,85.872,42.411,78.21,"Class2",12.517,29,"K",23,"X",25
61.555,43.815,23.878,80.693,21.24,"Class1",59.246,4,"S",37,"P",64
49.967,23.64,63.786,79.715,21.581,"Class3",14.444,32,"H",52,NA,92
70.604,44.603,74.577,70.421,74.131,"Class4",60.388,21,"V",53,"G",25
53.033,23.446,33.491,83.341,27.558,"Class3",44.933,49,"J",42,"Z",81
34.905,84.056,80.529,67.472,78.152,"Class2",12.239,19,"K",18,"F",23
32.412,NA,82.391,27.833,79.328,"Class2",13.481,30,"K",20,"V",21
49.907,23.017,74.114,60.594,61.062,"Class4",56.797,29,"V",58,"I",25
32.54,76.76,79.743,52.194,78.663,"Class2",12.375,26,"K",20,"K",29
24.184,32.737,87.196,33.082,43.526,"Class4",21.199,17,"D",61,"I",23
39.332,66.184,22.058,36.078,23.615,"Class1",56.62,9,"S",54,"O",91
35.758,48.432,82.657,38.31,42.675,"Class4",18.992,12,"J",60,"I",26
54.962,40.045,77.886,52.469,21.794,"Class4",63.687,11,"D",56,NA,25
33.621,75.124,80.983,56.075,77.936,"Class2",12.157,21,"Z",21,"N",23
30.24,68.093,79.133,59.425,78.307,"Class2",13.158,27,"C",19,"N",33
47.537,54.624,86.435,56.716,35.973,"Class4",48.272,17,"J",32,"T",22
31.016,75.568,80.283,46.721,78.829,"Class2",12.148,29,"Z",21,"X",24
26.715,44.47,76.661,58.463,66.282,"Class4",58.671,30,"G",30,"I",27
30.842,66.059,76.395,57.65,79.814,"Class2",12.277,23,"A",16,"N",30
35.313,32.147,79.281,41.4,81.497,"Class4",21.129,22,"D",48,"R",23
47.959,22.296,34.14,21.055,45.208,"Class3",42.991,45,"J",53,NA,87
69.072,44.714,75.154,71.273,67.652,"Class4",24.033,20,"D",60,"T",22
51.363,44.192,27.229,39.133,13.547,"Class1",64.255,21,"I",66,"R",53
10.704,23.279,77,53.702,64.634,"Class4",14.05,25,"W",37,"S",24
42.407,67.399,29.537,72.838,20.436,"Class1",58.854,20,"V",62,"P",71
18.516,31.404,80.254,55.916,22.494,"Class4",47.428,22,"V",50,NA,22
35.689,37.089,73.558,60.701,60.07,"Class4",70.37,22,"V",57,"T",27
46.449,22.094,45.338,88.383,40.531,"Class3",43.495,21,"H",42,"O",71
56.261,23.409,79.306,46.24,41.476,"Class3",72.067,18,"R",47,"U",90
51.842,22.984,81.561,62.84,33.483,"Class3",74.249,15,"K",44,"H",87
50.526,46.219,27.675,57.819,15.077,"Class1",65.759,20,"X",60,"F",47
62.27,53.792,24.121,41.143,19.552,"Class1",56.382,16,"T",37,"R",81
60.054,21.857,84.503,22.472,30.723,"Class3",48.681,18,"H",43,"H",83
63.262,21.526,71.326,32.482,39.828,"Class3",71.16,50,"Q",41,"Z",89
82.359,NA,81.527,52.784,30.979,"Class4",24.692,20,"W",42,"T",24
48.416,22.406,68.85,38.012,41.499,"Class3",17.103,23,"K",53,"H",88
