"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","Output21"
"Q",87,47,6.103,20.967,70.993,78.052,85.223,49.889,"X",44,"Class1"
"F",80,43,51.624,27.676,10.049,40.823,67.163,46.021,"M",63,"Class3"
"G",55,24,105.742,27.713,28.362,68.662,60.098,20.698,"V",69,"Class4"
"J",56,27,75.929,9.693,24.178,46.393,44.066,21.349,"A",38,"Class4"
"R",74,32,89.237,16.31,13.499,63.392,57.696,20.089,"L",31,"Class4"
"T",61,80,39.66,35.255,4.835,38.943,90.082,33.412,"T",92,"Class3"
"P",33,63,46.516,60.667,15.307,39.694,45.404,92.544,"R",69,"Class2"
"T",88,NA,45.807,29.116,17.445,39.779,90.14,39.319,"C",82,"Class3"
"E",34,24,64.792,11.434,50.768,62.929,68.581,19.642,"G",80,"Class4"
"F",79,67,37.548,40.082,12.166,42.668,76.973,31.458,"X",83,"Class3"
"D",37,61,71.249,61.089,53.091,40.659,57.544,93.603,"H",60,"Class2"
"W",42,62,59.332,60.958,27.13,43.425,56.647,91.036,"L",68,"Class2"
"Y",85,85,38.852,43.091,17.935,38.329,76.35,25.065,"X",68,"Class3"
"P",32,56,30.849,60.776,19.943,41.939,58.987,94.333,"P",56,"Class2"
"J",57,24,55.023,17.938,12.197,53.011,8.028,19.647,"A",7,"Class4"
"R",30,28,37.853,20.578,39.504,50.027,48.476,19.019,"A",19,"Class4"
"J",73,28,51.804,21.736,46.244,55.669,58.973,20.423,"L",NA,"Class4"
"D",33,63,88.227,60.44,14.565,41.714,50.713,90.49,"I",65,"Class2"
"E",74,78,43.808,19.519,16.752,41.675,86.864,28.993,"T",78,"Class3"
"G",87,35,2.571,20.654,79.817,81.645,83.057,40.095,"X",NA,"Class1"
"T",84,59,2.411,19.753,70.563,48.275,81.361,18.043,"H",43,"Class1"
"Y",93,52,54.767,18.758,11.821,32.872,73.394,53.86,"X",66,"Class3"
"Z",33,68,67.109,60.127,19.459,41.727,52.26,93.66,"P",64,"Class2"
"E",25,30,66.604,15.158,37.202,85.408,67.83,19.068,"A",61,"Class4"
"J",26,29,56.17,24.928,43.028,85.132,13.184,21.377,"K",68,"Class4"
"X",94,70,46.168,10.403,14.98,34.889,83.753,58.755,"E",81,"Class3"
"T",79,71,2.944,17.917,81.12,38.658,82.24,46.492,"F",43,"Class1"
"K",87,39,2.271,22.885,45.658,68.622,84.037,54.367,"K",45,"Class1"
"W",44,68,62.429,59.95,40.095,39.949,48.608,95.213,"L",59,"Class2"
"E",79,61,58.528,33.436,9.383,34.184,68.227,21.305,"E",68,"Class3"
"E",27,29,50.25,15.666,20.093,60.889,31.603,19.868,"L",40,"Class4"
"R",26,24,45.498,22.054,26.18,78.984,24.313,21.02,"V",NA,"Class4"
"K",89,33,4.535,19.275,53.453,63.959,82.655,18.449,"H",44,"Class1"
"K",79,49,6.582,17.609,33.466,56.453,85.695,52.725,"F",45,"Class1"
"T",81,37,1.725,33.372,21.131,74.937,85.551,50.424,"F",40,"Class1"
"I",82,44,5.254,24.474,80.232,75.932,85.417,43.748,"H",42,"Class1"
"P",42,67,88.621,60.316,29.361,38.98,53.514,91.624,"H",71,"Class2"
"P",40,59,68.561,59.953,54.044,44.839,46.261,92.277,"R",63,"Class2"
"H",36,NA,95.366,24.69,19.256,48.219,13.901,19.319,"G",39,"Class4"
"X",86,NA,45.907,35.642,4.934,34.081,72.162,40.136,"M",89,"Class3"
"R",71,30,55.319,25.789,44.032,83.823,91.811,21.099,"A",52,"Class4"
"T",85,86,-0.21,27.25,81.422,76.997,84.506,35.342,"N",39,"Class1"
"Y",71,53,38.539,22.169,14.128,40.436,67.773,4.609,"C",80,"Class3"
"G",94,31,60.539,14.938,47.554,54.318,17.975,20.265,"K",61,"Class4"
"G",90,70,2.76,27.307,73.41,36.808,85.866,58.269,"H",40,"Class1"
"F",81,59,31.847,24.425,10.177,43.538,77.516,44.605,"T",62,"Class3"
"T",69,NA,46.538,17.189,7.43,35.244,91.993,46.863,"C",56,"Class3"
"Y",86,83,41.595,31.258,7.589,45.339,75.71,59.832,"E",92,"Class3"
"P",37,67,77.926,60.205,44.233,42.028,56.374,91.45,"I",69,"Class2"
"G",78,55,5.775,7.83,72.33,46.088,85.643,52.963,"N",43,"Class1"
"T",86,61,4.065,20.386,70.87,64.378,81.424,50.286,"H",44,"Class1"
"P",46,66,55.818,60.568,16.364,38.511,57.249,91.873,"H",66,"Class2"
"M",47,66,51.913,60.263,31.958,39.729,57.655,96.704,"P",NA,"Class2"
"D",41,65,55.96,60.608,27.949,40.242,54.033,93.134,"I",70,"Class2"
"D",42,59,44.526,60.326,39.133,38.19,50.923,92.286,"R",65,"Class2"
"I",89,81,1.371,23.938,27.741,51.085,83.863,56.777,"K",44,"Class1"
"M",41,64,75.458,60.529,21.904,44.296,52.508,95.452,"R",60,"Class2"
"W",41,56,66.501,60.231,56.894,41.433,48.272,94.652,"L",70,"Class2"
"Z",44,66,70.929,61.247,22.962,41.11,53.508,93.652,"H",65,"Class2"
"E",60,47,45.738,29.937,14.792,34.375,90.528,40.383,"X",70,"Class3"
"K",90,37,4.254,21.479,12.696,81.343,85.683,48.104,"H",40,"Class1"
"I",87,25,-0.486,13.331,42.935,66.813,84.662,28.108,"F",42,"Class1"
"H",57,24,65.609,12.176,48.137,50.803,11.525,19.214,"V",58,"Class4"
"R",61,25,56.29,32.283,27.442,59.878,31.95,20.468,"G",15,"Class4"
"R",26,29,76.39,18.618,37.16,81.814,79.268,20.412,"G",70,"Class4"
"K",80,44,3.693,14.363,26.662,45.736,84.299,43.345,"N",42,"Class1"
"I",84,34,1.884,27.207,73.091,64.759,84.168,60.128,"X",44,"Class1"
"M",35,58,54.708,60.373,29.965,41.525,55.549,92.812,"H",71,"Class2"
"H",88,24,55.761,21.64,49.031,62.788,26.474,19.866,"A",56,"Class4"
"D",33,64,58.249,60.731,50.922,43.704,48.245,92.327,"R",71,"Class2"
"H",61,31,59.458,24.859,30.389,49.944,40.8,21.105,"G",22,"Class4"
"T",79,59,39.199,21.942,20.995,33.802,75.984,42.582,"C",70,"Class3"
"Y",87,63,41.812,32.564,14.104,34.714,88.637,37.937,"E",94,"Class3"
"E",87,69,45.154,35.947,21.871,34.593,88.783,44.32,"M",87,"Class3"
"Z",46,58,70.035,60.505,44.307,44.293,48.979,92.202,"L",69,"Class2"
"H",73,32,46.111,28.345,39.616,48.26,70.922,18.818,"L",16,"Class4"
"W",30,65,77.069,61.03,23.723,44.024,48.316,89.68,"P",66,"Class2"
"J",34,33,52.495,23.735,25.417,77.403,17.86,20.581,"G",74,"Class4"
"E",62,32,60.511,14.056,26.01,74.656,82.56,20.355,"K",37,"Class4"
"E",74,69,43.417,32.238,21.274,33.352,91.944,40.827,"T",61,"Class3"
"I",79,35,3.48,24.737,30.891,85.999,82.27,35.76,"H",39,"Class1"
"D",30,56,75.449,59.816,21.778,40.276,47.211,92.755,"R",61,"Class2"
"D",44,64,57.855,60.51,56.374,38.17,52,92.658,"L",59,"Class2"
"E",89,72,48.533,28.922,20.206,34.396,85.01,59.088,"X",92,"Class3"
"F",90,73,56.959,14.781,18.919,31.421,74.593,37.107,"C",80,"Class3"
"T",66,70,30.447,30.702,10.112,35.562,84.357,45.464,"X",65,"Class3"
"Q",79,51,4.601,19.408,50.972,70.186,82.35,51.239,"H",41,"Class1"
"G",62,31,75.098,16.887,29.409,51.704,54.709,19.006,"L",80,"Class4"
"Z",43,58,52.513,60.46,42.19,43.031,53.489,91.21,"L",62,"Class2"
"H",34,25,56.107,21.763,14.229,77.117,7.502,20.699,"L",40,"Class4"
"Z",29,62,61.033,60.045,29.208,42.526,58.198,90.739,"P",67,"Class2"
"J",23,30,81.683,21.881,20.072,80.428,61.046,19.159,"G",49,"Class4"
"H",24,24,60.51,19.237,34.16,58.713,11.297,18.069,"V",73,"Class4"
"E",80,26,57.102,14.354,17.898,67.423,89.868,19.574,"V",29,"Class4"
"G",81,73,5.001,15.645,10.723,73.736,83.838,52.591,"K",41,"Class1"
"I",87,33,4.178,26.364,45.872,52.978,81.747,32.618,"F",42,"Class1"
"G",87,27,62.05,18.948,41.365,78.776,8.904,18.833,"L",31,"Class4"
"G",84,84,5.078,35.228,63.584,46.946,84.401,58.059,"H",44,"Class1"
"I",82,52,3.385,28.368,10.19,82.799,83.539,54.368,"K",42,"Class1"
"P",34,62,51.249,60.67,40.366,39.558,50.947,92.302,"I",71,"Class2"
"G",88,31,69.147,22.169,51.414,61.884,30.102,18.493,"G",81,"Class4"
"Z",34,65,51.14,60.325,15.89,44.375,52.642,95.902,"R",69,"Class2"
"H",90,26,61.416,26.553,50.093,71.211,37.288,19.818,"V",10,"Class4"
"P",39,68,55.601,60.824,31.235,41.272,58.829,92.049,"I",74,"Class2"
"W",47,59,56.66,60.852,16.52,42.987,55.159,96.845,"I",64,"Class2"
"I",84,43,2.808,13.999,49.212,69.014,85.4,45.063,"F",44,"Class1"
"D",40,56,47.239,60.01,56.331,43.469,46.461,92.985,"R",NA,"Class2"
"E",67,62,27.633,43.46,6.114,34.009,75.397,52.186,"T",92,"Class3"
"Y",86,82,36.864,33.813,16.421,44.842,89.458,58.662,"C",92,"Class3"
"J",85,27,88.569,18.801,33.04,71.07,66.246,21.05,"L",78,"Class4"
"T",75,63,54.255,13.841,9.903,36.552,79.15,41.406,"E",68,"Class3"
"D",45,61,54.306,60.449,18.349,39.818,47.171,93.217,"P",63,"Class2"
"P",39,59,51.226,60.301,50.928,44.775,54.017,90.927,"P",74,"Class2"
"G",64,29,52.89,19.02,19.533,63.269,86.861,19.744,"V",55,"Class4"
"I",80,44,5.271,26.534,58.212,85.509,85.688,36.523,"X",45,"Class1"
"D",34,58,31.622,61.473,28.696,42.317,56.948,94.418,"L",65,"Class2"
"G",35,26,66.335,27.979,47.802,75.481,73.663,19.659,"G",10,"Class4"
"K",86,66,5.069,21.624,30.658,59.096,85.079,49.261,"X",41,"Class1"
"G",21,25,75.694,27.529,5.962,53.058,24.237,19.821,"K",NA,"Class4"
"Q",88,82,1.388,3.595,76.77,64.481,83.003,59.707,"X",41,"Class1"
"Y",79,78,35.308,24.69,9.162,43.379,76.127,46.695,"E",76,"Class3"
"T",75,76,48.432,15.877,5.712,32.156,88.691,47.357,"M",64,"Class3"
"M",30,67,55.818,60.97,35.096,39.737,55.505,93.954,"P",69,"Class2"
"P",42,61,54.754,60.383,52.361,38.777,53.581,90.303,"H",56,"Class2"
"X",69,47,50.252,17.576,16.765,44.599,70.342,49.805,"C",95,"Class3"
"H",27,30,77.663,26.934,21.612,79.319,66.58,20.351,"A",4,"Class4"
"Q",81,79,3.476,23.866,6.392,42.286,82.278,42.423,"F",42,"Class1"
"K",77,67,3.066,24.013,31.843,70.368,85.111,53.2,"F",44,"Class1"
"D",39,60,42.411,60.764,60.769,40.691,56.177,94.068,"L",68,"Class2"
"M",44,57,53.121,60.123,37.255,40.012,49.776,91.431,"P",64,"Class2"
"G",84,79,2.531,25.448,29.684,56.108,85.653,60.683,"X",39,"Class1"
"I",82,84,4.498,18.582,28.045,66.766,85.636,46.334,"F",40,"Class1"
"H",78,26,65.581,19.003,22.955,85.831,89.455,19.58,"G",56,"Class4"
"J",87,27,91.648,20.078,40.341,56.962,56.578,19.837,"A",56,"Class4"
"J",92,27,54.952,19.199,22.886,54.157,87.684,19.758,"K",67,"Class4"
"J",41,27,66.088,12.288,46.651,79.298,86.315,20.828,"A",52,"Class4"
"K",81,63,4.257,19.638,65.042,51.045,82.522,61.35,"H",39,"Class1"
"E",66,81,43.984,25.346,6.78,35.7,82.51,44.987,"E",67,"Class3"
"Y",73,61,48.444,15.411,20.882,31.928,87.817,31.235,"M",91,"Class3"
"Q",90,40,3.431,18.382,74.176,78.226,84.184,59.436,"X",42,"Class1"
"Q",83,90,4.718,25.369,82.797,41.384,82.674,31.33,"H",43,"Class1"
"H",52,25,55.804,23.717,17.073,86.589,42.767,19.979,"A",51,"Class4"
"E",83,30,77.986,19.868,41.195,75.2,46.858,20.342,"V",75,"Class4"
"Y",60,83,48.084,30.077,22.763,38.868,71.212,42.743,"M",74,"Class3"
"T",71,53,45.41,27.964,22.91,40.15,80.275,25.448,"M",89,"Class3"
"X",78,65,46.9,24.283,8.351,35.679,77.446,41.169,"E",73,"Class3"
"T",82,40,5.475,20.896,20.351,42.381,83.042,35.035,"X",41,"Class1"
"Q",83,84,5.402,12.681,24.366,56.703,84.547,44.634,"X",45,"Class1"
"W",33,63,48.59,60.966,13.758,42.655,49.434,94.979,"L",72,"Class2"
"Q",79,88,4.274,40.95,9.66,60.971,85.218,41.515,"K",42,"Class1"
"R",95,NA,48.797,21.141,36.748,87.285,16.443,19.827,"K",72,"Class4"
"I",85,86,3.476,21.6,26.541,49.339,83.94,57.354,"X",39,"Class1"
"J",72,27,50.252,19.217,22.087,51.205,40.588,18.928,"A",59,"Class4"
"J",61,28,83.423,20.939,16.137,71.157,90.656,19.876,"V",48,"Class4"
"T",91,43,1.332,15.874,83.103,56.434,85.476,32.385,"H",44,"Class1"
"E",62,62,36.224,26.687,23.96,36.839,86.422,63.165,"C",66,"Class3"
"E",74,46,47.119,21.634,22.228,32.686,79.582,42.244,"E",87,"Class3"
"T",67,63,48.767,25.826,8.384,45.282,90.1,19.706,"T",89,"Class3"
"H",90,31,76.125,19.647,49.608,87.657,25.288,21.164,"G",20,"Class4"
"F",68,57,52.79,26.085,21.116,43.486,79.734,31.896,"T",64,"Class3"
"K",77,53,2.588,26.999,7.841,50.552,84.032,56.065,"H",44,"Class1"
"G",26,25,65.543,27.696,13.78,80.799,17.875,19.047,"G",56,"Class4"
"R",93,25,76.899,22.078,45.894,59.273,69.247,20.006,"K",65,"Class4"
"M",34,58,66.471,60.317,18.265,40.37,47.067,93.099,"R",63,"Class2"
"M",42,61,58.477,60.483,33.92,38.903,52.792,93.26,"I",60,"Class2"
"E",49,28,70.358,12.061,16.155,83.336,8.15,19.313,"V",72,"Class4"
"K",91,51,4.79,18.598,9.931,60.396,81.593,26.692,"H",45,"Class1"
"T",66,NA,46.871,33.718,14.793,33.399,86.963,49.454,"T",87,"Class3"
"I",88,24,3.525,18.508,38.166,67.231,85.898,54.644,"K",45,"Class1"
"G",87,88,2.662,23.796,46.305,52.009,85.201,61.306,"H",44,"Class1"
"J",48,26,65.706,18.274,51.813,79.23,61.025,19.525,"V",44,"Class4"
"M",42,56,53.801,60.763,33.805,39.775,56.794,93.121,"P",59,"Class2"
"Q",89,57,2.203,19.485,4.486,67.786,83.321,60.277,"H",42,"Class1"
"R",69,33,77.333,16.825,51.929,61.381,49.584,20.382,"G",45,"Class4"
"X",79,48,44.287,21.869,21.33,36.79,68.51,44.004,"T",75,"Class3"
"R",85,32,68.849,19.017,14.79,79.517,70.095,18.887,"V",44,"Class4"
"M",41,62,54.001,60.649,53.828,38.213,56.119,94.832,"R",71,"Class2"
"K",80,48,0.034,27.671,14.317,40.984,83.511,1.204,"F",45,"Class1"
"I",79,59,4.509,18.733,39.687,64.458,81.931,54.723,"H",39,"Class1"
"G",88,27,94.05,20.759,25.213,47.288,15.061,20.316,"K",62,"Class4"
"G",86,50,4.091,30.173,15.573,72.304,84.452,35.314,"K",44,"Class1"
"Z",32,59,40.322,60.497,19.57,44.088,50.609,92.681,"I",62,"Class2"
"P",35,62,78.626,60.328,17.857,44.847,52.413,94.666,"R",60,"Class2"
"E",68,74,50.426,25.481,13.664,41.875,74.533,48.069,"X",88,"Class3"
"Q",91,47,0.436,19.339,72.068,49.435,83.439,32.428,"K",40,"Class1"
"P",43,61,60.844,60.734,52.575,43.718,50.841,92.411,"H",65,"Class2"
"Y",90,45,36.887,20.767,12.5,34.012,81.175,41.517,"C",70,"Class3"
"G",80,74,4.824,19.267,54.773,74.837,82.997,34.817,"H",44,"Class1"
"T",91,73,3.348,20.652,23.439,60.28,81.097,46.875,"H",39,"Class1"
"E",91,81,55.795,23.941,19.773,33.135,72.106,45.434,"T",88,"Class3"
"K",92,66,1.542,26.761,83.364,83.585,81.981,56.104,"H",NA,"Class1"
"W",39,NA,73.292,59.737,60.368,41.047,55.821,91.793,"I",66,"Class2"
"J",47,24,69.828,22.188,20.837,69.009,27.719,20.709,"K",7,"Class4"
"T",89,28,2.033,15.13,10.486,64.013,85.134,20.733,"K",40,"Class1"
"E",49,NA,61.972,17.673,45.783,83.216,60.367,21.082,"G",71,"Class4"
"M",30,63,75.708,61.076,26.223,38.299,53.254,96.743,"L",59,"Class2"
"K",80,76,6.558,21.634,79.874,49.858,83.705,45.29,"F",NA,"Class1"
"P",33,60,78.051,59.933,22.828,39.987,55.087,94.151,"H",74,"Class2"
"R",49,33,58.796,25.839,24.755,65.881,76.009,19.717,"K",48,"Class4"
"J",60,32,50.087,28.367,6.006,75.676,65.064,20.403,"V",13,"Class4"
"F",72,65,53.087,17.857,21.811,34.458,91.131,35.408,"X",85,"Class3"
"M",44,64,76.968,60.304,57.658,40.005,49.558,88.428,"H",56,"Class2"
"Y",60,72,42.614,16.924,23.848,41.469,81.36,23.515,"C",79,"Class3"
"M",47,56,66.458,60.399,60.064,44.065,56.913,89.957,"R",65,"Class2"
"E",75,25,68.723,13.198,22.212,85.787,81.683,20.646,"K",35,"Class4"
"H",97,28,60.827,20.724,30.226,68.888,23.523,18.342,"L",58,"Class4"
"D",38,59,51.021,60.584,56.616,38.321,55.875,95.485,"I",61,"Class2"
"H",58,27,32.098,22.077,48.505,78.538,74.756,21.175,"L",16,"Class4"
"H",95,31,71.711,12.27,41.629,77.721,40.429,19.302,"L",44,"Class4"
"R",27,29,80.884,22.529,12.481,60.699,77.085,20.817,"V",7,"Class4"
"X",90,69,34.063,14.373,17.669,44.003,81.695,29.65,"C",94,"Class3"
"F",65,78,42.158,28.532,15.141,33.271,78.14,15.26,"T",81,"Class3"
"Z",44,68,53.007,60.477,51.907,38.004,58.725,90.227,"L",61,"Class2"
"X",85,85,29.419,26.141,22.686,37.336,82.878,37.79,"T",73,"Class3"
"K",87,71,6.11,24.871,50.171,77.045,81.619,27.303,"N",45,"Class1"
"M",36,60,55.621,60.398,12.795,40.121,55.867,95.833,"L",65,"Class2"
"H",95,33,57.03,22.714,20.197,83.938,55.841,20.282,"G",76,"Class4"
"F",67,60,48.963,21.689,15.828,36.842,90.804,5.979,"T",76,"Class3"
"W",38,58,54.774,60.017,50.161,40.812,50.372,91.557,"L",57,"Class2"
"G",87,25,79.129,21.906,8.874,81.932,47.93,20.495,"V",9,"Class4"
"R",97,28,62.189,19.699,26.492,73.646,64.735,20.407,"L",21,"Class4"
"H",59,25,53.939,14.969,8.369,49.003,70.098,20.914,"A",15,"Class4"
"T",86,80,2.611,28.876,39.225,38.626,81.382,33.998,"K",44,"Class1"
"H",32,28,67.783,27.783,19.31,73.814,50.462,20.286,"K",51,"Class4"
"R",97,31,97.47,20.126,13.018,60.772,24.647,20.45,"V",27,"Class4"
"J",72,29,64.978,23.904,18.249,56.519,62.161,20.759,"G",32,"Class4"
"E",76,70,47.18,11.88,17.139,41.935,86.493,31.11,"C",73,"Class3"
"K",78,NA,2.777,25.168,37.924,72.303,84.5,53.293,"H",40,"Class1"
"H",74,25,49.713,25.355,26.265,82.863,29.052,19.539,"A",57,"Class4"
"Y",77,83,44.69,17.824,14.866,40.122,81.291,57.057,"E",82,"Class3"
"T",86,64,3.191,20.111,30.437,52.604,82.946,38.463,"H",41,"Class1"
"Q",91,70,3.845,15.17,81.586,68.42,85.296,39.908,"K",39,"Class1"
"P",43,67,35.796,60.965,53.252,40.921,48.62,96.919,"L",71,"Class2"
"Z",29,59,76.212,61.109,37.473,44.215,53.125,90.996,"L",69,"Class2"
"Y",78,69,54.378,20.062,18.442,37.956,72.562,44.112,"T",72,"Class3"
"T",73,67,41.142,22.921,11.261,39.708,67.643,31.956,"M",84,"Class3"
"T",89,74,3.852,25.092,79.187,71.347,81.273,22.899,"X",41,"Class1"
"Y",66,64,56.645,22.668,4.323,45.525,76.379,46.684,"E",80,"Class3"
"T",90,82,7.276,34.43,64.156,69.715,85.281,43.958,"K",42,"Class1"
"T",81,59,37.403,23.532,7.496,43.724,76.847,44.364,"T",82,"Class3"
"W",30,66,50.354,60.883,28.889,39.356,57.098,89.971,"H",62,"Class2"
"G",84,26,20.472,23.466,16.745,56.38,50.446,19.737,"L",63,"Class4"
"P",30,58,55.651,59.711,13.688,44,48.133,94.567,"H",58,"Class2"
"P",43,NA,83.496,60.87,47.609,43.372,50.606,95.363,"I",64,"Class2"
"T",80,63,62.402,19.855,14.837,42.819,91.68,37.295,"X",NA,"Class3"
"G",92,24,2.647,20.286,81.938,76.259,81.378,51.044,"F",41,"Class1"
"M",33,60,72.786,60.113,22.682,39.952,53.993,90.145,"L",73,"Class2"
"G",25,24,46.529,24.03,26.933,79.723,69.455,20.228,"L",57,"Class4"
"D",37,56,61.086,60.47,14.086,43.195,58.308,89.849,"R",59,"Class2"
"G",86,57,4.086,27.713,19.304,82.106,85.01,60.646,"K",39,"Class1"
"H",72,NA,61.1,21.748,46.09,66.193,10.224,19.364,"L",73,"Class4"
"Z",45,68,68.405,60.33,39.989,42.203,56.498,93.511,"P",56,"Class2"
"H",37,29,80.605,11.922,51.255,81.355,48.015,21.081,"V",53,"Class4"
"P",31,61,79.821,60.42,32.162,42.311,53.716,90.25,"H",69,"Class2"
"Q",82,72,2.989,16.938,27.52,63.549,81.167,60.222,"K",44,"Class1"
"W",37,62,72.663,60.634,56.241,39.588,51.382,92.206,"L",58,"Class2"
"E",77,31,66.633,18.953,15.055,82.751,73.829,20.167,"L",36,"Class4"
"P",29,57,45.443,59.95,20.735,40.085,54.737,93.419,"I",67,"Class2"
"H",78,NA,62.965,21.535,51.306,53.734,65.472,18.929,"K",60,"Class4"
"Y",94,NA,37.134,27.534,18.032,36.934,87.325,39.889,"T",73,"Class3"
"I",92,76,1.66,29.302,71.525,49.543,83.683,45.175,"H",39,"Class1"
"Q",86,35,3.964,19.227,35.12,77.613,85.706,81.307,"H",45,"Class1"
"P",40,61,58.804,60.054,46.45,41.429,53.73,91.405,"I",66,"Class2"
"Z",44,67,63.702,60.403,33.747,38.379,45.081,95.108,"P",65,"Class2"
"Q",83,24,3.497,29.003,35.846,57.8,81.977,65.272,"K",39,"Class1"
"M",43,56,68.218,60.847,51.032,38.868,53.921,87.975,"P",60,"Class2"
"T",93,45,43.289,26.597,7.555,41.809,91.207,39.245,"C",63,"Class3"
"G",78,81,2.727,32.569,27.075,37.103,85.762,42.981,"N",41,"Class1"
"F",75,43,34.533,31.885,11.344,44.701,73.482,39.528,"T",86,"Class3"
"G",41,31,68.01,15.328,17.784,58.74,53.697,19.366,"A",7,"Class4"
"P",29,59,53.744,60.51,22.336,39.165,45.768,92.275,"P",NA,"Class2"
"W",29,63,63.764,59.69,37.084,40.481,55.886,94.269,"L",62,"Class2"
"D",43,56,69.23,60.751,15.125,41.078,48.784,97.221,"H",63,"Class2"
"D",44,64,26.853,60.42,55.756,41.466,45.448,91.643,"P",NA,"Class2"
"D",31,65,34.226,60.392,20.203,43.879,54.725,90.609,"R",69,"Class2"
"D",37,62,63.354,60.293,35.673,40.765,49.419,94.104,"H",61,"Class2"
"E",64,NA,44.451,15.129,7.333,43.573,88.095,35.245,"M",71,"Class3"
"M",33,67,72.853,60.338,18.281,42.404,51.5,89.287,"L",NA,"Class2"
"E",72,27,74.88,28.328,5.591,85.709,70.686,19.713,"V",69,"Class4"
