"C1","C2","C3","C4","C5","C6","C7","C8","Output2","C9","C10","C11"
58,"V",48.94,4.495,96,"N",56.123,43,"Class4",63.115,77.487,32.216
42,"L",71.306,63.435,71,"I",80.498,22,"Class2",55.259,45.772,NA
58,"Y",38.191,4.46,95,"M",61.717,63,"Class4",43.38,42.288,29.768
31,"X",43.326,4.32,91,"K",46.398,39,"Class4",49.396,69.241,26.673
9,"D",18.344,86.394,87,"H",12.597,67,"Class1",39.574,85.479,38.788
6,"A",55.247,88.177,80,"Y",18.444,65,"Class1",59.774,77.81,59.411
55,"U",62.953,73.47,81,"O",80.222,36,"Class2",55.562,45.868,94.667
46,"F",22.544,73.261,36,"R",-1.055,70,"Class3",82.932,58.325,84.059
43,"F",16.796,67.734,44,"R",47.288,14,"Class3",79.036,50.78,84.232
38,"H",89.584,65.35,57,"O",80.081,40,"Class2",55.695,45.851,95.454
39,"X",40.285,4.013,93,"N",50.849,38,"Class4",71.09,69.648,41.154
9,"Q",38.509,86.193,83,"B",11.262,66,"Class1",60.259,79.861,65.708
42,"F",51.075,73.788,36,"C",-2.887,11,"Class3",82.694,42.769,84.297
55,"Z",62.366,67.401,44,"U",-8.642,41,"Class3",92.754,59.288,84.911
69,"H",59.687,63.621,66,"W",80.129,48,"Class2",56.651,45.025,94.247
52,"B",26.88,64.354,39,"U",39.498,64,"Class3",77.292,61.571,84.937
15,"M",71.544,76.084,79,"O",79.683,44,"Class2",55.814,45.711,94.354
43,NA,55.939,3.437,96,"M",36.603,54,"Class4",71.362,71.452,46.701
46,"C",55.642,67.385,27,"C",62.337,89,"Class3",88.025,68.877,84.207
42,"V",34.885,3.882,95,"K",53.8,40,"Class4",57.211,46.452,NA
37,"Y",28.059,67.646,62,"I",81.397,36,"Class2",56.373,45.218,93.748
49,"Z",38.526,57.009,39,"I",24.762,21,"Class3",80.173,65.04,84.687
24,"Y",31.327,73.554,76,"W",79.831,20,"Class2",55.294,45.148,92.784
54,"B",51.125,68.085,36,"C",64.319,12,"Class3",96.233,47.149,84.918
63,"M",83.846,52.456,78,"W",81.111,30,"Class2",54.257,45.285,93.196
31,"Y",78.108,69.563,87,"L",80.225,42,"Class2",54.129,45.136,90.66
9,"X",23.03,76.397,84,"Y",17.332,60,"Class1",59.012,84.247,64.421
51,"C",46.935,74.413,41,"U",48.161,8,"Class3",79.132,26.686,84.831
9,"Q",50.749,86.576,85,"I",19.172,77,"Class1",60.85,86.118,65.222
54,"G",47.189,2.955,93,"R",49.372,37,"Class4",66.513,52.317,20.989
52,"B",39.161,70.262,40,"U",41.257,54,"Class3",87.534,39.982,84.662
57,"V",25.459,4.625,92,"K",52.965,45,"Class4",43.803,65.395,21.298
36,"Y",55.636,4.462,93,"K",51.325,61,"Class4",71.218,47.654,44.702
48,"X",59.078,3.834,91,"N",64.292,48,"Class4",43.858,34.613,50.097
73,"H",95.847,78.152,81,"I",80.52,30,"Class2",55.663,45.447,90.61
38,"V",1.76,4.717,93,"L",58.862,53,"Class4",60.037,37.495,35.836
49,NA,76.301,54.798,66,"O",80.603,36,"Class2",55.217,45.838,94.842
61,"X",45.44,4.661,95,"L",55.573,55,"Class4",56.587,53.474,38.16
44,"B",30.408,78.005,30,"U",58.847,54,"Class3",82.432,64.299,84.832
57,"Z",40.459,68.243,43,"U",25.187,71,"Class3",85.585,70.236,84.901
48,"U",20.021,62.224,40,"U",26.751,67,"Class3",87.147,29.821,84.395
52,"C",55.337,64.551,31,"I",22.438,47,"Class3",81.163,69.125,84.382
67,"M",33.597,60.995,57,"O",81.02,26,"Class2",55.281,45.77,94.31
8,"H",43.217,79.858,75,"H",25.571,54,"Class1",61.805,81.193,59.989
10,"H",66.193,84.251,86,"Y",20.118,45,"Class1",56.775,77.571,36.044
54,"C",3.693,66.535,34,"C",43.748,16,"Class3",90.142,59.578,84.902
25,"Y",44.989,51.16,87,"I",80.98,42,"Class2",54.161,45.464,93.711
8,"X",61.152,75.878,85,"Y",21.533,52,"Class1",61.74,87.5,64.845
53,"Y",70.593,70.133,84,"L",80.249,27,"Class2",54.206,45.321,92.927
45,"P",16.908,5.263,92,"K",46.143,44,"Class4",55.932,75.263,25.237
37,"P",73.219,3.431,96,"L",67.47,61,"Class4",67.018,68.24,28.852
75,"U",100.82,60.576,84,"W",79.828,36,"Class2",54.475,45.77,95.391
61,"H",56.24,45.915,97,"H",79.53,36,"Class2",54.472,45.884,94.859
32,"G",59.474,4.6,94,"K",43.745,57,"Class4",49.656,34.855,29.962
18,"Y",54.283,73.027,91,"O",81.433,24,"Class2",55.33,45.111,90.418
55,"X",44.47,3.922,96,"M",55.747,61,"Class4",53.986,70.808,35.286
57,"L",45.971,56.674,55,"I",78.533,44,"Class2",56.839,45.154,94.338
8,"Q",38.75,84.388,81,"L",9.489,47,"Class1",39.333,86.728,43.775
57,"Z",50.187,67.283,34,"R",37.185,50,"Class3",77.806,27.159,84.819
6,"Q",35.425,77.949,85,"Y",29.183,77,"Class1",46.735,76.641,47.352
46,"U",27.031,71.295,27,"A",16.206,42,"Class3",78.153,74.448,84.515
8,"H",31.992,78.261,83,"B",12.742,52,"Class1",50.195,87.634,71.531
6,"A",48.878,77.722,86,"I",21.982,62,"Class1",55.421,84.631,72.812
6,"A",42.793,82.154,88,"L",18.021,75,"Class1",38.962,82.756,43.795
51,"X",46.064,4.124,93,"R",59.627,63,"Class4",65.41,40.544,23.093
24,"X",61.154,4.472,92,"N",53.989,61,"Class4",75.662,60.97,38.867
9,"Q",32.116,85.797,91,"Y",19.301,52,"Class1",58.954,85.089,41.421
47,"Z",50.619,64.237,31,"U",62.11,36,"Class3",92.865,33.184,84.924
15,"L",65.562,70.326,79,"W",78.83,36,"Class2",54.977,45.313,90.104
42,"U",35.51,61.71,27,"A",38.378,9,"Class3",90.022,50.189,84.913
43,"F",31.691,64.465,38,"I",36.157,90,"Class3",90.438,38.054,84.13
7,"D",46.203,72.667,75,"L",17.814,47,"Class1",47.704,77.136,46.086
32,"L",97.811,66.439,71,"O",79.824,46,"Class2",55.849,45.787,94.175
25,"H",75.272,71.01,59,"W",80.06,22,"Class2",54.488,45.379,95.116
51,"B",35.744,63.677,32,"A",40.432,66,"Class3",95.718,56.123,84.627
23,"L",58.096,70.141,64,"L",79.172,48,"Class2",54.248,45.599,91.863
60,"M",48.63,69.569,88,"I",80.964,41,"Class2",56.053,45.52,95.728
51,"Z",7.703,66.736,44,"A",13.768,75,"Class3",91.509,44.141,84.272
56,"B",31.524,63.824,34,"U",36.438,23,"Class3",88.497,28.079,84.377
10,"H",46.552,85.81,86,"I",20.167,68,"Class1",37.208,88,37.788
40,"G",44.96,4.14,93,"M",48.97,46,"Class4",44.839,77.788,28.703
74,"U",58.058,72.817,76,"L",80.526,20,"Class2",55.22,45.055,91.494
52,"B",48.724,72.117,38,"I",60.056,57,"Class3",92.517,68.185,84.727
30,"L",74.7,80.98,68,"L",79.772,21,"Class2",55.448,45.463,90.804
56,NA,35.934,4.308,91,"M",51.679,65,"Class4",58.49,78.252,31.083
31,"Y",14.367,3.57,91,"M",42.389,62,"Class4",43.661,39.229,50.532
35,"H",73.067,68.184,59,"I",80.136,40,"Class2",55.96,45.932,92.952
48,"U",53.466,72.132,40,"R",34.727,84,"Class3",86.397,74.372,84.04
43,"U",76.7,72.372,73,"H",79.252,36,"Class2",56.118,45.664,94.863
58,"P",3.324,3.808,93,"R",54.327,42,"Class4",74.802,73.948,33.193
58,"G",45.784,3.92,91,"L",46.358,62,"Class4",64.7,68.656,33.937
5,"A",41.926,76.521,91,"B",18.119,71,"Class1",49.092,84.559,52.22
6,NA,33.455,85.355,85,"L",16.563,51,"Class1",46.478,81.972,71.608
10,"X",40.165,78.628,91,"B",16.267,63,"Class1",53.127,87.243,71.895
35,"L",42.969,65.689,91,"I",79.518,38,"Class2",54.404,45.228,94.816
10,"X",48.158,68.595,91,"I",25.721,48,"Class1",56.869,79.287,44.323
52,"Z",30.274,68.248,41,"C",33.209,12,"Class3",84.051,45.839,84.986
33,"Y",38.498,3.617,92,"M",48.522,65,"Class4",75.226,56.875,34.891
53,"M",26.787,66.585,58,"L",80.651,35,"Class2",56.028,45.963,90.895
53,"Z",19.329,65.687,39,"I",67.676,80,"Class3",80.701,52.552,84.947
53,"U",39.368,70.662,57,"O",78.494,22,"Class2",56.564,45.368,92.572
5,"D",42.561,79.162,85,"Y",11.668,45,"Class1",61.279,86.39,43.284
59,"G",27.93,3.126,93,"M",65.94,47,"Class4",43.514,53.356,47.8
49,"X",50.893,3.471,94,"M",46.77,38,"Class4",71.91,34.262,NA
57,"Z",38.625,65.146,30,"C",60.216,77,"Class3",92.118,35.48,84.876
52,"Y",21.991,5.289,96,"M",51.359,55,"Class4",64.983,45.495,42.314
46,"B",39.595,64.719,32,"R",42.739,84,"Class3",83.622,67.405,84.567
51,"Z",59.018,55.371,42,"U",7.62,55,"Class3",80.589,58.392,84.253
63,"X",41.28,5.219,93,"M",45.817,63,"Class4",73.182,44.045,28.528
9,"A",61.708,78.335,87,"L",14.766,72,"Class1",50.974,76.548,69.666
46,"U",18.416,71.518,31,"C",-24.535,58,"Class3",77.854,71.378,84.223
6,NA,47.394,89.261,76,"I",16.882,45,"Class1",45.142,85.027,51.594
8,"H",31.981,83.291,81,"I",14.703,69,"Class1",42.575,87.225,NA
50,"Z",41.803,61.348,39,"U",56.415,37,"Class3",78.791,42.748,84.439
36,"G",79.558,5.354,93,"R",50.502,47,"Class4",72.938,42.484,38.595
54,NA,63.604,61.959,81,"W",81.697,38,"Class2",56.755,45.309,95.714
68,"L",80.73,66.479,89,"O",79.451,37,"Class2",54.381,45.605,94.254
8,"D",42.462,81.13,82,"Y",13.204,44,"Class1",64.066,77.637,63.809
14,"H",79.152,63.383,61,"L",79.858,49,"Class2",56.406,45.654,95.07
54,"F",43.943,70.96,41,"I",-4.595,61,"Class3",84.543,48.234,84.531
44,"L",76.776,82.638,89,"L",79.893,47,"Class2",55.064,45.47,94.973
32,"X",40.96,3.091,92,"K",57.111,42,"Class4",51.856,72.338,46.374
10,"A",48.287,86.001,93,"L",19.302,66,"Class1",37.003,77.855,33.359
37,"X",47.83,4.988,95,"M",53.034,59,"Class4",48.495,40.479,43.601
5,"X",50.901,71.712,83,"L",11.566,65,"Class1",48.754,80.062,59.256
43,"C",17.668,67.569,42,"U",-11.611,91,"Class3",94.003,64.837,84.628
53,"B",20.043,67.266,34,"A",60.464,52,"Class3",83.145,44.061,84.125
25,"V",66.45,3.204,91,"M",43.791,54,"Class4",51.621,75.017,25.69
43,"L",42.571,58.502,90,"W",80.119,40,"Class2",55.371,45.523,92.368
10,"X",23.367,81.536,87,"Y",12.563,73,"Class1",55.75,81.811,38.723
49,"P",51.314,3.61,95,"K",56.01,48,"Class4",70.462,74.795,25.876
40,"X",56.384,4.919,91,"M",43.706,52,"Class4",63.116,64.929,24.76
66,"H",44.228,80.661,70,"O",80.85,21,"Class2",56.402,45.29,95.225
47,"B",41.186,58.724,28,"I",41.139,22,"Class3",95.751,38.315,84.552
30,"V",44.203,4.066,95,"R",39.773,57,"Class4",44.626,60.575,31.814
46,"Z",57.163,60.74,43,"U",48.52,31,"Class3",82.567,61.521,84.08
10,"D",32.353,76.041,81,"L",25.357,67,"Class1",64.49,78.284,61.364
18,"L",61.417,64.043,79,"O",79.827,25,"Class2",56.055,45.087,90.875
6,"Q",43.025,78.503,93,"Y",8.082,63,"Class1",64.585,78.225,37.738
16,"M",63.287,59.959,82,"O",80.84,41,"Class2",56.652,45.162,94.501
38,"U",71.284,82.529,72,"W",80.563,39,"Class2",56.303,45.87,91.713
31,"H",49.558,64.221,69,"L",80.483,21,"Class2",55.108,45.524,94.497
5,"X",58.455,68.613,87,"B",21.721,63,"Class1",37.808,80.113,38.908
52,"C",28.228,67.864,41,"U",61.895,83,"Class3",96.474,31.831,84.185
63,"X",29.224,4.584,91,"N",47.893,53,"Class4",49.948,67.009,36.81
63,"V",54.551,3.913,96,"R",58.596,48,"Class4",53.215,75.23,35.825
34,"Y",34.898,3.72,96,"N",44.932,48,"Class4",55.606,36.955,41.745
6,"H",50.813,86.544,77,"B",25.539,51,"Class1",61.746,78.226,46.682
36,"X",44.824,3.338,92,"R",47.904,45,"Class4",57.681,65.903,20.759
78,"H",75.383,67.299,95,"O",79.072,47,"Class2",54.147,45.709,90.723
9,"A",46.309,90.219,76,"L",14.06,55,"Class1",52.429,77.623,71.403
52,"G",37.091,3.64,93,"N",58.109,63,"Class4",71.257,71.521,46.949
65,"L",81.655,66.22,78,"O",81.755,24,"Class2",56.175,45.398,91.658
52,"F",41.999,54.981,29,"C",7.323,34,"Class3",94.928,72.905,84.116
6,"D",38.992,79.478,76,"B",16.198,79,"Class1",59.838,84.78,44.448
44,"X",92.878,3.541,96,"N",58.06,51,"Class4",57.51,47.969,41.35
52,"C",43.151,67.596,35,"A",-0.927,76,"Class3",90.533,66.104,84.134
6,"Q",57.018,85.877,82,"Y",12.673,66,"Class1",37.897,76.355,NA
66,"M",47.438,77.176,55,"W",80.31,46,"Class2",54.199,45.09,NA
47,"F",77.021,68.036,36,"I",5.523,50,"Class3",89.988,64.6,84.372
61,"L",77.171,60.585,69,"L",81.296,30,"Class2",55.224,45.864,92.964
6,"X",38.739,80.919,83,"L",17.489,49,"Class1",47.684,83.886,45.934
47,"U",32.409,65.203,39,"R",24.957,85,"Class3",90.454,33.984,84.806
68,"Y",27.378,75.708,60,"L",79.704,20,"Class2",54.002,45.998,93.05
9,"A",45.102,85.689,76,"Y",24.977,55,"Class1",39.684,87.027,68.083
29,"V",82.48,5.345,93,"L",38.086,43,"Class4",50.206,60.876,34.76
29,"Y",68.29,4.974,96,"M",48.31,53,"Class4",62.933,70.106,38.317
42,"X",38.193,2.69,92,"L",45.42,51,"Class4",76.322,41.103,46.339
48,"F",51.048,69.096,29,"A",33.131,22,"Class3",93.329,60.77,84.414
44,"B",40.067,58.034,44,"R",26.487,59,"Class3",92.443,29.685,84.87
49,"U",68.394,57.161,79,"O",79.505,27,"Class2",54.878,45.643,90.775
5,"Q",48.465,78.103,88,"L",14.091,59,"Class1",49.307,85.267,63.638
5,NA,45.406,84.077,77,"B",15.525,56,"Class1",61.181,87.007,68.521
24,"G",37.352,5.113,92,"L",48.076,46,"Class4",51.014,73.248,NA
67,"Y",56.146,75.483,91,"W",80.109,21,"Class2",54.709,45.437,95.993
9,"X",42.969,83.387,79,"H",17.889,51,"Class1",42.965,79.953,53.195
6,"D",33.004,76.311,89,"I",13.687,52,"Class1",64.46,80.626,59.314
56,"P",57.399,3.27,91,"N",54.907,51,"Class4",71.976,47.873,45.178
38,"L",80.659,82.528,63,"H",79.736,26,"Class2",56.36,45.21,91.213
55,"Z",40,70.53,42,"R",36.734,53,"Class3",78.06,30.765,84.509
9,NA,45.611,90.438,89,"I",18.136,47,"Class1",42.04,76.936,43.755
8,"H",46.931,76.895,93,"B",11.837,73,"Class1",53.917,85.639,58.602
67,"H",67.532,74.732,97,"I",80.001,35,"Class2",54.41,45.887,90.375
6,NA,47.433,78.353,85,"Y",11.16,49,"Class1",37.025,84.954,70.327
55,"G",66.553,3.856,94,"N",64.585,42,"Class4",47.526,45.369,47.611
50,"F",38.812,60.821,43,"I",62.448,54,"Class3",78.454,66.87,84.498
38,"Y",54.022,63.744,80,"I",80.256,40,"Class2",56.85,45.512,95.267
5,"D",46.667,78.576,91,"H",24.513,74,"Class1",59.762,85.022,64.964
27,"X",25.604,3.874,95,"K",48.571,65,"Class4",63.898,38.927,40.106
7,"X",49.847,85.05,76,"Y",15.307,61,"Class1",46.753,82.819,49.441
56,"Y",32.847,3.787,92,"L",49.252,59,"Class4",74.969,38.557,22.668
48,"V",55.304,4.26,93,"L",56.848,37,"Class4",65.541,42.854,24.163
79,"L",39.271,66.189,76,"H",80.002,39,"Class2",54.864,45.867,95.016
57,"F",16.796,58.251,40,"U",61.578,73,"Class3",78.973,54.335,84.842
54,"C",43.312,61.953,39,"R",28.471,31,"Class3",94.882,34.058,84.689
50,"B",49.613,58.017,30,"A",8.086,23,"Class3",91.772,39.165,84.664
59,"L",61.105,61.047,96,"W",80.738,38,"Class2",56.025,45.362,90.857
5,"Q",39.986,81.664,88,"H",20.272,70,"Class1",40.119,84.838,65.125
56,"Y",57.985,60.712,54,"L",80.353,37,"Class2",54.334,45.048,93.897
7,"X",55.641,82.98,92,"I",25.718,61,"Class1",46.033,85.327,42.571
7,"X",43.631,86.453,89,"H",16.749,56,"Class1",62.578,79.522,51.943
38,"H",53.433,73.317,85,"H",79.323,49,"Class2",54.1,45.032,91.409
23,"H",61.129,64.313,75,"O",79.905,35,"Class2",54.47,45.579,93.107
48,"Z",32.68,69.55,41,"R",11.842,14,"Class3",77.181,46.105,84.751
59,"G",56.646,4.578,95,"L",52.721,49,"Class4",68.114,56.148,NA
54,"V",7.023,3.649,91,"K",44.37,41,"Class4",76.301,38.865,22.419
43,"C",27.285,73.197,36,"R",58.833,37,"Class3",81.794,39.202,84.469
49,"G",88.46,4.725,96,"K",50.231,55,"Class4",47.635,50.346,22.114
44,"X",36.878,4.981,92,"M",61.677,55,"Class4",55.689,54.628,22.913
7,"H",48.814,74.499,83,"Y",24.66,64,"Class1",44.733,79.036,58.864
50,"U",34.357,61.715,39,"C",38.358,77,"Class3",94.926,73.37,84.985
45,"F",32.245,64.145,30,"U",31.387,50,"Class3",84.533,43.594,84.092
24,"Y",54.023,3.78,94,"R",41.413,62,"Class4",58.323,63.075,27.961
32,NA,44.193,4.207,93,"R",56.502,52,"Class4",43.894,66.006,29.949
63,"U",81.812,68.181,81,"I",79.627,35,"Class2",55.91,45.166,91.512
24,"V",16.318,2.772,96,"M",50.66,51,"Class4",54.965,49.374,36.871
9,"X",40.806,79.688,91,"Y",28.919,80,"Class1",51.987,79.213,57.013
5,"D",57.586,89.209,77,"I",19.395,68,"Class1",43.044,82.832,48.283
55,"G",35.955,3.168,94,"L",44.043,46,"Class4",47.369,51.354,25.765
49,"U",35.511,58.856,38,"R",33.689,43,"Class3",81.559,50.574,84.186
8,NA,32.443,82.006,89,"Y",22.474,69,"Class1",55.288,83.808,39.289
9,"Q",54.845,69.231,78,"I",13.913,65,"Class1",51.229,85.083,37.707
53,"B",39.221,63.414,44,"R",65.968,59,"Class3",78.592,43.523,84.901
47,"B",36.627,68.934,44,"U",9.247,63,"Class3",78.079,69.929,84.371
51,"P",26.964,3.16,95,"K",48.142,61,"Class4",52.37,48.702,21.481
55,"U",32.337,60.337,27,"U",32.164,82,"Class3",94.535,51.511,84.307
6,"H",26.537,85.478,89,"L",14.846,53,"Class1",58.244,78.932,41.192
43,"L",66.098,79.767,77,"W",79.769,25,"Class2",54.46,45.832,91.398
19,"H",39.686,81.18,93,"I",80.635,30,"Class2",56.065,45.883,94.643
26,"X",30.605,4.555,91,"L",52.127,49,"Class4",45.105,61.53,41.266
72,NA,93.156,66.651,68,"W",79.793,25,"Class2",55.688,45.811,95.706
40,"Y",25.032,3.379,96,"K",53.909,65,"Class4",53.159,43.014,40.046
40,"X",52.388,4.375,94,"N",48.242,49,"Class4",48.427,74.191,42.273
9,"X",26.645,81.835,80,"I",10.458,57,"Class1",54.741,81.212,46.692
9,"Q",49.997,77.958,91,"I",14.562,66,"Class1",60.704,83.296,38.152
63,"X",46.324,3.89,94,"L",60.237,38,"Class4",46.945,77.177,43.455
52,"Z",48.048,59.349,37,"C",50.346,72,"Class3",79.099,26.707,84.998
6,"A",36.186,74.067,87,"B",28.864,75,"Class1",50.212,76.858,71.802
56,"C",48.528,61.2,28,"R",-21.093,55,"Class3",82.125,24,84.063
7,"X",45.719,86.006,93,"Y",10.928,47,"Class1",44.732,82.778,69.771
6,"X",38.759,75.294,76,"L",18.014,55,"Class1",52.601,85.752,NA
10,"D",44.61,87.235,82,"H",13.2,80,"Class1",42.917,87.901,37.507
56,"X",56.898,3.768,92,"M",53.959,50,"Class4",45.159,47.384,43.871
30,"U",63.49,73.174,69,"O",79.566,25,"Class2",55.652,45.58,92.966
45,"Z",39.199,70.87,36,"R",34.018,78,"Class3",83.732,45.599,84.193
55,"B",44.767,56.273,44,"R",14.941,63,"Class3",92.113,70.856,84.733
37,"L",60.789,72.565,80,"O",79.943,46,"Class2",56.7,45.237,94.647
45,"C",38.105,57.238,31,"R",52.767,12,"Class3",86.254,65.034,84.014
43,"B",40.525,65.491,35,"U",66.571,67,"Class3",84.38,40.913,84.913
32,"U",34.532,39.963,82,"W",79.776,45,"Class2",54.089,45.151,91.641
25,"P",31.704,4.714,91,"N",53.015,54,"Class4",43.968,69.762,37.156
8,"X",54.133,79.762,83,"I",13.986,57,"Class1",63.057,82.563,45.913
5,"D",45.193,82.751,76,"I",11.275,76,"Class1",54.845,86.683,46.314
24,"X",24.784,4.35,91,"L",32.591,52,"Class4",76.452,52.302,NA
49,"V",45.836,3.897,94,"M",59.201,50,"Class4",69.755,54.226,35.165
60,"G",57.428,4.281,91,"R",50.541,38,"Class4",51.688,78.152,48.584
34,"Y",57.021,3.455,96,"L",64.214,52,"Class4",65.676,46.572,22.345
8,"Q",47.08,77.111,83,"B",18.082,73,"Class1",45.307,86.387,36.868
5,"X",39.195,84.089,92,"L",19.454,72,"Class1",45.082,80.884,66.299
54,"U",44.999,66.973,39,"I",17.715,19,"Class3",80.786,43.834,84.668
66,"L",34.851,68.593,73,"I",80.134,49,"Class2",56.334,45.267,94.372
57,"Z",53.789,53.098,41,"U",13.803,84,"Class3",92.824,57.928,84.095
46,"F",45.085,63.475,40,"U",41.458,79,"Class3",85.923,50.801,84.798
8,NA,43.141,72.568,82,"Y",18.054,79,"Class1",39.388,79.108,69.123
25,"X",9.555,2.854,93,"R",43.669,60,"Class4",45.694,78.882,26.059
63,"P",40.592,4.054,95,"R",36.325,49,"Class4",74.89,72.59,47.743
32,"Y",32.477,4.958,95,"M",42.276,65,"Class4",69.307,41.519,22.08
8,"Q",45.499,73.518,91,"Y",18.228,75,"Class1",48.137,84.279,37.877
52,"F",34.847,67.246,34,"I",91.203,62,"Class3",78.233,34.745,84.101
48,"U",19.643,69.08,30,"I",32.278,61,"Class3",84.539,40.023,84.529
51,"F",30.746,65.679,41,"U",25.6,82,"Class3",82.368,59.46,84.765
41,"P",63.001,3.207,96,"L",48.171,45,"Class4",49.782,47.264,44.172
6,NA,53.792,86.092,84,"I",11.317,73,"Class1",37.386,77.542,52.37
29,"V",10.533,3.52,94,"R",39.589,54,"Class4",56.911,62.513,18.563
10,"D",58.15,82.864,90,"I",26.12,70,"Class1",38.094,85.971,51.613
23,"L",38.386,56.526,59,"O",80.638,35,"Class2",55.89,45.673,91.154
52,"M",47.454,80.525,83,"H",79.01,36,"Class2",56.334,45.195,90.777
58,"L",83.111,54.262,87,"L",79.116,31,"Class2",55.087,45.028,95.123
57,"F",41.197,61.433,28,"C",66.476,45,"Class3",85.215,71.987,84.428
5,"D",47.807,80.115,80,"L",10.855,77,"Class1",52.924,87.661,65.439
5,"X",59.442,78.283,77,"L",22.983,48,"Class1",59.714,77.069,55.326
7,"D",38.431,90.846,75,"B",20.925,77,"Class1",64.289,79.381,60.635
62,"G",48.12,3.619,91,"R",31.828,42,"Class4",58.092,37.653,18.473
