"H1","H2","Output7","H3","H4","H5","H6","H7","H8","H9","H10","H11"
65,98.64,"Class2",74.63,38.962,37,24.433,34.896,"O",3.643,"Y",4
48,37.592,"Class1",86.106,62.188,46,49.388,45.627,"Y",81.851,"V",76
33,94.931,"Class2",68.718,63.335,37,12.428,18.55,"X",3.239,"U",6
27,7.88,"Class1",81.605,37.738,67,48.121,21.784,"A",91.628,"U",12
89,91.515,"Class2",73.626,65.803,44,5.267,13.87,"O",3.476,"U",3
52,16.57,"Class1",76.248,68.128,49,48.012,34.56,"E",88.304,"R",12
62,98.102,"Class2",64.268,85.429,40,19.395,18.931,"W",3.409,"G",4
33,93.055,"Class2",83.856,32.431,40,5.423,31.143,"X",3.169,"Q",2
37,94.53,"Class2",81.794,31.909,42,17.624,11.513,"T",3.408,"Y",4
57,95.349,"Class2",74.191,53.557,34,2.457,28.982,"K",3.482,"Y",2
42,31.267,"Class1",80.071,8.702,66,49.33,22.335,"Q",79.96,"V",76
33,48.526,"Class1",81.722,70.348,54,49.742,47.187,"A",88.802,"V",85
27,37.066,"Class1",87.657,20.055,42,49.154,41.572,"A",90.009,"L",46
74,90.176,"Class2",80.091,31.19,44,8.854,35.221,"T",3.728,"Q",4
50,99.753,"Class2",63.631,79.11,43,5.057,31.69,"T",3.798,"U",4
52,95.628,"Class2",68.404,101.361,35,22.216,18.138,"T",3.534,"G",4
60,96.461,"Class2",68.797,43.735,40,10.244,17.464,"W",3.135,"Q",3
49,41.572,"Class1",81.324,24.011,46,49.699,42.55,"A",83.718,"L",26
59,20.5,"Class1",80.91,34.4,48,48.486,32.292,"E",81.596,"L",35
36,-6.95,"Class1",74.099,46.584,12,48.186,51.679,"Y",83.327,"V",65
26,92.802,"Class2",69.311,49.333,39,16.808,33.422,"X",3.063,"Y",3
57,95.629,"Class2",78.512,90.045,35,8.601,11.861,"T",3.834,"U",5
27,41.389,"Class1",76.665,69.577,52,48.318,27.443,"Q",84.782,"U",11
68,95.013,"Class2",72.519,29.087,36,23.097,34.154,"W",3.167,"Q",5
28,93.613,"Class2",72.767,106.475,37,19.014,26.974,"W",3.775,"U",2
22,17.122,"Class1",79.129,97.424,19,49.998,38.351,"Y",88.071,"V",53
45,14.742,"Class1",87.675,73.016,13,49.919,38.288,"Y",92.737,"L",45
82,94.563,"Class2",73.294,17.261,37,12.863,13.083,"W",3.57,"Q",5
87,94.565,"Class2",69.401,26.799,39,7.423,12.504,"O",3.252,"Q",2
19,34.599,"Class1",69.478,33.937,57,48.524,29.817,NA,89.61,"L",72
20,-1.393,"Class1",80.614,67.056,41,48.823,29.789,NA,79.336,"R",35
55,89.06,"Class2",71.096,74.471,43,2.786,28.342,"X",3.035,"Q",5
72,97.693,"Class2",70.799,72.017,45,21.361,29.844,"T",3.403,"Q",3
27,40.028,"Class1",84.482,NA,67,48.55,48.816,"S",79.231,"L",73
21,34.678,"Class1",86.464,38.39,65,48.48,42.897,"Q",87.281,"U",97
87,93.285,"Class2",76.28,60.913,36,19.737,18.517,"W",3.199,"F",2
46,58.971,"Class1",87.294,77.966,33,48.689,28.081,"Y",84.982,"U",28
20,93.457,"Class2",71.22,65.704,38,11.761,14.652,"W",3.867,"G",4
62,86.455,"Class2",65.717,47.459,39,12.78,13.332,"W",3.809,"U",3
22,28.636,"Class1",84.523,63.235,55,49.233,23.413,"S",80.206,"R",36
59,32.74,"Class1",82.722,48.922,32,48.53,13.079,"S",87.196,"C",25
25,30.052,"Class1",82.594,NA,35,48.692,44.987,"E",85.037,"U",26
53,96.139,"Class2",68.228,78.566,33,21.07,22.34,"X",3.462,"U",5
25,92.71,"Class2",76.122,43.643,41,24.845,27.449,"O",3.66,"Y",2
23,35.125,"Class1",77.989,53.353,23,49.802,52.999,"Y",86.359,"L",79
34,17.857,"Class1",86.386,37.489,36,48.164,41.805,"S",86.309,"V",66
19,96.101,"Class2",69.715,54.524,45,6.221,12.387,"W",3.071,"Q",4
31,96.689,"Class2",70.885,32.982,35,20.903,35.034,"X",3.957,"Y",2
45,40.229,"Class1",86.321,62.703,54,48.445,34.635,"S",91.455,"C",49
31,98.258,"Class2",68.754,39.668,36,13.7,31.176,"T",3.954,"Q",3
19,95.301,"Class2",72.984,48.54,43,4.647,28.158,"O",3.141,"Q",2
50,38.21,"Class1",69.927,50.922,37,48.723,40.866,"Q",82.776,"L",50
66,93.715,"Class2",73.998,103.639,33,12.288,15.615,"W",3.11,"Q",6
56,93.827,"Class2",72.657,126.026,39,11.27,29.505,"X",3.893,"F",4
70,97.52,"Class2",74.419,89.787,38,26.418,16.542,"W",3.356,"Q",3
64,90.125,"Class2",73.061,62.485,37,4.58,12.777,"K",3.227,"F",5
37,53.219,"Class1",80.891,34.85,21,49.169,11.191,"Q",92.854,"U",43
20,5.322,"Class1",81.555,30.931,44,49.14,51.931,"Y",87.906,"L",27
22,93.991,"Class2",74.623,76.914,44,15.302,33.549,"K",3.493,"F",3
79,94.973,"Class2",68.541,50.353,44,17.988,32.552,"W",3.029,"U",4
45,91.796,"Class2",70.947,50.773,37,16.017,34.681,"W",3.226,"U",5
30,40.808,"Class1",75.292,63.44,52,48.839,13.105,"S",78.098,"L",46
34,95.018,"Class2",75.139,23.955,33,12.04,34.27,"T",3.77,"G",4
59,41.873,"Class1",76.717,36.624,56,49.014,39.609,"Y",85.599,"U",51
27,-4.326,"Class1",87.738,48.42,12,48.1,23.859,"Q",78.241,"R",9
33,43.335,"Class1",77.302,46.531,47,49.928,14.573,"Y",77.138,"L",58
37,90.936,"Class2",75.374,48.642,43,16.486,31.245,"X",3.65,"G",2
35,26.633,"Class1",85.49,43.688,17,49.475,43.626,"S",83.675,"L",27
45,89.187,"Class2",68.975,40.603,44,2.241,30.549,"O",3.429,"G",3
40,95.009,"Class2",72.527,66.281,45,7.816,14.281,"T",3.57,"F",5
69,96.791,"Class2",72.741,66.764,39,8.346,15.885,"X",3.86,"Y",4
26,94.412,"Class2",73.367,42.316,39,20.504,11.744,"O",3.204,"Q",5
88,99.844,"Class2",73.26,75.83,37,6.448,35.883,"O",3.085,"Y",2
38,25.059,"Class1",85.219,60.795,19,49.673,39.698,"E",92.619,"U",25
28,36.924,"Class1",91.058,63.647,42,49.308,51.859,"E",80.195,"R",51
52,97.84,"Class2",69.612,64.528,42,5.088,29.484,"O",3.373,"G",4
28,51.56,"Class1",76.843,33.638,54,48.237,41.124,"Q",88.125,"R",96
66,95.603,"Class2",67.824,51.299,35,20.227,13.468,"K",3.113,"U",6
24,34.092,"Class1",77.715,40.772,12,49.753,47.992,"S",78.465,"C",13
25,13.966,"Class1",86.785,54.46,50,49.371,48.798,"Y",90.939,"V",60
29,20.762,"Class1",86.492,NA,56,48.465,57.256,"A",88.137,"C",3
87,95.894,"Class2",74.123,83.952,44,3.569,20.11,NA,3.393,"Q",5
81,89.295,"Class2",74.716,37.58,33,1.733,35.458,"X",3.64,"U",3
77,96.048,"Class2",71.285,74.744,33,25.387,34.584,"W",3.22,"U",5
86,92.23,"Class2",79.146,86.477,42,8.347,28.087,"T",3.098,"G",5
44,44.861,"Class1",81.694,63.662,57,48.32,55.436,"E",85.404,"U",89
22,14.537,"Class1",75.541,61.007,35,48.975,33.248,"A",84.686,"U",2
43,95.22,"Class2",69.109,89.636,46,14.409,31.067,"X",3.368,"U",5
23,96.313,"Class2",71.369,64.078,33,14.115,15.906,"X",3.028,"Q",6
86,94.831,"Class2",75.698,93.929,40,11.335,13.558,"O",3.874,"Y",4
87,97.722,"Class2",69.492,87.709,40,7.967,15.06,"W",3.785,"F",2
38,96.242,"Class2",74.851,26.659,38,10.705,14.769,"O",3.231,"G",4
28,92.487,"Class2",66.914,11.767,46,1.415,15.854,"T",3.389,"G",2
26,96.951,"Class2",70.576,132.996,33,24.041,26.125,"O",3.273,"Y",2
78,91.492,"Class2",74.196,85.107,43,22.842,23.226,"K",3.935,"F",5
33,96.019,"Class2",65.487,48.935,33,5.525,34.627,"W",3.589,"F",5
83,93.38,"Class2",66.604,19.906,46,15.686,32.637,"O",3.125,"F",3
51,98.361,"Class2",77.544,70.81,35,2.919,15.268,"O",3.009,"F",3
19,95.536,"Class2",69.161,32.822,39,5.012,13.756,"X",3.362,"F",3
59,97.468,"Class2",70.255,40.108,38,1.6,31.588,"T",3.56,"U",3
21,91.87,"Class2",64.35,NA,40,18.525,20.496,"W",3.301,"F",4
55,9.005,"Class1",79.773,38.18,55,48.879,30.22,"Y",90.407,"R",57
58,11.813,"Class1",75.051,49.138,65,49.947,23.215,"S",78.03,"V",79
23,34.869,"Class1",81.405,37.713,25,48.267,25.649,"Q",92.247,"V",34
26,18.749,"Class1",83.092,NA,28,48.453,34.855,"E",86.073,"R",80
63,96.229,"Class2",67.682,28.237,36,5.058,13.46,"T",3.817,"U",4
43,22.866,"Class1",86.872,36.937,64,48.578,57.99,"E",87.928,"C",40
29,34.859,"Class1",84.567,NA,33,48.529,15.556,"S",87.513,"V",1
68,93.952,"Class2",73.106,43.567,38,20.631,30.694,"W",3.158,"F",4
20,8.648,"Class1",84.538,52.106,62,49.591,26.995,"A",80.21,"L",48
50,43.369,"Class1",82.108,19.151,46,49.518,31.074,"E",84.708,"L",78
39,77.417,"Class1",81.228,44.267,46,49.748,15.294,"S",83.326,"R",83
57,99.019,"Class2",67.558,72.48,42,14.313,26.393,"W",3.954,"Q",6
47,51.492,"Class1",77.433,59.451,37,48.562,20.48,"A",84.327,"L",36
31,60.994,"Class1",75.765,42.859,27,49.207,21.462,"S",77.576,"V",46
78,94.359,"Class2",66.063,79.971,46,14.705,27.194,"O",3.293,"F",4
20,96.513,"Class2",72.47,17.955,36,22.479,20.726,"O",3.868,"U",3
41,90.937,"Class2",66.846,29.009,39,12.261,23.449,"X",3.417,"G",2
38,96.786,"Class2",76.758,102.069,44,24.255,16.061,"T",3.897,"G",5
41,55.794,"Class1",86.75,58.507,61,48.154,36.664,"A",83.899,"U",32
36,7.136,"Class1",88.972,33.896,49,48.065,13.911,"Y",92.002,"V",64
23,95.32,"Class2",72.737,25.04,42,18.524,17.258,NA,3.979,"Q",6
29,44.537,"Class1",81.606,26.104,38,48.552,57.376,"Y",78.471,"L",66
55,41.712,"Class1",83.214,21.089,13,48.181,30.955,"S",84.623,"R",35
66,99.768,"Class2",69.225,36.825,45,13.824,18.184,"T",3.149,"G",4
47,53.594,"Class1",86.163,15.627,50,49.761,29.002,"A",91.613,"U",34
34,26.805,"Class1",78.154,NA,21,48.029,10.69,"A",91.272,"U",40
46,27.887,"Class1",74.679,44.973,68,48.651,47.055,"Y",86.671,"L",53
61,96.826,"Class2",67.629,31.51,46,15.66,11.469,"W",3.512,"Q",6
58,94.19,"Class2",66.766,46.007,42,7.741,16.328,"K",3.078,"G",3
38,38.902,"Class1",83.984,26.731,21,48.273,27.073,"A",85.614,"R",21
34,97.876,"Class2",72.19,81.402,41,13.359,27.18,"X",3.545,"U",5
87,96.447,"Class2",76.955,91.739,46,6.184,20.059,NA,3.284,"Y",5
59,24.61,"Class1",83.097,64.276,67,48.323,43.173,"A",83.659,"C",8
49,41.182,"Class1",76.213,86.923,61,49.254,35.651,"S",84.406,"L",35
88,97.387,"Class2",80.299,40.783,34,23.354,29.545,"K",3.347,"U",2
89,88.877,"Class2",70.751,83.849,42,17.421,28.382,"X",3.609,"Y",6
85,97.866,"Class2",73.867,98.035,37,6.734,18.838,"X",3.409,"G",4
23,28.718,"Class1",78.936,71.741,48,48.728,24.167,"Y",90.731,"C",67
23,27.237,"Class1",84.985,19.259,31,49.77,57.21,"Q",90.784,"L",23
57,94.826,"Class2",72.306,50.375,43,5.894,27.933,"W",3.752,"U",6
61,57.546,"Class1",85.224,23.011,42,49.631,28.554,"S",87.325,"R",32
68,91.399,"Class2",77.964,64.34,36,17.85,26.8,"O",3.176,"F",3
47,29.506,"Class1",80.44,10.058,41,48.013,17.063,"Y",90.961,"C",39
76,95.115,"Class2",75.426,104.886,45,22.796,33.833,"X",3.627,"U",3
31,36.632,"Class1",80.872,7.331,37,48.998,16.257,"Q",83.236,"C",27
24,14.576,"Class1",77.266,72.938,21,49.062,49.806,"A",86.323,"U",52
87,91.189,"Class2",81.1,67.187,34,11.245,31.882,"X",3.228,"Y",3
22,48.327,"Class1",80.078,66.009,63,49.893,35.818,"A",78.478,"V",13
46,36.825,"Class1",81.489,49.918,28,49.352,45.78,"Y",92.765,"V",94
44,19.077,"Class1",82.635,75.261,16,48.969,46.855,"Q",79.778,"V",40
63,92.88,"Class2",64.448,39.802,44,9.691,31.178,"K",3.4,"U",3
90,90.116,"Class2",72.636,59.579,43,11.036,11.006,"W",3.795,"F",6
91,94.434,"Class2",75.016,20.083,42,2.426,32.379,"T",3.907,"Q",6
60,21.711,"Class1",75.199,20.737,63,48.924,40.419,"S",88.334,"V",62
54,19.906,"Class1",75.98,94.251,65,49.786,22.289,"E",89.836,"U",93
59,33.381,"Class1",79.697,74.946,61,49.766,34.346,NA,91.371,"R",21
47,24.685,"Class1",87.753,25.059,27,48.599,48.016,"S",79.291,"L",79
56,17.556,"Class1",88.524,46.246,51,48.519,51.036,NA,86.46,"C",24
26,43.964,"Class1",87.295,40.621,34,49.281,24.326,"E",86.738,"R",77
25,20.352,"Class1",85.442,70.123,54,49.261,10.963,"A",86.756,"V",19
25,37.534,"Class1",80.852,55.085,53,48.79,51.453,"E",79.534,"V",67
36,93.229,"Class2",79.7,3.083,44,22.577,17.661,"W",3.37,"F",6
36,19.66,"Class1",80.7,66.158,67,49.075,57.361,NA,83.154,"L",10
21,52.358,"Class1",81.886,66.035,60,48.488,47.018,"Y",79.227,"V",94
24,23.475,"Class1",86.275,39.089,41,49.735,36,"Q",90.955,"L",54
21,44.438,"Class1",83.331,25.862,22,48.881,31.397,"Q",78.435,"R",31
37,53.875,"Class1",77.258,86.465,44,49.561,41.739,"E",89.129,"L",11
37,25.467,"Class1",83.063,52.671,17,48.565,55.918,"S",77.738,"L",72
44,29.563,"Class1",75.873,35.31,16,48.186,15.736,"S",78.963,"C",45
42,90.822,"Class2",68.078,96.127,37,9.386,26.693,"O",3.334,"G",6
34,43.037,"Class1",87.99,52.945,40,49.799,28.292,"Y",81.647,"L",97
46,40.321,"Class1",80.391,64.117,41,48.722,32.974,"Q",89.369,"U",36
31,49.361,"Class1",82.01,67.364,14,48.981,44.338,"Q",91.167,"L",18
44,31.265,"Class1",81.01,60.207,23,49.102,39.92,"Q",77.724,"V",44
41,6.394,"Class1",79.115,25.196,32,49.245,54.089,"Y",89.887,"V",83
36,19.494,"Class1",77.911,56.999,59,49.374,17.122,"A",89.833,"U",85
31,92.337,"Class2",68.224,53.126,42,3.579,31.245,NA,3.302,"G",3
41,92.797,"Class2",69.518,29.002,39,8.659,21.583,"W",3.428,"Q",5
50,40.792,"Class1",74.633,13.065,32,48.996,20.277,"E",82.312,"U",59
81,99.474,"Class2",62.929,15.367,38,25.002,18.892,"X",3.696,"Q",2
52,95.806,"Class2",80.777,59.377,45,7.343,16.937,"T",3.204,"Y",6
35,91.246,"Class2",78.562,-26.444,34,25.055,33.685,"X",3.502,"Y",6
58,95.022,"Class2",71.154,NA,33,10.728,13.683,"K",3.9,"Q",4
57,94.26,"Class2",67.702,24.812,46,1.186,17.814,"K",3.492,"G",3
48,29.978,"Class1",77.216,54.051,26,49.226,35.016,"S",91.642,"V",7
59,50.749,"Class1",83.079,25.597,31,49.015,57.918,"A",86.531,"R",64
28,23.771,"Class1",79.777,53.507,47,49.109,37.049,"A",88.007,"C",67
86,93.894,"Class2",71.794,-1.962,36,13.201,32.452,"O",3.087,"G",4
43,54.792,"Class1",82.24,61.952,31,48.648,48.516,"Y",87.077,"C",51
65,94.068,"Class2",77.828,88.834,37,1.608,22.671,"O",3.338,"Y",5
60,18.481,"Class1",76.322,49.616,26,49.585,24.029,"A",84.009,"V",26
34,33.429,"Class1",79.974,57.628,37,49.749,27.991,"A",79.995,"U",80
41,98.254,"Class2",79.067,57.503,44,12.392,24.628,NA,3.395,"G",4
43,28.382,"Class1",79.26,67.248,49,49.5,48.527,"Y",82.258,"U",49
28,47.85,"Class1",83.296,70.3,23,48.28,41.281,"E",84.641,"R",82
57,95.382,"Class2",73.669,81.296,39,6.938,13.302,"W",3.208,"U",3
21,96.959,"Class2",69.962,29.038,34,19.633,15.938,"X",3.886,"F",5
36,45.157,"Class1",87.475,58.05,52,49.015,25.608,"Q",81.055,"R",3
41,44.399,"Class1",93.678,68.233,22,49.512,16.773,"E",79.872,"U",97
55,94.129,"Class2",74.327,80.275,46,10.043,20.166,"X",3.657,"F",5
22,55.968,"Class1",84.965,56,51,49.458,32.036,"Y",77.359,"V",5
27,93.822,"Class2",67.395,80.978,45,5.057,18.97,"O",3.771,"U",4
40,33.292,"Class1",80.176,71.619,57,48.688,43.575,"S",83.009,"R",97
31,5.903,"Class1",86.452,48.437,61,48.869,50.552,"Y",89.857,"R",66
45,10.911,"Class1",80.989,87.178,68,48.129,17.289,"A",84.825,"L",81
57,25.07,"Class1",74.767,46.931,12,48.761,22.396,"A",87.785,"V",53
85,96.388,"Class2",77.188,56.854,34,21.179,26.987,"X",3.628,"F",2
32,53.421,"Class1",73.995,27.736,33,48.363,52.726,"Y",87.295,"V",55
21,95.378,"Class2",65.491,40.202,42,11.971,28.949,"W",3.547,"U",3
46,16.249,"Class1",85.416,58.651,35,49.016,57.894,"Y",77.501,"V",70
29,94.866,"Class2",72.02,81.243,36,13.178,26.049,"O",3.751,"F",5
