"M1","Output12","M2","M3","M4","M5","M6","M7","M8","M9","M10","M11"
20.37,"Class1",72.396,72.697,64.838,29,"F",14,74.16,51.44,18,"Y"
49.78,"Class3",29.699,28.586,79.508,56,"D",68,27.131,23.84,25,"Q"
60.91,"Class2",18.007,73.288,78.222,90,"L",18,78.094,78.951,37,"H"
19.195,"Class1",44.36,NA,65.405,23,"E",18,71.267,59.728,25,"Y"
50.504,"Class3",27.108,28.931,35.225,60,"O",66,26.819,21.207,20,"B"
48.831,"Class2",6.662,7.837,80.254,32,"V",13,55.079,78.814,37,"T"
NA,"Class1",51.501,60.875,73.862,36,"F",21,80.858,88.834,19,"U"
36.082,"Class3",29.556,27.99,-3.212,75,"U",84,42.759,25.522,21,"Q"
54.685,"Class3",32.214,28.255,56.531,84,"U",68,29.436,19.148,26,"D"
56.581,"Class2",9.359,0.346,62.358,92,"K",32,37.06,80.292,37,"K"
NA,"Class3",25.151,31.741,39.446,60,"J",84,10.934,24.761,20,"B"
47.455,"Class3",32.067,27.835,50.153,64,"J",75,7.688,25.303,28,"A"
11.01,"Class1",76.172,63.92,14.723,8,"Q",12,74.907,53.328,16,"Y"
34.777,"Class3",28.567,30.088,13.383,56,"J",60,51.304,21.533,27,"B"
34.549,"Class3",32.101,29.443,8.263,57,"U",60,14.083,34.243,26,"A"
10.056,"Class1",71.311,63.879,60.385,29,"Q",2,84.791,2.734,6,"I"
56.742,"Class2",11.849,73.222,28.284,65,"M",9,84.868,80.054,38,"I"
16.059,"Class1",48.714,67.242,50.834,32,"S",3,74.555,57.291,10,"Z"
12.613,"Class1",64.084,68.975,5.631,33,"B",6,71.496,39.493,14,"Z"
14.564,"Class1",50.945,70.547,57.045,33,"Q",22,81.943,44.237,10,"N"
NA,"Class1",55.2,61.142,71.615,18,"F",17,81.969,76.027,12,"U"
22.758,"Class1",49.114,60.596,39.335,29,"E",10,87.273,71.987,10,"Z"
62.575,"Class2",9.811,83.115,94.59,80,"K",22,96.221,76.964,37,"T"
72.329,"Class2",6.659,9.654,94.366,56,"E",24,84.721,79.243,38,"Z"
35.608,"Class3",30.061,32.479,72.674,58,"O",73,59.549,21.14,27,"B"
41.037,"Class3",26.487,30.052,9.974,75,"U",62,70.256,26.758,28,"B"
24.502,"Class1",73.504,NA,-43.081,25,"F",3,74.578,13.944,18,"I"
20.212,"Class1",59.129,65.683,85.275,19,"E",10,85.688,41.91,20,"N"
14.24,"Class1",49.352,69.554,54.046,11,"Q",17,75.977,47.994,15,"I"
37.863,"Class3",31.655,29.301,28.394,64,"J",61,63.266,28.183,25,"B"
15.895,"Class1",72.042,61.407,75.17,38,"F",7,79.529,48.507,5,"Z"
50.042,"Class2",14.054,30.683,35.667,90,"K",34,38.936,83.268,37,"Z"
NA,"Class2",10.995,-3.868,76.668,39,"K",53,52.315,79.269,37,"T"
51.876,"Class3",28.567,27.662,83.937,81,"J",78,59.17,9.69,22,"B"
39.725,"Class3",25.844,30.54,68.595,59,"J",69,47.304,26.093,26,"U"
55.785,"Class2",15.058,49.346,101.776,28,"V",11,49.606,76.644,38,"T"
48.834,"Class3",29.81,28.537,52.736,67,"X",61,19.101,34.524,24,"U"
NA,"Class2",18.979,72.055,43.475,69,"E",16,67.111,81.097,38,"I"
56.599,"Class3",32.63,27.771,113.486,59,"O",70,39.98,15.787,20,"Q"
17.582,"Class1",42.799,69.636,69.007,14,"Q",7,84.031,69.101,25,"N"
44.624,"Class3",30.506,28.096,73.052,66,"J",64,56.165,11.904,25,"Q"
48.602,"Class3",27.614,34.374,56.2,55,"U",64,55.36,22.873,29,"D"
34.121,"Class3",26.379,33.742,53.636,65,"D",81,30.101,21.132,28,"D"
65.328,"Class2",16.392,13.651,66.946,27,"L",53,89.889,77.282,37,"I"
40.112,"Class3",28.835,28.661,87.642,57,"U",76,31.869,19.458,30,"A"
57.25,"Class2",17.758,55.645,102.707,88,"E",42,36.793,80.458,37,"T"
58.872,"Class2",17.678,34.271,75.862,84,"L",50,84.18,80.592,38,"T"
10.771,"Class1",57.835,66.168,47.983,29,"Q",21,67.644,38.744,17,"N"
35.349,"Class3",26.653,30.015,62.763,75,"O",61,9.464,15.404,23,"D"
14.457,"Class1",47.756,61.221,60.285,29,"S",21,75.556,3.698,23,"U"
54.857,"Class3",31.7,30.461,40.6,59,"D",74,20.565,12.717,27,"Q"
57.535,"Class2",18.059,120.711,67.805,95,"M",27,60.095,80.297,38,"I"
37.261,"Class3",25.677,29.475,67.203,93,"O",64,47.902,24.242,22,"U"
73.871,"Class2",12.749,4.104,47.757,60,"L",50,65.994,83.397,38,"Z"
21.432,"Class1",75.067,61.117,66.548,22,"F",9,78.492,37.137,25,"U"
13.722,"Class1",75.087,72.76,10.538,22,"F",12,84.937,-7.21,20,"Z"
24.873,"Class1",60.311,65.098,21.265,26,"Q",19,71.35,6.264,18,"N"
70.005,"Class2",7.27,16.536,69.008,97,"V",10,53.908,78.579,37,"Z"
41.791,"Class3",32.168,32.046,38.628,82,"J",77,23.097,16.42,28,"Q"
13.85,"Class1",52.34,60.156,65.952,30,"E",16,83.868,52.645,22,"N"
62.586,"Class2",6.781,79.433,61.151,21,"L",37,94.86,81.112,38,"K"
NA,"Class2",10.63,-17.037,80.99,24,"E",10,96.11,80.659,38,"I"
13.659,"Class1",54.289,69.163,50.684,22,"E",22,77.949,63.862,20,"Z"
19.578,"Class1",69.886,NA,53.423,26,"Q",23,88.729,17.168,10,"I"
52.199,"Class2",11.988,82.583,62.355,76,"E",21,44.374,79.724,38,"I"
36.35,"Class3",32.968,29.469,37.607,75,"O",72,48.927,18.262,30,"A"
NA,"Class2",10.425,13.368,79.902,22,"E",17,67.07,84.587,38,"Z"
NA,"Class1",76.014,69.176,9.854,25,"F",5,69.728,57.535,21,"N"
73.457,"Class2",16.667,76.387,103.841,72,"K",49,77.1,79.665,37,"K"
20.02,"Class1",52.869,64.04,0.822,29,"E",3,78.909,44.621,11,"Y"
49.94,"Class2",13.685,14.612,95.97,82,"L",28,49.467,79.562,38,"Z"
54.852,"Class2",18.141,55.362,71.949,39,"L",4,91.031,80.176,37,"T"
45.73,"Class3",32.13,30.698,68.043,81,"O",76,38.357,19.612,24,"D"
50.204,"Class2",11.566,-10.559,66.603,32,"V",31,51.866,81.274,38,"I"
14.52,"Class1",45.393,64.831,46.871,29,"Q",15,72.825,42.803,9,"U"
50.772,"Class2",8.47,37.376,43.973,85,"M",14,69.615,85.817,37,"K"
12.526,"Class1",64.054,64.869,92.522,34,"E",6,75.897,64.799,24,"Z"
44.968,"Class3",31.58,34.538,24.033,64,"U",68,59.974,27.232,29,"D"
45.303,"Class3",26.724,30.281,65.761,83,"D",81,68.918,28.396,32,"B"
48.927,"Class3",26.183,29.972,93.874,76,"X",71,16.122,29.895,32,"Q"
15.72,"Class1",54.407,74.214,28.081,32,"Q",16,83.875,21.615,24,"N"
71.974,"Class2",14.864,53.367,66.066,83,"M",13,71.673,82.295,38,"Z"
51.218,"Class3",28.551,33.024,89.594,92,"J",70,8.993,20.267,22,"B"
15.759,"Class1",45.329,55.551,4.37,32,"F",2,74.799,20.748,18,"N"
10.764,"Class1",43.042,64.434,43.048,12,"S",10,76.586,23.505,21,"N"
56.184,"Class3",28.716,29.119,79.509,57,"J",84,52.349,17.912,22,"B"
40.346,"Class3",31.483,32.348,62.102,71,"U",77,58.831,29.927,26,"U"
41.015,"Class3",27.584,29.522,32.805,70,"O",74,7.035,22.98,30,"B"
54.943,"Class3",32.615,29.615,45.113,82,"X",77,51.277,17.659,28,"Q"
72.968,"Class2",8.918,58.734,80.118,55,"V",25,80.521,88.046,37,"T"
15.827,"Class1",56.378,67.225,31.124,15,"F",17,84.095,17.852,25,"Z"
15.776,"Class1",67.626,62.898,29.176,28,"F",11,76.196,69.321,15,"N"
53.947,"Class3",32.12,27.436,69.12,89,"X",76,7.481,36.941,29,"Q"
49.747,"Class3",32.657,31.212,69.74,90,"O",81,55.152,28.768,32,"D"
36.011,"Class3",25.982,29.975,78.635,73,"J",67,46.515,28.749,24,"U"
55.076,"Class3",27.351,30.657,32.946,60,"O",62,15.47,18.432,26,"Q"
48.239,"Class3",25.46,30.271,81.515,80,"U",80,23.98,25.996,32,"Q"
71.078,"Class2",7.012,37.2,57.336,71,"L",26,46.692,83.644,38,"Z"
49.661,"Class3",31.518,30.611,61.64,64,"J",76,46.465,12.724,32,"A"
14.335,"Class1",47.588,63.072,4.451,15,"E",20,65.891,59.46,18,"Y"
58.688,"Class2",17.837,81.8,86.173,31,"M",26,63.959,80.214,38,"H"
54.449,"Class2",7.351,NA,87.962,25,"M",51,94.808,81.646,38,"Z"
53.491,"Class3",25.713,29.303,49.332,77,"J",75,21.142,29.291,24,"U"
35.502,"Class3",26.894,29.901,79.05,84,"X",63,33.138,23.926,28,"A"
71.587,"Class2",17.533,15.517,76.478,47,"E",18,90.007,82.495,37,"H"
45.639,"Class3",31.726,27.75,28.03,88,"O",71,48.829,30.702,23,"A"
75.695,"Class2",13.496,74.596,78.733,80,"M",9,94.999,74.917,38,"H"
37.412,"Class3",27.038,30.723,27.909,86,"O",80,30.081,18.512,23,"Q"
23.464,"Class1",56.044,65.212,36.436,22,"F",11,70.172,16.008,21,"Z"
34.488,"Class3",27.732,NA,41.019,84,"X",60,56.405,25.923,32,"Q"
73.887,"Class2",6.577,34.947,45.111,91,"K",19,51.108,80.59,37,"K"
11.072,"Class1",67.354,59.71,53.545,38,"F",6,71.033,25.582,8,"Y"
54.146,"Class3",27.111,28.252,97.996,89,"U",72,40.129,22.576,26,"D"
13.308,"Class1",46.247,69.098,66.317,17,"F",6,79.067,34.803,26,"Y"
53.199,"Class2",16.728,50.423,59.753,91,"K",16,97.93,82.854,37,"T"
21.331,"Class1",57.983,67.162,105.47,9,"F",16,71.889,67.003,7,"I"
56.619,"Class3",25.571,28.03,62.03,62,"X",60,59.434,25.705,20,"B"
48.6,"Class2",10.973,69.397,68.699,61,"E",13,48.426,80.663,37,"Z"
49.897,"Class2",18.737,54.208,68.048,81,"L",26,84.444,82.556,38,"K"
50.558,"Class2",16.99,49.445,65.635,48,"M",17,52.182,81.311,37,"K"
46.917,"Class3",27.072,31.569,79.786,88,"U",68,63.465,24.899,32,"Q"
43.09,"Class3",30.458,28.027,87.622,61,"D",69,64.85,21.132,23,"U"
19.839,"Class1",57.215,65.481,58.669,9,"F",21,81.466,11.969,5,"Y"
44.762,"Class3",27.035,29.277,77.449,74,"X",79,8.325,23.608,25,"D"
53.015,"Class2",15.809,56.48,52.72,36,"L",6,70.362,81.762,37,"Z"
71.388,"Class2",11.028,55.935,98.804,68,"K",23,79.998,80.535,38,"K"
71.533,"Class2",8.217,NA,93.948,70,"K",49,94.212,82.841,38,"K"
20.631,"Class1",46.441,60.893,-22.404,33,"F",9,82.928,58.813,23,"N"
10.385,"Class1",52.262,70.664,16.528,31,"Q",19,78.692,38.755,4,"N"
18.225,"Class1",63.125,59.001,72.571,38,"Q",22,85.3,59.538,8,"Z"
55.095,"Class2",8.302,NA,38.602,66,"V",10,37.905,79.448,38,"K"
46.583,"Class3",31.533,31.61,61.494,69,"D",62,61.898,22.491,27,"A"
43.704,"Class3",25.466,30.561,49.817,74,"O",70,61.211,31.638,27,"A"
38.822,"Class3",26.98,26.874,56.02,86,"X",79,14.764,20.419,24,"D"
38.283,"Class3",32.923,NA,61.664,67,"J",77,44.726,26.539,20,"D"
35.951,"Class3",28.813,32.107,48.584,86,"D",80,63.187,22.149,24,"D"
53.022,"Class3",31.945,33.337,24.188,79,"D",77,7.492,22.898,22,"B"
54.638,"Class2",8.641,40.755,69.65,57,"V",17,52.66,75.712,38,"I"
61.26,"Class2",16.128,43.216,75.309,34,"M",23,76.083,82.855,38,"Z"
51.446,"Class3",28.424,27.675,51.791,77,"O",67,42.092,21.311,22,"D"
15.632,"Class1",76.635,65.845,31.044,36,"S",17,71.79,1.958,15,"Z"
62.905,"Class2",15.546,42.73,57.357,91,"K",39,91.32,82.124,38,"K"
36.331,"Class3",32.474,30.914,29.65,87,"X",78,37.532,19.489,29,"A"
68.701,"Class2",7.205,44.03,44.521,33,"V",46,75.064,83.394,37,"Z"
23.213,"Class1",58.919,71.019,68.016,2,"E",19,66.556,4.631,6,"I"
48.051,"Class3",26.627,29.89,51.275,83,"O",70,54.735,14.45,27,"D"
44.038,"Class3",25.938,29.239,63.515,82,"U",74,49.359,29.272,29,"A"
56.14,"Class2",9.25,NA,65.421,73,"K",22,77.146,78.839,37,"Z"
NA,"Class2",9.439,38.624,75.338,57,"V",56,62.536,81.911,37,"I"
22.88,"Class1",77.87,69.867,96.436,22,"Q",4,75.915,33.447,4,"Y"
49.589,"Class3",28.124,29.132,63.705,90,"J",65,32.5,21.934,26,"A"
71.95,"Class2",6.339,29.628,77.6,63,"K",31,36.762,79.722,38,"I"
22.563,"Class1",64.737,71.377,6.726,9,"E",14,80.622,9.006,9,"Z"
19.05,"Class1",46.332,NA,-3.894,5,"Q",21,68.656,71.742,23,"N"
50.952,"Class2",18.224,65.902,33.704,69,"K",57,88.743,81.364,37,"T"
43.459,"Class3",26.219,30.378,16.467,90,"U",68,19.958,28.394,25,"Q"
12.848,"Class1",73.275,65.753,28.812,36,"E",18,85.887,28.872,12,"N"
11.15,"Class1",61.795,65.043,28.549,36,"E",24,68.436,48.402,22,"Y"
NA,"Class1",47.479,61.611,30.989,11,"B",16,83.646,13.18,21,"U"
36.765,"Class3",27.369,28.615,29.081,90,"X",79,42.49,18.092,26,"A"
17.153,"Class1",45.231,65.833,19.102,17,"S",17,84.837,66.833,7,"N"
40.336,"Class3",28.626,28.403,25.622,64,"J",77,69.04,30.111,31,"B"
64.397,"Class2",16.815,49.604,57.431,48,"L",4,96.83,77.081,37,"T"
50.468,"Class3",30.337,32.68,74.783,85,"X",75,24.375,28.562,20,"Q"
10.321,"Class1",56.522,63.662,86.772,16,"S",13,88.573,63.923,18,"U"
69.319,"Class2",10.062,43.72,85.853,42,"K",46,40.173,81.315,38,"K"
65.156,"Class2",9.656,13.373,49.815,98,"K",13,88.032,78.731,38,"H"
55.753,"Class3",31.14,30.749,22.52,61,"D",60,14.108,7.949,22,"D"
56.822,"Class3",30.392,NA,41.477,60,"X",80,32.367,30.629,29,"Q"
55.31,"Class2",18.266,-22.773,97.032,44,"M",44,47.585,80.398,38,"H"
15.024,"Class1",71.845,64.828,15.12,8,"F",18,89.875,24.705,15,"I"
39.417,"Class3",32.981,28.268,58.969,61,"J",66,31.127,24.198,23,"Q"
51.936,"Class2",7.271,29.507,75.735,89,"M",43,64.846,81.746,37,"T"
59.466,"Class2",6.592,63.639,71.779,35,"K",52,36.928,79.75,38,"H"
16.56,"Class1",44.504,70.952,124.255,7,"B",14,64.136,9.103,6,"Z"
11.982,"Class1",55.069,65.29,30.517,10,"F",20,85.691,15.016,16,"N"
52.135,"Class3",31.2,29.814,59.992,82,"X",76,20.078,38.089,28,"D"
67.091,"Class2",11.639,72.126,81.289,45,"E",37,91.416,79.49,38,"Z"
17.008,"Class1",74.21,57.086,53.996,39,"S",8,70.786,55.141,8,"Y"
52.711,"Class3",25.372,33.092,107.285,91,"U",75,60.123,27.058,31,"U"
48.035,"Class3",29.91,31.647,33.835,80,"U",76,33.755,25.964,28,"Q"
20.128,"Class1",51.253,63.628,48.199,25,"Q",16,72.493,-10.718,14,"N"
70.576,"Class2",8.058,73.479,72.837,85,"L",24,70.524,80.636,37,"Z"
53.935,"Class3",28.611,31.208,49.507,66,"J",69,14.354,16.965,27,"B"
24.596,"Class1",42.047,60.935,16.97,6,"F",19,86.188,29.311,19,"U"
72.676,"Class2",8.939,53.627,77.432,99,"K",37,52.139,80.989,38,"T"
36.378,"Class3",30.355,29.614,58.327,89,"J",64,56.043,29.654,22,"D"
34.119,"Class3",26.343,27.11,54.361,75,"J",80,59.127,9.095,20,"A"
55.573,"Class2",15.436,32.79,38.591,71,"L",34,68.482,78.126,38,"I"
60.625,"Class2",12.366,28.986,71.969,87,"M",14,67.145,81.236,38,"Z"
56.082,"Class2",6.632,53.74,76.894,22,"V",32,72.221,83.882,38,"Z"
75.969,"Class2",9.363,25.835,73.195,30,"E",6,55.679,79.929,37,"I"
57.041,"Class2",12.056,78.918,76.836,35,"M",49,88.379,76.93,38,"K"
54.144,"Class3",31.966,30.03,40.645,58,"U",64,8.535,30.211,30,"U"
72.353,"Class2",18.077,35.238,86.047,85,"E",8,83.205,83.604,38,"I"
45.556,"Class3",30.528,30.468,54.57,76,"O",73,49.534,26.17,22,"A"
51.403,"Class3",30.622,29.866,80.252,82,"X",74,48.59,21.096,21,"B"
24.178,"Class1",71.422,60.029,40.443,5,"S",20,74.788,4.958,16,"Z"
20.907,"Class1",47.715,65.097,67.855,8,"B",22,68.102,34.922,12,"Y"
22.831,"Class1",55.185,69.985,-6.282,27,"B",24,82.458,18.739,22,"U"
35.335,"Class3",25.675,30.467,54.717,70,"U",61,48.022,16.191,26,"A"
22.368,"Class1",46.47,69.402,12.52,34,"F",2,77.467,-2.515,19,"I"
56.396,"Class3",29.478,30.273,74.426,76,"X",70,23.845,26.9,28,"D"
21.352,"Class1",65.781,69.267,23.789,20,"B",6,66.175,29.846,15,"Z"
19.13,"Class1",55.833,61.912,69.82,7,"E",16,64.175,9.716,9,"Z"
56.03,"Class3",31.424,30.585,21.783,82,"J",67,56.997,32.944,20,"D"
70.365,"Class2",14.954,-1.769,75.025,64,"E",26,40.17,80.027,38,"K"
55.83,"Class2",13.183,62.528,98.861,38,"E",40,52.088,80.748,37,"Z"
39.683,"Class3",28.867,26.109,31.768,56,"D",60,48.029,32.787,32,"U"
49.961,"Class3",29.506,29.647,67.446,79,"X",83,57.601,20.896,23,"B"
18.045,"Class1",75.256,65.999,64.66,36,"F",20,85.951,27.776,26,"Y"
21.169,"Class1",62.543,65.688,105.122,12,"E",6,88.457,32.773,25,"N"
50.289,"Class2",8.298,68.699,53.679,38,"L",11,77.912,78.338,37,"I"
13.801,"Class1",72.124,63.043,-35.265,5,"Q",8,76.842,15.52,8,"U"
41.467,"Class3",30.119,31.749,72.515,72,"X",77,24.723,28.425,31,"D"
11.631,"Class1",54.781,63.099,85.831,8,"E",17,84.332,25.142,5,"N"
76.647,"Class2",14.008,31.659,75.55,98,"K",33,67.705,82.735,38,"H"
18.816,"Class1",49.881,67.099,63.786,30,"Q",22,64.737,49.689,13,"U"
74.529,"Class2",8.014,79.235,89.845,39,"M",16,72.475,78.504,38,"T"
15.139,"Class1",46.162,65.232,35.264,17,"F",23,81.993,58.93,24,"I"
49.47,"Class2",6.793,108.178,94.839,63,"M",39,40.435,80.468,38,"H"
65.788,"Class2",17.89,36.729,103.357,85,"E",18,52.812,78.884,37,"I"
10.824,"Class1",51.629,64.785,24.387,11,"E",8,83.071,21.932,5,"Y"
16.953,"Class1",47.375,64.427,85.081,18,"S",22,89.141,31.08,10,"Y"
12.069,"Class1",51.992,73.552,11.408,7,"Q",15,86.648,21.649,5,"Y"
43.687,"Class3",28.143,30.085,67.39,83,"X",69,10.17,18.08,22,"A"
44.814,"Class3",31.471,28.403,103.629,65,"U",68,39.752,14.143,27,"Q"
16.525,"Class1",59.812,74.702,62.974,23,"F",11,72.474,63.575,21,"N"
44.456,"Class3",27.325,30.08,42.459,65,"X",68,12.393,21.952,32,"Q"
48.273,"Class2",12.679,70.542,53.858,55,"M",6,59.771,79.908,38,"T"
14.896,"Class1",47.508,56.314,75.168,33,"F",22,77.074,18.983,11,"Y"
59.55,"Class2",11.832,69.304,65.091,67,"V",18,93.232,81.328,37,"H"
22.858,"Class1",68.187,64.496,27.039,31,"S",10,82.734,67.002,20,"Y"
17.136,"Class1",56.664,71.846,18.87,18,"S",9,81.486,29.644,25,"U"
50.329,"Class2",7.241,30.738,64.436,38,"K",19,80.9,80.502,37,"Z"
62.502,"Class2",17.358,77.42,72.219,93,"L",5,61.739,80.447,37,"K"
24.157,"Class1",72.895,58.871,38.597,22,"E",6,75.233,42.683,14,"Z"
49.153,"Class2",13.189,14.146,46.924,84,"L",52,65.009,80.253,37,"K"
59.653,"Class2",10.228,48.514,74.285,45,"L",23,36.298,83.392,38,"H"
77.839,"Class2",16.924,-29.153,41.674,84,"V",25,96.005,79.839,38,"Z"
50.642,"Class3",27.709,NA,69.178,57,"D",65,13.421,30.951,30,"D"
71.102,"Class2",10.125,69.815,64.887,75,"K",12,39.729,84.686,38,"H"
23.533,"Class1",53.475,63.581,50.751,20,"B",18,69.787,17.647,24,"N"
45.332,"Class3",32.557,30.218,67.917,85,"D",83,13.599,19.901,20,"A"
18.151,"Class1",77.968,61.898,79.219,19,"F",11,69.492,29.754,26,"I"
56.986,"Class3",29.252,27.684,57.182,74,"J",76,63.658,11.556,30,"A"
21.088,"Class1",71.794,65.474,54.199,14,"Q",17,75.797,94.074,15,"U"
16.683,"Class1",60.375,69.214,78.224,8,"E",9,69.034,28.192,8,"Y"
58.724,"Class2",17.815,119.983,63.935,83,"E",31,80.924,83.79,37,"Z"
14.202,"Class1",41.11,62.206,43.069,29,"S",21,86.233,43.489,4,"Z"
50.158,"Class3",25.088,31.396,75.887,86,"O",73,63.81,22.787,23,"Q"
NA,"Class2",15.379,97.525,92.627,29,"M",46,92.834,77.819,38,"I"
18.996,"Class1",52.788,60.152,65.795,29,"B",15,64.448,57.659,11,"U"
17.867,"Class1",62.395,62.89,17.66,16,"F",10,69.98,30.549,13,"N"
41.158,"Class3",27.298,29.027,35.321,81,"J",74,46.2,22.981,29,"U"
21.468,"Class1",77.025,70.062,48.587,12,"F",24,84.075,28.41,23,"Z"
69.024,"Class2",16.768,36.931,80.648,56,"K",41,95.171,78.215,37,"T"
15.219,"Class1",60.44,59.302,13.173,13,"F",23,77.915,44.022,5,"N"
12.81,"Class1",71.668,68.608,11.887,28,"B",14,74.204,53.919,19,"U"
24.315,"Class1",54.003,61.952,10.866,38,"S",21,71.942,6.255,19,"N"
21.172,"Class1",58.348,57.498,21.914,34,"E",16,83.818,76.311,25,"Z"
40.225,"Class3",28.768,30.895,48.415,86,"O",73,17.473,28.372,31,"U"
