"D1","D2","D3","D4","D5","D6","Output3","D7","D8","D9","D10","D11"
45.942,57.811,40.282,26.247,48,70.723,"Class5",88.423,"Y",82,"F",92
76.092,91.235,79.961,70.262,39,28.094,"Class3",22.325,"L",44,"A",12
33.728,51.636,32.694,69.565,46,47.701,"Class4",71.711,"V",60,"I",54
51.242,23.085,59.467,34.876,36,64.406,"Class1",78.513,"M",29,"W",8
13.271,83.392,22.824,63.978,36,37.817,"Class2",84.229,"A",44,"F",60
70.431,85.581,75.786,70.399,33,95.613,"Class3",66.255,"A",45,"S",32
34.99,83.25,26.523,63.939,35,57.87,"Class2",72.598,"P",52,"H",58
54.881,17.745,65.69,25.369,26,66.076,"Class1",49.795,"M",30,"V",32
39.083,48.251,40.682,36.194,52,65.735,"Class5",89.895,"S",83,"N",83
50.815,44.789,32.656,19.231,60,68.677,"Class5",86.285,"C",80,"D",96
90.79,51.235,32.939,70.06,56,52.647,"Class4",63.146,"L",75,"Z",6
92.431,51.098,51.54,70.961,73,27.479,"Class4",63.355,"P",67,"Y",28
84.813,41.437,46.564,26.193,45,66.542,"Class5",89.812,"A",87,"D",98
75.511,68.543,42.407,45.631,36,70.411,"Class5",89.62,"C",81,"F",82
28.614,57.911,61.786,45.16,37,61.983,"Class1",84.252,"A",32,"Q",12
12.892,83.324,20.198,62.976,37,31.939,"Class2",67.828,"A",53,"H",51
87.741,98.882,79.287,70.407,64,13.893,"Class3",67.153,"L",53,"M",30
58.064,48.224,63.729,54.082,28,66.233,"Class1",54.406,"M",30,"M",47
88.032,90.218,82.221,70.454,31,37.208,"Class3",91.961,"L",54,"K",42
33.286,83.193,23.577,64.306,NA,29.626,"Class2",86.345,"P",30,"F",50
51.406,44.344,57.895,72.051,23,65.879,"Class1",58.403,"H",34,"V",10
40.734,83.252,32.545,64.624,35,54.75,"Class2",67.537,"Q",68,"F",57
73.87,79.692,76.395,69.955,44,38.823,"Class3",64.333,"M",69,"K",10
54.406,64.432,46.382,22.31,49,65.935,"Class5",90.456,"A",83,"N",74
84.647,50.663,48.584,70.013,54,65.6,"Class4",69.017,"I",48,"Y",59
56.38,89.633,90.802,71.079,44,52.044,"Class3",95.282,"V",57,"K",37
53.004,62.266,40.255,22.655,38,67.891,"Class5",84.295,"S",86,"E",78
39.244,83.321,24.169,63.503,47,17.87,"Class2",52.668,"B",35,"V",53
40.653,36.629,59.287,2.279,32,NA,"Class1",55.028,"H",29,"W",15
39.841,83.62,29.138,62.904,38,37.881,"Class2",37.23,"B",58,"V",50
62.16,44.882,66.14,38.641,31,63.803,"Class1",49.202,"H",29,"V",17
26.551,83.994,22.299,63.722,35,NA,"Class2",32.918,"F",80,"V",65
53.09,71.869,52.265,18.672,55,68.432,"Class5",97.585,"W",83,"E",57
84.214,81.371,84.557,69.159,34,25.677,"Class3",38.204,"H",57,"A",30
80.468,49.591,36.299,70.457,49,23.326,"Class4",85.471,"V",56,"D",20
27.403,83.438,39.743,62.8,33,57.828,"Class2",62.672,"B",74,"H",50
62.096,80.649,76.394,69.395,25,17.719,"Class3",22.995,"H",76,"A",12
24.937,86.669,67.075,33.709,NA,74.984,"Class1",63.974,"Z",31,"W",30
90.978,51.047,32.953,69.069,75,88.58,"Class4",91.879,"P",76,"C",45
85.397,51.384,-9.954,70.832,42,54.713,"Class4",88.269,"P",79,"C",65
11.598,83.38,46.885,62.248,32,15.464,"Class2",72.089,"F",43,"T",56
69.851,79.668,81.034,69.723,25,20.319,"Class3",50.743,"L",40,"S",42
20.91,39.703,73.69,26.318,29,63.488,"Class1",81.275,"M",31,"P",34
67.352,71.76,39.635,25.191,55,73.623,"Class5",85.309,"C",85,"A",83
41.434,49.218,49.612,22.259,39,72.677,"Class5",96.334,"W",78,"A",66
76.33,49.409,45.419,69.846,76,64.439,"Class4",76.677,"L",53,"Y",12
22.202,83.393,29.223,64.525,33,29.471,"Class2",75.107,"Q",54,"J",55
57.468,72.981,62.454,60.339,22,57.729,"Class1",82.01,"Z",33,"P",33
40.145,83.82,33.116,63.553,33,31.922,"Class2",37.484,"F",43,"T",63
57.984,39.687,53.657,19.206,28,63.816,"Class1",67.855,"M",34,"V",19
52.327,59.287,46.593,17.61,40,NA,"Class5",88.989,"C",86,"E",65
34.95,82.588,58.424,48.149,23,69.213,"Class1",60.088,"Z",29,"M",22
27.832,78.556,62.443,15,37,62.559,"Class1",75.599,"M",34,"V",46
53.864,83.128,63.654,23.053,28,67.025,"Class1",90.388,"H",33,"M",10
86.337,48.925,31.414,69.564,67,NA,"Class4",93.375,"X",75,"I",42
39.66,84.175,63.756,29.255,38,69.477,"Class1",49.363,"S",32,"W",30
37.413,50.419,32.854,69.549,65,81.266,"Class4",87.812,"P",45,"Z",58
88.811,50.541,107.435,70.048,46,68.221,"Class4",72.539,"X",70,"D",6
66.627,93.629,65.233,69.12,36,60.253,"Class3",72.689,"M",69,"S",34
59.019,97.311,74.96,69.401,54,51.037,"Class3",44.095,"A",76,"A",36
68.091,39.383,44.564,35.97,41,NA,"Class5",89.202,"W",77,"A",79
24.51,83.489,35.493,63.076,43,58.087,"Class2",49.939,"F",57,"T",53
70.404,93.951,75.283,71.225,48,NA,"Class3",64.251,"L",51,"K",10
54.507,52.962,49.204,20.983,47,73.102,"Class5",95.602,"C",83,"A",63
39.807,83.298,32.883,62.763,51,28.238,"Class2",60.294,"A",49,"T",62
77.174,82.699,72.42,68.396,48,64.019,"Class3",90.011,"L",58,"K",22
88.332,82.438,81.741,69.109,67,67.667,"Class3",95.606,"M",59,"S",8
92.726,44.296,46.389,30.895,45,72.543,"Class5",91.677,"C",86,"N",86
29.553,77.77,69.122,42.571,37,66.464,"Class1",50.527,"H",30,"Q",45
84.237,47.641,50.189,69.75,90,105.966,"Class4",69.793,"V",68,"Y",33
63.308,48.087,37.978,31.518,38,69.084,"Class5",84.376,"C",80,"E",76
43.849,83.33,34.506,62.544,52,21.007,"Class2",42.79,"A",73,"J",56
59.817,97.965,80.409,66.226,51,46.651,"Class3",43.849,"H",70,"S",13
63.663,87.046,82.617,69.559,37,NA,"Class3",70.24,"L",81,"A",29
94.038,79.654,75.702,68.752,42,60.817,"Class3",80.223,"A",41,"E",8
43.157,83.711,27.806,62.917,43,29.855,"Class2",35.078,"A",30,"F",65
92.771,69.735,50.383,18.361,45,72.69,"Class5",88.07,"C",78,"F",96
14.673,83.634,21.228,62.853,NA,46.098,"Class2",76.435,"P",33,"H",61
40.731,28.818,62.827,39.197,34,70.851,"Class1",60.647,"A",29,"V",11
85.721,45.159,38.387,24.552,51,72.392,"Class5",84.239,"C",82,"F",88
12.595,50.881,34.452,69.253,59,53.571,"Class4",75.019,"I",48,"Z",6
72.511,77.605,88.251,69.509,55,32.311,"Class3",52.833,"L",56,"A",15
57.895,86.306,83.032,70.05,39,30.672,"Class3",95.519,"V",56,"M",41
32.83,47.124,17.495,69.855,95,48.622,"Class4",79.477,"L",80,"C",45
73.027,48.997,34.289,9.818,33,80.864,"Class5",85.29,"S",82,"D",57
23.68,50.337,73.513,23.834,28,61.797,"Class1",48.988,"A",32,"M",34
84.534,57.697,39.202,26.418,53,NA,"Class5",84.498,"S",85,"E",99
53.177,59.055,45.152,22.485,48,64.221,"Class5",87.842,"C",79,"A",59
38.552,83.057,19.733,63.228,33,50.879,"Class2",49.075,"F",56,"H",50
90.951,91.439,83.237,69.32,26,58.005,"Class3",66.525,"H",61,"M",41
52.582,74.544,76.01,68.852,39,33.075,"Class3",21.26,"V",65,"M",34
42.183,52.551,60.194,69.94,31,61.946,"Class4",64.514,"L",78,"Y",11
17.144,83.08,29.348,64.116,42,NA,"Class2",58.022,"B",54,"J",53
72.96,96.256,79.59,68.753,45,35.679,"Class3",50.536,"H",68,"E",29
67.06,48.13,38.088,15.024,NA,67.048,"Class5",94.126,"W",84,"F",59
78.058,52.59,42.385,69.738,37,85.211,"Class4",66.033,"X",49,"D",30
25.509,49.971,21.668,70.181,36,41.06,"Class4",78.762,"L",81,"I",8
46.517,50.995,48.461,70.275,78,64.853,"Class4",86.42,"V",48,"C",7
46.992,65.485,51.279,45.62,21,73.987,"Class1",54.965,"H",31,"Q",30
57.151,70.867,52.932,27.022,60,70.6,"Class5",96.987,"Y",86,"N",78
27.688,40.527,58.874,59.537,29,68.444,"Class1",51.281,"S",28,"M",33
44.241,59.466,45.06,33.803,42,71.934,"Class5",89.265,"Y",77,"E",65
72.294,49.315,46.025,27.897,59,72.501,"Class5",86.727,"A",82,"E",64
54.568,66.598,46.689,15.075,NA,68.432,"Class5",88.038,"C",77,"A",78
35.091,83.891,37.579,65.301,51,25.621,"Class2",66.429,"A",38,"V",53
39.362,59.992,45.985,7.553,46,68.574,"Class5",87.714,"W",82,"F",98
78.322,88.528,78.55,71.376,45,38.137,"Class3",59.677,"A",45,"M",25
31.859,83.186,39.102,64.123,53,80.742,"Class2",79.463,"P",59,"T",63
92.296,41.497,44.165,32.811,50,71.609,"Class5",86.036,"A",80,"A",96
92.611,81.125,82.729,68.518,47,57.002,"Class3",47.395,"M",58,"M",32
17.207,83.298,30.179,62.93,42,NA,"Class2",72.273,"F",35,"H",54
16.311,83.609,34.857,63.072,49,21.391,"Class2",56.579,"A",38,"H",64
39.52,68.015,57.245,42.492,29,64.614,"Class1",61.671,"A",28,"Q",28
88.834,84.018,70.327,70.032,39,53.397,"Class3",75.251,"M",81,"S",18
94.856,53.076,52.098,15.965,57,67.22,"Class5",86.571,"Y",83,"A",83
32.067,32.906,56.762,32.215,22,62.034,"Class1",53.139,"S",34,"W",32
85.587,99.139,77.32,70.385,25,16.249,"Class3",60.793,"L",79,"A",43
78.118,46.181,29.79,15.015,36,69.895,"Class5",94.008,"W",78,"N",81
23.601,86.448,63.547,26.474,36,NA,"Class1",78.006,"Z",31,"M",45
37.609,83.768,33.61,65.206,32,37.181,"Class2",82.142,"A",64,"T",65
