"K1","K2","K3","K4","K5","K6","K7","K8","K9","K10","Output10","K11"
"N",60,38,9.562,83,52.698,13.311,2.9,"P",68.166,"Class4",10.772
"A",51,29,89.904,33,45.226,22.451,72.111,"H",77.704,"Class2",65.828
"A",65,76,69.982,24,54.287,38.844,NA,"C",64.808,"Class2",70.116
"A",70,49,30.238,35,51.197,20.252,69.7,"C",55.024,"Class2",62.813
"Z",63,12,63.047,82,48.946,8.637,11.052,"Y",49.002,"Class4",17.328
"Z",63,11,45.163,85,51.447,12.048,8.202,"H",89.901,"Class4",15.865
"X",61,14,37.671,68,48.246,6.225,11.552,"S",49.95,"Class4",10.318
"V",30,46,98.079,92,65.737,62.403,56.251,"N",9.309,"Class3",56.235
"W",76,66,18.007,82,61.05,92.611,68.436,"Z",31.488,"Class1",57.332
"Z",61,9,34.634,88,47.626,5.834,11.201,"Y",50.089,"Class4",12.556
"M",62,35,75.518,65,54.525,11.414,16.498,"S",29.043,"Class4",12.77
"A",56,48,96.19,91,39.381,56.296,36.766,"K",9.003,"Class3",51.899
"A",49,49,41.13,34,26.609,20.358,74.626,"V",49.947,"Class2",64.226
"E",64,75,-16.727,28,50.143,33.689,73.697,"H",49.976,"Class2",67.961
"X",61,3,22.876,80,54.004,13.779,18.679,"P",45.981,"Class4",8.373
"O",77,55,51.955,25,41.484,4.741,67.596,"U",34.911,"Class2",36.021
"M",71,36,85.259,71,72.425,77.771,59.232,"F",32.335,"Class1",75.391
"A",81,37,88.638,92,76.568,83.976,36.915,"K",6.367,"Class3",69.671
"J",80,79,31.407,78,77.486,84.543,63.091,"V",27.054,"Class1",71.403
"Y",43,45,91.806,92,43.749,90.871,22.051,"R",11.209,"Class3",62.261
"Z",60,28,24.015,71,56.068,11.705,7.769,"H",66.954,"Class4",18.361
"A",70,64,56.1,31,38.847,31.022,76.876,"V",73.641,"Class2",57.009
"Z",60,41,59.44,87,49.326,12.624,18.013,"S",96.213,"Class4",13.97
"I",76,40,96.813,92,78.406,55.524,73.346,"G",3.233,"Class3",40.33
"J",74,55,59.282,86,46.303,84.628,46.639,"F",20.246,"Class1",67.22
"O",56,34,74.73,31,43.971,29.133,69.597,"G",80.946,"Class2",50.443
"E",78,30,47.968,34,60.886,16.267,69.603,"G",39.909,"Class2",42.204
"Z",60,34,59.065,85,56.879,13.772,15.52,"S",70.42,"Class4",8.306
"W",56,41,87.518,90,42.374,68.747,40.667,"O",9.387,"Class3",37.514
"A",21,42,93.289,90,43.434,74.182,68.986,"R",2.694,"Class3",46.558
"O",63,53,24.715,26,49.389,4.962,74.443,"U",74.288,"Class2",70.951
"A",20,46,92.131,91,92.157,74.417,53.811,"N",2.749,"Class3",65.003
"A",61,81,62.193,35,58.835,42.999,69.893,"H",76.509,"Class2",69.934
"G",75,24,73.157,85,51.722,62.464,63.979,"V",25.464,"Class1",82.203
"I",49,38,103.588,92,74.964,91.702,57.603,"K",10.361,"Class3",56.621
"I",60,42,92.61,90,42.681,53.232,51.489,"K",12.142,"Class3",57.176
"J",79,53,94.955,90,64.471,80.362,64.904,"Z",23.208,"Class1",59.717
"X",63,4,57.148,66,56.373,12.877,19.414,"S",27.006,"Class4",10.232
"O",60,39,83.769,24,47.276,4.776,70.246,"G",72.857,"Class2",55.064
"B",63,5,54.13,80,48.632,12.233,15.893,"P",-18.415,"Class4",15.383
"A",26,38,83.713,92,87.016,79.838,NA,"N",4.375,"Class3",60.721
"E",63,52,-1.312,20,34.566,35.09,69.931,"U",92.065,"Class2",71.851
"F",80,16,33.583,60,54.549,60.069,NA,"F",20.682,"Class1",59.403
"M",80,78,32.907,67,85.376,88.001,64.659,"Z",20.871,"Class1",60.481
"Z",60,23,25.492,80,52.435,6.347,13.669,"S",32.201,"Class4",14.068
"N",62,7,50.876,NA,58.768,11.144,8.71,"S",69.416,"Class4",15.527
"M",71,61,51.853,69,42.852,87.08,52.094,"H",41.366,"Class1",69.047
"N",60,32,49.361,86,46.399,10.808,5.679,"S",56.677,"Class4",19.675
"A",34,46,94.261,92,79.234,56.89,57.869,"G",7.272,"Class3",40.951
"V",58,38,90.588,92,86.47,91.252,74.531,"R",9.43,"Class3",79.312
"M",79,74,61.466,70,66.381,81.441,65.149,"V",30.272,"Class1",51.271
"Y",16,39,102.525,92,65.209,85.893,68.818,"K",5.095,"Class3",47.404
"Z",62,2,35.134,65,53.351,13.073,7.584,"Y",30.491,"Class4",9.914
"I",67,54,30.368,25,63.283,44.233,72.179,"G",67.702,"Class2",72.968
"W",23,44,100.135,90,48.864,74.028,78.954,"R",7.837,"Class3",37.707
"M",72,91,56.566,66,47.694,60.125,53.118,"V",23.286,"Class1",68.992
"I",42,46,83,90,86.66,71.223,52.099,"K",9.188,"Class3",45.91
"Z",60,13,47.613,84,49.636,8.877,6.287,"H",83.465,"Class4",9.245
"W",78,38,83.324,84,48.946,83.5,NA,"Z",26.942,"Class1",80.969
"X",60,37,4.163,82,52.899,7.59,-4.646,"P",50.061,"Class4",15.588
"M",62,39,20.98,66,57.18,6.37,3.171,"S",36.986,"Class4",12.723
"E",53,49,65.881,NA,63.245,18.836,67.927,"U",62.357,"Class2",67.103
"V",61,46,90.923,90,66.976,72.919,64.547,"O",8.318,"Class3",35.954
"B",62,35,20.192,72,53.776,8.911,6.129,"H",68.479,"Class4",19.01
"V",16,42,87.025,90,51.799,81.181,49.5,"O",8.783,"Class3",37.329
"Y",33,36,88.764,91,79.286,62.955,75.831,"K",6.73,"Class3",67.971
"T",53,80,7.844,28,32.748,18.165,NA,"G",79.446,"Class2",40.835
"X",61,31,36.858,85,55.693,8.389,21.062,"S",30.947,"Class4",15.155
"M",74,40,32.898,62,42.228,69.526,64.665,"F",28.171,"Class1",85.377
"O",70,30,71.333,25,42.007,38.784,69.073,"H",48.147,"Class2",44.708
"W",80,42,96.81,91,38.748,73.897,68.253,"R",-0.126,"Class3",39.76
"W",76,18,48.884,89,57.021,79.914,51.157,"V",28.386,"Class1",60.035
"A",27,43,94.626,92,65.684,86.782,33.326,"O",10.851,"Class3",81.106
"B",61,38,41.394,65,51.178,11.357,11.332,"V",12.678,"Class4",13.959
"M",80,58,51.789,78,84.525,92.133,62.037,"C",23.428,"Class1",86.505
"F",71,57,54.229,81,72.919,59.472,59.263,"F",25.605,"Class1",68.927
"N",60,14,5.932,83,50.74,8.929,NA,"Y",57.046,"Class4",16.081
"V",40,38,90.464,90,45.01,62.709,48.997,"R",7.097,"Class3",80.791
"W",82,39,101.188,90,39.693,89.073,44.959,"O",2.018,"Class3",76.744
"A",58,71,18.765,28,31.925,13.052,71.895,"C",33.611,"Class2",38.498
"G",78,78,72.548,92,46.574,60.604,53.097,"H",29.041,"Class1",58.175
"V",33,46,88.828,92,87.682,66.025,83.077,"G",7.216,"Class3",70.308
"A",58,74,82.59,38,23.628,29.048,71.595,"H",75.583,"Class2",49.382
"V",29,47,94.199,90,76.21,63.502,65.832,"O",8.241,"Class3",49.487
"V",69,42,89.515,91,73.149,56.6,51.342,"K",2.598,"Class3",38.843
"O",55,78,62.315,29,50.863,35.956,67.592,"H",55.146,"Class2",45.374
"M",62,27,51.491,69,58.56,12.001,17.521,"P",33.175,"Class4",13.953
"A",67,54,43.136,37,26.966,21.717,72.206,"H",67.031,"Class2",66.339
"V",54,36,96.845,92,76.289,60.478,55.873,"G",8.119,"Class3",84.604
"W",74,8,38.373,61,54.546,60.538,57.15,"C",27.816,"Class1",77.785
"Y",26,41,90.182,91,55.322,81.181,NA,"R",3.598,"Class3",79.042
"Y",55,46,90.315,91,77.678,69.249,24.605,"K",6.676,"Class3",52.66
"W",71,54,25.318,91,78.31,65.555,62.874,"V",23.503,"Class1",60.569
"I",70,63,97.531,30,40.94,12.089,67.635,"V",58.791,"Class2",33.906
"Y",18,48,90.177,92,74.02,60.788,36.042,"R",5.993,"Class3",65.534
"F",75,17,1.307,87,61.382,93.919,NA,"C",17.259,"Class1",57.107
"X",63,42,30.406,81,58.462,12.096,5.266,"H",59.335,"Class4",16.036
"E",71,30,57.26,22,67.404,7.896,67.016,"G",58.094,"Class2",50.183
"A",38,35,81.936,90,64.044,68.602,82.903,"G",11.653,"Class3",32.243
"A",58,44,69.53,23,32.477,46.638,70.119,"C",58.565,"Class2",42.111
"M",73,57,30.186,56,40.629,92.804,54.743,"Z",28.758,"Class1",62.13
"O",68,75,50.059,37,48.6,45.268,75.863,"G",76.362,"Class2",39.388
"T",50,68,46.531,27,45.736,15.154,75.319,"H",43.213,"Class2",42.885
"X",63,42,54.353,65,54.954,8.753,8.639,"V",52.299,"Class4",19.482
"O",73,47,26.052,36,38.818,26.305,76.868,"H",61.345,"Class2",66.797
"G",70,13,28.029,90,78.432,83.023,61.808,"V",28.593,"Class1",74.336
"N",60,45,31.027,86,52.078,13.753,12.029,"V",44.257,"Class4",19.541
"E",76,45,44.889,21,26.653,18.264,75.448,"H",52.444,"Class2",38.48
"A",66,35,82.894,91,68.498,90.637,62.515,"O",6.16,"Class3",48.065
"V",52,36,90.451,92,91.465,56.45,41.971,"N",6.964,"Class3",38.347
"O",60,70,51.245,31,28.445,20.46,72.086,"H",66.828,"Class2",71.579
"B",60,14,31.808,85,51.95,14.449,7.548,"Y",61.058,"Class4",11.488
"I",57,32,80.221,30,22.086,47.974,NA,"G",56.327,"Class2",64.758
"J",80,18,73.474,NA,80.975,85.593,60.455,"F",25.571,"Class1",51.133
"I",71,34,71.643,37,42.946,22.329,67.532,"H",64.315,"Class2",33.106
"W",36,38,93.535,92,51.169,78.376,24.099,"K",11.536,"Class3",64.3
"T",53,25,31.726,34,65.835,44.375,71.243,"C",42.957,"Class2",52.532
"B",63,20,46.434,80,46.12,6.666,13.961,"V",97.213,"Class4",18.817
"Z",61,30,55.68,82,46.997,14.918,6.259,"V",-1.634,"Class4",14.141
"T",67,65,70.596,23,37.958,28.383,70.9,"V",54.759,"Class2",56.504
"G",80,52,8.528,91,76.628,72.996,57.085,"Z",25.371,"Class1",83.379
"Y",64,35,94.477,92,80.389,87.341,27.934,"R",10.352,"Class3",55.496
"Z",63,43,45.415,86,52.735,11.104,10.73,"Y",82.612,"Class4",9.661
"Z",60,12,39.804,86,50.969,12.371,17.69,"S",46.769,"Class4",16.856
"M",75,92,72.933,84,41.892,89.219,64.749,"V",29.872,"Class1",84.205
"A",50,33,50.909,32,33.819,25.15,72.186,"H",38.45,"Class2",72.779
"Y",55,43,89.424,91,78.14,81.185,28.683,"O",6.978,"Class3",61.088
"A",46,59,20.413,26,48.653,34.515,72.497,"C",66.381,"Class2",35.431
"N",62,31,63.042,81,51.721,10.871,-1.223,"S",7.429,"Class4",18.195
"A",47,70,50.673,23,63.574,36.046,61.101,"C",62.103,"Class2",64.123
"J",70,32,89.381,78,53.783,93.493,59.706,"F",24.384,"Class1",57.058
"A",54,64,31.532,29,54.724,37.782,78.887,"C",61.596,"Class2",44.516
"B",60,45,43.133,NA,49.522,7.978,13.326,"Y",78.41,"Class4",9.846
"A",70,57,28.62,20,24.314,5.095,67.361,"C",65.564,"Class2",62.815
"X",62,31,24.678,82,54.499,11.314,1.187,"V",44.567,"Class4",17.117
"Z",62,21,56.496,68,49.662,7.819,5.345,"S",63.921,"Class4",12.277
"I",72,66,31.286,31,48.33,19.186,NA,"C",72.51,"Class2",73.227
"J",74,60,31.413,73,51.872,86.031,67.915,"H",28.122,"Class1",79.103
"Z",63,44,94.806,83,55.549,14.011,15.683,"P",33.423,"Class4",16.788
"N",61,7,87.196,79,54.421,13.316,NA,"H",37.862,"Class4",9.397
"E",45,37,40.716,24,40.139,31.281,69.614,"V",50.848,"Class2",61.935
"M",76,25,72.651,91,37.805,82.146,54.442,"H",26.579,"Class1",80.704
"W",13,36,86.26,91,42.385,88.429,12.391,"K",4.97,"Class3",77.039
"N",61,6,22.21,67,53.616,9.06,18.395,"V",42.477,"Class4",16.125
"F",80,70,32.559,79,49.31,74.098,50.972,"Z",22.376,"Class1",80.83
"Z",63,17,60.49,80,46.002,10.137,4.417,"Y",37.706,"Class4",18.803
"E",49,61,19.338,27,49.862,48.947,68.602,"U",60.745,"Class2",32.538
"E",48,42,103.818,34,51.774,41.738,73.216,"C",69.109,"Class2",66.616
"Y",36,40,84.82,91,53.293,84.898,61.957,"R",8.705,"Class3",66.98
"M",61,10,38.709,66,46.886,6.989,12.473,"H",64.757,"Class4",10.105
"T",67,27,36.421,29,63.231,5.637,71.346,"C",60.096,"Class2",67.232
"I",70,37,29.037,22,24.952,8.094,NA,"C",65.948,"Class2",34.614
"A",47,46,93.638,92,80.993,65.545,71.882,"R",8.473,"Class3",44.694
"J",78,83,30.376,79,76.372,71.526,69.519,"V",22.689,"Class1",58.915
"N",63,9,27.234,80,52.03,13.93,13.795,"V",-0.172,"Class4",18.577
"A",62,49,13.394,22,38.466,36.577,63.022,"H",73.699,"Class2",60.102
"N",62,36,51.517,84,53.585,11.277,13.873,"H",90.194,"Class4",18.857
"A",61,66,51.941,28,46.632,5.663,73.428,"G",68.149,"Class2",74.133
"V",33,41,89.657,90,43.402,73.08,65.739,"O",7.238,"Class3",37.916
"V",51,43,85.775,92,48.221,77.214,77.079,"O",4.765,"Class3",76.114
"A",58,37,80.137,90,41.762,65.042,NA,"K",7.122,"Class3",45.266
"I",61,50,51.258,23,64.75,16.465,74.608,"C",69.806,"Class2",46.39
"I",64,44,91.4,91,92.83,52.968,55.913,"O",10.72,"Class3",68.898
"M",60,21,35.268,80,56.228,5.643,6.255,"P",49.656,"Class4",19.942
"M",63,25,30.518,70,46.678,12.616,14.614,"S",33.657,"Class4",18.105
"A",56,45,88.654,91,36.68,72.23,47.965,"R",2.795,"Class3",68.283
"J",79,16,33.721,85,84.156,61.725,54.385,"H",24.803,"Class1",82.3
"M",60,18,33.952,78,49.782,8.222,8.779,"V",30.35,"Class4",12.838
"A",58,77,33.864,36,52.511,38.069,62.667,"H",77.463,"Class2",76.06
"W",78,39,104.403,91,62.787,80.068,47.655,"G",7.108,"Class3",72.958
"M",76,83,108.902,80,60.605,85.529,49.002,"H",28.982,"Class1",65.123
"J",72,55,107.121,61,64.281,68.214,67.822,"H",28.657,"Class1",62.504
"J",80,44,39.607,75,41.623,72.279,63.822,"Z",29.161,"Class1",73.194
"W",69,47,87.626,91,49.271,73.833,NA,"O",10.368,"Class3",47.916
"T",74,69,-0.744,22,63.764,41.32,74.638,"V",49.527,"Class2",76.316
"Y",13,44,85.204,90,82.169,67.402,40.565,"O",14.131,"Class3",35.131
"F",75,83,65.9,64,63.942,88.114,64.084,"F",29.585,"Class1",51.228
"W",54,35,93.287,92,47.734,89.924,34.592,"N",3.577,"Class3",69.153
"E",58,78,37.301,20,54.248,23.198,71.251,"H",54.364,"Class2",63.085
"B",61,18,47.909,78,57.479,8.555,15.667,"V",82.454,"Class4",17.699
"W",80,61,70.793,80,59.241,84.851,59.919,"C",30.427,"Class1",71.307
"Z",61,4,22.667,88,54.556,7.161,7.735,"S",67.676,"Class4",18.836
"T",60,66,79.647,28,30.151,41.724,67.722,"U",62.179,"Class2",68.271
"J",72,35,55.474,67,77.096,74.436,64.699,"H",24.093,"Class1",59.398
"G",75,25,61.178,84,65.321,74.628,55.602,"F",16.108,"Class1",57.655
"F",75,78,52.749,76,72.677,82.902,52.076,"Z",21.908,"Class1",56.726
"N",62,21,17.863,70,51.61,6.081,13.013,"S",29.94,"Class4",16.558
"T",79,69,43.354,37,58.504,31.004,71.561,"C",73.741,"Class2",58.425
"I",63,82,38.617,31,58.304,13.31,67.289,"U",51.278,"Class2",32.177
"O",48,50,13.398,35,60.329,27.645,71.77,"H",75.064,"Class2",76.901
"J",73,86,34.836,75,45.964,93.382,57.34,"F",27.874,"Class1",53.313
"N",62,44,49.636,66,49.254,10.897,5.906,"P",47.703,"Class4",16.58
"M",70,88,51.264,69,80.07,71.692,62.119,"Z",23.991,"Class1",59.424
"X",63,15,14.818,85,48.282,8.613,12.021,"H",24.975,"Class4",19.619
"M",62,7,20.95,NA,50.085,13.259,14.068,"V",48.898,"Class4",14.779
"J",77,40,52.219,82,73.35,88.497,62.764,"V",29.884,"Class1",64.539
"X",61,22,32.628,76,54.481,11.276,1.924,"P",48.168,"Class4",10.82
"M",62,44,44.831,68,52.061,7.651,11.881,"H",88.829,"Class4",13.548
"O",73,73,41.664,NA,25.572,16.168,81.907,"H",59.606,"Class2",76.225
"Z",62,9,39.145,65,58.665,8.083,6.391,"P",45.521,"Class4",18.986
"I",44,40,86.1,91,58.352,63.187,49.734,"G",10.572,"Class3",32.524
"Y",81,39,88.472,90,47.851,90.889,46.346,"O",7.823,"Class3",41.004
"W",74,35,98.019,91,37.975,62.609,57.488,"G",7.638,"Class3",51.552
"M",60,24,54.121,82,57.546,14.561,7.467,"V",16.53,"Class4",13.734
"A",58,58,83.591,33,65.86,26.831,68.121,"G",52.684,"Class2",64.887
"W",73,81,5.459,61,52.866,77.249,65.587,"H",22.689,"Class1",51.82
"Z",62,40,26.767,66,46.368,14.331,1.594,"S",9.147,"Class4",19.296
"G",77,36,26.709,56,85.671,84.928,59.275,"H",30.132,"Class1",75.592
"E",51,58,75.049,27,47.004,4.693,72.861,"G",76.216,"Class2",76.334
"A",26,42,86.221,91,46.042,78.951,44.391,"O",9.031,"Class3",58.967
"I",74,45,89.898,91,48.878,60.962,41.509,"G",9.222,"Class3",51.104
"I",55,47,94.098,90,50.604,71.578,59.335,"K",9.299,"Class3",72.681
"F",78,40,61.959,73,53.927,85.512,55.815,"V",30.732,"Class1",51.636
"A",75,28,72.998,22,28.73,13.302,70.349,"G",35.478,"Class2",56.888
"Z",63,11,34.162,NA,46.602,8.772,8.749,"H",21.439,"Class4",10.76
"I",69,41,7.588,30,63.661,38.185,68.25,"C",52.91,"Class2",42.528
"Z",61,16,47.846,73,55.466,12.551,17.119,"S",19.555,"Class4",19.757
"X",61,20,39.713,82,50.236,13.08,13.276,"V",82.106,"Class4",10.779
"Y",79,37,97.057,92,82.726,72.652,NA,"G",7.085,"Class3",60.771
"Y",16,47,92.229,90,54.362,69.044,49.524,"O",5.668,"Class3",61.719
"I",72,38,86.374,92,54.828,71.956,58.724,"G",9.528,"Class3",75.542
"A",73,36,90.666,91,63.248,85.256,39.551,"O",9.257,"Class3",54.896
"A",62,38,88.719,91,57.996,82.343,75.349,"O",12.929,"Class3",75.983
"F",71,73,64.312,NA,80.348,90.767,54.29,"V",30.869,"Class1",81.115
"B",61,6,24.375,74,46.513,13.219,NA,"H",60.851,"Class4",10.851
"E",55,35,59.016,21,45.739,27.233,67.551,"H",75.65,"Class2",64.349
"O",52,54,62.465,34,33.293,31.045,66.605,"C",52.55,"Class2",64.028
"J",71,79,58.64,NA,40.336,92.653,NA,"H",25.545,"Class1",81.381
"E",75,75,77.247,36,48.72,28.192,71.283,"G",58.353,"Class2",40.167
"Z",60,30,20.17,74,51.353,9.817,5.432,"Y",25.969,"Class4",8.03
"A",15,43,89.469,92,42.982,57.127,45.231,"K",10.413,"Class3",73.47
"W",19,36,85.417,90,63.926,78.088,54.447,"G",6.409,"Class3",45.869
"M",62,24,-7.454,75,46.897,10.515,17.235,"S",46.491,"Class4",15.672
"M",62,17,19.989,82,48.834,11.567,3.993,"H",73.473,"Class4",17.79
"I",77,56,82.948,31,69.332,44.483,NA,"G",67.534,"Class2",32.432
"O",58,70,42.85,25,31.457,18.995,66.548,"C",73.054,"Class2",39.175
"F",70,19,60.396,86,81.435,79.698,54.131,"F",30.455,"Class1",58.576
"I",53,39,30.978,38,54.357,50.392,63.626,"V",42.988,"Class2",51.526
"B",61,36,65.787,74,53.97,14.775,9.277,"Y",70.537,"Class4",8.193
"G",74,82,14.859,NA,77.4,80.03,52.088,"F",27.272,"Class1",68.583
"W",78,54,74.868,78,81.516,87.539,69.474,"F",20.93,"Class1",63.957
"F",75,85,87.882,68,60.325,74.75,59.212,"V",21.696,"Class1",79.273
"V",75,42,95.64,92,68.992,85.136,41.114,"N",9.944,"Class3",67.192
"I",64,59,27.352,31,30.794,5.666,69.073,"G",66.981,"Class2",52.33
"I",53,82,40.418,21,67.859,22.696,76.281,"C",68.034,"Class2",52.664
"N",63,36,51.009,80,53.023,13.442,1.915,"V",61.108,"Class4",19.724
"A",64,74,34.693,30,63.136,12.042,76.498,"U",73.306,"Class2",56.078
"I",57,30,37.315,22,67.665,7.343,74.347,"H",39.613,"Class2",41.151
"Y",29,47,99.147,92,38.875,82.234,56.388,"O",7.752,"Class3",33.22
"V",82,35,81.324,92,56.26,53.825,47.799,"G",6.33,"Class3",83.511
"B",60,37,34.434,66,51.969,14.058,7.96,"P",84.183,"Class4",8.28
"G",73,13,-42.012,62,54.166,91.963,62.507,"Z",29.808,"Class1",77.128
"I",45,73,2.249,21,68.323,30.957,61.316,"H",82.229,"Class2",73.574
"B",61,7,45.16,69,57.42,7.692,9.288,"H",16.19,"Class4",12.97
"O",72,81,33.628,22,35.699,43.324,70.309,"V",77.01,"Class2",63.211
"W",74,46,42.063,65,69.411,73.205,59.359,"C",18.264,"Class1",81.596
"B",61,3,33.067,82,50.517,7.591,5.003,"P",82.262,"Class4",9.442
"B",62,3,14.707,88,47.845,11.109,11.938,"V",38.825,"Class4",11.12
"A",75,45,1.822,20,31.693,17.364,65.918,"G",40.328,"Class2",52.622
"F",76,77,56.684,66,77.028,69.39,59.093,"Z",30.577,"Class1",63.851
"I",46,34,54.538,28,46.748,24.575,NA,"V",48.229,"Class2",74.482
"T",58,60,62.61,23,28.976,48.993,60.472,"G",56.497,"Class2",68.397
"N",60,42,29.626,81,47.88,8.665,9.296,"P",44.205,"Class4",14.224
"T",60,62,40.52,25,64.114,26.754,71.458,"G",56.017,"Class2",46.087
"V",46,46,96.711,90,72.666,76.742,54.062,"K",0.675,"Class3",81.056
"W",53,35,96.972,92,84.265,69.727,50.216,"O",7.722,"Class3",74.091
"A",58,39,92.723,90,42.131,57.018,37.947,"N",5.435,"Class3",80.481
"A",62,45,91.101,91,84.805,86.14,51.751,"R",4.395,"Class3",53.382
"M",76,15,98.489,86,38.72,64.609,63.639,"Z",23.517,"Class1",63.887
"J",76,89,61.429,83,37.063,66.821,66.939,"C",22.299,"Class1",57.508
"Z",62,8,46.586,80,48.889,14.08,9.262,"S",26.498,"Class4",11.944
"J",77,60,118.656,83,73.376,86.255,58.608,"H",26.082,"Class1",52.561
"M",75,24,28.054,68,83.146,61.597,56.466,"Z",28.908,"Class1",70.715
"I",78,39,94.928,91,51.308,86.945,58.814,"N",7.06,"Class3",59.731
"I",70,40,94.492,92,90.32,84.159,41.828,"O",8.744,"Class3",50.871
"Z",63,40,21.56,68,54.251,5.579,9.303,"H",44.217,"Class4",17.943
"F",72,24,44.448,75,64.935,88.02,62.587,"Z",33.523,"Class1",55.784
"B",60,32,45.777,71,50.662,9.23,20.976,"V",43.062,"Class4",19.009
"W",80,63,2.532,75,68.667,61.621,55.176,"C",24.029,"Class1",52.434
"A",75,50,63.873,36,47.882,27.2,74.019,"H",69.503,"Class2",51.688
"W",79,64,101.273,77,45.579,64.094,49.626,"Z",31.365,"Class1",81.772
"M",74,72,65.58,72,38.019,64.528,NA,"F",20.706,"Class1",62.411
"X",61,42,23.654,NA,57.627,9.593,14.87,"H",22.485,"Class4",17.963
"O",53,75,83.519,30,37.93,35.07,71.341,"V",65.526,"Class2",48.49
"O",69,57,65.662,36,28.918,38.626,79.054,"H",54.782,"Class2",68.691
