"F1","F2","F3","Output31","F4","F5","F6","F7","F8","F9","F10","F11"
"U",28.946,56.717,"Class2",65,29,88.463,51.284,"A",28.013,39.344,36
"H",52.263,67.742,"Class1",70,44,34.614,0.516,"X",79.098,85.733,18
"A",30.584,31.374,"Class2",82,34,36.613,57.014,"Y",NA,41.281,38
"J",60.248,67.496,"Class2",40,30,44.984,57.99,"M",47.312,46.106,40
"S",52.34,21.416,"Class2",33,15,89.97,55.441,"Y",45.427,41.393,40
"H",53.17,78.292,"Class1",65,36,58.675,6.518,"M",38.429,85.06,27
"U",60.735,36.305,"Class2",77,24,43.185,58.062,"A",21.044,38.537,41
"Z",45.247,70.569,"Class1",65,60,43.233,0.711,"M",77.777,36.836,25
"A",79.159,67.597,"Class2",76,38,63.521,62.953,"M",NA,39.655,38
"G",44.673,72.942,"Class1",64,30,42.502,7.853,"R",75.31,45.639,37
"J",63.315,53.316,"Class2",30,53,51.699,57.946,"M",69.69,43.472,41
"S",87.014,80.375,"Class2",51,32,91.39,48.625,"M",68.184,41.1,43
"Z",47.256,55.164,"Class1",64,70,26.187,9.644,"Z",69.64,63.538,19
"A",41.204,78.243,"Class2",52,44,62.887,48.615,"M",44.616,39.889,38
"S",41.654,44.56,"Class2",33,52,73.265,53.535,"A",52.79,47.399,42
"A",63.797,40.346,"Class2",31,20,87.514,49.895,"A",32.358,46.536,38
"H",65.531,61.339,"Class1",69,47,47.855,0.47,"M",92.549,33.677,14
"G",38.134,61.747,"Class1",65,83,31.098,4.39,"X",NA,70.305,14
"F",33.92,103.257,"Class2",61,41,23.112,48.434,"M",62.345,43.969,42
"J",35.839,49.539,"Class2",53,23,82.668,58.4,"M",84.826,41.16,40
"S",10.658,29.581,"Class2",66,50,87.581,62.359,"A",-8.961,47.421,36
"X",37.52,75.48,"Class1",68,52,45.508,3.094,"X",61.113,69.662,22
"X",55.824,58.165,"Class1",65,69,9.073,10.932,"Z",76.948,64.956,19
"U",33.068,68.952,"Class2",66,54,66.87,51.574,"R",52.459,40.49,38
"J",31.916,73.557,"Class2",50,40,26.561,58.284,"R",65.22,42.207,36
"A",78.514,65.967,"Class2",84,37,55.249,53.216,"M",-11.768,47.561,42
"H",39.869,64.581,"Class1",65,49,9.708,1.006,"Z",64.762,50.208,24
"S",47.991,52.666,"Class2",58,28,69.021,53.904,"Y",56.138,41.932,38
"J",64.344,86.982,"Class2",58,15,35.318,49.572,"Z",99.176,42.502,37
"J",37.919,46.485,"Class2",56,52,24.057,61.875,"Y",54.926,41.886,36
"U",59.968,82.725,"Class2",65,23,32.32,52.186,"M",65.362,43.954,42
"A",39.377,58.194,"Class2",32,54,72.237,57.683,"R",60.476,41.738,41
"X",47.443,99.201,"Class1",67,45,28.673,5.847,"M",56.046,54.384,30
"F",44.965,78.07,"Class2",28,19,37.24,51.903,"R",35.593,48.151,36
"U",45.936,85.729,"Class2",52,23,44.545,62.453,"A",23.759,46.43,NA
"R",40.576,95.652,"Class1",63,56,17.272,7.011,"Z",69.22,74.567,37
"R",52.09,73.622,"Class1",66,80,60.181,4.312,"X",69.752,88.905,24
"A",48.098,73.554,"Class2",63,39,45.348,53.952,"A",47.425,48.454,38
"F",63.736,75.467,"Class2",74,54,84.645,62.351,"A",41.248,45.195,42
"S",60.748,63.474,"Class2",46,43,54.291,51.526,"Y",45.655,38.829,36
"H",46.135,65.014,"Class1",66,29,42.593,2.608,"R",79.142,78.418,21
"F",78.807,81.582,"Class2",74,18,56.698,52.894,"M",31.597,43.787,43
"H",35.44,83.717,"Class1",63,80,13.527,6.5,"C",66.683,49.655,26
"Z",45.72,72.155,"Class1",63,43,13.272,2.711,"R",58.463,52.79,22
"Z",42.893,66.656,"Class1",69,33,11.307,4.42,"Z",66.127,50.314,13
"J",61.324,125.915,"Class2",32,27,46.973,59.658,"Z",34.881,44.263,42
"G",42.033,53.31,"Class1",65,69,55.695,4.491,"Z",78.228,79.431,18
"R",43.286,66.21,"Class1",70,55,23.972,10.504,"M",NA,44.262,28
"Z",47.125,60.532,"Class1",67,79,26.908,1.187,"X",47.748,70.508,21
"J",46.404,80.268,"Class2",55,50,47.984,52.626,"R",49.021,38.715,42
"R",57.017,84.321,"Class1",68,68,36.655,4.073,"M",76.862,69.093,16
"U",21.584,90.04,"Class2",74,52,74.694,58.464,"Z",5.872,43.417,36
"F",33.491,64.681,"Class2",74,21,62.218,48.149,"M",20.022,45.754,41
"X",52.077,71.487,"Class1",64,27,13.512,4.547,"M",62.015,87.568,5
"J",45.653,52.411,"Class2",39,18,91.666,50.543,"Z",27.767,45.728,36
"G",47.049,78.758,"Class1",67,35,45.588,8.844,"C",63.114,49.972,22
"A",59.177,68.164,"Class2",34,17,21.059,59.944,"Y",59.469,46.586,42
"H",50.504,55.949,"Class1",63,49,9.659,2.356,"M",73.199,78.008,19
"J",55.698,38.994,"Class2",39,48,60.584,53.652,"Z",48.784,41.092,36
"G",37.176,68.344,"Class1",67,47,22.598,7.362,"R",79.88,58.583,19
"F",42.958,61.26,"Class2",50,27,52.487,55.767,"M",107.543,42.266,37
"H",29.094,65.633,"Class1",63,84,58.155,8.184,"Z",60.257,74.241,19
"Z",43.97,91.115,"Class1",67,27,23.228,5.268,"R",96.005,35.48,12
"R",53.108,62.032,"Class1",67,29,35.434,0.321,"X",50.379,69.26,27
"Z",34.31,61.783,"Class1",64,79,25.965,0.287,"C",86.954,51.892,30
"J",31.242,99.879,"Class2",78,44,66.432,60.774,"Z",43.875,46.121,38
"H",62.359,74.248,"Class1",65,65,37.72,8.671,"M",86.144,54.429,35
"A",42.444,56.152,"Class2",66,16,89.941,48.407,"Z",40.267,47.387,36
"F",38.351,11.571,"Class2",84,19,46.61,61.172,"Z",30.336,48.038,41
"H",57.688,70.184,"Class1",65,78,56.026,6.275,"M",88.078,76.269,4
"S",39.501,62.262,"Class2",56,19,53.445,56.967,"R",-11.025,45.355,38
"H",35.992,66.324,"Class1",67,55,40.544,0.417,"R",68.917,82.473,12
"X",39.106,66.99,"Class1",65,24,12.358,0.493,"C",92.992,48.796,21
"H",50.828,76.623,"Class1",66,28,57.171,5.913,"Z",104.354,40.17,16
"G",42.028,77.396,"Class1",66,77,46.34,6.805,"Z",63.991,45.186,13
"U",55.613,58.03,"Class2",69,36,94.234,59.009,"M",45.106,39.762,40
"S",58.326,56.431,"Class2",28,45,49.195,50.051,"R",37.528,48.416,41
"Z",45.141,75.059,"Class1",67,25,60.876,5.765,"Z",72.54,53.268,4
"X",47.656,71.257,"Class1",63,28,15.17,5.838,"Z",55.419,58.676,15
"S",43.773,50.752,"Class2",54,46,93.125,55.599,"Y",36.962,44.421,38
"U",71.336,57.693,"Class2",60,31,81.807,49.043,"Z",NA,47.295,38
"Z",50.512,60.383,"Class1",68,68,39.508,0.422,"M",83.589,61.818,19
"G",52.198,62.837,"Class1",65,42,34.422,9.427,"M",72.605,36.967,12
"U",59.207,76.288,"Class2",67,29,45.119,48.85,"A",53.54,47.767,42
"R",39.193,64.409,"Class1",65,70,54.409,0.702,"M",93.394,57.693,31
"H",45.932,82.828,"Class1",63,34,14.078,8.724,"X",74.081,64.243,15
"Z",41.099,59.127,"Class1",67,52,15.787,9.392,"C",69.282,43.23,24
"R",43.903,73.07,"Class1",70,26,33.879,1.59,"C",98.006,71.794,21
"S",45.898,71.091,"Class2",42,34,91.775,59.766,"R",102.893,40.083,39
"F",24.252,90.085,"Class2",82,21,68.716,51.582,"Z",3.669,44.482,43
"U",13.96,49.308,"Class2",57,52,73.098,58.335,"Y",48.592,38.329,38
"F",50.938,58.215,"Class2",50,51,78.059,62.584,"Y",72.202,44.779,40
"U",41.258,45.42,"Class2",70,46,89.446,53.882,"Y",40.425,39.911,43
"U",57.527,75.075,"Class2",84,28,95.409,50.026,"Z",61.517,46.792,42
"X",52.96,66.045,"Class1",67,73,50.395,3.157,"R",76.782,49.225,14
"R",60.437,69.39,"Class1",70,30,19.793,5.426,"M",65.638,36.294,22
"A",88.608,106.08,"Class2",49,51,75.813,49.013,"R",98.53,44.94,NA
"R",53.854,52.711,"Class1",65,38,37.752,0.54,"Z",97.928,58.779,2
"F",55.992,76.153,"Class2",33,29,26.158,50.201,"Y",50.791,45.777,37
"R",53.339,63.1,"Class1",63,64,49.043,0.603,"C",77.555,32.61,5
"U",62.5,50.502,"Class2",43,23,55.036,59.106,"M",81.278,42.188,41
"F",32.597,52.621,"Class2",53,48,21.175,58.332,"R",79.224,45.7,41
"A",77.841,81.429,"Class2",43,49,29.054,53.073,"Y",59.471,46.448,42
"J",56.456,26.408,"Class2",52,36,59.899,50.329,"Y",-37.462,39.181,36
"J",55.778,59.446,"Class2",32,25,38.323,62.755,"Z",60.478,39.026,41
"J",34.618,68.271,"Class2",29,52,92.319,53.525,"M",103.054,43.138,40
"R",51.383,49.052,"Class1",65,40,52.571,4.553,"M",49.339,88.694,29
"S",34.637,54.274,"Class2",38,30,35.835,62.821,"A",42.675,45.942,39
"U",68.297,84.485,"Class2",37,51,20.008,60.032,"A",30.621,42.194,43
"R",50.329,88.838,"Class1",66,68,55.888,4.931,"X",74.305,83.016,36
"H",42.408,71.229,"Class1",66,65,52.25,8.815,"C",68.138,52.559,5
"A",70.26,55.21,"Class2",49,45,22.068,53.154,"M",47.151,38.242,37
"S",45.652,47.701,"Class2",37,28,21.803,60.98,"R",10.469,38.28,41
"S",38.533,71.561,"Class2",47,18,59.96,53.856,"M",76.931,40.462,40
"R",49.725,55.746,"Class1",70,35,51.367,5.949,"C",78.55,33.457,17
"Z",40.39,71.359,"Class1",66,43,52.27,3.724,"C",84.425,70.368,27
"Z",49.654,67.277,"Class1",70,76,22.393,7.522,"R",45.473,87.662,10
"F",43.261,34.48,"Class2",81,33,48.024,59.815,"Y",31.983,46.263,40
"H",41.626,72.072,"Class1",69,43,31.023,8.598,"X",61.878,66.887,17
"J",65.918,79.126,"Class2",70,19,71.882,53.783,"R",23.798,46.652,38
"F",15.026,78.677,"Class2",37,47,55.729,59.366,"R",44.039,41.445,36
"S",55.345,74.244,"Class2",31,50,62.373,60.064,"M",45.341,47.422,39
"A",62.551,24.937,"Class2",67,38,42.842,59.252,"Y",47.292,41.922,36
"R",36.998,60.487,"Class1",70,76,29.426,0.241,"Z",80.335,51.319,22
"S",6.965,32.783,"Class2",41,25,58.765,56.607,"A",57.535,46.336,38
"A",41.768,58.782,"Class2",74,53,40.658,59.023,"M",71.856,45.813,36
"A",27.224,132.381,"Class2",44,27,63.231,62.105,"A",-36.771,43.629,38
"H",56.437,75.292,"Class1",65,72,30.985,0.904,"R",71.711,51.279,17
"A",69.294,23.565,"Class2",68,28,29.224,62.988,"Z",30.307,45.136,42
"H",35.906,54.181,"Class1",67,83,40.998,6.215,"R",80.889,73.294,26
"H",46.975,74.066,"Class1",66,63,58.191,3.704,"X",94.684,77.731,15
"X",46.738,71.567,"Class1",63,73,32.304,3.521,"Z",79.738,33.901,15
"H",50.102,82.582,"Class1",63,45,14.942,7.405,"R",81.753,69.871,NA
"Z",51.287,60.277,"Class1",67,23,45.764,4.92,"M",98.755,77.137,13
"F",33.799,57.187,"Class2",76,21,85.49,50.597,"R",65.868,41.393,39
"J",35.781,62.759,"Class2",28,32,81.2,56.843,"R",21.577,39.737,36
"R",42.278,68.3,"Class1",69,27,20.7,5.473,"R",55.152,80.791,28
"H",34.307,54.144,"Class1",67,32,28.143,5.659,"X",91.419,34.658,17
"U",50.7,34.003,"Class2",36,49,80.691,58.584,"Y",NA,38.598,37
"J",28.976,64.398,"Class2",68,22,25.998,54.683,"A",101.373,43.081,38
"Z",54.994,73.807,"Class1",67,36,28.111,2.269,"X",72.194,76.734,30
"H",37.088,74.646,"Class1",63,52,15.843,1.418,"X",74.775,45.11,21
"H",59.045,67.673,"Class1",70,53,32.368,8.562,"R",71.252,80.833,34
"Z",55.018,75.35,"Class1",63,40,26.361,1.775,"C",88.121,72.209,7
"G",33.043,78.856,"Class1",65,72,41.491,9.15,"Z",66.241,83.585,20
"Z",33.758,79.817,"Class1",70,85,47.06,10.994,"X",74.848,42.765,5
"R",44.925,67.228,"Class1",68,84,43.001,3.816,"X",68.806,89.004,37
"X",50.065,55.199,"Class1",63,50,51.017,5.565,"R",88.562,88.177,13
"G",41.278,61.33,"Class1",70,75,57.983,9.437,"Z",67.043,76.588,2
"R",56.437,65.624,"Class1",69,85,29.281,3.523,"C",NA,41.832,22
"X",44.573,70.464,"Class1",63,43,21.909,6.066,"M",64.988,78.476,12
"U",70.21,65.093,"Class2",50,26,62.961,50.026,"Z",67.292,44.586,41
"S",53.519,67.922,"Class2",69,52,23.941,54.217,"A",49.69,39.799,39
"G",49.458,88.023,"Class1",69,29,24.357,0.497,"C",65.554,48.059,3
"G",29.61,61.34,"Class1",67,35,10.792,5.195,"Z",72.318,79.911,30
"X",58.734,80.134,"Class1",69,43,34.646,3.994,"R",60.467,84.11,24
"G",53.745,56.939,"Class1",69,78,28.409,10.101,"R",67.417,42.982,29
"H",48.495,68.295,"Class1",67,66,17.404,8.821,"M",46.61,59.085,28
"R",45.327,81.946,"Class1",66,40,33.997,6.37,"Z",58.695,77.64,19
"U",49.233,86.845,"Class2",60,23,44.997,56.486,"A",48.007,48.898,42
"Z",53.081,68.153,"Class1",67,53,60.298,0.828,"M",98.47,39.191,13
"Z",43.221,67.975,"Class1",64,33,10.211,1.562,"Z",58.16,36.327,33
"X",51.314,58.63,"Class1",68,41,16.586,7.525,"M",53.667,41.419,34
"A",50.721,89.354,"Class2",34,21,46.311,52.055,"M",25.783,41.529,38
"A",53.573,95.98,"Class2",27,17,40.6,62.593,"Y",16.231,48.031,36
"J",80.352,66.762,"Class2",37,15,46.257,52.825,"A",29.874,46.119,39
"A",12.603,40.197,"Class2",27,48,45.046,48.61,"Y",55.715,47.021,43
"U",26.915,25.295,"Class2",66,34,42.243,48.48,"R",4.868,42.901,42
"X",51.573,65.055,"Class1",63,81,19.04,3.504,"M",85.306,51.048,27
"X",38.607,68.083,"Class1",69,43,32.439,5.333,"C",73.646,35.758,20
"U",47.3,76.509,"Class2",69,32,24.172,57.633,"M",64.985,38.275,42
"U",41.766,64.518,"Class2",49,17,94.361,53.015,"R",NA,43.152,43
"H",52.791,68.551,"Class1",64,28,55.467,1.078,"M",57.564,73.958,32
"A",65.091,76.558,"Class2",35,38,48.611,59.978,"A",35.573,40.988,41
"X",51.792,67.611,"Class1",66,79,40.182,7.454,"M",61.304,81.189,16
"F",44.43,79.336,"Class2",46,44,94.466,49.187,"Z",101.903,46.316,37
"J",50.911,76.859,"Class2",67,26,48.186,60.717,"A",105.777,39.596,39
"R",56.914,59.729,"Class1",63,75,16.125,3.49,"C",50.181,56.168,8
"F",65.382,38.794,"Class2",35,33,87.33,56.251,"Z",10.792,44.378,43
"H",58.808,71.447,"Class1",64,42,16.703,3.833,"M",68.009,68.472,3
"U",59.786,74.299,"Class2",58,25,94.182,58.696,"M",27.337,41.591,39
"R",64.901,62.764,"Class1",68,46,42.374,10.082,"R",63.218,56.176,2
"U",41.784,85.885,"Class2",40,46,74.054,60.907,"A",36.497,46.144,38
"H",43.256,64.363,"Class1",69,39,55.611,6.152,"Z",77.788,68.727,25
"R",38.276,63.23,"Class1",70,63,58.359,1.782,"C",84.956,61.369,11
"X",46.94,59.151,"Class1",68,71,50.107,7.841,"X",89.175,65.741,14
"J",55.811,69.413,"Class2",78,48,77.298,55.466,"R",45.907,47.353,42
"J",48.855,60.952,"Class2",42,25,33.614,51.824,"M",NA,41.659,38
"G",42.578,77.624,"Class1",63,46,44.74,3.242,"C",68.225,64.588,12
"G",49.358,73.183,"Class1",65,84,54.884,8.659,"C",74.575,59.239,17
"H",31.061,71.888,"Class1",68,59,35.427,8.705,"Z",35.083,59.276,13
"U",78.677,102.178,"Class2",59,41,26.881,59.833,"Y",35.783,39.482,43
"R",52.155,59.369,"Class1",66,68,33.33,3.459,"M",41.38,85.412,3
"J",63.526,47.669,"Class2",56,45,74.466,58.537,"M",46.489,39.07,42
"J",57.956,79.201,"Class2",51,44,33.236,52.56,"M",40.98,43.121,36
"A",58.777,137.301,"Class2",74,48,66.312,60.152,"M",69.394,40.247,37
"G",35.018,59.927,"Class1",63,49,16.112,10.491,"C",81.083,65.402,10
"Z",58.167,64.316,"Class1",65,78,53.193,6.154,"R",78.805,32.327,4
"A",49.706,72.532,"Class2",49,18,58.481,50.248,"Z",31.061,48.284,37
"H",36.064,71.498,"Class1",69,31,39.629,3.759,"M",76.934,60.579,9
"Z",47.238,65.066,"Class1",68,85,19.265,10.031,"C",54.766,68.089,30
"G",53.346,54.914,"Class1",63,46,53.898,2.552,"X",60.532,75.287,9
"R",48.475,71.985,"Class1",69,41,12.94,5.188,"M",64.703,56.867,20
"Z",53.709,72.641,"Class1",65,43,45.508,4.291,"R",NA,70.558,9
"X",62.401,68.924,"Class1",70,38,37.692,7.803,"Z",100.248,40.766,30
"U",63.896,52.494,"Class2",51,45,91.513,49.785,"M",66.611,41.008,37
"F",41.352,65.256,"Class2",79,28,55.403,53.269,"Z",53.027,43.441,40
"A",82.954,75.927,"Class2",57,42,35.114,62.74,"M",17.011,39.489,36
"R",33.133,61.334,"Class1",67,74,24.486,9.321,"C",64.152,78.484,33
"Z",44.372,85.702,"Class1",64,56,55.706,2.291,"C",72.785,39.97,23
"X",52.668,58.416,"Class1",66,64,20.536,4.616,"R",78.888,39.799,32
"G",38.343,67.992,"Class1",63,63,41.065,9.813,"Z",77.974,39.628,25
"J",52.983,73.003,"Class2",49,45,35.877,62.977,"A",53.435,48.789,40
"U",39.834,59.819,"Class2",74,32,46.16,55.454,"R",-30.956,42.718,37
"J",51.808,77.874,"Class2",64,23,83.905,62.642,"Z",34.42,46.664,41
"X",47.802,69.661,"Class1",68,48,11.269,6.234,"C",54.785,81.033,8
"A",60.56,76.8,"Class2",81,15,43.861,52.328,"M",28.08,44.295,36
"A",36.762,82.029,"Class2",33,41,61.727,59.785,"M",47.739,41.91,41
"J",66.372,19.02,"Class2",60,21,54.662,53.761,"Y",72.652,38.214,41
"H",41.213,54.559,"Class1",63,67,43.131,10.538,"Z",52.451,50.114,35
"Z",71.543,80.752,"Class1",65,83,16.337,4.783,"Z",59.134,64.792,28
"U",44.781,40.007,"Class2",60,17,55.228,62.94,"R",62.698,47.688,41
"Z",54.488,65.496,"Class1",67,44,37.388,4.96,"C",75.645,85.742,31
"Z",50.459,77.717,"Class1",66,76,25.062,0.388,"C",81.718,49.493,24
"G",45.588,75.938,"Class1",69,71,45.587,1.077,"R",60.69,84.139,31
"X",54.171,48.254,"Class1",67,56,50.48,6.336,"C",85.678,72.722,NA
"S",43.624,55.112,"Class2",71,36,91.553,56.074,"R",NA,44.051,37
