"E1","E2","Output4","E3","E4","E5","E6","E7","E8","E9","E10","E11"
62.88,10.099,"Class1",36,"Y",73,56.011,42.653,"C",66.921,67,32.427
70.355,49.377,"Class4",48,"V",38,-35.281,40.073,"E",21.224,55,31.325
30.443,7.923,"Class1",28,"T",38,56.704,39.791,"D",95.578,67,NA
21.908,7.15,"Class1",31,"R",41,52.239,38.118,"K",84.458,67,31.748
36.821,35.86,"Class3",45,"L",27,68.894,77.04,"P",4.317,13,67.638
48.066,41.517,"Class4",49,"P",36,37.66,26.447,"S",17.089,56,75.627
73.86,12.621,"Class3",56,"J",32,68.732,45.714,"D",15.301,50,64.546
84.539,7.177,"Class1",41,"A",58,53.441,42.017,"D",82.768,66,35.024
21.825,88.272,"Class2",78,"B",25,81.649,69.497,"F",56.413,45,50.534
63.556,40.524,"Class4",48,"R",18,83.121,27.352,"P",10.936,36,8.946
37.207,13.301,"Class3",55,"J",15,67.292,25.072,"H",3.101,16,77.114
20.68,72.73,"Class2",76,"K",30,81.912,74.894,"P",68.453,71,21.96
20.734,65.919,"Class2",69,"B",36,81.483,70.603,"Y",37.586,74,47.634
28.273,4.318,"Class5",52,"I",24,27.454,94.3,"G",24.362,91,70.102
36.138,39.49,"Class4",49,"R",15,46.912,9.019,"P",13.905,23,24.318
63.807,19.445,"Class3",58,"Y",19,45.447,61.669,"O",19.23,24,70.357
70.12,29.972,"Class3",58,"L",17,34.312,23.771,"O",14.023,31,58.648
35.285,13.44,"Class5",77,"Z",34,45.002,94.685,"H",7.037,91,73.452
57.733,41.965,"Class4",47,"W",14,73.678,31.614,"A",12.617,51,18.535
99.324,47.587,"Class4",47,"R",17,33.53,29.024,"S",9.05,53,53.132
89.228,7.339,"Class1",21,"Y",31,51.033,52.802,"K",75.584,67,31.84
26.855,8.333,"Class1",44,"Y",79,54.676,30.773,"C",78.362,67,29.931
38.925,31.574,"Class3",45,"V",25,19.762,39.534,"P",4.824,34,77.736
22.692,70.092,"Class2",78,"U",14,80.537,73.338,"P",69.205,72,28.046
34.522,24.362,"Class5",68,"Z",41,62.54,94.165,"P",15.334,91,78.119
84.565,41.627,"Class4",48,"W",12,66.503,33.506,"S",15.92,36,NA
21.245,68.045,"Class2",67,"B",44,81.674,72.2,"F",52.487,37,69.512
20.539,72.493,"Class2",70,"A",28,81.145,75.269,"F",47.503,85,71.101
20.961,74.4,"Class2",79,"I",24,82.434,72.817,"P",35.822,77,16.151
53.486,7.782,"Class1",40,"M",37,53.974,31.096,"C",73.477,67,34.902
81.467,9.232,"Class1",34,"T",35,55.278,41.414,"L",88.961,66,31.896
39.169,22.594,"Class3",39,"D",20,53.809,59.006,"H",20.321,22,74.476
20.966,75.656,"Class2",81,"K",43,80.228,73.505,"I",50.469,70,55.769
19.998,19.039,"Class5",84,"E",42,57.157,94.868,"P",31.722,92,62.752
52.523,39.157,"Class3",57,"Y",19,57.046,63.402,"O",7.426,55,75.364
61.627,37.493,"Class4",48,"M",54,-11.078,7.083,"S",10.349,70,NA
24.308,12.541,"Class3",47,"J",36,50.911,41.105,"O",3.407,19,65.096
53.8,38.959,"Class3",38,"L",34,64.626,21.926,"H",22.724,51,60.265
40.957,10.999,"Class5",45,"I",16,86.126,94.588,"L",32.758,91,58.869
50.045,43.097,"Class4",46,"R",12,1.578,28.241,"E",NA,24,69.23
52.942,34.368,"Class3",41,"J",24,30.225,64.962,"C",9.034,36,53.133
52.813,8.904,"Class5",56,"K",33,53.956,94.079,"P",31.892,92,62.902
51.05,29.928,"Class3",51,"J",34,48.772,6.443,"C",NA,39,NA
72.979,19.798,"Class3",38,"V",17,64.347,17.669,"C",21.654,35,68.45
58.769,20.465,"Class3",57,"D",17,74.049,56.091,"C",16.458,10,76.509
63.3,44.835,"Class4",46,"P",70,28.007,38.088,"P",13.199,34,22.375
29.563,24.75,"Class3",37,"V",26,61.547,40.365,"C",10.07,35,NA
114.9,24.211,"Class5",66,"S",47,47.862,94.271,"G",8.974,91,67.23
20.75,72.813,"Class2",67,"K",38,80.337,71.351,"F",46.452,82,34.219
20.631,69.547,"Class2",79,"K",23,80.801,72.166,"I",56.113,61,65.307
88.513,43.338,"Class4",48,"M",28,56.034,28.791,"H",9.571,36,73.308
21.869,62.293,"Class2",74,"K",31,81.468,74.685,"Y",59.269,62,78.358
125.24,44.078,"Class4",47,"W",71,10.317,37.322,"E",14.798,24,57.983
51.25,14.723,"Class5",75,"Z",6,55.789,94.515,"H",32.41,92,77.092
15.861,7.314,"Class5",85,"I",52,31.848,94.512,"L",13.459,92,NA
36.767,20.694,"Class5",80,"E",10,28.66,93.662,"L",11.052,91,80.766
21.228,69.491,"Class2",77,"B",12,81.775,71.715,"F",60.751,65,9.449
77.118,10.18,"Class1",21,"T",77,60.833,33.483,"K",67.39,66,31.984
54.766,9.252,"Class1",44,"T",78,54.052,30.983,"K",NA,66,27.406
40.985,12.853,"Class5",52,"K",54,63.431,94.498,"G",13.199,91,66.073
21.013,64.497,"Class2",67,"K",34,80.091,75.181,"N",NA,89,NA
74.353,48.441,"Class4",46,"P",30,40.506,21.815,"E",NA,52,44.701
16.685,19.635,"Class5",57,"S",13,90.844,94.708,"H",26.538,92,86.754
29.43,21.955,"Class3",38,"D",23,44.516,25.935,"P",15.067,35,73.169
56.924,7.071,"Class1",40,"R",75,50.383,44.524,"L",79.399,66,29.522
13.504,36.924,"Class4",48,"P",49,15.849,17.139,"E",16.141,66,34.218
82.89,15.496,"Class5",37,"I",31,59.27,94.249,"P",26.849,91,67.44
28.001,14.705,"Class5",25,"Z",12,110.38,94.408,"P",16.204,91,69.282
62.518,10.048,"Class1",33,"A",48,52.266,41.972,"L",75.299,67,NA
0.863,23.843,"Class5",42,"S",15,25.125,94.253,"H",30.644,91,66.09
52.429,43.991,"Class4",47,"M",25,63.035,8.265,"E",10.233,31,48.313
49.91,6.252,"Class5",55,"E",46,88.115,94.521,"H",27.632,92,68.107
40.904,27.574,"Class5",49,"S",43,30.114,94.777,"H",NA,92,66.927
13.909,27.962,"Class5",85,"S",33,77.31,94.567,"P",11.256,92,66.428
49.764,38.157,"Class4",48,"R",26,24.455,16.109,"E",8.072,25,46.816
20.159,59.864,"Class2",68,"K",24,80.808,74.057,"F",47.74,85,83.787
58.128,23.148,"Class3",39,"Y",28,43.607,54.163,"D",11.354,55,69.667
70.936,36.853,"Class3",56,"L",37,68.28,49.586,"H",8.516,34,51.027
43.413,36.851,"Class4",49,"V",74,46.149,37.696,"H",9.631,25,28.418
52.602,23.638,"Class3",56,"J",28,58.638,45.271,"O",17.01,37,60.531
21.208,71.635,"Class2",78,"U",21,80.781,72.93,"F",33.612,40,13.523
35.55,7.96,"Class1",35,"Y",86,58.385,49.866,"V",87.965,66,35.918
73.707,18.609,"Class5",53,"E",42,49.773,94.624,"H",18.76,91,73.03
7.716,8.977,"Class1",24,"M",57,52.518,47.789,"C",69.686,67,27.007
62.024,20.683,"Class5",47,"I",15,26.62,94.61,"P",9.624,91,71.062
42.235,40.936,"Class3",45,"Y",35,67.89,70.559,"H",21.456,9,57.013
43.828,7.029,"Class1",45,"M",69,50.644,29.623,"L",97.904,66,33.743
37.581,25.216,"Class5",80,"K",27,34.896,94.381,"L",25.763,91,75.185
20.407,85.503,"Class2",76,"B",23,80.022,69.587,"P",42.646,73,63.462
20.537,60.58,"Class2",72,"B",34,80.855,72.744,"Y",59.162,90,28.071
21.674,63.528,"Class2",73,"K",39,80.338,72.288,"I",NA,38,73.926
57.768,5.655,"Class5",73,"K",53,62.111,94.575,"Q",16.512,91,63.567
42.88,25.805,"Class3",51,"D",38,36.466,66.724,"D",17.652,37,71.209
32.45,9.606,"Class1",31,"M",49,57.053,44.376,"D",NA,67,36.083
60.373,32.992,"Class3",50,"L",27,34.281,34.909,"P",22.767,30,63.567
67.015,42.301,"Class3",40,"V",24,34.002,27.649,"P",6.013,18,66.701
67.058,10.221,"Class1",17,"Y",31,54.124,34.336,"V",69.018,67,32.628
21.014,76.645,"Class2",70,"U",30,80.712,75.402,"Y",43.803,59,11.226
53.689,8.858,"Class1",39,"T",58,54.302,33.872,"C",69.161,66,33.295
32.867,32.743,"Class3",50,"V",22,49.86,53.096,"P",8.141,25,74.71
54.399,24.869,"Class3",53,"J",35,28.316,60.28,"D",22.627,51,51.193
-14.681,5.794,"Class5",49,"I",33,68.756,94.899,"Q",14.81,91,69.63
20.594,61.684,"Class2",74,"I",29,80.589,71.816,"F",53.676,58,40.105
60.121,15.246,"Class5",27,"S",31,69.059,94.014,"G",20.002,92,65.622
19.742,85.445,"Class2",81,"B",38,81.487,70.964,"F",36.847,42,47.652
89.277,12.782,"Class3",57,"V",27,54.268,42.309,"D",4.327,28,76.566
63.339,27.228,"Class5",52,"K",42,21.892,95.275,"G",22.478,92,82.859
-3.512,49.228,"Class4",46,"W",62,91.038,35.42,"E",13.534,41,64.973
22.625,85.255,"Class2",75,"I",20,80.488,72.054,"F",58.656,34,59.798
20.678,81.873,"Class2",71,"B",46,81.982,73.284,"N",37.899,33,49.772
21.362,71.489,"Class2",69,"I",23,80.75,72.647,"N",59.534,79,18.69
66.462,19.785,"Class3",38,"Y",22,62.364,27.729,"P",16.408,47,62.279
80.689,41,"Class4",48,"P",7,58.824,34.109,"P",14.34,24,56.191
47.376,22.331,"Class3",55,"Y",38,61.974,66.003,"D",11.386,40,58.717
35.944,38.32,"Class3",41,"L",20,71.433,30.884,"O",17.047,16,72.711
21.169,78.043,"Class2",75,"K",30,79.635,69.789,"P",37.447,53,80.632
72.959,29.688,"Class3",39,"D",29,30.937,48.307,"D",7.252,55,56.661
21.283,76.135,"Class2",71,"U",21,81.341,73.775,"P",60.631,56,51.338
43.765,8.364,"Class1",27,"Y",67,54.088,35.532,"C",95.879,67,32.272
30.288,12.57,"Class5",44,"K",12,66.506,94.586,"G",7.232,91,86.967
37.945,7.476,"Class1",19,"M",69,50.458,20.438,"C",85.333,66,NA
93.985,46.36,"Class4",49,"R",25,31.242,27.047,"E",8.168,21,10.379
20.729,60.868,"Class2",78,"I",42,80.39,73.206,"F",47.221,65,47.839
45.05,18.597,"Class5",34,"I",13,76.279,94.671,"L",22.565,91,60.041
21.382,67.887,"Class2",81,"A",29,80.317,73.927,"I",38.861,78,27.468
31.158,31.326,"Class3",48,"J",23,39.524,24.697,"H",9.278,10,77.923
72.499,8.32,"Class1",41,"A",84,55.473,42.053,"K",95.77,66,36.332
21.308,60.398,"Class2",75,"B",27,81.045,68.133,"I",65.627,39,49.758
34.412,16.344,"Class5",72,"E",45,44.925,94.96,"L",25.562,91,60.533
68.708,26.587,"Class3",39,"Y",24,48.266,79.129,"O",8.563,15,68.605
22.748,24.488,"Class5",86,"I",21,45.585,94.819,"L",24.499,92,59.511
31.921,10.543,"Class5",67,"S",33,60.802,94.249,"Q",21.03,92,68.169
54.154,10.658,"Class1",27,"A",28,54.756,24.532,"K",66.037,67,35.492
40.191,9.882,"Class1",30,"R",47,54.062,50.033,"V",88.092,66,30.483
11.99,8.284,"Class5",73,"S",7,56.258,94.552,"Q",26.998,92,62.438
11.169,27.883,"Class5",36,"Z",13,99.755,94.437,"L",24.701,91,69.646
88.88,38.523,"Class4",48,"V",62,25.498,38.414,"A",12.904,35,56.846
66.893,18.661,"Class5",44,"I",55,25.583,95.035,"G",13.974,92,81.19
20.53,65.686,"Class2",74,"I",12,79.856,72.136,"N",NA,66,34.02
59.054,37.483,"Class4",46,"M",32,71.829,37.225,"P",19.06,51,68.182
21.806,9.648,"Class1",41,"T",48,57.927,28.53,"D",77.354,67,30.434
21.975,77.138,"Class2",74,"B",19,82.074,72.274,"P",64.691,49,57.4
41.279,45.35,"Class4",46,"R",29,65.872,37.692,"A",18.981,58,35.085
41.712,27.569,"Class3",46,"D",33,6.072,6.835,"P",5.652,54,66.257
21.109,81.537,"Class2",72,"B",13,80.204,72.016,"Y",57.136,81,47.416
19.794,68.996,"Class2",75,"A",34,80.523,71.223,"I",46.305,31,59.038
19.341,72.653,"Class2",69,"U",24,80.429,72.649,"N",52.376,73,78.804
22.005,79.002,"Class2",81,"I",25,80.987,73.4,"Y",67.6,45,37.448
61.238,13.688,"Class3",47,"L",28,45.063,31.574,"O",9.597,24,52.309
52.234,28.937,"Class5",52,"E",46,81.995,94.278,"L",7.421,92,84.905
61.61,44.769,"Class4",46,"W",40,83.303,44.384,"A",15.248,60,26.038
27.259,7.857,"Class1",45,"A",90,52.248,46.941,"V",94.586,66,35.954
21.279,85.454,"Class2",75,"I",47,80.982,72.784,"Y",48.238,68,25.141
66.154,8.713,"Class1",45,"T",70,53.916,31.064,"V",63.862,67,35.614
20.704,62.293,"Class2",80,"I",20,80.86,72.67,"N",62.488,64,14.368
63.054,45.283,"Class4",49,"R",63,41.879,22.332,"A",21.965,62,58.065
47.792,32.022,"Class3",43,"J",28,48.457,56.883,"P",19.676,27,55.668
10.865,25.229,"Class5",29,"K",33,77.331,94.39,"L",NA,91,65.92
40.373,44.434,"Class4",48,"M",30,15.931,16.303,"A",16.377,27,54.176
62.131,49.71,"Class4",49,"W",73,63.779,26.466,"P",16.101,66,49.315
20.992,65.173,"Class2",67,"A",37,81.664,69.669,"P",53.435,47,12.787
23.588,25.667,"Class5",48,"K",23,38.898,94.292,"L",14.022,91,78.666
58.767,23.772,"Class3",52,"J",29,43.421,61.238,"D",19.247,10,61.528
65.196,45.766,"Class4",49,"R",25,66.107,24.494,"S",12.25,26,69.446
21.108,7.102,"Class1",22,"Y",83,51.016,41.613,"V",91.438,67,35.645
20.895,87.948,"Class2",69,"A",24,82.186,72.735,"Y",NA,45,70.22
29.736,10.546,"Class1",22,"M",30,55.182,41.933,"C",79.34,66,29.101
77.131,33.077,"Class3",55,"Y",35,51.957,53.304,"P",18.27,24,64.466
21.645,71.259,"Class2",82,"U",37,80.994,73.924,"P",35.325,50,51.961
48.468,8.506,"Class1",25,"A",61,56.057,34.299,"C",62.035,66,31.3
24.237,43.188,"Class4",46,"W",60,109.957,18.945,"P",16.916,65,28.498
91.07,5.842,"Class5",71,"K",17,63.727,95.043,"Q",32.36,92,78.406
39.697,22.207,"Class5",24,"E",20,30.646,94.494,"G",22.241,91,60.314
49.405,10.435,"Class1",39,"T",62,54.016,46.745,"V",84.829,66,28.004
55.004,8.618,"Class1",36,"R",56,53.957,31.532,"V",88.69,66,32.205
39.618,48.467,"Class4",47,"V",68,23.981,32.754,"P",19.952,65,77.219
48.472,35.03,"Class3",50,"Y",23,47.954,69.122,"O",9.016,11,NA
20.276,67.946,"Class2",79,"B",30,81.093,76.89,"Y",50.938,87,55.499
62.315,14.952,"Class3",56,"D",24,54.118,48.455,"D",9.516,28,58.905
51.625,20.443,"Class3",43,"L",30,38.767,24.39,"P",13.184,31,70.501
22.243,59.856,"Class2",82,"A",15,80.424,68.975,"I",60.028,64,65.445
46.77,10.241,"Class1",24,"R",41,58.749,34.234,"V",66.819,67,29.807
44.289,35.868,"Class3",52,"L",24,50.652,64.338,"H",13.924,19,62.778
20.358,62.797,"Class2",74,"A",44,81.238,68.039,"N",53.77,37,61.469
53.418,10.652,"Class1",20,"T",28,52.554,39.074,"C",78.838,67,28.523
21.813,74.736,"Class2",81,"K",24,82.417,73.131,"I",34.338,60,56.715
49.735,15.416,"Class3",38,"V",29,52.364,43.596,"P",11.497,34,71.582
30.841,8.308,"Class1",20,"R",52,47.263,39.567,"D",87.471,67,35.06
51.029,4.493,"Class5",45,"K",26,113.619,94.456,"H",26.07,92,67.299
73.947,9.228,"Class1",21,"M",72,58.032,30.108,"K",66.256,66,30.137
49.032,42.576,"Class3",50,"V",38,41.519,41.432,"O",11.767,27,60.541
28.478,24.229,"Class5",86,"K",23,87.247,94.529,"P",20.202,92,62.172
48.155,11.465,"Class5",38,"Z",50,71.67,93.886,"L",32.954,91,75.218
70.522,8.764,"Class1",28,"R",72,50.492,32.816,"C",89.268,66,36.603
85.086,43.893,"Class4",46,"M",33,69.947,26.622,"E",12.417,69,45.438
35.775,45.124,"Class4",47,"R",39,60.544,43.967,"E",9.669,33,NA
59.143,9.592,"Class1",19,"T",45,52.713,37.866,"L",85.126,66,32.766
20.928,85.935,"Class2",79,"A",22,82.109,72.821,"I",48.762,81,77.321
-16.917,49.486,"Class4",46,"P",66,75.917,12.392,"P",14.147,25,54.536
19.729,87.049,"Class2",75,"U",26,80.85,71.984,"F",68.986,49,49.257
102.275,23.953,"Class5",54,"S",26,30.601,94.59,"G",22.932,91,72.159
51.146,26.708,"Class3",42,"Y",22,41.396,44.935,"O",3.942,32,75.885
72.155,14.95,"Class3",46,"V",36,33.481,48.26,"C",7.372,45,64.849
9.215,25.041,"Class5",23,"S",53,60.525,94.044,"H",32.799,91,59.522
52.1,38.661,"Class4",47,"M",60,4.377,28.899,"E",17.776,29,52.943
59.763,8.882,"Class1",37,"T",45,54.368,42.296,"D",69.283,66,28.019
58.416,29.772,"Class3",51,"Y",38,43.269,78.95,"D",19.784,25,55.459
22.662,36.865,"Class4",46,"M",14,68.404,33.389,"A",20.192,39,42.869
34.023,11.964,"Class5",84,"Z",24,56.945,95.164,"Q",20.723,91,66.063
43.595,35.949,"Class4",48,"V",62,45.54,32.696,"A",13.652,56,43.683
39.771,4.581,"Class5",63,"K",48,61.444,94.245,"Q",23.148,92,83.893
69.558,28.333,"Class5",54,"I",22,36.274,94.785,"Q",NA,91,81.681
16.093,27.883,"Class5",83,"Z",20,62.089,94.326,"L",24.406,92,59.1
-14.641,6.831,"Class5",71,"E",53,58.966,94.355,"G",28.92,92,74.406
45.109,22.417,"Class5",25,"I",43,62.212,94.898,"G",14.326,91,73.931
31.301,5.533,"Class5",68,"E",41,59.809,94.615,"H",17.25,91,64.165
51.243,7.52,"Class1",19,"Y",60,49.932,52.876,"V",84.293,66,35.463
68.204,48.404,"Class4",46,"R",72,9.755,47.086,"S",12.894,35,30.317
49.601,36.578,"Class4",46,"V",58,36.305,52.662,"H",15.686,63,69.701
41.992,43.727,"Class4",49,"M",38,19.523,33.135,"P",16.784,65,17.899
62.75,15.616,"Class3",37,"J",36,1.45,51.875,"H",16.081,22,56.031
33.325,8.559,"Class1",22,"R",51,61.122,33.962,"K",82.696,66,31.647
55.65,29.803,"Class3",46,"D",34,72.138,40.242,"P",16.306,9,55.887
76.96,28.267,"Class5",73,"S",27,69.723,94.766,"Q",28.173,92,75.857
21.838,88.131,"Class2",81,"B",16,81.416,74.825,"F",49.207,79,32.823
37.651,36.647,"Class3",37,"Y",26,46.795,47.744,"D",18.034,37,62.476
30.353,7.177,"Class1",38,"M",60,60.263,43.783,"D",78.536,66,NA
65.497,8.376,"Class1",18,"R",64,60.338,29.054,"K",81.716,67,29.843
20.164,74.909,"Class2",74,"B",33,79.747,71.269,"Y",60.459,67,47.024
71.447,21.284,"Class3",47,"V",24,34.304,57.763,"O",5.581,20,62.394
40.668,39.441,"Class3",57,"L",24,14.875,28.882,"H",21.919,16,77.857
39.912,27.911,"Class5",80,"K",55,66.058,94.328,"Q",25.144,92,67.51
58.372,10.306,"Class1",45,"M",42,51.282,37.228,"L",83.975,66,27.231
106.88,41.01,"Class4",49,"W",9,43.776,41.93,"S",18.298,54,13.402
21.145,64.908,"Class2",76,"I",45,80.992,74.606,"N",60.225,72,NA
75.404,34.467,"Class3",58,"D",36,34.258,35.307,"H",8.218,23,75.4
54.667,7.182,"Class1",17,"A",24,54.766,48.009,"V",86.726,67,36.858
58.834,45.938,"Class4",48,"P",61,22.036,38.51,"A",21.401,42,16.301
50.071,10.157,"Class1",33,"T",71,53.043,34.981,"L",80.887,66,34.514
29.18,26.022,"Class3",43,"Y",31,36.756,77.539,"C",18.011,9,68.112
20.791,70.255,"Class2",68,"I",27,80.118,69.948,"Y",53.302,32,45.939
56.936,30.813,"Class3",58,"L",24,46.949,53.987,"H",22.809,22,71.837
76.147,16.425,"Class5",66,"I",30,32.592,94.641,"Q",27.928,92,79.152
42.145,29.567,"Class3",44,"J",35,38.798,25.06,"H",19.14,41,70.654
20.667,62.805,"Class2",80,"U",34,80.485,73.308,"N",51.284,55,41.7
20.635,80.754,"Class2",81,"A",47,81.172,68.975,"I",51.926,76,67.037
75.722,36.486,"Class4",47,"R",35,61.472,14.519,"S",9.132,43,49.848
46.949,27.384,"Class3",47,"Y",32,14.763,8.407,"C",16.65,53,59.399
20.307,66.107,"Class2",73,"A",38,80.942,66.918,"F",40.598,74,25.506
57.953,4.922,"Class5",49,"E",32,53.369,94.531,"H",11.961,92,77.273
89.524,6.497,"Class5",48,"E",44,58.907,94.229,"G",10.209,91,59.601
30.211,25.03,"Class5",53,"E",18,41.159,94.424,"L",12.454,92,68.227
67.137,10.374,"Class1",44,"T",81,56.306,38.716,"K",95.794,66,28.64
57.821,12.581,"Class5",65,"E",26,68.291,94.753,"L",27.93,91,NA
61.346,7.735,"Class1",24,"Y",48,55.945,33.197,"L",62.302,67,27.781
38.282,41.781,"Class4",47,"W",63,11.817,23.611,"E",11.121,68,46.755
92.466,41.609,"Class4",48,"W",38,26.577,28.433,"S",18.867,25,50.465
24.501,9.221,"Class5",78,"Z",28,64.055,94.565,"G",14.819,91,67.898
37.19,28.114,"Class5",41,"E",16,25.215,94.881,"P",8.476,92,85.514
46.973,46.181,"Class4",49,"R",16,27.862,28.056,"H",13.016,53,45.15
61.156,7.153,"Class1",39,"M",66,54.526,15.163,"V",76.417,67,30.36
41.93,44.57,"Class4",47,"V",17,53.188,26.523,"A",8.283,35,46.531
56.263,32.517,"Class3",47,"D",25,47.483,27.588,"D",7.685,35,71.537
65.966,14.122,"Class3",55,"D",32,53.419,35.879,"O",8.916,37,69.871
63.021,18.98,"Class5",86,"K",23,88.383,94.471,"P",33.518,92,71.053
48.312,38.129,"Class3",46,"V",18,44.964,74.328,"O",17.063,51,66.316
21.722,84.09,"Class2",70,"K",42,80.93,74.412,"N",50.179,35,61.272
23.273,9.203,"Class1",26,"Y",38,56.986,33.763,"V",72.381,67,28.904
94.06,7.249,"Class1",42,"T",84,53.811,20.876,"D",83.382,66,30.627
36.989,10.291,"Class1",18,"M",56,58.747,53.987,"D",79.794,67,27.088
56.902,22.509,"Class5",29,"K",10,26.282,94.206,"G",33.722,91,75.134
8.404,37.151,"Class4",46,"P",57,31.861,24.492,"S",11.338,38,27.043
63.636,7.378,"Class1",41,"A",30,52.904,34.089,"K",91.957,67,36.779
68.369,10.249,"Class1",34,"M",36,53.377,39.399,"K",94.901,66,27.132
42.945,8.144,"Class1",43,"R",60,55.59,54.019,"C",84.626,67,33.347
19.107,85.847,"Class2",82,"K",20,81.091,73.482,"N",35.314,55,69.403
32.118,8.858,"Class1",28,"R",48,54.631,35.472,"D",96.247,67,35.068
46.334,16.212,"Class5",23,"E",29,36.738,94.249,"P",15.608,92,81.582
21.119,76.633,"Class2",75,"B",23,81.658,71.954,"Y",52.541,89,77.158
20.899,83.271,"Class2",72,"I",21,81.2,69.774,"P",38.834,47,52.597
20.959,76.173,"Class2",81,"U",18,79.754,71.66,"P",40.238,40,69.331
22.49,82.747,"Class2",81,"B",33,81.776,73.73,"Y",53.222,39,43.103
49.28,39.213,"Class4",47,"P",20,59.832,29.794,"E",10.362,62,11.499
43.856,12.922,"Class3",47,"J",27,43.606,27.832,"D",10.148,38,69.29
60.077,33.887,"Class3",52,"J",35,62.296,44.314,"P",15.287,8,76.914
21.376,72.324,"Class2",78,"I",13,81.138,69.815,"I",43.942,52,38.486
42.039,10.435,"Class1",36,"R",88,53.051,47.093,"D",83.887,67,29.608
58.935,21.097,"Class5",31,"I",48,101.469,94.614,"G",13.616,92,69.039
35.761,7.735,"Class1",26,"T",60,60.874,45.252,"D",89.09,66,35.396
20.865,65.523,"Class2",73,"A",16,80.914,73.179,"N",58.911,60,50.77
72.908,8.908,"Class1",29,"T",90,56.355,34.395,"D",80.713,67,31.385
23.221,7.47,"Class5",54,"Z",48,42.922,95.079,"L",29.485,92,61.07
