"G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","Output32","G11"
69.284,85.133,73,21.387,"D",60.958,57,24,47.969,83.241,"Class3","J"
44.389,53.047,70,43.085,"D",65.287,57,18,40.056,89.546,"Class3","C"
66.504,16.808,75,44.283,"Q",63.618,48,46,NA,32.64,"Class1","T"
79.775,81.464,78,66.464,"D",57.481,74,35,45.513,20.454,"Class3","C"
68.14,14.997,81,33.824,"X",65.61,63,44,4.855,17.563,"Class1","T"
15.523,80.451,82,66.992,"L",45.947,88,92,80.148,56.512,"Class2","C"
77.141,65.585,31,54.075,"D",46.212,52,26,45.802,30.54,"Class3","L"
25.895,85.415,81,59.465,"L",57.033,87,84,79.456,61.867,"Class2","H"
65.268,14.41,90,23.246,"L",86.117,53,44,6.667,7.11,"Class1","T"
62.103,6.67,89,21.571,"R",55.047,64,45,9.16,22.363,"Class1","R"
62.809,71.782,40,-0.344,"D",63.166,74,25,46.339,61.347,"Class3","Z"
67.873,16.61,91,54.57,"B",90.572,72,43,4.626,29.827,"Class1","B"
77.5,95.924,43,76.252,"M",72.097,60,36,46.155,24.955,"Class3","J"
64.285,9.439,72,34.241,"X",83.202,54,44,4.611,28.407,"Class1","U"
44.946,58.023,54,81.751,"C",70.506,61,20,50.452,56.232,"Class3","G"
20.12,87.758,78,73.568,"L",43.7,87,72,79.882,101.728,"Class2","B"
62.333,50.407,29,60.893,"A",36.468,71,33,46.579,41.777,"Class3","C"
38.488,89.197,66,48.665,"M",58.75,61,29,40.362,98.828,"Class3","Z"
64.048,12.327,90,32.347,"B",60.407,72,46,1.898,25.641,"Class1","R"
17.176,78.559,82,58.031,"L",65.664,87,91,83.27,68.537,"Class2","E"
21.673,78.585,81,48.4,"U",49.166,88,59,80.96,69.383,"Class2","V"
62.529,5.371,73,34.953,"Q",80.588,54,45,6.806,25.709,"Class1","T"
59.887,44.213,90,91.342,"D",77.167,73,43,43.155,50.608,"Class3","C"
79.166,48.572,56,30.492,"C",47.234,31,38,47.073,68.243,"Class3","C"
13.37,80.818,77,60.954,"N",56.63,82,89,85.13,56.705,"Class2","C"
22.953,90.504,82,74.756,"L",53.72,88,71,NA,63.532,"Class2","H"
15.367,74.911,78,39.241,"Y",37.822,87,55,83.203,72.127,"Class2","C"
67.148,7.147,78,27.627,"L",31.424,54,45,7.894,9.009,"Class1","T"
31.959,74.592,72,79.108,"L",54.433,84,59,81.612,55.567,"Class2","H"
13.731,83.382,81,75.232,"Y",65.445,86,59,86.768,42.179,"Class2","V"
54.325,43.298,29,145.413,"A",71.476,52,18,42.755,49.693,"Class3","C"
28.519,84.81,77,50.78,"N",44.902,87,49,81.848,74.612,"Class2","V"
63.775,13.127,83,49.965,"B",59.303,58,46,11.732,14.813,"Class1","R"
17.696,82.39,81,65.877,"N",40.958,84,46,83.058,63.233,"Class2","V"
45.212,66.613,63,10.794,"C",36.766,34,22,48.434,41.811,"Class3","J"
34.436,78.474,52,21.897,"M",34.946,54,40,40.886,15.266,"Class3","G"
63.191,80.709,31,34.507,"D",37.099,74,22,45.485,79.98,"Class3","J"
29.046,92.811,75,52.134,"U",64.696,86,53,82.534,20.918,"Class2","B"
67.002,43.44,49,62.692,"L",40.123,45,43,40.826,38.089,"Class3","Z"
67.53,10.618,82,34.474,"X",59.665,48,46,7.574,18.814,"Class1","R"
64.143,7.716,91,31.589,"Q",80.509,53,45,5.777,18.814,"Class1","U"
46.084,68.543,73,83.235,"M",38.817,42,24,44.029,105.791,"Class3","J"
66.356,18.587,83,39.218,"X",57.9,72,45,2.576,5.103,"Class1","B"
66.98,10.443,83,32.364,"Q",84.509,55,44,NA,5.585,"Class1","E"
20.49,77.737,82,57.79,"D",54.457,85,52,87.479,43.544,"Class2","B"
77.131,94.18,89,28.126,"L",44.486,45,43,47.142,45.223,"Class3","C"
63.039,7.268,82,40.277,"X",75.624,69,44,7.466,32.743,"Class1","B"
14.302,65.083,75,71.335,"N",39.05,84,56,83.097,31.501,"Class2","H"
22.052,72.306,73,51.506,"L",41.137,83,60,83.898,38.909,"Class2","C"
24.661,72.883,74,55.124,"L",56.077,82,76,81.146,52.428,"Class2","C"
20.727,70.465,77,66.493,"N",49.115,85,93,85.087,61.494,"Class2","H"
62.871,12.551,88,27.292,"R",68.494,70,43,5.924,18.237,"Class1","E"
83.037,42.992,76,70.828,"A",54.207,76,38,45.51,65.78,"Class3","Z"
66.667,5.996,80,52.525,"X",75.258,71,46,11.296,19.804,"Class1","B"
37.332,95.108,80,19.869,"L",41.136,49,30,NA,58.145,"Class3","J"
36.762,79.265,67,55.446,"D",56.321,43,26,53.45,53.35,"Class3","G"
28.012,75.162,29,17.405,"A",40.881,30,25,44.535,63.425,"Class3","L"
67.329,6.961,88,41.78,"X",53.815,71,44,0.539,10.715,"Class1","R"
14.146,83.635,81,46.686,"N",45.979,85,72,NA,60.711,"Class2","H"
25.626,78.686,72,73.274,"N",42.277,84,61,77.013,64.815,"Class2","V"
19.222,76.727,72,88.177,"D",48.908,83,63,81.609,11.672,"Class2","H"
63.89,18.945,80,34.246,"R",97.651,57,43,2.185,26.358,"Class1","E"
17.837,89.396,78,56.202,"D",35.818,87,78,86.911,55.706,"Class2","V"
66.366,8.722,82,18.395,"L",53.715,72,46,-1.136,15.328,"Class1","R"
29.521,49.287,66,92.002,"M",66.413,71,20,40.995,78.022,"Class3","J"
68.901,54.717,45,11.501,"D",51.014,45,29,45.835,66.538,"Class3","C"
20.712,88.866,80,58.055,"L",55.506,85,78,NA,46.074,"Class2","B"
30.51,90.522,78,69.476,"Y",56.245,84,93,82.235,50.791,"Class2","C"
23.411,78.36,76,66.43,"U",37.984,83,72,84.776,43.888,"Class2","C"
11.385,88.297,76,68.779,"U",59.783,84,54,82.973,46.377,"Class2","B"
66.936,14.27,82,53.949,"X",58.514,62,46,4.639,22.606,"Class1","R"
27.654,67.838,71,60.78,"U",52.751,85,73,81.65,88.133,"Class2","B"
57.83,92.695,42,29.717,"L",79,44,27,43.743,71.521,"Class3","J"
68.961,18.145,82,29.778,"B",83.866,68,46,5.738,32.956,"Class1","B"
30.82,84.372,77,56.91,"Y",59.351,83,48,85.384,58.677,"Class2","C"
63.063,19.093,86,31.21,"L",66.148,61,44,5.358,18.245,"Class1","R"
20.597,68.241,81,65.454,"Y",65.365,83,85,78.839,76.225,"Class2","H"
68.551,8.121,80,34.592,"X",NA,55,44,6.226,15.835,"Class1","E"
62.618,18.197,73,33.209,"B",31.888,66,44,7.008,14.422,"Class1","R"
80.163,55.426,57,91.514,"D",53.408,61,43,48.904,-12.174,"Class3","L"
65.079,15.563,73,12.317,"B",55.567,50,45,5.416,30.543,"Class1","U"
64.771,50.831,53,39.474,"L",64.256,40,36,43.187,36.305,"Class3","G"
31.386,76.221,29,49.73,"L",70.207,44,28,48.758,92.597,"Class3","G"
12.948,67.843,77,52.104,"N",43.994,82,59,89.653,57.372,"Class2","V"
54.734,84.145,61,38.196,"L",54.914,36,29,46.507,59.389,"Class3","J"
38.967,81.382,62,78.57,"A",37.503,54,23,46.417,22.008,"Class3","L"
66.267,6.021,73,37.122,"Q",56.724,52,43,4.095,40.14,"Class1","R"
64.518,16.845,85,24.401,"Q",79.127,51,45,7.311,13.745,"Class1","T"
37.368,50.903,52,114.763,"A",41.634,47,25,44.971,79.877,"Class3","G"
64.475,15.851,89,24.004,"X",48.897,49,46,1.653,29.171,"Class1","T"
83.871,45.97,74,74.299,"A",71.474,46,31,41.452,21.901,"Class3","L"
17.487,80.223,81,67.675,"Y",52.571,85,66,82.832,55.235,"Class2","V"
67.466,6.26,83,37.849,"R",32.234,62,44,4.313,21.215,"Class1","B"
29.201,79.116,79,58.419,"L",37.149,86,46,83.44,52.283,"Class2","V"
17.374,93.383,74,75.159,"U",65.423,85,53,90.669,36.503,"Class2","C"
58.843,55.823,37,67.955,"M",71.029,52,25,46.593,76.543,"Class3","Z"
66.25,17.484,91,32.84,"X",86.94,69,46,13.404,21.367,"Class1","B"
28.862,70.689,71,53.595,"D",50.037,84,93,86.394,65.368,"Class2","E"
32.885,94.555,46,-4.79,"M",36.755,31,32,51.923,30.729,"Class3","C"
62.897,15.742,87,35.358,"L",66.634,66,45,4.67,27.137,"Class1","U"
23.584,65.477,73,39.627,"Y",40.663,87,58,82.711,57.49,"Class2","V"
24.537,81.168,89,82.477,"A",65.224,51,32,40.959,49.039,"Class3","C"
63.07,9.424,80,27.902,"B",89.052,63,43,9.483,21.118,"Class1","B"
20.289,75.794,71,60.41,"L",53.986,87,48,82.548,37.691,"Class2","E"
25.471,45.675,57,19.859,"A",54.215,63,22,41.627,35.431,"Class3","G"
21.892,68.358,71,72.591,"N",61.227,85,93,78.994,38.919,"Class2","E"
34.575,57.705,89,20.74,"A",55.931,65,19,42.67,48.403,"Class3","J"
68.758,11.734,84,36.832,"B",85.156,49,45,6.04,24.546,"Class1","R"
82.747,88.774,82,62.528,"L",72.369,60,35,49.871,100.038,"Class3","C"
26.99,78.761,75,59.127,"U",49.561,82,70,86.931,63.661,"Class2","V"
14.502,68.282,80,63.878,"Y",48.881,82,83,80.611,99.441,"Class2","E"
27.299,50.028,46,47.753,"D",69.856,50,39,43.326,14.991,"Class3","C"
24.088,76.935,45,95.021,"D",53.295,68,41,40.526,25.492,"Class3","C"
65.137,13.332,89,31.855,"R",79.928,67,45,2.94,13.481,"Class1","R"
28.005,69.158,77,58.174,"D",63.792,82,58,84.014,45.182,"Class2","C"
12.838,85.822,81,74.697,"U",37.374,84,52,85.149,67.749,"Class2","B"
12.287,71.153,72,51.394,"L",65.993,84,58,80.799,43.427,"Class2","H"
59.494,94.403,80,49.234,"L",51.583,57,20,NA,41.844,"Class3","L"
25.387,86.907,74,60.335,"D",43.03,83,90,NA,55.825,"Class2","C"
62.535,13.363,81,31.927,"R",72.299,52,46,6.286,5.165,"Class1","R"
68.929,81.318,50,51.08,"L",59.762,39,26,43.346,0.697,"Class3","Z"
17.8,75.456,73,67.599,"Y",48.427,83,63,90.621,68.781,"Class2","V"
18.306,72.991,81,49.605,"N",65.445,83,93,81.827,39.595,"Class2","V"
67.599,16.022,83,34.092,"Q",77.037,62,44,4.419,25.583,"Class1","U"
24.687,93.656,81,46.093,"Y",41.298,85,81,77.871,70.923,"Class2","E"
25.268,86.584,74,66.016,"N",42.946,82,53,79.068,50.121,"Class2","C"
64.683,15.641,84,42.909,"X",74.765,65,43,12.866,31.145,"Class1","E"
13.607,74.591,72,61.351,"N",48.969,85,92,NA,65.773,"Class2","H"
42.783,78.839,57,10.161,"A",72.017,33,23,40.761,55.932,"Class3","J"
83.995,77.881,70,34.899,"M",36.436,52,23,39.194,37.775,"Class3","J"
25.499,84.847,82,47.663,"Y",37.396,84,59,81.572,67.235,"Class2","C"
26.568,75.608,71,63.731,"N",44.143,88,87,86.983,95.197,"Class2","B"
32.371,43.314,50,-12.961,"L",77.875,50,34,NA,72.672,"Class3","G"
31.807,70.399,78,60.032,"D",43.345,88,57,75.59,70.268,"Class2","H"
17.704,66.127,77,68.298,"N",46.822,84,78,83.288,43.104,"Class2","H"
67.354,8.958,70,36.469,"B",94.358,55,46,8.228,13.828,"Class1","T"
27.314,75.448,59,117.244,"A",51.261,54,17,42.675,99.441,"Class3","Z"
67.653,9.14,82,32.963,"L",36.709,48,44,0.537,17.098,"Class1","B"
27.906,68.407,72,66.84,"Y",NA,86,61,80.485,67.004,"Class2","E"
63.656,16.474,89,20.928,"R",58.06,55,44,6.316,17.466,"Class1","E"
14.559,75.714,82,67.391,"L",64.885,84,70,90.61,54.256,"Class2","E"
31.215,73.907,47,88.58,"L",64.154,66,42,46.552,99.998,"Class3","C"
25.383,89.954,71,75.272,"L",56,86,72,81.767,55.744,"Class2","B"
64.745,10.188,76,38.763,"Q",52.168,50,44,NA,16.822,"Class1","U"
18.18,72.993,72,75.883,"L",54.721,87,61,83.149,70.283,"Class2","E"
67.01,18.632,71,51.325,"B",39.271,51,46,3.753,16.261,"Class1","B"
65.228,10.393,70,32.772,"Q",95.866,63,44,3.66,34.528,"Class1","U"
72.129,73.212,87,57.984,"M",37.486,70,21,43.876,30.681,"Class3","G"
64.913,15.845,88,40.637,"B",91.677,51,43,7.385,31.626,"Class1","B"
34.406,40.349,44,5.933,"D",79.193,51,20,46.826,13.457,"Class3","Z"
14.934,85.776,73,40.694,"N",61.507,85,56,84.682,66.675,"Class2","H"
14.945,82.798,82,54.993,"L",45.727,87,47,81.535,34.875,"Class2","H"
22.78,72.076,71,57.397,"N",50.077,86,56,80.932,35.342,"Class2","H"
68.096,91.694,57,93.29,"L",74.398,43,41,42.725,47.109,"Class3","G"
64.359,9.193,73,32.981,"X",45.548,64,43,7.118,22.937,"Class1","E"
48.502,83.382,47,78.138,"A",79.111,52,29,41.728,2.664,"Class3","J"
17.531,84.087,74,56.461,"U",50.188,87,90,86.119,28.353,"Class2","E"
63.7,11.412,75,31.519,"Q",83.781,60,46,4.233,-6.801,"Class1","B"
71.159,89.332,89,46.465,"L",41.303,74,17,48.023,78.962,"Class3","L"
14.18,68.86,77,71.23,"N",60.465,85,71,79.55,75.325,"Class2","C"
65.71,18.516,86,18.66,"R",88.746,69,44,4.496,31.153,"Class1","E"
14.823,74.189,76,56.339,"Y",64.678,83,66,86.859,63.517,"Class2","B"
78.31,59.719,50,129.518,"M",65.749,44,40,50.864,22.289,"Class3","C"
68.556,60.38,75,35.744,"L",32.673,62,39,44.412,50.4,"Class3","G"
22.223,75.104,74,59.453,"Y",NA,87,81,81.028,69.593,"Class2","B"
18.029,88.608,82,45.302,"Y",40.291,84,69,NA,54.989,"Class2","H"
66.015,10.715,80,31.533,"X",49.181,54,43,5.907,26.491,"Class1","R"
29.962,54.628,30,7.255,"D",39.616,34,31,40.498,49.109,"Class3","Z"
13.174,88.276,73,45.471,"L",NA,87,47,84.395,60.875,"Class2","B"
53.112,60.115,31,86.685,"A",38.118,30,37,48.511,116.312,"Class3","J"
42.492,44.708,64,48.768,"D",NA,68,29,50.611,12.899,"Class3","J"
53.734,41.51,78,61.831,"D",57.13,75,26,43.679,36.441,"Class3","C"
87.559,82.034,39,85.604,"L",33.268,48,27,43.615,11.592,"Class3","J"
86.747,70.692,81,54.659,"C",NA,37,18,46.716,4.387,"Class3","Z"
71.59,67.856,57,84.356,"A",70.858,30,39,NA,82.767,"Class3","C"
28.497,66.564,72,68.175,"N",45.994,87,86,88.799,58.383,"Class2","V"
65.956,6.271,89,25.704,"B",35.295,64,44,5.527,28.632,"Class1","U"
30.468,86.965,79,58.194,"N",47.404,86,55,85.465,99.304,"Class2","C"
22.656,90.882,79,75.935,"L",55.154,88,63,79.889,107.552,"Class2","B"
55.995,44.426,65,90.038,"C",34.416,40,23,42.511,48.468,"Class3","C"
22.121,92.289,80,66.754,"U",59.504,88,81,87.756,98.25,"Class2","H"
17.964,83.018,77,49.688,"N",46.216,87,87,82.707,79.089,"Class2","H"
67.169,12.124,72,39.113,"R",85.14,60,46,2.51,12.871,"Class1","U"
14.52,68.26,74,52.434,"D",36.786,85,69,81.318,47.047,"Class2","B"
63.915,13.632,88,52.357,"Q",54.955,59,46,NA,10.529,"Class1","B"
78.043,76.771,91,96.941,"L",64.485,57,25,49.402,56.748,"Class3","G"
63.622,16.312,73,30.23,"Q",97.408,64,46,8.268,42.209,"Class1","U"
63.265,40.763,48,67.075,"C",63.61,48,37,45.06,51.054,"Class3","J"
63.72,9.856,79,47.839,"X",34.637,49,45,3.535,26.608,"Class1","R"
65.946,18.977,88,23.75,"R",37.237,60,43,10.376,21.938,"Class1","T"
86.956,50.175,47,-8.608,"M",39.923,60,37,48.77,-14.747,"Class3","G"
65.631,16.677,87,16.458,"B",50.859,66,45,12,23.227,"Class1","B"
66.96,17.7,70,45.443,"B",50.321,62,46,4.465,22.497,"Class1","U"
21.234,77.241,73,52.01,"Y",35.66,85,85,83.672,41.14,"Class2","C"
63.566,12.759,82,32.282,"L",82.359,53,46,11.195,4.012,"Class1","E"
64.28,11.58,74,41.436,"Q",98.595,57,45,4.636,21.249,"Class1","R"
62.662,19.783,78,32.17,"R",48.681,64,43,4.366,13.497,"Class1","T"
68.827,5.237,82,29.191,"B",58.57,69,43,2.467,18.051,"Class1","R"
45.454,67.159,31,39.994,"A",56.961,51,28,39.465,15.548,"Class3","L"
77.921,46.165,29,33.412,"L",63.946,37,37,46.307,81.116,"Class3","G"
18.949,67.508,72,79.95,"D",37.04,86,73,82.483,51.49,"Class2","V"
26.066,86.56,79,66.891,"D",NA,83,83,84.226,78.074,"Class2","V"
62.812,6.302,91,43.887,"R",NA,50,44,6.946,4.219,"Class1","E"
67.916,15.195,90,41.628,"X",52.178,64,46,6.075,22.071,"Class1","B"
65.123,79.766,52,117.213,"C",39.65,69,28,44.301,52.413,"Class3","J"
79.381,51.857,36,88.724,"D",75.478,58,18,43.992,74.923,"Class3","J"
17.335,93.823,75,67.378,"U",NA,87,85,76.786,79.323,"Class2","H"
78.709,47.418,85,106.817,"L",42.511,59,31,41.751,33.55,"Class3","G"
62.551,14.046,70,32.126,"R",52.009,66,43,0.107,27.99,"Class1","R"
65.897,94.951,58,71.73,"C",47.203,73,42,49.17,45.323,"Class3","Z"
28.61,73.327,75,55.905,"N",62.092,85,47,84.115,37.967,"Class2","H"
38.111,53.766,76,56.957,"A",65.453,42,17,46.96,25.707,"Class3","G"
67.983,45.8,65,55.292,"D",60.008,63,30,40.052,40.928,"Class3","G"
18.011,81.352,80,75.765,"L",48.493,85,53,80.674,46.272,"Class2","B"
39.772,57.388,44,18.331,"C",48.616,76,36,41.842,56.562,"Class3","L"
76.117,70.508,79,101.266,"A",47.73,46,21,38.668,37.411,"Class3","C"
25.11,81.83,77,60.525,"Y",37.541,88,75,82.811,79.915,"Class2","C"
16.219,65.353,80,49.609,"D",37.374,86,55,85.412,60.783,"Class2","V"
66.314,5.344,82,21.828,"X",56.974,66,46,-1.867,25.268,"Class1","R"
27.556,86.266,79,63.958,"Y",39.438,84,59,87.126,25.99,"Class2","E"
19.527,89.039,73,57.62,"Y",41.799,83,88,NA,47.136,"Class2","V"
73.248,94.665,91,90.593,"M",80.952,58,35,44.062,116.426,"Class3","J"
67.82,10.632,72,13.854,"R",60.166,61,45,-1.326,21.388,"Class1","B"
62.519,9.447,75,37.565,"L",56.76,64,45,9.251,13.199,"Class1","U"
65.869,11.302,76,25.243,"Q",39.617,55,45,NA,12.355,"Class1","E"
62.757,18.071,81,44.507,"X",80.198,49,44,6.282,8.179,"Class1","R"
38.886,46.277,51,41.3,"L",46.977,62,36,40.151,26.133,"Class3","Z"
25.405,71.521,82,56.03,"L",45.856,87,45,75.896,89.191,"Class2","C"
84.307,42.216,59,28.463,"M",73.43,61,17,36.742,37.117,"Class3","G"
31.828,93.377,79,56.94,"L",55.999,88,73,78.467,55.954,"Class2","C"
62.093,6.428,80,17.155,"R",94.47,60,45,4.818,21.148,"Class1","U"
19.09,82.514,77,60.65,"U",59.079,83,47,85.092,47.806,"Class2","C"
63.95,17.799,84,37.523,"B",75.023,66,45,2.71,3.383,"Class1","R"
17.799,93.889,77,63.285,"N",41.129,83,63,82.499,61.797,"Class2","C"
15.042,93.379,78,56.677,"N",42.954,84,91,81.644,51.434,"Class2","H"
21.355,66.654,73,59.83,"N",40.764,82,50,80.769,88.443,"Class2","C"
49.965,74.071,84,11.237,"M",47.226,52,35,48.728,98.825,"Class3","Z"
30.963,80.342,73,37.035,"D",NA,42,27,NA,21.821,"Class3","L"
48.686,79.081,68,48.996,"C",77.864,62,35,52.867,32.077,"Class3","G"
42.043,59.954,60,53.121,"D",45.938,41,39,43.489,45.084,"Class3","Z"
24.863,78.92,82,47.189,"D",40.213,86,63,82.747,31.834,"Class2","C"
64.548,8.378,77,14.558,"X",87.781,69,46,4.382,18.6,"Class1","U"
64.866,9.222,78,37.424,"X",43.921,63,44,6.368,10.847,"Class1","R"
62.874,18.686,88,30.67,"X",50.51,70,44,1.497,14.646,"Class1","B"
65.505,17.394,87,47.597,"Q",85.086,53,46,6.036,28.529,"Class1","T"
28.207,84.607,79,63.606,"Y",40.454,88,61,81.973,48.681,"Class2","E"
64.817,9.247,85,32.176,"X",78.071,68,43,2.863,25.012,"Class1","R"
75.838,66.673,60,62.916,"C",51.157,35,31,45.397,67.181,"Class3","G"
31.896,74.733,76,61.438,"Y",62.257,82,81,84.609,34.573,"Class2","H"
17.562,81.337,75,61.636,"N",64.345,88,91,80.832,95.913,"Class2","E"
30.57,44.608,78,26.428,"L",71.341,45,17,49.256,62.392,"Class3","J"
19.614,88.922,72,50.275,"L",35.298,83,68,72.778,87.992,"Class2","C"
24.506,88.918,75,71.838,"L",59.802,82,73,80.989,69.19,"Class2","C"
62.075,10.517,85,18.33,"B",NA,58,45,0.89,28.925,"Class1","E"
56.225,49.141,56,55.964,"C",35.512,58,24,49.706,19.456,"Class3","G"
58.39,92.45,48,72.635,"C",77.674,63,30,46.356,88.571,"Class3","C"
84.765,93.328,58,85.415,"C",NA,72,34,NA,66.304,"Class3","Z"
22.488,89.048,72,59.08,"N",59.076,83,79,73.646,89.169,"Class2","C"
67.2,12.138,78,35.123,"L",42.366,48,43,6.337,25.205,"Class1","U"
12.842,68.573,75,48.338,"U",50.095,85,61,83.79,42.393,"Class2","C"
67.545,17.775,80,36.647,"X",74.634,67,46,11.916,22.688,"Class1","B"
15.591,76.073,73,56.892,"D",39.798,83,63,90.265,74.529,"Class2","H"
65.705,16.285,89,37.089,"X",NA,50,44,4.525,7.949,"Class1","R"
63.7,14.449,91,28.964,"L",66.884,66,46,3.914,24.661,"Class1","R"
24.284,88.459,80,58.717,"D",52.86,84,91,85.815,29.434,"Class2","E"
65.414,10.473,74,43.927,"Q",42.504,58,44,5.304,6.5,"Class1","T"
78.638,47.009,30,49.173,"A",47.991,33,37,45.022,47.435,"Class3","G"
26.258,70.653,76,42.71,"U",45.923,82,90,81.17,94.127,"Class2","E"
65.062,8.317,89,48.639,"B",41.649,53,43,3.682,23.022,"Class1","U"
76.569,90.187,70,118.86,"C",50.735,64,42,43.827,113.136,"Class3","J"
14.325,88.124,77,59.709,"Y",55.854,87,82,85.103,85.974,"Class2","V"
25.767,92.907,76,58.993,"N",59.461,85,45,84.888,105.286,"Class2","V"
15.44,82.092,80,68.525,"U",NA,83,76,83.608,58.806,"Class2","E"
28.753,68.263,81,70.665,"Y",40.785,83,88,83.041,47.316,"Class2","C"
21.165,77.002,79,57.923,"N",60.015,86,62,75.302,52.919,"Class2","E"
43.756,77.28,85,56.682,"A",NA,40,30,37.855,22.674,"Class3","L"
22.484,88.185,74,64.502,"Y",65.307,84,45,75.98,65.908,"Class2","E"
63.477,5.063,72,27.809,"L",98.382,59,46,6.954,19.296,"Class1","B"
51.689,84.307,33,71.049,"A",53.074,75,23,49.877,62.887,"Class3","J"
34.714,63.743,32,76.206,"A",NA,33,18,43.353,85.35,"Class3","L"
31.73,84.994,73,48.98,"N",52.876,82,89,87.079,48.344,"Class2","E"
63.818,18.644,91,35.322,"R",91.25,70,46,5.712,24.68,"Class1","B"
64.367,18.999,75,31.325,"Q",48.335,53,43,3.572,18.006,"Class1","T"
63.991,17.561,74,41.541,"Q",52.461,50,43,10.39,6.566,"Class1","E"
64.731,8.869,88,19.125,"L",41.991,73,45,10.348,14.489,"Class1","R"
66.295,18.732,90,22.375,"B",NA,63,43,5.804,24.854,"Class1","U"
62.635,7.745,81,36.543,"X",89.863,64,43,7.116,13.111,"Class1","R"
66.782,12.056,73,52.897,"L",59.377,58,43,1.689,15.949,"Class1","T"
26.006,93.858,79,64.437,"U",51.11,84,63,89.019,51.42,"Class2","C"
68.601,17.864,79,34.239,"Q",57.37,58,43,6.528,23.967,"Class1","E"
80.184,89.877,64,118.437,"L",61.478,76,23,44.131,13.428,"Class3","Z"
66.845,12.537,84,41.858,"Q",53.777,71,43,8.12,35.575,"Class1","T"
13.769,69.36,81,58.644,"N",37.824,87,68,85.209,48.438,"Class2","E"
84.555,38.162,52,65.129,"M",63.679,46,33,42.191,59.437,"Class3","Z"
15.431,75.539,73,36.779,"Y",50.705,84,73,78.106,66.467,"Class2","H"
67.131,19.763,81,23.378,"Q",70.333,69,45,6.097,3.169,"Class1","T"
67.028,5.031,79,55.48,"B",35.873,69,43,-2.639,22.669,"Class1","U"
62.177,16.38,70,29.845,"X",87.557,60,44,6.197,15.168,"Class1","E"
17.887,81.228,82,68.361,"U",49.312,83,81,86.225,44.018,"Class2","V"
23.243,69.353,77,55.832,"L",40.708,88,53,81.219,54.596,"Class2","H"
12.278,69.181,71,53.361,"N",57.217,83,63,83.474,59.128,"Class2","V"
66.726,15.596,87,34.822,"B",69.698,66,44,7.996,44.308,"Class1","E"
12.25,79.854,79,62.12,"N",43.327,83,90,84.563,69.13,"Class2","C"
62.188,19.141,75,37.229,"R",81.411,63,44,4.648,5.97,"Class1","U"
64.766,16.434,77,42.541,"Q",82.975,67,45,7.006,17.727,"Class1","B"
64.783,18.634,79,13.332,"R",70.163,63,46,8.837,32.324,"Class1","B"
64.077,19.396,70,42.247,"X",75.772,66,46,6.644,40.656,"Class1","U"
28.222,84.207,71,56.015,"U",52.664,83,82,81.959,51.076,"Class2","C"
62.048,7.734,76,47.394,"R",70.757,71,46,2.296,25.82,"Class1","T"
67.355,12.548,77,44.879,"X",67.336,59,45,0.441,11.908,"Class1","B"
68.077,17.657,76,45.439,"B",35.431,56,44,5.549,23.95,"Class1","T"
