"X1","X2","X3","X4","X5","X6","X7","X8","Output23","X9","X10","X11"
62.417,30.013,53.101,77.207,28,38,66.307,84.274,"Class2","K","K",50
59.09,25.708,47.06,74.999,40,53,45.797,74.047,"Class2","T","R",60
59.097,19.763,43.364,10.97,35,85,42.742,41.507,"Class1","R",NA,33
59.105,34.218,51.948,77.105,10,61,40.655,66.124,"Class2","X","R",68
61.707,22.407,46.013,80.269,14,34,53.029,91.239,"Class2","K","K",49
58.235,27.122,NA,77.641,32,59,44.414,56.571,"Class2","B","R",71
48.424,64.641,81.052,61.179,10,8,48.636,19.951,"Class3","I","H",67
61.848,20.262,61.197,77.383,33,49,65.331,53.918,"Class2","K","I",64
59.191,35.2,30.878,80.818,40,31,34.901,78.537,"Class2","B","O",81
47.799,85.617,85.672,68.534,62,25,48.211,16.775,"Class3","Z","R",69
35.909,54.46,93.974,89.275,51,20,47.909,0.576,"Class3","M","H",65
11.205,70.987,84.626,40.29,4,24,47.868,46.875,"Class3","I","R",63
9.847,57.455,85.851,33.595,49,8,47.467,43.867,"Class3","I","X",63
62.864,28.439,71.535,78.756,45,31,55.141,79.214,"Class2","X","S",67
22.271,48.473,88.574,6.084,3,17,48.233,55.575,"Class3","L","O",69
50.701,46.607,91.007,62.243,2,9,48.247,19.428,"Class3","E","C",67
55.98,74.304,NA,21.177,37,63,43.736,41.089,"Class1","S","V",35
29.178,72.529,NA,131.629,19,21,48.467,19.614,"Class3","E","O",63
60.982,28.497,29.553,71.239,23,34,45.277,73.023,"Class2","B","K",66
57.584,45.733,28.107,7.704,44,75,39.092,41.315,"Class1","N","K",34
62.727,78.55,70.13,1.091,45,73,40.354,40.35,"Class1","S","F",34
38.009,51.462,NA,95.43,28,25,48.261,54.628,"Class3","Z","X",67
58.434,28.061,76.861,79.639,25,45,49.306,68.261,"Class2","T","O",61
26.416,57.455,89.899,48.632,49,21,48.765,73.252,"Class3","M","R",68
59.108,23.979,NA,73.99,27,42,59.758,68.431,"Class2","K","R",58
26.111,85.247,92.748,56.246,4,27,48.542,10.088,"Class3","M","X",63
66.71,71.641,12.765,15.297,46,64,34.608,41.922,"Class1","P","V",34
61.943,30.948,34.628,17.659,39,82,45.262,41.332,"Class1","R","F",33
42.601,58.727,90.846,28.022,35,24,48.104,10.443,"Class3","Z","R",63
29.885,50.332,79.374,63.702,80,19,48.012,49.457,"Class3","I","X",64
24.819,51.101,92.918,-4.757,22,24,47.994,20.432,"Class3","I","X",67
68.258,50.66,16.052,11.349,47,71,31.04,41.561,"Class1","P","K",36
59.64,32.494,83.351,79.261,30,34,48.962,86.677,"Class2","B","O",70
50.96,57.783,84.726,80.37,55,21,48.256,27.339,"Class3","Z","X",68
59.913,23.63,44.131,79.392,21,48,52.377,78.988,"Class2","K","S",61
55.389,84.532,43.227,13.83,42,92,48.012,41.765,"Class1","S","R",35
61.446,29.184,77.944,73.596,16,30,47.344,85.764,"Class2","S","I",64
42.92,72.607,86.646,48.711,43,9,48.281,53.366,"Class3","L","R",66
8.907,74.774,79.62,73.753,29,18,48.873,55.983,"Class3","M","C",65
42.557,54.931,78.319,19.906,42,27,48.751,40.778,"Class3","Z","C",66
44.781,83.645,95.542,45.522,38,18,48.745,11.718,"Class3","I","O",64
59.145,50.163,57.037,12.746,36,86,45.733,41.392,"Class1","Q","C",35
60.234,26.619,89.707,73.339,29,44,62.626,71.096,"Class2","B","S",50
67.681,79.791,25.594,20.187,43,58,38.609,41.646,"Class1","R","C",33
31.677,63.439,88.435,64.066,45,19,49.002,31.052,"Class3","L","X",67
12.296,42.201,88.652,52.953,59,22,48.052,15.186,"Class3","M","X",68
59.305,68.47,26.823,14.449,40,65,42.664,41.643,"Class1","R","R",34
11.942,36.913,84.903,36.793,80,20,48.981,53.441,"Class3","I","R",65
57.226,57.71,83.011,7.697,43,62,35.057,40.852,"Class1","R","C",35
59.949,29.003,42.301,74.378,32,49,63.831,91.993,"Class2","K","S",63
61.845,22.232,82.315,76.309,10,62,41.301,85.807,"Class2","K","S",71
60.456,27.434,40.797,81.244,40,37,44.178,53.947,"Class2","B","K",54
13.391,53.461,87.727,73.465,71,16,48.329,25.911,"Class3","Z","H",65
40.364,42.603,97.404,39.219,62,25,48.806,64.398,"Class3","E","R",66
61.83,45.191,78.679,23.534,36,73,35.125,41.69,"Class1","N","R",33
72.085,45.402,57.756,18.923,44,53,43.513,40.708,"Class1","R","R",34
23.454,43.879,90.948,70.852,5,15,48.272,2.9,"Class3","M","H",63
55.129,67.375,66.701,22.5,40,76,41.519,40.388,"Class1","R","F",34
47.188,66.877,85.768,33.006,33,20,48.395,43.088,"Class3","L","R",69
25.589,55.958,91.248,47.935,51,22,48.24,39.651,"Class3","L","R",63
60.512,28.811,33.504,78.687,46,43,24.853,87.694,"Class2","T","I",66
44.494,55.993,83.444,50.593,33,20,49.205,38.211,"Class3","E","X",68
38.513,44.123,97.421,41.668,36,9,48.335,11.834,"Class3","L","O",64
58.04,29.304,38.925,71.573,24,41,65.486,59.466,"Class2","S","I",85
55.126,28.816,74.996,11.335,41,82,44.528,40.844,"Class1","S","K",36
60.796,28.657,81.872,72.153,21,58,78.788,92.56,"Class2","X","O",81
62.55,24.626,52.624,78.792,27,36,49.256,81.426,"Class2","K","R",87
56.787,74.976,55.441,19,43,55,46.253,41.838,"Class1","S","R",35
59.683,26.703,25.708,78.926,46,60,48.775,64.1,"Class2","K","R",85
72.313,83.283,76.64,35.698,35,72,31.945,41.316,"Class1","R","C",35
61.876,29.965,45.953,76.04,44,32,65.833,87.849,"Class2","T","I",73
20.867,57.182,87.759,63.687,41,8,48.569,77.98,"Class3","L","H",64
17.695,44.244,86.064,57.232,78,22,48.697,53.78,"Class3","L","H",63
26.83,50.619,75.156,46.433,62,25,48.799,66.196,"Class3","M","X",63
66.475,52.561,46.318,24.347,47,58,42.456,40.877,"Class1","R","V",35
59.907,22.838,69.101,74.734,39,60,53.841,73.841,"Class2","S","R",78
17.22,34.338,94.703,44.371,14,16,48.301,44.654,"Class3","I","C",63
62.895,26.194,36.144,74.1,26,36,43.224,70.28,"Class2","X","O",70
58.735,27.768,63.031,72.325,35,43,56.251,76.73,"Class2","T","I",64
62.408,25.784,88.077,78.227,25,46,47.564,66.056,"Class2","K","K",69
59.47,44.438,73.3,14.6,40,54,46.086,41.41,"Class1","N","V",36
62.859,20.703,82.555,80.831,19,40,58.877,77.343,"Class2","T","I",73
72.295,19.996,63.522,16.782,44,81,43.74,41.409,"Class1","N","K",36
61.828,32.693,46.098,75.479,24,53,58.645,86.095,"Class2","S","I",51
62.722,29.995,77.322,76.337,28,49,57.116,90.283,"Class2","X","I",62
59.268,26.304,79.214,73.524,25,46,67.774,65.447,"Class2","S","O",59
15.863,53.615,86.657,58.431,22,17,49.209,62.209,"Class3","E","X",65
64.58,69.725,16.059,22.378,40,87,40.501,40.33,"Class1","S","R",35
71.561,71.097,52.644,11.666,37,71,48.293,40.851,"Class1","R","K",34
68.847,69.926,NA,25.076,47,92,36.374,41.798,"Class1","Q","F",36
58.819,30.74,46.873,71.022,36,48,47.947,92.257,"Class2","S","R",86
61.609,23.466,78.861,78.179,32,38,40.31,67.113,"Class2","X","R",72
40.135,41.939,85.074,46.305,12,27,49.41,18.245,"Class3","L","H",65
60.725,28.596,80.834,75.463,13,37,58.563,83.459,"Class2","T","K",83
56.575,51.993,40.107,24.057,38,73,29.091,41.906,"Class1","S","R",34
40.055,44.261,90.214,40.796,50,9,49.005,25.391,"Class3","M",NA,65
62.969,26.423,NA,81.526,13,33,55.373,65.957,"Class2","K","O",57
72.775,69.976,49.951,24.083,35,54,40.113,40.69,"Class1","P","R",33
69.351,92.68,66.277,20.563,39,78,47.589,40.958,"Class1","P","K",36
68.741,33.609,22.561,23.351,41,89,42.468,41.993,"Class1","P","R",36
48.753,56.27,86.005,120.06,39,22,48.207,40.908,"Class3","E",NA,67
62.614,22.27,86.924,74.95,10,61,43.265,71.429,"Class2","B","O",63
61.36,28.821,84.251,75.571,47,53,66.877,67.595,"Class2","K","O",91
69.535,52.745,28.936,8.665,44,91,41.679,40.157,"Class1","R","R",35
61.749,27.385,62.305,73.869,14,36,50.915,91.087,"Class2","S","S",66
59.893,19.61,38.93,17.43,39,93,46.645,41.195,"Class1","R","C",34
71.457,51.363,41.131,17.213,35,85,34.338,41.822,"Class1","Q","F",35
65.977,58.519,38.469,23.525,40,92,49.453,40.733,"Class1","N","R",36
62.761,30.599,77.549,77.114,32,45,69.019,75.218,"Class2","S","S",78
43.83,57.189,79.26,49.287,7,18,48.385,61.035,"Class3","Z","H",69
62.491,25.549,63.203,75.025,18,47,31.913,78.674,"Class2","B","K",55
60.274,24.056,76.972,77.344,22,47,48.162,74.545,"Class2","B","K",81
61.251,32.037,76.05,79.16,46,44,63.496,71.54,"Class2","S","O",77
45.451,83.198,88.683,28.195,66,16,49.08,76.587,"Class3","Z","X",67
67.153,64.682,27.803,16.79,45,58,36.997,41.868,"Class1","N","K",35
29.984,65.257,81.937,59.537,26,26,47.947,47.266,"Class3","Z","C",63
19.178,69.062,83.075,57.256,59,10,49.144,70.977,"Class3","I","X",64
21.936,55.394,79.416,40.724,1,20,48.842,57.346,"Class3","I","R",66
25.971,61.346,92.092,34.32,6,23,48.361,16.81,"Class3","L","C",64
10.168,61.448,91.616,39.678,50,27,47.838,73.783,"Class3","M","H",69
60.248,28.502,57.26,76.117,33,35,49.279,74.933,"Class2","K","S",58
58.483,49.705,48.538,11.91,37,67,39,40.541,"Class1","N","F",34
40.551,49.19,78.168,95.633,25,25,48.655,47.618,"Class3","Z",NA,69
59.364,27.519,24.625,74.518,33,31,59.271,81.144,"Class2","B","S",59
12.253,80.689,NA,111.511,39,9,48.064,6.507,"Class3","Z",NA,67
60.743,23.009,59.619,82.551,30,48,56.152,78.245,"Class2","X","O",76
58.399,26.016,70.364,80.555,34,61,53.557,74.39,"Class2","B","O",53
71.068,80.687,33.02,18.004,48,89,47.257,41.521,"Class1","P","F",36
66.754,54.28,13.129,16.446,47,60,43.526,41.244,"Class1","P","V",36
64.639,78.953,42.116,26.891,42,70,49.274,41.59,"Class1","Q","V",34
40.097,71.215,86.585,55.019,4,21,48.534,13.977,"Class3","Z","X",67
72.058,70.399,20.668,21.924,41,55,36.893,41.416,"Class1","Q","R",36
23.622,30.327,93.344,44.083,74,21,48.501,28.81,"Class3","L","X",67
29.034,49.668,95.068,45.534,48,13,48.331,43.218,"Class3","L","C",64
47.239,63.122,77.546,45.654,8,13,48.935,2.442,"Class3","L","X",66
60.589,24.43,64.635,72.902,20,50,35.605,92.255,"Class2","T","I",49
59.374,28.662,50.361,78.27,19,34,38.159,81.806,"Class2","B","R",49
24.947,33.145,82.598,32.201,59,18,48.784,42.84,"Class3","E","C",66
72.603,54.423,41.596,16.943,46,80,27.089,41.038,"Class1","N","V",34
60.975,25.979,89.363,80.102,28,44,66.196,83.297,"Class2","T","K",82
61.359,25.85,52.75,78.554,27,54,55.017,67.671,"Class2","S","I",73
64.056,51.512,65.031,12.078,42,55,37.48,40.737,"Class1","S","V",35
17.309,41.674,97.45,64.449,39,20,48.991,28.919,"Class3","Z","X",66
61.026,24.63,75.735,75.072,30,31,58.864,83.375,"Class2","S","S",78
58.57,25.663,50.333,78.061,11,42,44.791,67.684,"Class2","B","I",50
44.103,60.92,NA,36.919,75,12,48.895,15.185,"Class3","L","O",64
40.763,68.196,97.565,56.269,57,14,49.102,73.609,"Class3","Z","R",68
70.014,42.777,27.244,27.7,45,55,39.554,41.579,"Class1","P","K",36
60.202,28.535,88.886,76.449,18,32,74.754,67.439,"Class2","B","O",79
56.735,74.53,55.762,9.577,43,80,41.759,41.791,"Class1","R","F",35
58.786,35.443,NA,14.485,42,68,43.559,41.723,"Class1","R","K",36
61.685,20.602,81.648,75.591,31,48,60.156,91.67,"Class2","K","O",76
59.506,82.037,69.456,23.132,36,76,36.395,41.413,"Class1","S","V",33
43.516,68.88,76.776,41.5,38,25,48.589,20.65,"Class3","L","X",65
65.175,39.717,25.904,23.023,35,74,52.306,41.185,"Class1","P","K",36
62.149,29.695,71.359,80.066,26,43,67.106,67.757,"Class2","S","O",65
68.894,103.033,67.822,25.008,40,74,28.626,40.261,"Class1","Q","V",33
49.189,44.984,82.777,33.228,25,17,49.03,50.395,"Class3","L","O",63
62.191,22.801,90.686,71.483,48,37,58.401,58.204,"Class2","B","O",52
60.161,25.495,37.702,74.372,39,32,57.147,88.865,"Class2","B","O",70
69.239,77.381,26.793,13.034,47,75,36.662,40.748,"Class1","Q","V",36
58.558,20.818,25.711,74.72,15,32,38.899,75.249,"Class2","T","O",73
45.787,46.478,76.472,55.297,59,17,48.288,53.875,"Class3","L","R",65
58.31,21.55,26.123,77.692,33,46,54.13,63.551,"Class2","K",NA,90
30.996,42.27,83.57,63.877,21,16,48.768,66.483,"Class3","E","R",65
34.662,61.173,90.808,23.957,9,21,48.598,4.09,"Class3","E","O",67
25.25,49.115,85.891,30.353,38,24,48.807,32.022,"Class3","L","C",64
66.397,86.042,70.709,23.616,39,59,42.635,40.142,"Class1","Q","K",36
60.298,24.122,67.787,77.408,40,60,60.648,77.873,"Class2","K","R",91
62.213,61.769,34.815,24.476,45,88,34.971,41.914,"Class1","N","R",36
60.995,74.385,60.325,16.642,47,70,42.967,40.057,"Class1","P","R",35
37.561,48.263,86.676,54.158,42,19,48.63,50.613,"Class3","E","C",69
38.254,50.481,81.251,81.085,74,18,48.836,49.071,"Class3","Z",NA,63
60.802,26.586,58.16,73.802,11,35,54.018,75.132,"Class2","B","S",81
39.653,71.655,96.998,43.341,42,9,48.046,25.767,"Class3","M","C",64
61.199,32.634,30.985,74.558,19,36,68.728,87.891,"Class2","S","I",63
67.895,59.338,70.331,23.153,40,52,46.637,41.185,"Class1","P","R",33
63.168,71.16,23.3,22.569,45,78,37.681,41.301,"Class1","Q","F",36
69.48,71.827,86.599,15.26,46,67,32.877,40.49,"Class1","Q","C",33
64.463,40.629,15.799,21.264,40,75,36.422,41.723,"Class1","P","R",33
61.807,21.248,27.956,76.324,43,41,53.325,74.717,"Class2","T","S",74
27.45,48.558,93.177,41.098,24,27,48.554,47.288,"Class3","I","H",65
59.607,27.663,89.158,73.134,19,32,55.521,56.192,"Class2","X","O",75
60.095,80.293,28.713,25.138,38,53,41.642,40.681,"Class1","S","R",33
69.306,87.042,83.974,14.094,35,63,41.012,40.415,"Class1","Q","K",36
61.402,42.527,63.177,16.318,45,73,41.712,41.635,"Class1","R","V",34
61.268,57.723,12.775,23.292,46,84,39.213,41.508,"Class1","N","K",34
58.732,23.231,33.001,73.277,16,53,42.039,82.82,"Class2","T","K",87
60.95,26.274,73.275,72.69,47,55,20.175,55.289,"Class2","T","R",51
61.281,31.368,47.184,74.984,33,53,39.955,62.67,"Class2","K","K",50
61.184,34.111,46.228,74.536,42,33,25.591,83.281,"Class2","T","R",70
60.65,25.205,34.117,73.824,24,47,40.114,82.347,"Class2","K","I",76
69.153,73.142,20.715,15.007,37,86,34.048,40.738,"Class1","R","C",36
59.295,28.482,50.445,74.992,45,46,50.788,92.026,"Class2","K","K",54
68.602,53.425,18.091,19.87,48,91,35.146,40.745,"Class1","N","F",34
31.439,62,80.341,23.111,57,11,49.091,56.113,"Class3","Z","O",66
72.632,98.161,85.043,23.508,42,53,39.177,40.232,"Class1","Q","C",36
60.058,24.163,85.042,76.867,12,38,58.831,88.101,"Class2","B","O",64
61.584,43.194,27.72,19.806,46,55,45.931,40.823,"Class1","P","C",33
62.736,26.459,80.359,75.494,14,46,54.642,62.401,"Class2","K","S",49
61.069,18.284,32.654,78.926,43,61,56.709,77.189,"Class2","X","I",90
58.503,22.114,42.131,81.932,42,57,41.674,90.286,"Class2","S","O",79
59.452,28.286,52.995,75.134,39,35,37.883,54.653,"Class2","K","O",57
68.402,45.479,NA,18.523,42,88,45.385,41.761,"Class1","R","F",35
58.285,29.064,38.035,80.711,10,35,45.485,58.547,"Class2","S","S",91
56.349,82.639,26.559,20.635,43,57,39.821,41.938,"Class1","S","R",34
69.079,81.884,32.842,13.721,46,65,34.82,40.226,"Class1","S","R",34
10.813,81.1,81.001,62.224,3,9,48.456,65.892,"Class3","M","H",67
58.343,27.78,45.411,76.855,41,46,68.473,78.083,"Class2","B","R",79
66.162,23.514,51.937,8.049,35,84,44.203,41.858,"Class1","N","C",34
61.093,22.766,26.001,79.079,27,43,49.785,89.826,"Class2","S","S",54
62.219,58.221,55.994,21.913,35,89,39.394,41.149,"Class1","S","R",35
60.767,21.61,53.013,73.992,40,43,62.373,87.069,"Class2","S","I",67
58.741,26.258,27.052,73.898,40,52,46.875,74.534,"Class2","T","R",69
61.051,25.387,30.754,81.284,21,43,56.27,67.96,"Class2","B","S",53
64.41,60.434,52.655,17.72,41,78,34.765,40.32,"Class1","N","R",34
23.501,55.567,97.843,58.205,45,17,48.814,10.968,"Class3","L","O",68
60.306,85.945,31.911,17.77,37,65,37.126,40.97,"Class1","R",NA,34
58.249,28.837,67.839,72.738,29,62,43.677,81.24,"Class2","K","R",86
30.617,49.704,93.979,50.257,62,11,48.764,17.407,"Class3","M","R",63
42.172,42.486,93.635,57.824,11,21,48.298,58.013,"Class3","I","O",69
56.209,74.672,31.771,14.47,36,92,37.385,40.729,"Class1","R","C",34
37.181,77.74,74.425,59.9,39,13,48.8,25.879,"Class3","E","O",65
56.054,74.175,86.984,23.68,43,59,47.268,40.082,"Class1","S","R",33
68.15,33.756,61.957,10.926,44,80,38.571,40.768,"Class1","R","R",34
10.947,42.785,85.09,63.158,23,8,48.108,50.128,"Class3","Z","X",64
59.581,24.89,57.863,77.701,33,30,60.196,91.469,"Class2","B","I",62
61.884,26.344,64.931,77.248,21,31,54.942,55.721,"Class2","X","I",66
20.169,49.464,83.244,85.523,57,19,49.29,30.419,"Class3","Z","O",69
61.091,54.536,NA,16.776,39,54,42.917,41.842,"Class1","R","F",36
40.889,67.484,81.468,20.615,79,20,48.878,55.583,"Class3","Z","H",64
62.371,27.086,32.548,78.384,30,45,63.962,71.346,"Class2","X","O",90
67.139,78.095,15.068,15.356,41,76,43.463,40.87,"Class1","N","F",34
59.49,27.278,68.503,75.805,41,58,52.886,73.278,"Class2","K","K",68
59.421,26.839,42.637,78.23,40,36,58.556,57.827,"Class2","T","I",80
61.917,64.073,39.367,23.839,46,90,37.11,41.873,"Class1","N","K",35
61.296,45.006,60.994,8.401,41,84,36.042,40.534,"Class1","N",NA,35
60.182,71.862,55.322,18.971,38,65,42.148,41.767,"Class1","S","F",33
60.218,30.834,48.606,72.746,38,30,43.399,72.387,"Class2","T","R",51
59.485,27.917,52.434,76.02,44,41,53.994,61.815,"Class2","S","K",85
38.442,34.481,75.435,46.435,36,8,48.528,1.942,"Class3","I","O",65
61.908,21.747,47.435,78.805,11,49,49.256,85.22,"Class2","S","O",83
40.744,35.321,95.814,53.381,70,13,48.522,69.924,"Class3","M","H",68
68.293,68.139,80.848,23.149,45,55,49.504,41.437,"Class1","Q","F",35
10.851,62.767,91.374,80.094,21,22,48.369,18.872,"Class3","M","X",69
13.456,52.284,82.944,48.612,67,21,48.778,15.307,"Class3","I","O",69
18.88,78.442,76.981,57.95,7,11,48.841,52.84,"Class3","M","O",66
25.852,45.617,81.121,66.532,67,21,48.487,8.698,"Class3","I","H",63
60.874,27.201,27.074,78.143,36,30,55.679,66.433,"Class2","T","S",78
58.659,25.502,34.984,77.811,35,35,54.066,62.319,"Class2","X","S",83
25.342,54.24,NA,65.261,64,25,48.826,72.026,"Class3","M","X",66
56.24,76.601,77.268,-1.114,39,58,36.512,41.993,"Class1","Q","F",35
59.483,24.048,63.163,71.906,29,60,51.711,75.202,"Class2","K","O",73
50.481,59.141,81.855,75.323,74,19,48.064,17.749,"Class3","I","C",66
61.819,26.6,68.765,78.752,35,34,43.146,89.72,"Class2","T","K",68
66.133,41.815,72.866,26.473,35,82,43.887,40.617,"Class1","N","F",33
11.256,81.796,95.863,96.73,50,19,49.092,47.355,"Class3","Z","R",63
60.696,83.704,NA,28.25,35,75,49.237,41.035,"Class1","R","R",35
58.539,23.052,71.131,71.894,33,51,63.67,68.507,"Class2","T","R",51
72.58,54.393,81.471,22.899,37,62,39.354,40.016,"Class1","P","V",36
38.432,74.059,83.17,60.032,68,26,48.205,27.689,"Class3","Z","R",68
58.118,24.783,82.768,78.848,29,62,57.879,90.597,"Class2","X","S",58
59.427,56.266,37.787,23.831,40,91,40.682,40.634,"Class1","Q","C",35
58.498,71.21,67.326,19.744,40,80,39.915,41.672,"Class1","S","V",36
62.922,23.169,74.793,75.898,18,54,51.141,92.001,"Class2","T","K",59
61.637,27.593,67.054,76.284,17,54,82.773,85.531,"Class2","X","K",85
72.145,95.422,50.312,21.027,46,59,31,40.896,"Class1","P","K",36
61.284,25.879,37.883,74.92,18,51,45.53,86.978,"Class2","T","K",63
11.008,68.512,90.099,45.183,44,9,49.085,42.089,"Class3","Z","C",63
21.062,79.517,83.085,18.241,43,16,49.002,45.703,"Class3","I","O",69
68.35,55.572,16.212,23.622,45,73,39.173,41.651,"Class1","N","F",36
67.019,40.789,41.069,24.308,45,82,37.099,40.197,"Class1","Q","R",36
20.895,42.641,NA,57.828,47,21,48.883,42.69,"Class3","M","C",67
62.178,61.285,50.423,10.472,42,93,41.794,41.151,"Class1","P","V",33
70.717,98.025,67.332,21.706,35,63,38.814,41.779,"Class1","Q","K",34
55.97,63.178,30.335,13.647,39,90,41.657,41.344,"Class1","S","C",33
30.267,47.16,78.471,70.783,14,15,48.244,49.258,"Class3","M","C",64
60.988,29.449,82.862,71.87,48,40,54.852,72.412,"Class2","K","S",66
21.463,55.764,79.037,28.424,53,16,48.132,60.362,"Class3","M",NA,68
38.911,66.922,85.067,57.63,10,25,48.668,2.183,"Class3","I","X",63
43.523,50.766,81.751,101.122,77,19,48.02,28.56,"Class3","E",NA,66
62.451,25.28,37.955,73.487,44,30,54.565,69.062,"Class2","T","R",86
71.924,76.317,79.72,17.099,46,55,40.037,40.574,"Class1","N","F",33
11.555,62.071,93.99,54.089,5,24,48.345,6.9,"Class3","L","X",65
59.109,26.91,NA,71.917,33,52,62.231,71.468,"Class2","X","O",87
58.857,29.622,89.999,74.552,32,36,51.85,58.822,"Class2","T","K",63
61.762,23.428,40.883,78.237,41,52,52.351,75.046,"Class2","S",NA,49
65.661,55.84,34.736,11.845,41,91,32.191,41.092,"Class1","R","K",33
59.242,22.673,77.204,71.348,20,41,57.897,90.324,"Class2","X","R",52
59.005,24.129,76.294,71.433,28,34,21.512,87.724,"Class2","T","O",56
66.33,75.745,42.729,8.314,38,76,31.771,41.762,"Class1","N","F",35
61.708,29.916,44.435,70.295,32,47,39.124,86.493,"Class2","K","O",62
58.206,28.379,89.816,72.459,32,57,56.898,80.712,"Class2","B","K",55
62.165,27.52,62.142,73.561,47,43,62.597,61.245,"Class2","T","K",81
70.167,59.076,21.284,20.373,35,53,35.589,41.547,"Class1","P","C",33
60.741,18.817,24.486,77.426,14,51,53.084,79.7,"Class2","B","S",57
61.646,69.591,39.33,12.223,46,91,30.198,41.573,"Class1","N","R",33
67.326,70.96,79.956,15.293,47,73,45.853,40.336,"Class1","P","F",35
64.398,27.19,27.399,19.4,41,72,36.172,40.313,"Class1","P","K",34
10.944,67.776,85.057,30.585,74,16,48.46,72.682,"Class3","Z","C",63
70.715,118.716,59.073,22.192,37,56,33.106,41.164,"Class1","N","F",33
62.759,21.781,80.526,78.004,25,37,21.733,68.425,"Class2","T","I",50
58.278,23.55,85.743,75.399,36,34,61.936,61.451,"Class2","X","I",89
58.011,28.76,67.68,74.405,30,33,51.33,78.926,"Class2","X","K",69
57.216,66.205,48.317,21.955,44,58,42.49,40.094,"Class1","Q","V",34
59.282,28.133,NA,77.295,17,48,73.987,88.505,"Class2","X","S",89
59.669,26.91,57.435,76.613,18,46,33.339,83.053,"Class2","K","I",54
69.886,59.987,20.506,25.399,39,87,45.137,41.226,"Class1","S","R",36
67.54,47.187,32.784,28.27,45,77,22.786,40.123,"Class1","R","K",33
61.735,30.786,28.213,72.806,15,45,47.737,72.929,"Class2","S","R",52
59.235,26.838,26.65,76.062,39,62,55.663,54.024,"Class2","X","R",78
11.693,40.125,94.208,71.126,10,19,48.984,49.985,"Class3","M","O",64
61.56,26.587,53.122,75.617,32,48,49.963,75.083,"Class2","X","I",58
71.167,94.283,71.751,13.216,39,69,37.172,41.011,"Class1","N","F",33
43.238,38.105,89.695,99.641,7,27,48.656,57.883,"Class3","Z","C",64
61.461,20.676,75.369,78.411,33,52,52.79,65.796,"Class2","S","R",52
