"T1","T2","T3","T4","T5","Output19","T6","T7","T8","T9","T10","T11"
91.24,18.574,62.466,49,65,"Class1",58.397,"K",11.738,86.56,36,"M"
75.009,96.435,10.476,54,82,"Class2",30.166,"A",55.979,22.284,60,"N"
78.978,20.779,40.981,35,3,"Class3",25.865,"M",49.231,84.801,51,"A"
38.326,NA,90.23,58,67,"Class1",63.097,"D",30.895,90.599,42,"B"
17.524,49.74,78.062,64,70,"Class1",62.481,"K",44.071,87.724,31,"J"
81.137,17.147,44.348,40,2,"Class3",26.087,"M",54.9,49.675,57,"T"
85.022,82.355,4.445,65,33,"Class2",27.378,"Y",58.012,42.417,45,"I"
63.742,8.462,61.832,28,5,"Class3",38.279,"M",58.057,32.92,54,"T"
17.835,49.473,58.882,60,73,"Class1",53.644,"X",66.723,95.24,35,"M"
54.847,32.159,67.69,55,67,"Class1",56.084,"I",39.209,87.718,31,"B"
73.59,88.662,6.02,54,60,"Class2",51.148,"Y",53.519,37.072,73,"E"
90.072,85.595,12.661,53,48,"Class2",21.041,"R",55.667,28.142,62,"I"
65.156,26.104,51.462,38,10,"Class3",75.382,"J",49.803,-4.957,58,"A"
96.141,96.478,3.701,62,87,"Class2",NA,"R",48.627,35.619,61,"K"
77.13,19.317,24.759,40,4,"Class3",45.711,"Z",58.369,48.209,55,"G"
64.148,21.69,51.557,39,12,"Class3",56.745,"B",48.433,31.881,53,"T"
70.419,23.583,50.359,33,10,"Class3",79.659,"B",57.146,87.511,52,"T"
92.728,45.39,72.473,49,71,"Class1",59.773,"X",57.898,90.532,44,"M"
37.53,52.48,83.196,47,72,"Class1",55.132,"D",71.703,102.055,52,"M"
55.173,33.114,76.311,66,67,"Class1",NA,"I",14.842,89.127,49,"Q"
64.021,NA,6.96,59,58,"Class2",48.26,"J",47.459,39.678,42,"E"
66.491,89.912,6.21,65,67,"Class2",21.637,"G",47.22,37.515,68,"I"
84.055,22.345,57.14,33,2,"Class3",NA,"J",58.695,24.633,60,"Q"
61.056,27.435,67.977,56,68,"Class1",53.404,"I",57.572,89.777,43,"M"
76.948,30.969,63.141,38,11,"Class3",77.407,"D",50.892,47.576,62,"Q"
80.254,24.059,38.246,27,13,"Class3",25.683,"B",54.296,42.303,58,"A"
93.674,88.747,1.21,53,43,"Class2",40.331,"R",51.91,69.308,50,"N"
72.652,35.874,61.545,67,66,"Class1",58.376,"K",15.539,91.504,39,"B"
84.525,81.846,3.619,55,35,"Class2",50.33,"R",51.665,17.786,35,"V"
47.322,36.862,85.569,48,65,"Class1",63.713,"K",66.553,101.516,37,"J"
23.797,35.209,87.027,57,70,"Class1",54.688,"J",58.009,96.832,40,"J"
29.986,30.449,65.023,54,71,"Class1",53.244,"D",46.051,99.044,33,"Q"
65.811,92.785,6.399,57,36,"Class2",22.95,"G",53.395,22.244,67,"I"
72.986,92.201,5.973,60,55,"Class2",48.795,"Y",48.805,50.203,47,"V"
76.694,98.302,-0.765,65,79,"Class2",25.396,"A",54.025,27.531,46,"I"
80.67,14.612,69.02,41,9,"Class3",34.157,"J",54.275,38.513,58,"T"
51.845,42.356,76.438,58,72,"Class1",58.533,"I",44.615,87.875,31,"E"
80.051,NA,46.216,37,8,"Class3",63.865,"M",47.71,30.895,56,"G"
85.475,32.463,71.763,62,73,"Class1",61.655,"J",60.551,94.606,29,"J"
73.922,90.373,0.745,55,40,"Class2",49.11,"R",54.055,29.188,42,"I"
79.28,15.199,35.28,37,3,"Class3",61.138,"M",60.552,50.511,52,"A"
20.408,51.698,78.595,72,65,"Class1",61.46,"X",35.03,93.446,38,"B"
70.413,85.327,5.813,59,84,"Class2",46.374,"G",49.219,55.685,46,"E"
76.462,21.026,59.45,41,3,"Class3",68.295,"J",54.588,25.452,57,"Q"
81.665,18.315,43.104,34,6,"Class3",29.107,"M",48.52,34.563,59,"Q"
62.759,7.522,42.209,33,11,"Class3",47.882,"M",57.752,45.455,56,"D"
83.845,11.683,46.323,33,2,"Class3",31.68,"D",55.887,28.419,60,"T"
66.472,36.231,61.11,28,6,"Class3",NA,"J",49.009,32.519,54,"T"
79.016,45.783,65.772,61,73,"Class1",62.022,"X",19.673,86.148,42,"J"
75.77,24.145,51.322,27,8,"Class3",60.432,"M",50.887,36.787,61,"G"
68.469,30.557,61.66,31,13,"Class3",36.801,"B",47.122,51.507,57,"Q"
43.69,33.739,64.658,50,69,"Class1",54.378,"K",23.771,91.522,47,"M"
80.647,46.452,76.312,67,69,"Class1",59.23,"J",74.201,94.689,41,"J"
82.46,81.921,3.355,61,46,"Class2",50.195,"G",57.887,14.367,45,"N"
33.423,58.618,82.671,56,70,"Class1",60.067,"D",78.365,93.348,36,"M"
63.67,6.711,36.959,31,11,"Class3",69.817,"J",55.552,30.804,62,"T"
11.346,25.374,51.273,63,65,"Class1",62.798,"K",74.959,95.606,31,"M"
74.147,10.936,24.232,34,12,"Class3",68.474,"B",48.995,43.474,55,"T"
64.294,12.511,30.797,36,7,"Class3",63.582,"J",45.576,45.301,53,"T"
60.315,57.583,75.15,47,71,"Class1",58.626,"D",61.691,91.787,37,"E"
72.246,27.555,49.369,33,13,"Class3",42.45,"B",57.083,69.012,51,"A"
50.124,47.713,64.29,51,72,"Class1",58.764,"X",19.407,94.912,42,"E"
71.659,15.853,33.404,40,6,"Class3",29.023,"Z",51.755,35.53,55,"Q"
55.171,50.105,79.827,48,65,"Class1",54.553,"I",25.164,92.329,54,"Q"
60.364,22.339,80.78,53,73,"Class1",61.02,"D",24.648,94.253,35,"J"
63.479,19.013,59.122,39,13,"Class3",47.365,"Z",50.981,35.058,60,"A"
32.833,52.981,71.217,58,72,"Class1",63.643,"X",15.967,98.983,43,"B"
76.676,83.291,7.863,64,88,"Class2",NA,"G",48.858,53.372,34,"K"
52.402,34.102,64.638,61,73,"Class1",58.641,"J",50.901,91.359,53,"Q"
72.264,10.547,22.229,37,11,"Class3",73.019,"M",58.311,51.103,53,"G"
80.952,18.721,46.906,33,12,"Class3",37.429,"M",51.487,49.874,52,"Q"
75.936,50.457,80.287,48,72,"Class1",60.492,"I",58.607,93.615,33,"M"
82.171,27.228,40.879,31,9,"Class3",43.079,"D",52.728,50.464,61,"T"
71.902,86.504,5.58,62,66,"Class2",46.649,"R",49.332,75.034,47,"I"
76.514,16.026,45.05,36,7,"Class3",72.065,"D",49.904,54.191,52,"D"
18.781,24.989,81.724,53,68,"Class1",60.196,"K",46.427,96.351,31,"B"
78.862,87.206,10.689,57,69,"Class2",57.718,"A",49.635,20.523,39,"V"
66.057,90.023,5.96,55,43,"Class2",35.58,"R",58.285,74.083,69,"N"
77.064,27.968,30.508,40,8,"Class3",66.085,"Z",52.784,1.558,56,"D"
86.249,41.519,65.596,72,73,"Class1",53.007,"J",57.586,93.487,38,"B"
84.107,96.389,-0.913,53,79,"Class2",38.34,"Y",55.724,-5.879,58,"V"
81.772,20.118,50.168,36,2,"Class3",78.525,"B",50.783,52.51,61,"G"
60.854,47.108,69.38,50,71,"Class1",55.596,"K",57.671,89.348,32,"M"
70.948,40.78,70.254,71,66,"Class1",54.414,"I",34.055,98.418,39,"E"
65.979,85.865,4.577,59,64,"Class2",47.832,"R",51.641,0.908,44,"K"
71.18,62.111,65.165,62,70,"Class1",56.772,"K",18.485,87.12,46,"B"
89.724,96.886,5.508,58,62,"Class2",19.99,"J",51.679,60.266,52,"K"
75.595,97.099,10.439,56,72,"Class2",38.121,"Y",55.632,26.97,29,"I"
81.082,NA,-4.576,62,53,"Class2",44.554,"J",59.663,24.005,37,"N"
62.526,15.854,32.207,39,8,"Class3",39.356,"Z",50.725,31.092,54,"G"
82.973,15.817,58.678,26,3,"Class3",59.541,"B",51.801,34.704,59,"A"
78.087,14.309,14.681,33,13,"Class3",57.523,"B",57.719,31.826,52,"T"
72.131,25.641,53.865,32,2,"Class3",67.661,"M",50.942,39.974,56,"Q"
75.771,27.338,20.629,37,9,"Class3",50.281,"M",58.615,54.035,54,"D"
83.142,25.071,45.854,35,4,"Class3",73.764,"D",45.81,-2.287,58,"A"
76.475,28.797,19.709,26,3,"Class3",52.729,"Z",51.069,32.689,62,"T"
91.683,NA,2.679,58,61,"Class2",NA,"G",47.183,49.642,57,"E"
22.522,47.43,72.233,69,69,"Class1",58.614,"I",26.009,88.944,41,"M"
86.369,89.877,4.256,60,60,"Class2",57.047,"G",48.556,71.326,57,"K"
91.907,84.375,4.735,63,56,"Class2",26.387,"R",59.946,30.602,53,"V"
83.214,NA,28.514,40,12,"Class3",53.338,"M",47.355,22.243,57,"Q"
19.052,26.703,71.339,53,73,"Class1",54.574,"K",55.449,93.329,53,"Q"
72.59,NA,74.825,54,71,"Class1",54.32,"I",11.293,88.42,38,"J"
41.757,46.991,82.584,49,68,"Class1",56.889,"K",71.68,92.171,47,"J"
76.295,6.002,80.514,53,70,"Class1",60.73,"X",52.22,93.222,53,"E"
97.723,65.99,80.39,68,67,"Class1",53.654,"X",19.27,89.946,33,"M"
65.935,94.182,5.379,62,40,"Class2",57.739,"G",50.542,31.66,68,"I"
26.388,33.417,66.292,72,67,"Class1",62.564,"K",43.125,88.13,36,"E"
83.105,38.632,84.643,64,73,"Class1",55.451,"I",59.292,93.913,53,"Q"
57.178,37.626,74.2,62,69,"Class1",54.32,"J",28.991,91.838,36,"E"
67.575,20.143,57.45,28,10,"Class3",42.283,"M",59.806,41.852,61,"A"
11.624,53.096,72.357,55,69,"Class1",53.752,"K",62.041,93.294,45,"B"
46.329,39.692,64.373,47,65,"Class1",54.468,"I",66.165,93.477,47,"Q"
77.436,NA,53.105,41,4,"Class3",72.414,"J",45.263,46.454,58,"A"
94.407,82.94,5.625,57,47,"Class2",42.573,"R",53.833,69.476,44,"I"
95.561,87.918,8.275,53,84,"Class2",23.98,"G",59.002,40.779,68,"I"
93.326,95.217,7.332,56,83,"Class2",36.49,"R",51.484,73.08,64,"K"
83.241,30.78,34.042,28,3,"Class3",53.493,"Z",57.73,22.417,56,"A"
15.292,43.581,61.713,53,73,"Class1",55.644,"I",53.23,95.678,51,"J"
83.495,NA,34.525,36,3,"Class3",43.583,"M",46.54,14.969,51,"A"
92.174,63.144,64.606,50,66,"Class1",57.013,"D",40.714,98.322,36,"J"
80.893,12.987,40.705,40,6,"Class3",58.749,"M",53.919,25.6,51,"A"
66.441,95.537,8.213,61,51,"Class2",52.694,"R",51.492,16.28,71,"I"
90.53,15.028,79.665,67,70,"Class1",59.314,"J",74.265,89.838,33,"E"
64.255,25.935,35.269,30,4,"Class3",52.712,"M",59.075,31.904,59,"G"
84.731,23.625,49.093,26,4,"Class3",77.239,"Z",49.739,24.004,61,"D"
43.426,52.097,64.115,64,66,"Class1",57.091,"D",24.535,97.294,39,"B"
73.055,40.322,77.218,73,72,"Class1",55.041,"I",32.384,93.268,46,"B"
92.152,31.3,73.162,72,73,"Class1",58.341,"K",36.466,87.651,29,"E"
63.754,27.394,79.241,63,68,"Class1",53.282,"J",47.149,89.357,54,"E"
25.16,34.988,71.594,57,69,"Class1",54.559,"I",66.704,88.674,37,"B"
83.192,28.253,81.207,59,73,"Class1",NA,"K",56.513,96.205,46,"J"
80.376,47.622,71.188,53,73,"Class1",55.985,"J",41.271,96.999,53,"B"
73.142,56.662,80.169,74,65,"Class1",63.566,"I",18.852,93.364,51,"Q"
71.988,97.377,2.387,58,79,"Class2",22.975,"G",56.021,73.375,74,"V"
78.274,26.61,53.892,34,9,"Class3",23.342,"B",51.372,38.324,60,"D"
92.456,86.505,5.622,58,87,"Class2",37.22,"A",54.256,62.215,58,"V"
74.052,13.568,68.913,30,11,"Class3",57.4,"Z",55.498,-11.18,57,"T"
70.545,87.28,7.087,55,60,"Class2",46.967,"Y",47.997,31.163,31,"E"
19.678,24.062,67.858,73,73,"Class1",61.146,"J",40.685,91.157,52,"M"
95.181,96.316,1.581,59,86,"Class2",47.375,"R",52.82,27.568,30,"N"
92.956,81.174,2.573,64,38,"Class2",34.114,"R",56.116,62.698,46,"V"
25.199,44.198,73.587,68,73,"Class1",61.522,"J",77.536,94.683,30,"E"
62.715,90.48,2.86,58,70,"Class2",55.097,"J",56.525,69.261,46,"V"
83.495,25.71,69.156,67,65,"Class1",63.49,"I",20.404,92.031,48,"M"
73.284,80.361,5.709,57,86,"Class2",32.124,"Y",56.594,-6.394,34,"V"
65.44,29.133,48.369,36,4,"Class3",56.215,"M",53.736,13.087,59,"T"
12.732,20.692,66.762,62,72,"Class1",56.972,"D",48.756,97.219,31,"E"
66.765,83.116,5.793,58,46,"Class2",57.048,"A",52.735,44.349,70,"I"
67.794,92.661,5.019,59,40,"Class2",NA,"J",49.105,67.642,50,"I"
22.128,67.956,72.456,62,70,"Class1",56.995,"K",53.986,91.56,47,"Q"
72.618,25.13,53.423,27,5,"Class3",72.397,"M",47.38,76.216,51,"A"
94.792,96.452,8.782,56,49,"Class2",52.791,"J",55.72,54.298,39,"E"
35.839,NA,75.977,48,68,"Class1",57.32,"K",56.529,94.221,37,"E"
53.809,47.982,72.187,75,71,"Class1",56.224,"D",47.885,100.457,38,"B"
75.333,26.501,52.779,28,12,"Class3",74.111,"M",57.886,37.853,56,"Q"
30.999,26.9,71.234,71,69,"Class1",59.328,"D",49.838,89.556,36,"M"
60.863,50.47,85.876,74,65,"Class1",61.587,"D",21.307,99.264,45,"Q"
75.571,92.068,1.102,53,59,"Class2",36.357,"G",49.813,33.853,29,"N"
47.11,44.377,71.025,60,72,"Class1",60.907,"J",68.57,91.379,45,"J"
57.153,38.668,63.588,66,65,"Class1",57.847,"D",17.926,86.854,49,"M"
68.38,92.758,1.255,62,33,"Class2",NA,"J",58.945,69.823,74,"K"
69.684,98.046,3.847,59,83,"Class2",35.874,"Y",53.122,40.014,42,"V"
36.064,38.391,78.472,69,66,"Class1",63.034,"K",16.132,91.851,29,"J"
90.517,77.543,6.835,55,36,"Class2",40.063,"A",49.593,17.409,43,"K"
84.241,21.674,7.067,32,2,"Class3",24.782,"D",60.024,29.492,56,"T"
76.388,20.783,28.673,39,3,"Class3",52.39,"J",46.975,29.099,56,"T"
69.089,89.612,3.169,58,63,"Class2",24.753,"G",59.433,36.891,46,"I"
78.922,25.344,24.645,30,3,"Class3",61.064,"B",59.309,28.302,54,"T"
32.309,29.617,67.823,61,72,"Class1",53.044,"X",24.015,84.974,51,"B"
38.497,44.391,75.487,70,66,"Class1",53.644,"J",50.921,89.362,43,"J"
21.617,29.025,77.908,59,73,"Class1",58.9,"X",16.081,96.605,49,"B"
76.25,NA,61.285,32,12,"Class3",59.803,"M",50.815,34.969,59,"G"
75.072,33.226,38.609,39,13,"Class3",41.379,"Z",48.062,66.758,56,"Q"
37.237,45.954,68.923,75,65,"Class1",60.624,"J",60.328,95.043,32,"E"
70.438,88.704,5.191,58,66,"Class2",46.446,"J",50.403,15.908,36,"I"
74.712,21.064,48.795,30,10,"Class3",40.731,"J",51.573,33.457,57,"T"
62.094,94.026,2.349,61,38,"Class2",56.848,"G",55.584,69.479,31,"I"
41.969,45.875,72.635,69,71,"Class1",63.122,"X",67.359,92.134,49,"B"
70.003,87.66,5.124,60,39,"Class2",46.324,"Y",53.35,30.007,39,"I"
71.947,85.384,5.825,60,61,"Class2",30.074,"J",53.252,88.397,38,"N"
36.449,23.886,63.645,59,72,"Class1",63.776,"X",22.251,87.719,37,"Q"
91.856,90.434,8.239,61,45,"Class2",28.394,"Y",59.628,92.162,27,"E"
22.764,64.073,84.596,68,65,"Class1",58.174,"J",76.406,90.529,43,"M"
90.039,40.312,73.898,61,65,"Class1",56.87,"I",78.63,91.252,36,"J"
85.373,82.482,5.795,62,34,"Class2",42.225,"J",51.432,68.742,43,"K"
74.599,94.738,11.849,64,53,"Class2",28.947,"G",56.206,120.094,41,"I"
23.983,22.361,74.105,47,70,"Class1",62.91,"D",57.816,87.826,44,"J"
35.928,22.941,90.526,64,71,"Class1",53.868,"K",41.006,93.7,53,"J"
37.59,51.656,75.721,58,71,"Class1",NA,"X",36.137,92.356,46,"M"
71.266,98.011,4.463,56,38,"Class2",NA,"R",53.059,49.205,71,"V"
95.383,48.3,61.508,51,73,"Class1",53.283,"K",44.061,99.049,39,"Q"
94.459,83.725,5.501,58,34,"Class2",35.766,"Y",53.911,52.767,74,"K"
91.56,86.702,7.486,54,81,"Class2",47.749,"R",55.93,31.789,58,"E"
79.022,19.007,52.938,39,6,"Class3",58.687,"Z",45.55,27.686,59,"A"
48.842,38.402,70.947,73,67,"Class1",61.732,"D",73.748,93.055,37,"J"
70.388,87.105,0.779,53,43,"Class2",53.903,"J",58.77,61.425,56,"I"
93.085,101.359,4.769,53,36,"Class2",31.235,"J",58.596,5.538,44,"K"
64.525,96.897,6.831,61,38,"Class2",40.494,"R",58.214,43.544,29,"I"
74.836,57.362,82.042,66,68,"Class1",55.759,"X",40.752,87.42,38,"E"
76.754,92.211,4.461,60,89,"Class2",54.981,"J",47.219,70.96,74,"K"
45.568,23.399,71.331,61,72,"Class1",60.574,"X",38.296,86.839,49,"M"
76.177,NA,45.546,27,5,"Class3",40.325,"B",54.298,42.035,62,"A"
85.482,83.133,5.776,54,55,"Class2",49.289,"A",50.507,14.306,61,"V"
59.732,42.026,72.067,47,73,"Class1",NA,"X",52.964,93.815,42,"J"
76.681,20.664,60.031,36,9,"Class3",44.004,"Z",45.112,24.262,52,"T"
31.037,34.519,65.509,69,72,"Class1",59.129,"I",47.666,95.81,36,"J"
75.002,93.79,11.163,54,67,"Class2",32.113,"Y",52.841,91.698,30,"V"
82.712,93.956,8.367,62,66,"Class2",34.965,"A",49.892,26.493,44,"V"
24.314,38.901,75.505,68,69,"Class1",NA,"D",67.138,101.667,34,"J"
75.608,20.028,32.38,37,2,"Class3",61.9,"D",51.411,40.297,61,"Q"
81.744,10.536,71.948,26,6,"Class3",22.82,"Z",54.773,36.474,53,"D"
86.085,NA,3.692,57,90,"Class2",42.692,"Y",57.698,2.169,42,"N"
69.147,91.063,0.814,56,35,"Class2",49.888,"Y",55.668,56.115,62,"K"
82.496,103.882,4.722,63,75,"Class2",NA,"A",51.538,35.963,63,"E"
83.064,1.27,43.328,29,9,"Class3",NA,"B",47.632,19.144,51,"G"
15.603,44.367,89.581,66,73,"Class1",63.193,"X",15.229,93.205,38,"J"
78.392,94.721,4.7,58,65,"Class2",47.096,"A",47.121,36.723,32,"E"
81.081,94.407,7.623,60,86,"Class2",NA,"G",49.334,84.179,29,"V"
79.002,96.058,2.949,65,71,"Class2",NA,"A",52.534,-18.653,30,"E"
41.149,NA,66.157,57,65,"Class1",56.127,"J",11.156,89.533,45,"E"
88.12,96.792,2.242,61,87,"Class2",55.852,"A",50.115,76.531,43,"I"
67.327,92.549,4.155,64,70,"Class2",41.089,"J",59.622,12.644,59,"V"
91.231,38.255,66.537,59,73,"Class1",57.077,"J",56.908,99.077,38,"Q"
79.138,38.009,86.295,71,66,"Class1",57.947,"X",33.628,94.011,33,"B"
92.435,95.284,3.477,63,50,"Class2",37.728,"J",48.703,50.329,33,"I"
73.242,25.463,38.747,38,3,"Class3",64.77,"J",55.468,53.218,51,"T"
66.833,11.158,67.522,38,9,"Class3",59.405,"Z",53.705,48.786,58,"T"
63.229,19.532,52.701,28,2,"Class3",48.394,"J",46.352,60.232,56,"Q"
18.648,42.706,85.311,74,66,"Class1",59.49,"X",44.407,91.534,50,"M"
76.199,36.867,75.723,63,65,"Class1",57.186,"K",47.061,88.81,38,"M"
30.717,50.274,77.162,75,73,"Class1",60.097,"X",19.231,93.277,54,"E"
95.031,87.32,-0.41,61,72,"Class2",41.911,"J",52.201,58.146,70,"V"
79.915,32.593,54.093,38,11,"Class3",49.305,"D",54.731,40.793,60,"Q"
59.22,38.461,81.316,70,72,"Class1",55.814,"K",21.901,87.487,32,"Q"
75.864,89.634,5.627,62,53,"Class2",46.105,"G",51.626,42.364,27,"I"
37.86,38.875,66.508,62,72,"Class1",58.519,"X",23.132,92.59,32,"M"
62.407,55.574,65.206,74,65,"Class1",58.955,"K",32.639,90.503,35,"M"
96.141,88.573,3.468,53,49,"Class2",52.562,"A",56.408,85.399,64,"K"
86.487,54.381,75.008,72,69,"Class1",58.743,"K",24.513,96.911,44,"B"
81.097,88.705,2.893,62,55,"Class2",22.853,"Y",48.071,46.688,42,"V"
69.459,29.079,15.185,26,8,"Class3",76.323,"J",50.459,73.769,60,"D"
87.613,95.387,3.382,65,55,"Class2",NA,"A",53.912,15.204,61,"N"
65.262,94.354,6.945,62,54,"Class2",27.165,"R",52.44,62.123,49,"I"
87.842,90.184,1.734,58,70,"Class2",26.164,"Y",47.159,42.641,61,"N"
36.161,39.938,84.545,62,70,"Class1",53.971,"I",45.023,98.983,38,"M"
77.258,20.265,39.38,32,12,"Class3",43.961,"J",54.283,52.913,57,"D"
44.333,25.985,71.794,65,65,"Class1",56.243,"K",42.17,90.226,44,"E"
84.113,91.543,9.135,65,61,"Class2",27.786,"J",50.857,77.22,56,"I"
82.41,18.7,19.378,33,11,"Class3",77.508,"J",58.847,-2.337,62,"D"
72.875,17.813,27.177,29,13,"Class3",NA,"B",56.466,15.88,60,"A"
66.65,93.179,6.329,58,74,"Class2",NA,"Y",58.202,10.655,74,"V"
66.9,21.417,49.619,29,2,"Class3",60.033,"J",58.933,28.263,57,"G"
11.269,48.948,74.056,56,68,"Class1",60.279,"D",22.288,94.345,33,"E"
86.786,99.272,7.766,54,52,"Class2",57.728,"R",51.629,14.068,36,"N"
38.979,46.644,70.923,55,68,"Class1",57.322,"J",46.249,91.121,43,"E"
66.913,19.909,49.114,28,10,"Class3",71.455,"D",48.41,24.316,51,"T"
54.77,NA,67.043,72,66,"Class1",57.819,"J",39.771,95.913,30,"M"
15.23,54.762,89.685,68,73,"Class1",56.89,"J",14.229,90.166,52,"Q"
65.259,90.68,4.77,61,53,"Class2",55.315,"J",57.846,15.283,63,"K"
64.957,89.105,1.881,65,86,"Class2",30.567,"Y",59.801,18.617,64,"K"
85.939,86.166,4.503,62,36,"Class2",26.103,"A",58.834,64.837,46,"I"
74.609,13.779,52.887,39,12,"Class3",27.007,"D",49.738,70.62,61,"D"
70.438,95.584,9.533,58,49,"Class2",33.111,"R",54.709,55.87,73,"N"
65.389,32.747,41.891,32,8,"Class3",34.235,"D",56.582,27.681,58,"Q"
92.135,39.873,80.946,72,68,"Class1",57.88,"I",52.96,89.95,47,"Q"
79.557,23.127,41.185,41,4,"Class3",69.812,"J",50.226,47.255,62,"Q"
86.4,89.027,3.638,62,74,"Class2",46.087,"J",50.326,74.684,71,"E"
68.741,98.037,4.356,64,71,"Class2",21.888,"A",50.266,55.181,57,"K"
72.901,94.861,-0.675,59,62,"Class2",52.056,"R",47.989,105.391,41,"I"
17.598,22.461,75.363,53,65,"Class1",60.802,"X",35.718,93.013,54,"J"
46.628,43.4,67.641,75,68,"Class1",60.963,"I",26.043,93.855,35,"B"
84.413,34.683,26.557,37,7,"Class3",68.804,"J",59.54,6.065,61,"Q"
72.715,38.266,63.01,64,70,"Class1",58.147,"X",30.354,97.246,44,"M"
74.969,45.927,83.789,47,65,"Class1",61.83,"I",49.244,99.283,47,"Q"
87.307,93.989,6.483,65,35,"Class2",25.666,"R",54.183,60.257,41,"E"
41.38,48.959,72.847,50,70,"Class1",57.376,"X",60.149,103.189,42,"E"
56.442,21.66,91.595,64,73,"Class1",57.329,"K",18.571,92.793,53,"B"
62.428,86.984,8.429,54,52,"Class2",25.449,"Y",59.197,59.496,33,"V"
68.315,31.326,10.15,26,10,"Class3",NA,"Z",52.269,66.259,55,"A"
96.551,103.446,7.455,61,58,"Class2",37.718,"R",47.021,55.576,66,"N"
94.325,95.194,5.663,63,41,"Class2",28.162,"G",52.215,80.413,36,"V"
79.169,NA,2.773,53,72,"Class2",51.541,"G",55.393,85.56,45,"I"
70.57,95.632,2.218,64,72,"Class2",25.971,"A",50.486,35.184,61,"I"
21.654,28.596,71.113,56,67,"Class1",55.101,"J",32.828,92.331,30,"Q"
90.824,89.98,10.328,59,85,"Class2",47.086,"J",52.668,71.51,34,"I"
69.124,26.651,56.099,40,10,"Class3",65.676,"D",48.969,17.66,54,"T"
22.916,29.839,70.618,67,67,"Class1",55.939,"D",24.864,96.879,45,"M"
59.639,33.639,68.068,64,72,"Class1",57.119,"D",71.285,94.801,35,"J"
93.769,98.13,6.223,55,55,"Class2",25.618,"R",55.046,57.096,27,"K"
70.612,38.086,71.722,59,69,"Class1",55.078,"D",57.015,94.355,32,"J"
84.646,12.216,69.881,38,7,"Class3",37.322,"M",45.778,21.568,62,"A"
66.87,94.988,6.888,55,34,"Class2",23.747,"A",57.549,66.625,50,"E"
77.099,26.339,66.592,30,13,"Class3",46.378,"M",57.678,34.725,54,"A"
59.2,23.963,67.358,63,72,"Class1",58.253,"J",35.126,89.423,54,"E"
