"O1","Output14","O2","O3","O4","O5","O6","O7","O8","O9","O10","O11"
85,"Class3",83.032,15.52,55.75,86.66,18.761,"X",19,50,78.773,"N"
44,"Class3",100.881,17.276,55.306,68.787,18.422,"N",38,54,84.534,"N"
24,"Class2",58.475,74.011,17.761,81.681,22.391,"R",39,86,88.863,"K"
13,"Class1",52.643,79.637,-20.708,82.668,87.306,"J",89,41,8.801,"G"
37,"Class2",66.437,93.365,41.358,66.522,86.85,"B",42,86,86.432,"E"
56,"Class4",62.364,71.81,28.959,44.171,34.034,"D",43,22,17.47,"K"
31,"Class2",42.138,67.097,27.179,33.181,31.784,"L",41,86,88.86,"U"
77,"Class3",54.076,19.072,49.137,65.632,16.246,"P",55,74,56.282,"N"
87,"Class3",71.377,11.486,57.094,71.823,20.845,"X",27,46,84.027,"H"
38,"Class2",74.854,68.071,37.289,50.733,46.46,"B",39,87,92.035,"K"
66,"Class3",65.448,18.451,60.523,78.21,13.232,"X",55,90,26.989,"N"
16,"Class1",56.813,85.177,37.757,92.198,75.287,"R",33,28,5.311,"H"
40,"Class3",43.144,15.794,54.46,73.439,13.661,"W",62,85,69.845,"H"
58,"Class3",97.894,11.401,54.037,79.339,15.194,"P",46,86,36.22,"L"
56,"Class1",60.404,81.974,110.522,85.728,88.657,"M",55,38,11.595,"L"
36,"Class2",39.19,64.701,23.013,34.535,49.435,"D",42,87,88.355,"U"
25,"Class2",48.855,66.227,41.76,66.998,73.316,"A",42,86,86.369,"U"
25,"Class2",66.966,73.133,18.64,43.996,11.4,"D",NA,87,92.736,"B"
59,"Class1",65.854,87.169,-4.17,79.436,89.638,"Q",59,30,9.615,"G"
54,"Class3",58.668,14.662,61.09,82.514,13.577,"N",39,68,29.806,"N"
88,"Class4",35.857,70.846,39.111,52.03,29.391,"Z",60,24,17.729,"F"
48,"Class1",42.718,92.791,64.885,91.1,85.925,"R",NA,54,7.987,"P"
15,"Class1",29.482,86.828,15.759,86.466,93.577,"C",70,28,5.513,"G"
22,"Class1",41.097,85.501,56.738,95.599,75.166,"M",39,46,11.831,"L"
88,"Class4",44.704,67.743,43.331,25.77,28.507,"D",61,44,17.484,"F"
24,"Class2",55.492,71.223,22.91,83.166,61.47,"D",44,86,93.072,"I"
45,"Class4",26.54,71.107,40.646,50.159,21.965,"Z",21,24,17.778,"F"
39,"Class3",76.801,12.182,52.107,81.49,11.762,"W",63,78,81.225,"G"
26,"Class2",48.43,72.71,31.4,67.541,73.325,"L",42,86,87.695,"B"
13,"Class1",55.588,91.147,-7.416,95.484,88.975,"Q",90,52,7.188,NA
20,"Class1",60.936,87.697,62.437,83.447,91.629,"R",53,44,6.137,"L"
36,"Class1",37.248,95.56,93.093,89.722,80.621,"R",78,46,10.457,"B"
23,"Class2",44.507,68.216,50.448,59.113,87.244,"B",44,87,93.319,"I"
90,"Class3",98.589,20.052,54.124,85.119,18.092,"N",16,51,28.469,"G"
34,"Class1",52.025,90.591,29.987,82.467,75.055,"R",76,33,6.053,"P"
29,"Class2",39.267,69.762,24.5,57.635,49.593,"A",39,87,90.832,"I"
46,"Class4",57.21,72.83,37.898,24.784,36.963,"Q",23,30,17.089,"E"
34,"Class2",35.066,71.292,37.608,40.448,84.987,"R",40,87,86.853,"E"
36,"Class1",60.916,89.792,36.086,80.483,88.579,"Q",53,32,7.545,"L"
72,"Class4",45.255,69.801,34.523,27.231,36.366,"D",50,27,17.499,"F"
49,"Class1",46.367,83.607,84.693,80.501,58.395,"M",65,25,10.937,"L"
59,"Class4",56.599,68.894,39.539,54.26,43.37,"P",25,20,17.459,"K"
25,"Class2",85.462,63.884,19.278,57.483,52.978,"D",45,86,85.951,"E"
53,"Class4",72.377,71.925,40.81,39.233,32.841,"Z",40,34,17.853,"F"
96,"Class3",33.419,8.896,50.334,90.049,12.517,"P",33,68,12.394,"G"
93,"Class3",41.189,10.486,50.127,70.801,13.448,"L",27,92,57.288,"G"
29,"Class2",62.549,94.513,25.527,54.601,17.422,"L",41,86,92.655,"U"
48,"Class3",13.216,14.763,52.599,72.235,20.098,"X",32,51,82.875,"H"
87,"Class4",53.41,71.714,44.695,40.512,18.181,"Q",39,23,17.43,"K"
59,"Class4",34.566,69.099,35.718,45.502,35.565,"P",26,16,17.64,NA
31,"Class3",37.426,20.606,62.517,74.543,14.117,"L",22,46,63.039,"H"
85,"Class3",50.172,10.523,55.297,74.048,10.794,"W",38,79,56.618,"L"
84,"Class4",-0.355,70.633,38.184,56.128,30.293,"D",22,27,17.659,"D"
28,"Class2",63.241,70.195,22.617,37.717,81.646,"A",42,87,86.056,NA
83,"Class3",97.773,10.881,58.178,81.988,15.532,"P",65,89,88.239,"H"
27,"Class2",52.355,82.874,13.542,32.639,24.702,"D",41,86,87.871,"K"
34,"Class2",11.426,65.229,31.723,77.562,48.844,"L",39,87,85.575,"U"
32,"Class2",65.595,87.95,34.975,64.47,116.475,"B",NA,86,87.642,"K"
28,"Class2",51.612,76.546,30.785,69.277,101.846,"A",43,87,87.683,"B"
93,"Class4",24.282,72.231,28.9,36.556,25.159,"P",37,36,17.336,"K"
79,"Class4",76.047,70.565,37.172,58.237,41.456,"Z",38,31,17.515,"K"
45,"Class1",37.542,91.512,-17.106,95.53,83.518,"M",41,45,8.413,"B"
81,"Class3",46.372,12.162,55.164,62.248,15.162,"N",18,81,62.822,"N"
22,"Class1",47.157,90.68,60.705,80.434,76.544,"M",89,34,7.905,"L"
78,"Class4",81.944,71.839,40.883,19.067,13.974,"P",27,42,17.424,NA
57,"Class3",12.257,13.308,55.415,66.521,17.359,"X",25,69,40.087,"L"
52,"Class3",70.693,16.682,65.433,85.826,15.292,"N",35,73,34.16,"L"
68,"Class4",25.563,71.014,38.283,53.394,19.25,"D",42,12,17.286,"F"
33,"Class1",68.418,88.159,59.003,80.119,74.599,"J",36,42,10.338,NA
81,"Class3",55.221,20.348,63.155,88.214,15.755,"N",35,91,45.673,"H"
58,"Class1",50.369,83.82,76.594,83.651,76.305,"R",90,26,7.554,"H"
80,"Class4",25.226,70.169,34.293,31.659,38.724,"H",36,25,17.833,"F"
23,"Class2",39.161,85.874,17.908,54.684,2.498,"A",44,87,84.45,"E"
33,"Class2",60.234,78.929,27.627,53.026,71.417,"R",45,86,89.799,"U"
82,"Class3",63.593,14.843,56.192,80.448,15.087,"L",NA,50,70.371,"D"
49,"Class4",31.118,69.029,30.76,54.991,20.483,"Q",56,34,17.756,"Y"
29,"Class2",77.744,94.109,23.745,44.918,68.593,"B",42,87,86.229,"K"
20,"Class1",45.898,98.463,69.832,94.207,88.581,"J",48,43,7.232,"P"
87,"Class3",95.397,20.443,44.725,88.119,22.787,"X",60,59,50.553,"L"
33,"Class1",41.121,82.602,63.168,91.091,73.574,"Q",49,38,5.07,"P"
50,"Class1",55.922,86.39,3.096,95.25,84.473,"C",48,48,10.187,"H"
19,"Class1",59.65,91.079,118.053,90.827,76.622,"J",40,29,5.039,"P"
78,"Class4",47.287,68.934,42.541,32.354,31.805,"D",55,12,17.257,NA
44,"Class3",29.978,13.567,42.535,79.549,14.891,"P",16,92,43.155,"N"
59,"Class4",30.73,71.795,36.998,16.749,24.966,"Z",39,16,17.684,"E"
47,"Class3",56.321,14.912,60.239,67.895,15.607,"P",46,45,22.675,"G"
47,"Class4",51.766,67.392,39.521,45.081,12.309,"Z",40,38,17.153,NA
39,"Class4",47.318,69.996,39.883,48.842,15.928,"D",29,31,17.758,"Y"
97,"Class3",48.699,8.374,47.733,76.851,14.545,"W",49,74,44.525,"N"
56,"Class1",54.627,86.814,46.152,79.005,80.859,"R",28,36,6.961,"G"
82,"Class4",53.989,71.436,33.199,13.103,32.58,"Q",28,31,17.115,"E"
25,"Class1",44.669,79.282,98.949,80.612,76.713,"Q",46,42,11.317,"P"
56,"Class1",56.848,83.802,75.377,95.526,80.478,"Q",74,55,9.694,"H"
43,"Class1",61.017,83.301,32.094,81.623,92.307,"Q",29,44,7.844,"L"
36,"Class1",25.461,80.04,90.05,84.603,83.846,"M",90,51,9.176,"H"
26,"Class2",55.502,90.531,36.591,51.394,44.75,"B",40,87,88.091,"K"
79,"Class3",70.943,15.175,57.553,89.722,9.911,"P",21,87,37.922,"G"
33,"Class2",42.129,73.502,19.682,40.774,70.084,"D",41,87,93.188,"E"
37,"Class2",42.002,66.339,17.96,71.292,54.057,"R",40,86,87.419,"I"
26,"Class2",59.223,89.319,36.482,84.475,102.714,"D",42,86,87.361,"B"
49,"Class1",49.378,90.938,1.962,82.474,77.201,"M",34,52,7.702,"H"
32,"Class3",52.76,10.483,52.138,78.816,9.455,"X",62,55,35.341,"L"
43,"Class4",39.137,67.757,40.903,39.473,10.547,"H",43,41,17.722,"K"
35,"Class2",65.579,70.049,6.641,69.948,32.429,"A",39,86,92.439,NA
11,"Class1",71.428,87.231,88.061,86.201,85.537,"R",31,54,11.408,"L"
49,"Class3",42.127,9.912,61.452,66.856,19.079,"P",39,88,85.96,"L"
76,"Class3",72.607,16.477,62.034,71.093,16.683,"N",49,44,58.887,"L"
38,"Class1",83.28,83.725,59.26,93.416,75.777,"M",83,46,5.918,"B"
7,"Class1",51.39,90.392,80.019,88.223,84.361,"C",82,23,9.661,"B"
28,"Class2",63.135,65.839,30.983,85.071,68.215,"A",40,86,89.651,"K"
95,"Class3",64.183,20.528,51.691,80.831,7.824,"P",44,91,32.713,"G"
67,"Class4",28.033,69.231,37.401,39.178,8.174,"Z",47,33,17.997,"D"
21,"Class1",62.334,86.329,6.051,83.927,89.387,"R",82,26,6.634,"G"
26,"Class1",71.441,80.77,75.018,86.691,76.591,"M",72,44,6.314,"H"
58,"Class4",2.316,69.841,45.461,36.446,45.327,"P",28,46,17.152,"D"
23,"Class2",74.949,63.268,16.936,60.837,32.619,"R",43,87,90.937,"U"
26,"Class2",52.844,89.263,25.186,55.925,71.82,"B",45,86,92.424,"U"
30,"Class1",49.554,98.624,9.911,89.655,64.855,"M",89,39,10.339,"L"
42,"Class1",59.376,96.513,28.093,94.837,81.96,"R",58,34,10.379,"L"
55,"Class4",31.384,72.092,31.628,31.382,25.516,"D",28,13,17.311,"D"
24,"Class2",16.492,83.77,28.131,40.236,69.232,"A",44,87,86.765,"U"
55,"Class1",29.583,90.07,37.663,83.936,70.523,"J",63,37,11.16,"H"
56,"Class1",26.551,90.632,34.595,85.6,69.11,"Q",35,55,5.707,"L"
19,"Class1",60.403,82.481,38.803,89.043,76.594,"C",39,37,7.512,"H"
58,"Class3",22.432,9.028,52.711,68.115,15.472,"N",55,81,88.621,"G"
71,"Class4",48.871,69.004,39.112,52.904,17.893,"Z",60,22,17.256,"D"
41,"Class4",60.807,68.966,38.522,47.035,37.454,"Q",43,33,17.428,"F"
30,"Class3",61.172,19.113,63.415,74.938,15.847,"P",NA,52,96.345,"N"
51,"Class1",78.299,98.716,45.705,82.865,80.492,"Q",37,35,5.745,"L"
43,"Class4",54.916,72.62,38.056,47.288,34.091,"Q",NA,18,17.697,"E"
29,"Class2",59.196,68.295,21.471,84.25,24.41,"D",42,87,92.453,"K"
7,"Class1",39.621,98.673,50.207,95.031,96.901,"R",47,55,7.91,"H"
45,"Class3",0.848,11.891,54.501,71.742,19.629,"N",39,79,29.558,"L"
90,"Class4",39.269,69.795,39.423,32.193,38.791,"Z",58,22,17.654,"F"
95,"Class3",37.257,16.827,65.238,82.521,5.387,"L",45,45,61.471,"D"
62,"Class4",48.31,67.083,40.493,34.392,45.762,"Z",56,38,17.843,"F"
42,"Class4",52.785,68.388,40.427,31.395,16.378,"D",28,14,17.292,"Y"
28,"Class2",65.478,92.04,32.952,67.785,69.234,"R",44,87,90.291,"E"
40,"Class1",62.158,84.885,20.063,81.437,87.941,"R",NA,55,5.595,NA
87,"Class3",41.222,14.801,59.285,74.73,14.94,"P",NA,78,38.072,NA
68,"Class4",14.697,68.128,36.209,50.8,31.409,"H",40,40,17.183,"Y"
33,"Class2",74.149,73.344,32.222,52.226,47.894,"A",44,87,90.437,"B"
70,"Class4",43.468,71.555,38.554,53.378,30.569,"P",NA,28,17.552,"E"
35,"Class2",52.139,79.882,35.766,73.724,79.116,"B",44,87,91.193,"I"
36,"Class2",48.864,87.318,17.759,72.248,68.876,"B",44,87,89.943,"B"
71,"Class4",54.23,71.937,35.772,39.855,9.111,"P",39,17,17.524,NA
26,"Class2",55.203,75.429,10.242,46.676,30.813,"B",40,86,84.437,"E"
56,"Class4",43.532,70.518,39.873,23.966,19.7,"D",35,28,17.875,"E"
54,"Class1",45.519,83.226,71.627,90.115,99.323,"J",33,30,6.258,"H"
68,"Class4",37.242,67.507,24.341,22.735,16.04,"D",NA,41,17.189,"K"
12,"Class1",69.049,84.134,61.166,86.831,82.736,"M",40,37,11.481,"H"
15,"Class1",79.659,79.988,11.973,90.655,75.366,"M",84,48,6.088,"H"
37,"Class1",43.281,83.983,49.543,86.669,84.729,"J",84,50,7.681,"B"
41,"Class3",59.635,16.142,56.975,78.886,8.377,"L",20,80,56.5,"D"
82,"Class4",55.535,72.426,40.847,21.952,26.231,"Z",23,13,17.776,"E"
44,"Class1",45.734,96.77,66.945,88.5,81.505,"Q",87,55,7.057,NA
38,"Class2",74.63,63.725,28.42,67.93,23.647,"R",42,86,92.955,"K"
37,"Class3",65.111,13.581,43.896,86.094,21.212,"W",35,55,92.282,"N"
18,"Class1",63.86,98.25,46.709,87.308,93.778,"Q",NA,33,9.056,"H"
19,"Class1",57.442,93.226,17.96,81.589,85.271,"R",80,52,5.333,"G"
38,"Class2",51.638,89.701,17.22,72.844,21.743,"D",43,86,84.969,"I"
69,"Class3",61.555,13.757,58.831,88.622,11.714,"X",48,62,77.4,"G"
25,"Class1",36.704,89.73,59.891,93.543,86.366,"M",45,35,10.837,"L"
78,"Class3",18.724,18.228,63.875,90.973,16.215,"L",32,69,18.769,"G"
42,"Class1",64.669,81.13,70.27,81.053,84.03,"M",42,25,11.855,"H"
95,"Class3",63.872,12.686,61.187,86.417,23.488,"N",43,74,87.786,"G"
50,"Class3",45.764,12.029,58.591,69.156,16.867,"N",27,43,87.207,"L"
38,"Class4",15.094,70.701,32.108,32.928,37.503,"Q",41,42,17.684,"K"
88,"Class4",18.892,70.36,38.634,62.703,37.223,"H",28,43,17.217,"D"
52,"Class3",25.489,11.326,56.171,89.443,13.685,"P",25,49,65.817,"N"
59,"Class4",47.274,70.018,32.432,28.084,22.678,"D",24,13,17.537,"K"
34,"Class1",51.003,97.108,105.54,94.449,86.959,"C",39,28,11.249,"H"
36,"Class2",51.828,92.674,25.364,59.033,119.611,"L",43,86,87.783,"U"
59,"Class1",35.908,80.1,42.845,85.985,92.257,"C",69,51,11.705,"B"
89,"Class4",34.771,69.749,36.937,55.578,14.362,"H",19,39,17.735,"K"
83,"Class3",67.295,8.101,45.252,84.61,10.474,"N",53,78,50.668,"N"
41,"Class1",47.624,84.028,25.689,84.098,74.591,"M",69,41,9.322,"G"
53,"Class1",47.447,90.76,7.744,91.367,69.852,"C",56,34,11.191,"L"
33,"Class2",48.956,79.662,27.843,46.206,67.424,"L",43,87,85.402,"K"
24,"Class2",70.984,77.15,19.465,47.327,34.842,"B",NA,86,90.636,"K"
97,"Class3",50.544,9.307,54.734,77.074,19.024,"X",25,71,30.898,"D"
34,"Class1",52.846,94.442,15.955,92.277,78.009,"M",77,51,6.496,"G"
97,"Class3",33.99,9.714,71.143,79.033,17.128,"W",53,59,77.302,"D"
28,"Class2",53.654,93.543,48.84,50.056,121.16,"R",45,87,91.062,"U"
49,"Class4",38.575,69.938,36.769,37.308,33.704,"D",36,23,17.104,"K"
53,"Class3",39.083,11.455,59.72,83.395,12.797,"P",39,44,86.257,"H"
44,"Class4",46.981,72.339,36.588,17.306,28.507,"D",47,28,17.809,"F"
31,"Class2",55.869,88.454,33.504,32.748,56.687,"L",44,86,85.848,"I"
46,"Class1",68.723,99.807,36.268,92.965,74.851,"C",33,39,6.348,"H"
36,"Class2",52.843,83.472,34.304,80.273,106.685,"A",NA,87,85.801,"U"
28,"Class2",67.319,74.268,22.82,40.896,74.158,"L",45,87,93.479,"B"
25,"Class2",36.648,93.266,33.982,76.812,76.051,"L",44,87,93.141,"K"
54,"Class4",16.567,69.202,44.381,41.06,22.659,"H",61,43,17.335,"K"
34,"Class2",82.442,75.677,-6.397,57.413,5.514,"L",NA,87,84.094,"I"
29,"Class2",77.52,72.355,16.243,77.945,68.965,"L",45,87,87.515,"B"
35,"Class2",61.87,72.218,12.901,83.922,47.321,"B",41,86,88.391,"U"
64,"Class4",8.741,72.379,36.04,57.007,34.989,"Z",59,29,17.151,"E"
34,"Class2",69.591,86.915,34.117,71.304,81.361,"R",44,86,89.752,"K"
37,"Class2",61.383,75.657,27.677,70.034,83.802,"D",43,87,89.631,"B"
24,"Class2",72.281,67.668,30.184,65.812,53.058,"L",44,87,90.979,"K"
43,"Class1",32.326,83.023,79.92,95.007,85.881,"M",NA,25,7.367,"L"
63,"Class3",77.37,16.48,53.875,74.486,13.257,"N",59,43,73.072,"L"
53,"Class1",62.994,94.606,41.823,79.959,92.573,"R",NA,51,10.992,"L"
38,"Class4",9.341,69.33,41.576,57.979,13.422,"D",29,39,17.514,"Y"
23,"Class2",66.039,69.904,50.493,56.092,25.902,"R",42,87,92.786,"U"
36,"Class2",67.575,80.335,21.54,43.425,76.968,"D",39,86,93.824,"I"
43,"Class3",18.656,10.38,49.792,66.514,18.794,"N",62,58,30.516,"G"
37,"Class1",75.475,95.675,58.327,85.886,72.879,"C",39,25,9.246,"L"
34,"Class2",59.919,91.363,50.968,76.353,7.261,"B",39,86,89.604,"B"
32,"Class2",48.838,92.517,-15.712,38.01,42.957,"D",42,86,92.981,"B"
29,"Class2",77.987,71.163,27.18,82.803,118.722,"L",44,87,84.794,"B"
78,"Class4",1.104,67.704,29.449,14.185,38.604,"Q",NA,40,17.392,"F"
59,"Class1",56.322,79.393,17.655,87.529,82.762,"R",42,49,10.615,"G"
49,"Class4",45.357,72.497,41.074,16.628,35.971,"Z",25,39,17.602,"K"
37,"Class2",58.253,89.562,8.426,59.938,63.184,"A",43,86,91.903,"U"
73,"Class4",-5.468,69.516,33.204,46.201,47.289,"P",19,16,17.608,"Y"
36,"Class3",51.634,8.865,55.21,70.565,16.737,"N",45,64,68.162,"G"
82,"Class3",66.12,12.647,58.923,85.823,12.333,"L",65,50,51.529,"H"
81,"Class3",36.811,8.984,51.899,80.943,30.73,"L",38,56,78.214,"H"
13,"Class1",47.656,87.064,74.903,92.809,69.298,"J",38,24,8.786,"L"
21,"Class1",38.283,88.82,73.972,85.668,73.887,"Q",33,24,6.739,"P"
55,"Class1",37.032,89.583,41.567,86.386,95.05,"Q",54,47,8.641,"H"
37,"Class1",69.737,87.181,47.441,90.746,95.183,"C",46,29,11.013,"H"
75,"Class4",54.593,69.968,42.988,42.272,27.544,"Z",22,27,17.88,"F"
60,"Class4",19.606,71.061,42.211,59.539,22.406,"P",40,20,17.042,"F"
58,"Class4",24.427,72.299,39.992,37.387,26.076,"D",47,48,17.68,NA
30,"Class2",63.889,78.81,0.394,33.809,97.244,"L",40,86,88.221,"B"
57,"Class1",74.476,88.462,45.113,79.904,87.383,"Q",59,31,10.677,"G"
52,"Class4",60.718,72.185,35.913,37.702,16.021,"P",26,17,17.945,NA
37,"Class2",83.885,76.697,26.3,37.623,118.521,"D",43,87,93.22,"E"
86,"Class3",53.13,9.011,49.959,62.939,16.785,"W",42,55,78.78,"H"
36,"Class2",23.556,89.141,15.108,60.538,70.363,"L",43,86,93.969,"U"
48,"Class4",0.97,69.37,31.308,62.408,23.707,"Q",60,32,17.214,"K"
69,"Class4",66.683,67.654,37.559,24.367,21.726,"H",55,23,17.212,"D"
84,"Class3",85.599,12.378,57.928,66.092,15.222,"P",39,57,37.315,"N"
21,"Class1",45.199,88.779,10.673,90.23,88.624,"Q",77,32,7.692,"B"
33,"Class1",45.906,82.526,14.864,88.604,95.089,"M",48,26,6.07,"P"
59,"Class3",92.303,10.802,47.617,78.973,9.858,"W",41,81,60.231,"D"
51,"Class1",55.592,99.064,102.091,91.404,82.143,"C",73,27,10.543,"H"
39,"Class3",34.846,18.772,57.7,77.672,19.342,"L",38,44,64.834,"L"
27,"Class2",55.886,76.875,28.975,82.437,37.195,"R",39,86,92.909,"K"
49,"Class1",48.433,81.76,45.137,95.709,78.506,"J",76,52,5.234,"P"
32,"Class1",33.317,88.462,95.983,91.248,80.562,"Q",33,23,7.63,"P"
74,"Class3",71.084,20.442,57.273,89.858,13.348,"P",54,69,75.141,"N"
33,"Class2",55.154,69.811,21.038,67.388,48.948,"L",45,86,90.971,"E"
82,"Class3",60.956,16.938,62.553,71.595,12.49,"W",52,72,17.062,"D"
50,"Class3",25.955,13.678,64.288,79.781,13.529,"N",55,90,73.537,"G"
8,"Class1",57.15,96.114,69.847,81.036,97.738,"R",87,28,7.115,"P"
22,"Class1",84.183,95.869,69.388,80.755,70.563,"Q",NA,50,8.075,"G"
58,"Class4",62.048,68.889,31.987,54.143,30.12,"H",48,31,17.442,"E"
48,"Class3",101.884,9.806,50.039,84.858,5.227,"P",27,83,24.27,"N"
