"S1","S2","S3","S4","Output18","S5","S6","S7","S8","S9","S10","S11"
42,54.218,56.69,30,"Class3",32,92.54,9.919,"R","Q",66.487,83.357
42,54.815,47.952,48,"Class3",22,97.427,4.404,"O","H",67.117,41.961
51,55.529,36.783,44,"Class3",21,92.439,14.997,"O","Q",67.83,63.986
28,59.961,51.106,67,"Class2",32,87.769,50.751,"I","K",70.444,11.059
76,78.283,70.689,7,"Class1",48,29.798,28.393,"F","J",36.919,50.645
43,54.529,53.008,48,"Class3",26,93.928,8.678,"R","D",66.839,67.41
82,76.175,64.857,28,"Class1",41,26.201,13.886,"U","O",54.208,45.498
40,37.349,74.921,66,"Class2",78,58.31,54.028,"F","Y",68.031,47.089
23,85.791,72.292,76,"Class2",52,83.409,28.868,"C","Y",66.046,59.195
5,39.614,88.072,64,"Class2",14,90.531,78.388,"C","J",72.385,67.716
77,71.506,67.219,26,"Class1",55,31.289,35.732,"F","Y",54.468,51.101
51,68.561,57.586,76,"Class2",69,80.389,52.026,"L","C",67.382,71.109
46,86.855,41.049,73,"Class2",41,52.274,60.946,"V","Y",70.776,36.838
21,44.291,92.486,65,"Class2",51,52.479,51.25,"C","J",66.908,46.999
48,55.522,49.794,NA,"Class3",21,92.802,9.512,"K","D",67.052,79.883
80,73.939,70.214,NA,"Class1",52,32.331,36.236,"F","Y",42.235,42.361
43,59.524,38.929,48,"Class3",21,92.402,18.704,"R","H",66.454,51.92
36,41.494,62.438,73,"Class2",60,94.635,82.188,"C","J",85.089,19.582
80,81.455,63.096,13,"Class1",58,26.561,30.028,"P","G",47.947,56.331
77,76.009,63.245,8,"Class1",46,26.572,19.475,"U","X",45.964,55.26
51,43.021,26.157,68,"Class2",70,66.29,74.509,"C","Y",78.185,92.822
16,54.336,89.974,73,"Class2",46,87.915,74.651,"I","C",76.485,47.145
39,66.097,84.105,71,"Class2",67,78.444,27.122,"L","J",77.865,61.697
50,43.266,28.415,73,"Class2",84,88.383,52.55,"F","K",70.13,39.931
78,82.54,68.671,45,"Class1",58,28.763,41.718,"P","X",56.157,41.497
77,81.741,62.691,28,"Class1",40,31.462,23.794,"P","X",38.296,51.272
44,56.268,58.436,30,"Class3",25,94.593,20.51,"W","O",67.249,60.568
30,68.04,55.399,75,"Class2",82,75.389,51.526,"C","K",72.329,29.981
43,54.281,56.142,49,"Class3",24,94.175,25.506,"N","Q",67.549,28.755
45,57.329,53.821,43,"Class3",29,92.88,17.642,"R",NA,67.106,52.034
44,52.76,25.01,72,"Class2",63,89.095,29.917,"L","K",78.733,21.215
43,56.117,58.289,36,"Class3",24,96.167,6.421,"N","F",66.647,91.59
31,73.121,43.008,68,"Class2",26,51.191,53.053,"L","Y",73.157,39.883
81,78.986,63.814,14,"Class1",40,30.509,35.307,"H","O",44.267,52.429
78,76.318,69.69,46,"Class1",53,31.631,37.731,"N","Y",38.851,42.309
47,53.388,43.877,46,"Class3",22,96.778,17.777,"K","Q",67.079,82.436
46,32.769,35.014,71,"Class2",17,77.133,50.195,"C","J",77.309,59.796
81,73.171,74.024,44,"Class1",51,33.789,22.935,"H","G",32.502,39.453
81,79.144,63.998,NA,"Class1",44,31.273,23.018,"F","G",41.69,52.56
48,56.11,39.388,31,"Class3",25,95.483,9.419,"N","F",67.418,25.021
45,56.293,45.442,NA,"Class3",23,94.445,8.776,"O","F",67.872,54.156
46,96.92,23.594,64,"Class2",56,78.351,33.238,"L","R",65.757,72.532
48,54.896,47.403,37,"Class3",22,92.218,18.083,"O","O",67.231,94.759
79,81.05,63.587,14,"Class1",56,33.005,35.15,"P","G",51.028,50.064
82,75.992,72.374,34,"Class1",44,29.242,24.945,"N","J",45.887,50.345
81,75.449,65.121,30,"Class1",43,31.364,33.209,"H","J",38.835,54.567
40,59.044,68.138,64,"Class2",27,54.535,43.294,"V","Y",82.808,90.104
48,53.661,59.725,39,"Class3",22,94.047,14.496,"R","Q",66.084,52.138
79,80.438,63.207,13,"Class1",50,32.678,14.403,"H","J",33.247,45.398
81,79.945,62.952,21,"Class1",44,32.641,31.299,"P","X",42.207,43.833
79,75.729,67.672,40,"Class1",54,26.896,30.608,"F","X",52.064,41.485
49,30.8,54.327,63,"Class2",21,53.324,56.505,"I","J",75.411,79.973
35,41.923,77.985,66,"Class2",5,90.007,83.029,"L",NA,75.069,88.54
51,55.718,57.524,32,"Class3",29,93.726,13.245,"K","Q",67.486,91.819
44,59.246,37.704,48,"Class3",32,94.931,6.479,"N","D",68.273,95.74
82,80.714,69.572,31,"Class1",51,32.302,11.071,"P","O",48.466,50.968
82,71.144,66.681,38,"Class1",46,26.943,29.581,"U","Y",57.08,49.38
77,71.396,72.625,14,"Class1",50,28.506,11.739,"P",NA,48.214,52.341
79,77.148,74.155,46,"Class1",58,31.393,12.897,"N","O",51.506,58.859
78,83.438,72.758,45,"Class1",49,32.631,22.842,"P","X",30.956,47.807
47,51.535,40.589,44,"Class3",23,97.518,22.153,"R","H",66.204,63.345
80,80.629,74.69,33,"Class1",55,28.727,27.525,"F",NA,56.958,55.44
21,59.472,45.286,75,"Class2",76,79.147,48.972,"V","Y",72.562,53.492
79,75.232,72.449,16,"Class1",50,27.651,33.243,"N","Y",31.127,53.664
7,97.434,76.157,66,"Class2",19,50.939,29.305,"L","K",71.715,30.944
41,75.72,79.243,66,"Class2",38,69.388,47.908,"V","C",65.278,41.041
42,56.158,54.29,33,"Class3",25,95.208,11.683,"N","D",67.305,72.019
49,58.319,48.316,44,"Class3",27,93.78,4.902,"W","O",67.257,95.868
80,64.769,63.092,37,"Class1",50,29.023,32.94,"N","J",22.091,46.441
76,83.698,72.805,26,"Class1",55,28.584,27.974,"U","Y",48.148,47.824
49,85.185,42.154,69,"Class2",88,96.193,45.207,"V","C",71.612,51.648
79,79.659,71.97,9,"Class1",40,32.503,39.232,"F","O",48.77,47.071
47,53.165,49.251,41,"Class3",25,93.582,18.542,"O","F",67.051,56.76
3,68.241,82.701,67,"Class2",12,58.503,21.123,"F","Y",60.107,43.805
3,76.569,27.852,76,"Class2",47,53.872,55.299,"L","C",63.372,92.158
49,55.297,59.536,48,"Class3",22,97.663,14.773,"O","O",67.522,85.604
29,41.891,45.925,63,"Class2",28,90.436,77.749,"I","K",75.419,84.727
45,52.143,47.81,30,"Class3",27,92.538,26.013,"R","O",67.903,35.292
14,58.946,80.939,68,"Class2",68,56.673,41.263,"C","C",71.215,55.77
76,73.542,73.808,10,"Class1",55,28.444,19.965,"P","J",49.751,48.774
76,78.618,71.779,39,"Class1",40,31.666,28.527,"P","Y",42.043,60.544
82,77.525,64.479,9,"Class1",58,29.212,38.923,"F","Y",52.096,60.729
5,24.322,49.119,NA,"Class2",61,59.635,60.326,"V","Y",76.478,68.009
39,57.59,87.32,63,"Class2",32,54.816,51.504,"I","R",58.339,25.131
82,80.761,63.439,27,"Class1",57,27.857,33.054,"P","G",19.934,45.826
23,51.304,85.419,65,"Class2",38,65.575,60.403,"L","C",63.818,61.348
79,79.652,63.239,32,"Class1",58,31.895,39.68,"N","X",46.033,42.419
51,50.457,83.622,NA,"Class2",42,65.709,61.429,"C","C",71.159,70.615
4,50.293,75.987,72,"Class2",82,70.396,71.215,"V",NA,64.69,45.205
48,54.933,39.835,43,"Class3",21,97.275,17.828,"K","D",67.724,56.484
13,98.089,26.788,73,"Class2",73,96.147,40.011,"F",NA,66.754,84.999
44,56.239,48.999,34,"Class3",27,93.546,19.966,"O","O",67.458,92.596
80,79.236,65.845,40,"Class1",42,32.841,27.838,"H","Y",28.943,46.455
51,57.297,48.687,41,"Class3",22,96.087,-6.601,"O","Q",66.844,91.62
81,77.776,68.833,34,"Class1",54,33.243,13.368,"U","G",54.568,44.058
82,74.616,66.988,46,"Class1",55,29.23,13.778,"P","J",67.67,45.965
12,95.845,77.369,68,"Class2",17,77.882,72.325,"V","C",74.883,56.988
51,63.479,26.24,68,"Class2",4,49.279,57.36,"L","K",65.839,75.234
36,50.087,23.673,64,"Class2",49,71.773,71.654,"F","R",70.783,63.397
81,80.611,74.939,13,"Class1",44,31.328,28.149,"P","J",49.901,52.917
76,78.005,65.31,8,"Class1",52,32.373,5.67,"H","Y",30.284,50.912
2,62.41,69.856,76,"Class2",57,67.425,78.334,"F","K",79.839,43.109
42,55.162,43.019,NA,"Class3",19,92.076,4.303,"N","O",67.155,77.015
46,53.185,45.412,48,"Class3",22,93.913,14.214,"N","D",67.327,32.633
13,41.499,73.123,74,"Class2",79,68.399,53.711,"L","K",82.153,77.85
0,78.162,92.152,63,"Class2",54,51.01,57.17,"C","K",62.501,17.206
13,35.106,48.721,75,"Class2",5,71.346,46.74,"L","K",60.604,73.504
44,43.38,41.162,63,"Class2",38,51.533,67.148,"F","J",67.276,29.759
76,70.105,65.167,44,"Class1",43,31.154,42.718,"N","G",21.954,52.329
47,56.075,40.81,35,"Class3",18,93.459,22.422,"W","D",67.061,34.838
29,49.139,26.207,70,"Class2",75,71.884,64.954,"L","J",69.227,41.709
46,56.095,41.256,32,"Class3",26,93.816,-1.441,"O","H",66.506,81.567
46,16.396,36.898,74,"Class2",61,78.412,79.892,"I","Y",69.542,48.835
79,79.679,64.311,32,"Class1",52,28.637,20.348,"H","J",43.591,41.743
37,64.331,76.655,67,"Class2",34,49.177,68.061,"I","J",73.083,47.891
50,55.563,56.889,36,"Class3",21,92.125,7.91,"W","H",66.739,50.201
50,51.809,52.2,41,"Class3",31,97.045,6.949,"O","D",66.734,54.847
80,74.196,67.203,28,"Class1",58,27.674,33.74,"U","O",63.001,45.365
77,75.371,74.096,16,"Class1",46,30.838,27.818,"U","X",42.003,46.965
48,55.512,37.877,32,"Class3",25,93.249,8.21,"N","D",68.171,77.397
1,40.886,85.188,65,"Class2",97,91.26,67.052,"C","Y",84.338,85.543
76,78.917,70.2,12,"Class1",47,30.839,22.241,"H","J",31.195,41.913
51,57.162,53.692,30,"Class3",27,93.24,9.011,"N","F",66.764,40.439
81,77.581,74.739,41,"Class1",46,31.134,22.207,"P","J",42.178,53.118
14,17.127,54.654,NA,"Class2",58,52.328,59.731,"I","R",72.42,40.203
48,49.25,64.682,72,"Class2",5,54.582,73.029,"L","R",72.227,19.132
47,53.761,44.013,30,"Class3",18,93.797,4.249,"K","D",67.162,74.692
42,54.183,55.135,38,"Class3",18,96.15,13.69,"R","D",66.734,50.219
33,71.557,58.082,64,"Class2",29,63.742,65.948,"L","J",70.725,10.888
78,79.34,69.382,28,"Class1",48,29.619,35.782,"P","X",36.501,55.318
44,52.705,59.795,42,"Class3",22,92.411,11.31,"R","H",68.275,76.668
77,79.366,72.928,11,"Class1",56,28.763,24.529,"U","O",41.165,43.522
76,73.43,74.319,34,"Class1",40,32.716,18.807,"F","G",38.803,40.86
79,76.631,74.616,35,"Class1",55,32.492,25.263,"F","Y",38.519,51.072
13,24.731,84.264,67,"Class2",75,58.323,84.538,"F","Y",67.025,39.379
80,85.381,69.341,NA,"Class1",43,28.512,17.843,"H","G",29.423,50.941
81,74.721,64.522,37,"Class1",49,28.984,18.357,"U","O",50.762,48.499
50,55.764,50.455,41,"Class3",27,95.27,9.426,"R","D",67.846,92.716
80,84.809,64.303,6,"Class1",56,30.412,37.378,"U","X",55.029,52.792
76,75.63,71.676,40,"Class1",49,26.926,22.982,"P","J",36.442,42.762
19,51.966,63.795,65,"Class2",25,80.975,42.403,"V","C",79.099,41.65
49,55.01,54.602,34,"Class3",31,95.825,18.289,"W","O",67.549,71.791
79,78.425,63.56,28,"Class1",43,32.328,33.175,"N","J",35.744,50.017
81,76.321,63.696,16,"Class1",58,29.945,24.182,"U","J",47.919,44.741
80,78.562,71.11,38,"Class1",55,32.73,17.8,"U","J",44.615,54.989
10,76.449,55.652,69,"Class2",86,85.853,50.007,"L","R",74.586,78.709
79,89.354,65.148,27,"Class1",46,26.501,29.474,"N","G",51.347,42.693
48,77.96,65.986,63,"Class2",47,64.402,52.223,"C","R",72.59,10.448
27,89.664,49.115,76,"Class2",18,90.768,67.361,"F","J",78.594,83.879
45,57.919,39.171,42,"Class3",27,96.392,12.963,"N","D",66.916,31.77
81,75.865,69.63,11,"Class1",56,31.955,28.107,"F","J",40.845,48.498
50,55.299,43.814,43,"Class3",31,96.41,24.827,"R","O",67.415,76.969
43,57.872,50.698,50,"Class3",33,95.793,16.074,"O","O",67.892,26.204
43,55.031,56.83,32,"Class3",33,95.41,14.442,"N","H",67.617,35.286
44,55.647,50.419,33,"Class3",20,96.852,11.318,"K","F",66.42,47.586
81,74.451,64.258,33,"Class1",52,31.26,35.501,"N",NA,51.751,44.074
37,113.444,83.893,70,"Class2",96,70.774,95.512,"C","C",63.448,69.957
48,55.532,40.961,30,"Class3",23,95.935,22.479,"O","O",67.415,82.493
46,52.866,57.236,31,"Class3",22,95.774,12.567,"K","F",67.901,93.978
82,80.754,63.122,9,"Class1",46,31.821,23.319,"F","G",26.093,58.019
76,79.836,64.433,30,"Class1",41,33.125,7.667,"N","J",42.373,57.274
49,71.828,43.27,69,"Class2",82,94.33,56.765,"V","R",71.249,7.594
1,37.234,49.667,71,"Class2",50,90.212,67.229,"L","J",73.842,13.141
11,63.407,79.312,NA,"Class2",48,78.577,62.701,"C","R",81.58,49.978
42,54.639,41.091,42,"Class3",22,97.82,17.409,"R","D",67.914,31.743
79,76.799,74.464,NA,"Class1",50,31.306,7.407,"F","X",39.68,43.777
82,76.964,69.044,13,"Class1",47,32.365,31.385,"F","X",47.095,57.048
42,56.98,46.902,35,"Class3",33,93.998,0.389,"O","O",67.762,26.749
49,56.289,43.784,40,"Class3",27,93.849,0.423,"N","O",66.877,28.428
42,56.848,48.816,49,"Class3",33,93.705,11.72,"R","O",67.393,44.306
82,75.354,73.08,37,"Class1",51,28,26.142,"F","X",42.172,59.505
43,55.583,40.736,46,"Class3",25,96.817,10.908,"O","Q",66.973,28.384
49,53.658,45.707,37,"Class3",28,97.051,22.799,"K","F",68.446,93.151
47,108.441,55.547,NA,"Class2",58,89.698,40.304,"F","C",67.179,65.605
45,55.59,48.137,38,"Class3",22,92.599,2.42,"N","F",67.193,80.792
78,71.092,66.646,36,"Class1",48,27.847,33.479,"H","J",57.096,42.865
46,53.715,50.815,46,"Class3",27,92.285,4.311,"K","Q",65.765,48.028
44,54.841,48.207,32,"Class3",32,92.478,14.487,"R","H",66.719,83.275
49,53.552,55.49,34,"Class3",28,97.006,10.155,"K","H",67.207,88.199
49,55.63,48.749,31,"Class3",21,97.284,0.365,"O","F",67.115,90.883
80,74.783,72.165,24,"Class1",44,33.721,30.177,"P","Y",47.757,50.847
77,73.132,63.396,45,"Class1",56,31.135,26.891,"H","J",62.161,45.729
43,38.242,88.571,65,"Class2",60,72.641,71.258,"I","R",82.524,86.177
45,57.594,48.086,44,"Class3",26,92.065,11.803,"K","F",67.963,37.168
46,56.046,44.609,39,"Class3",31,93.711,12.815,"N","O",67.863,56.089
22,90.267,91.029,65,"Class2",9,94.582,64.835,"I","K",72.739,39.672
78,77.588,72.205,6,"Class1",41,27.707,27.46,"F",NA,49.297,48.335
2,83.822,44.963,65,"Class2",45,82.303,43.093,"L","R",68.423,59.29
47,54.558,45.771,39,"Class3",22,93.735,8.195,"R",NA,68.411,86.214
8,62.54,50.213,75,"Class2",27,85.633,68.076,"V","C",66.113,15.722
81,76.043,69.278,34,"Class1",43,30.08,34.749,"H","O",34.652,45.563
81,74.915,63.211,28,"Class1",47,27.054,38.22,"H","Y",43.409,46.404
20,38.995,80.834,75,"Class2",22,65.843,90.697,"L","K",73.687,59.792
81,66.611,67.402,15,"Class1",57,29.733,33.82,"U","G",50.663,58.986
76,77.934,69.484,19,"Class1",55,30.85,20.254,"H","J",36.031,58.814
76,79.329,67.079,9,"Class1",44,30.115,28.663,"N","Y",45.777,55.844
76,72.773,70.149,24,"Class1",41,26.254,15.513,"P","J",35.148,57.025
27,80.528,77.118,NA,"Class2",62,83.214,69.551,"L","J",75.508,52.114
78,76.176,70.821,28,"Class1",49,32.882,28.314,"F",NA,62.79,53.563
49,56.502,55.138,49,"Class3",30,93.705,-0.079,"W","Q",66.867,88.041
34,93.361,32.781,71,"Class2",4,74.121,85.321,"I","C",73.655,21.185
31,73.738,56.275,71,"Class2",80,93.109,63.909,"C","J",71.989,35.361
79,78.524,65.974,8,"Class1",43,31.4,12.232,"U","O",65.899,58.43
15,87.448,63.587,71,"Class2",87,73.806,55.27,"F","K",80.417,55.099
42,57.871,54.2,50,"Class3",22,94.224,11.173,"N","F",67.309,38.069
47,51.883,50.876,NA,"Class3",28,97.724,15.038,"O","F",66.541,42.384
44,59.232,45.826,42,"Class3",29,93.074,11.653,"K","D",67.306,59.349
46,53.587,41.692,48,"Class3",25,97.436,16.802,"N","F",67.23,50.025
47,58.501,48.123,42,"Class3",22,92.087,14.746,"K","D",67.457,85.296
77,74.522,69.205,20,"Class1",46,31.253,24.986,"U","X",45.663,60.873
43,54.868,57.771,31,"Class3",19,96.702,10.85,"W","F",66.027,77.635
49,54.841,48.23,43,"Class3",29,97.425,18.731,"N","F",66.552,79.535
44,57.604,42.634,32,"Class3",28,95.004,18.331,"W","D",66.756,62.499
46,56.807,46.78,43,"Class3",20,95.283,13.828,"W","O",67.57,76.161
31,72.271,53.833,69,"Class2",90,68.084,45.151,"V","K",68.112,63.754
81,78.942,74.688,35,"Class1",52,28.339,3.439,"P","J",57.194,56.141
81,82.836,67.551,16,"Class1",48,31.999,21.342,"U","O",41.005,53.498
80,76.239,74.671,25,"Class1",57,31.941,6.571,"H","Y",54.575,52.076
6,56.395,64.315,64,"Class2",40,64.024,56.723,"C","Y",76.134,72.637
50,55.8,43.233,41,"Class3",18,94.973,12.307,"K","Q",67.791,54.986
40,24.91,40.675,64,"Class2",14,67.8,56.398,"I","K",72.723,29.916
45,34.996,66.346,75,"Class2",10,79.425,73.479,"I","Y",67.955,20.838
47,85.568,32.801,64,"Class2",86,64.34,49.405,"F","K",83.802,44.907
46,56.724,46.186,32,"Class3",32,93.046,8.96,"R","O",67.173,44.853
82,79.111,73.143,18,"Class1",47,26.608,23.08,"N","Y",38.742,53.916
43,54.626,58.938,41,"Class3",28,97.874,11.457,"K","F",67.108,86.452
37,46.814,70.348,71,"Class2",16,77.609,54.313,"F","Y",72.445,37.171
79,78.722,71.051,22,"Class1",42,28.684,14.077,"P","X",51.257,52.941
47,56.365,35.341,38,"Class3",32,92.763,9.421,"O","D",66.712,94.852
47,56.889,35.806,38,"Class3",25,95.92,15.682,"O","F",66.876,88.233
76,74.132,63.167,12,"Class1",58,31.535,28.741,"U","J",39.822,49.88
79,72.463,66.506,NA,"Class1",47,28.439,21.858,"U","G",46.909,60.988
51,51.89,39.539,35,"Class3",20,93.619,24.318,"W","H",67.16,32.51
49,50.326,52.541,49,"Class3",20,97.698,12.549,"N","H",67.488,69.358
81,77.165,70.797,34,"Class1",40,28.005,31.113,"N","O",34.939,50.475
76,85.216,71.911,NA,"Class1",45,28.579,25.881,"U","J",57.875,56.056
45,54.628,38.695,32,"Class3",32,93.639,4.626,"W",NA,65.465,64.667
43,54.276,35.109,34,"Class3",20,94.831,5.78,"N",NA,68.39,86.519
46,56.313,50.637,30,"Class3",21,97.584,8.149,"N","Q",67.697,63.579
5,72.968,80.941,70,"Class2",52,96.757,70.611,"F","K",78.168,92.16
48,54.291,46.594,47,"Class3",30,92.758,4.193,"N","O",67.364,39.611
78,73.268,66.446,19,"Class1",52,31.712,17.358,"U","J",56.598,59.107
47,56.154,44.177,41,"Class3",18,92.655,14.453,"R","F",66.35,87.084
82,69.646,65.271,45,"Class1",40,29.788,21.691,"U","Y",40.153,51.715
47,54.35,41.067,47,"Class3",30,94.774,6.732,"N","F",67.181,53.127
8,64.73,71.499,68,"Class2",73,85.334,61.198,"F","J",68.089,54.615
39,56.361,74.807,70,"Class2",75,68.445,33.114,"I","C",75.718,38.133
48,54.438,40.81,48,"Class3",24,93.539,11.767,"R","O",65.876,68.34
45,54.366,42.297,35,"Class3",32,92.016,5.905,"W","O",66.501,72.669
47,73.105,43.876,73,"Class2",6,86.903,82.504,"C","R",77.822,6.534
79,84.518,69.377,42,"Class1",48,27.206,32.653,"P","J",53.209,57.572
47,56.381,58.444,32,"Class3",26,94.616,7.873,"R","Q",66.532,60.575
51,57.972,43.926,41,"Class3",24,93.16,16.257,"K","Q",65.992,40.752
45,59.355,57.741,49,"Class3",33,94.209,20.608,"W","D",67.944,76.773
24,81.238,48.253,68,"Class2",17,59.803,69.997,"L","J",70.409,43.062
28,43.596,71.526,72,"Class2",46,52.81,50.699,"L","Y",61.272,74.358
13,55.627,56.388,73,"Class2",73,66.923,77.725,"C","J",71.695,13.557
41,29.746,80.448,72,"Class2",35,89.088,55.399,"L","R",66.281,9.306
43,52.548,45.772,47,"Class3",25,92.538,7.343,"R","D",65.585,40.366
46,55.559,41.782,34,"Class3",28,97.435,15.914,"O","H",67.499,53.177
45,54.137,51.872,49,"Class3",21,95.413,13.83,"W",NA,67.798,80.622
42,56.056,39.737,NA,"Class3",21,96.413,18.868,"R","D",67.171,88.338
51,54.084,50.053,48,"Class3",27,95.582,5.934,"K","F",67.176,37.972
44,56.755,48.998,40,"Class3",27,97.009,13.423,"K","Q",67.65,84.929
24,101.997,77.725,71,"Class2",95,74.369,53.828,"F","K",66.481,15.666
46,55.98,58.922,32,"Class3",24,96.783,10.59,"R","H",67.282,33.368
79,73.2,74.838,NA,"Class1",45,27.19,26.907,"N","Y",39.2,53.639
21,60.9,68.03,67,"Class2",7,82.853,45.172,"L","K",71.837,83.946
42,57.616,49.472,68,"Class2",75,88.944,60.914,"I","K",68.867,48.375
25,43.25,55.918,68,"Class2",64,95.021,58.345,"C","R",63.474,43.064
18,-0.526,38.871,72,"Class2",28,69.446,45.036,"F","R",65.977,49.192
