"M1","M2","M3","M4","M5","M6","M7","Output12","M8","M9","M10","M11"
19.466,46,"L",68.327,78.856,9.168,87,"Class2","Q",67.245,93.402,31
16.614,38,"F",67.166,75.064,15.367,90,"Class2","K",52.12,102.679,36
47.804,46,"T",50.415,48.123,53.296,27,"Class1","W",44.018,73.754,65
87.401,42,"J",45.601,67.394,41.625,23,"Class4","Y",96.325,2.874,75
20.297,37,"L",NA,77.478,9.355,80,"Class2","Q",51.81,85.917,38
31.164,46,"N",23.163,48.813,35.514,22,"Class1","R",39.538,73.709,84
19.807,58,"F",70.635,77.548,16.083,95,"Class2","X",56.977,81.555,37
74.14,61,"J",15.553,63.471,53.018,67,"Class3","L",46.497,16.484,10
17.696,41,"Z",73.262,81.751,12.203,92,"Class2","Q",53.199,95.049,43
101.182,61,"J",60.26,68.803,45.705,46,"Class3","N",47.484,16.965,68
20.076,59,"M",73.331,79.025,13.243,87,"Class2","K",62.752,84.749,39
82.579,62,"M",69.566,66.889,32.983,65,"Class3","N",50.569,16.185,51
85.012,63,"M",70.167,65.575,57.074,92,"Class3","L",53.284,16.34,52
51.896,44,"F",78.252,48.401,14.037,42,"Class1","U",44.989,73.194,87
55.255,45,"F",39.507,48.405,67.542,45,"Class1","H",39.932,73.699,74
87.503,47,"A",23.057,75.213,41.785,23,"Class4","J",96.925,4.772,52
87.188,37,"T",NA,65.667,42.064,23,"Class4","A",96.247,4.753,85
55.181,46,"G",46.835,48.13,19.593,19,"Class1","R",40.163,73.231,78
78.352,46,"T",72.736,48.517,46.3,65,"Class1","H",45.562,74.172,67
75.15,63,"J",16.65,64.674,77.059,79,"Class3","N",57.157,16.27,75
74.274,61,"J",62.18,68.27,79.595,60,"Class3","Y",57.921,16.276,37
87.363,46,"U",24.567,42.863,41.263,21,"Class4","R",96.573,3.634,72
62.746,44,"G",62.44,48.272,-5.552,64,"Class1","H",69.998,73.11,61
18.831,47,"I",66.378,80.902,10.439,80,"Class2","X",56.082,91.399,31
86.956,55,"J",38.78,57.394,41.244,21,"Class4","J",96.834,3.606,59
81.488,61,"Q",38.576,69.355,62.844,30,"Class3","L",52.401,16.67,20
20.073,43,"L",71.91,75.347,16.119,96,"Class2","T",51.445,87.922,35
87.175,57,"O",30.25,52.692,40.936,21,"Class4","X",96.91,4.682,68
56.254,46,"L",13.486,48.707,107.098,64,"Class1","W",67.233,73.513,78
87.585,54,"A",25.443,73.479,41.688,23,"Class4","J",96.912,3.034,79
59.417,43,"T",76.868,48.909,69.503,56,"Class1","G",24.676,73.841,71
87.426,39,"A",23.274,49.668,42.222,22,"Class4","X",96.839,3.415,50
87.532,49,"J",34.189,56.477,41.745,21,"Class4","R",96.177,2.2,82
19.797,43,"M",71.949,79.37,15.308,87,"Class2","Q",68.787,71.618,44
48.774,43,"T",62.68,48.608,54.726,32,"Class1","W",44.429,73.743,63
74.316,63,"M",51.36,64.208,44.446,30,"Class3","T",58.348,16.304,60
51.635,46,"T",35.663,48.051,2.57,22,"Class1","U",43.303,73.318,65
87.971,38,"T",NA,32.068,41.945,22,"Class4","X",96.081,3.593,57
63.59,43,"F",81.567,48.6,71.194,12,"Class1","W",25.955,73.352,64
19.399,53,"M",69.169,82.376,6.394,83,"Class2","J",69.7,79.394,31
66.635,45,"T",62.462,48.718,81.834,42,"Class1","U",27.759,73.633,73
19.555,43,"L",19.404,48.708,55.478,27,"Class1","H",45.31,73.704,69
78.092,63,"M",76.778,66.095,67.267,34,"Class3","T",50.443,16.749,80
87.539,61,"J",75.464,67.136,61.227,40,"Class3","T",54.749,16.108,80
76.657,62,"J",48.532,67.308,118.496,83,"Class3","L",47.422,16.558,61
87.632,54,"O",27.175,42.49,41.907,22,"Class4","A",96.328,4.738,83
84.164,63,"O",43.488,68.563,67.443,56,"Class3","L",NA,16.532,13
77.553,63,"O",52.218,65.04,61.702,41,"Class3","N",52.784,16.399,45
18.478,50,"F",72.16,82.825,19.653,91,"Class2","K",69.583,82.929,37
87.935,41,"A",38.902,45.347,41.801,23,"Class4","Y",96.479,5.326,62
20.307,52,"M",68.533,78.467,15.652,80,"Class2","X",67.506,103.233,37
87.299,36,"O",35.32,59.133,41.643,21,"Class4","J",96.365,3.213,50
87.05,62,"J",70.636,65.67,27.857,29,"Class3","L",47.625,16.61,29
87.222,52,"U",43.844,59.177,41.113,22,"Class4","Y",96.349,2.704,62
87.737,49,"T",46.088,31.411,41.058,22,"Class4","Y",96.939,3.034,59
87.67,56,"A",49.541,29.02,41.495,22,"Class4","X",96.139,4.406,73
44.255,44,"N",55.53,48.515,47.687,66,"Class1","H",53.5,73.439,81
77.789,63,"J",58.04,64.529,67.847,46,"Class3","D",48.019,16.533,42
87.731,54,"J",38.538,75.387,40.86,23,"Class4","Y",96.901,3.171,59
18.748,44,"L",69.555,80.326,10.478,93,"Class2","Q",59.177,88.822,45
19.193,41,"M",72.987,75.526,17.879,86,"Class2","T",52.656,85.576,38
87.754,48,"T",32.55,29.655,41.7,22,"Class4","A",96.162,1.851,63
64.335,63,"Q",60.911,64.085,66.878,22,"Class3","L",47.61,16.54,77
20.981,64,"I",67.883,76.422,14.24,88,"Class2","Q",60.96,90.637,38
87.7,52,"U",26.076,73.679,41.586,21,"Class4","R",96.292,2.448,65
24.608,43,"F",19.604,48.809,59.866,89,"Class1","U",28.061,73.34,66
19.324,41,"Z",72.463,79.014,12.737,89,"Class2","X",61.588,85.194,43
19.249,43,"T",76.146,48.155,48.211,20,"Class1","W",38.449,73.204,81
73.96,61,"C",75.008,68.332,72.736,63,"Class3","N",46.534,16.233,54
71.489,44,"L",46.245,48.895,46.999,12,"Class1","U",33.425,73.638,82
19.576,43,"Z",NA,81.774,7.096,91,"Class2","X",67.612,85.163,32
88.111,49,"O",52.573,39.531,41.208,23,"Class4","X",96.934,2.482,50
18.174,51,"M",73.485,76.028,9.506,87,"Class2","Q",69.147,92.359,32
87.617,47,"O",NA,68.539,41.783,22,"Class4","X",96.72,2.799,70
87.289,52,"A",45.894,36.035,41.308,21,"Class4","Y",96.6,4.114,76
58.356,44,"L",81.58,48.577,61.871,70,"Class1","H",68.772,72.981,63
60.386,45,"T",23.853,48.026,5.513,83,"Class1","R",25.03,73.383,69
87.987,47,"T",27.805,62.65,41.79,21,"Class4","A",96.551,3.852,82
87.186,43,"T",48.237,64.961,41.93,22,"Class4","A",96.053,2.495,56
87.395,43,"J",52.599,68.012,42.052,21,"Class4","Y",96.957,3.512,57
87.148,54,"A",39.411,58.609,41.1,21,"Class4","Y",96.203,3.803,78
87.268,61,"O",24.78,67.895,24.025,24,"Class3","D",51.176,16.232,19
80.313,61,"Q",28.34,65.583,60.956,64,"Class3","N",52.031,17.023,42
82.277,63,"C",24.489,68.318,43.733,50,"Class3","N",54.726,16.216,11
83.78,61,"M",27.355,69.381,61.996,27,"Class3","Y",50.107,16.591,18
78.832,62,"C",51.8,67.11,41.596,86,"Class3","N",57.629,16.158,30
87.706,49,"T",51.033,33.142,41.854,22,"Class4","Y",NA,4.242,80
18.103,37,"M",69.282,77.082,14.124,81,"Class2","J",70.673,85.008,30
74.95,45,"T",37.5,48.346,49.698,60,"Class1","R",68.881,73.672,85
18.823,54,"L",69.533,79.468,9.791,82,"Class2","K",51.85,85.954,31
19.791,61,"M",68.92,75.221,16.221,81,"Class2","K",60.65,107.409,40
87.169,57,"J",27.015,62.644,41.327,22,"Class4","R",96.619,2.815,71
18.731,49,"F",73.44,76.057,11.667,82,"Class2","J",68.681,98.086,40
87.914,56,"T",41.875,58.685,41.149,21,"Class4","A",96.478,4.121,80
88.035,48,"J",37.757,49.366,41.517,22,"Class4","J",96.912,3.481,71
75.287,62,"C",51.903,63.591,60.23,91,"Class3","L",49.721,16.45,35
20.962,45,"F",43.842,48.339,69.662,22,"Class1","U",42.734,73.341,71
51.691,44,"F",50.65,48.963,25.955,76,"Class1","W",29.179,73.557,61
85.561,63,"Q",15.682,63.445,42.02,18,"Class3","D",57.231,16.849,33
61.353,63,"Q",36.091,65.117,45.994,6,"Class3","D",48.596,16.267,39
20.877,60,"M",72.745,76.162,15.541,83,"Class2","J",NA,100.965,40
87.802,54,"T",55.866,63.858,41.641,22,"Class4","Y",96.504,3.497,56
35.514,43,"L",31.644,48.37,56.813,62,"Class1","U",NA,73.15,73
72.882,43,"T",NA,48.75,74.093,72,"Class1","G",24.443,73.408,86
87.772,43,"O",33.264,57.239,41.52,23,"Class4","J",96.127,3.618,74
87.065,43,"A",49.034,32.732,40.977,21,"Class4","A",96.497,3.509,72
75.502,61,"O",75.293,69.106,51.212,93,"Class3","N",59.873,16.809,82
35.531,44,"G",48.826,48.336,61.955,41,"Class1","U",65.872,73.569,62
88.815,61,"O",34.25,69.243,37.785,89,"Class3","Y",47.199,17.129,85
87.351,56,"T",29.729,34.656,41.672,22,"Class4","R",96.044,4.068,87
53.136,45,"G",66.534,48.169,76.173,48,"Class1","H",44.161,73.457,65
35.884,46,"F",42.481,48.562,44.025,15,"Class1","W",41.501,73.464,80
71.633,61,"M",77.024,64.49,60.675,57,"Class3","N",55.934,16.801,29
20.821,36,"M",71.897,80.714,14.504,83,"Class2","K",65.678,82.864,32
87.214,51,"O",50.845,39.792,41.137,21,"Class4","X",96.002,1.985,86
41.228,46,"F",20.655,48.193,107.462,38,"Class1","R",32.551,73.525,89
78.902,61,"O",43.94,69.604,39.657,80,"Class3","D",50.143,16.171,37
72.498,46,"F",NA,48.323,53.089,57,"Class1","H",69.523,73.483,82
61.08,43,"F",68.134,48.749,15.053,78,"Class1","R",NA,73.969,71
55.398,46,"F",24.765,48.055,33.129,78,"Class1","H",34.095,73.627,74
18.722,52,"M",69.443,82.749,15.757,91,"Class2","X",NA,91.6,36
87.622,52,"T",24.623,26.696,41.309,22,"Class4","Y",96.353,3.655,74
19.799,56,"Z",67.349,81.295,16.162,93,"Class2","T",71.745,95.361,41
19.053,43,"L",71.591,78.704,11.796,92,"Class2","J",69.028,100.644,37
85.2,63,"M",66.669,64.951,56.555,75,"Class3","D",55.385,16.253,31
20.809,49,"Z",72.936,77.044,17.322,91,"Class2","Q",60.799,88.406,42
88.203,61,"O",40.104,64.34,36.297,95,"Class3","T",47.407,16.422,50
78.448,62,"C",59.086,64.313,88.483,41,"Class3","Y",51.553,16.919,80
20.029,63,"M",72.381,78.66,14.904,85,"Class2","Q",71.046,83.047,32
87.188,39,"U",26.301,28.09,41.299,22,"Class4","R",96.952,2.143,48
98.509,62,"M",NA,66.923,14.201,67,"Class3","L",47.22,16.615,17
35.942,44,"L",29.281,48.201,-1.014,41,"Class1","R",33.026,73.476,76
18.861,45,"I",NA,81.078,11.726,80,"Class2","T",61.326,95.713,34
80.684,61,"J",28.808,65.91,48.205,93,"Class3","N",NA,16.006,25
87.774,51,"O",39.789,65.951,41.911,22,"Class4","X",96.887,2.997,70
91.55,62,"M",49.866,67.603,66.249,7,"Class3","N",55.977,16.101,43
92.691,61,"O",34.789,65.053,87.853,45,"Class3","T",49.939,16.23,49
88.058,47,"A",38.721,73.918,41.719,23,"Class4","Y",96.163,4.31,80
51.335,45,"G",62.755,48.893,-9.672,76,"Class1","G",27.601,73.177,89
21.193,35,"F",69.48,76.867,12.244,85,"Class2","J",68.233,86.204,35
70.34,62,"Q",56.185,63.073,85.662,63,"Class3","Y",52.314,15.999,81
45.34,44,"N",59.977,48.267,36.52,25,"Class1","G",46.835,72.977,80
38.831,44,"N",42.813,48.116,91.26,77,"Class1","U",62.307,73.664,72
75.852,63,"C",49.082,68.372,61.685,28,"Class3","N",59.668,16.557,74
47.904,43,"T",56.639,48.195,27.061,28,"Class1","R",64.616,73.755,77
18.532,48,"L",66.991,75.287,8.324,93,"Class2","T",52.88,79.477,41
17.941,44,"M",72.139,80.815,13.588,92,"Class2","X",61.615,75.947,43
18.766,64,"M",69.214,82.226,16.736,92,"Class2","T",59.659,89.797,34
52.743,46,"G",17.251,48.63,45.826,77,"Class1","G",34.961,73.779,81
87.758,45,"A",29.729,71.569,41.328,21,"Class4","A",NA,5.59,49
83.172,62,"M",34.41,66.07,67.259,60,"Class3","N",48.643,16.683,28
18.531,56,"Z",71.601,76.462,15.612,86,"Class2","Q",69.964,93.251,37
87.207,46,"T",42.201,60.281,41.449,21,"Class4","Y",96.819,4.168,78
20.3,36,"Z",63.954,82.1,13.991,88,"Class2","J",53.274,94.282,30
87.551,55,"J",48.684,34.847,41.113,22,"Class4","X",96.686,3.543,56
24.842,46,"L",53.403,48.841,54.051,66,"Class1","H",30.511,73.506,77
83.789,61,"J",54.084,67.093,68.534,37,"Class3","N",55.369,16.43,81
88.529,63,"O",NA,65.945,65.732,12,"Class3","N",52.346,16.642,57
87.921,38,"O",25.88,42.757,41.753,21,"Class4","Y",96.571,2.144,73
92.379,62,"O",62.03,67.945,63.505,85,"Class3","T",50.967,16.494,74
21.459,48,"F",NA,82.463,15.329,88,"Class2","J",72.156,86.276,40
87.75,55,"A",NA,64.604,41.693,22,"Class4","J",96.051,3.852,86
87.418,57,"U",54.111,53.188,41.216,22,"Class4","J",NA,2.456,59
78.12,61,"M",77.979,69.409,72.688,16,"Class3","Y",54.315,16.413,77
76.314,62,"Q",51.313,67.285,64.795,75,"Class3","T",54.952,16.519,12
18.478,54,"L",72.224,75.597,16.755,83,"Class2","K",53.972,93.311,35
88.074,50,"T",33.341,62.994,41.28,23,"Class4","R",96.629,2.961,70
43.215,44,"N",38.58,48.605,85.462,72,"Class1","R",35.91,73.637,83
22.604,44,"L",53.154,48.969,42.709,51,"Class1","U",29.721,73.762,72
18.635,62,"L",71.095,80.371,10.746,82,"Class2","T",72.198,85.81,36
86.303,63,"J",77.609,63.619,49.835,40,"Class3","Y",49.622,16.325,54
81.384,63,"Q",35.523,66.372,51.856,77,"Class3","L",57.672,15.969,77
54.279,45,"T",70.503,48.822,24.892,27,"Class1","U",67.294,73.369,77
18.712,58,"F",69.518,81.48,10.751,82,"Class2","X",55.11,84.551,36
49.829,44,"L",32.633,48.911,24.352,69,"Class1","W",61.828,73.505,64
61.717,45,"F",53.767,48.393,51.198,86,"Class1","W",29.357,73.553,86
48.566,44,"T",69.863,48.149,15.539,36,"Class1","R",44.453,73.557,70
19.414,39,"Z",66.294,79.434,12.555,94,"Class2","T",60.388,83.507,35
21.896,63,"F",64.86,77.603,15.455,88,"Class2","J",57.732,78.951,32
45.715,45,"L",47.014,48.118,49.305,30,"Class1","W",41.853,73.674,65
86.849,55,"U",49.441,68.728,41.669,23,"Class4","Y",96.361,3.845,80
87.171,53,"U",51.617,38.207,41.16,21,"Class4","Y",96.62,2.034,79
74.261,62,"C",23.44,68.376,77.013,31,"Class3","Y",47.384,16.517,87
20.702,42,"F",69.544,80.007,12.848,96,"Class2","X",59.988,95.187,32
93.383,63,"J",57.972,63.296,59.965,49,"Class3","L",58.347,15.78,23
86.698,63,"M",48.985,63.981,68.043,61,"Class3","Y",53.106,16.244,84
87.819,41,"U",44.139,64.385,41.964,23,"Class4","R",96.062,3.512,89
75.522,63,"C",42.216,63.05,31.145,65,"Class3","Y",54.671,16.103,10
18.045,56,"F",72.114,82.163,12.824,94,"Class2","Q",55.862,85.173,39
35.989,44,"G",48.376,48.843,30.939,62,"Class1","R",60.726,73.76,60
87.288,42,"T",55.315,50.102,40.785,22,"Class4","R",96.468,3.363,81
40.194,45,"F",78.804,48.99,76.506,22,"Class1","G",65.577,72.868,85
33.128,44,"L",27.527,48.247,41.928,44,"Class1","H",38.004,73.271,67
32.989,44,"G",39.017,48.027,51.478,78,"Class1","W",32.007,73.036,84
81.596,62,"C",32.953,66.848,36.753,46,"Class3","D",NA,16.755,43
52.137,45,"L",40.159,48.813,38.846,74,"Class1","R",68.249,73.471,68
86.762,46,"O",27.731,41.004,41.605,21,"Class4","J",96.969,4.728,71
19.726,43,"I",67.081,78.905,16.383,83,"Class2","T",54.746,92.155,40
49.515,45,"L",44.047,48.684,26.555,47,"Class1","G",28.188,73.965,73
87.597,39,"O",50.828,44.712,41.364,23,"Class4","J",96.67,4.091,85
20.047,59,"I",67.459,79.248,10.361,91,"Class2","X",72.24,90.439,43
18.925,52,"L",73.161,80.801,14.579,90,"Class2","X",53.476,95.907,41
18.665,36,"L",67.513,82.874,9.36,95,"Class2","Q",67.147,84.939,39
73.659,61,"O",30.883,64.985,54.685,80,"Class3","N",47.877,16.94,90
19.644,53,"M",66.649,75.79,13.345,93,"Class2","Q",64.829,72.554,38
91.203,63,"O",50.824,67.046,48.256,69,"Class3","T",53.652,16.637,21
65.9,62,"Q",34.628,63.983,67.575,57,"Class3","L",52.19,16.291,9
19.538,60,"M",63.502,76.404,14.19,89,"Class2","K",NA,91.555,36
87.952,54,"A",56.695,75.554,42.322,23,"Class4","J",96.962,1.827,63
19.496,50,"L",65.616,79.838,14.103,90,"Class2","T",53.586,82.993,45
78.62,63,"J",70.958,64.844,61.706,29,"Class3","T",58.223,16.094,63
87.554,52,"A",34.419,70.523,41.458,22,"Class4","J",96.829,4.865,70
19.249,35,"M",71.126,81.583,18.603,86,"Class2","T",64.544,86.885,39
87.664,47,"O",34.853,35.463,42.202,23,"Class4","R",96.601,4.086,72
77.577,63,"M",51.708,65.061,55.454,48,"Class3","T",52.784,16.822,17
19.235,47,"M",63.767,75.723,11.634,82,"Class2","J",68.135,84.684,44
