"P1","P2","P3","Output15","P4","P5","P6","P7","P8","P9","P10","P11"
55,"G",90,"Class5",48.048,37.042,"I",88,10.403,10.304,74.454,2.5
73,"W",50,"Class5",68.217,27.871,"D",64,22.432,12.141,53.84,24.101
45,"F",84,"Class3",49.376,21.397,"P",56,105.779,51.846,12.549,57.137
64,"Y",74,"Class5",45.331,36.266,"I",68,22.372,10.248,67.89,18.999
33,"R",88,"Class3",58.587,28.217,"Q",54,57.974,52.095,12.817,69.473
78,"Y",60,"Class2",49.928,17.145,"G",44,59.467,30.208,48.481,61.883
70,"H",83,"Class2",46.27,64.405,"V",78,36.515,23.399,59.464,68.832
31,"R",90,"Class3",48.956,16.132,"B",52,14.225,52.548,12.415,72.279
69,"W",79,"Class5",46.25,12.466,"P",72,30.329,11.013,69.395,9.539
67,"Y",90,"Class5",66.149,36.984,"G",94,31.804,12.013,66.534,19.07
66,"G",74,"Class5",68.618,12.981,"P",92,34.434,10.814,70.92,7.035
82,"Y",88,"Class5",63.813,34.185,"P",95,-4.084,10.642,59.512,11.045
72,"H",31,"Class2",55.001,43.053,"A",71,59.106,35.795,73.369,53.013
83,"Q",34,"Class4",75.632,44.141,"V",99,46.609,31.24,73.134,59.965
78,"P",31,"Class4",79.87,40.402,"D",97,13.917,34.974,40.761,63.182
75,"Y",35,"Class4",33.462,40.69,"T",97,38.953,63.115,21.977,61.621
57,"K",74,"Class1",42.263,69.117,"E",80,41.298,66.847,38.584,72.779
57,"I",74,"Class1",41.38,88.482,"P",74,41.663,70.258,41.056,90.107
34,"F",88,"Class3",48.223,66.928,"G",61,54.902,52.114,12.547,41.434
77,"C",31,"Class4",84.904,35.56,"T",99,NA,52.882,66.631,62.774
27,"G",67,"Class5",35.14,24.554,"G",93,15.29,10.705,85.97,31.049
78,"P",31,"Class4",50.05,30.812,"V",99,22.341,54.197,76.331,62.534
72,"Y",51,"Class2",56.429,26.926,"A",57,41.693,35.066,72.245,53.356
38,"W",84,"Class5",63.363,44.581,"I",84,23.379,12.103,63.71,31.56
54,"F",87,"Class3",59.046,58.136,"Q",55,72.593,52.648,11.946,52.035
52,"G",82,"Class3",61.66,23.331,"U",58,69.746,52.095,12.308,42.609
46,"Y",73,"Class5",48.203,33.958,"I",96,36.321,10.513,41.755,7.394
75,"C",33,"Class4",79.843,38.916,"V",97,45.477,NA,64.813,60.361
93,"G",83,"Class5",66.604,33.91,"D",75,17.55,12.381,46.588,13.26
79,"P",32,"Class4",48.261,43.216,"O",99,25.942,74.156,62.526,63.513
39,"I",84,"Class3",54.526,48.312,"P",50,55.383,NA,12.766,64.912
75,"U",75,"Class2",59.31,25.439,"A",47,37.362,45.502,52.87,46.781
34,"D",87,"Class3",54.248,15.168,"P",65,63.055,52.74,12.538,34.081
55,"D",83,"Class3",53.77,26.583,"G",51,NA,52.085,12.704,47.897
30,"Y",53,"Class5",43.226,10.275,"D",94,31.573,11.333,66.798,3.614
70,"Y",38,"Class2",46.375,56.364,"Y",77,35.176,35.56,42.231,62.891
48,"G",75,"Class5",45.469,21.852,"F",97,38.225,9.627,100.953,31.774
84,"Y",33,"Class4",37.763,27.004,"T",98,13.807,73.067,52.457,63.895
68,"R",82,"Class2",45.303,37.074,"A",77,50.662,45.818,50.352,63.487
33,"I",91,"Class3",55.323,15.943,"P",53,27.617,51.954,12.447,58.612
73,"R",43,"Class2",46.231,26.943,"V",77,40.821,36.432,58.332,44.924
78,"Y",40,"Class2",64.454,57.928,"C",83,58.298,42.232,47.078,73.964
59,"R",83,"Class3",56.651,9.464,"P",55,23.12,52.738,12,35.263
76,"U",55,"Class2",59.954,52.048,"V",57,61.044,38.131,50.053,62.471
71,"D",80,"Class2",47.29,50.981,"C",49,35.641,47.06,60.109,61.476
84,"Q",35,"Class4",34.055,39.271,"I",98,34.68,82.716,46.864,64.575
60,"I",79,"Class1",45.454,64.088,"V",71,NA,85.147,41.451,69.069
83,"R",31,"Class4",42.762,30.431,"T",99,28.908,59.98,85.123,62.342
76,"C",32,"Class4",16.53,43.223,"O",97,30.972,NA,81.145,60.966
33,"G",58,"Class5",41.182,29.268,"P",77,21.961,10.826,54.876,17.777
52,"Y",62,"Class5",42.068,17.966,"D",73,35.48,11.964,45.593,30.945
60,"K",83,"Class1",31.437,64.847,"R",63,44.959,81.015,38.876,90.439
58,"K",80,"Class1",36.83,82.827,"V",67,42.86,90.136,42.844,81.468
31,"I",87,"Class3",58.412,56.097,"Q",58,27.227,NA,12.546,37.013
75,"H",54,"Class2",54.291,17.052,"A",62,44.037,32.71,59.536,57.898
59,"V",81,"Class1",25.942,83.411,"P",56,40.802,NA,40.038,76.999
63,"W",80,"Class1",45.689,71.444,"J",69,44.601,67.516,41.108,80.224
78,"H",51,"Class2",64.744,24.413,"A",42,42.663,51.937,61.393,72.194
57,"V",74,"Class1",20.641,39.557,"E",59,41.031,NA,39.357,91.347
32,"G",81,"Class3",58.36,38.382,"U",52,21.646,52.154,12.083,62.024
63,"K",81,"Class1",25.594,43.641,"P",69,40.428,78.793,42.531,79.85
52,"G",84,"Class3",57.708,54.17,"U",62,30.026,52.076,12.551,52.836
80,"Q",33,"Class4",26.244,37.988,"O",97,32.294,52.426,38.735,63.962
56,"P",75,"Class1",30.739,55.363,"E",70,47.344,81.889,38.401,66.303
58,"W",83,"Class1",29.127,82.41,"R",65,41.884,74.256,40.453,66.694
52,"I",86,"Class3",46.942,70.778,"G",57,73.571,NA,12.468,68.307
51,"Y",64,"Class5",53.377,9.986,"P",94,40.19,11.011,58.592,13.505
63,"I",77,"Class1",27.716,61.1,"J",55,38.053,73.195,41.314,91.393
84,"Q",34,"Class4",56.469,37.939,"V",99,32.51,62.247,84.13,63.157
59,"D",86,"Class3",49.767,52.726,"U",60,30.369,52.746,12.569,62.416
56,"X",49,"Class5",39.065,40.558,"P",97,19.904,9.322,64.823,33.158
74,"H",68,"Class2",44.633,48.641,"A",52,45.751,32.084,55.489,75.691
83,"W",87,"Class5",42.271,23.824,"F",86,36.832,11.228,43.574,10.007
76,"P",34,"Class4",82.936,40.651,"I",99,26.849,44.519,101.311,62.811
80,"C",34,"Class4",82.916,44.181,"I",98,55.052,52.014,9.857,61.743
60,"I",81,"Class1",27.428,65.837,"P",71,42.175,75.946,42.095,89.137
54,"X",53,"Class5",65.688,12.796,"G",76,12.143,10.45,24.941,25.521
65,"W",55,"Class5",71.128,11.884,"F",71,21.503,9.794,76.047,26.007
80,"Q",35,"Class4",50.42,42.319,"T",97,16.434,69.748,89.025,60.114
32,"G",81,"Class3",48.781,16.101,"B",62,92.25,52.883,12.263,71.964
43,"X",69,"Class5",37.638,14.62,"D",71,24.915,11.977,59.962,24.912
73,"R",26,"Class2",43.082,37.11,"Y",45,41.846,30.42,66.085,55.541
81,"C",34,"Class4",42.574,33.855,"V",98,25.565,98.049,55.444,60.47
36,"D",62,"Class5",35.659,44.034,"P",96,28.236,10.072,68.653,13.519
81,"Q",31,"Class4",21.639,27.789,"T",98,21.563,95.51,40.76,63.636
34,"R",89,"Class3",48.366,72.16,"G",52,89.023,52.111,12.056,44.975
38,"R",84,"Class3",47.208,33.221,"U",59,61.629,NA,12.862,74.852
38,"Y",73,"Class5",48.636,6.698,"G",72,10.689,11.202,61.304,20.43
70,"D",40,"Class2",60.24,50.084,"Y",76,49.614,31.321,52.869,51.054
75,"R",35,"Class4",62.279,42.442,"D",98,38.362,29.433,76.135,62.371
34,"F",84,"Class3",53.269,21.148,"U",58,32.864,52.685,12.462,41.242
54,"G",87,"Class3",46.633,11.076,"P",57,51.63,52.942,12.251,73.841
32,"F",87,"Class3",51.809,8.373,"B",50,NA,52.682,12.141,25.075
62,"D",83,"Class5",35.378,48.095,"I",90,32.257,10.153,65.575,16.136
58,"I",81,"Class1",35.196,71.41,"P",62,39.722,67.503,39.188,71.164
65,"D",59,"Class5",53.844,7.879,"D",64,36.219,11.399,52.045,20.335
76,"R",33,"Class4",30.869,27.198,"V",99,40.568,30.57,36.389,62.386
81,"Q",34,"Class4",81.973,35.003,"D",97,NA,34.08,79.164,64.604
55,"G",82,"Class3",49.204,59.523,"P",52,69.642,52.98,12.569,73.575
63,"I",78,"Class1",35.099,84.773,"P",52,NA,NA,38.326,75.458
59,"I",88,"Class3",50.768,13.837,"G",63,60.98,51.919,12.88,42.293
38,"W",67,"Class5",59.656,40.581,"F",87,8.812,10.685,35.841,2.874
69,"U",88,"Class2",56.246,51.033,"G",49,36.184,35.773,42.166,68.032
78,"Y",34,"Class4",81.98,27.393,"V",99,42.876,85.861,60.757,60.624
68,"R",36,"Class2",56.342,53.727,"V",80,33.885,31.606,39.503,70.325
75,"H",38,"Class2",46.802,30.705,"Y",80,50.882,38.835,49.159,55.482
84,"C",32,"Class4",79.951,30.483,"O",97,27.158,14.474,60.592,60.201
94,"X",80,"Class5",64.107,23.446,"G",77,23.145,12.862,52.108,26.757
78,"R",86,"Class2",44.004,46.519,"C",45,47.775,33.549,46.344,45.893
58,"G",86,"Class3",55.891,27.814,"G",62,44.513,52.501,11.977,66.935
95,"W",50,"Class5",62.67,50.964,"F",68,5.366,11.179,51.184,23.743
75,"G",73,"Class5",55.279,22.334,"I",98,24.696,11.677,70.502,5.632
76,"Y",32,"Class2",63.931,26.538,"A",64,19.008,42.434,49.214,73.13
74,"H",59,"Class2",47.651,13.443,"C",52,46.464,47.379,41.111,52.383
32,"I",89,"Class3",54.419,7.639,"U",54,83.108,51.974,12.987,50.803
76,"R",27,"Class2",52.705,52.573,"V",42,46.146,37.171,51.861,70.754
93,"X",72,"Class5",43.98,10.662,"D",65,38.706,10.302,65.634,9.945
76,"Y",45,"Class2",63.409,53.025,"G",83,38.548,51.878,41.09,46.971
64,"G",80,"Class5",49.681,46.496,"P",96,44.404,10.776,38.743,18.448
35,"D",89,"Class3",50.893,37.515,"G",65,24.298,52.259,12.957,71.368
82,"Q",33,"Class4",18.04,27.921,"T",99,4.938,101.161,47.418,59.47
94,"Y",61,"Class5",57.706,28.964,"D",72,51.711,11.027,61.258,12.268
33,"R",83,"Class3",48.054,54.492,"Q",60,90.398,52.227,12.255,40.106
38,"D",75,"Class5",60.349,20.734,"P",98,7.853,10.196,31.095,8.873
78,"Q",33,"Class4",58.119,34.662,"O",99,16.37,41.52,23.095,62.139
68,"Y",61,"Class2",48.107,30.543,"C",55,57.44,33.941,63.169,52.397
42,"G",85,"Class3",60.56,31.216,"Q",55,79.463,52.136,13.097,35.268
61,"P",77,"Class1",41.483,76.605,"P",69,39.673,77.241,39.82,89.299
59,"V",83,"Class1",45.395,39.931,"R",61,42.94,NA,38.619,82.178
76,"P",31,"Class4",78.769,30.173,"V",97,26.034,81.861,30.524,60.265
64,"V",76,"Class1",39.827,47.498,"J",57,41.16,80.414,42.951,78.341
70,"Y",39,"Class2",50.143,22.197,"C",65,37.86,30.867,58.804,58.055
95,"X",70,"Class5",41.388,18.656,"G",73,31.859,10.842,41.493,20.002
73,"U",80,"Class2",66.461,60.408,"C",52,NA,42.186,41.867,68.549
81,"Q",34,"Class4",78.599,33.333,"D",98,17.537,43.469,32.533,63.062
84,"R",31,"Class4",33.257,38.888,"T",97,41.677,85.874,48.952,61.315
73,"Y",64,"Class2",55.051,43.541,"C",58,37.722,28.95,62.263,78.988
47,"I",88,"Class3",49.958,44.905,"U",65,67.061,52.188,12.306,50.373
72,"X",69,"Class5",71.506,28.035,"D",97,17.517,10.805,52.986,18.2
73,"D",27,"Class2",51.018,61.672,"G",56,37.299,37.364,44.308,51.901
73,"Y",88,"Class2",43.352,55.194,"V",56,NA,NA,54.257,56.483
74,"D",61,"Class2",52.816,26.026,"C",57,51.683,NA,67.598,78.932
84,"C",35,"Class4",46.298,33.037,"O",97,33.822,NA,71.188,61.83
78,"W",73,"Class5",59.818,47.976,"P",67,28.81,10.608,64.443,24.909
79,"U",88,"Class2",67.562,30.897,"A",59,42.545,38.575,66.354,46.036
75,"P",34,"Class4",53.03,40.937,"T",98,21.247,62.679,52.619,64.002
64,"V",75,"Class1",37.217,70.215,"V",68,40.303,81.208,41.096,91.509
82,"R",35,"Class4",60.095,31.114,"T",99,27.452,48.759,79.181,60.57
56,"P",85,"Class1",31.048,52.497,"J",78,35.667,75.554,40.954,69.14
56,"V",82,"Class1",44.463,50.962,"P",60,41.902,50.565,39.672,77.714
73,"R",73,"Class2",45.915,67.415,"Y",56,63.158,43.379,36.728,77.425
61,"W",65,"Class5",69.033,26.058,"I",95,20.16,11.665,60.849,6.089
71,"R",87,"Class2",66.733,28.107,"C",56,59.611,30.802,65.179,78.228
52,"F",87,"Class3",47.584,74.228,"U",56,54.246,52.657,12.267,30.721
56,"V",79,"Class1",34.524,67.421,"R",77,37.73,77.078,38.708,74.424
30,"R",85,"Class3",50.778,55.527,"U",51,23.183,52.57,12.672,37.034
59,"V",82,"Class1",47.571,67.59,"J",64,39.482,67.193,42.518,68.627
34,"Y",89,"Class5",55.838,44.063,"P",75,25.545,10.27,51.769,27.327
61,"D",52,"Class5",61.761,35.243,"P",88,38.172,11.635,75.647,28.896
39,"D",82,"Class3",47.896,61.438,"U",58,91.615,52.894,12.224,42.884
64,"K",83,"Class1",22.565,54.245,"V",56,40.435,66.721,41.675,90.128
61,"V",78,"Class1",28.612,37.138,"V",49,41.977,63.674,39.709,79.963
79,"R",35,"Class4",42.237,37.649,"I",97,25.014,57.542,44.85,64.905
70,"H",76,"Class2",51.338,16.139,"A",53,42.786,44.991,59.419,71.507
62,"K",78,"Class1",35.795,80.833,"P",76,44.822,89.166,40.786,73.469
62,"K",76,"Class1",28.944,46.462,"E",71,42.736,89.531,37.058,89.976
56,"G",83,"Class3",54.605,13.148,"P",51,64.591,52.602,12.095,75.909
64,"K",85,"Class1",29.247,76.979,"R",67,42.939,69.659,39.718,87.868
51,"D",88,"Class3",53.47,8.625,"U",61,6.391,52.644,12.317,54.191
79,"R",35,"Class4",79.686,32.33,"V",98,64.245,60.524,60.782,62.624
56,"P",80,"Class1",45.895,68.188,"V",60,40.072,64.857,42.202,70.291
80,"Y",31,"Class4",15.492,38.794,"V",98,33.777,44.426,91.267,61.461
38,"G",81,"Class5",38.596,17.251,"F",89,16.392,10.72,75.238,27.961
84,"Q",35,"Class4",16.516,28.247,"I",99,31.832,65.885,51.014,60.155
68,"R",65,"Class2",65.17,40.266,"Y",76,35.494,39.51,28.875,60.253
46,"X",76,"Class5",42.291,36.97,"I",85,31.091,10.517,71.21,5.198
45,"X",80,"Class5",48.011,34.607,"D",95,23.616,NA,69.459,7.292
77,"D",61,"Class5",64.84,8.287,"G",88,34.015,10.703,82.919,33.193
46,"Y",84,"Class5",48.156,27.695,"P",83,14.931,11.989,69.354,29.534
57,"D",89,"Class3",58.057,78.887,"U",58,38.994,52.278,13.002,26.281
62,"V",74,"Class1",47.469,40.201,"E",58,38.706,72.46,42.168,70.54
47,"I",87,"Class3",56.363,61.671,"G",54,124.837,52.502,12.061,47.932
71,"U",87,"Class2",48.193,16.791,"C",58,44.893,42.749,53.312,48.638
64,"W",75,"Class1",41.527,64.83,"R",61,45.357,62.795,40.593,72.767
77,"Y",68,"Class2",45.918,60.399,"C",49,42.43,31.098,41.99,60.851
62,"W",82,"Class1",23.606,83.327,"J",74,40.014,77.999,41.238,73.018
76,"Y",42,"Class2",47.172,27.247,"G",70,66.177,37.2,60.205,74.293
59,"K",77,"Class1",48.973,55.546,"V",59,42.544,71.919,39.546,78.998
85,"D",56,"Class5",68.121,46.221,"I",87,15.399,11.84,71.531,4.532
60,"V",74,"Class1",43.645,38.996,"P",60,42.03,61.156,41.366,90.932
47,"G",90,"Class3",57.231,7.67,"B",54,NA,52.669,12.515,64.699
36,"F",88,"Class3",51.278,10.954,"B",59,64.462,52.394,12.751,70.262
83,"P",35,"Class4",31.87,35.935,"D",99,58.811,52.963,85.885,63.64
75,"P",35,"Class4",24.036,34.063,"T",97,38.827,75.609,28.72,62.617
70,"R",44,"Class2",66.405,61.613,"C",42,51.289,38.93,45.055,64.471
59,"I",77,"Class1",41.326,72.288,"E",79,39.63,88.26,41.836,69.01
25,"D",80,"Class5",40.543,21.721,"F",68,33.877,10.418,53.569,20.389
83,"C",32,"Class4",39.403,37.54,"D",97,11.057,51.829,76.489,64.957
60,"I",74,"Class1",28.997,49.869,"P",69,40.645,68.042,43.888,77.082
62,"W",83,"Class1",43.356,64.1,"J",56,41.057,79.649,40.881,68.895
95,"G",60,"Class5",35.859,13.339,"P",70,26.6,11.282,68.197,12.351
31,"G",62,"Class5",65.248,29.016,"I",69,23.425,11.362,16.545,6.031
57,"I",87,"Class3",57.511,6.992,"G",59,NA,52.815,12.617,58.292
89,"Y",84,"Class5",55.118,6.633,"G",96,2.313,12.293,53.099,15.503
63,"I",76,"Class1",39.226,87.641,"P",62,40.582,76.398,39.509,71.365
55,"I",91,"Class3",53.358,11.213,"U",50,68.34,52.25,12.815,25.208
72,"U",66,"Class2",64.411,53.657,"G",49,43.936,20.654,49.389,73.629
36,"G",81,"Class3",49.676,65.347,"U",60,82.017,52.387,11.814,53.696
56,"K",83,"Class1",25.43,85.222,"J",53,39.393,73.056,40.353,76.571
64,"V",80,"Class1",40.755,80.325,"P",57,45.515,82.695,42.583,77.349
78,"Q",34,"Class4",64.715,40.317,"T",97,40.292,30.291,62.636,63.001
37,"D",89,"Class3",46.252,69.609,"P",65,86.476,52.432,12.47,60.013
58,"F",82,"Class3",58.784,57.765,"Q",57,33.777,52.251,12.486,40.638
73,"R",46,"Class2",59.43,24.748,"Y",66,28.965,36.603,51.151,47.305
61,"W",85,"Class1",27.218,54.424,"R",70,38.159,82.542,43.309,83.721
54,"R",88,"Class3",50.269,27.987,"B",62,71.138,52.214,12.766,75.811
59,"R",89,"Class3",53.536,11.396,"G",57,11.858,52.191,12.724,45.137
43,"R",88,"Class3",54.779,23.921,"P",60,41.395,52.665,13.032,44.183
57,"K",83,"Class1",43.478,40.459,"V",71,42.895,64.23,41.052,89.453
73,"D",39,"Class2",53.06,26.74,"Y",64,62.095,29.512,50.121,49.291
69,"W",51,"Class5",49.337,21.148,"D",67,9.897,11.998,48.396,24.319
64,"Y",87,"Class5",43.244,42.067,"D",88,38.839,12.159,69.386,7.927
74,"U",80,"Class2",45.213,48.07,"Y",53,54.599,33.351,72.983,47.224
22,"G",53,"Class5",63.151,51.768,"F",91,13.662,10.365,50.488,5.019
74,"G",76,"Class5",35.968,6.262,"I",85,29.428,10.816,51.814,30.652
74,"R",38,"Class2",46.711,19.194,"G",76,49.793,43.435,44.791,50.71
56,"I",82,"Class1",31.717,36.001,"J",62,40.928,85.184,41.509,78.536
72,"U",83,"Class2",49.545,47.893,"V",61,42.413,40.105,55.396,44.257
30,"W",85,"Class5",63.702,41.255,"D",86,15.75,10.054,57.559,26.061
72,"D",65,"Class2",53.915,49.912,"V",61,38.749,36.74,59.794,62.886
84,"C",34,"Class4",70.929,36.745,"V",99,47.244,52.275,36.346,64.908
70,"R",83,"Class2",50.804,43.412,"Y",71,34.064,28.152,65.254,70.956
46,"F",84,"Class3",55.733,21.744,"G",62,86.469,52.785,12.549,30.931
59,"P",85,"Class1",26.383,65.794,"P",52,41.548,76.584,37.904,72.007
64,"P",77,"Class1",34.46,61.926,"J",75,40.877,81.969,40.693,78.015
75,"R",32,"Class4",33.127,37.844,"O",98,43.784,83.823,59.709,60.346
74,"H",33,"Class2",57.043,57.599,"A",57,50.588,36.065,47.617,65.723
79,"D",54,"Class2",62.582,66.778,"V",61,49.871,25.452,52.144,56.438
78,"U",42,"Class2",62.146,43.742,"C",47,32.967,34.016,65.759,56.991
48,"D",90,"Class3",51.441,12.034,"U",57,69.992,52.247,12.153,61.024
32,"W",50,"Class5",47.683,35.348,"F",98,26.853,10.987,60.275,26.937
34,"G",84,"Class3",54.344,29.572,"G",58,47.701,52.778,12.728,65.787
84,"Y",33,"Class4",68.948,38.898,"I",97,31.418,73.875,38.543,59.222
51,"G",86,"Class3",47.959,46.681,"G",58,102.832,52.935,12.509,26.254
57,"V",78,"Class1",32.702,63.281,"J",59,37.137,69.311,41.882,85.303
83,"C",31,"Class4",54.149,35.481,"I",99,0.326,95.75,52.44,63.032
57,"F",87,"Class3",52.919,27.507,"B",57,75.301,52.377,12.779,57.271
30,"G",90,"Class3",57.787,60.522,"G",59,12.457,52.118,12.492,64.834
38,"X",73,"Class5",53.07,15.829,"F",90,5.991,9.957,56.609,31.419
56,"D",91,"Class3",51.366,30.044,"U",63,44.631,52.403,12.436,26.284
82,"R",31,"Class4",64.629,30.933,"O",99,23.98,17.808,64.323,61.562
31,"F",85,"Class3",52.967,28.023,"U",63,70.037,52.715,12.842,33.496
65,"G",67,"Class5",51.392,17.709,"F",87,33.963,11.106,49.137,28.977
60,"K",78,"Class1",36.252,82.119,"P",68,38.399,76.425,38.366,79.945
76,"R",34,"Class4",77.4,36.317,"I",99,20.424,49.546,91.618,64.156
73,"H",47,"Class2",54.546,26.488,"G",52,33.256,33.425,46.851,48.458
49,"R",82,"Class3",51.896,52.607,"Q",54,82.793,52.718,12.081,59.781
57,"F",90,"Class3",57.192,7.518,"U",60,37.814,52.384,12.04,36.858
68,"R",76,"Class2",45.277,29.676,"C",81,36.272,44.512,54.147,47.24
53,"D",58,"Class5",53.421,14.895,"D",86,22.44,10.325,75.008,4.568
71,"U",62,"Class2",61.25,16.469,"G",64,42.514,30.742,55.698,44.964
81,"Y",34,"Class4",84.59,42.448,"V",97,47.059,58.043,26.429,60.899
78,"R",35,"Class4",6.592,41.465,"V",97,37.725,69.752,74.641,63.896
84,"C",32,"Class4",45.294,40.55,"D",98,14.052,80.025,51.536,60.07
76,"R",32,"Class4",46.147,44.937,"O",97,46.661,NA,65.738,62.404
54,"I",83,"Class3",54.542,43.724,"G",50,102.38,52.527,12.634,33.355
73,"Y",58,"Class2",47.017,36.756,"Y",51,27.827,NA,47.25,70.403
75,"Q",33,"Class4",69.01,38.046,"V",99,37.514,47.029,44.077,60.478
33,"F",85,"Class3",60.182,51.735,"Q",60,48.937,52.38,12.392,40.387
51,"D",81,"Class3",47.688,70.3,"G",64,97.06,53.079,12.164,46.99
95,"G",82,"Class5",54.739,12.486,"I",80,1.461,11.198,56.629,16.228
75,"Q",32,"Class4",27.565,31.175,"T",98,24.011,49.433,37.152,60.755
40,"X",64,"Class5",39.045,37.965,"I",82,20.679,10.636,66.316,22.992
61,"V",84,"Class1",48.464,47.332,"P",50,39.175,62.759,37.208,79.096
79,"Y",35,"Class2",67.225,24.157,"G",80,48.537,44.245,56.925,44.896
75,"R",32,"Class4",69.752,36.938,"T",97,41.135,91.308,81.389,64.759
45,"F",83,"Class3",57.312,35.781,"G",50,86.556,52.381,12.541,32.791
59,"V",75,"Class1",38.491,62.787,"J",50,42.484,72.958,38.072,74.426
29,"D",71,"Class5",67.63,48.974,"G",87,25.39,9.784,78.811,20.486
61,"I",83,"Class1",34.632,80.694,"V",51,42.275,63.746,45.235,70.794
81,"Q",33,"Class4",74.234,30.967,"I",97,NA,76.819,71.675,60.088
74,"H",28,"Class2",56.351,45.989,"C",67,42.315,26.071,65.577,57.321
79,"U",73,"Class2",50.66,14.905,"A",42,44.363,37.766,36.412,51.44
58,"P",77,"Class1",29.324,46.969,"P",56,41.015,69.187,41.766,77.543
78,"Q",32,"Class4",49.993,28.96,"V",99,46.606,37.365,25.683,64.184
49,"I",89,"Class3",56.33,31.181,"Q",58,73.062,52.457,12.078,55.826
79,"Y",35,"Class4",5.399,41.22,"O",99,36.049,44.602,94.758,59.978
37,"G",91,"Class3",49.7,67.19,"P",51,139.624,52.912,12.742,26.927
38,"D",88,"Class3",52.426,44.506,"U",59,16.121,52.592,12.822,62.595
32,"W",76,"Class5",59.461,30.396,"I",66,43.855,10.729,81.543,2.427
63,"X",58,"Class5",65.188,10.799,"G",85,34.606,11.994,56.343,25.163
76,"D",82,"Class2",50.747,65.908,"Y",67,NA,21.257,55.598,63.352
77,"D",70,"Class2",67.577,27.363,"A",41,54.928,43.778,44.845,52.639
51,"W",84,"Class5",71.017,50.542,"P",85,46.425,9.797,54.33,27.089
50,"F",82,"Class3",57.105,41.873,"Q",50,77.561,52.815,12.589,74.122
52,"G",87,"Class3",51.72,31.267,"U",54,35.653,52.878,12.299,66.517
47,"D",82,"Class3",61.359,78.403,"Q",55,NA,52.116,12.327,41.343
98,"X",49,"Class5",67.87,31.948,"F",70,2.759,10.864,49.729,23.221
58,"G",83,"Class3",49.313,55.753,"P",62,NA,52.826,12.486,45.413
22,"G",68,"Class5",61.014,17.651,"D",66,28.107,11.165,70.036,9.019
68,"U",81,"Class2",52.008,67.91,"Y",83,45.053,40.338,45.133,50.296
68,"W",84,"Class5",66.186,41.724,"D",95,-2.107,9.901,52.282,2.636
60,"W",79,"Class1",41.71,39.011,"J",57,45.274,71.28,42.185,69.076
74,"G",55,"Class5",49.749,6.913,"D",97,2.893,11.324,50.745,25.102
47,"D",86,"Class3",48.62,73.329,"Q",60,74.66,52.717,12.137,38.668
94,"G",51,"Class5",42.996,39.328,"G",86,55.25,10.448,50.46,28.053
