"H1","H2","H3","H4","H5","H6","H7","H8","H9","Output33","H10","H11"
30.369,66.239,50.453,37,41.325,"N",47.723,49,31.889,"Class2",32,"N"
30.528,50.184,76.375,33,53.421,"T",23.412,50,46.952,"Class2",24,"X"
30.998,49.045,72.42,21,88.937,"M",39.082,45,53.88,"Class2",22,"X"
27.924,61.583,85.556,80,83.353,"S",6.548,77,31.683,"Class1",30,"T"
27.479,65.259,36.712,79,84.576,"G",15.79,53,83.144,"Class1",14,"T"
31.06,69.11,73.796,45,87.613,"M",66.412,53,50.493,"Class2",26,"I"
29.359,60.66,53.789,69,85.765,"H",18.008,63,57.155,"Class1",32,"V"
30.668,61.055,73.236,79,83.377,"G",60.383,26,34.887,"Class1",11,"Y"
26.682,63.634,53.055,70,83.803,"S",49.084,75,57.035,"Class1",28,"T"
32.194,47.817,2.559,44,71.063,"N",24.065,47,59.218,"Class2",24,"R"
32.504,63.843,59.55,39,52.183,"N",22.871,44,71.142,"Class2",23,"R"
31.275,67.746,51.682,20,80.558,"N",48.726,52,42.859,"Class2",18,"I"
27.355,61.853,53.751,78,86.703,"S",65.697,73,103.96,"Class1",20,"Y"
31.429,59.287,81.775,43,49.19,"T",49.406,45,53.792,"Class2",24,"R"
31.177,53.871,79.914,44,53.466,"X",44.771,42,53.483,"Class2",31,"N"
32.03,56.408,65.475,42,73.989,"N",38.96,41,56.672,"Class2",NA,"X"
31.116,57.891,47.033,21,81.978,"U",44.101,54,69.695,"Class2",30,"I"
26.431,65.229,81.032,86,87.918,"H",83.426,39,73.385,"Class1",NA,"V"
31.935,60.57,58.013,53,35.674,"M",14.728,36,13.117,"Class2",17,"I"
23.519,62.273,48.419,74,87.057,"S",33.689,22,50.499,"Class1",18,"A"
32.585,69.398,42.865,26,98.16,"U",75.336,41,66.689,"Class2",19,"X"
28.898,63.761,30.152,82,83.522,"M",76.633,68,90.872,"Class1",24,"Y"
31.891,79.367,22.262,39,46.46,"X",60.328,49,28.949,"Class2",27,"R"
27.348,NA,94.059,76,87.561,"B",13.381,43,79.66,"Class1",33,"Y"
24.844,65.23,108.93,82,84.118,"H",26.704,37,63.687,"Class1",16,"Y"
24.094,61.981,67.684,82,83.663,"S",41.576,29,66.385,"Class1",18,"Y"
32.697,53.474,43.076,22,35.954,"M",-7.136,42,40.425,"Class2",25,"R"
27.734,63.769,73.395,80,87.181,"S",64.725,47,83.27,"Class1",10,"Y"
27.265,63.006,80.114,68,84.116,"S",42.48,49,25.818,"Class1",9,"T"
32.263,44.245,76.622,51,90.331,"U",18.83,43,47.97,"Class2",17,"R"
30.347,64.233,66.26,25,43.289,"X",37.406,39,37.177,"Class2",32,"U"
23.947,63.441,65.417,87,84.305,"B",84.452,22,85.718,"Class1",13,"Y"
31.575,53.061,24.173,46,65.932,"N",29.807,38,61.966,"Class2",34,"I"
27.487,62.139,48.416,80,83.024,"S",63.943,23,54.923,"Class1",10,"V"
25.154,60.945,66.859,76,84.841,"G",48.5,54,112.264,"Class1",29,"Y"
30.006,48.456,32.411,41,70.665,"X",63.727,47,71.706,"Class2",29,"N"
29.323,65.498,95.163,66,86.796,"S",55.861,88,72.303,"Class1",37,"Y"
26.628,61.679,92.184,80,87.911,"G",19.556,53,67.321,"Class1",15,"Y"
28.384,62.206,46.962,77,85.621,"B",67.135,28,75.208,"Class1",10,"Y"
32.869,55.365,92.837,32,67.72,"X",26.229,43,47.128,"Class2",21,"U"
29.732,64.548,70.875,71,86.73,"G",41.143,30,39.569,"Class1",26,"G"
32.182,45.293,64.609,32,30.273,"U",53.833,48,46.606,"Class2",29,"R"
25.025,64.049,44.859,86,84.017,"B",67.141,20,87.964,"Class1",20,"V"
31.662,57.914,56.597,46,54.871,"M",56.475,50,20.749,"Class2",17,"X"
30.011,66.857,42.742,29,31.887,"M",39.719,46,57.854,"Class2",NA,"X"
31.871,74.575,95.088,41,35.938,"T",50.686,44,42.995,"Class2",17,"X"
23.94,63.763,101.962,68,87.555,"B",76.304,43,57.294,"Class1",27,"A"
28.389,63.846,47.499,84,83.455,"G",97.579,14,84.079,"Class1",17,"A"
30.889,60.184,33.401,75,84.767,"S",56.613,70,75.768,"Class1",8,"G"
27.469,61.494,109.134,81,83.952,"H",81.278,22,45.364,"Class1",14,"G"
29.106,62.386,43.825,86,84.084,"M",61.901,60,81.34,"Class1",35,"V"
28.752,63.451,66.441,74,84.831,"B",20.962,17,62.448,"Class1",24,"T"
31.793,47.03,52.254,50,78.324,"M",24.462,51,33.984,"Class2",19,"I"
28.861,65.839,82.265,78,86.451,"H",35.667,60,55.326,"Class1",31,"G"
23.235,60.753,74.016,65,87.321,"G",49.518,56,49.651,"Class1",23,"G"
28.27,60.372,80.421,87,83.56,"G",52.558,15,84.68,"Class1",9,"Y"
31.094,76.85,59.746,33,70.454,"N",31.543,51,29.314,"Class2",33,"R"
28.707,61.83,57.538,81,84.702,"H",54.442,40,60.761,"Class1",38,"V"
24.076,63.023,55.789,77,84.791,"M",43.214,36,80.623,"Class1",NA,"A"
25.839,63.871,80.752,79,85.248,"G",15.729,37,52.578,"Class1",21,"A"
24.167,NA,90.961,76,86.968,"S",31.837,45,77.887,"Class1",24,"Y"
29.413,64.382,63.557,82,83.2,"H",34.399,39,88.524,"Class1",20,"G"
31.416,63.409,77.462,20,94.133,"M",39.728,50,40.158,"Class2",27,"X"
31.941,70.884,27.517,33,53.566,"N",78.995,46,68.814,"Class2",20,"N"
27.547,64.292,104.012,83,86.294,"S",48.167,34,94.01,"Class1",27,"T"
30.284,75.568,85.312,43,80.381,"T",-13.419,48,62.794,"Class2",28,"U"
27.269,62.968,72.841,74,87.387,"M",27.638,31,55.737,"Class1",39,"G"
25.307,62.217,80.193,67,87.923,"B",52.081,17,49.972,"Class1",9,"Y"
31.127,61.322,48.357,32,87.703,"U",-16.45,48,65.308,"Class2",19,"R"
31.08,48.472,45.617,24,52.228,"M",59.877,42,59.478,"Class2",19,"X"
27.677,63.658,56.203,74,86.303,"M",74.137,26,67.88,"Class1",30,"G"
32.551,62.669,72.074,31,75.773,"N",68.997,44,52.399,"Class2",27,"N"
30.522,62.002,65.34,81,83.895,"H",53.428,57,69.787,"Class1",39,"Y"
28.584,64.213,55.107,75,86.349,"S",61.088,53,64.174,"Class1",32,"V"
30.751,60.912,49.641,80,84.703,"M",75.861,12,71.835,"Class1",11,"Y"
30.309,51.097,36.76,20,87.736,"U",9.586,55,52.348,"Class2",27,"I"
30.747,67.526,86.596,33,83.838,"U",52.309,36,33.17,"Class2",33,"U"
23.597,NA,83.276,66,84.145,"M",57.132,21,81.352,"Class1",28,"V"
30.184,53.906,97.411,43,99.036,"T",46.384,45,59.426,"Class2",34,"N"
32.29,51.614,103.179,13,89.695,"X",8.375,54,59.858,"Class2",31,"X"
32.17,76.229,29.543,18,43.209,"M",44.527,55,60.265,"Class2",26,"N"
25.613,NA,83.419,78,86.929,"H",34.62,65,54.63,"Class1",20,"G"
32.562,44.69,110.256,29,39.48,"M",17.956,45,56.073,"Class2",32,"X"
27.343,62.446,85.473,85,86.603,"G",68.193,83,77.9,"Class1",10,"A"
32.374,55.693,66.776,39,31.702,"M",53.366,41,52.285,"Class2",25,"R"
26.016,61.041,48.176,77,85.508,"G",39.942,85,79.654,"Class1",15,"V"
27.941,64.497,60.319,69,85.845,"G",74.293,32,77.373,"Class1",NA,"T"
31.226,55.601,27.051,53,97.633,"U",13.062,38,66.259,"Class2",31,"R"
26.603,63.723,79.397,72,86.406,"M",48.761,74,64.182,"Class1",32,"G"
25.553,62.155,89.191,87,86.983,"H",51.632,21,47.891,"Class1",28,"T"
26.889,63.259,63.663,77,83.675,"B",15.721,35,62.688,"Class1",18,"Y"
27.628,63.545,69.123,67,87.386,"H",24.617,77,54.468,"Class1",38,"V"
30.531,NA,47.105,41,42.115,"M",6.22,37,79.648,"Class2",20,"R"
31.262,63.921,41.36,14,70.765,"X",13.562,51,75.17,"Class2",17,"R"
26.162,62.177,27.305,71,85.994,"H",72.49,13,64.742,"Class1",18,"G"
28.832,61.15,93.938,79,86.027,"B",65.877,32,79.791,"Class1",36,"A"
26.98,61.271,67.551,69,84.722,"B",80.226,35,69.615,"Class1",NA,"V"
26.313,63.092,78.507,74,87.075,"M",85.88,54,76.731,"Class1",26,"V"
25.521,64.535,90.262,76,87.187,"S",16.672,56,59.603,"Class1",9,"G"
24.951,62.519,50.764,84,85.08,"G",58.729,43,75.501,"Class1",36,"A"
23.878,65.012,49.997,65,85.094,"H",54.285,49,58.198,"Class1",33,"A"
23.198,63.192,74.142,72,84.187,"B",59.249,82,60.409,"Class1",28,"T"
24.155,65.731,56.189,84,86.392,"M",75.7,13,98.475,"Class1",19,"T"
28.167,64.024,71.955,75,85.292,"B",66.328,70,77.772,"Class1",27,"T"
27.731,62.827,87.687,68,83.215,"B",41.595,44,76.658,"Class1",35,"V"
28.182,64.837,44.102,66,83.886,"B",74.375,47,77.586,"Class1",20,"T"
31.461,NA,69.776,46,69.876,"M",24.717,50,37.76,"Class2",34,"N"
25.674,65.657,60.291,84,83.557,"B",60.533,39,57.604,"Class1",39,"T"
30.177,70.195,47.852,31,63.77,"X",71.028,49,86.988,"Class2",17,"R"
25.043,62.45,72.164,84,84.287,"S",56.446,68,65.626,"Class1",10,"V"
30.845,69.913,81.224,46,61.515,"M",43.108,45,45.368,"Class2",24,"N"
31.686,59.27,31.511,36,32.562,"U",29.45,45,41.092,"Class2",28,"I"
30.179,77.659,64.331,48,63.025,"M",43.261,52,45.952,"Class2",19,"R"
28.299,61.721,15.547,81,86.407,"B",92.528,79,47.575,"Class1",15,"A"
31.981,56.79,50.058,20,56.039,"N",46.795,55,37.064,"Class2",31,"I"
30.765,63.473,52.435,26,52.343,"X",0.986,39,1.059,"Class2",19,"R"
30.763,60.228,67.832,84,87.615,"G",2.333,62,77.096,"Class1",38,"A"
30.999,64.68,58.173,64,84.982,"M",41.254,25,44.286,"Class1",19,"Y"
23.84,62.492,60.889,81,86.954,"G",93.799,55,76.287,"Class1",36,"Y"
32.064,NA,61.264,26,41.762,"X",51.146,52,52.769,"Class2",24,"I"
23.397,65.773,37.004,71,87.596,"S",54.378,30,88.75,"Class1",NA,"A"
31.186,58.053,39.488,51,30.6,"U",8.57,53,42.168,"Class2",31,"N"
31.008,46.91,12.125,29,69.075,"N",42.99,47,45.5,"Class2",26,"I"
30.458,73.301,77.768,40,88.668,"T",4.988,40,42.453,"Class2",31,"N"
23.722,63.102,74.905,83,86,"B",30.868,88,59.351,"Class1",20,"G"
30.053,49.723,57.133,45,69.821,"M",33.238,51,41.411,"Class2",20,"R"
23.909,63.019,66.563,74,83.662,"M",10.794,62,57.4,"Class1",20,"G"
25.301,62.396,90.968,74,86.218,"M",82.58,78,91.169,"Class1",39,"G"
32.122,51.469,26.612,39,47.957,"U",74.701,51,53.877,"Class2",19,"X"
32.677,63.331,79.853,38,85.532,"X",36.623,42,53.258,"Class2",32,"U"
29.995,65.69,78.809,82,84.42,"G",29.956,78,55.954,"Class1",25,"Y"
31.003,77.643,41.11,17,96.214,"M",54.188,54,92.731,"Class2",NA,"I"
30.321,48.638,68.681,47,37.309,"X",57.316,45,69.741,"Class2",19,"U"
24.456,62.359,113.102,66,84.908,"B",70.595,88,89.695,"Class1",15,"A"
32.322,75.466,62.428,49,43.445,"N",35.243,54,46.965,"Class2",33,"U"
23.583,64.023,75.741,70,84.518,"S",85.09,76,54.473,"Class1",19,"T"
31.484,46.258,79.14,23,55.678,"T",69.311,42,43.708,"Class2",18,"R"
32.156,45.471,86.769,44,32.647,"U",49.292,54,22.755,"Class2",23,"I"
30.284,50.629,34.899,27,40.535,"X",36.392,51,57.076,"Class2",23,"R"
26.217,60.09,59.787,77,84.71,"S",67.181,27,85.535,"Class1",22,"V"
28.532,61.161,70.27,66,83.513,"B",69.983,76,56.933,"Class1",17,"T"
24.397,62.204,62.09,80,83.585,"B",47.148,51,59.803,"Class1",34,"Y"
31.677,48.502,31.65,35,82.092,"M",49.255,38,56.567,"Class2",25,"I"
28.487,NA,57.552,84,85.98,"H",91.218,48,74.999,"Class1",30,"Y"
32.289,50.42,31.221,24,50.365,"X",46.51,44,65.946,"Class2",29,"X"
23.776,64.569,58.968,76,83.269,"B",82.78,25,62.88,"Class1",29,"Y"
31.176,49.685,57.373,32,95.317,"T",10.985,39,45.115,"Class2",30,"I"
31.537,71.899,66.842,36,55.436,"N",21.507,46,59.845,"Class2",30,"I"
25.805,NA,42.46,80,86.011,"S",40.296,73,71.417,"Class1",28,"T"
32.875,80.871,35.384,41,79.521,"N",47.539,54,46.292,"Class2",18,"I"
30.67,70.57,39.628,21,98.722,"X",37.261,54,64.264,"Class2",21,"X"
31.705,70.318,68.284,25,68.439,"M",33.293,53,44.332,"Class2",29,"N"
23.095,61.866,70.14,82,87.578,"S",47.228,58,82.181,"Class1",25,"T"
28.639,65.444,97.592,79,87.763,"M",76.921,75,75.835,"Class1",26,"G"
31.42,80.946,72.076,24,60.564,"T",-4.947,45,31.608,"Class2",33,"U"
26.938,64.42,67.542,70,84.062,"M",46.382,66,49.797,"Class1",8,"V"
23.135,65.613,51.816,83,87.33,"S",22.837,70,53.953,"Class1",32,"G"
32.022,NA,57.347,45,63.086,"X",29.629,42,51.04,"Class2",22,"I"
29.027,65.181,69.39,64,83.808,"B",62.405,60,84.274,"Class1",19,"T"
31.495,75.453,87.913,27,35.455,"M",27.259,54,40.193,"Class2",34,"R"
30.738,59.597,49.569,17,51.612,"M",28.917,39,56.183,"Class2",24,"I"
30.918,58.696,54.32,24,93.355,"N",43.812,37,63.725,"Class2",26,"N"
31.784,53.382,66.825,16,55.246,"N",45.309,42,84.132,"Class2",30,"U"
27.563,65.754,60.11,83,83.92,"M",58.424,76,56.315,"Class1",9,"V"
28.726,63.364,50.145,87,87.072,"M",81.934,68,57.801,"Class1",16,"G"
24.879,62.17,87.407,87,87.711,"G",67.969,62,29.912,"Class1",28,"T"
30.397,77.068,65.005,16,46.822,"M",33.096,48,19.682,"Class2",20,"N"
31.417,78.486,39.654,50,99.658,"N",17.66,37,69.825,"Class2",22,"U"
30.238,61.136,96.074,39,29.421,"X",15.317,52,69.388,"Class2",21,"I"
32.854,69.411,62.62,38,33.997,"N",41.534,55,71.837,"Class2",25,"X"
27.197,62.106,33.44,64,84.574,"H",41.67,36,86.464,"Class1",14,"A"
30.254,61.711,90.761,67,86.665,"S",21.427,54,64.864,"Class1",15,"V"
31.739,57.306,93.654,43,91.992,"U",16.541,40,74.426,"Class2",30,"I"
27.513,61.746,22.422,76,83.738,"M",32.419,64,76.814,"Class1",18,"A"
31.274,45.892,60.47,13,78.468,"N",35.737,53,42.358,"Class2",23,"U"
24.062,62.052,110.289,83,87.219,"B",52.823,21,62.281,"Class1",22,"A"
24.777,64.212,53.417,68,83.746,"M",16.959,78,63.48,"Class1",8,"T"
23.444,65.547,76.55,73,84.656,"B",60.234,12,57.212,"Class1",15,"V"
29.157,65.412,76.73,68,86.299,"M",53.369,36,61.798,"Class1",12,"G"
31.519,75.959,76.679,51,34.742,"T",60.915,36,63.334,"Class2",29,"X"
26.797,60.748,83.317,70,85.555,"S",31.484,30,76.457,"Class1",39,"Y"
31.863,78.421,56.552,36,59.491,"U",30.527,38,78.408,"Class2",17,"X"
26.738,64.175,38.414,64,85.612,"H",77.164,17,78.687,"Class1",29,"A"
25.303,60.522,96.347,81,83.292,"S",37.914,48,86.378,"Class1",25,"A"
29.95,62.335,113.095,71,87.332,"S",92.202,13,59.22,"Class1",38,"T"
27.488,64.476,76.307,83,85.013,"G",72.561,55,72.326,"Class1",17,"G"
31.84,78.472,27.704,48,98.023,"T",21.703,43,25.854,"Class2",30,"N"
25.249,62.433,50.967,72,84.727,"B",10.156,47,51.014,"Class1",12,"V"
24,65.148,62.339,66,86.743,"H",68.286,55,76.972,"Class1",34,"V"
28.46,61.318,61.474,73,83.915,"G",12.097,42,60.759,"Class1",30,"Y"
28.889,64.337,65.99,84,83.783,"G",52.551,65,60.075,"Class1",17,"V"
28.684,64.79,64.822,81,87.129,"H",115.582,27,82.53,"Class1",38,"G"
27.252,60.469,78.707,76,84.073,"M",37.566,36,83.42,"Class1",9,"G"
32.959,51.621,58.248,18,71.412,"M",95.675,44,30.272,"Class2",31,"I"
30.051,57.774,49.846,40,74.07,"U",42.182,48,64.241,"Class2",28,"X"
32.135,80.495,62.715,48,50.162,"N",30.676,44,41.18,"Class2",24,"I"
28.455,61.677,49.995,66,85.296,"B",54.619,56,94.051,"Class1",23,"V"
25.651,60.927,63.954,74,84.87,"G",79.743,61,54.781,"Class1",38,"Y"
28.96,61.514,55.384,66,87.795,"G",68.48,33,64.782,"Class1",13,"V"
27.05,63.982,68.27,87,87.777,"S",80.655,31,90.18,"Class1",12,"A"
25.019,62.491,39.931,65,83.541,"S",37.685,82,64.107,"Class1",11,"Y"
31.49,77.686,64.275,28,86.931,"X",19.837,51,55.404,"Class2",17,"X"
30.66,54.823,81.575,13,62.384,"M",52.84,50,31.4,"Class2",24,"N"
30.083,51.418,72.843,16,97.103,"M",39.874,43,91.195,"Class2",19,"I"
30.812,55.789,103.326,24,37.786,"N",12.368,37,60.488,"Class2",31,"U"
27.773,65.812,49.902,66,84.42,"G",44.96,14,64.797,"Class1",33,"V"
32.876,72.916,67.399,24,78.101,"T",-5.621,48,57.896,"Class2",28,"I"
32.49,65.456,103.785,17,72.174,"X",15.783,40,33.123,"Class2",20,"N"
31.97,75.032,34.658,32,55.74,"M",18.835,37,26.406,"Class2",30,"I"
28.317,63.638,92.116,84,87.128,"G",81.457,41,61.674,"Class1",NA,"G"
32.344,76.334,62.819,53,46.958,"N",17.04,54,65.987,"Class2",20,"X"
31.183,71.943,47.044,33,72.268,"X",50.435,44,56.277,"Class2",30,"U"
24.171,64.842,43.021,80,86.367,"G",55.696,66,50.475,"Class1",36,"A"
23.894,63.818,83.936,76,85.28,"G",48.02,17,100.976,"Class1",27,"Y"
23.832,62.965,60.185,87,85.33,"M",70.302,69,77.132,"Class1",30,"V"
30.923,67.302,12.58,19,44.967,"T",75.994,45,55.5,"Class2",32,"I"
30.832,55.672,52.696,35,37.417,"X",1.778,54,61.706,"Class2",33,"N"
31.913,60.873,47.049,31,44.398,"N",14.997,36,20.149,"Class2",21,"X"
27.279,61.955,82.483,69,87.714,"H",104.364,34,42.725,"Class1",29,"A"
31.594,65.594,40.056,24,71.855,"X",54.186,43,74.297,"Class2",18,"U"
25.108,62.227,92.784,71,84.999,"M",78.134,79,65.338,"Class1",33,"T"
23.957,60.245,76.072,67,84.809,"M",40.87,68,63.239,"Class1",15,"A"
31.692,50.014,55.329,36,39.652,"M",75.675,54,50.95,"Class2",33,"R"
25.784,60.775,53.243,71,85.952,"M",56.788,38,80.852,"Class1",19,"A"
29.315,63.123,86.269,72,86.878,"M",62.481,80,87.18,"Class1",21,"T"
30.083,51.511,89.294,49,73.356,"T",0.085,52,29.655,"Class2",33,"U"
31.154,79.839,39.753,24,90.381,"T",30.503,53,16.021,"Class2",31,"R"
32.446,50.737,42.901,52,65.995,"M",71.621,46,79.08,"Class2",25,"R"
30.059,59.717,36.141,30,39.925,"M",31.245,45,67.626,"Class2",24,"N"
27.518,62.687,81.517,65,83.419,"H",85.243,14,63.081,"Class1",30,"T"
30.587,72.036,46.688,30,97.659,"M",74.067,51,52.299,"Class2",18,"X"
31.147,79.678,42.178,39,72.367,"M",42.628,55,58.758,"Class2",18,"I"
25.265,64.021,63.991,73,87.577,"B",88.513,75,82.456,"Class1",25,"T"
30.834,61.907,48.32,78,86.999,"B",-10.072,62,69.133,"Class1",31,"T"
31.884,53.581,67.688,24,44.123,"T",12.28,43,36.962,"Class2",23,"R"
30.555,72.693,40.641,25,38.321,"X",4.821,40,47.94,"Class2",18,"N"
30.409,60.038,69.623,82,83.085,"G",37.291,56,79.394,"Class1",24,"A"
29.898,64.34,66.623,71,86.394,"S",73.716,58,93.21,"Class1",12,"V"
31.46,69.139,63.295,32,74.584,"U",41.063,39,41.835,"Class2",24,"R"
28.254,62.852,75.334,82,86.666,"B",67.609,41,78.344,"Class1",24,"T"
30.263,72.534,63.668,16,80.244,"X",32.769,51,39.46,"Class2",18,"X"
32.101,58.585,57.794,52,52.793,"T",34.157,51,85.42,"Class2",32,"I"
31.975,76.008,56.924,39,60.867,"T",-1.242,43,72.859,"Class2",18,"R"
31.217,NA,41.172,52,87.847,"T",27.988,55,50.123,"Class2",28,"R"
28.466,62.989,54.387,84,83.343,"G",58.546,80,52.381,"Class1",21,"V"
31.873,57.172,89.226,37,88.017,"X",45.905,50,93.31,"Class2",29,"I"
30.602,60.889,89.029,22,64.021,"M",17.078,54,67.623,"Class2",20,"X"
30.306,72.474,56.624,41,61.248,"M",46.646,41,68.031,"Class2",22,"U"
23.623,62.117,73.591,67,86.193,"G",55.904,25,84.129,"Class1",15,"T"
29.119,65.565,76.413,74,85.095,"G",28.215,56,68.171,"Class1",38,"T"
27.186,64.91,72.027,71,87.026,"H",34.242,48,63.713,"Class1",27,"Y"
