"K1","K2","K3","K4","K5","K6","Output10","K7","K8","K9","K10","K11"
84,93.925,27.451,51.355,NA,81,"Class3",19,"G",69.631,88.427,"D"
62,42.404,36.265,37.37,13.369,67,"Class2",73,"T",92.183,34.023,"L"
74,94.553,26.058,97.161,91.726,79,"Class1",42,"B",62.096,45.262,"N"
61,76.423,31.037,5.624,73.656,77,"Class3",31,"H",71.778,32.635,"D"
49,79.616,33.173,10.529,71.935,69,"Class3",24,"H",54.501,65.419,"W"
62,39.487,39.961,91.597,13.343,68,"Class2",73,"Z",96.737,13.039,"D"
68,62.06,35.729,28.905,14.73,75,"Class2",72,"Z",93.631,12.838,"M"
66,95.243,40.092,98.725,81.43,71,"Class1",81,"A",38.44,32.403,"N"
40,56.435,28.145,69.851,60.205,24,"Class3",31,"Q",57.02,17.046,"W"
56,24.829,35.978,54.48,17.377,73,"Class2",NA,"C",91.483,28.307,"I"
35,41.594,38.806,26.207,19.697,39,"Class2",72,"T",92.814,24.708,"D"
67,97.742,31.732,98.142,92.886,78,"Class1",31,"A",44.892,102.338,"X"
64,25.884,33.866,53.154,18.32,39,"Class2",65,"C",96.061,36.405,"I"
43,71.516,30.025,8.069,72.883,22,"Class3",38,"W",55.197,60.682,"P"
62,97.472,30.686,98.15,NA,70,"Class1",21,"A",67.201,56.525,"X"
70,96.005,33.895,38.707,75.145,85,"Class3",41,"W",104.009,27.292,"P"
75,37.079,37.41,39.079,17.613,74,"Class2",73,"T",93.549,37.129,"D"
67,81.118,40.268,97.675,75.823,84,"Class1",13,"T",74.13,86.916,"V"
84,60.202,44.734,37.444,13.598,61,"Class2",72,"B",94.838,24.706,"I"
68,91.063,38.525,98.471,88.744,67,"Class1",46,"A",53.456,79.407,"V"
53,41.833,40.909,13.853,15.394,62,"Class2",64,"Z",96.078,16.222,"I"
57,78.292,31.732,7.124,73.719,73,"Class3",22,"H",59.427,74.497,"E"
84,45.153,34.26,92.63,19.349,40,"Class2",72,"C",94.49,21.84,"X"
76,77.392,33.537,48.577,69.597,37,"Class3",11,"B",67.513,11.733,"E"
57,37.727,40.531,20.504,17.691,51,"Class2",73,"Z",94.337,16.309,"X"
68,99.691,30.807,27.868,NA,78,"Class3",12,"B",3.499,0.591,"W"
54,90.787,37.671,98.236,74.545,72,"Class1",59,"L",61.645,58.171,"N"
77,65.911,35.661,24.861,78.176,13,"Class3",7,"H",70.29,60.778,"F"
40,92.845,33.82,40.956,60.44,8,"Class3",11,"H",30.815,51.231,"F"
43,51.319,35.483,25.069,13.272,43,"Class2",67,"B",92.552,26.441,"D"
84,69.242,35.463,34.285,73.997,13,"Class3",8,"H",68.802,38.687,"P"
20,63.781,45.731,69.473,18.442,47,"Class2",67,"B",92.5,27.421,"X"
52,41.538,31.391,58.062,16.379,81,"Class2",67,"C",95.9,18.085,"M"
41,84.461,41.205,98.686,71.974,68,"Class1",60,"L",60.638,16.186,"W"
63,37.27,35.327,72.736,18.217,78,"Class2",71,"Z",92.712,23.602,"D"
67,51.516,33.14,31.981,17.181,55,"Class2",64,"R",94.125,33.963,"M"
85,74.05,27.311,40.302,72.683,84,"Class3",27,"B",29.583,35.767,"P"
57,79.623,31.515,68.045,NA,42,"Class3",43,"G",76.309,26.966,"W"
82,89.046,32.134,97.407,85.822,72,"Class1",62,"T",80.664,61.763,"I"
79,90.599,28.876,98.084,73.049,77,"Class1",76,"T",58.173,5.819,"V"
62,90.551,42.932,98.036,91.75,79,"Class1",77,"L",45.007,30.3,"X"
37,21.477,43.905,65.78,15.325,57,"Class2",66,"T",93.365,35.377,"L"
47,43.146,32.294,92.776,16.206,70,"Class2",70,"Z",93.194,36.418,"I"
60,50.801,44.701,95.431,15.908,90,"Class2",72,"Z",93.429,14.896,"M"
46,34.742,42.763,32.099,17.65,50,"Class2",64,"B",93.846,7.816,"I"
43,70.697,29.837,49.876,63.152,43,"Class3",47,"W",60.924,45.343,"D"
69,69.795,35.129,36.609,71.237,46,"Class3",32,"Q",93.01,60.35,"P"
60,92.076,20.874,98.254,94.509,87,"Class1",35,"T",40.975,53.842,"V"
49,97.472,34.019,98.514,85.547,81,"Class1",18,"A",63.194,4.441,"N"
29,50.989,40.376,39.043,19.319,90,"Class2",70,"R",90.915,19.71,"M"
83,98.592,34.843,98.059,91.878,72,"Class1",12,"A",37.609,36.678,"I"
24,26.267,44.792,8.944,19.744,80,"Class2",69,"Z",93.01,9.209,"X"
77,97.863,30.594,97.599,74.198,69,"Class1",9,"A",57.922,18.533,"I"
85,91.941,45.118,98.211,76.843,67,"Class1",10,"L",80.544,71.111,"I"
53,75.297,34.243,59.199,60.419,9,"Class3",64,"H",65.86,66.499,"E"
79,31.255,44.596,73.145,19.937,86,"Class2",71,"T",95.186,19.545,"L"
82,87.311,29.917,98.167,83.986,70,"Class1",21,"T",52.709,71.457,"V"
27,37.815,33.127,58.323,19.204,72,"Class2",66,"Z",95.41,38.769,"I"
72,57.53,33.452,38.757,66.58,21,"Class3",41,"G",82.372,17.835,"P"
58,26.616,41.885,66.917,16.247,89,"Class2",67,"Z",92.942,19.952,"L"
77,56.673,28.916,22.845,60.05,52,"Class3",38,"W",49.56,27.159,"P"
14,37.568,37.962,92.12,NA,66,"Class2",NA,"R",96.309,25.887,"I"
54,85.018,34.678,3.012,74.093,45,"Class3",29,"W",74.57,82.659,"P"
14,49.009,34.052,37.006,15.203,85,"Class2",70,"B",92.619,30.27,"L"
66,102.411,36.738,97.521,82.048,81,"Class1",NA,"Z",54.991,47.143,"V"
80,41.122,36.338,70.424,14.787,65,"Class2",67,"Z",90.81,44.565,"M"
58,81.163,32.964,28.655,62.046,67,"Class3",38,"G",62.364,64.887,"W"
87,37.616,46.037,69.748,NA,65,"Class2",70,"R",95.251,7.459,"I"
60,93.663,31.234,97.574,91.691,77,"Class1",31,"T",54.044,86.868,"N"
59,58.295,35.073,49.409,67.837,72,"Class3",42,"G",37.286,43.419,"D"
36,91.743,30.726,97.954,77.984,73,"Class1",34,"T",32.641,21.945,"W"
38,30,33.094,9.491,19.466,88,"Class2",71,"R",93.121,34.322,"M"
47,94.563,37.819,98.19,80.675,82,"Class1",46,"T",49.605,47.159,"N"
79,58.773,35.452,52.247,17.732,57,"Class2",NA,"T",97.988,24.952,"D"
74,60.954,34.639,62.658,71.056,59,"Class3",28,"Q",39.237,-22.933,"P"
50,69.14,27.61,10.764,60.111,39,"Class3",44,"W",9.977,25.896,"F"
50,97.079,33.448,97.304,91.024,85,"Class1",11,"T",39.57,58.427,"X"
20,70.941,45.988,20.462,16.855,50,"Class2",66,"Z",92.658,20.762,"X"
48,35.562,42.773,48.222,15.204,68,"Class2",70,"R",94.585,3.652,"L"
81,28.45,40.761,11.477,16.247,66,"Class2",66,"T",96.425,14.109,"X"
82,70.837,27.49,24.55,73.174,86,"Class3",NA,"H",57.543,42.944,"D"
69,104.1,34.687,58.947,NA,8,"Class3",52,"B",53.863,15.423,"D"
44,40.977,42.299,18.62,14.872,78,"Class2",64,"C",99.139,22.367,"L"
79,63.679,32.711,50.169,60.728,72,"Class3",29,"G",53.065,47.232,"F"
46,88.175,34.592,39.554,72.959,24,"Class3",51,"B",89.712,68.965,"D"
66,88.657,33.613,25.609,67.842,59,"Class3",59,"B",65.461,18.723,"P"
38,87.928,22.725,98.65,93.87,66,"Class1",44,"A",44.061,75.122,"V"
89,38.782,46.668,67.428,NA,75,"Class2",73,"T",94.661,15.247,"M"
67,95.115,22.016,98.698,74.095,78,"Class1",16,"T",57.794,-0.007,"X"
72,93.763,31.559,23.721,71.051,91,"Class3",33,"Q",8.021,61.704,"W"
38,86.586,39.089,97.983,82.833,85,"Class1",81,"A",52.561,77.287,"N"
40,49.738,44.847,48.946,17.449,54,"Class2",73,"C",91.8,25.437,"L"
75,32.871,37.919,56.252,18.838,46,"Class2",68,"Z",91.254,26.497,"D"
81,78.301,46.257,98.998,71.553,78,"Class1",53,"B",67.795,75.24,"W"
79,86.788,31.508,23.037,61.048,44,"Class3",29,"G",45.168,29.868,"D"
90,44.99,41.51,36.937,14.74,50,"Class2",NA,"Z",95.698,24.994,"D"
81,92.267,23.94,97.793,75.165,70,"Class1",53,"A",61.398,72.809,"X"
55,56.822,32.104,10.887,59.159,40,"Class3",25,"H",78.438,12.254,"F"
63,73.654,28.721,60.097,59.065,55,"Class3",NA,"H",69.637,21.447,"P"
10,31.11,39.09,76.986,17.014,48,"Class2",68,"C",92.422,19.89,"X"
39,26.268,40.116,10.73,17.558,83,"Class2",69,"T",90.081,38.209,"M"
63,71.102,34.776,29.894,73.288,39,"Class3",45,"G",97.275,61.056,"F"
58,86.961,42.598,98.754,85.008,76,"Class1",12,"A",40.316,52.276,"W"
70,91.111,41.982,97.785,79.218,89,"Class1",38,"Z",49.033,36.081,"I"
37,60.622,31.476,51.262,76.147,50,"Class3",37,"B",36.685,57.813,"F"
84,30.318,44.062,86.651,19.97,41,"Class2",72,"T",94.078,23.067,"L"
63,85.818,35.817,46.855,76.676,85,"Class3",37,"G",54.349,27.116,"D"
50,20.72,31.733,6.227,14.802,74,"Class2",69,"Z",92.948,33.042,"X"
55,85.855,32.715,71.548,60.988,92,"Class3",64,"G",79.605,85.369,"E"
39,96.119,20.501,98.099,72.84,81,"Class1",NA,"A",76.387,32.062,"W"
14,46.871,37.779,18.498,13.113,48,"Class2",71,"Z",87.829,14.283,"L"
69,96.203,31.635,56.011,70.28,17,"Class3",22,"Q",60.988,76.135,"P"
59,94.911,20.81,98.87,87.703,65,"Class1",33,"B",55.767,83.321,"W"
41,70.034,34.685,18.642,63.582,7,"Class3",31,"Q",90.62,18.516,"P"
86,98.113,36.504,97.544,90.159,76,"Class1",42,"B",49.337,26.253,"N"
76,68.945,34.592,55.187,70.933,82,"Class3",52,"G",51.309,39.68,"P"
44,65.898,29.819,50.89,75.634,25,"Class3",8,"W",63.242,58.051,"P"
69,71.752,33.905,76.644,64.461,46,"Class3",46,"G",47.943,55.659,"D"
37,92.367,44.524,98.557,79.322,77,"Class1",30,"B",73.159,53.918,"W"
70,83.075,27.386,34.833,67.229,18,"Class3",28,"B",49.779,61.461,"D"
77,23.558,32.494,92.357,15.76,64,"Class2",67,"C",94.811,34.696,"D"
53,53.009,37.608,22.868,17.214,61,"Class2",68,"T",90.52,26.964,"I"
60,93.342,29.561,16.052,71.923,41,"Class3",57,"Q",99.672,72.935,"E"
63,88.75,28.398,56.489,NA,24,"Class3",56,"B",57.083,35.906,"F"
40,76.799,29.362,97.981,74.954,79,"Class1",48,"T",38.164,41.935,"I"
48,84.075,33.795,32.838,71.331,35,"Class3",7,"H",69.528,73.425,"W"
48,85.778,23.622,98.416,72.893,74,"Class1",59,"L",51.629,29.731,"I"
67,65.763,35.012,43.283,75.772,78,"Class3",57,"W",17.559,62.741,"E"
38,93.743,28.937,98.17,74.17,76,"Class1",75,"Z",47.248,30.546,"X"
75,78.207,28.529,11.678,69.469,90,"Class3",NA,"G",78.004,17.999,"D"
37,64.758,31.81,66.4,65.947,55,"Class3",NA,"W",48.789,68.135,"E"
50,90.503,32.805,17.407,69.043,20,"Class3",39,"W",24.871,30.866,"E"
49,91.354,42.91,98.483,NA,70,"Class1",59,"L",74.578,12.168,"X"
39,100.449,30.251,98.529,70.864,66,"Class1",19,"T",85.107,123.939,"X"
83,101.432,23.625,98.921,81.065,69,"Class1",77,"B",65.036,45.666,"W"
39,83.921,31.024,98.244,77.068,89,"Class1",78,"A",72.788,45.881,"W"
54,70.092,33.396,40.54,70.871,84,"Class3",24,"B",29.199,-1.222,"E"
81,77.539,31.652,12.478,74.941,30,"Class3",29,"H",35.343,4.308,"F"
61,51.594,34.243,14.596,18.496,49,"Class2",65,"T",93.294,27.155,"D"
77,34.613,31.949,35.964,18.483,54,"Class2",70,"T",94.092,18.793,"L"
10,41.518,44.435,92.157,15.316,63,"Class2",64,"R",94.127,20.227,"X"
71,83.69,29.032,97.372,93.423,75,"Class1",61,"T",49.558,30.294,"I"
55,69.774,31.415,5.583,69.327,49,"Class3",21,"G",61.893,34.963,"P"
85,44.692,31.26,46.846,NA,70,"Class3",8,"B",41.847,-11.921,"F"
56,41.109,32.149,88.462,16.569,63,"Class2",66,"C",91.863,12.234,"M"
61,93.878,25.485,97.441,85.978,80,"Class1",17,"B",87.079,29.857,"V"
24,34.902,31.904,33.413,16.504,61,"Class2",69,"C",94.239,17.508,"X"
29,55.19,32.129,10.604,18.978,74,"Class2",69,"Z",93.538,18.539,"I"
34,17.616,37.029,80.156,18.954,58,"Class2",69,"Z",93.627,14.983,"L"
51,56.096,31.698,45.003,16.852,67,"Class2",71,"T",91.056,26.464,"D"
77,91.369,33.99,97.188,71.297,83,"Class1",NA,"L",87.99,48.174,"V"
58,59.542,28.382,61.374,74.501,22,"Class3",32,"W",62.033,23.796,"D"
9,17.891,45.568,74.039,18.411,50,"Class2",71,"B",97.191,24.977,"D"
67,84.291,28.481,34.697,64.217,60,"Class3",43,"W",18.083,60.685,"P"
60,92.51,28.096,98.307,70.501,83,"Class1",15,"L",59.332,37.231,"N"
45,61.67,34.811,19.213,75.796,91,"Class3",45,"W",57.408,41.696,"W"
13,55.778,39.976,34.153,19.507,58,"Class2",65,"Z",94.447,4.189,"I"
45,56.471,34.655,30.587,16.07,62,"Class2",72,"Z",94.288,35.871,"I"
60,78.812,35.19,63.119,71.295,68,"Class3",47,"B",32.353,52.99,"P"
38,41.371,33.441,22.666,13.859,65,"Class2",72,"B",91.029,31.125,"X"
88,35.368,33.39,94.454,18.159,78,"Class2",69,"B",94.584,25.257,"L"
61,73.361,35.59,26.417,59.772,70,"Class3",62,"B",87.559,35.93,"D"
79,72.193,32.707,59.011,NA,53,"Class3",38,"Q",55.447,44.684,"E"
56,94.795,34.944,63.62,62.516,30,"Class3",16,"W",61.877,12.896,"P"
73,98.819,20.935,97.029,83.349,70,"Class1",63,"L",55.605,84.545,"I"
68,71.721,33.289,74.469,65.352,53,"Class3",26,"W",36.869,20.882,"F"
66,85.756,19.255,97.675,80.353,89,"Class1",44,"Z",27.852,48.597,"X"
46,93.653,28.902,98.867,88.162,79,"Class1",74,"Z",77.978,35.769,"W"
67,68.277,32.119,26.093,60.329,47,"Class3",33,"Q",68.467,30.463,"W"
56,56.998,46.511,95.532,18.683,79,"Class2",70,"B",92.479,17.574,"M"
77,93.338,20.694,98.625,87.852,72,"Class1",29,"Z",73.629,74.077,"N"
82,65.401,33.482,9.665,62.443,88,"Class3",42,"Q",97.117,13.804,"W"
59,76.391,33.949,22.892,69.689,61,"Class3",22,"B",63.099,60.322,"F"
48,95.565,45.546,97.756,93.778,89,"Class1",59,"A",68.2,67.88,"V"
16,51.024,45.02,41.187,17.137,47,"Class2",65,"Z",96.781,37.757,"M"
41,88.2,41.27,97.086,96.05,65,"Class1",76,"T",63.023,-24.294,"X"
46,89.106,29.5,97.522,73.924,65,"Class1",51,"L",54.85,37.833,"W"
9,48.615,40.778,88.236,NA,76,"Class2",71,"C",96.774,24.25,"L"
59,95.291,39.95,97.797,77.367,77,"Class1",79,"L",35.511,37.573,"V"
51,80.961,24.083,98.504,75.203,66,"Class1",NA,"L",53.909,75.163,"N"
67,90.359,39.57,98.781,74.878,89,"Class1",7,"L",46.98,37.784,"W"
47,87.897,33.742,7.879,66.961,54,"Class3",11,"G",38.503,41.122,"E"
57,43.431,30.135,43.04,68.149,16,"Class3",38,"G",28.368,11.068,"E"
59,74.971,34.955,39.252,64.579,78,"Class3",62,"Q",46.843,35.102,"E"
84,57.925,32.8,92.057,14.265,70,"Class2",70,"T",91.849,22.487,"I"
43,66.605,28.63,26.023,68.405,37,"Class3",21,"H",106.395,20.562,"E"
58,38.688,37.778,28.922,13.435,38,"Class2",64,"T",94.054,27.282,"I"
57,58.665,28.205,54.854,68.612,83,"Class3",55,"Q",96.957,29.955,"W"
71,99.926,21.171,97.432,79.381,72,"Class1",70,"Z",42.736,39.031,"I"
8,50.809,31.09,65.302,14.497,66,"Class2",69,"T",92.882,27.462,"D"
65,63.415,31.912,72.18,75.007,23,"Class3",19,"G",91.155,54.299,"P"
82,63.228,32.059,23.505,62.84,70,"Class3",55,"Q",35.476,42.128,"W"
34,39.708,34.05,58.411,15.573,80,"Class2",69,"C",92.039,22.001,"X"
77,85.857,33.567,57.762,69.672,58,"Class3",37,"G",17.411,40.598,"E"
67,95.605,42.025,98.17,NA,70,"Class1",64,"A",51.853,19.345,"X"
49,87.709,19.753,98.657,88.619,73,"Class1",16,"L",64.383,33.134,"I"
68,61.346,29.97,66.003,67.947,62,"Class3",41,"H",86.477,45.63,"P"
74,91.802,30.434,97.337,96.176,69,"Class1",NA,"T",72.084,-3.164,"W"
69,82.896,24.854,97.329,84.727,69,"Class1",44,"A",42.404,47.122,"X"
62,81.963,31.843,74.897,64.606,56,"Class3",52,"Q",21.68,25.266,"E"
26,42.878,45.181,23.694,16.244,83,"Class2",73,"T",92.116,23.191,"X"
51,98.974,36.52,98.487,96.07,86,"Class1",11,"A",50.371,64.411,"W"
68,68.42,33.572,35.795,72.517,84,"Class3",53,"G",71.154,44.781,"F"
17,41.829,41.844,17.749,15.565,86,"Class2",66,"T",93.404,20.843,"I"
10,57.113,43.388,43.454,13.518,87,"Class2",66,"C",93.082,35.783,"L"
42,83.319,33.94,36.735,66.638,43,"Class3",12,"W",83.863,14.186,"F"
71,92.005,24.917,98.392,97.813,65,"Class1",59,"L",63.1,18.792,"W"
55,100.723,35.521,98.406,86.325,73,"Class1",44,"B",61.647,90.539,"I"
55,98.873,37.951,98.056,81.328,83,"Class1",35,"L",52.436,69.371,"I"
68,94.646,32.611,98.973,80.775,88,"Class1",24,"B",54.104,62.578,"N"
67,103.824,30.05,98.202,79.584,88,"Class1",13,"T",64.307,40.805,"W"
38,89.402,44.554,97.024,NA,76,"Class1",44,"T",48.127,32.404,"I"
22,41.656,42.618,77.758,13.867,44,"Class2",70,"T",96.935,33.536,"D"
47,89.524,45.194,97.259,77.571,86,"Class1",37,"A",68.811,79.203,"N"
79,78.233,26.907,98.499,86.832,77,"Class1",NA,"A",48.511,83.271,"W"
83,104.754,22.883,98.571,78.233,68,"Class1",10,"L",68.77,52.439,"W"
55,99.587,33.758,98.252,72.51,86,"Class1",51,"Z",49.158,27.664,"N"
49,86.842,29.931,10.775,NA,77,"Class3",26,"H",40.229,115.458,"W"
49,31.609,31.073,25.823,17.002,64,"Class2",65,"R",94.929,24.379,"X"
50,98.341,30.83,97.083,74.383,75,"Class1",65,"A",42.74,37.14,"I"
58,92.123,29.432,97.893,NA,76,"Class1",80,"T",68.022,10.482,"V"
52,91.455,30.305,98.088,76.101,69,"Class1",31,"A",83.379,97.234,"X"
62,76.948,22.905,98.962,93.717,89,"Class1",73,"B",37.902,7.976,"N"
76,52.089,29.183,27.362,NA,74,"Class3",45,"W",78.622,47.783,"D"
72,58.797,28.015,66.459,71.806,30,"Class3",NA,"B",61.569,11.712,"F"
45,88.353,41.682,97.923,83.476,74,"Class1",75,"A",67.307,-37.197,"V"
66,58.884,46.988,19.988,17.798,75,"Class2",65,"R",92.324,29.274,"L"
51,87.635,42.578,98.875,90.319,80,"Class1",46,"L",76.028,61.233,"I"
37,99.584,40.514,97.178,75.34,68,"Class1",40,"Z",64.636,63.179,"W"
78,91.56,41.141,98.389,97.298,87,"Class1",22,"Z",26.987,46.497,"N"
80,99.141,31.76,98.431,97.538,87,"Class1",39,"L",78.451,54.429,"I"
65,57.58,28.921,4.945,59.527,20,"Class3",63,"W",56.559,77.161,"W"
69,98.291,29.179,31.792,76.787,77,"Class3",23,"W",75.248,51.672,"F"
46,70.095,29.973,76.785,78.335,79,"Class3",32,"Q",29.557,41.804,"D"
51,45.555,34.987,30.278,67.661,7,"Class3",13,"W",86.46,52.963,"P"
53,59.554,27.162,29.64,75.929,80,"Class3",18,"W",86.733,59.891,"F"
10,57.221,40.22,72.298,14.137,46,"Class2",71,"Z",92.037,34.325,"L"
77,36.616,39.781,78.128,17.107,51,"Class2",71,"T",96.39,11.535,"I"
36,93.664,21.782,97.605,75.944,85,"Class1",4,"A",41.972,4.666,"I"
62,87.084,43.241,97.326,NA,71,"Class1",13,"Z",52.942,77.004,"I"
82,95.32,45.769,97.098,97.5,83,"Class1",57,"T",47.764,66.524,"V"
52,41.425,35.052,53.447,13.972,81,"Class2",68,"Z",98.628,34.779,"I"
51,59.592,33.918,23.479,62.486,67,"Class3",39,"G",38.063,38.241,"E"
66,92.652,24.586,98.855,78.519,85,"Class1",11,"T",66.538,48.592,"X"
77,94.461,22.465,98.728,75.725,74,"Class1",44,"B",63.897,80.702,"X"
81,82,28.188,63.925,69.409,10,"Class3",17,"Q",31.491,8.96,"D"
58,74.702,33.476,12.335,78.225,87,"Class3",21,"W",40.112,30.713,"E"
