"Q1","Q2","Q3","Q4","Output16","Q5","Q6","Q7","Q8","Q9","Q10","Q11"
81.31,22,26.525,8.729,"Class3","I",59.136,53,62.547,58.475,16,"K"
34.599,52,59.257,74.446,"Class2","L",46.158,69,50.044,76.291,84,"Y"
91.668,25,88.099,8.879,"Class3","X",61.924,56,62.787,58.902,17,"G"
60.601,17,37.132,71.585,"Class1","D",90.535,63,43.711,49.858,97,"G"
50.351,26,102.873,11.928,"Class3","Y",59.711,56,63.143,67.996,17,"K"
59.869,59,23.884,64.274,"Class1","D",85.85,50,41.576,46.161,84,"G"
59.812,20,46.641,5.697,"Class3","S",60.262,54,63.253,53.438,15,"F"
7.516,51,68.996,67.441,"Class2","O",27.559,67,65.202,69.462,81,"S"
3.244,52,NA,62.038,"Class2","G",37.023,67,61.678,68.068,52,"T"
76.545,21,33.515,14.917,"Class3","Y",58.221,54,64.223,61.596,18,"S"
12.302,51,52.19,64.504,"Class2","O",47.706,79,45.029,70.984,NA,"S"
6.327,53,69.78,81.186,"Class2","O",59.574,81,41.389,67.985,51,"E"
67.327,20,-14.783,12.002,"Class3","X",60.939,53,62.449,67.499,19,"F"
6.639,52,78.005,70.037,"Class2","F",33.803,72,58.346,75.178,69,"S"
40.795,27,-17.479,12.026,"Class3","I",61.188,54,63.57,66.379,17,"A"
59.461,31,41.727,61.712,"Class1","K",81.012,52,43.188,47.822,97,"G"
57.831,44,42.235,67.063,"Class1","B",77.505,56,46.247,45.141,95,"I"
68.805,22,70.644,17.781,"Class3","I",61.516,55,63.243,59.903,16,"F"
71.788,26,77.582,8.784,"Class3","L",60.291,57,64.067,60.176,19,"A"
-16.134,52,63.184,72.065,"Class2","G",52.284,71,37.674,74.488,58,"S"
59.985,47,26.67,65.746,"Class1","D",86.091,85,45.034,21.432,86,"J"
52.04,27,75.8,6.824,"Class3","S",60.96,56,62.978,68.649,18,"G"
57.787,63,38.053,67.222,"Class1","D",76.82,83,42.664,49.499,86,"I"
58.064,27,NA,10.648,"Class3","S",61.069,54,62.366,69.732,19,"K"
59.81,20,38.866,71.087,"Class1","W",90.671,57,46.483,49.13,90,"I"
58.981,22,52.621,75.332,"Class1","D",83.528,79,43.383,36.779,97,"W"
76.677,21,-18.027,13.133,"Class3","L",61.945,57,62.787,69.779,16,"S"
2.885,53,65.186,68.226,"Class2","O",34.657,69,46.802,77.614,78,"Y"
42.492,27,27.04,6.601,"Class3","S",59.945,57,62.11,63.433,17,"G"
58.511,23,61.563,58.278,"Class1","D",76.829,76,45.863,37.094,93,"J"
59.578,33,24.031,71.841,"Class1","D",91.077,71,41.915,36.765,93,"G"
59.494,37,34.636,59.29,"Class1","D",79.274,50,42.604,38.685,93,"J"
57.389,10,31.941,68.397,"Class1","K",87.588,65,43.1,20.396,93,"J"
97.477,25,76.376,18.24,"Class3","S",59.756,53,64.955,58.729,16,"K"
72.68,24,13.674,17.647,"Class3","S",58.574,53,63.571,62.148,15,"F"
-8.039,52,53.592,64.543,"Class2","O",45.868,71,47.953,76.239,59,"T"
60.113,72,37.688,69.969,"Class1","D",83.647,79,41.49,34.377,88,"G"
58.818,60,56.759,54.311,"Class1","F",90.254,88,44.46,46.145,94,"I"
59.789,44,22.12,60.791,"Class1","K",84.784,78,42.232,43.522,92,"B"
58.903,58,42.659,79.138,"Class1","B",82.336,72,44.176,23.292,97,"W"
57.65,20,53.232,13.476,"Class3","S",59.409,53,64.931,55.98,18,"K"
59.887,5,15.188,69.254,"Class1","D",91.129,57,42.258,32.503,93,"I"
58.09,50,38.387,60.461,"Class1","B",87.275,81,43.174,26.411,84,"J"
7.023,52,62.592,69.896,"Class2","G",36.031,79,31.639,77.172,80,"S"
73.405,27,9.7,13.526,"Class3","I",61.833,54,63.849,70.798,16,"A"
11.745,53,80.419,68.304,"Class2","G",21.429,81,54.151,75.423,50,"T"
80.393,24,35.8,17.864,"Class3","Y",59.757,53,64.704,65.458,15,"K"
3.359,51,68.23,73.728,"Class2","J",49.051,68,62.022,75.637,88,"S"
9.575,53,67.43,60.618,"Class2","J",31.581,65,53.089,67.101,63,"T"
59.365,48,37.927,64.647,"Class1","K",82.334,51,43.261,49.261,93,"W"
54.88,22,73.994,21.558,"Class3","Y",60.459,53,62.746,61.142,15,"A"
88.826,20,6.822,12.235,"Class3","S",59.51,54,64.862,63.716,18,"A"
9.563,51,57.836,67.871,"Class2","F",48.012,70,36.873,73.983,84,"Y"
6.058,52,55.874,64.795,"Class2","J",35.446,78,57.166,74.29,71,"F"
48.077,27,64.507,20.326,"Class3","S",58.254,57,64.534,71.484,18,"K"
58.252,51,49.215,78.431,"Class1","F",83.181,50,43.357,47.88,95,"W"
59.515,18,38.569,64.205,"Class1","D",73.336,79,45.524,43.447,84,"W"
78.663,21,45.556,12.278,"Class3","Y",60.53,53,62.142,65.481,19,"G"
2.965,51,73.398,59.49,"Class2","G",24.236,76,65.09,71.228,71,"Y"
47.3,22,93.765,15.807,"Class3","S",61.033,53,62.887,55.173,16,"A"
4.37,52,63.485,61.925,"Class2","F",52.343,75,50.91,69.408,76,"E"
39.835,20,61.684,10.641,"Class3","I",61.645,56,64.662,61.46,19,"A"
59.864,24,19.563,65.777,"Class1","W",85.085,85,42.302,28.236,98,"B"
7.123,51,72.349,73.778,"Class2","F",43.331,79,41.47,75.428,NA,"E"
60.519,54,42.648,70.879,"Class1","B",83.771,85,42.978,29.653,88,"B"
60.197,43,17.914,61.979,"Class1","B",76.187,93,42.552,29.258,93,"G"
59.685,29,49.52,65.458,"Class1","K",91.232,85,42.962,26.42,91,"G"
11.112,51,72.03,72.292,"Class2","O",58.736,65,53.362,72.231,72,"Y"
59.787,4,50.174,57.049,"Class1","F",91.295,64,42.289,38.067,86,"W"
5.75,51,55.602,79.728,"Class2","F",52.577,75,31.464,75.995,53,"F"
59.468,53,29.81,66.496,"Class1","W",93.05,63,45.721,26.318,88,"B"
12.537,51,69.619,66.415,"Class2","L",44.849,69,69.433,68.963,84,"S"
58.803,36,26.553,64.851,"Class1","B",88.641,77,45.024,28.385,86,"G"
59.735,21,25.531,65.21,"Class1","B",73.153,60,45.815,26.448,94,"I"
9.061,51,72.795,62.448,"Class2","O",20.82,79,44.496,75.704,76,"T"
65.034,22,48.795,10.246,"Class3","X",58.977,57,62.903,65.155,15,"F"
11.865,53,55.107,59.295,"Class2","F",25.309,82,58.613,69.105,49,"E"
23.887,53,82.114,66.084,"Class2","O",49.048,81,56.883,67.925,61,"E"
59.553,77,51.061,72.665,"Class1","K",78.002,68,42.216,30.315,92,"J"
20.135,52,64.376,74.39,"Class2","G",23.472,77,53.336,68.651,48,"T"
21.522,51,71.665,68.058,"Class2","J",56.819,84,64.957,71.488,66,"S"
6.762,53,86.055,68.047,"Class2","G",41.257,77,49.438,67.776,55,"Y"
59.372,21,31.694,64.833,"Class1","B",87.955,53,45.814,45.615,97,"I"
83.091,21,50.645,8.961,"Class3","Y",60.988,57,62.988,56.444,19,"F"
30.585,51,84.525,62.99,"Class2","J",59.093,72,47.009,67.954,88,"E"
20.43,52,70.172,61.166,"Class2","L",38.284,80,40.993,75.317,88,"E"
56.615,24,76.686,9.13,"Class3","I",59.043,53,62.148,68.373,17,"K"
15.332,52,71.271,76.525,"Class2","O",30.526,70,67.462,73.019,52,"E"
59.481,69,NA,66.763,"Class1","W",83.177,59,46.095,47.984,90,"W"
59.453,13,37.33,69.511,"Class1","W",90.33,79,45.683,42.741,95,"G"
15.499,53,56.33,72.461,"Class2","L",30.912,64,31.041,71.747,46,"E"
59.365,74,35.582,71.599,"Class1","B",79.445,46,41.137,31.922,97,"W"
58.17,16,52.794,56.325,"Class1","F",91.271,71,43.677,46.599,NA,"W"
72.476,20,68.878,15.69,"Class3","L",59.475,56,64.612,72.408,16,"K"
0.675,53,75.621,79.253,"Class2","G",21.428,84,66.485,72.648,85,"T"
5.31,52,55.341,64.716,"Class2","J",29.74,75,63.019,73.184,59,"E"
61.083,75,20.298,71.225,"Class1","B",86.364,87,44.636,33.335,94,"J"
58.966,33,30.603,59.637,"Class1","D",84.92,86,45.658,22.053,98,"G"
15.509,51,59.132,76.316,"Class2","L",39.004,70,51.376,67.451,88,"Y"
60.004,43,34.01,63.327,"Class1","F",87.378,66,45.479,24.636,96,"W"
59.427,10,35.086,70.506,"Class1","D",77.534,52,43.973,28.785,NA,"W"
60.914,49,47.094,58.422,"Class1","K",77.905,55,46.881,20.089,90,"B"
60.261,69,14.049,62.845,"Class1","B",82.826,50,44.612,27.846,89,"I"
48.382,27,66.75,15.121,"Class3","S",58.836,56,63.376,57.034,15,"F"
60.567,19,35.038,54.898,"Class1","D",79.743,91,41.407,43.374,95,"W"
83.737,21,22.359,8.059,"Class3","Y",60.967,55,63.989,60.969,15,"G"
60.037,5,41.254,64.852,"Class1","K",73.735,71,42.873,32.704,97,"I"
61.084,24,35.521,65.904,"Class1","W",92.18,91,46.377,28.763,96,"G"
15.878,51,61.733,72.092,"Class2","F",40.09,71,54.202,74.868,69,"Y"
73.998,20,57.303,14.901,"Class3","Y",59.894,54,64.972,71.494,15,"S"
45.311,23,70.855,9.862,"Class3","S",59.847,53,62.513,70.737,17,"G"
57.647,55,29.282,59.434,"Class1","D",81.179,42,44.192,44.28,97,"B"
62.391,30,NA,59.949,"Class1","F",85.328,45,44.289,24.661,89,"G"
82.368,20,51.121,14.596,"Class3","S",59.287,54,64.215,63.186,17,"K"
9.601,53,37.718,60.827,"Class2","J",45.832,84,43.66,69.859,46,"T"
44.147,24,53.982,19.073,"Class3","X",58.371,55,64.211,57.127,18,"K"
60.95,37,33.082,69.282,"Class1","K",75.206,93,43.139,29.412,91,"J"
58.518,38,29.834,70.603,"Class1","B",76.361,68,43.245,34.501,85,"B"
27.723,25,78.739,9.319,"Class3","Y",59.193,57,63.27,59.608,16,"G"
62.684,20,18.607,15.533,"Class3","X",59.015,53,63.495,55.368,15,"S"
61.162,22,37.496,15.198,"Class3","S",58.962,56,64.129,66.546,18,"A"
60.543,25,48.413,11.154,"Class3","I",60.155,55,62.746,69.989,NA,"G"
5.547,51,82.569,60.231,"Class2","F",37.138,80,52.087,72.543,73,"S"
4.552,52,70.436,69.609,"Class2","O",22.594,81,53.891,68.066,49,"Y"
49.335,22,57.135,11.223,"Class3","X",61.367,54,64.952,54.127,15,"A"
59.402,5,34.755,59.996,"Class1","W",92.423,50,43.989,20.315,NA,"W"
83.976,26,NA,18.271,"Class3","I",60.889,55,64.722,60.407,17,"A"
61.243,26,129.511,12.076,"Class3","X",58.125,55,63.444,57.046,18,"A"
60.419,45,37.481,59.252,"Class1","B",84.946,57,41.865,48.303,86,"B"
74.861,23,NA,11.353,"Class3","Y",60.533,56,62.949,68.643,16,"F"
14.668,53,50.796,78.167,"Class2","F",37.051,84,38.052,74.37,62,"S"
70.261,20,42.608,13.835,"Class3","L",59.923,55,62.593,58.966,NA,"S"
59.28,45,NA,73.553,"Class1","K",92.933,43,46.545,29.56,84,"I"
48.969,23,1.509,2.176,"Class3","S",60.565,56,64.15,70.301,18,"F"
58.917,36,32.694,68.418,"Class1","K",77.676,60,46.683,44.581,91,"B"
61.797,29,35.939,73.882,"Class1","K",87.086,84,41.596,20.992,85,"W"
58.719,56,35.114,58.17,"Class1","D",78.549,45,45.722,31.53,89,"B"
60.13,47,25.196,63.092,"Class1","B",79.768,54,42.525,41.863,88,"I"
60.765,41,57.2,77.859,"Class1","F",80.17,52,43.912,48.84,88,"G"
24.937,52,77.3,71.573,"Class2","F",31.438,69,35.919,68.456,80,"T"
16.601,53,68.753,68.807,"Class2","G",39.779,66,39.678,70.431,58,"F"
59.148,42,25.955,62.467,"Class1","W",76.996,67,43.932,26.536,91,"J"
55.287,20,NA,14.774,"Class3","X",60.193,57,64.249,54.364,15,"K"
92.084,22,-10.215,13.604,"Class3","X",58.081,57,63.5,54.898,19,"F"
58.053,26,53.212,17.29,"Class3","Y",60.731,53,62.099,65.692,16,"G"
-2.194,52,51.996,74.305,"Class2","L",50.42,67,53.023,67.293,70,"T"
58.874,73,31.591,60.943,"Class1","W",87.919,74,41.855,47.309,90,"I"
60.467,20,42.395,57.435,"Class1","K",79.996,79,41.104,46.738,97,"B"
59.092,63,24.599,55.3,"Class1","B",73.699,74,46.071,25.715,93,"W"
59.141,9,40.164,72.97,"Class1","D",91.062,93,43.327,25.401,87,"J"
12.841,53,67.708,70.74,"Class2","J",22.617,74,59.585,69.265,51,"T"
56.377,25,25.454,4.682,"Class3","I",59.036,53,64.521,72.897,19,"S"
75.617,22,43.035,5.843,"Class3","S",61.818,56,62.439,69.435,15,"G"
78.992,23,23.468,12.242,"Class3","X",61.905,53,64.339,70.287,19,"G"
95.972,26,67.166,18.209,"Class3","I",59.365,54,63.006,64.424,19,"K"
21.62,20,68.767,22.269,"Class3","S",58.453,54,64.588,71.733,16,"F"
72.7,23,74.322,21.162,"Class3","X",59.466,56,64.877,67.094,16,"K"
60.788,26,53.273,72.189,"Class1","W",85.366,78,43.412,48.631,89,"W"
60.017,53,36.508,61.783,"Class1","F",84.147,78,45.13,39.287,87,"W"
59.981,20,35.38,64.009,"Class1","D",92.746,91,45.385,24.397,90,"I"
60.799,29,44.993,53.443,"Class1","W",80.461,60,46.922,46.641,92,"I"
53.944,20,14.358,20.062,"Class3","L",59.577,54,62.194,61.892,16,"F"
80.282,20,65.863,8.879,"Class3","X",60.263,55,63.172,53.184,16,"F"
15.545,52,64.342,68.958,"Class2","G",36.979,82,52.505,70.181,62,"T"
59.714,68,47.864,68.056,"Class1","K",84.693,83,45.572,21.422,98,"G"
58.052,73,37.593,70.798,"Class1","F",85.224,63,42.378,45.155,96,"G"
45.603,24,38.484,5.871,"Class3","X",61.875,55,63.662,70.96,18,"A"
81.41,22,22.525,11.584,"Class3","L",61.618,57,62.262,62.565,19,"S"
85.655,20,20.085,10.456,"Class3","X",59.493,53,64.756,55.781,15,"G"
42.167,23,46.656,24.09,"Class3","L",61.482,57,62.24,65.739,NA,"F"
-3.235,52,70.556,69.727,"Class2","J",34.095,70,63.868,67.725,62,"S"
16.52,53,73.225,76.024,"Class2","G",23.732,72,51.647,72.846,57,"F"
20.42,52,68.929,67.199,"Class2","J",49.713,83,55.173,69.328,65,"Y"
7.632,53,66.814,67.864,"Class2","J",26.113,66,40.846,77.958,85,"T"
58.184,72,39.008,64.12,"Class1","D",84,87,45.127,44.798,84,"I"
58.76,61,NA,66.858,"Class1","F",73.117,90,45.627,28.247,87,"I"
2.198,53,64.314,71.322,"Class2","G",55.347,74,49.075,70.948,48,"Y"
12.287,52,61.087,72.751,"Class2","L",45.681,73,48.178,77.447,73,"E"
14.833,52,57.924,80.463,"Class2","F",23.279,78,31.968,67.115,58,"Y"
59.926,71,40.163,66.776,"Class1","F",90.065,47,41.769,35.076,91,"I"
59.857,38,58.327,55.827,"Class1","D",92.221,82,45.229,47.74,98,"W"
48.697,22,66.811,17.148,"Class3","X",60.433,53,62.04,60.424,18,"S"
58.994,56,29.39,64.432,"Class1","B",88.865,58,44.86,21.668,89,"I"
58.819,25,81.52,15.96,"Class3","S",59.723,54,64.608,67.076,15,"A"
68.659,26,-5.521,15.582,"Class3","X",59.539,56,64.607,56.058,19,"A"
81.264,24,37.57,15.035,"Class3","L",59.59,56,63.726,53.334,15,"K"
3.821,51,76.584,66.634,"Class2","J",35.595,65,41.44,74.196,79,"F"
8.901,53,64.841,68.627,"Class2","L",32.952,80,36.126,74.587,53,"F"
60.758,27,79.493,17.272,"Class3","Y",58.77,56,64.815,70.016,16,"G"
58.858,21,41.758,12.462,"Class3","X",59.924,54,62.767,71.354,17,"K"
59.475,49,28.176,72.003,"Class1","D",78.738,70,45.224,21.574,91,"G"
-4.442,52,70.989,63.549,"Class2","O",53.468,75,45.147,68.071,48,"Y"
56.349,20,64.676,7.807,"Class3","S",61.639,56,63.223,67.162,17,"F"
8.845,53,64.713,57.382,"Class2","L",32.098,65,32.806,72.051,79,"F"
39.596,21,48.342,9.225,"Class3","S",59.734,55,64.336,72.546,19,"G"
58.577,11,37.346,66.743,"Class1","B",75.789,59,45.267,29.641,98,"J"
58.571,47,24.072,61.439,"Class1","F",93.582,80,44.799,42.914,87,"I"
100.31,25,96.642,3.902,"Class3","X",61.882,57,63.486,56.729,NA,"G"
45.396,26,92.573,17.028,"Class3","I",60.959,56,62.414,59.122,18,"A"
58.562,77,20.471,76.435,"Class1","B",85.332,74,43.204,39.322,92,"W"
-0.052,52,71.628,57.227,"Class2","F",38.443,75,34.52,74.473,86,"F"
13.198,52,64.934,65.43,"Class2","O",49.71,84,49.993,73.693,49,"E"
2.895,52,69.703,71.348,"Class2","L",39.604,84,48.209,68.435,76,"F"
61.322,51,30.285,58.517,"Class1","B",83.12,65,44.416,24.007,97,"J"
59.11,58,22.939,70.933,"Class1","F",87.95,80,41.995,37.467,87,"J"
58.573,26,35.2,62.414,"Class1","W",90.871,55,46.463,40.231,97,"W"
61.432,21,45.911,10.79,"Class3","L",59.385,54,62.51,55.305,17,"S"
6.288,52,78.066,81.017,"Class2","O",58.898,68,65.065,75.379,80,"E"
60.464,7,29.641,72.418,"Class1","D",86.449,42,41.903,28.743,97,"W"
13.18,51,54.791,68.458,"Class2","J",37.405,76,56.321,76.853,47,"E"
54.382,27,100.076,15.592,"Class3","S",60.35,53,63.301,63.539,17,"S"
59.304,26,34.571,76.538,"Class1","F",75.839,86,46.375,26.737,96,"I"
19.137,51,60.934,64.942,"Class2","F",55.487,71,47.316,68.941,52,"T"
59.772,68,40.752,76.699,"Class1","B",86.029,74,45.607,22.861,90,"J"
58.163,74,44.748,71.094,"Class1","W",88.862,73,41.9,41.274,92,"I"
14.813,53,50.581,61.714,"Class2","F",59.093,76,51.492,71.738,NA,"Y"
49.266,21,89.353,15.974,"Class3","Y",58.801,54,64.572,56.321,19,"G"
58.512,8,21.58,59.847,"Class1","F",84.05,92,44.954,48.53,94,"I"
51.396,20,77.111,14.028,"Class3","X",61.628,56,62.548,65.587,NA,"S"
59.785,32,26.034,56.787,"Class1","B",92.152,84,44.052,33.436,85,"G"
59.659,57,28.29,62.553,"Class1","B",77.201,43,41.557,24.413,98,"J"
65.984,20,2.677,19.139,"Class3","L",59.176,53,62.139,65.606,16,"G"
58.302,26,NA,18.774,"Class3","L",59.162,53,63.862,70.638,18,"G"
79.064,21,8.023,10.895,"Class3","I",59.854,57,64.943,69.993,19,"G"
72.776,24,49.669,10.517,"Class3","X",59.441,56,64.253,61.219,19,"G"
59.713,73,33.385,71.035,"Class1","B",81.342,52,45.855,22.885,98,"B"
84.814,25,55.155,6.227,"Class3","Y",58.56,54,64.031,62.428,18,"S"
61.037,9,47.286,59.394,"Class1","F",82.996,88,44.773,36.287,87,"J"
73.22,24,91.166,15.043,"Class3","S",60.256,54,62.567,67.506,19,"G"
19.323,53,46.764,64.792,"Class2","G",22.785,72,46.619,73.301,77,"T"
24.179,25,94.587,17.976,"Class3","S",61.554,56,63.939,54.519,19,"F"
49.65,25,24.762,11.88,"Class3","I",61.302,57,62.394,61.901,17,"F"
59.734,70,35.895,69.619,"Class1","D",82.707,73,43.415,38.702,84,"J"
54.41,20,23.488,9.045,"Class3","Y",61.515,56,63.85,69.452,19,"G"
60.871,43,46.139,59.091,"Class1","D",91.753,83,43.645,39,95,"I"
2.643,53,54.909,73.021,"Class2","J",44.843,79,44.027,70.348,57,"S"
60.694,46,43.978,74.28,"Class1","K",83.634,89,41.513,43.46,95,"B"
68.724,22,79.936,18.919,"Class3","X",58.876,56,62.791,55.881,19,"F"
60.171,54,57.364,67.448,"Class1","D",82.704,88,41.474,29.375,96,"B"
59.938,10,51.566,62.338,"Class1","K",92.961,46,42.904,43.017,91,"B"
6.897,51,69.39,69.754,"Class2","J",47.821,77,34.474,67.895,83,"S"
76.641,22,104.24,16.315,"Class3","X",58.431,53,63.836,65.497,18,"K"
59.121,57,32.051,74.521,"Class1","F",73.14,72,44.254,30.535,96,"B"
1.069,52,67.098,64.906,"Class2","F",42.409,67,40.988,75.343,87,"S"
66.243,23,60.758,21.159,"Class3","S",60.491,53,62.538,66.024,19,"G"
54.238,22,NA,16.912,"Class3","Y",59.327,56,64.622,69.248,NA,"G"
18.962,52,64.993,67.506,"Class2","F",33.729,77,45.71,70.685,77,"F"
59.602,32,22.18,70.65,"Class1","D",91.691,86,44.242,21.038,88,"W"
69.398,22,58.368,14.954,"Class3","I",61.614,57,64.433,69.606,16,"S"
19.275,52,61.271,68.197,"Class2","O",50.134,83,59.183,75.062,45,"S"
59.757,35,26.656,67.054,"Class1","K",76.89,55,45.47,35.711,94,"W"
59.807,19,56.926,67.275,"Class1","F",92.122,64,41.927,49.133,89,"W"
58.285,47,44.7,60.682,"Class1","D",90.048,71,41.41,31.03,93,"W"
69.872,25,100.943,12.274,"Class3","S",58.307,53,63.317,70.04,17,"G"
21.898,51,56.496,68.169,"Class2","F",27.402,70,60.091,72.488,65,"E"
70.421,22,65.102,15.563,"Class3","X",59.542,57,63.452,53.879,18,"G"
79.559,24,29.16,19.224,"Class3","S",59.727,55,63.183,65.778,17,"A"
60.305,45,19.874,70.025,"Class1","W",85.979,40,45.221,28.125,92,"W"
5.704,53,52.963,71.811,"Class2","F",53.652,74,47.869,72.682,79,"E"
28.657,21,NA,17.026,"Class3","I",60.882,57,64.356,62.597,19,"A"
60.157,61,34.524,60.505,"Class1","W",75.9,64,44.071,33.539,91,"W"
46.113,25,52.497,15.583,"Class3","Y",59.904,57,63.959,60.586,18,"K"
73.828,21,25.968,15.299,"Class3","X",61.147,56,62.385,64.985,18,"K"
59.299,33,42.738,60.914,"Class1","W",91.002,76,45.403,48.274,96,"I"
59.281,48,32.405,60.102,"Class1","F",74.175,43,45.429,48.376,86,"W"
59.172,47,12.404,58.835,"Class1","B",85.355,91,45.431,49.204,91,"G"
83.37,23,63.124,6.746,"Class3","S",60.691,53,63.195,54.39,19,"K"
60.487,21,51.325,60.046,"Class1","B",75.375,74,45.082,25.152,95,"G"
19.193,51,71.784,79.49,"Class2","O",38.605,79,62.651,75.163,82,"S"
59.5,17,32.972,57.077,"Class1","K",77.105,73,41.955,43.407,96,"G"
70.239,26,51.969,5.64,"Class3","Y",60.338,54,63.571,65.323,15,"A"
14.553,52,64.632,62.067,"Class2","O",31.444,68,33.952,70.85,74,"E"
60.147,69,55.108,69.68,"Class1","W",78.504,65,43.148,45.824,85,"J"
59.895,23,25.636,62.717,"Class1","B",89.13,63,41.738,38.918,84,"J"
58.209,34,NA,67.468,"Class1","D",74.926,93,41.7,47.834,84,"J"
4.7,51,77.28,62.017,"Class2","O",41.385,69,67.25,69.737,79,"E"
-9.514,51,61.892,75.06,"Class2","L",45.812,74,33.213,67.955,NA,"S"
16.59,52,74.983,70.53,"Class2","G",39.336,67,49.484,73.161,60,"E"
10.406,51,NA,69.648,"Class2","G",23.71,76,56.035,73.417,87,"Y"
17.441,53,63.699,81.448,"Class2","J",48.4,70,36.657,73.056,68,"E"
8.666,51,74.714,70.836,"Class2","L",35.107,69,37.502,74.227,54,"S"
50.388,25,96.892,22.495,"Class3","X",58.172,54,63.66,62.537,19,"S"
23.722,52,63.543,66.956,"Class2","F",59.358,72,35.093,76.331,52,"E"
57.745,77,36.715,63.84,"Class1","D",79.812,48,41.122,25.05,90,"W"
58.3,50,24.511,76.731,"Class1","F",91.914,87,43.361,32.339,98,"B"
11.05,51,NA,54.662,"Class2","J",31.813,82,43.592,74.556,65,"Y"
19.323,52,88.031,65.32,"Class2","G",40.323,72,55.039,71.203,64,"Y"
41.994,24,109.443,20.693,"Class3","I",59.626,57,63.97,58.725,19,"A"
7.303,52,75.639,67.347,"Class2","G",53.731,67,44.469,69.877,80,"E"
11.223,53,85.939,73.939,"Class2","F",56.025,66,54.396,69.964,54,"E"
57.922,70,30.223,69.167,"Class1","D",78.286,84,44.839,34.69,NA,"G"
8.418,52,61.48,75.231,"Class2","G",52.768,80,66.034,73.581,79,"E"
71.142,23,40.281,8.284,"Class3","S",61.827,55,64.862,62.149,17,"K"
17.256,52,66.139,72.816,"Class2","L",43.215,78,48.855,75.951,45,"Y"
61.134,70,40.785,61.087,"Class1","D",89.327,62,42.129,31.649,93,"J"
10.068,52,74.615,63.579,"Class2","J",41.635,69,69.782,73.551,81,"T"
15.277,52,54.114,74.841,"Class2","O",55.036,70,55.387,77.598,45,"T"
61.048,32,48.508,63.985,"Class1","B",88.753,87,42.443,39.108,94,"I"
59.23,48,23.251,59.563,"Class1","W",92.195,42,45.58,23.017,85,"B"
13.484,53,64.786,65.144,"Class2","L",51.755,82,51.269,68.306,74,"S"
73.643,27,24.706,9.623,"Class3","Y",58.021,56,64.577,62.602,19,"F"
44.788,21,69.164,16.668,"Class3","L",59.641,57,64.451,63.394,19,"K"
63.571,22,62.853,12.257,"Class3","Y",60.128,54,62.735,59.882,19,"A"
21.815,52,55.899,70.307,"Class2","F",30.767,71,39.794,69.313,81,"F"
16.075,51,61.455,71.519,"Class2","G",30.772,70,47.917,67.873,71,"S"
64.519,22,48.197,20.254,"Class3","L",61.463,56,62.872,68.847,19,"G"
60.751,16,39.017,61.733,"Class1","W",76.633,66,41.375,21.369,94,"W"
10.844,52,NA,69.276,"Class2","L",48.494,81,54.046,70.702,76,"S"
59.844,59,31.818,61.894,"Class1","K",74.041,89,42.369,47.125,91,"B"
15.24,51,79.12,52.134,"Class2","F",21.157,83,53.997,71.739,78,"S"
70.597,27,6.966,14.218,"Class3","L",60.451,57,63.693,67.162,15,"S"
