"W1","W2","W3","W4","W5","W6","W7","Output22","W8","W9","W10","W11"
26,85,18.496,87.161,32.284,60.023,"W","Class1",67,18.958,71.889,"W"
2,78,35.948,81.846,31.926,60.271,"X","Class3",50,56.226,47.234,"O"
24,83,65.566,83.418,35.239,67.62,"L","Class1",69,10.554,71.784,"N"
49,74,61.375,42.373,48.11,87.569,NA,"Class2",99,32.936,12.969,"P"
3,78,35.215,67.605,29.788,59.694,NA,"Class3",60,63.17,59.612,"Z"
28,83,58.474,NA,34.171,48.845,"W","Class1",77,15.987,84.482,"N"
62,48,46.463,34.57,27.666,91.058,NA,"Class2",93,60.668,10.891,"F"
36,50,62.887,65.218,75.044,86.456,"R","Class5",95,12.781,23.57,"L"
4,78,35.472,28.986,23.889,66.52,"F","Class3",52,90.92,53.311,"O"
4,77,35.364,76.485,37.14,65.039,"F","Class3",51,56.269,51.199,"Z"
41,40,49.976,42.48,56.734,83.478,"K","Class2",95,68.542,5.215,"P"
4,78,35.519,29.296,33.69,66.255,"H","Class3",43,77.268,49.12,"X"
34,21,61.073,49.759,74.544,82.689,"I","Class5",80,6.752,14.391,"K"
2,77,34.914,27.676,28.322,62.762,"H","Class3",68,78.332,64.835,"X"
28,86,36.755,90.01,32.538,48.587,"L","Class1",74,0.164,39.396,"U"
54,46,71.314,32.311,22.282,87.888,"H","Class2",99,49.16,25.139,"P"
36,15,64.577,51.659,59.056,86.996,"R","Class5",95,15.039,15.618,"S"
2,78,35.499,22.209,30.448,69.895,"X","Class3",52,77.114,64.797,"X"
4,37,49.683,42.297,71.937,39.846,"C","Class4",94,62.149,15.012,"T"
32,21,60.364,80.858,78.407,81.699,"I","Class5",86,9.794,24.383,"L"
49,40,37.79,40.893,23.678,85.77,"O","Class2",97,45.122,9.604,"P"
48,38,37.801,39.576,58.398,87.729,"J","Class2",91,58.553,6.191,"Y"
2,78,34.984,8.862,34.61,74.11,"M","Class3",55,68.784,51.257,"X"
29,81,27.813,88.84,35.648,61.691,"W","Class1",70,11.755,72.313,"B"
2,78,35.479,NA,28.289,69.608,NA,"Class3",46,62.041,71.521,"K"
25,83,27.542,87.252,32.543,58.859,"J","Class1",72,1.849,65.116,"W"
36,50,63.509,66.664,68.349,79.868,"I","Class5",81,11.267,30.082,"F"
23,85,12.328,83.741,36.15,55.423,"B","Class1",73,1.106,101.548,"W"
29,83,28.4,89.984,36.769,49.133,"B","Class1",69,9.947,67.928,"W"
41,56,64.579,40.797,35.195,88.42,"K","Class2",96,57.345,8.612,"P"
46,78,43.863,42.305,65.847,90.007,"K","Class2",98,60.772,8.434,"Y"
30,30,65.933,55.265,71.614,57.753,"C","Class4",79,74.571,20.331,"T"
34,52,57.503,49.089,69.287,83.867,"S","Class5",58,7.722,28.197,"S"
75,16,29.694,57.559,71.972,50.82,"C","Class4",86,81.173,29.33,"H"
32,49,88.57,62.341,62.312,79.467,"S","Class5",62,17.163,23.121,"L"
2,78,35.657,58.245,16.57,58.634,"H","Class3",70,89.042,77.009,"I"
4,77,35.822,11.661,24.585,72.027,"X","Class3",62,86.249,41.022,"I"
42,67,37.612,42.358,97,85.187,"K","Class2",98,67.422,1.865,"Y"
3,77,35.577,61.405,20.131,74.542,"F","Class3",65,54.297,41.44,"K"
25,80,63.004,89.402,35.483,59.894,"S","Class1",71,16.414,64.933,"W"
4,77,35.6,11.733,25.457,67.368,"L","Class3",70,88.762,50.057,"X"
23,82,57.614,93.818,44.371,65.616,"W","Class1",73,0.888,67.867,"U"
55,44,63.614,40.239,71.089,33.029,"K","Class4",77,57.193,24.701,"H"
34,11,85.116,59.251,68.608,88.022,"O","Class5",96,14.595,23.394,"S"
32,61,38.886,NA,71.001,27.176,"B","Class4",75,39.947,8.41,"K"
23,80,81.872,83.813,32.741,60.951,"L","Class1",76,18.162,78.294,"U"
3,77,35.805,8.507,30.327,67.625,"F","Class3",45,54.284,53.829,"X"
56,55,52.9,41.351,81.703,91.082,"J","Class2",98,60.675,13.081,"F"
79,34,55.94,38.115,71.64,33.359,"K","Class4",85,47.413,23.809,"Q"
53,32,62.152,33.792,56.13,86.171,"O","Class2",94,44.367,8.116,"B"
65,46,24.176,38.941,71.755,35.892,NA,"Class4",77,53.087,20.314,"Q"
34,26,71.074,43.812,80.577,79.569,"O","Class5",82,7.914,21.866,"S"
33,42,42.646,87.981,76.469,89.906,"R","Class5",70,18.861,17.521,"B"
33,49,61.25,30.538,84.704,87.149,"C","Class5",67,5.836,19,"L"
3,78,36.145,76.073,30.393,56.995,"F","Class3",44,78.756,62.945,"K"
4,77,35.091,94.118,31.378,59.402,"H","Class3",69,90.953,58.625,"K"
34,30,58.188,NA,66.092,81.545,"R","Class5",58,12.411,10.945,"S"
29,80,6.608,84.657,36.845,60.989,"J","Class1",76,1.152,69.233,"G"
3,78,35.613,30.98,29.976,67.29,"H","Class3",52,79.622,51.86,"O"
29,83,70.988,87.013,30.004,65.749,NA,"Class1",68,14.021,77.26,"N"
41,50,65.202,56.571,71.96,47.136,"P","Class4",86,31.486,7.509,"H"
55,44,45.815,37.976,0.595,88.117,"E","Class2",94,42.621,7.006,"Y"
48,73,63.503,43.658,93.168,85.365,"K","Class2",100,30.253,16.85,"B"
3,77,35.388,17.482,32.679,65.501,"M","Class3",50,54.209,49.858,"K"
32,73,78.178,37.974,58.56,81.917,"O","Class5",61,3.704,22.746,"F"
41,50,25.157,NA,71.776,58.263,"K","Class4",79,54.957,9.363,"H"
43,32,52.011,38.94,-12.186,87.862,"J","Class2",93,51.986,6.362,"B"
56,37,62.31,35.047,26.748,77.524,"H","Class2",100,33.042,13.913,"B"
33,83,56.502,74.443,70.898,82.475,"R","Class5",65,18.451,22.157,"F"
23,85,39.48,92.676,35.701,51.835,"L","Class1",82,2.412,77.269,"G"
27,85,54.814,87.659,37.031,51.151,"J","Class1",68,21.421,84.7,"W"
28,80,48.181,84.699,34.577,60.197,"W","Class1",66,25.447,47.895,"N"
34,90,47.938,82.233,65.368,84.102,"O","Class5",95,3.131,23.328,"L"
26,84,22.92,89.749,37.392,62.706,"L","Class1",68,6.138,67.554,"G"
56,60,45.971,37.464,54.127,80.798,"O","Class2",95,80.577,13.858,"Y"
3,77,35.463,88.819,31.503,59.395,NA,"Class3",58,72.124,50.714,"O"
4,36,12.344,54.623,71.449,24.103,"B","Class4",92,78.503,24.881,"Q"
32,56,88.159,56.962,76.734,87.47,"S","Class5",67,9.048,20.216,"B"
26,80,54.074,90.525,33.551,55.675,NA,"Class1",73,3.17,90.819,"W"
55,41,91.591,43.643,60.536,90.07,"E","Class2",97,69.588,14.076,"F"
28,85,76.338,85.868,32.999,54.761,"B","Class1",78,23.857,63.582,"G"
33,54,78.745,51.57,73.601,87.773,"R","Class5",97,11.364,24.232,"S"
25,84,41.465,82.389,33.808,67.679,"B","Class1",68,24.505,88.231,"N"
3,77,35.503,42.184,30.341,63.204,"L","Class3",70,80.192,56.305,"Z"
2,77,35.454,52.012,38.117,71.873,"L","Class3",68,69.094,54.497,"K"
29,83,22.223,86.944,29.469,49.641,"J","Class1",76,19.326,101.218,"W"
3,78,35.471,83.112,24.335,64.568,"X","Class3",51,71.295,67.89,"K"
4,77,35.485,59.412,31.464,71.567,"M","Class3",50,74.81,55.651,"O"
56,77,41.295,38.581,67.603,79.087,NA,"Class2",94,45.035,6.605,"B"
39,30,88.454,39.581,23.576,79.004,"E","Class2",98,30.248,17.343,"F"
60,70,47.05,42.58,68.663,85.371,"J","Class2",96,83.524,12.664,"Y"
25,80,23.313,90.008,30.616,50.442,"J","Class1",68,5.703,72.593,"N"
28,86,47.149,85.149,33.203,67.01,"J","Class1",66,6.662,59.608,"G"
28,82,47.213,87.684,22.352,59.351,"B","Class1",66,26.824,92.904,"G"
32,22,75.727,60.335,74.325,79.111,"C","Class5",59,18.544,18.86,"S"
27,81,81.698,81.561,38.391,69.657,"W","Class1",79,14.188,85.784,"G"
25,85,37.189,85.589,31.599,53.505,"L","Class1",80,21.408,57.708,"W"
78,59,55.619,42.643,71.432,46.026,"C","Class4",84,74.268,9.448,"T"
33,35,55.585,65.885,85.315,80.581,"S","Class5",78,13.358,18.985,"F"
59,57,36.885,53.373,71.802,28.382,"B","Class4",83,73.78,20.424,"K"
3,77,35.816,51.454,35.991,58.511,"F","Class3",69,80.859,59.746,"I"
34,81,76.719,NA,68.131,88.734,"C","Class5",60,3.47,21.77,"B"
3,78,35.052,45.22,25.579,72.919,"L","Class3",51,78.661,41.949,"X"
43,22,51.599,37.141,68.255,82.272,"J","Class2",99,77.807,3.714,"Y"
59,24,46.156,40.104,49.977,77.726,"J","Class2",99,66.625,15.439,"F"
35,92,73.281,49.38,81.451,89.141,"C","Class5",77,3.877,38.798,"S"
42,51,78.552,39.344,15.316,86.185,"H","Class2",92,58.797,11.519,"Y"
4,78,35.438,52.241,32.528,69.582,"H","Class3",43,66.344,51.639,"X"
37,78,67.197,34.481,10.555,84.319,"J","Class2",99,30.622,7.801,"B"
24,84,16.107,82.129,35.034,51.296,"W","Class1",76,8.75,68.997,"N"
23,81,48.366,91.995,31.83,60.69,"W","Class1",69,4.362,78.861,"B"
24,82,23.957,83.402,27.329,57.878,"L","Class1",78,9.915,87.576,"W"
56,48,67.8,41.443,34.737,85.082,"K","Class2",93,61.294,6.32,"Y"
17,38,56.609,56.727,70.607,41.313,"C","Class4",89,32.209,16.788,"K"
44,30,62.201,39.172,38.149,82.498,"K","Class2",99,29.937,12.217,"Y"
47,51,74.075,32.412,41.118,91.513,"H","Class2",94,31.309,3.526,"P"
27,83,55.766,89.935,33.952,68.983,"L","Class1",81,24.518,77.979,"N"
40,65,65.737,39.441,38.362,90.463,NA,"Class2",98,67.561,20.516,"B"
32,55,65.647,53.926,82.168,83.454,"C","Class5",76,11.906,37.542,"S"
60,68,48.632,42.357,104.158,90.08,"J","Class2",91,81.633,11.379,"F"
43,62,67.611,38.092,35.51,89.873,"O","Class2",93,67.784,18.913,"Y"
10,41,19.953,54.182,71.263,54.171,"C","Class4",85,25.196,14.798,"K"
2,77,34.797,20.691,33.748,71.719,"H","Class3",53,69.841,71.151,"I"
33,87,78.758,45.335,66.682,87.422,"S","Class5",83,3.503,28.24,"S"
36,30,51.844,60.547,74.576,82.624,"C","Class5",64,18.616,28.653,"B"
61,39,29.975,41.024,66.231,78.52,"K","Class2",97,31.792,16.72,"G"
73,50,69.249,42.977,71.104,45.904,"T","Class4",85,48.35,18.778,"T"
2,78,35.885,19.79,26.089,62.541,"M","Class3",59,66.615,69.652,"X"
23,82,39.038,89.937,35.689,59.69,"S","Class1",82,23.421,70.341,"N"
59,47,25.009,38.743,24.063,79.835,"H","Class2",92,45.398,5.648,"P"
27,84,88.338,83.318,35.286,51.521,"J","Class1",80,20.54,54.747,"G"
26,84,51.047,89.31,34.963,67.648,NA,"Class1",68,6.605,73.927,"N"
28,82,60.519,82.47,26.801,58.945,"B","Class1",77,3.848,85.72,"W"
35,92,65.204,75.891,70.04,83.725,"O","Class5",89,20.454,30.562,"F"
23,83,50.415,93.375,36.043,59.391,"L","Class1",73,18.239,62.571,"U"
4,78,35.459,51.952,34.455,56.174,"H","Class3",60,60.688,61.407,"K"
35,91,39.048,35.482,66.271,80.251,"O","Class5",64,2.884,21.619,"K"
32,43,60.206,35.927,80.752,87.232,"R","Class5",96,11.136,24.825,"B"
4,78,35.219,78.166,25.309,57.167,"L","Class3",54,85.601,53.209,"X"
56,31,57.127,38.937,28.816,79.076,"O","Class2",95,57.483,6.761,"Y"
32,47,72.584,71.964,69.213,80.067,"R","Class5",91,17.69,16.776,"S"
36,26,73.616,32.95,24.509,87.575,"O","Class2",94,46.989,7.197,"F"
59,62,48.703,39.745,29.871,84.187,"H","Class2",95,33.022,2.244,"P"
27,16,51.635,52.062,71.292,23.464,"C","Class4",87,65.334,17.016,"H"
35,75,69.203,52.8,58.726,79.363,"O","Class5",90,12.559,27.168,"L"
67,49,62.053,54.466,71.263,37.767,"P","Class4",89,46.121,19.274,"T"
45,76,51.713,39.957,86.418,84.257,"E","Class2",92,41.066,5.941,"B"
24,86,34.785,86.864,33.603,69.863,"L","Class1",67,10.458,75.636,"G"
52,67,70.245,38.679,49.636,85.669,"O","Class2",98,58.314,10.214,"F"
24,82,58.914,86.592,37.903,47.037,"W","Class1",68,11.325,54.085,"N"
2,78,35.488,79.707,26.757,57.805,"H","Class3",69,69.11,42.277,"X"
33,39,70.355,49.637,73.125,86.681,"R","Class5",84,5.633,26.656,"K"
32,41,68.4,81.436,84.338,86.081,NA,"Class5",95,10.812,21.344,"K"
2,77,35.371,20.557,28.772,55.13,"X","Class3",59,64.185,49.341,"X"
24,83,39.36,NA,37.613,61.301,"S","Class1",83,14.243,81.092,"U"
33,49,66.612,55.537,65.495,84.108,"R","Class5",96,19.209,28.293,"K"
34,90,68.191,82.24,57.096,86.786,"S","Class5",84,8.562,30.619,"L"
33,65,71.091,53.176,65.704,79.825,"I","Class5",72,15.452,15.42,"S"
27,26,35.722,56.599,71.503,43.078,"B","Class4",83,8.614,18.214,"M"
62,67,61.412,41.09,24.797,88.302,"E","Class2",95,59.732,6.925,"F"
4,78,35.262,NA,28.381,59.64,"H","Class3",50,89.6,40.367,"Z"
33,83,79.102,44.839,69.038,85.918,"R","Class5",59,3.337,34.381,"K"
29,82,12.752,84.881,28.401,52.256,"B","Class1",83,25.669,77.532,"U"
48,78,56.996,40.438,-7.937,89.573,"H","Class2",97,71.529,11.264,"B"
44,49,58.638,34.239,89.942,89.824,"H","Class2",92,61.391,11.884,"P"
29,83,27.64,87.637,34.921,59.899,"S","Class1",78,1.144,69.454,"N"
2,77,35.744,69.297,35.248,62.639,"F","Class3",50,66.155,66.643,"Z"
3,78,35.454,63.794,25.345,64.897,"L","Class3",66,67.179,55.763,"X"
23,85,59.692,93.914,41.743,53.305,"B","Class1",76,1.524,75.824,"G"
37,25,64,34.449,56.596,88.795,"O","Class2",97,80.614,12.72,"F"
36,26,77.326,84.866,79.788,88.16,"C","Class5",93,17.327,30.617,"F"
2,78,35.822,82.234,34.483,62.042,"H","Class3",42,78.074,66.521,"K"
2,77,35.924,35.448,40.181,65.482,"F","Class3",67,80.016,69.976,"I"
39,20,16.36,42.588,22.872,77.916,"K","Class2",99,46.851,12.135,"B"
2,77,35.043,52.011,28.095,57.369,"X","Class3",53,84.73,78.13,"O"
4,77,34.795,95.099,30.339,72.179,"L","Class3",47,87.352,66.284,"I"
3,78,34.949,80.253,25.636,55.156,"M","Class3",67,54.563,76.162,"Z"
82,35,44.472,51.645,71.785,57.083,"C","Class4",80,10.827,14.276,"Q"
45,68,51.23,41.259,51.124,91.967,"E","Class2",91,40.026,1.058,"Y"
4,78,35.605,68.068,28.105,72.677,"L","Class3",70,70.501,54.072,"X"
55,57,83.245,33.89,81.505,87.984,"O","Class2",100,65.246,9.566,"P"
63,34,59.139,55.355,71.36,23.172,"P","Class4",75,24.263,10.036,"H"
54,36,66.902,43.163,36.037,89.094,"O","Class2",91,48.929,16.84,"G"
36,38,60.504,38.24,74.214,84.612,"C","Class5",72,11.862,24.039,"F"
38,32,97.343,33.479,4.671,84.204,"J","Class2",95,53.3,12.573,"P"
76,23,47.7,41.605,71.198,24.098,"P","Class4",78,11.549,20.096,"H"
45,67,79.654,38.401,42.564,84.897,"H","Class2",99,63.386,3.63,"G"
28,62,51.68,43.224,71.398,36.71,"P","Class4",79,39.007,20.659,"Q"
3,77,35.884,84.943,36.637,72.085,"L","Class3",61,70.811,50.273,"O"
26,81,52.416,82.023,34.678,65.419,"L","Class1",74,24.701,91.954,"N"
30,31,28.795,54.542,71.422,29.091,"P","Class4",94,67.317,12.395,"H"
46,55,26.339,36.771,77.121,84.311,"H","Class2",99,30.77,16.708,"P"
3,77,34.593,18.313,26.185,70.813,"M","Class3",51,60.442,63.871,"Z"
4,77,35.924,67.301,32.889,56.501,"M","Class3",55,71.226,63.919,"O"
37,75,51.617,40.619,6.155,90.055,"J","Class2",92,31.34,8.571,"B"
36,79,82.037,53.113,61.747,84.871,"R","Class5",68,5.096,29.789,"S"
35,17,65.789,60.915,70.625,82.374,"R","Class5",69,13.97,16.752,"B"
24,86,38.856,82.805,40.265,51.577,"L","Class1",66,16.404,68.758,"G"
55,54,52.59,55.103,71.598,55.955,"K","Class4",83,56.867,21.87,"T"
37,62,21.655,57.709,71.757,60.426,"C","Class4",88,19.412,21.595,"K"
33,79,85.239,83.242,46.43,79.47,"S","Class5",77,5.544,37.618,"K"
56,27,44.201,55.695,71.992,48.825,"P","Class4",90,76.213,16.359,"H"
15,36,34.618,51.685,71.074,21.524,"P","Class4",87,38.85,33.922,"H"
3,78,35.892,88.031,39.402,57.31,"H","Class3",44,64.504,53.047,"O"
39,69,45.021,NA,6.115,88.628,"K","Class2",98,82.97,6.326,"Y"
36,43,64.31,54.887,81.846,79.337,"I","Class5",86,7.241,24.77,"S"
28,83,30.461,93.537,30.224,61.092,"L","Class1",66,0.414,90.113,"G"
37,21,38.474,41.03,71.803,57.343,"K","Class4",94,12.77,28.467,"T"
36,43,73.222,36.272,79.042,81.757,"I","Class5",89,3.097,32.284,"K"
52,68,46.138,34.329,5.549,78.331,"O","Class2",96,42.822,13.463,"Y"
54,68,57.73,33.385,27.116,83.03,"E","Class2",93,42.247,15.711,"Y"
36,38,73.055,29.467,77.968,82.213,"I","Class5",91,3.793,27.545,"L"
3,78,35.332,18.938,28.814,64.773,"M","Class3",63,48.454,47.587,"I"
40,60,66.104,44.971,71.693,28.348,"B","Class4",74,10.974,13.287,"M"
26,84,47.025,90.602,30.23,62.818,"W","Class1",74,23.628,42.996,"G"
3,77,35.477,50.81,28.179,60.406,NA,"Class3",48,88.814,47.967,"X"
52,35,49.381,49.411,71.685,58.311,"C","Class4",83,24.144,13.773,"H"
45,33,46.635,33.367,55.003,85.047,"K","Class2",96,34.763,12.292,"G"
58,32,51.11,42.674,33.416,87.916,"H","Class2",97,76.277,20.796,"B"
33,91,78.754,61.239,90.732,82.116,NA,"Class5",92,7.336,29.292,"K"
2,77,35.039,57.497,28.187,61.311,"X","Class3",53,54.944,52.844,"I"
27,85,57.854,84.989,33.353,49.206,"J","Class1",70,21.707,54.052,"W"
28,80,27.38,84.552,39.68,68.84,"J","Class1",74,24.735,70.993,"W"
50,69,51.541,32.439,56.618,87.637,"J","Class2",94,65.642,12.442,"G"
64,54,41.817,45.709,71.309,49.2,"T","Class4",92,78.046,20.287,"Q"
34,44,81.414,73.056,80.602,78.113,"S","Class5",72,17.115,23.704,"S"
39,77,82.17,32.325,61.449,90.965,"E","Class2",95,34.491,10.111,"P"
54,52,10.282,45.431,71.409,35.731,"C","Class4",86,46.436,16.696,"K"
24,84,40.371,86.982,36.876,53.336,"W","Class1",79,0.143,51.497,"N"
2,78,35.781,82.038,32.022,60.35,"F","Class3",69,67.839,39.315,"O"
26,84,50.141,86.492,27.242,61.931,NA,"Class1",74,4.645,99.792,"U"
26,82,55.437,89.788,40.58,49.212,NA,"Class1",76,3.972,60.967,"N"
35,66,62.942,79.542,77.328,85.314,"R","Class5",65,12.679,29.966,"F"
35,43,66.193,44.76,71.323,52.86,"C","Class4",85,20.228,20.496,"K"
23,85,42.851,88.348,31.96,60.302,"W","Class1",80,21.853,87.826,"W"
29,86,84.207,90.642,30.275,47.402,"S","Class1",81,7.709,84.198,"B"
4,78,35.52,69.426,36.631,71.971,"H","Class3",43,69.214,43.363,"X"
