"B1","B2","B3","Output27","B4","B5","B6","B7","B8","B9","B10","B11"
71,60.896,33.736,"Class5","O",49.664,85.09,34.712,23,57,74.212,"H"
44,21.031,36.132,"Class3","W",20.764,56.164,55.39,64,74,61.467,"G"
76,79.384,28.013,"Class1","Z",27.205,40.197,47.013,57,84,43.813,"T"
99,69.065,69.886,"Class2","G",48.098,60.973,26.042,71,29,16.694,"O"
9,31.718,75.797,"Class4","Z",45.092,38.129,45.344,45,50,72.149,"S"
50,59.283,26.266,"Class5","V",36.732,102.608,26.726,24,57,66.383,"K"
9,17.916,74.07,"Class4","C",41.022,30.875,56.953,66,45,64.048,"N"
NA,28.225,67.724,"Class4","S",30.27,19.803,13.76,61,48,34.129,"W"
48,64.371,34.62,"Class5","Z",32.924,80.451,37.779,15,60,78.34,"D"
77,77.753,30.31,"Class1","H",27.68,49.422,21.406,60,53,47.319,"H"
7,16.296,66.899,"Class4","C",35.046,37.453,53.393,57,43,43.043,"J"
8,19.393,60.187,"Class4","S",34.587,17.726,27.496,83,35,63.017,"S"
9,2.143,62.651,"Class4","C",49.469,31.063,63.885,64,38,62.762,"W"
59,51.319,24.423,"Class5","L",2.08,86.339,37.026,34,62,62.221,"K"
88,49.483,69.02,"Class2","A",31.565,73.756,30.497,68,29,47.108,"U"
NA,4.36,65.873,"Class4","Z",26.521,26.812,21.297,64,51,47.438,"N"
86,79.469,27.659,"Class1","Z",27.032,34.043,79.037,58,67,31.31,"Q"
82,59.044,70.78,"Class2","E",61.684,77.588,33.182,73,32,33.343,"A"
86,75.854,19.239,"Class1","L",27.578,46.023,83.368,63,86,34.766,"H"
4,13.797,74.598,"Class4","S",12.589,35.523,65.059,47,50,72.948,"S"
38,64.766,30.525,"Class3","Z",26.764,22.722,54.926,43,73,56.816,"B"
82,65.319,76.047,"Class2","J",46.295,53.664,37.911,74,33,38.809,"L"
87,84.489,26.372,"Class1","H",27.302,50.556,72.639,59,63,58.524,"G"
9,17.192,61.072,"Class4","Z",27.817,42.394,40.881,41,50,62.828,"S"
8,31.578,80.776,"Class4","C",46.985,33.223,57.356,40,48,30.283,"W"
9,28.686,74.917,"Class4","S",57.855,26.492,38.808,95,41,67.428,"S"
90,44.953,81.059,"Class2","A",46.093,57.746,29.91,72,28,62.616,"C"
44,68.007,39.811,"Class5","V",17.622,92.989,27.093,24,61,51.317,"N"
47,15.047,21.183,"Class3","H",26.352,5.289,51.075,83,75,67.446,"B"
40,16.559,13.982,"Class3","I",26.035,16.069,51.69,75,73,58.978,"G"
97,53.247,76.656,"Class2","U",56.85,92.445,27.787,71,29,12.336,"A"
85,67.87,79.195,"Class2","G",72.515,70.066,42.375,71,33,12.379,"C"
57,59.21,32.484,"Class5","O",95.745,91.727,32.534,11,57,78.821,"N"
44,46.944,13.256,"Class3","I",24.257,44.188,54.233,71,74,63.45,"G"
36,24.952,36.726,"Class3","L",24.449,39.321,54.832,65,73,64.529,"B"
NA,53.454,80.572,"Class2","E",61.622,90.304,34.675,71,28,60.471,"L"
48,23.674,28.437,"Class3","I",26.868,31.21,54.04,81,74,68.18,"S"
47,7.057,31.345,"Class3","Z",22.749,49.987,52.341,46,74,57.531,"I"
58,59.494,28.126,"Class5","L",57.894,71.22,25.95,12,64,36.487,"S"
NA,82.899,18.203,"Class1","D",27.706,49.408,86.907,62,87,61.831,"G"
99,57.199,74.094,"Class2","J",63.778,61.344,39.433,69,30,18.74,"A"
48,34.367,23.222,"Class3","I",22.912,33.702,51.354,74,73,56.639,"J"
64,83.069,22.726,"Class1","G",27.418,53.753,30.411,63,72,51.109,"C"
80,78.314,30.454,"Class1","L",27.208,47.763,80.471,62,79,44.081,"G"
44,41.049,23.732,"Class3","H",28.706,19.219,52.33,77,73,68.207,"S"
88,61.475,76.273,"Class2","E",58.376,84.081,29.939,74,31,29.745,"U"
39,37.7,34.787,"Class3","H",25.831,35.54,55.98,42,73,60.462,"G"
80,79.766,13.399,"Class1","Z",27.344,49.912,85.768,58,57,44.674,"H"
39,NA,27.677,"Class3","L",24.025,12.396,55.877,63,74,68.68,"G"
90,45.835,81.085,"Class2","J",63.733,77.169,45.075,71,31,44.364,"L"
3,29.053,82.654,"Class4","Z",37.24,24.968,20.674,78,48,48.311,"J"
5,22.345,69.515,"Class4","C",21.343,33.47,49.635,60,33,73.411,"N"
87,NA,78.76,"Class2","A",47.899,90.489,47.634,73,32,25.893,"C"
4,37.144,65.196,"Class4","P",2.411,13.425,41.807,45,42,35.264,"J"
9,26.85,75.368,"Class4","C",47.639,17.357,13.031,42,40,65.351,"N"
42,37.478,30.146,"Class3","I",26,14.848,53.97,72,75,66.317,"I"
88,62.832,80.523,"Class2","A",47.931,48.523,41.031,74,32,45.566,"U"
70,82.996,36.866,"Class1","Z",27.714,31.09,41.947,58,73,41.479,"H"
77,47.929,32.621,"Class5","V",94.535,85.511,25.221,11,60,63.383,"N"
7,20.032,74.366,"Class4","Z",34.502,28.366,65.309,59,41,49.289,"D"
40,30.379,26.64,"Class3","I",23.162,19.284,51.876,53,73,59.392,"G"
38,55.117,31.746,"Class5","O",22.081,87.21,34.594,24,61,87.263,"D"
90,76.991,76.764,"Class2","U",71.55,43.754,38.457,70,29,23.401,"L"
72,55.13,31.042,"Class5","A",87.601,94.502,30.135,20,62,70.043,"S"
59,83.768,37.704,"Class1","L",27.619,37.352,18.675,60,68,55.028,"C"
NA,18.809,23.671,"Class3","I",24.2,77.79,52.592,51,74,57.378,"B"
82,55.826,66.447,"Class2","G",89.405,58.24,47.977,71,33,20.152,"L"
2,20.228,70.394,"Class4","C",70.263,2.752,22.244,46,43,34.897,"W"
82,59.549,69.031,"Class2","A",59.395,68.729,39.416,69,30,14.643,"A"
76,56.87,40.079,"Class5","A",45.883,78.218,27.512,18,63,43.754,"K"
70,52.69,28.284,"Class5","V",14.037,67.226,37.325,20,58,86.979,"K"
96,67.823,70.032,"Class2","G",74.143,60.333,43.957,74,30,56.743,"O"
3,20.274,78.536,"Class4","C",12.736,0.812,18.276,64,43,66.46,"D"
64,48.932,27.671,"Class5","V",50.078,69.121,23.632,25,57,82.103,"H"
52,47.916,33.852,"Class5","Z",78.051,45.537,25.396,34,61,50.622,"K"
2,6.925,79.796,"Class4","C",76.104,4.61,19.18,95,39,39.529,"J"
42,39.023,19.215,"Class3","I",29.864,43.195,54.394,70,74,67.605,"S"
92,66.272,80.174,"Class2","E",47.234,108.952,39.519,68,32,22.306,"U"
83,68.105,32.531,"Class5","Z",85.21,53.001,39.512,12,60,46.915,"H"
7,15.795,69.427,"Class4","S",33.89,32.039,22.534,85,44,32.56,"D"
41,NA,21.904,"Class3","W",23.635,4.239,52.185,58,73,61.653,"G"
77,81.071,14.602,"Class1","L",28.029,43.274,78.654,61,62,30.061,"C"
79,74.86,37.217,"Class1","G",27.534,52.532,70.805,59,76,59.954,"Q"
86,64.947,82.789,"Class2","U",62.185,84.713,40.349,68,31,49.619,"O"
80,62.301,27.385,"Class5","V",41.316,61.375,23.482,15,62,81.583,"H"
40,7.833,13.05,"Class3","W",25.128,44.748,55.233,50,73,66.108,"G"
74,77.492,22.443,"Class1","H",27.417,27.966,20.697,58,59,59.148,"H"
86,54.193,67.625,"Class2","E",58.306,61.292,30.833,74,33,25.61,"C"
59,78.193,16.847,"Class1","L",27.479,53.135,85.946,61,78,42.589,"C"
38,33.385,23.87,"Class3","W",22.08,38.711,53.202,44,74,57.435,"S"
41,45.28,26.043,"Class3","I",25.465,8.769,51.312,80,75,64.487,"G"
82,64.154,77.288,"Class2","U",49.029,85.483,31.314,74,32,36.724,"L"
49,59.168,33.924,"Class5","L",20.621,89.531,28.16,30,64,74.143,"D"
78,40.253,68.634,"Class2","A",39.416,99.444,29.061,68,31,30.717,"L"
58,46.711,34.126,"Class5","V",72.622,82.421,37.39,20,62,92.301,"H"
85,60.464,75.548,"Class2","A",42.104,93.145,31.284,72,29,31.153,"O"
51,28.334,28.63,"Class3","W",22.475,25.453,55.168,48,73,59.152,"I"
8,10.064,62.688,"Class4","P",33.576,7.851,52.997,96,42,36.564,"J"
47,27.143,35.077,"Class3","H",25.747,39.21,51.47,57,73,66.073,"J"
40,44.79,30.123,"Class3","W",27.544,20.834,51.409,54,73,59.723,"G"
65,45.519,24.823,"Class5","A",61.028,74.783,35.854,13,57,40.827,"D"
60,74.735,30.755,"Class5","L",-6.261,77.511,25.371,12,60,46.768,"D"
75,82.588,35.781,"Class1","D",27.208,56.28,68.213,63,78,51.497,"T"
98,48.495,35.188,"Class5","A",41.076,57.743,29.719,24,59,40.667,"D"
61,70.074,29.436,"Class5","A",64.628,92.363,37.311,30,59,58.607,"D"
43,45.417,35.001,"Class5","L",-9.072,85.904,31.181,25,62,91.545,"S"
60,71.767,29.284,"Class5","V",64.319,61.301,35.548,17,60,52.672,"N"
45,29.77,27.134,"Class3","L",23.336,48.53,51.499,67,73,66.102,"J"
83,79.871,14.788,"Class1","L",27.507,50.894,91.07,63,64,48.035,"T"
NA,60.524,29.217,"Class5","L",50.284,56.643,32.672,34,64,86.643,"H"
46,51.173,26.824,"Class5","L",77.436,67.109,29.872,29,61,70.496,"N"
48,52.985,34.843,"Class3","L",23.641,33.765,53.173,70,74,60.733,"G"
94,64.252,81.126,"Class2","J",85.964,78.447,36.591,70,32,56.363,"U"
90,56.375,66.959,"Class2","A",64.425,48.757,40.799,74,32,43.582,"U"
68,NA,18.386,"Class1","D",28.2,46.535,75.032,59,76,47,"G"
98,61.128,68.588,"Class2","G",32.64,83.268,37.408,70,29,55.842,"C"
5,17.613,81.16,"Class4","B",-3.558,34.622,18.009,74,48,72.089,"W"
44,38.007,36.513,"Class3","Z",26.232,7.178,55.91,43,75,59.084,"J"
80,61.216,72.184,"Class2","U",82.378,90.681,38.758,73,32,53.846,"L"
NA,NA,22.693,"Class3","H",24.498,54.144,55.295,50,74,59.61,"G"
44,50.224,33.891,"Class3","I",25.596,0.404,52.654,69,75,62.763,"S"
36,34.135,25.16,"Class3","W",27.089,23.359,52.965,46,74,62.908,"B"
81,77.567,18.295,"Class1","L",27.472,38.908,69.82,58,68,60.149,"G"
9,33.955,64.328,"Class4","B",29.426,28.48,14.302,54,49,51.805,"J"
5,26.042,57.239,"Class4","S",40.912,29.169,28.959,71,46,52.456,"J"
75,76.48,37.072,"Class1","H",27.605,35.39,45.165,58,69,51.048,"H"
83,79.624,20.612,"Class1","H",27.49,50.578,93.934,57,85,33.46,"C"
47,29.926,31.221,"Class3","I",22.792,31.273,54.847,42,73,59.744,"S"
85,49.205,76.528,"Class2","U",57.269,96.002,44.508,70,33,34.411,"O"
84,52.671,81.429,"Class2","E",65.641,76.179,29.006,72,28,49.508,"U"
59,42.627,37.457,"Class5","O",47.595,77.967,38.729,27,61,36.372,"S"
48,45.588,37.269,"Class5","A",24.559,63.592,31.952,24,59,64.437,"H"
8,15.388,75.367,"Class4","C",23.52,15.089,22.721,78,47,31.392,"N"
67,80.896,27.221,"Class1","G",27.066,50.949,60.242,62,77,57.105,"C"
8,41.453,76.646,"Class4","S",24.666,41.156,7.871,70,36,62.017,"D"
85,81.799,30.302,"Class1","Z",26.8,41.809,49.707,58,57,42.16,"T"
79,77.114,21.452,"Class1","Z",26.733,47.033,55.068,61,67,23.952,"T"
46,65.854,17.575,"Class3","W",26.125,40.691,54.144,80,73,63.281,"S"
73,49.324,35.846,"Class5","L",53.133,85.541,30.532,22,58,76.075,"K"
NA,71.845,67.209,"Class2","G",62.896,63.496,40.359,71,29,63.151,"C"
41,33.356,13.858,"Class3","H",23.737,23.917,53.519,65,73,59.923,"B"
3,18.88,61.066,"Class4","P",32.276,26.768,19.132,57,43,44.167,"S"
80,79.881,22.72,"Class1","D",27.58,41.868,69.033,58,55,46.473,"Q"
NA,39.381,59.316,"Class4","B",26.403,40.398,35.846,67,49,51.583,"J"
3,37.576,79.847,"Class4","P",5.871,25.544,30.858,46,44,28.292,"N"
6,28.755,58.474,"Class4","B",47.44,30.79,44.252,94,49,32.81,"J"
41,45.501,26.586,"Class5","O",43.418,66.421,37.405,25,58,76.404,"K"
96,65.035,70.946,"Class2","G",64.095,70.236,27.552,70,31,43.122,"O"
4,22.844,71.608,"Class4","P",20.507,40.445,29.321,87,47,49.697,"S"
65,40.057,26.419,"Class5","V",34.467,82.259,27.319,13,58,78.927,"H"
98,67.263,82.742,"Class2","E",75.328,78.759,38.282,72,30,22.765,"A"
5,21.037,81.499,"Class4","Z",41.27,34.678,22.862,57,43,50.501,"S"
40,74.263,34.642,"Class3","L",23.554,11.065,52.466,68,74,61.684,"B"
NA,22.524,70.33,"Class4","B",52.614,30.172,30.824,51,52,61.051,"N"
50,0.434,25.792,"Class3","H",23.082,10.655,55.99,75,75,57.694,"I"
3,29.808,71.388,"Class4","S",47.246,23.095,62.378,60,46,70.899,"S"
7,22.456,68.196,"Class4","B",32.885,13.414,37.438,57,37,41.307,"D"
58,59.1,31.607,"Class5","A",45.942,48.742,37.484,18,64,59.332,"K"
89,47.886,24.209,"Class5","Z",11.402,63.53,24.97,19,57,58.315,"K"
5,18.534,71.359,"Class4","C",25.338,17.216,22.465,69,38,66.964,"N"
83,71.517,73.706,"Class2","U",64.469,54.233,31.772,73,32,53.023,"A"
86,72.44,70.25,"Class2","J",57.318,70.94,38.208,72,31,25.531,"C"
84,54.338,82.914,"Class2","A",98.953,35.302,28.704,73,31,39.176,"C"
78,85.484,30.604,"Class1","Z",27.129,36.481,47.847,63,75,63.042,"H"
73,61.109,37.698,"Class5","V",69.223,102.127,35.85,29,58,46.447,"D"
50,50.032,15.535,"Class3","H",22.569,44.748,55.646,48,74,68.992,"G"
72,83.091,31.096,"Class1","L",27.616,56.653,65.575,60,74,36.692,"C"
76,58.123,27.309,"Class5","L",50.191,78.451,39.654,21,59,75.338,"H"
46,37.567,22.429,"Class3","Z",22.79,3.991,54.598,52,74,56.414,"S"
4,26.89,66.775,"Class4","S",24.957,27.045,15.288,66,38,39.497,"N"
42,62.148,37.144,"Class5","V",49.525,68.74,27.725,14,58,53.876,"H"
77,78.491,37.612,"Class1","G",27.243,63.438,82.681,59,69,31.216,"T"
84,NA,29.75,"Class1","H",27.159,35.967,39.702,59,67,33.837,"C"
6,NA,79.151,"Class4","C",50.481,34.535,48.16,68,46,38.782,"W"
4,NA,66.188,"Class4","C",30.994,23.081,63.566,94,43,45.369,"S"
88,60.425,78.735,"Class2","U",51.11,68.765,48.815,74,30,32.796,"C"
6,11.921,73.293,"Class4","Z",18.001,7.457,57.478,76,45,60.189,"S"
79,66.908,35.273,"Class5","Z",11.496,87.278,38.136,25,57,77.273,"H"
7,13.027,57.943,"Class4","B",29.091,46.428,51.052,54,41,34.286,"S"
64,78.61,29.875,"Class1","L",27.539,46.67,72.058,62,86,30.461,"C"
36,49.042,29.506,"Class3","W",25.839,27.185,51.045,47,73,57.145,"B"
87,71.292,18.756,"Class1","H",26.873,46.515,21.721,63,61,26.673,"H"
89,68.401,26.337,"Class5","L",52.709,86.083,39.853,17,59,70.922,"S"
63,42.104,33.791,"Class5","V",54.385,87.728,38.87,35,57,91.907,"N"
86,66.344,77.102,"Class2","G",66.391,97.602,27.953,71,28,38.54,"U"
93,59.303,69.016,"Class2","U",29.535,57.675,45.51,68,31,46.393,"C"
48,11.564,14.372,"Class3","Z",21.057,42.456,51.127,64,75,58.246,"G"
3,32.065,73.913,"Class4","Z",40.48,50.366,23.024,53,33,60.779,"J"
3,4.171,78.77,"Class4","P",19.319,20.181,20.748,44,36,41.208,"J"
36,57.821,18.687,"Class3","H",24.553,23.841,53.2,42,75,61.248,"J"
8,20.954,64.638,"Class4","S",37.425,25.812,48.305,48,38,57.579,"D"
63,NA,36.622,"Class5","O",108.121,72.668,27.723,30,59,36.432,"H"
8,16.382,75.746,"Class4","P",12.219,22.628,35.218,54,45,34.585,"J"
66,77.333,29.245,"Class1","L",27.446,53.964,57.978,57,64,37.245,"Q"
74,76.282,19.485,"Class1","Z",27.426,60.437,94.675,62,61,56.457,"C"
85,81.185,68.729,"Class2","U",55.195,73.927,39.696,71,28,57.062,"L"
7,34.765,68.204,"Class4","B",37.193,15.421,60.521,48,42,68.369,"J"
71,84.224,18.338,"Class1","Z",27.897,48.546,49.562,61,61,40.302,"H"
51,44.13,34.148,"Class3","Z",23.737,16.935,53.569,48,74,58.655,"B"
78,51.417,79.665,"Class2","J",57.211,89.225,47.908,72,33,61.421,"A"
37,31.788,13.947,"Class3","Z",25.05,30.223,51.876,51,75,58.322,"S"
46,NA,19.334,"Class3","Z",25.812,0.015,53.773,74,73,58.429,"G"
8,11.403,65.474,"Class4","C",43.71,9.165,59.292,72,44,71.04,"N"
49,57.425,12.916,"Class3","H",23.359,55.852,53.157,53,74,63.577,"G"
NA,25.163,30.826,"Class3","H",25.163,52.66,55.447,50,75,55.27,"I"
67,79.006,26.066,"Class1","L",27.536,46.741,53.691,59,62,25.884,"G"
45,63.508,15.866,"Class3","L",25.174,59.036,52.154,53,74,57.857,"S"
94,52.54,29.447,"Class5","L",75.394,44.118,23.048,27,58,77.447,"H"
95,66.214,31.853,"Class5","Z",51.81,77.345,38.75,31,61,42.434,"N"
100,52.167,74.401,"Class2","J",81.895,52.229,38.533,74,28,22.816,"A"
4,24.082,79.725,"Class4","S",24.757,5.285,25.508,87,43,32.05,"D"
61,77.084,26.449,"Class1","D",27.837,59.286,76.58,58,73,28.629,"C"
43,35.176,18.812,"Class3","L",26.127,37.372,54.609,58,74,67.387,"S"
61,84.491,14.925,"Class1","H",26.933,57.927,71.828,60,73,63.02,"G"
39,39.807,29.64,"Class3","L",25.132,24.577,53.838,56,73,66.327,"I"
49,30.232,18.522,"Class3","Z",26.259,17.496,51.157,70,74,61.956,"G"
56,49.754,38.521,"Class5","L",58.864,64.531,39.597,17,57,83.637,"S"
63,74.26,33.476,"Class1","L",27.276,41.992,53.302,61,71,26.875,"Q"
81,82.933,36.232,"Class5","A",44.818,76.045,28.657,24,57,54.858,"D"
NA,31.759,33.585,"Class3","L",27.577,-18.682,52.291,65,75,61.944,"S"
NA,56.563,27.312,"Class5","L",42.073,65.012,34.149,26,64,67.796,"S"
84,41.255,31.294,"Class5","L",47.328,81.268,37.128,17,62,55.403,"S"
90,58.612,71.27,"Class2","J",55.699,63.491,37.6,72,31,60.598,"C"
85,39.208,77.196,"Class2","A",66.273,58.404,26.367,73,30,28.394,"L"
49,19.968,17.095,"Class3","W",29.019,63.643,51.014,55,75,62.01,"S"
49,23.52,25.061,"Class3","H",25.565,47.384,52.983,56,74,66.141,"G"
8,31.231,60.19,"Class4","S",23.434,20.357,11.017,68,39,62.439,"D"
2,31.318,73.468,"Class4","Z",59.229,17.532,61.548,65,51,33.346,"D"
51,28.024,23.605,"Class3","L",23.583,37.524,55.666,50,73,68.31,"S"
96,68.86,75.391,"Class2","G",38.516,70.735,47.609,68,32,34.953,"U"
78,81.032,32.998,"Class1","L",27.75,38.408,37.158,58,86,59.757,"G"
83,57.131,66.358,"Class2","E",43.091,86.975,30.387,70,33,40.45,"U"
84,78.844,27.573,"Class1","G",27.552,44.447,78.969,62,89,23.439,"T"
46,28.145,22.158,"Class3","W",26.746,42.721,53.092,57,74,65.674,"S"
4,19.622,76.297,"Class4","P",39.243,24.326,41.222,44,35,72.119,"N"
45,8.19,33.416,"Class3","I",22.861,15.639,52.715,43,74,57.647,"J"
95,56.733,70.336,"Class2","J",70.152,79.74,32.791,73,32,63.899,"A"
44,NA,36.306,"Class5","O",104.498,90.997,32.111,18,62,79.785,"H"
3,26.07,66.192,"Class4","S",37.283,25.664,9.227,72,46,71.361,"J"
85,63.426,24.862,"Class5","A",59.322,68.593,25.855,14,60,54.762,"H"
42,47.876,24.64,"Class5","V",41.39,90.889,24.188,14,62,92.314,"N"
68,76.292,13.633,"Class1","G",27.341,42.605,83.892,60,57,51.892,"Q"
