"G1","G2","G3","G4","Output6","G5","G6","G7","G8","G9","G10","G11"
64,7.434,"P",76,"Class4",58.387,49.063,57.137,5.812,35,"Y",54.129
47,9.179,"G",80,"Class4",57.374,79.041,47.299,5.656,34,"Y",61.261
40,27.701,"P",64,"Class4",56.947,88.46,78.658,5.764,35,"K",79.312
44,80.387,"X",41,"Class1",96.947,86.463,44.555,81.666,24,"B",9.256
96,26.717,"G",38,"Class3",21.064,9.23,89.99,36.888,65,"S",27.871
83,24.728,"S",69,"Class4",49.713,30.836,82.679,5.077,33,"Y",61.312
47,NA,"V",72,"Class2",57.08,46.791,84.794,39.58,75,"Z",38.935
43,23.392,"V",66,"Class4",60.141,0.98,52.929,5.898,35,"P",57.142
93,32.103,"L",43,"Class3",32.473,31.022,97.876,65.792,28,"S",94.832
94,43.989,"L",53,"Class3",67.811,33.885,91.695,77.316,28,"Z",42.761
54,77.669,"X",29,"Class1",94.318,88.596,37.369,84.352,23,"B",19.969
34,19.833,"V",66,"Class4",49.06,44.162,65.112,5.172,35,"K",63.808
38,10.007,"X",73,"Class2",39.443,47.047,87.99,14.736,72,"G",58.099
23,54.501,"U",72,"Class2",42.275,47.579,81.884,20.094,78,"Z",65.609
13,41.933,"U",72,"Class2",46.421,46.885,85.989,42.412,70,"Z",57.267
78,2.693,"P",79,"Class4",48.888,42.144,55.605,5.562,34,"I",78.484
42,37.759,"C",73,"Class2",75.039,46.245,89.461,51.442,75,"G",50.404
94,16.477,"Q",35,"Class3",12.138,54.295,86.071,31.623,28,"P",41.805
71,54.16,"V",72,"Class2",76.073,46.404,86.708,49.853,70,"U",42.586
42,78.696,"X",34,"Class1",42.058,89.191,62.823,86.453,16,"N",16.843
66,50.381,"C",73,"Class2",56.472,47.268,81.281,39.245,72,"F",43.404
40,34.296,"X",73,"Class2",52.624,46.935,87.902,12.131,77,"H",35.365
47,59.319,"I",41,"Class1",50.879,83.76,64.164,86.528,26,"B",9.493
94,46.167,"Q",34,"Class3",41.636,1.402,94.456,47.338,47,"P",21.523
73,11.573,"S",72,"Class4",58.773,50.559,57.144,5.2,34,"Y",54.811
94,49.478,"B",61,"Class3",69.494,38.314,83.755,57.474,11,"Z",71.155
96,63.878,"Q",33,"Class3",64.723,43.981,87.569,63.7,29,"S",34.946
56,18.303,"V",59,"Class4",55.094,26.591,47.173,5.257,33,"P",83.242
46,45.085,"N",33,"Class1",62.75,92.62,56.101,90.404,20,"P",17.226
20,85.08,"D",41,"Class1",66.861,88.085,52.328,92.489,12,"N",14.746
94,55.126,"G",56,"Class3",78.762,9.156,90.378,33.888,10,"R",13.697
58,44.195,"V",73,"Class2",47.988,46.312,90.487,43.785,72,"G",86.873
94,NA,"G",59,"Class3",50.101,57.686,79.803,21.055,30,"R",43.338
39,46.521,"X",29,"Class1",81.523,93.195,55.065,82.071,19,"B",-2.166
94,34.256,"Q",57,"Class3",67.062,15.953,81.411,15.14,40,"W",91.079
57,7.875,"P",68,"Class4",48.739,53.992,83.677,5.112,34,"J",62.135
NA,49.854,"K",62,"Class3",38.85,29.834,91.541,67.208,37,"R",66.809
45,19.878,"P",60,"Class4",61.801,34.132,55.047,5.446,33,"Y",67.307
76,63.579,"C",73,"Class2",64.142,47.08,86.633,23.852,77,"H",36.057
47,NA,"I",37,"Class1",51.018,91.354,42.774,89.578,25,"B",9.605
78,51.483,"U",72,"Class2",80.846,43.58,86.514,46.874,78,"U",40.044
10,93.831,"I",37,"Class1",41.074,89.873,58.742,84.451,24,"P",22.142
12,70.576,"U",36,"Class1",61.131,87.627,37.149,83.416,28,"N",-1.872
45,28.199,"X",72,"Class2",69.284,46.984,83.569,39.872,70,"Z",37.304
95,39.733,"B",35,"Class3",57.543,44.463,84.461,86.952,64,"P",93.213
62,22.382,"G",63,"Class4",51.406,65.998,63.408,5.408,33,"K",59.515
13,11.886,"N",72,"Class2",58.926,45.978,83.177,11.585,72,"H",60.017
81,58.67,"U",72,"Class2",74.531,47.897,88.421,21.417,73,"H",26.763
68,8.162,"P",81,"Class4",59.824,18.601,66.485,5.279,34,"K",51.066
37,18.908,"X",73,"Class2",76.452,44.784,86.8,22.526,70,"Z",41.453
48,41.28,"N",73,"Class2",59.334,47.849,82.672,18.57,74,"H",72.467
68,13.902,"P",62,"Class4",55.106,16.796,58.88,5.041,33,"Y",72.424
54,59.284,"C",72,"Class2",41.035,47.043,90.944,23.58,72,"F",52.18
21,76.588,"N",39,"Class1",75.192,90.417,50.727,91.773,22,"N",17.749
93,55.679,"G",28,"Class3",76.176,3.664,92.357,31.362,27,"S",5.96
37,61.226,"U",73,"Class2",40.69,47.14,87.169,50.308,77,"H",26.56
75,30.938,"C",73,"Class2",53.021,46.344,85.909,15.145,78,"Z",14.649
77,56.838,"C",72,"Class2",42.924,45.336,87.531,13.173,71,"G",46.068
31,73.718,"X",37,"Class1",70.586,91.462,61.181,87.938,23,"B",19.895
16,22.34,"U",73,"Class2",42.097,46.31,89.784,46.677,74,"U",72.784
36,87.317,"X",29,"Class1",84.591,90.595,59.961,84.726,25,"P",3.646
96,76.77,"B",64,"Class3",35,24.208,89.629,56.954,13,"S",77.335
43,35.617,"U",73,"Class2",54.743,45.91,82.886,49.448,71,"Z",83.07
41,73,"U",33,"Class1",58.633,88.61,57.57,92.788,20,"R",15.261
7,60.071,"I",31,"Class1",93.953,88.51,63.947,81.183,18,"B",5.085
12,21.79,"V",72,"Class2",62.986,45.282,94.238,17,71,"F",71.812
24,76.511,"N",40,"Class1",53.881,85.652,55.948,89.646,12,"B",24.133
40,17.995,"P",71,"Class4",55.736,42.926,58.103,5.326,34,"P",66.186
96,34.987,"G",59,"Class3",51.25,25.46,95.73,52.047,70,"R",3.894
64,7.762,"W",72,"Class4",51.565,7.614,69.443,5.075,33,"J",54.314
54,2.981,"W",72,"Class4",47.378,52.732,55.376,5.395,35,"J",75.099
46,84.479,"U",28,"Class1",69.056,92.788,65.747,87.98,14,"P",30.028
58,21.172,"C",73,"Class2",50.356,47.022,88.105,45.257,72,"H",61.463
67,28.546,"P",78,"Class4",54.397,51.899,60.491,5.711,33,"I",55.282
76,22.072,"P",73,"Class4",58.481,2.871,64.078,5.04,35,"P",57.905
18,NA,"N",41,"Class1",88.077,87.581,54.936,89.831,25,"G",7.708
96,73.941,"B",42,"Class3",70.802,49.828,84.268,12.632,74,"W",43.167
65,61.225,"V",73,"Class2",52.999,46.243,86.753,47.034,70,"F",50.088
95,76.795,"B",41,"Class3",76.653,44.871,90.294,69.927,18,"Z",16.69
96,32.881,"L",64,"Class3",37.28,31.313,87.35,45.781,37,"W",70.043
27,54.204,"U",73,"Class2",43.755,48.078,87.397,10.225,76,"Z",47.943
38,16.335,"W",74,"Class4",48.371,28.06,55.444,5.83,33,"Y",71.843
87,16.872,"X",72,"Class2",58.49,47.492,79.651,9.759,71,"Z",36.854
35,28.008,"V",73,"Class2",63.346,45.089,83.052,19.056,78,"Z",33.133
10,87.479,"I",39,"Class1",77.232,83.6,45.688,85.357,15,"N",17.051
93,74.199,"K",51,"Class3",51.283,-20.578,82.946,61.638,42,"W",48.439
22,7.182,"N",73,"Class2",71.777,46.354,85.805,13.249,74,"F",35.95
50,78.076,"N",34,"Class1",40.885,92.752,76.216,90.015,12,"G",13.207
37,41.62,"N",73,"Class2",74.205,47.239,87.299,59.65,74,"G",45.76
34,4.961,"G",61,"Class4",47.484,51.628,55.568,5.54,35,"P",50.252
82,24.33,"V",72,"Class2",33.473,45.875,84.723,43.604,73,"G",63.31
95,44.867,"K",58,"Class3",31.729,48.572,83.843,44.053,7,"W",49.36
60,32.951,"X",72,"Class2",58.021,45.199,85.768,29.324,77,"U",62.211
NA,19.167,"W",59,"Class4",53.188,61.749,51.897,5.525,33,"I",66.831
93,45.594,"K",50,"Class3",76.19,65.032,96.132,48.737,17,"W",56.938
80,45.083,"N",72,"Class2",67.444,45.7,91.54,46.504,75,"G",28.631
18,75.507,"D",40,"Class1",96.529,89.194,55.5,92.724,15,"P",18.513
94,77.316,"L",63,"Class3",24.994,65.008,89.104,26.655,47,"S",113.461
94,17.128,"L",34,"Class3",44.124,29.4,91.207,71.718,42,"S",54.522
93,15.279,"Q",56,"Class3",45.725,27.224,86.088,68.218,58,"P",21.31
41,44.012,"N",73,"Class2",42.476,48.249,87.188,60.308,72,"F",78.417
18,91.768,"I",31,"Class1",55.962,94.167,69.909,91.128,24,"B",2.586
32,77.053,"I",32,"Class1",37.735,93.611,60.473,87.018,27,"P",19.189
36,22.595,"W",75,"Class4",56.725,60.594,61.446,5.089,35,"J",63.038
43,8.57,"X",72,"Class2",70.181,45.852,86.656,55.682,75,"H",31.927
73,27.597,"P",63,"Class4",53.096,4.68,63.503,5.67,33,"K",57.119
96,69.677,"Q",50,"Class3",69.719,30.076,97.053,58.752,55,"W",77.179
71,26.5,"W",77,"Class4",54.179,37.316,46.825,5.93,34,"Y",71.557
88,59.141,"X",73,"Class2",43.121,45.422,87.86,37.124,72,"Z",56.504
68,24.297,"W",75,"Class4",55.049,59.603,49.773,5.578,33,"I",78.353
94,29.901,"B",30,"Class3",71.141,18.542,88.809,50.518,48,"P",30.134
94,60.989,"L",34,"Class3",47.426,70.324,91.757,25.55,38,"P",52.492
96,44.342,"Q",46,"Class3",51.246,-3.584,91.764,70.13,33,"W",71.613
50,77.228,"D",38,"Class1",64.777,92.5,37.502,89.306,27,"N",20.403
12,47.592,"X",37,"Class1",51.588,89.08,56.897,87.068,28,"R",3.674
47,19.311,"P",78,"Class4",59.432,30.868,74.165,5.087,33,"P",53.213
37,58.279,"C",72,"Class2",74.005,46.24,84.611,37.906,73,"F",55.338
50,21.791,"P",69,"Class4",57.043,22.642,43.347,5.482,33,"J",67.832
51,44.541,"X",43,"Class1",56.423,80.546,54.461,91.289,16,"G",7.787
NA,44.077,"D",43,"Class1",66.559,95.36,37.535,84.838,26,"N",16.798
96,69.016,"B",39,"Class3",47.01,25.367,88.176,52.552,55,"S",72.525
23,54.221,"D",37,"Class1",37.497,94.73,56.847,91.487,18,"R",9.748
58,42.698,"V",72,"Class2",51.716,46.3,82.419,9.626,76,"H",35.632
34,6.41,"V",72,"Class2",68.813,47.631,84.979,58.38,70,"F",59.191
33,49.383,"X",34,"Class1",44.394,91.615,55.856,83.802,17,"G",5.105
43,80.849,"N",31,"Class1",31.422,95.019,53.06,87.474,25,"G",20.65
24,38.956,"X",72,"Class2",37.477,47.917,88.202,19.246,78,"H",48.394
54,13.554,"C",72,"Class2",56.929,47.504,81.31,36.586,71,"F",56.516
79,44.974,"X",72,"Class2",60.284,46.221,86.809,14.318,70,"Z",38.938
96,14.301,"Q",40,"Class3",19.805,29.425,89.524,26.255,38,"W",-18.205
94,20.728,"L",33,"Class3",80.466,7.329,94.965,59.241,8,"S",18.46
76,21.955,"P",75,"Class4",58.182,19.059,53.521,5.759,34,"P",62.278
33,20.498,"W",74,"Class4",50.279,55.468,67.468,5.132,34,"I",70.323
95,57.064,"L",57,"Class3",73.593,-10.718,88.459,12.64,63,"S",46.557
94,NA,"B",30,"Class3",71.365,23.059,86.407,31.337,11,"Z",61.859
68,23.42,"S",76,"Class4",51.712,43.621,81.048,5.442,34,"J",59.377
42,60.902,"D",40,"Class1",41.807,82.724,47.792,92.542,12,"R",15.197
6,68.539,"N",41,"Class1",86.983,87.304,57.41,90.757,29,"G",-0.04
33,34.795,"X",73,"Class2",66.406,46.224,84.628,19.081,72,"G",21.639
29,11.323,"X",73,"Class2",52.016,47.697,89.499,19.333,73,"F",34.298
77,25.18,"N",72,"Class2",75.64,46.64,86.409,16.245,77,"F",53.882
52,44.694,"N",42,"Class1",66.798,89.481,65.287,87.271,17,"N",4.174
51,58.018,"D",32,"Class1",68.975,92.935,70.466,82.967,25,"B",15.106
93,58.981,"K",55,"Class3",29.449,12.803,86.088,12.276,22,"R",41.572
17,64.158,"X",73,"Class2",59.616,46.754,80.588,17.008,70,"G",68.79
17,55.21,"X",43,"Class1",51.274,86.262,57.453,82.107,29,"N",13.22
46,56.664,"I",37,"Class1",40.73,90.67,55.762,91.698,28,"N",11.523
29,22.88,"U",72,"Class2",41.799,46.367,86.624,22.013,72,"H",48.221
35,NA,"V",68,"Class4",52.641,33.834,76.097,5.639,34,"K",64.202
63,16.771,"W",71,"Class4",59.461,71.146,75.058,5.5,34,"Y",67.965
30,73.15,"I",32,"Class1",34.539,93.149,42.365,88.395,29,"R",20.899
69,50.589,"N",73,"Class2",61.296,46.281,84.997,53.413,71,"G",24.42
56,30.044,"X",72,"Class2",80.314,45.465,82.903,17.738,72,"G",48.08
93,56.207,"G",43,"Class3",13.53,1.229,90.131,20.527,12,"S",55.441
31,47.693,"U",31,"Class1",72.499,95.873,45.091,85.565,22,"R",4.945
21,84.259,"X",40,"Class1",49.256,96.331,45.939,83.701,17,"B",17.588
94,42.82,"K",34,"Class3",37.441,14.259,83.935,62.233,57,"P",21.674
78,55.266,"X",72,"Class2",56.699,48.09,89.448,60.471,71,"F",54.588
NA,93.841,"I",37,"Class1",65.97,78.897,41.427,89.352,28,"G",11.917
38,70.333,"U",40,"Class1",50.044,91.511,45.045,88.14,16,"G",13.418
95,54.962,"B",56,"Class3",80.425,33.819,82.79,72.608,15,"Z",73.368
94,26.908,"Q",30,"Class3",16.498,30.464,88.133,69.956,39,"R",3.623
72,13.181,"G",77,"Class4",56.076,110.972,58.177,5.637,33,"I",67.309
28,29.208,"U",73,"Class2",69.264,46.116,78.011,48.621,75,"U",43.239
44,74.895,"U",43,"Class1",58.223,88.503,55.927,82.576,24,"G",6.094
60,30.916,"U",72,"Class2",38.103,48.431,85.796,13.262,77,"F",66.792
67,6.948,"S",59,"Class4",56.259,70.131,57.365,5.894,35,"J",68.621
79,10.704,"W",76,"Class4",56.944,28.318,46.149,5.523,35,"Y",85.338
38,46.98,"I",42,"Class1",87.273,89.956,77.206,86.368,29,"P",21.156
19,45.433,"D",41,"Class1",60.97,84.315,70.796,89.695,18,"P",7.842
93,16.987,"Q",31,"Class3",52.166,51.98,86.855,75.879,7,"P",33.491
76,14.411,"S",73,"Class4",49.391,52.385,62.475,5.487,34,"Y",59.171
69,15.877,"V",81,"Class4",57.459,57.05,45.405,5.948,34,"I",67.844
28,52.315,"C",72,"Class2",35.785,46.199,83.434,29.98,75,"U",54.654
NA,60.239,"X",32,"Class1",35.416,91.048,36.237,81.405,29,"R",12.001
96,77.573,"Q",48,"Class3",59.826,10.814,86.49,63.829,75,"Z",60.68
86,9.515,"V",73,"Class2",64.639,46.65,89.198,46.998,70,"H",54.061
29,23.624,"U",72,"Class2",60.449,46.363,87.587,47.619,76,"U",44.291
29,59.888,"X",42,"Class1",31.734,83.816,64.549,82.436,23,"N",11.668
31,48.681,"I",32,"Class1",96.739,91.772,59.568,85.085,23,"B",8.281
43,56.662,"N",72,"Class2",43.33,46.632,82.235,28.963,78,"F",53.341
29,79.835,"N",40,"Class1",68.363,91.794,44.897,84.847,29,"P",10.476
85,36.023,"V",72,"Class2",51.857,46.497,85.081,49.862,75,"G",24.792
17,83.109,"N",35,"Class1",37.924,86.773,61.792,84.296,17,"B",7.931
95,19.703,"L",48,"Class3",70.264,0.54,84.945,84.766,71,"P",55.176
35,17.638,"G",78,"Class4",53.043,38.367,59.948,5.774,35,"P",69.31
96,37.736,"Q",42,"Class3",46.303,5.702,80.385,16.892,19,"W",81.441
28,52.735,"X",32,"Class1",94.749,86.424,62.51,82.163,27,"B",5.589
64,21.791,"W",71,"Class4",60.44,78.498,55.293,5.342,35,"J",48.601
35,84.156,"U",31,"Class1",46.45,90.135,54.872,90.872,24,"R",22.988
66,2.466,"P",62,"Class4",47.706,9.221,72.661,5.241,34,"J",66.621
74,15.671,"S",64,"Class4",58.171,14.875,41.981,5.277,34,"I",63.958
44,39.047,"U",72,"Class2",75.511,46.171,84.935,17.183,70,"H",45.321
60,3.748,"G",67,"Class4",51.226,50.223,31.063,5.362,35,"I",74.095
57,10.611,"P",68,"Class4",50.947,30.143,59.316,5.981,35,"P",58.471
78,27.222,"G",64,"Class4",48.024,66.511,50.06,5.56,34,"I",73.591
NA,43.578,"V",72,"Class2",66.708,46.789,82.201,9.03,75,"U",66.855
16,71.337,"X",30,"Class1",81.604,92.735,52.568,89.394,11,"R",4.147
96,21.243,"B",63,"Class3",30.291,51.016,89.023,68.688,38,"W",87.781
82,25.216,"S",71,"Class4",53.695,19.238,46.03,5.586,35,"J",60.433
52,62.773,"X",72,"Class2",71.713,47.416,81.846,56.934,76,"G",36.882
31,57.6,"N",38,"Class1",73.202,99.849,59.312,90.397,11,"G",16.369
79,25.46,"U",73,"Class2",70.792,46.783,86.153,50.273,77,"H",45.941
96,22.488,"G",48,"Class3",77.965,64.111,86.196,72.222,58,"P",8.122
44,51.007,"U",43,"Class1",74.75,94.411,29.675,90.168,22,"G",8.967
66,63.309,"N",72,"Class2",45.15,47.766,85.135,21.662,74,"F",62.139
95,54.934,"Q",49,"Class3",11.393,61.565,85.697,62.979,25,"R",37.84
22,41.332,"C",73,"Class2",68.254,48.861,86.159,31.013,72,"F",35.469
50,14.858,"C",72,"Class2",75.627,45.014,86.037,23.523,71,"U",31.294
37,91.925,"U",42,"Class1",56.678,95.284,56.558,85.431,29,"G",13.975
