"E1","E2","E3","E4","E5","E6","E7","E8","E9","E10","E11","Output30"
80.212,37.501,"D","H",10,81.027,65,58.731,79,17.858,20.437,"Class2"
2.871,36.414,"Y","I",61,74.673,29,71.94,80,25.596,75.86,"Class3"
13.119,46.692,"S","P",61,79.654,30,74.567,71,55.644,60.036,"Class3"
28.404,23.002,"N","G",35,-3.638,83,30.662,17,48.816,85.072,"Class1"
12.5,54.704,"Y","H",64,42.317,44,52.261,61,28.656,60.787,"Class3"
41.082,19.525,"K","N",35,19.142,62,34.243,64,21.167,24.686,"Class1"
57.975,4.527,"E","D",37,16.977,64,6.435,21,33.06,54.57,"Class1"
8.11,46.047,"X","H",71,54.339,25,71.953,64,35.767,82.859,"Class3"
7.711,35.959,"Y","W",66,54.502,41,63.773,69,57.178,68.256,"Class3"
9.335,7.595,"Y",NA,73,65.957,24,62.863,80,32.461,80.222,"Class3"
12.184,23.832,"L","W",70,64.191,34,79.265,77,55.993,82.281,"Class3"
74.529,44.576,"L","Q",12,76.235,61,25.738,56,16.256,58.767,"Class2"
80.617,39.274,"U","H",23,76.355,49,40.059,40,16.522,74.834,"Class2"
62.122,12.673,"Q","G",38,12.097,80,26.443,30,41.675,74.91,"Class1"
78.555,56.949,"T","Q",10,86.886,69,33.122,78,16.057,34.577,"Class2"
40.468,23.482,"Q","F",39,9.736,70,36.202,34,14.806,27.365,"Class1"
21.362,15.329,"S",NA,64,73.56,41,72.83,68,58.758,77.073,"Class3"
51.736,4.155,"N","D",39,-7.79,73,39.567,27,28.364,44.346,"Class1"
9.738,16.239,"N","B",38,9.091,75,19.163,38,49.629,49.504,"Class1"
16.592,11.026,"Y","K",NA,57.39,52,60.57,67,50.109,73.797,"Class3"
58.82,5.277,"N","B",35,3.455,63,29.73,24,37.775,35.12,"Class1"
17.512,5.262,"Q","G",40,2.827,78,3.065,43,28.509,79.628,"Class1"
82.544,35.58,"L","H",26,84.833,29,22.058,63,16.162,70.576,"Class2"
39.355,19.705,"N","N",39,20.751,79,23.394,70,39.42,74.031,"Class1"
73.058,11.613,"F","Z",22,83.135,70,27.342,24,16.099,41.679,"Class2"
73.962,19.143,"F","G",7,84.069,37,31.153,28,17.984,20.128,"Class2"
42.991,17.66,"Q","N",40,17.569,66,10.215,52,31.801,39.778,"Class1"
82.334,42.269,"F","G",3,84.69,45,32.241,38,17.768,43.684,"Class2"
20.14,67.875,"X","H",62,64.527,28,66.232,69,45.934,74.4,"Class3"
19.865,12.778,"N","D",40,-7.091,64,55.064,18,18.229,69.6,"Class1"
8.124,8.088,"S","P",77,57.902,50,55.341,65,26.215,79.689,"Class3"
7.642,9.073,"Q","N",39,9.805,70,23.703,59,37.803,44.512,"Class1"
11.208,28.839,"X","K",71,48.479,27,51.186,62,40.189,72.877,"Class3"
70.384,23.102,"E","B",40,12.555,83,15.464,37,36.593,63.962,"Class1"
79.891,38.292,"D","W",24,84.119,34,27.606,52,16.559,50.931,"Class2"
81.07,48.27,"F","H",11,79.725,43,42.751,71,17.226,20.793,"Class2"
81.682,55.257,"D","Z",15,76.144,43,27.556,48,16.227,58.024,"Class2"
9.184,14.871,"F","P",65,55.716,54,69.098,69,23.887,74.094,"Class3"
90.222,53.429,"D","W",21,76.436,34,34.843,53,16.661,8.683,"Class2"
32.815,20.783,"K","F",37,21.382,60,12.492,42,41.734,92.253,"Class1"
31.748,7.698,"Q","F",39,-3.476,76,12.67,79,14.171,23.28,"Class1"
81.599,16.399,"D","H",21,79.505,27,46.37,26,16.477,30.64,"Class2"
18.832,65.582,"L","I",74,58.442,43,65.354,68,53.339,77.551,"Class3"
12.135,36.316,"L","P",74,81.042,42,55.197,62,55.99,67.173,"Class3"
40.292,8.974,"T","B",36,16.574,69,24.015,59,45.296,50.778,"Class1"
-7.531,9.067,"T","G",35,11.247,82,19.707,66,25.591,19.776,"Class1"
81.33,29.827,"L","Q",NA,77.835,30,38.381,81,16.842,59.848,"Class2"
25.053,8.971,"K","N",36,-3.18,77,26.83,23,32.577,73.943,"Class1"
19.748,65.834,"X",NA,76,72.281,31,58.845,67,42.429,73.715,"Class3"
77.811,45.48,"T","Q",NA,86.915,72,43.074,41,17.792,59.265,"Class2"
14.947,21.989,"L","P",72,56.903,33,67.419,61,42.004,80.686,"Class3"
10.376,32.652,"Y",NA,65,40.246,38,62.552,74,62.772,77.402,"Class3"
10.857,14.362,"Y","W",74,38.362,32,83.684,69,61.976,71.811,"Class3"
0.055,44.353,"F",NA,65,48.461,32,56.123,68,43.073,74.876,"Class3"
73.834,22.793,"F","H",1,74.266,27,32.169,58,16.396,78.123,"Class2"
0.543,20.905,"E","N",38,17.504,69,22.042,46,44.596,79.932,"Class1"
47.248,23.053,"E","F",36,2.569,84,29.563,63,42.019,23.844,"Class1"
10.28,52.597,"Y","I",76,65.855,29,68.36,66,41.677,67.393,"Class3"
10.967,56.445,"F","P",70,70.193,38,70.038,76,41.497,79.946,"Class3"
31.876,18.544,"Q","B",40,1.409,85,10.836,23,11.409,85.494,"Class1"
7.954,28.197,"X","P",76,68.18,25,60.663,74,30.94,75.146,"Class3"
78.961,32.189,"T","W",9,86.527,61,24.854,25,17.826,69.414,"Class2"
76.021,53.276,"D","Q",4,76.396,34,27.904,37,17.374,51.83,"Class2"
82.535,32.174,"F","W",24,81.594,27,19.379,68,17.795,54.697,"Class2"
74.49,36.91,"D","G",26,74.464,56,34.721,68,16.546,32.913,"Class2"
81.245,43.629,"T","Z",NA,77.52,57,27.198,58,16.497,76.49,"Class2"
11.007,6.134,"Q","G",35,18.015,59,18.994,76,11.043,28.323,"Class1"
105.724,24.764,"N","N",39,10.947,63,10.995,57,15.529,26.431,"Class1"
85.289,52.362,"F","Q",7,86.907,30,31.232,52,16.697,67.674,"Class2"
17.048,16.339,"F","H",79,57.021,40,70.198,64,51.227,73.609,"Class3"
81.106,12.364,"D","W",2,80.996,34,41.239,28,17.808,59.077,"Class2"
81.89,39.175,"D","G",18,76.13,35,32.892,70,16.486,20.27,"Class2"
7.335,54.806,"S","H",74,72.731,51,59.812,80,22.545,64.96,"Class3"
17.09,50.596,"L",NA,79,56.042,37,63.048,78,44.211,68.032,"Class3"
46.942,11.292,"Q","B",39,8.232,70,6.945,36,44.969,84.553,"Class1"
20.917,63.958,"F","P",61,69.317,49,55.515,66,30.99,58.357,"Class3"
78.271,33.012,"L","W",5,87.902,48,44.458,45,16.422,82.76,"Class2"
23.214,18.908,"T","D",38,8.281,79,14.206,46,24.882,65.46,"Class1"
74.143,20.568,"U","G",4,83.817,51,36.536,26,17.075,48.391,"Class2"
44.65,18.159,"E","F",36,4.734,58,26.314,67,15.538,77.478,"Class1"
41.586,23.099,"Q","D",40,11.213,82,19.923,24,46.515,35.125,"Class1"
78.904,19.979,"T","G",2,84.351,71,33.252,50,17.129,78.083,"Class2"
17.764,36.353,"L","W",61,60.485,52,52.904,68,58.91,74.245,"Class3"
78.804,21.009,"U","G",6,83.946,61,44.396,42,17.716,70.598,"Class2"
78.75,50.374,"F","H",11,85.61,54,18.937,27,17.617,41.421,"Class2"
79.745,26.438,"F","Z",22,80.813,61,46.175,21,17.372,28.387,"Class2"
6,40.763,"Y","I",72,58.415,50,67.407,74,21.861,70.158,"Class3"
82.641,25.468,"U","H",22,79.951,38,28.236,78,16.996,38.541,"Class2"
75.477,2.962,"N","D",37,1.886,81,23.715,17,30.973,22.767,"Class1"
14.619,6.931,"S","I",74,69.698,53,70.716,68,49.37,83.324,"Class3"
23.371,21.157,"X","H",72,66.067,49,71.276,72,56.29,74.723,"Class3"
16.579,67.619,"F","P",76,48.464,30,60.436,75,33.329,77.863,"Class3"
83.189,12.204,"F","Q",NA,72.2,62,17.951,36,17.234,55.828,"Class2"
82.608,50.347,"U","W",5,84.429,44,25.198,84,17.908,77.542,"Class2"
81.588,53.682,"T",NA,6,87.407,40,42.567,69,16.958,50.186,"Class2"
24.522,56.321,"Y","P",65,54.03,38,54.116,64,21.47,66.815,"Class3"
70.349,20.084,"N","B",NA,13.453,75,23.826,22,48.816,87.206,"Class1"
55.322,7.443,"T","F",39,18.479,84,12.878,27,38.822,40.577,"Class1"
28.238,21.112,"N","B",39,10.601,68,18.589,44,41.172,20.964,"Class1"
76.898,46.35,"D","Z",7,89.053,69,32.329,32,16.7,83.209,"Class2"
21.387,29.104,"X","H",74,61.049,25,60.188,80,54.011,81.538,"Class3"
81.95,28.138,"U","W",21,76.03,70,45.783,82,16.366,44.34,"Class2"
45.677,14.389,"E","G",36,15.011,83,19.698,31,30.766,60.276,"Class1"
83.433,12.696,"L","Z",17,77.699,37,37.482,42,17.804,33.414,"Class2"
76.258,31.773,"F","H",2,73.323,52,15.997,31,16.476,67.695,"Class2"
14.74,58.87,"S","P",62,75.597,43,59.786,76,31.235,76.8,"Class3"
72.509,10.909,"Q","N",38,6.026,71,40.282,28,30.685,59.281,"Class1"
10.042,29.788,"X","I",68,40.102,40,60.908,66,28.556,70.916,"Class3"
13.339,40.65,"L","K",79,66.953,47,59.344,65,36.805,58.824,"Class3"
79.972,20.448,"T","W",7,78.06,48,34.054,64,17.528,73.133,"Class2"
29.176,24.267,"F","I",69,42.199,26,48.844,73,33.895,74.383,"Class3"
23.215,42.98,"F","P",65,56.265,41,71.769,67,42.48,78.125,"Class3"
21.932,24.978,"K","F",NA,3.289,66,29.527,68,28.832,70.788,"Class1"
82.623,12.729,"D","Z",13,77.982,27,41.751,75,17.398,64.559,"Class2"
12.099,34.561,"S","W",61,68.457,52,57.216,75,48.248,64.646,"Class3"
57.362,5.401,"Q","B",40,13.682,66,38.944,37,46.624,32.424,"Class1"
21.436,40.077,"X","P",75,71.569,51,68.876,69,50.344,81.428,"Class3"
11.504,35.215,"X","P",72,74.692,25,72.934,68,62.924,83.395,"Class3"
83.62,38.529,"F","G",3,85.261,53,35.684,56,16.94,72.712,"Class2"
50.672,9.386,"T","F",38,5.173,74,26.503,74,47.74,45.491,"Class1"
75.439,48.224,"D","G",19,84.079,62,24.655,26,16.94,30.216,"Class2"
11.874,22.513,"L","K",72,76.867,48,56.476,77,58.655,69.19,"Class3"
79.92,41.774,"F","Z",2,74.595,46,40.12,44,16.11,13.212,"Class2"
83.458,40.777,"F","H",16,78.655,53,47.177,37,17.772,52.492,"Class2"
95.363,5.913,"Q","G",36,17.254,65,9.104,20,49.011,28.054,"Class1"
87.04,54.675,"F","G",NA,71.947,27,37.306,28,17.585,82.159,"Class2"
6.303,58.407,"S","I",72,66.217,49,66.424,73,33.065,82.92,"Class3"
-1.524,15.058,"L","K",61,47.528,30,80.39,62,38.085,72.316,"Class3"
9.503,17.578,"X","I",78,51.2,32,76.077,78,31.926,71.873,"Class3"
9.517,69.21,"L","H",NA,68.171,31,63.187,80,53.067,59.149,"Class3"
81.881,28.918,"U","W",23,82.647,60,40.44,32,16.634,72.86,"Class2"
80.032,43.542,"D","Q",15,63.297,31,49.874,25,17.19,13.485,"Class2"
61.744,12.79,"N","F",39,2.646,62,26.87,24,34.28,26.776,"Class1"
64.85,4.473,"N","G",NA,12.965,80,25.844,34,36.655,83.083,"Class1"
46.969,22.292,"Q","F",38,-2.187,79,20.974,83,41.997,57.619,"Class1"
79.877,20.467,"F","Q",NA,81.833,55,30.507,26,16.147,60.759,"Class2"
67.574,8.347,"T","D",35,-5.948,67,12.703,28,32.346,79.369,"Class1"
75.832,54.779,"U","Q",14,85.363,50,33.631,83,16.857,11.142,"Class2"
77.893,12.429,"T","W",24,89.603,59,38.067,65,16.74,28.902,"Class2"
91.297,10.003,"E","B",37,12.548,64,38.095,20,46.913,82.643,"Class1"
54.17,20.028,"N","F",36,14.601,75,35.796,57,15.131,53.938,"Class1"
83.501,34.976,"D","G",NA,76.772,57,18.215,84,17.687,50.731,"Class2"
18.23,30.209,"F","I",65,49.012,29,60.892,62,44.131,77.756,"Class3"
14.482,16.07,"F","K",79,65.193,29,64.331,75,52.329,83.374,"Class3"
20.566,12.185,"K","N",36,-9.469,85,13.058,70,51.601,35.339,"Class1"
77.048,12.821,"D","G",NA,83.921,37,34.484,40,17.424,21.616,"Class2"
80.344,53.381,"F","Q",19,75.041,45,31.195,30,16.954,65.813,"Class2"
15.561,39.702,"X","W",70,50.784,35,60.529,69,35.289,69.335,"Class3"
11.235,33.957,"L","W",77,78.523,39,66.961,75,62.562,83.276,"Class3"
52.272,23.672,"Q","F",35,21.489,83,8.047,74,45.851,26.696,"Class1"
80.889,56.526,"L","Z",0,81.753,67,29.807,26,17.46,53.311,"Class2"
60.526,13.504,"Q","N",35,8.053,76,23.421,47,18.105,27.399,"Class1"
11.476,70.809,"X","K",70,59.014,35,65.074,67,22.954,79.847,"Class3"
9.205,17.79,"S","I",61,59.504,46,71.146,78,32.116,72.852,"Class3"
13.277,14.925,"S","P",67,65.166,52,56.807,74,51.627,72.438,"Class3"
80.167,55.617,"T","H",0,83.259,57,35.999,77,17.343,37.137,"Class2"
12.37,25.626,"L","I",63,83.514,52,51.575,78,56.516,63.596,"Class3"
84.782,40.397,"F","G",24,82.684,65,41.189,35,16.492,35.632,"Class2"
77.46,27.43,"D","Q",9,75.4,60,36.956,43,17.518,11.136,"Class2"
33.264,12.399,"K","G",35,18.961,67,29.694,34,26.206,66.388,"Class1"
36.982,18.404,"N","D",35,11.765,81,14.694,78,39.773,33.39,"Class1"
79.748,13.516,"D","G",16,74.039,59,41.716,47,17.363,33.748,"Class2"
86.394,42.156,"L","H",18,83.291,56,39.361,26,16.652,49.748,"Class2"
56.034,21.702,"K","F",40,22.603,80,20.389,54,50.533,50.294,"Class1"
30.775,24.828,"K","D",40,0.707,75,18.264,33,32.062,45.592,"Class1"
81.166,44.155,"D","H",13,82.106,30,38.879,62,17.017,68.407,"Class2"
76.051,13.599,"L","W",NA,85.715,29,47.11,30,17.218,35.024,"Class2"
18.964,13.121,"Y","W",68,85.536,44,59.054,74,28.921,71.046,"Class3"
11.268,25.713,"F","I",78,66.567,47,69.899,76,27.893,74.237,"Class3"
6.808,35.862,"Y","W",74,56.764,24,58.836,78,29.348,77.501,"Class3"
12.137,31.57,"L","H",71,65.723,40,56.462,73,64.861,73.003,"Class3"
26.13,23.298,"N","D",40,9.471,64,26.239,77,53.416,54.818,"Class1"
23.892,50.323,"L","I",62,57.582,33,56.729,77,31.699,62.081,"Class3"
11.368,17.583,"Y","K",74,59.913,49,47.993,66,42.682,74.747,"Class3"
21.79,18.72,"T","N",36,10.384,83,28.596,56,23.774,92.917,"Class1"
9.207,18.998,"N","B",39,11.092,55,53.282,32,49.768,70.849,"Class1"
10.437,65.88,"Y","I",70,74.354,41,68.878,62,28.095,83.092,"Class3"
19.416,33.01,"X","I",74,49.29,54,65.856,61,37.502,68.787,"Class3"
12.454,34.289,"L","W",72,57.652,46,65.402,75,63.99,59.781,"Class3"
1.674,51.119,"S","W",67,64.835,53,61.022,63,27.989,67.003,"Class3"
16.557,15.712,"X","H",61,63.708,45,66.468,65,38.615,72.03,"Class3"
78.448,36.271,"L","Q",18,77.458,68,20.483,72,16.518,17.302,"Class2"
36.006,8.036,"Q","G",37,16.263,77,39.487,16,26.199,65.752,"Class1"
2.306,2.459,"N","F",37,2.822,65,29.75,25,33.679,37.315,"Class1"
22.1,53.532,"L","W",71,74.197,32,61.993,69,43.959,81.526,"Class3"
67.07,18.474,"Q","B",37,10.472,68,23.196,52,53.134,83.753,"Class1"
81.557,34.284,"T","H",26,81.455,56,28.798,76,16.315,54.484,"Class2"
83.768,17.417,"K","B",37,15.136,62,8.747,57,39.592,76.069,"Class1"
8.035,22.996,"Y",NA,73,63.064,24,57.629,80,55.804,66.824,"Class3"
50.095,3.819,"N","F",40,8.173,59,-0.267,41,44.047,45.917,"Class1"
77.042,54.272,"D","H",25,85.839,41,38.126,44,17.341,18.868,"Class2"
20.579,45.416,"F","P",75,49.703,30,54.829,67,23.277,59.035,"Class3"
82.288,27.095,"D","W",26,86.47,62,36.694,51,17.565,27.416,"Class2"
65.9,19.327,"E","N",40,24.92,58,18.445,81,25.376,23.649,"Class1"
84.014,40.425,"D","Z",8,79.628,65,37.453,41,16.53,69.915,"Class2"
84.339,57.879,"L","W",26,82.748,64,51.422,40,16.294,44.464,"Class2"
21.525,58.431,"X","P",69,85.48,46,67.697,65,35.753,60.902,"Class3"
9.113,45.511,"S","I",61,51.984,27,76.801,64,54.053,66.926,"Class3"
11.534,48.208,"S","P",70,61.835,40,66.21,71,33.954,70.434,"Class3"
81.514,14.449,"U","Q",26,92.659,53,34.988,72,16.921,37.648,"Class2"
75.138,11.555,"D","H",NA,85.304,31,31.514,83,17.206,22.628,"Class2"
-26.629,19.591,"Q","G",40,18.955,66,21.078,81,22.656,71.555,"Class1"
80.258,11.429,"T","H",26,82.175,68,34.08,62,16.651,44.06,"Class2"
52.361,16.051,"Q","G",NA,18.641,68,30.467,60,23.087,69.714,"Class1"
13.786,54.673,"F","K",63,65.055,53,68.023,75,62.137,77.689,"Class3"
17.009,34.091,"X","W",69,55.464,46,49.064,77,60.258,69.157,"Class3"
75.707,43.638,"T","W",26,83.374,69,36.081,66,16.891,54.386,"Class2"
86.477,29.769,"F","Q",21,88.775,65,35.826,71,17.225,69.936,"Class2"
27.627,49.816,"F","W",63,65.781,27,61.763,68,37.435,70.841,"Class3"
9.494,13.813,"Y","W",76,60.661,32,72.445,66,25.748,68.956,"Class3"
53.243,21.498,"T","G",35,16.488,64,39.899,33,42.881,62.227,"Class1"
60.174,5.236,"K","B",36,-3.96,80,32.601,25,16.652,46.409,"Class1"
22.862,60.049,"F","P",79,53.603,29,67.644,76,25.725,74.105,"Class3"
17.715,23.201,"F","W",68,68.886,25,68.082,63,31.26,73.414,"Class3"
77.495,50.148,"T","H",6,78.768,40,35.586,57,17.633,16.758,"Class2"
84.514,19.357,"U","Q",NA,83.172,41,39.543,33,17.189,17.575,"Class2"
8.169,32.143,"S","W",70,68.845,31,81.1,76,46.889,70.591,"Class3"
16.324,21.962,"F","W",75,50.653,52,53.469,79,34.682,63.119,"Class3"
31.975,8.074,"Q","D",35,7.39,76,9.542,58,43.751,38.383,"Class1"
78.3,37.282,"T","W",22,81.63,58,38.328,77,16.7,56.972,"Class2"
83.524,49.494,"U",NA,19,85.276,65,37.99,28,17.844,23.925,"Class2"
5.05,12.987,"N","N",36,2.136,85,23.217,73,22.089,59.877,"Class1"
113.602,2.669,"E","N",38,18.979,56,28.438,17,32.954,43.842,"Class1"
16.72,14.953,"S","P",62,47.696,28,72.08,69,33.079,73.812,"Class3"
79.986,15.189,"F","G",14,80.34,71,49.201,55,17.973,29.815,"Class2"
33.294,8.694,"T","G",40,1.001,57,23.502,58,46.08,44.628,"Class1"
52.622,17.876,"E","D",37,15.682,84,24.3,59,45.806,59.259,"Class1"
67.043,18.894,"T","N",37,2.32,65,21.204,66,16.711,76.776,"Class1"
82.216,35.359,"T","Z",26,82.388,57,54.049,53,17.177,20.166,"Class2"
85.505,40.628,"T","Q",25,77.919,32,37.805,73,17.38,74.968,"Class2"
20.189,32.655,"X","H",67,87.411,24,72.144,70,47.629,77.595,"Class3"
-1.626,67.272,"S","K",62,62.54,30,72.839,75,29.148,77.147,"Class3"
82.41,32.738,"D","H",13,80.353,33,54.747,42,17.669,30.075,"Class2"
19.781,5.693,"Q","N",40,1.297,81,25.874,16,24.919,72.617,"Class1"
76.972,42.339,"T","Z",7,82.944,59,50.896,30,16.714,54.019,"Class2"
24.626,12.129,"F","I",78,75.931,54,66.553,78,64.405,79.343,"Class3"
79.485,30.633,"D","Q",22,69.375,39,44.651,61,17.265,62.886,"Class2"
80.655,11.813,"U","Z",2,80.237,27,27.957,70,16.3,41.966,"Class2"
81.976,29.623,"U","Z",14,76.795,55,14.968,82,17.773,31.586,"Class2"
80.055,29.084,"T","H",16,85.38,29,45.31,57,16.33,42.605,"Class2"
42.154,12.544,"N","D",40,20.732,75,43.387,17,30.557,88.68,"Class1"
18.186,30.617,"F","P",78,71.967,30,63.143,70,37.085,77.807,"Class3"
45.591,19.257,"E","D",36,13.096,81,8.879,31,52.189,57.464,"Class1"
20.413,14.982,"L","I",75,85.582,29,56.924,80,27.375,66.056,"Class3"
77.435,51.262,"U","Z",24,84.897,41,33.445,32,17.375,52.163,"Class2"
76.063,46.766,"D","Q",25,72.286,44,28.964,28,16.583,44.953,"Class2"
15.138,37.207,"X","W",78,41.537,49,71.596,62,29.817,78.011,"Class3"
23.763,27.607,"X","H",76,62.292,49,61.02,63,38.893,72.32,"Class3"
77.989,37.531,"L","H",13,87.845,55,29.351,58,16.457,71.503,"Class2"
21.531,69.271,"F","P",68,35.361,43,61.123,62,22.842,62.444,"Class3"
82.289,17.517,"U","G",9,81.17,61,31.772,66,17.578,35.994,"Class2"
14.518,2.071,"E","B",38,12.187,85,39.357,32,34.525,72.332,"Class1"
78.18,43.394,"T","Q",17,85.894,65,30.235,20,17.095,46.186,"Class2"
47.31,14.023,"Q","B",37,4.457,61,28.867,25,45.512,78.829,"Class1"
28.083,13.303,"S","W",70,52.542,26,71.353,61,22.945,60.89,"Class3"
81.744,39.346,"U","W",9,70.627,40,40.716,24,17.425,37.701,"Class2"
24.71,66.089,"X","H",77,53.935,26,62.892,72,42.519,67.194,"Class3"
81.921,40.776,"U","G",23,76.698,47,40.732,48,16.421,24.566,"Class2"
60.841,10.82,"N","G",36,16.909,59,21.341,49,33.607,76.095,"Class1"
9.425,9.083,"F","P",77,69.935,54,52.705,71,25.346,81.783,"Class3"
16.003,10.682,"S","H",71,72.622,43,73.791,72,56.888,61.643,"Class3"
54.91,22.09,"Q","N",38,9.911,80,29.987,17,49.85,29.562,"Class1"
41.126,5.426,"Q","F",40,33.782,72,33.723,56,25.974,28.898,"Class1"
96.706,7.613,"K","G",40,5.842,64,23.877,18,36.459,74.396,"Class1"
-13.728,2.414,"E","N",38,1.456,72,16.832,22,38.912,87.096,"Class1"
5.769,12.136,"S","P",68,70.125,42,61.565,67,49.602,65.222,"Class3"
44.036,11.934,"K","N",36,28.741,56,22.737,40,24.218,67.152,"Class1"
0.764,3.412,"N","D",38,4.935,72,27.036,26,29.549,59.197,"Class1"
54.194,12.78,"N","D",36,11.383,84,19.06,69,13.258,46.433,"Class1"
21.536,22.814,"Y","K",67,74.401,47,76.203,78,21.09,73.13,"Class3"
13.447,7.339,"X","H",73,69.645,24,57.939,75,26.834,77.182,"Class3"
18.092,30.062,"S","W",67,56.853,42,71.094,65,35.143,71.006,"Class3"
80.484,54.661,"L",NA,1,88.835,43,40.175,53,17.582,64.392,"Class2"
105.001,13.611,"K","N",40,0.54,81,27.763,66,28.481,49.467,"Class1"
77.256,39.39,"T","Z",0,91.2,55,32.368,85,17.345,17.321,"Class2"
24.133,24.542,"Y","I",62,64.49,36,62.822,67,61.71,59.871,"Class3"
79.652,55.321,"L","H",20,72.972,38,42.394,35,17.636,23.662,"Class2"
19.61,53.909,"F","K",66,64.943,32,77.747,64,31.82,72.408,"Class3"
58.583,4.615,"E","G",40,19.279,72,8.328,47,23.547,76.42,"Class1"
24.598,30.952,"F","H",79,66.766,36,54.846,75,45.975,83.562,"Class3"
8.85,59.332,"Y","H",62,51.706,35,75.391,64,41.165,75.917,"Class3"
81.367,34.795,"T","H",25,77.598,38,45.734,27,17.458,55.883,"Class2"
7.593,40.085,"X","W",75,54.513,32,66.159,78,25.449,67.531,"Class3"
11.664,46.105,"S","H",75,73.062,29,58.771,79,54.858,80.073,"Class3"
9.105,37.344,"Y","W",76,59.548,35,71.54,65,23.479,62.974,"Class3"
23.128,24.106,"E","G",38,16.662,64,44.524,56,48.179,64.73,"Class1"
18.964,20.287,"Q","B",40,9.076,61,33.525,65,36.16,49.421,"Class1"
76.32,56.612,"U","H",22,83.508,36,52.76,22,17.669,27.39,"Class2"
71.522,18.193,"T","D",37,16.086,81,37.751,42,23.216,46.88,"Class1"
5.444,38.056,"Y","P",66,75.25,33,68.504,68,37.973,78.208,"Class3"
78.766,29.312,"U","G",23,77.874,37,30.563,21,16.347,48.463,"Class2"
46.456,11.744,"K","F",38,21.888,70,30.958,50,32.306,26.976,"Class1"
61.903,2.417,"Q","G",35,-3.96,84,14.726,67,35.271,53.998,"Class1"
3.181,47.32,"F","I",69,56.072,33,67.164,79,24.999,71.971,"Class3"
21.282,18.93,"Y","K",73,76.482,25,65.115,66,44.869,71.799,"Class3"
5.156,19.767,"E","N",39,4.407,71,24.896,49,27.917,33.565,"Class1"
78.303,18.502,"U","Z",7,91.586,56,41.919,22,16.312,10.679,"Class2"
7.6,70.263,"S","H",66,50.251,25,68.001,65,60.291,60.452,"Class3"
60.045,10.03,"K","D",36,-0.757,71,34.315,19,46.527,90.317,"Class1"
22.367,58.719,"X","I",68,58.407,28,65.289,80,25.308,62.427,"Class3"
58.62,21.117,"K","F",37,15.429,82,9.914,21,13.024,25.332,"Class1"
10.679,65.002,"Y","H",75,73.194,40,63.564,62,60.66,60.206,"Class3"
24.866,19.622,"Y","P",75,63.518,25,66.085,70,24.791,65.449,"Class3"
11.711,20.2,"Q","G",39,7.708,58,41.106,69,41.724,67.871,"Class1"
16.517,49.852,"X","W",61,66.575,41,49.579,67,48.4,72.022,"Class3"
78.937,32.294,"D","H",13,79.268,55,52.088,21,16.547,69.192,"Class2"
79.245,30.341,"D","G",24,89.766,52,38.017,78,16.563,12.366,"Class2"
87.401,38.653,"T","Q",22,84.509,32,23.672,56,17.207,62.434,"Class2"
68.924,5.472,"T","B",38,17.642,79,33.343,37,49.557,75.25,"Class1"
78.654,55.825,"U","W",NA,77.057,46,48.404,68,17.171,59.528,"Class2"
67.751,12.045,"K","N",39,10.973,58,5.512,83,30.11,46.058,"Class1"
