"Output5","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11"
"Class2","P",90,40.541,47.038,"H",44,88.503,27.467,72.722,48,52
"Class3","Z",69.984,52.558,8.725,"N",58,63.384,48.79,32.899,74,19
"Class2","C",82.799,70.068,58.649,"A",39,79.731,26.958,48.027,77,54
"Class2","A",76.042,43.398,46.788,"K",39,91.447,21.409,73.201,47,55
"Class1","P",71.468,18.882,89.931,"D",65,83.15,53.764,15.143,23,13
"Class2","P",91.789,52.955,47.019,"Q",38,48.962,25.467,13.269,54,52
"Class1","Q",71.699,38.166,90.059,"U",42,65.446,47.709,45.94,31,3
"Class1","E",70.965,27.423,92.838,"D",68,80.302,33.41,32.724,21,10
"Class3","Z",69.731,44.646,34.068,"E",73,54.125,64.039,53.96,20,36
"Class1","E",71.227,29.736,89.743,"Y",49,77.14,51.811,40.405,32,11
"Class2","A",84.16,76.104,46.292,"K",42,84.677,18.881,31.581,50,59
"Class2","R",85.216,48.139,47.715,"A",46,60.953,21.924,12.45,77,61
"Class3","Z",67.227,70.735,20.761,"E",62,55.217,50.903,56.444,35,16
"Class2","D",85.927,48.595,54.605,"Q",36,53.336,15.068,35.168,77,60
"Class1","P",71.211,34.313,91.864,"Y",58,66.226,54.319,53.856,24,13
"Class1","H",71.34,37.61,88.682,"G",78,76.664,45.981,46.476,28,5
"Class2","R",82.116,40.691,54.638,"H",43,70.733,12.415,60.976,80,51
"Class1","H",71.201,47.187,90.421,"N",82,73.961,53.113,64.743,25,11
"Class1","Q",71.859,10.462,93.294,"U",84,81.852,35.166,82.43,22,8
"Class3","X",71.033,87.639,32.272,"E",65,68.869,67.347,29.598,68,64
"Class1","F",71.477,26.331,88.812,"U",55,78.722,29.737,72.23,22,6
"Class2","P",78.648,43.589,48.27,"U",40,63.037,4.432,83.171,85,59
"Class2",NA,80.997,44.5,59.036,"A",42,78.229,24.454,20.177,47,51
"Class3","Z",68.901,93.255,33.958,"A",74,64.916,64.642,56.926,59,41
"Class2","C",85.158,58.287,48.042,"H",42,47.088,22.025,59.509,61,54
"Class1","E",71.749,19.993,93.688,"Y",58,72.584,45.012,73.801,20,13
"Class1","E",71.477,41.073,91.577,"Y",61,68.324,40.993,60.944,25,9
"Class3","J",68.841,84.948,8.39,"L",57,78.292,65.904,57.102,81,36
"Class1","Q",72.019,34.849,90.799,"D",54,83.477,42.953,18.621,23,14
"Class3","Z",71.43,69.837,19.58,"O",67,46.038,71.33,47.389,38,NA
"Class2",NA,79.78,58.342,53.662,"K",42,80.478,24.528,55.445,68,51
"Class2","A",74.149,75.552,51.57,"Q",40,44.485,3.694,76.494,38,52
"Class2","D",90.389,61.025,52.736,"A",39,83.679,16.101,84.921,67,58
"Class2","D",81.551,54.243,57.247,"K",38,72.721,9.567,52.341,73,52
"Class2","D",79.07,46.03,49.891,"K",39,67.539,11.388,68.457,35,59
"Class2","C",83.317,67.453,57.126,"U",36,87.488,9.447,78.655,98,55
"Class2","R",70.64,44.81,49.206,"A",39,78.775,29.168,14.333,76,61
"Class2","A",76.43,54.653,59.351,"H",43,60.356,24.643,31.852,60,54
"Class3","C",70.072,95.513,31.05,"O",81,56.635,41.027,29.879,57,15
"Class1","F",72.124,35.484,87.491,"D",47,78.192,40.502,94.205,23,8
"Class1","E",71.574,13.465,87.734,"D",81,68.287,30.882,14.367,20,3
"Class1","F",70.95,32.683,89.506,"U",66,74.971,53.211,52.26,24,NA
"Class1","F",70.748,39.569,91.104,"G",61,79.21,54.252,49.54,26,12
"Class1","F",71.103,23.348,89.535,"Y",62,72.062,34.982,36.121,23,10
"Class1","Q",71.3,57.922,89.971,"U",65,74.832,46.872,59.904,24,10
"Class1","P",71.307,50.564,93.84,"D",47,77.498,25.751,45.54,23,NA
"Class2","P",86.599,62.078,56.533,"K",39,78.226,6.503,17.329,42,57
"Class2","P",85.328,52.99,53.29,"A",41,102.169,23.589,65.761,38,53
"Class3","J",69.728,63.924,5.27,"E",74,66.732,37.719,49.508,67,68
"Class1","H",71.371,26.679,88.3,"Y",87,61.426,26.119,37.834,32,8
"Class1","Q",71.355,51.63,90.536,"Y",47,71.572,35.226,14.824,29,6
"Class1","Q",71.844,54.217,92.065,"G",73,84.34,54.781,76.104,22,3
"Class3",NA,70.372,74.025,12.442,"E",75,67.918,57.86,50.533,64,21
"Class3","E",68.044,54.103,32.368,"O",66,48.223,53.544,48.519,75,45
"Class1","E",71.764,37.76,87.38,"D",77,75.113,36.849,84.806,22,8
"Class1","F",71.109,32.65,93.681,"U",83,69.103,46.573,15.219,23,9
"Class3","Z",67.759,73.817,24.938,"O",59,63.4,55.235,52.245,29,77
"Class2","C",91.04,77.636,51.011,"U",40,66.767,7.379,17.393,39,56
"Class1","E",71.668,42.05,87.582,"N",71,69.754,44.751,71.874,29,6
"Class3","E",67.184,60.127,29.939,"L",61,61.931,58.628,42.002,46,42
"Class3","E",69.243,60.886,12.174,"A",78,60.434,44.453,45.479,77,22
"Class1","E",71.253,31.224,88.889,"U",85,74.439,40.879,28.612,28,14
"Class3",NA,71.279,56.935,10.277,"O",62,55.746,59.583,37.437,68,37
"Class2","C",79.089,53.829,52.583,"A",44,67.231,6.966,41.658,49,53
"Class3","C",72.099,46.214,30.981,"A",77,66.58,69.968,31.707,47,26
"Class2","A",78.139,86.247,55.398,"U",37,71.514,7.693,55.338,80,57
"Class2","A",60.798,40.976,50.085,"K",45,81.424,12.115,11.763,72,53
"Class1",NA,71.748,40.303,91.307,"U",56,71.129,31.784,70.087,25,11
"Class1","F",71.413,51.051,87.41,"D",87,51.295,49.829,49.361,23,13
"Class3","J",74.557,71.58,2.511,"O",77,79.613,47.388,46.848,19,28
"Class3","Z",70.768,61.63,30.473,"L",81,63.825,41.386,50.197,66,82
"Class3",NA,69.058,78,22.726,"E",64,62.234,65.618,45.247,35,68
"Class2","R",86.979,48.021,48.334,"A",43,124.516,15.126,72.951,61,60
"Class1","P",71.77,33.725,90.267,"D",55,69.765,57.786,34.998,29,NA
"Class2","P",68.135,37.754,59.939,"U",38,116.327,4.04,59.502,69,59
"Class3","E",70.701,83.095,26.902,"E",58,65.445,54.993,44.653,18,39
"Class2","P",94.837,41.914,56.815,"U",41,75.721,19.556,22.288,44,61
"Class3","Z",67.332,63.172,21.512,"A",82,68.423,58.934,30.599,78,NA
"Class1",NA,71.271,41.216,92.968,"G",81,81.371,43.204,42.438,27,8
"Class1","E",72.435,50.767,92.22,"N",69,78.906,35.059,93.313,31,7
"Class1",NA,71.2,46.678,89.005,"N",68,80.777,37.545,52.216,22,9
"Class1","H",70.317,35.999,88.859,"U",71,83.824,42.95,59.108,22,6
"Class1","E",71.66,37.209,87.723,"U",59,69.216,38.891,17.534,22,4
"Class2","P",81.52,47.464,52.921,"A",41,55.935,6.418,48.432,91,NA
"Class2","A",83.975,41.142,52.656,"H",40,47.815,26.44,84.526,70,57
"Class3","C",69.097,44.903,29.154,"E",82,64.421,50.556,40.181,18,38
"Class2","A",82.869,57.155,50.589,"A",41,63.085,19.754,27.481,76,56
"Class2","A",90.81,59.758,53.538,"U",40,55.662,3.641,59.6,69,58
"Class3","J",69.4,85.784,14.222,"A",81,54.908,54.958,55.057,67,56
"Class1","H",71.615,56.992,91.133,"N",65,78.738,57.255,47.183,32,10
"Class3","J",69.176,47.36,30.008,"A",74,85.735,40.543,32.16,86,28
"Class3","E",70.935,64.9,33.091,"O",68,67.372,41.983,40.484,65,22
"Class3","C",68.632,63.385,13.963,"N",71,52.838,67.037,50.078,18,19
"Class3","Z",69.576,70.511,13.839,"L",59,55.826,55.081,33.095,52,75
"Class3","Z",69.119,77.509,33.21,"N",58,77.339,39.754,41.755,56,57
"Class3","J",71.557,79.081,26.312,"A",79,61.68,53.724,45.768,85,32
"Class2","A",80.253,60.71,47.634,"U",44,47.45,7.06,17.874,84,59
"Class2","D",75.813,49.724,47.15,"Q",36,63.705,6.628,9.404,59,60
"Class1","H",71.979,22.937,93.422,"G",64,78.08,49.939,26.08,27,13
"Class1",NA,71.989,35.834,92.742,"U",56,72.703,58.761,84.11,27,3
"Class3","C",66,56.355,33.927,"L",66,62.364,42.561,57.094,34,73
"Class2","D",79.187,45.71,52.934,"Q",46,39.216,12.246,17.661,61,53
"Class2",NA,70.162,49.859,48.758,"A",36,66.063,30.7,54.575,52,59
"Class1","P",71.584,18.612,91.008,"Y",64,81.682,26.722,20.467,21,3
"Class3","X",68.226,69.286,24.431,"N",70,64.29,64.775,39.801,89,62
"Class3","X",73.629,59.773,31.608,"E",80,76.793,49.285,46.222,60,74
"Class1","F",71.351,48.749,91.667,"D",69,57.865,46.552,92.355,24,7
"Class1","Q",71.894,16.382,88.225,"D",84,71.797,34.142,55.741,21,6
"Class2","P",77.389,63.924,56.997,"A",38,56.248,18.58,30.091,83,61
"Class2","C",83.148,83.026,50.898,"U",43,55.401,14.288,26.315,92,59
"Class3","X",71.546,55.166,16.765,"L",68,73.818,47.578,37.267,20,65
"Class2","C",91.07,57.352,51.446,"A",42,75.438,8.69,13.513,33,NA
"Class3","X",65.748,73.827,35.582,"E",77,78.473,54.114,35.593,84,51
"Class1","E",71.364,36.001,89.263,"D",45,64.171,45.795,71.615,20,13
"Class2","C",85.539,50.976,54.649,"H",39,11.231,4.091,11.415,60,51
"Class1","F",72.023,28.196,87.507,"G",52,83.414,42.798,68.454,31,10
"Class2","P",72.755,50.407,55.029,"H",43,96.88,10.637,42.14,72,52
"Class3","X",66.633,55.795,9.882,"L",76,64.029,61.111,54.779,34,22
"Class3","X",65.839,104.924,21.996,"A",66,52.446,46.402,58.09,70,55
"Class2","A",85.969,57.764,58.84,"U",46,93.971,17.555,81.026,59,52
"Class1","P",71.409,36.53,91.661,"Y",71,67.227,47.635,87.401,20,10
"Class1","Q",71.631,26.162,89.525,"D",74,88.237,59.094,22.194,26,12
"Class3","Z",69.721,80.328,16.214,"O",75,64.744,70.242,39.443,26,23
"Class3","E",70.961,71.122,18.147,"A",65,59.953,57.304,54.413,19,74
"Class1","E",71.287,16.471,87.242,"N",41,69.829,59.553,37.355,28,9
"Class1","F",71.853,31.127,93.696,"D",69,78.747,33.039,64.552,29,11
"Class2","D",83.715,60.759,56.584,"H",46,86.725,24.991,32.814,64,55
"Class3","Z",68.554,70.273,5.902,"A",59,68.599,44.169,52.024,58,36
"Class2","A",80.33,70.395,49.033,"A",38,74.426,20.49,17.044,86,60
"Class3","J",73.704,73.86,16.404,"N",78,63.991,50.702,47.194,80,56
"Class1","F",71.184,40.183,90.709,"G",83,71.344,51.914,63.959,20,12
"Class1","H",72.002,58.11,93.412,"N",81,73.381,32.513,57.731,26,3
"Class3","Z",73.442,77.496,34.273,"L",58,60.944,37.065,50.421,75,65
"Class2","D",72.256,60.096,59.069,"Q",43,69.044,30.805,23.759,66,NA
"Class2",NA,81.444,57.258,57.963,"K",39,57.796,27.345,36.535,68,57
"Class3","C",66.707,87.391,30.876,"O",69,63.392,69.382,37.325,20,69
"Class3","J",68.931,84.992,33.798,"N",59,57.155,54.512,44.17,81,NA
"Class3","E",71.543,82.878,5.458,"A",60,70.828,48.382,32.319,55,40
"Class1","F",71.819,34.971,93.867,"Y",76,75.004,27.624,55.524,20,10
"Class1","H",71.474,28.487,91.97,"N",52,74.803,46.001,47.442,26,8
"Class1","F",70.99,15.42,92.063,"N",87,59.734,41.258,17.064,23,9
"Class1","Q",71.308,47.075,91.711,"N",82,86.036,27.451,27.527,31,9
"Class3","Z",71.516,66.491,24.495,"L",62,50.4,37.484,48.205,73,76
"Class1",NA,71.43,27.99,89.253,"Y",46,59.261,38.571,38.254,22,3
"Class2","D",77.441,47.708,55.349,"H",39,80.554,22.948,81.445,50,59
"Class2","P",83.078,43.09,53.717,"K",41,46.645,28.182,68.862,57,52
"Class1","H",70.942,61.773,87.018,"G",62,73.381,40.497,32.55,23,NA
"Class3","X",68.28,65.901,0.102,"N",77,71.153,52.344,44.289,51,70
"Class1","H",71.239,51.616,90.268,"Y",55,82.724,26.126,65.735,23,13
"Class3","J",68.493,90.333,20.621,"O",71,71.51,48.54,32.838,73,69
"Class2","C",76.999,44.037,50.167,"A",45,77.542,21.562,21.97,46,59
"Class2","P",89.518,65.855,51.126,"Q",39,74.035,3.898,39.925,85,56
"Class3","Z",64.594,30.242,20.436,"N",75,83.518,58.991,29.451,36,20
"Class1","F",71.541,18.166,87.875,"U",39,89.129,43.176,81.088,30,5
"Class2","A",81.075,31.608,53.741,"K",46,100.729,3.676,79.639,44,53
"Class1","P",71.717,32.984,87.141,"G",70,65.966,29.031,45.94,29,10
"Class3","X",71.8,113.821,0.415,"N",58,64.744,59.856,46.33,76,56
"Class3","C",68.462,59.511,32.907,"L",60,63.273,38.986,29.458,49,27
"Class3","Z",69.971,67.05,20.32,"A",72,46.089,48.7,54.505,89,29
"Class1","F",71.978,46.941,89.487,"N",39,48.823,55.943,45.538,32,13
"Class2","D",85.246,46.392,58.641,"K",38,76.2,7.596,77.019,65,52
"Class3","J",69.372,68.045,4.838,"N",60,63.913,42.766,41.7,46,21
"Class3","X",70.932,67.014,14.452,"E",62,73.351,37.989,35.524,57,72
"Class1","F",71.863,48.078,90.887,"Y",88,68.202,45.291,90.273,23,10
"Class1","H",71.885,55.439,91.163,"Y",59,73.228,37.895,66.005,23,11
"Class3","E",70.734,53.028,8.312,"N",58,66.745,54.022,39.813,40,45
"Class1","F",71.546,22.347,87.869,"Y",72,66.993,26.656,70.015,21,12
"Class3","Z",68.908,68.981,15.406,"N",60,62.86,61.915,32.892,31,16
"Class1","H",71.38,29.582,92.524,"Y",70,70.19,44.649,33.401,32,4
"Class3","X",65.637,48.009,18.284,"L",57,70.254,46.665,41.382,87,78
"Class1","P",71.377,52.077,88.21,"N",63,62.008,35.591,84.252,31,6
"Class3","E",68.612,82.224,12.017,"N",69,63.012,41.416,57.705,42,55
"Class2","A",72.402,35.811,56.491,"H",42,69.879,13.082,84.32,74,51
"Class1","E",71.628,46.048,87.162,"N",76,80.235,26.935,59.854,26,12
"Class2","P",81.636,45.458,48.991,"A",37,85.517,23.225,58.885,79,58
"Class2","D",84.31,56.673,59.932,"Q",44,64.443,26.873,76.106,40,56
"Class3","Z",67.486,73.258,22.365,"E",81,71.832,49.608,52.479,30,62
"Class3","C",68.75,90.898,8.007,"O",58,73.54,70.648,47.377,19,21
"Class2","A",78.486,66.729,57.511,"K",42,33.965,18.705,15.749,86,60
"Class2","D",98.851,58.202,58.289,"U",39,65.43,3.459,60.329,45,55
"Class1",NA,71.601,14.389,93.705,"N",77,72.776,28.478,36.951,25,8
"Class2","D",86.141,37.689,57.299,"H",36,70.837,9.996,20.649,78,59
"Class3","E",69.582,79.223,16.658,"A",61,83.654,64.241,52.345,63,19
"Class3","Z",66.819,60.819,1.983,"L",81,67.19,68.25,38.626,64,27
"Class3",NA,68.291,70.32,26.564,"O",78,50.735,42.829,57.88,37,68
"Class3","J",68.365,60.564,0.725,"L",77,73.642,56.771,40.768,86,22
"Class1","E",71.305,10.723,91.18,"N",77,65.918,39.366,79.334,21,6
"Class1","F",72.08,48.632,87.84,"G",68,84.859,41.698,54.855,28,10
"Class1","P",71.728,73.266,87.694,"G",62,80.834,50.906,24.099,21,13
"Class3","X",67.769,93.282,8.359,"L",61,60.975,51.199,33.394,27,46
"Class3","C",67.527,71.583,0.043,"A",77,71.48,48.254,36.889,42,22
"Class3","X",72.049,102.195,3.237,"L",75,58.641,43.845,48.526,38,60
"Class1","Q",71.213,42.131,88.546,"N",84,73.072,30.794,56.383,27,7
"Class2","A",60.215,52.4,49.259,"K",46,51.462,26.619,70.21,62,56
"Class1","H",71.447,22.705,90.518,"D",53,79.49,59.33,77.677,24,NA
"Class1","P",70.757,42.9,87.031,"N",68,85.808,56.149,91.582,21,8
"Class3","E",74.196,85.381,11.716,"A",79,70.375,40.508,52.961,66,55
"Class3","J",69.521,64.47,34.061,"E",80,64.705,62.115,53.73,47,64
"Class1","F",71.953,59.836,92.056,"U",62,83.845,59.979,44.969,27,13
"Class2","R",71.678,45.594,56.761,"K",40,77.168,16.664,72.831,41,61
"Class3","X",70.438,89.522,4.497,"L",60,67.302,52.226,53.341,28,47
"Class2","R",85.038,38.199,56.193,"U",36,80.389,26.733,65.182,40,58
"Class1","F",71.943,44.004,90.049,"D",72,72.198,57.788,81.708,20,8
"Class3","X",69.292,73.808,29.773,"A",61,67.503,38.103,42.004,69,24
"Class3","E",66.756,95.422,19.319,"L",59,50.27,58.481,47.835,62,54
"Class2","D",68.773,58.985,48.554,"Q",38,105.516,27.854,81.91,43,51
"Class2","C",87.789,56.941,53.841,"A",41,70.245,22.624,50.811,79,61
"Class1","P",71.212,31.742,88.87,"G",59,82.187,56.285,44.971,27,14
"Class1","H",71.704,41.063,89.87,"G",52,87.244,53.466,37.907,21,9
"Class3","E",65.824,56.694,13.951,"A",71,53.087,59.006,31.33,88,24
"Class1","H",71.762,14.206,93.052,"G",60,71.075,41.369,17.383,26,14
"Class2","P",92.96,39.643,55.512,"A",43,53.554,5.108,13.194,33,52
"Class1","Q",71.551,34.01,89.713,"D",78,74.121,36.143,22.942,28,10
"Class2","R",84.639,63.348,51.431,"A",41,70.597,9.782,69.624,73,52
"Class2","D",85.83,37.717,56.883,"Q",44,81.98,11.539,81.508,53,58
"Class2","R",76.814,76.775,50.449,"A",45,50.801,21.498,11.869,85,56
"Class3","X",68.963,64.575,35.76,"A",64,54.892,40.146,57.057,54,21
"Class2","R",76.189,46.1,52.523,"A",44,96.343,18.93,27.625,38,57
"Class2","R",85.64,47.709,54.128,"K",46,38.145,19.917,32.822,75,58
"Class1","P",71.043,43.554,87.388,"D",42,76.285,57.183,47.425,25,13
"Class1",NA,71.122,46.375,90.826,"U",40,74.756,59.002,85.971,27,4
"Class1","H",71.813,26.085,90.344,"N",46,75.083,25.414,72.141,32,5
"Class1","Q",71.589,30.122,87.751,"Y",64,77.055,54.408,92.229,21,3
"Class1","E",71.729,27.683,88.586,"G",41,77.588,33.757,56.718,22,4
"Class3","E",65.702,72.239,15.261,"N",80,67.505,65.877,56.475,80,36
"Class2","A",86.933,51.082,58.533,"K",36,63.566,23.163,37.277,89,52
"Class3","J",68.8,96.75,11.507,"A",62,67.431,51.874,40.568,53,NA
"Class3","C",69.404,81.784,0.551,"A",60,69.118,52.711,56.683,41,26
"Class3","C",74.513,93.986,18.715,"E",71,62.936,50.906,46.525,76,45
"Class1","E",71.515,68.725,88.8,"G",60,71.554,42.759,38.795,27,13
"Class1","P",71.917,36.487,88.557,"N",54,70.406,52.051,68.931,20,9
"Class3","C",66.634,84.422,9.631,"L",69,53.674,63.863,30.352,74,17
"Class2","C",78.086,49.995,48.202,"H",39,38.625,2.826,40.065,75,52
"Class2","A",68.567,63.459,59.091,"K",39,42.592,15.517,11.889,85,59
"Class1","P",71.285,11.333,88.119,"G",70,89.361,45.708,42.64,24,14
"Class2","P",71.437,45.196,47.313,"H",41,102.935,22.218,77.611,85,51
"Class2","C",94.604,65.057,54.581,"H",36,83.221,7.912,28.939,93,55
"Class3","Z",70.162,68.368,7.105,"N",76,64.175,63.975,46.672,15,40
"Class1","Q",71.159,22.218,87.917,"N",83,67.68,46.501,71.837,30,3
"Class2","R",83.875,51.409,52.917,"K",37,123.236,29.361,16.704,74,NA
"Class3","E",67.938,64.313,21.208,"L",80,56.263,67.32,41.663,77,55
"Class1","P",71.641,54.918,88.872,"Y",46,58.635,45.467,79.009,22,14
"Class3","X",70.971,53.348,20.539,"E",62,74.702,52.431,52.196,54,54
"Class2","P",75.037,55.685,55.603,"U",44,88.05,20.823,35.954,51,NA
"Class3","J",67.644,105.477,29.234,"A",64,58.183,52.636,34.983,39,81
"Class2","C",78.935,58.917,59.643,"K",38,53.549,14.439,38.701,57,59
"Class1","H",71.425,32.934,88.768,"G",39,66.788,58.288,17.714,22,8
"Class1","P",71.856,27.204,88.111,"G",51,71.073,27.014,55.097,30,3
"Class1","P",71.097,71.648,93.249,"D",65,62.694,28.205,59.858,25,4
"Class3","C",67.62,74.482,32.299,"A",65,62.862,71.453,41.604,43,NA
"Class1","E",71.311,23.596,90.344,"D",71,71.6,55.948,68.871,23,9
"Class2","A",88.251,55.567,49.956,"A",43,94.398,23.632,14.476,62,60
"Class2","P",76.284,53.576,49.854,"A",39,103.046,16.884,71.076,49,54
"Class2","R",97.249,54.43,46.361,"H",38,75.497,15.694,44.768,79,51
"Class3","C",70.141,66.061,8.003,"E",79,62.818,70.963,38.29,49,75
"Class3","E",71.151,85.873,20.098,"E",75,50.618,69.753,44.871,66,46
"Class3","J",68.605,50.476,22.332,"O",69,66.601,64.61,29.41,41,69
"Class2","D",89.679,30.553,49.456,"U",43,86.153,30.004,24.151,79,59
"Class3","E",71.131,79.992,34.366,"L",68,61.458,55.969,43.627,69,41
"Class2","P",75.606,60.022,46.844,"H",45,96.309,23.235,16.795,44,58
"Class1","Q",71.369,24.654,91.286,"U",61,80.961,59.851,80.195,32,7
"Class3","E",67.94,89.139,22.746,"L",64,55.144,58.356,40.747,52,28
"Class1","H",71.579,45.914,93.539,"N",59,75.815,40.704,21.122,26,8
"Class3","Z",71.77,53.662,31.495,"E",59,75.952,71.863,29.031,79,21
"Class1","E",71.405,22.858,93.639,"U",64,64.657,27.354,75.794,26,9
"Class3",NA,72.368,76.232,25.616,"N",78,68.662,57.921,34.964,73,66
"Class1","P",71.157,25.752,90.914,"Y",71,78.256,48.16,65.369,24,4
"Class2","D",76.008,57.778,56.636,"Q",46,71.281,21.194,58.71,94,58
"Class2","C",85.685,48.068,49.387,"U",40,66.364,22.995,26.155,89,52
"Class2","P",77.736,62.085,53.661,"A",36,104.661,28.821,8.965,65,52
"Class2","D",76.62,57.061,50.223,"Q",44,37.838,19.109,31.992,34,NA
"Class3","E",67.847,83.769,32.818,"O",67,59.818,39.806,57.482,46,37
"Class2","A",83.164,64.819,58.699,"A",38,54.752,23.036,12.372,53,61
"Class1","E",71.571,55.87,88.149,"Y",83,72.872,49.211,36.77,25,6
"Class1","F",71.645,30.96,90.116,"U",59,79.722,54.035,54.381,32,NA
"Class2","D",77.544,65.642,59.151,"A",43,66.932,23.478,56.963,53,57
"Class1","F",71.407,43.269,88.503,"G",84,68.465,37.576,46.84,29,11
"Class3","E",66.974,89.723,24.313,"L",65,56.792,39.774,41.646,68,62
"Class3","C",70.904,46.943,27.411,"L",68,55.754,42.894,41.98,45,26
"Class3","E",67.896,69.608,11.616,"E",63,67.657,37.761,42.717,53,53
"Class1","E",71.61,27.827,90.566,"N",50,75.159,45.762,75.054,30,8
"Class1","P",71.11,34.032,89.807,"U",81,63.65,32.947,89.867,20,7
"Class2","R",76.578,51.169,51.708,"H",36,68.734,28.593,33.684,82,57
"Class3","X",67.725,89.738,18.582,"A",66,62.931,44.51,35.162,83,77
"Class2","C",76.653,63.627,49.921,"Q",44,13.097,16.84,71.275,43,54
"Class3",NA,64.478,84.203,13.757,"L",73,72.602,43.069,31.895,79,44
"Class1","H",71.875,39.088,88.949,"U",51,62.02,41.913,45.926,30,11
"Class1","H",71.273,28.297,89.562,"G",44,86.096,47.878,34.815,30,5
"Class1","E",71.169,42.531,87.203,"U",82,79.018,37.743,63.376,24,7
"Class1","F",71.498,33.306,87.658,"Y",69,69.892,39.416,24.189,25,NA
"Class3","X",67.65,60.125,18.34,"L",74,70.94,41.974,42.077,73,79
"Class2","P",96.802,54.848,55.325,"A",43,68.239,16.813,35.277,86,55
"Class2","A",92.752,39.427,51.42,"Q",46,65.747,7.245,19.085,48,59
"Class3","J",72.144,69.23,8.021,"L",67,70.48,37.264,49.999,34,NA
"Class1","P",71.532,34.393,89.87,"U",84,75.051,44.79,22.873,32,12
"Class2","R",76.094,54.191,47.17,"K",38,63.121,29.24,18.413,88,56
"Class2",NA,80.88,45.435,51.219,"H",45,91.42,4.832,11.04,94,52
"Class1","E",71.569,17.445,91.662,"U",74,63.978,29.101,79.011,22,11
"Class2","C",99.081,63.465,52.716,"U",40,92.112,18.156,69.039,35,57
"Class2",NA,81.328,45.962,57.077,"K",45,67.077,28.368,35.707,84,58
"Class2","A",81.891,66.627,53.729,"U",40,45.441,17.895,65.972,39,54
"Class1","Q",70.935,60.141,92.531,"G",68,69.224,32.663,23.737,28,11
"Class2","D",75.505,44.065,59.977,"U",39,74.463,17.757,72.135,83,54
"Class2","P",77.882,49.503,46.201,"K",42,70.696,30.928,56.77,48,55
"Class2","D",79.345,52.23,50.587,"A",36,52.238,8.797,81.656,61,51
"Class2","A",91.041,64.896,59.991,"U",44,50.47,28.943,52.085,83,53
"Class1","E",71.607,37.599,93.929,"G",51,70.095,33.027,54.265,29,3
"Class1","F",71.757,17.135,87.12,"G",80,73.557,39.806,16.438,28,NA
"Class2",NA,91.797,31.967,54.038,"A",42,65.248,18.538,80.823,98,57
"Class2",NA,88.927,70.473,51.847,"A",44,59.384,12.61,16.512,92,56
"Class3","X",67.844,85.401,15.084,"E",73,56.543,41.167,49.957,36,41
"Class3","C",74.961,88.734,22.067,"O",75,51.405,63.69,30.133,65,37
"Class2","A",80.439,45.881,47.336,"A",45,68.276,23.258,56.436,37,60
"Class2","P",78.383,57.953,51.006,"U",45,86.03,22.262,64.03,34,58
"Class2","R",89.684,44.619,50.981,"U",43,89.798,5.738,52.99,38,59
"Class3","E",71.185,66.882,18.311,"O",69,67.366,42.7,42.349,16,44
