"C1","C2","Output2","C3","C4","C5","C6","C7","C8","C9","C10","C11"
"C",79.366,"Class1",84.27,"Q",52,41.303,61,46.385,29.253,81,21.317
"Z",39.123,"Class3",85.213,"G",34,55.988,59,58.605,73.629,81,74.927
"E",85.04,"Class1",23.417,"X",53,43.466,47,71.018,24.225,58,37.599
"I",17.921,"Class2",90.097,"A",74,47.311,42,61.987,59.708,11,26.032
"P",44.965,"Class3",84.994,"B",44,45.398,46,15.657,82.02,85,79.831
"P",48.34,"Class3",88.064,"F",34,61.289,56,25.289,86.551,76,58.698
"Z",37.098,"Class3",85.532,"K",35,49.785,50,18.073,72.342,49,34.316
"M",89.887,"Class1",9.364,"C",51,31.588,36,74.378,23.593,26,43.375
"Z",44.37,"Class3",84.31,"F",45,46.089,35,48.358,64.553,34,78.116
"P",58.069,"Class3",86.949,"K",29,51.931,45,46.787,62.348,80,84.602
"N",73.479,"Class1",39.413,"Q",52,37.503,41,56.129,26.44,37,50.486
"C",75.864,"Class1",9.333,"Q",52,38.883,39,44.046,23.956,78,27.856
"Z",57.737,"Class3",86.715,"F",43,48.695,44,18.104,45.667,41,32.137
"C",86.699,"Class1",15.512,"Y",53,47.832,81,33.936,23.667,76,55.949
"A",41.026,"Class3",83.449,"B",44,60.262,50,5.109,72.994,82,27.541
"Y",78.975,"Class1",37.536,"Q",51,37.362,72,75.398,26.913,29,58.625
"C",43.13,"Class3",85.339,"F",44,64.788,53,85.693,83.698,89,24.388
"O",47.575,"Class3",86.167,"D",32,77.758,43,62.01,43.735,35,36.642
"E",19.449,"Class2",92.118,"U",81,59.206,20,71.794,55.42,78,28.99
"A",49.631,"Class3",84.763,"D",43,40.839,43,72.628,42.363,33,62.203
"Y",81.677,"Class1",54.272,"G",53,39.661,70,54.943,27.935,41,15.98
"P",37.405,"Class3",84.563,"D",34,68.139,54,21.813,80.279,66,89.915
"C",44.057,"Class3",85.554,"G",43,67.915,38,12.422,55.814,73,67.682
"E",20.718,"Class2",98.037,"A",78,37.745,34,63.995,18.078,52,26.741
"O",38.742,"Class3",84.075,"F",26,51.449,40,21.915,45.229,88,54.603
"N",76.924,"Class1",75.727,"Q",53,51.664,68,38.315,28.386,45,38.961
"A",47.58,"Class3",87.087,"F",30,35.306,57,NA,86.921,83,25.453
"A",53.239,"Class3",86.172,"G",44,64.877,59,7.557,57.347,30,36.147
"P",44.139,"Class3",85.657,"B",34,58.654,52,82.165,65.128,38,80.626
"C",86.024,"Class1",76.854,"Q",52,44.111,82,80.299,29.792,38,62.196
"Y",18.51,"Class2",89.126,"G",79,41.147,28,67.626,42.852,12,26.79
"E",18.591,"Class2",102.309,"H",80,63.71,65,78.625,66.897,62,28.661
"Y",88.711,"Class1",10.85,"Q",51,45.931,30,56.592,25.606,41,24.442
"N",82.057,"Class1",6.774,"G",51,47.55,66,57.58,29.102,32,25.725
"M",88.166,"Class1",69.675,"Q",50,38.349,74,62.826,25.194,33,26.425
"C",86.966,"Class1",41.573,"X",52,43.562,46,35.174,23.677,45,30.562
"Y",88.613,"Class1",39.158,"Q",49,44.122,84,68.391,26.515,53,52.08
"P",32.167,"Class3",86.589,"D",NA,38.405,58,34.357,80.279,68,50.087
"E",74.406,"Class1",76.349,"C",52,41.027,76,62.443,24.6,31,48.109
"A",44.452,"Class3",84.771,"D",28,50.911,47,30.411,48.299,69,78.569
"N",76.561,"Class1",14.773,"C",53,48.566,72,41.402,25.012,31,15.664
"E",10.159,"Class2",86.94,"A",74,48.293,83,62.246,63.812,74,26.497
"H",19.769,"Class2",84.919,"H",80,43.99,57,66.346,47.093,77,28.524
"I",16.498,"Class2",90.939,"G",74,39.662,81,60.833,15.685,66,26.832
"Y",96.994,"Class1",11.51,"G",49,44.451,15,72.458,27.918,24,22.282
"E",95.608,"Class1",-6.086,"G",53,46.989,63,NA,24.531,53,16.862
"P",31.297,"Class3",87.588,"G",38,76.705,44,80.777,84.223,86,58.01
"N",89.45,"Class1",69.52,"Y",50,40.247,69,69.914,24.199,45,46.323
"Q",6.702,"Class2",88.543,"U",75,55.311,12,76.489,52.509,29,27.711
"C",91.764,"Class1",24.939,"C",49,41.905,35,50.174,23.581,79,50.507
"Y",16.541,"Class2",92.808,"U",74,62.258,74,70.555,69.854,36,28.704
"Y",86.881,"Class1",54.12,"Y",50,36.222,65,65.123,24.804,54,62.99
"Y",21.163,"Class2",77.999,"H",78,47.794,85,NA,29.335,40,28.776
"Q",19.577,"Class2",95.337,"U",74,57.607,70,79.551,39.66,27,28.116
"P",48.199,"Class3",85.083,"D",41,74.186,51,41.376,47.397,46,79.094
"E",13.503,"Class2",89.33,"H",78,46.679,27,64.983,36.209,74,26.709
"Y",19.953,"Class2",102.628,"A",75,35.289,23,67.166,40.812,50,26.944
"P",38.067,"Class3",86.932,"F",40,40.502,52,68.888,51.418,84,26.374
"C",44.849,"Class3",85.98,"D",36,66.556,44,22.737,75.792,51,49.093
"I",17.654,"Class2",91.717,"M",77,66.188,90,79.266,77.568,62,28.036
"Y",12.717,"Class2",86.736,"M",78,31.936,55,72.482,47.853,24,28.23
"Z",58.659,"Class3",83.957,"F",29,56.701,59,86.747,46.108,64,29.55
"Y",86.192,"Class1",26.516,"C",51,35.193,84,NA,23.943,83,44.518
"I",21.086,"Class2",94.715,"U",78,71.899,73,58.749,19.962,35,27.978
"C",48.701,"Class3",85.346,"K",31,51.376,43,12.967,85.896,57,90.628
"C",79.275,"Class1",53.149,"Q",51,51.5,66,47.501,29.502,18,17.747
"Y",87.742,"Class1",32.64,"Q",NA,48.132,50,39.628,29.754,21,75.338
"P",51.726,"Class3",84.966,"G",40,53.978,55,16.366,77.156,89,48.331
"Y",14.514,"Class2",84.896,"M",77,27.226,81,65.046,16.416,15,27.183
"E",92.076,"Class1",83.826,"X",50,36.79,81,34.975,23.834,18,51.073
"O",49.916,"Class3",84.062,"B",44,66.125,39,3.487,47.509,41,23.142
"Y",25.942,"Class2",81.969,"M",76,41.51,86,60.186,76.102,55,28.138
"I",15.896,"Class2",87.429,"A",81,26.959,93,64.782,18.393,66,27.933
"A",43.178,"Class3",84.31,"D",45,62.797,57,82.837,71.737,44,22.768
"E",81.547,"Class1",10.828,"X",50,35.35,41,45.269,23.022,80,63.833
"H",13.483,"Class2",86.541,"H",78,54.493,88,NA,40.109,62,28.986
"Y",89.228,"Class1",60.389,"C",52,36.477,55,82.346,26.084,43,25.575
"Q",22.305,"Class2",96.898,"M",82,39.883,92,75.31,53.999,19,26.313
"Y",12.646,"Class2",88.072,"U",78,62.259,73,73.719,78.43,28,27.743
"E",22.554,"Class2",92.304,"A",81,30.503,29,73.891,63.634,39,28.593
"H",22.602,"Class2",83.701,"M",77,45.175,68,54.395,64.914,58,27.525
"Q",22.538,"Class2",86.572,"M",77,27.336,25,79.791,33.906,51,27.19
"P",36.273,"Class3",85.234,"F",35,63.99,49,71.265,54.475,39,25.752
"C",91.437,"Class1",57.22,"X",52,40.788,74,77.18,25.636,82,42.312
"N",98.489,"Class1",74.377,"Y",52,44.607,38,48.266,24.514,29,59.707
"E",11.601,"Class2",86.426,"G",81,54.379,51,56.461,47.894,16,26.419
"Y",18.213,"Class2",83.565,"A",78,38.128,25,63.899,55.463,78,28.125
"C",47.132,"Class3",86.032,"F",40,56.364,45,11.839,82.087,80,79.028
"Z",34.351,"Class3",86.061,"F",32,73.572,52,61.375,50.588,55,27.441
"I",27.853,"Class2",85.195,"H",75,46.325,16,58.055,53.535,45,28.307
"C",35.76,"Class3",86.458,"F",36,66.695,36,21.55,78.556,50,28.846
"O",39.418,"Class3",85.536,"K",41,70.139,52,9.341,76.88,83,82.531
"E",84.449,"Class1",23.722,"G",52,38.572,61,57.847,29.293,82,69.324
"O",46.88,"Class3",84.899,"F",27,70.574,51,29.135,42.4,53,71.114
"N",85.217,"Class1",79.267,"C",50,39.919,63,72.794,26.554,36,69.221
"Y",88.612,"Class1",88.767,"Y",51,45.534,47,78.463,29.223,47,31.552
"H",19.073,"Class2",94.97,"M",79,36.009,82,71.561,24.374,7,27.598
"H",18.682,"Class2",90.633,"H",74,40.572,14,62.576,20.382,63,26.378
"C",87.937,"Class1",36.278,"X",52,44.674,50,61.369,25.589,24,70.499
"C",98.513,"Class1",61.556,"Y",53,39.05,64,55.439,29.491,53,54.531
"Z",35.281,"Class3",86.003,"F",NA,49.871,45,86.154,62.602,44,71.551
"P",48.158,"Class3",86.342,"G",34,60.367,35,57.985,47.775,73,37.934
"C",68.972,"Class1",3.527,"G",53,42.628,49,68.09,25.325,87,22.24
"Q",15.649,"Class2",91.098,"G",77,73.738,28,72.785,71.948,13,28.394
"O",45.442,"Class3",84.772,"B",28,59.342,37,67.959,67.075,56,22.201
"C",39.155,"Class3",86.254,"B",31,80.119,53,53.501,76.745,84,76.306
"Z",50.949,"Class3",86.421,"G",29,52.596,51,72.106,49.271,74,88.046
"Y",33.216,"Class2",80.346,"A",77,44.118,75,68.793,13.898,11,26.072
"Y",14.497,"Class2",74.403,"M",76,48.967,91,64.206,28.14,74,26.66
"M",75.265,"Class1",85.569,"C",51,37.718,23,65.752,28.718,45,26.344
"P",44.626,"Class3",84.012,"D",41,78.077,55,31.004,43.732,57,67.056
"C",55.35,"Class3",85.289,"G",30,57.717,46,15.604,62.455,65,82.786
"O",46.101,"Class3",85.948,"B",30,48.976,36,63.152,65.086,52,31.535
"Y",74.804,"Class1",93.177,"Y",53,50.68,71,59.041,23.623,65,24.172
"M",85.737,"Class1",8.249,"X",51,40.505,62,56.571,26.398,81,15.818
"Y",89.53,"Class1",33.778,"G",52,42.51,13,45.089,28.356,57,64.307
"Q",16.602,"Class2",93.935,"G",80,47.753,21,53.455,54.321,22,26.085
"M",91.554,"Class1",55.373,"Y",53,41.922,48,34.605,27.864,62,55.743
"Y",92.407,"Class1",69.064,"Y",51,41.259,29,41.62,25.162,75,26.86
"N",84.76,"Class1",63.998,"Q",50,44.23,74,50.804,24.047,49,26.881
"N",86.404,"Class1",19.496,"Y",53,35.989,51,52.487,27.32,50,44.865
"E",17.201,"Class2",90.733,"A",80,47.567,46,68.334,23.009,72,27.835
"Y",89.965,"Class1",79.137,"G",51,36.2,83,38.703,28.389,84,31.403
"N",77.014,"Class1",100.36,"X",52,37.785,59,40.868,25.285,71,44.113
"Y",16.593,"Class2",84.804,"M",76,56.376,46,65.499,18.714,14,26.984
"C",84.789,"Class1",60.014,"Y",51,42.405,82,33.091,23.551,43,67.911
"A",31.117,"Class3",85.056,"D",29,74.747,43,69.543,56.484,71,89.347
"O",69.872,"Class3",85.321,"F",31,66.35,49,73.671,73.354,35,55.853
"O",52.164,"Class3",86.873,"B",43,68.056,42,46.598,82.949,48,69.638
"P",55.423,"Class3",84.819,"D",44,67.269,45,20.862,84.87,47,89.557
"E",91.067,"Class1",46.811,"Y",53,40.449,52,57.736,27.029,68,45.111
"E",16.448,"Class2",100.795,"M",80,55.602,48,65.785,47.791,67,27.216
"Y",90.039,"Class1",74.088,"C",52,37.381,73,36.917,25.172,86,38.923
"Y",17.782,"Class2",84.196,"M",74,36.225,86,73.984,51.417,51,28.101
"E",74.616,"Class1",77.631,"X",51,39.521,53,53.68,27.985,54,57.036
"H",24.567,"Class2",92.239,"H",76,43.381,30,83.683,36.319,76,28.267
"H",26.121,"Class2",79.852,"U",77,32.991,84,56.517,63.245,49,26.212
"I",15.367,"Class2",89.589,"H",80,62.499,80,68.551,30.093,48,28.256
"Y",82.734,"Class1",58.974,"G",50,42.184,58,57.061,24.298,17,56.656
"E",102.479,"Class1",40.76,"X",49,41.271,55,73.394,27.438,23,66.559
"Y",85.696,"Class1",64.92,"Q",49,35.868,19,75.332,27.824,30,23.615
"O",48.314,"Class3",84.073,"K",NA,59.376,41,38.237,72.234,74,48.682
"C",86.062,"Class1",20.383,"G",52,48.411,20,54.979,24.894,62,59.163
"Q",23.04,"Class2",75.194,"A",74,48.538,32,57.744,36.867,76,26.055
"E",84.744,"Class1",35.176,"Q",53,44.544,61,58.558,27.58,57,71.693
"N",77.354,"Class1",78.371,"X",52,44.558,42,58.147,28.672,61,66.742
"P",47.325,"Class3",85.818,"K",37,67.398,44,34.88,57.649,90,84.602
"E",9.929,"Class2",92.257,"A",76,43.055,58,53.037,35.864,27,27.937
"I",16.24,"Class2",97.393,"U",74,39.35,35,64.957,47.077,30,27.941
"C",85.892,"Class1",41.531,"C",49,39.733,58,81.738,29.549,24,21.019
"Y",84.74,"Class1",40.249,"C",NA,38.271,38,NA,25.668,44,54.447
"P",59.655,"Class3",86.413,"B",33,69.905,59,53.038,71.272,63,30.808
"N",87.274,"Class1",29.674,"Y",52,41.295,32,75.871,26.922,19,31.871
"E",71.956,"Class1",55.309,"X",53,31.695,12,76.24,26.596,68,24.794
"C",85.446,"Class1",18.591,"C",51,44.485,42,62.958,27.792,24,55.575
"Y",15.579,"Class2",98.129,"M",78,48.697,11,66.024,13.835,9,28.509
"C",88.954,"Class1",43.985,"Y",51,42.185,66,74.89,28.498,48,65.613
"Y",99.04,"Class1",-24.014,"C",49,44.141,61,47.039,27.118,77,56.005
"Q",22.578,"Class2",92.745,"G",79,40.959,29,57.216,62.477,53,26.658
"C",101.634,"Class1",37.132,"C",52,39.096,21,70.321,29.95,32,52.858
"C",89.864,"Class1",57.492,"C",51,32.055,30,82.314,23.899,44,58.285
"E",15.017,"Class2",85.704,"H",79,57.546,58,82.99,15.797,36,26.748
"P",43.083,"Class3",87.983,"D",31,59.629,56,44.339,44.65,71,76.098
"N",81.578,"Class1",60.103,"Q",49,36.558,59,53.108,24.502,82,51.047
"I",17.783,"Class2",80.856,"M",75,39.946,33,55.311,12.63,24,26.109
"C",106.046,"Class1",54.313,"C",52,47.35,63,60.375,25.102,31,23.285
"H",24.264,"Class2",83.984,"A",74,46.241,45,77.234,67.116,46,26.614
"E",17.161,"Class2",82.204,"A",76,38.343,64,63.514,49.038,46,26.775
"Y",23.856,"Class2",84.781,"U",74,54.132,22,82.205,64.72,19,28.957
"P",54.738,"Class3",86.687,"G",42,63.522,57,85.485,68.722,69,75.423
"Q",24.146,"Class2",94.652,"U",76,58.272,61,79.854,16.778,47,28.143
"Y",91.046,"Class1",53.169,"Y",50,40.817,32,39.532,25.201,28,36.62
"O",51.263,"Class3",85.215,"F",31,46.202,52,10.611,69.034,65,34.602
"Y",79.509,"Class1",74.585,"Q",49,50.853,68,40.547,27.856,38,16.447
"O",34.775,"Class3",85.31,"K",40,79.445,43,24.413,71.242,44,26.868
"Z",46.571,"Class3",86.389,"G",NA,42.589,56,50.279,66.801,86,21.54
"C",46.945,"Class3",87.118,"B",44,56.777,58,41.692,74.929,52,22.838
"N",66.685,"Class1",56.438,"X",49,41.844,54,40.61,26.946,48,63.717
"Y",21.266,"Class2",79.022,"M",78,40.593,51,76.728,73.997,58,27.472
"I",20.813,"Class2",87.973,"U",76,79.748,61,55.472,22.825,74,27.252
"I",20.653,"Class2",87.495,"U",74,35.719,84,57.472,62.682,64,26.883
"M",86.654,"Class1",29.556,"Q",50,46.399,61,69.515,23.905,50,12.438
"H",20.456,"Class2",101.238,"U",82,70.717,23,65.261,35.71,15,28.388
"A",51.217,"Class3",82.968,"G",NA,41.89,52,45.429,75.602,87,82.23
"C",93.115,"Class1",97.172,"Q",51,34.909,13,NA,24.313,43,12.064
"C",78.675,"Class1",48.784,"X",49,37.597,80,80.108,23.866,68,22.488
"A",42.267,"Class3",86.329,"F",30,49.525,52,NA,63.029,31,33.992
"Z",51.918,"Class3",86.798,"F",44,77.62,55,38.615,77.606,78,39.86
"P",56.746,"Class3",86.324,"B",32,69.946,46,15.88,64.329,33,86.128
"M",83.208,"Class1",56.689,"Y",52,55.293,22,47.657,24.636,34,61.774
"C",52.631,"Class3",84.13,"B",40,65.411,50,85.196,68.679,31,54.227
"C",76.8,"Class1",37.754,"Y",50,45.578,38,33.401,29.946,86,58.883
"E",98.559,"Class1",-36.166,"C",51,35.146,56,46.058,26.541,71,36.869
"Q",18.824,"Class2",83.886,"U",79,40.015,13,53.764,60.724,43,26.315
"Y",20.926,"Class2",89.491,"A",76,34.436,91,56.349,62.929,52,28.625
"M",77.371,"Class1",36.319,"Q",51,42.981,39,74.301,23.79,84,16.07
"Q",20.229,"Class2",96.941,"U",76,39.368,46,69.037,72.952,26,28.996
"P",41.937,"Class3",86.503,"D",28,65.582,50,59.275,47.29,32,86.372
"P",44.957,"Class3",87.366,"B",42,76.526,47,54.124,82.059,38,89.348
"C",44.113,"Class3",87.135,"B",40,64.972,57,70.619,84.987,39,24.012
"Q",13.622,"Class2",91.104,"A",76,43.363,17,81.424,26.088,14,26.949
"Q",14.695,"Class2",107.601,"H",81,56.838,12,67.043,62.16,46,27.973
"I",22.868,"Class2",94.06,"A",75,70.088,29,56.311,42.153,22,26.988
"M",98.756,"Class1",57.609,"G",52,40.922,23,41.68,24.74,23,42.555
"M",91.826,"Class1",60.803,"C",50,35.828,69,34.657,28.583,82,48.001
"A",47.281,"Class3",84.712,"B",40,63.546,59,41.945,47.415,48,45.266
"Z",40.577,"Class3",83.538,"G",34,50.894,41,53.03,81.311,84,46.017
"E",20.706,"Class2",85.739,"H",82,45.428,84,75.244,75.829,51,26.837
"Y",30.834,"Class2",91.386,"M",76,74.066,76,65.816,45.252,59,27.533
"Q",19.691,"Class2",82.82,"A",77,48.772,22,70.417,46.644,14,27.905
"Y",18.819,"Class2",77.335,"H",76,83.813,12,76.689,45.789,61,28.483
"I",24.31,"Class2",87.612,"G",76,44.134,92,75.142,55.422,44,26.697
"Y",15.499,"Class2",93.127,"M",81,53.385,53,68.719,24.738,56,27.642
"Q",22.397,"Class2",83.556,"H",77,61.757,25,72.833,40.63,20,28.705
"E",23.941,"Class2",93.592,"M",75,29.567,91,72.665,46.055,46,26.423
"C",28.259,"Class3",86.511,"F",32,76.215,37,24.599,68.102,58,74.752
"C",82.677,"Class1",20.135,"C",51,33.683,27,70.275,27.605,53,17.364
"I",16.373,"Class2",81.869,"M",74,80.528,77,61.412,19.735,10,28.821
"E",72.212,"Class1",34.588,"C",50,32.127,69,48.213,28.222,54,13.673
"A",42.276,"Class3",85.799,"G",34,70.888,51,61.303,73.101,46,61.326
"I",14.167,"Class2",87.538,"G",74,29.78,93,62.209,35.987,12,26.583
"A",60.117,"Class3",86.455,"D",34,60.048,40,45.496,81.311,76,40.6
"P",30.766,"Class3",86.285,"F",31,63.649,49,82.226,79.89,76,71.161
"C",83.937,"Class1",2.344,"G",49,43.383,58,37.357,24.436,14,63.777
"I",21.713,"Class2",90.716,"M",81,52.201,58,81.3,19.795,69,26.029
"N",85.473,"Class1",24.696,"X",51,33.05,74,82.248,24.634,72,59.24
"O",41.426,"Class3",86.35,"G",45,51.229,53,15.509,48.148,64,20.609
"M",91.374,"Class1",30.683,"G",49,35.952,35,69.161,29.007,82,42.783
"H",12.363,"Class2",86.244,"M",81,34.569,56,82.125,55.276,51,26.452
"Y",80.211,"Class1",61.346,"X",53,48.265,32,55.994,28.31,15,55.243
"H",21.191,"Class2",86.434,"A",74,32.65,73,73.653,22.245,7,26.949
"C",45.592,"Class3",84.723,"D",31,26.843,39,19.379,42.039,38,79.426
"Z",45.251,"Class3",83.686,"F",42,43.043,58,46.682,45.118,54,37.857
"A",33.777,"Class3",87.467,"B",30,64.683,59,77.302,86.802,48,35.179
"P",43.019,"Class3",84.039,"G",35,56.239,51,2.079,76.434,74,76.492
"Q",26.429,"Class2",85.259,"A",78,61.646,24,63.057,16.112,34,28.705
"E",98.289,"Class1",92.062,"C",49,41.133,71,33.194,24.279,56,47.686
"N",89.766,"Class1",61.345,"Q",49,37.156,41,47.745,25.587,20,20.019
"Y",17.062,"Class2",93.077,"H",81,48.65,58,69.492,33.503,67,28.686
"O",29.442,"Class3",85.047,"F",32,53.654,44,70.69,80.494,45,84.52
"I",18.32,"Class2",92.636,"G",80,45.857,42,54.468,45.217,73,27.632
"Q",13.049,"Class2",86.222,"U",76,28.921,18,64.359,15.529,48,28.037
"M",85.377,"Class1",70.911,"C",50,43.647,73,69.154,29.158,41,16.385
"C",32.744,"Class3",84.14,"F",32,60.995,57,25.098,52.003,49,86.293
"A",33.478,"Class3",84.927,"B",27,45.572,55,42.51,68.358,65,27.649
"P",52.31,"Class3",84.822,"B",42,55.742,55,62.074,66.702,37,81.29
"A",53.098,"Class3",85.234,"D",42,58.645,50,54.32,68.732,34,62.525
"P",43.514,"Class3",85.459,"F",43,71.273,40,66.301,75.08,29,23.197
"H",19.898,"Class2",84.695,"A",82,76.534,72,56.115,39.919,19,27.262
"H",17.297,"Class2",90.14,"G",77,40.489,54,62.725,79.978,48,26.944
"Q",22.894,"Class2",96.865,"G",82,45.225,57,68.488,78.556,22,26.876
"Q",16.234,"Class2",80.308,"G",77,45.703,60,79.437,41.661,38,26.518
"C",93.973,"Class1",98.048,"Q",49,36.856,85,74.528,25.519,55,74.391
"E",83.733,"Class1",-4.784,"C",50,38.714,45,76.421,28.409,64,17.233
"O",42.831,"Class3",83.523,"F",NA,73.634,58,56.491,50.825,80,29.123
"E",90.808,"Class1",43.648,"Y",53,35.7,82,76.661,25.79,29,68.671
"N",83.012,"Class1",70.494,"Y",49,46.859,68,34.706,23.276,20,40.134
"I",18.715,"Class2",87.311,"M",NA,29.336,17,72.467,74.13,7,27.227
"A",53.343,"Class3",87.037,"F",29,61.475,50,32.656,83.509,53,45.919
"E",76.537,"Class1",78.58,"X",50,49.724,22,58.745,27.212,73,52.984
"N",87.126,"Class1",26.326,"G",50,50.016,45,61.15,25.863,65,46.978
"Y",15.208,"Class2",94.901,"M",79,56.046,84,65.456,17.803,73,26.5
"C",81.268,"Class1",34.845,"C",NA,39.986,60,NA,25.482,78,60.674
"A",56.98,"Class3",86.04,"F",31,64.896,37,NA,87.965,63,40.37
"Y",96.774,"Class1",-0.764,"Q",49,37.148,11,61.675,27.325,17,47.449
"E",16.686,"Class2",98.386,"H",NA,51.003,84,72.865,23.475,58,27.96
"Y",17.554,"Class2",85.78,"M",77,43.779,87,61.493,28.739,38,27.657
"M",104.271,"Class1",99.674,"X",52,39.211,68,72.514,27.569,22,24.686
"P",47.772,"Class3",87.333,"F",27,71.456,43,66.247,78.745,49,29.859
"I",22.695,"Class2",83.116,"G",NA,34.804,24,61.215,34.348,44,28.092
"C",45.475,"Class3",84.658,"B",45,48.579,55,64.886,64.264,72,62.984
"E",85.046,"Class1",57.168,"Q",52,32.797,16,82.275,29.273,39,68.633
"E",88.119,"Class1",71.307,"C",53,40.042,22,51.286,24.088,62,47.022
"C",92.224,"Class1",54.806,"X",49,39.961,58,76.927,23.461,26,14.628
"Q",22.01,"Class2",95.254,"H",82,72.328,26,59.868,40.48,61,27.485
"M",76.856,"Class1",80.506,"Y",49,47.63,64,66.389,26.332,58,14.907
"H",14.411,"Class2",89.636,"U",77,50.576,26,58.658,44.477,17,26.553
"E",10.715,"Class2",102.555,"A",80,46.875,37,65.885,58.559,63,28.166
"H",22.304,"Class2",88.029,"A",81,75.138,88,80.131,58.337,38,27.198
"I",17.423,"Class2",85.956,"M",78,40.495,20,72.273,36.776,55,28.269
"O",39.888,"Class3",84.768,"G",42,46.901,44,31.269,83.198,64,33.435
"Y",85.865,"Class1",14.987,"X",49,39.289,27,34.436,23.666,60,16.43
"Z",47.188,"Class3",85.635,"K",NA,49.318,48,34.884,71.039,47,33.989
"C",76.562,"Class1",29.357,"X",50,47.87,22,51.947,24.647,83,12.193
"H",19.478,"Class2",98.628,"G",77,39.679,23,80.547,60.094,24,26.003
"N",80.343,"Class1",56.909,"X",52,48.72,22,34.559,23.978,44,34.088
"C",45.36,"Class3",84.775,"D",44,72.596,51,83.072,71.741,63,31.653
"Q",10.481,"Class2",95.554,"U",75,39.437,68,83.305,20.713,47,28.945
"Z",35.69,"Class3",84.375,"D",41,34.088,40,79.086,76.539,86,66.408
