"J1","J2","J3","J4","J5","J6","J7","J8","J9","Output9","J10","J11"
70.232,"S",69,49.091,32,"E",16.76,7.029,81.322,"Class2",76,88.144
67.377,"F",33,38.046,83,"B",61.776,48.397,33.034,"Class1",35,57.157
12.664,"R",31,36.148,58,"O",61.182,48.486,33.662,"Class1",31,62.101
71.908,"E",73,74.496,33,"E",20.473,20.357,72.91,"Class2",79,75.28
73.71,"P",69,67.547,35,"L",12.421,12.604,66.865,"Class2",80,90.961
68.562,"E",70,1.507,33,"Y",13.489,15.29,72.748,"Class2",78,76.904
87.629,"P",29,78.162,23,"O",77.598,63.964,34.127,"Class3",85,81.017
69.056,"E",70,68.384,38,"L",15.804,20.887,57.491,"Class2",77,65.442
79.86,"P",23,78.044,14,"R",86.601,64.731,48.161,"Class3",80,77.476
82.991,"P",NA,49.43,26,"O",80.703,64.472,45.418,"Class3",55,16.012
40.633,"P",NA,24.584,89,"O",55.799,48.226,33.58,"Class1",53,31.887
14.722,"J",30,62.84,64,"V",49.082,48.442,33.05,"Class1",36,37.796
14.921,"J",32,78.622,80,"B",57.725,48.276,33.965,"Class1",25,31.328
84.146,"P",22,49.081,15,"O",78.891,65.009,21.201,"Class3",64,90.294
33.452,"P",70,95.518,36,"L",18.015,10.46,65.712,"Class2",78,87.672
79.88,"N",58,81.171,33,"Y",77.978,63.381,36.241,"Class3",79,49.103
60.504,"R",37,43.952,84,"O",53.638,47.881,33.025,"Class1",58,NA
20.498,"J",33,89.927,59,"O",59.222,48.357,33.754,"Class1",41,70.065
51.594,"A",37,29.477,69,"Y",55.877,48.725,33.918,"Class1",37,NA
90.169,"P",20,67.4,36,"R",74.006,62.401,40.195,"Class3",64,25.252
63.76,"P",71,44.011,30,"L",14.412,15.675,67.262,"Class2",80,65.25
87.867,"C",61,72.264,32,"O",79.08,63.576,56.931,"Class3",64,11.053
66.916,"E",70,65.325,27,"Y",11.276,16.205,67.979,"Class2",72,66.555
83.48,"Y",39,66.503,28,"Y",67.306,61.712,61.712,"Class3",65,52.833
79.837,"C",48,72.436,25,"O",83.974,65.387,12.707,"Class3",77,46.857
64.742,"S",71,32.641,33,"Y",13.538,11.204,58.085,"Class2",72,82.73
49.897,"R",36,42.801,75,"B",53.15,48.24,33.205,"Class1",44,38.698
42.934,"P",39,-0.385,58,"O",57.502,48.52,33.868,"Class1",48,31.171
58.905,"E",72,49.418,34,"Y",14.813,13.443,77.007,"Class2",81,68.124
87.211,"Y",33,90.36,29,"Y",78.265,63.564,18.825,"Class3",66,73.623
69.68,"T",70,89.834,24,"M",17.354,15.926,59.475,"Class2",78,83.08
41.427,"S",67,39.19,24,"X",15.397,22.772,66.978,"Class2",80,88.598
86.459,"C",46,66.001,23,"O",79.073,63.792,14.353,"Class3",42,88.92
60.686,"A",38,62.944,81,"V",55.43,49.103,33.358,"Class1",24,36.479
58.4,"P",67,49.371,34,"E",17.066,4.598,61.482,"Class2",72,85.246
27.984,"R",29,61.059,80,"Y",64.018,48.057,33.204,"Class1",28,74.706
86.921,"P",NA,63.419,16,"Y",78.887,64.422,53.738,"Class3",54,15.038
53.601,"G",73,49.84,27,"Y",9.873,9.913,61.479,"Class2",74,76.518
80.178,"F",36,63.079,63,"O",56.246,48.796,33.307,"Class1",59,33.567
26.385,"P",36,40.673,73,"B",60.181,48.876,33.154,"Class1",32,30.032
81.401,"N",64,70.498,17,"F",76.975,63.204,27.096,"Class3",50,51.233
68.016,"G",69,45.297,23,"E",13.2,9.503,59.414,"Class2",81,74.192
35.493,"S",71,35.12,37,"E",12.553,6.018,76.98,"Class2",77,NA
87.018,"Y",9,68.692,18,"R",79.832,63.485,43.448,"Class3",53,95.024
79.416,"R",42,50.442,88,"B",60.142,48.307,33.259,"Class1",50,27.98
69.2,"G",70,71.352,37,"X",14.362,4.326,75.428,"Class2",81,88.252
90.856,"Y",11,69.256,18,"O",83.343,61.965,44.325,"Class3",47,96.463
87.267,"P",24,56.365,19,"M",82.758,63.994,18.843,"Class3",75,12.122
86.604,"Y",64,34.645,28,"O",79.849,62.8,28.146,"Class3",84,55.427
90.044,"D",48,74.522,33,"R",79.715,62.591,38.956,"Class3",82,64.567
90.987,"D",21,60.78,31,"R",81.276,65.15,43.382,"Class3",87,21.769
73.149,"P",67,55.489,35,"E",14.06,19.396,58.162,"Class2",81,90.453
90.595,"Y",41,72.363,29,"F",79.088,60.534,25.556,"Class3",65,96.402
53.521,"P",67,44.671,35,"L",18.409,15.522,65.013,"Class2",78,86.933
45.375,"G",73,23.521,37,"M",17.229,18.578,59.159,"Class2",72,78.75
79.496,"D",39,75.49,33,"R",85.62,66.816,25.626,"Class3",74,26.114
74.029,"P",70,93.405,37,"X",14.318,15.66,74.265,"Class2",73,89.835
88.411,"C",24,65.53,36,"Y",85.378,64.783,42.634,"Class3",84,67.144
85.716,"N",8,74.287,33,"Y",79.781,65.357,17.298,"Class3",46,46.582
45.668,"A",32,36.953,75,"B",57.725,48.572,33.877,"Class1",56,75.959
39.894,"P",70,87.58,37,"M",19.273,27.067,60.771,"Class2",78,86.916
60.291,"R",26,44.302,70,"V",61.067,49.131,33.943,"Class1",24,53.605
21.042,"A",27,60.042,89,"V",61.273,48.169,33.71,"Class1",47,67.43
48.821,"A",30,71.966,71,"B",55.305,49.182,33.981,"Class1",49,65.894
62.364,"P",69,-7.233,30,"L",10.662,23.773,72.682,"Class2",76,78.123
71.96,"G",70,68.051,32,"M",13.61,16.363,70.493,"Class2",79,82.767
60.004,"T",69,105.774,28,"M",14.315,12.527,65.634,"Class2",73,84.31
88.734,"P",77,85.611,22,"R",78.455,62.873,17.116,"Class3",61,60.939
6.092,"P",27,37.636,60,"V",59.204,48.581,33.196,"Class1",47,77.176
50.512,"T",71,7.456,29,"E",16.871,14.505,72.914,"Class2",81,NA
76.626,"R",38,47.63,90,"J",59.114,49.042,33.204,"Class1",52,NA
11.722,"R",29,76.819,86,"B",57.746,48.042,33.224,"Class1",34,41.821
62.503,"P",34,44.117,61,"J",58.086,48.318,33.525,"Class1",59,27.508
90.218,"N",44,65.541,31,"Y",80.321,64.568,46.341,"Class3",53,79.876
72.683,"T",67,73.489,27,"Y",14.406,23.816,64.096,"Class2",75,85.562
55.075,"A",28,51.949,66,"V",60.546,48.861,33.503,"Class1",26,31.045
35.387,"T",69,21.579,32,"Y",14.878,13.202,78.733,"Class2",74,76.141
31.455,"J",37,61.248,87,"B",61.554,48.68,33.108,"Class1",34,NA
43.842,"T",68,53.146,36,"M",19.891,9.631,78.91,"Class2",80,83.852
38.045,"F",32,54.235,89,"O",57.618,48.408,33.039,"Class1",56,71.232
47.771,"R",40,75.958,79,"B",58.754,48.713,33.675,"Class1",29,28.48
84.391,"P",48,74.35,30,"R",75.01,64.065,32.385,"Class3",70,NA
86.408,"N",28,89.974,34,"R",74.925,65.448,49.623,"Class3",64,32.058
85.984,"P",14,75.39,30,"Y",72.989,65.038,14.851,"Class3",83,16.987
75.988,"E",73,74.611,32,"X",17.586,15.58,78.819,"Class2",81,65.924
87.111,"C",73,75.138,36,"F",78.741,64.534,19.911,"Class3",64,84.017
44.297,"P",67,61.211,27,"X",16.747,17.075,79.852,"Class2",81,85.783
22.229,"J",37,49.276,58,"Y",58.333,48.097,33.336,"Class1",24,26.036
32.875,"P",69,50.894,26,"L",15.521,20.034,77.949,"Class2",73,89.025
43.395,"J",29,79.009,73,"O",59.428,48.799,33.943,"Class1",57,73.522
86.997,"C",76,78.597,19,"O",80.847,65.065,43.714,"Class3",42,97.141
37.005,"F",43,60.367,66,"B",57.381,48.474,33.282,"Class1",56,58.769
90.507,"C",63,82.635,22,"Y",77.281,63.907,14.943,"Class3",76,73.473
85.307,"Y",7,64.961,17,"M",76.032,65.364,19.709,"Class3",79,79.245
89.736,"C",47,69.986,32,"R",80.762,64.9,26.651,"Class3",51,NA
89.403,"P",43,73.751,30,"O",82.616,65.801,52.366,"Class3",61,87.759
42.947,"A",36,58.769,66,"Y",60.011,48.539,33.202,"Class1",34,51.828
46.551,"P",26,72.325,85,"O",53.106,48.537,33.18,"Class1",51,56.598
25.083,"F",29,46.592,80,"Y",53.665,48.559,33.95,"Class1",44,33.105
61.678,"P",NA,50.991,71,"J",58.545,48.853,33.528,"Class1",27,69.899
59.511,"S",68,78.346,29,"Y",15.011,15.892,69.024,"Class2",81,65.631
35.585,"G",69,31.577,35,"M",12.663,7.362,58.871,"Class2",78,75.546
63.867,"G",71,79.402,32,"X",15.031,12.816,78.425,"Class2",76,67.56
84.978,"D",34,94.348,28,"O",75.688,64.158,54.729,"Class3",44,96.967
50.227,"J",44,61.774,68,"B",55.393,48.299,33.195,"Class1",30,60.714
55.319,"G",67,27.45,33,"L",15.574,18.408,69.642,"Class2",72,82.628
90.93,"Y",47,72.042,18,"O",83.674,65.409,30.3,"Class3",44,58.765
40.107,"P",69,86.793,23,"E",17.165,13.625,68.337,"Class2",81,75.114
48.185,"F",30,52.979,72,"Y",56.606,48.662,33.469,"Class1",51,49.117
57.791,"R",42,79.49,71,"O",54.343,48.792,33.205,"Class1",29,55.762
82.594,"P",55,85.248,27,"Y",83.174,62.353,23.479,"Class3",48,63.365
85.581,"P",11,89.4,22,"F",73.767,62.128,21.87,"Class3",46,71.319
38.764,"T",71,86.01,38,"Y",13.163,16.096,61,"Class2",79,86.683
76.195,"R",38,2.424,73,"J",53.324,48.3,33.6,"Class1",34,48.278
8.314,"J",40,79.093,80,"B",58.211,48.019,33.205,"Class1",32,NA
28.023,"F",36,48.875,86,"B",59.887,48.563,33.087,"Class1",39,77.47
29.09,"P",NA,49.576,84,"O",58.627,47.979,33.267,"Class1",53,49.821
34.167,"G",68,84.089,28,"L",15.621,-2.964,62.595,"Class2",74,70.888
90.105,"N",27,91.133,27,"M",82.515,64.601,55.009,"Class3",55,49.006
49.355,"G",69,56.627,31,"Y",13.332,15.439,69.863,"Class2",79,78.003
51.776,"P",28,101.866,84,"J",60.146,48.364,33.622,"Class1",37,43.694
82.502,"D",51,68.609,23,"R",82.098,62.743,34.011,"Class3",78,58.588
70.682,"R",28,16.669,72,"V",53.47,48.537,33.255,"Class1",38,61.911
85.169,"P",26,72.761,36,"Y",82.392,64.363,52.626,"Class3",58,59.126
11.841,"F",30,47.902,61,"Y",60.891,48.398,33.244,"Class1",51,55.922
54.525,"T",68,81.443,36,"M",15.747,17.423,67.202,"Class2",81,70.819
88.031,"C",73,78.698,28,"R",86.275,64.89,42.656,"Class3",75,54.489
43.464,"E",72,58.225,24,"E",15.472,17.883,59.128,"Class2",72,74.996
11.593,"A",40,54.191,71,"J",59.052,48.825,33.804,"Class1",33,40.184
67.077,"P",70,100.316,30,"E",16.58,16.344,78.693,"Class2",74,66.743
86.454,"P",42,54.691,27,"O",89.26,63.67,28.099,"Class3",84,86.754
55.083,"P",68,54.252,23,"Y",12.991,15.056,81.909,"Class2",75,88.414
79.747,"D",41,87.551,23,"M",82.453,62.9,54.79,"Class3",50,13.284
81.231,"F",31,53.936,63,"B",57.909,48.673,33.808,"Class1",43,27.245
65.624,"E",72,19.879,25,"L",14.517,15.456,70.144,"Class2",73,84.67
28.287,"R",29,80.683,88,"O",54.684,48.636,33.445,"Class1",42,40.525
47.701,"J",NA,29.64,88,"J",60.764,48.673,33.193,"Class1",31,48.993
46.232,"G",68,104.2,25,"L",16.408,6.111,59.671,"Class2",74,77.253
79.412,"A",44,63.121,67,"B",60.988,48.572,33.288,"Class1",44,NA
82.974,"N",35,76.803,28,"O",81.911,65.348,51.233,"Class3",67,27.855
14.565,"J",27,48.342,73,"J",56.812,48.776,33.166,"Class1",27,70.085
34.312,"E",NA,19.635,37,"X",13.873,20.49,72.785,"Class2",72,70.112
79.76,"C",42,74.038,23,"F",88.505,62.433,36.553,"Class3",55,51.371
73.811,"S",68,80.066,25,"X",12.038,22.462,72.102,"Class2",78,82.012
37.885,"P",73,33.908,23,"M",17.927,26.299,65.663,"Class2",80,86.052
49.176,"A",44,14.924,62,"B",53.555,48.281,33.054,"Class1",48,54.764
46.798,"S",69,69.195,26,"Y",18.489,13.37,61.825,"Class2",81,65.666
42.241,"A",35,58.96,71,"Y",54.238,49.099,33.804,"Class1",34,32.42
79.749,"D",13,78.884,34,"R",78.263,66.913,39.643,"Class3",42,87.283
61.416,"P",68,64.568,33,"L",13.541,31.859,77.996,"Class2",80,90.291
58.111,"A",31,53.037,79,"V",57.581,48.743,33.086,"Class1",45,27.576
86.944,"P",63,78.32,34,"R",82.994,66.99,27.864,"Class3",78,83.376
84.551,"D",14,85.171,27,"O",75.588,66.061,36.07,"Class3",68,77.149
83.619,"Y",74,66.991,15,"R",84.388,63.547,32.481,"Class3",46,92.032
89.806,"C",46,88.896,31,"F",79.582,64.967,56.575,"Class3",47,90.988
65.561,"G",69,23.992,26,"E",13.417,9.549,68.207,"Class2",77,71.601
41.9,"P",67,45.784,34,"Y",14.912,16.236,67.891,"Class2",79,83.514
41.871,"T",73,68.324,23,"M",12.408,22.011,62.885,"Class2",75,69.97
87.853,"C",45,54.302,18,"M",81.375,65.322,21.848,"Class3",79,NA
12.614,"J",39,23.617,62,"O",61.48,48.474,33.811,"Class1",58,42.082
83.015,"D",7,66.812,25,"F",78.747,63.674,37.776,"Class3",42,50.159
10.576,"J",38,38.668,62,"V",60.973,48.333,33.946,"Class1",35,51.543
38.915,"P",67,82.043,30,"X",13.568,12.384,69.655,"Class2",72,86.535
86.235,"Y",14,71.668,21,"F",85.145,62.858,37.231,"Class3",80,77.177
82.916,"P",29,78.167,24,"O",76.758,64.661,50.623,"Class3",84,83.177
33.608,"E",73,78.264,36,"E",16.035,4.834,61.474,"Class2",81,73.223
22.404,"A",37,35.333,89,"J",57.295,48.41,33.378,"Class1",36,35.316
21.337,"R",26,46.145,78,"Y",58.709,48.396,33.751,"Class1",49,41.33
54.903,"P",73,60.211,26,"Y",16.926,15.988,79.366,"Class2",76,74.636
73.928,"G",67,34.217,27,"L",15.564,17.384,61.551,"Class2",81,88.093
63.6,"F",31,45.128,65,"J",57.251,48.317,33.232,"Class1",39,76.628
61.046,"F",41,89.53,84,"B",56.94,48.336,33.593,"Class1",36,28.702
28.852,"F",36,72.435,83,"V",61.192,48.834,33.338,"Class1",34,56.168
64.812,"P",71,44.09,27,"X",14.485,17.042,63.982,"Class2",78,72.952
73.178,"T",70,37.67,24,"X",19.655,8.553,67.89,"Class2",76,80.763
43.924,"P",71,46.26,36,"X",15.274,15.152,81.48,"Class2",81,70.376
81.878,"Y",38,71.757,17,"M",77.31,62.838,35.718,"Class3",83,32.914
50.128,"J",29,29.962,83,"V",58.164,49.093,33.206,"Class1",33,28.699
55.213,"E",71,61.599,35,"L",15.806,20.76,63.526,"Class2",81,66.763
90.181,"P",22,73.977,31,"M",82.396,63.423,17.901,"Class3",73,94.154
34.827,"A",42,61.86,73,"B",58.358,49.013,33.476,"Class1",26,61.055
87.356,"D",23,49.043,22,"R",81.761,66.431,22.937,"Class3",47,NA
9.655,"R",33,52.79,90,"J",61.262,48.492,33.867,"Class1",31,29.932
81.007,"Y",67,66.981,28,"O",81.995,62.736,61.347,"Class3",72,23.382
54.611,"F",43,73.525,87,"Y",60.062,48.08,33.556,"Class1",45,37.877
5.048,"P",29,51.938,76,"J",58.015,48.736,33.166,"Class1",59,77.672
90.666,"P",24,93.014,31,"M",82.856,65.548,28.363,"Class3",45,NA
13.118,"P",30,48.63,59,"B",57.86,48.198,33.166,"Class1",25,47.27
88.061,"Y",12,60.854,14,"M",83.887,63.67,37.353,"Class3",64,12.27
24.276,"F",27,36.457,60,"O",58.285,48.748,33.199,"Class1",53,75.914
66.525,"P",71,24.111,31,"Y",13.448,14.569,79.755,"Class2",79,90.503
39.212,"P",72,4.805,34,"E",14.307,13.204,60.388,"Class2",79,80.288
36.666,"S",72,56.162,26,"X",17.028,12.341,79.529,"Class2",80,NA
90.902,"N",15,63.549,21,"M",76.601,62.626,51.381,"Class3",71,14.752
79.1,"R",26,24.096,74,"B",59.19,48.289,33.05,"Class1",27,40.414
8.311,"R",35,19.596,83,"Y",56.333,48.324,33.388,"Class1",57,41.086
