"W1","Output22","W2","W3","W4","W5","W6","W7","W8","W9","W10","W11"
10,"Class4",7,48.503,28.015,55,52.115,36.058,75.834,50.924,"I","M"
84,"Class1",65,15.435,26.338,58,90.495,35.417,31.418,34.897,"J","O"
36,"Class1",64,13.048,52.888,36,85.022,70.989,29.135,37.075,"C","V"
54,"Class3",39,40.303,25.039,52,24.1,14.171,76.525,60.959,"X","L"
78,"Class2",76,24.259,71.065,30,87.552,68.178,63.39,74.991,"J","E"
86,"Class5",32,20.364,3.995,54,35.848,80.839,1.18,73.04,"K","D"
45,"Class4",6,48.09,15.302,68,51.636,79.91,75.418,62.522,"K","T"
83,"Class2",73,17.352,64.345,9,22.002,51.503,62.914,51.409,"J","G"
67,"Class2",87,33.408,64.816,15,71.377,40.059,49.408,47.446,"M","R"
84,"Class2",80,24.988,49.18,13,-5.039,53.109,40.168,82.295,"K","G"
35,"Class1",65,14.991,47.667,64,90.501,38.46,30.411,48.627,"C","V"
28,"Class1",65,13.321,37.863,50,54.122,46.519,26.281,37.61,"E","O"
71,"Class3",31,41.089,26.823,55,1.574,16.574,65.656,41.521,"X","A"
59,"Class2",82,25.841,72.082,29,82.792,52.512,46.786,54.353,"J","E"
84,"Class5",31,31.033,3.519,57,36.714,83.929,7.659,25.141,"K","D"
77,"Class3",50,40.24,23.403,50,47.343,14.928,81.728,56.387,"U","J"
49,"Class4",19,48.274,38.196,53,55.406,83.045,79.796,55.447,"I","M"
71,"Class3",72,40.737,20.43,52,15.662,16.151,54.448,54.346,"X","L"
57,"Class3",40,40.426,13.872,51,30.2,17.061,54.473,44.473,"G","B"
89,"Class5",34,30.474,3.205,62,21.366,81.559,4.012,40.615,"R","Z"
35,"Class4",13,48.315,38.273,60,49.751,55.503,77.051,32.312,"V","M"
73,"Class3",29,39.814,11.137,47,35.865,16.306,58.258,24.006,"I","L"
52,"Class3",55,40.147,10.116,54,19.062,14.954,76.933,36.711,"C","J"
86,"Class5",55,30.535,3.33,55,36.608,86.628,7.963,60.201,"L","Y"
62,"Class3",80,40.394,19.921,57,10.056,16.082,57.737,44.931,"X","H"
28,"Class4",9,48.122,24.141,75,50.08,104.069,73.298,51.853,"A","F"
86,"Class5",50,27.921,3.654,57,22.604,88.755,1.012,28.611,"G","Z"
88,"Class5",25,22.375,3.818,60,31.023,82.956,9.811,59.286,"L","Y"
28,"Class2",84,31.083,65.533,16,42.365,5.522,64.903,79.725,"D","Z"
82,"Class2",75,19.741,62.645,28,31.302,17.378,36.536,46.423,"J","Z"
43,"Class4",13,47.966,57.735,55,61.517,47.426,73.879,28.582,"L","T"
41,"Class2",82,24.014,53.491,10,48.232,38.301,56.184,45.849,"D","Z"
34,"Class4",10,48.458,43.797,58,54.029,34.283,74.337,69.614,"V","F"
62,"Class3",24,40.881,25.411,43,42.087,16.964,87.085,24.977,"G","H"
30,"Class4",10,NA,10.951,72,48.839,36.776,75.196,78.009,"I","T"
85,"Class5",37,32.141,3.191,53,35.744,96.197,1.402,51.371,"T","D"
60,"Class2",90,26.19,70.917,12,86.38,66.474,63.94,56.035,"M","Z"
14,"Class1",65,13.49,41.516,54,61.368,36.075,32.178,39.409,"Q","Q"
87,"Class5",27,32.769,3.113,63,21.173,88.432,2.716,51.644,"R","D"
86,"Class5",55,27.667,3.643,53,36.168,87.184,5.94,31.676,"T","D"
30,"Class2",79,NA,58.988,37,39.766,31.066,36.379,79.772,"J","Z"
38,"Class4",7,48.561,20.775,68,55.81,62.98,80.785,41.864,"I","M"
51,"Class3",38,41.068,19.516,53,32.698,17.129,85.965,48.704,"C","B"
66,"Class3",54,40.186,7.054,46,2.328,17.018,54.988,39.458,"I","B"
85,"Class1",65,14.397,43.286,33,37.388,51.979,29.992,25.133,"J","U"
9,"Class4",18,48.583,50.039,NA,62.334,100.337,81.136,57.727,"K","F"
89,"Class5",19,30.43,3.077,56,42.218,93.023,7.036,28.144,"R","Y"
88,"Class5",28,33.623,3.921,62,30.959,88.319,4.276,49.582,"R","U"
20,"Class1",65,18.638,42.164,63,22.961,30.012,29.631,23.579,"C","Q"
87,"Class5",32,31.599,3.801,NA,34.914,79.766,3.01,54.112,"K","Y"
84,"Class5",53,32.098,3.664,57,29.239,90.106,3.01,69.151,"K","L"
50,"Class3",62,40.032,10.992,54,10.046,14.12,76.957,31.428,"X","J"
90,"Class5",26,28.792,3.129,58,61.536,82.458,1.043,29.928,"T","D"
74,"Class1",65,16.182,41.271,28,33.69,53.297,30.444,44.8,"L","Q"
90,"Class5",50,29.536,3.776,57,33.038,80.836,1.552,71.3,"K","Z"
86,"Class5",50,24.079,3.695,64,32.171,90.035,6.059,39.668,"G","U"
88,"Class5",44,26.277,3.329,60,33.391,84.229,3.007,22.198,"G","Y"
57,"Class3",68,40.695,8.318,53,14.67,18.083,88.317,31.487,"U","H"
57,"Class3",74,40.016,10.526,48,1.54,17.284,76.58,25.997,"C","J"
19,"Class4",8,47.887,23.745,66,45.305,70.516,85.451,76.564,"L","R"
55,"Class3",22,40.231,26.133,53,23.571,17.257,66.876,57.359,"G","H"
38,"Class2",90,14.045,58.953,11,94.647,37.571,57.633,64.194,"K","N"
38,"Class1",65,15.305,36.527,29,50.395,61.966,27.287,39.073,"E","U"
28,"Class2",92,24.66,57.729,23,20.883,38.921,39.279,67.463,"P","Z"
79,"Class1",65,12.902,38.009,54,90.381,89.739,26.993,38.933,"C","Q"
88,"Class5",56,24.682,3.92,60,10.517,76.483,10.305,35.251,"R","L"
89,"Class5",52,NA,3.068,NA,36.149,83.266,9.322,43.123,"K","L"
11,"Class1",64,16.86,40.535,37,62.631,40.481,30.35,41.675,"Q","U"
56,"Class1",64,15.672,53.815,NA,66.653,47.689,32.468,53.607,"C","V"
40,"Class2",80,22.5,55.966,17,35.102,31.714,67.149,83.733,"K","E"
87,"Class5",53,26.75,3.71,58,33.505,82.927,3.737,24.032,"G","L"
88,"Class5",27,30.154,3.685,55,43.233,89.191,4.401,44.505,"L","L"
85,"Class5",47,36.129,3.529,NA,36.33,81.211,9.797,71.692,"G","Z"
72,"Class3",52,40.164,9.753,51,49.869,16.883,61.075,39.096,"I","A"
14,"Class1",64,12.537,41.656,57,42.005,4.669,30.168,42.339,"J","V"
58,"Class3",33,40.996,26.524,54,22.257,14.788,90.013,22.727,"G","B"
54,"Class3",24,40.112,15.863,59,15.181,16.033,53.1,61.239,"X","A"
34,"Class1",65,12.787,30.311,33,82.566,58.189,29.9,28.156,"Q","U"
45,"Class2",75,23.969,60.403,10,11.734,42.33,49.942,85.639,"K","N"
85,"Class5",32,21.264,3.984,57,25.104,82.651,3.392,57.885,"T","L"
74,"Class3",60,40.881,25.964,41,16.345,17.684,58.268,35.181,"X","J"
63,"Class3",45,40.678,26.813,NA,28.259,15.392,72.841,20.16,"G","L"
88,"Class5",38,26.473,3.111,56,30.944,79.919,10.429,32.199,"T","D"
86,"Class5",30,24.071,3.962,63,42.126,86.459,3.673,67.788,"L","L"
84,"Class5",24,28.663,3.723,63,45.436,85.993,5.49,73.729,"T","Y"
46,"Class2",93,23.159,61.03,25,57.386,13.264,52.164,42.028,"D","R"
75,"Class3",35,40.623,14.949,43,48.994,18.353,65.308,56.38,"U","H"
87,"Class5",28,22.649,3.04,60,47.006,85.205,10.21,31.639,"R","Y"
24,"Class4",7,48.134,18.951,75,54.997,113.876,80.272,51.886,"I","M"
62,"Class2",86,15.164,72.273,13,76.983,38.053,57.246,33.621,"J","E"
86,"Class5",27,23.999,3.497,64,33.395,85.626,10.998,64.913,"R","Y"
84,"Class2",79,22.761,71.619,23,11.927,43.637,67.799,58.23,"M","Z"
72,"Class3",81,40.508,8.792,51,3.884,14.617,80.969,40.594,"C","L"
88,"Class5",23,28.382,3.41,58,22.789,84.997,8.692,62.438,"G","D"
67,"Class3",50,40.749,16.717,44,20.192,15.031,86.112,53.721,"C","H"
55,"Class3",46,39.916,14.262,NA,16.086,16.054,78.924,58.115,"C","J"
60,"Class2",88,9.82,62.512,17,9.985,30.895,69.622,46.779,"M","N"
77,"Class3",22,40.984,18.036,40,9.707,16.909,56.503,41.334,"U","A"
51,"Class2",91,20.493,74.904,13,82.773,37.814,57.826,67.226,"P","R"
42,"Class1",64,14.899,39.947,38,52.413,-5.989,26.474,41.336,"J","O"
90,"Class5",33,23.707,3.959,58,39.682,83.661,5.269,34.273,"L","L"
39,"Class1",65,11.597,38.224,39,69.592,62.157,27.309,32.006,"E","O"
29,"Class4",8,48.194,18.744,64,53.482,42.8,80.818,64.521,"A","T"
62,"Class2",88,16.021,72.709,37,37.479,23.967,56.553,68.278,"D","Z"
15,"Class4",8,48.259,30.374,54,45.223,48.765,82.655,27.148,"V","F"
86,"Class5",38,30.163,3.871,62,40.931,88.352,3.228,43.915,"T","D"
66,"Class3",42,40.378,7.063,47,30.844,16.703,61.404,49.98,"C","H"
16,"Class1",64,14.475,54.171,44,60.29,49.05,29.962,51.548,"L","V"
71,"Class2",81,20.545,56.08,21,26.543,30.902,56.181,87.317,"M","Z"
62,"Class2",92,22.451,57.196,12,83.327,28.11,52.715,33.962,"K","R"
55,"Class3",41,40.609,18.87,44,22.065,14.625,88.096,24.221,"C","A"
74,"Class3",61,40.792,14.614,51,19.035,15.094,82.988,25.655,"U","B"
52,"Class2",76,35.058,68.995,21,36.082,60.993,58.107,59.137,"M","G"
81,"Class1",65,13.915,29.238,54,51.664,75.957,32.533,44.734,"Q","W"
77,"Class1",64,13.029,42.364,54,44.433,21.409,31.24,29.391,"C","W"
49,"Class3",75,40.755,7.155,42,8.682,16.33,83.966,18.975,"G","J"
81,"Class1",64,16.459,42.127,42,29.511,79.731,28.226,55.908,"E","Q"
37,"Class4",23,48.805,50.331,68,49.567,46.902,78.569,32.555,"L","M"
90,"Class5",20,28.331,3.627,59,22.35,89.635,1.645,25.926,"T","D"
52,"Class2",87,23.854,65.479,29,62.974,47.459,43.36,84.223,"M","G"
47,"Class4",13,48.326,54.876,61,45.534,-3.503,73.863,43.987,"L","F"
28,"Class1",65,13.581,30.727,41,83.426,85.847,28.73,53.167,"C","O"
26,"Class2",90,17.702,49.428,9,49.882,58.234,35.902,78.173,"K","G"
57,"Class3",26,40.118,23.924,59,45.426,14.709,80.896,34.198,"U","B"
50,"Class3",46,40.82,10.343,42,-17.428,15.099,69.38,57.729,"C","L"
40,"Class2",82,31.446,49.444,23,47.619,34.987,36.983,81.282,"J","G"
59,"Class2",85,29.549,71.489,17,68.824,25.516,53.552,32.517,"K","N"
33,"Class2",76,21.088,75.299,26,21.529,73.631,61.184,62.904,"J","E"
48,"Class2",87,20.855,68.099,11,75.941,44.815,40.818,39.027,"D","R"
87,"Class5",25,26.928,3.101,61,20.7,83.843,10.916,57.569,"T","Y"
62,"Class2",78,18.56,50.872,35,84.961,36.384,59.151,59.05,"D","E"
23,"Class4",26,48.12,36.102,52,53.125,87.517,75.759,65.32,"I","R"
70,"Class1",64,15.192,31.14,59,33.495,13.524,31.673,33.948,"E","U"
65,"Class3",74,40.399,23.62,40,8.509,14.75,60.127,30.985,"X","B"
83,"Class1",65,16.102,55.586,66,62.086,68.404,30.824,26.923,"C","O"
52,"Class2",79,29.828,63,31,94.473,24.713,45.946,83.518,"K","Z"
36,"Class4",16,48.724,19.563,NA,54.521,78.899,79.98,37.929,"A","F"
50,"Class3",60,40.459,24.821,51,27.011,13.297,74.779,20.302,"U","L"
55,"Class3",64,40.493,14.218,40,26.346,15.625,70.553,60.308,"I","H"
36,"Class4",25,48.765,51.826,68,55.436,44.645,82.73,78.795,"V","T"
40,"Class4",14,48.077,18.733,55,53.985,22.123,85.691,38.703,"K","M"
70,"Class2",90,18.665,55.348,9,32.811,24.582,61.778,52.789,"D","N"
40,"Class4",23,48.545,53.681,70,50.791,62.376,81.056,64.73,"L","F"
65,"Class3",89,40.523,12.358,49,27.295,18.573,55.969,49.981,"U","J"
19,"Class4",12,48.19,37.357,61,49.26,63.589,77.459,26.952,"V","Q"
58,"Class1",64,11.286,46.142,32,75.495,7.761,31.928,37.148,"Q","V"
76,"Class2",92,28.595,73.477,27,17.732,56.67,60.281,66.819,"K","Z"
9,"Class1",64,14.674,57.042,57,73.726,50.116,32.599,35.754,"J","V"
88,"Class5",47,25.063,3.573,58,33.764,89.034,6.67,24.442,"T","Y"
87,"Class5",48,26.652,3.647,60,48.53,86.351,7.581,73.235,"K","Y"
22,"Class1",65,13.604,29.019,56,39.451,-12.287,26.384,25.075,"J","W"
38,"Class4",13,48.381,20.603,55,54.738,78.919,81.019,56.844,"L","R"
60,"Class3",33,40.792,15.613,44,13.165,18.624,54.637,22.386,"C","J"
86,"Class5",23,31.67,3.745,62,35.688,86.346,6.581,48.801,"R","Y"
55,"Class1",64,15.484,32.087,45,44.05,51.345,32.932,56.538,"J","W"
47,"Class1",65,13.045,54.803,44,63.1,44.342,28.131,44.803,"L","W"
8,"Class4",20,48.356,53.477,71,54.495,43.405,76.431,76.569,"A","F"
73,"Class3",60,40.876,26.379,42,25.127,14.063,65.447,34.471,"X","L"
87,"Class5",43,24.696,3.74,62,28.776,92.549,7.666,66.62,"K","U"
75,"Class3",36,40.405,10.916,40,30.778,17.419,52.664,46.872,"U","J"
87,"Class5",43,32.068,3.915,64,35.594,85.823,10.52,24.291,"G","Y"
85,"Class2",87,32.703,51.005,22,78.132,15.581,38.176,80.884,"M","Z"
23,"Class1",64,15.248,56.53,42,73.179,87.4,28.798,32.385,"C","Q"
49,"Class3",41,40.566,26.288,54,0.426,15.684,54.535,20.944,"X","L"
28,"Class2",89,31.135,57.923,34,26.772,28.998,36.984,58.845,"M","Z"
40,"Class1",64,18.296,57.961,56,50.338,34.129,27.685,59.745,"Q","U"
78,"Class2",75,28.072,69.141,11,8.042,58.19,49.818,84.242,"J","G"
52,"Class3",82,41.084,8.18,46,0.246,15.443,54.665,36.811,"C","B"
9,"Class1",65,15.75,49.428,61,21.851,34.543,31.484,40.083,"Q","O"
65,"Class3",73,40.327,23.071,42,31.025,16.154,74.703,27.173,"C","A"
89,"Class5",25,29.034,3.241,53,37.15,74.212,8.811,55.867,"G","L"
72,"Class3",77,40.431,13.621,52,8.052,15.626,55.717,43.678,"U","A"
85,"Class2",88,23.197,56.685,NA,97.882,27.368,57.437,84.13,"D","G"
38,"Class2",73,NA,75.217,13,24.754,46.037,59.844,71.184,"D","E"
55,"Class1",65,15.197,29.881,47,72.312,18.916,27.887,54.152,"J","V"
87,"Class5",33,22.344,3.891,64,35.431,85.42,5.118,61.467,"T","Z"
87,"Class5",35,29.191,3.919,55,34.666,84.286,2.237,38.777,"G","U"
70,"Class1",64,NA,36.654,59,58.45,82.094,29.351,23.386,"Q","Q"
72,"Class2",74,20.864,59.744,30,35.426,19.359,40.661,59.523,"D","G"
11,"Class4",9,48.425,19.881,55,51.635,66.646,76.116,80.461,"I","F"
78,"Class2",74,26.858,51.656,33,73.491,13.461,57.631,73.807,"D","N"
54,"Class3",32,40.569,22.273,55,20.421,16.766,84.055,26.971,"X","L"
55,"Class3",35,40.699,12.262,52,21.116,16.612,72.099,51.153,"X","J"
61,"Class3",61,41.162,12.154,53,9.295,15.998,80.014,48.328,"X","A"
37,"Class4",23,48.923,21.513,71,53.971,45.031,74.735,28.55,"K","Q"
87,"Class5",33,29.319,3.325,59,31.985,88.741,9.045,70.349,"L","U"
21,"Class1",64,13.869,49.261,69,26.449,52.054,28.543,49.045,"L","U"
64,"Class3",40,40.611,21.853,42,27.428,15.727,78.62,40.137,"G","H"
15,"Class4",18,48.58,47.436,54,45.645,78.804,74.362,51.642,"K","M"
18,"Class4",27,48.643,40.987,59,52.659,39.414,85.317,57.979,"A","R"
55,"Class4",6,48.62,22.381,54,50.04,-9.642,82.953,51.832,"I","F"
89,"Class5",53,31.21,3.701,60,44.689,85.291,5.002,72.313,"R","Y"
23,"Class4",14,48.585,29.578,52,59.589,55.787,78.481,44.943,"K","F"
46,"Class2",89,37.637,60.42,35,38.703,44.831,46.214,82.668,"D","R"
62,"Class3",77,40.144,7.881,46,30.051,16.984,74.37,47.452,"X","H"
69,"Class2",81,30.109,74.318,11,56.325,33.49,41.399,41.183,"J","E"
52,"Class4",10,48.892,43.965,63,51.991,30.253,83.678,56.306,"K","M"
22,"Class4",7,47.682,52.739,55,53.629,89.037,75.055,31.526,"K","R"
88,"Class5",39,26.536,3.978,59,17.864,83.401,2.503,52.445,"R","U"
19,"Class4",14,48.773,56.776,63,58.563,78.4,74.283,35.147,"A","T"
53,"Class4",8,48.598,52.592,54,53.735,48.029,74.631,40.29,"L","Q"
51,"Class3",52,NA,14.472,48,-7.474,15.429,56.913,18.853,"U","L"
15,"Class1",64,13.444,45.962,NA,39.375,30.037,30.276,50.543,"L","W"
49,"Class3",63,40.237,21.541,54,10.67,16.286,52.878,41.14,"X","L"
45,"Class4",6,48.472,56.281,58,56.623,22.213,78.423,60.675,"L","T"
84,"Class5",44,27.456,3.17,59,41.102,83.938,1.497,54.348,"T","D"
85,"Class5",35,26.847,3.536,62,29.305,85.507,6.862,34.283,"L","Z"
81,"Class1",65,14.262,56.298,62,37.158,26.356,31.001,48.843,"L","O"
41,"Class1",64,11.643,23.662,NA,67.467,24.503,31.399,29.459,"C","W"
51,"Class2",77,25.698,60.685,27,95.795,33.61,39.43,32.367,"D","N"
57,"Class3",57,40.199,14.273,44,22.134,15.993,52.884,48.663,"G","L"
53,"Class4",8,NA,19.878,54,41.822,38.804,75.989,41.725,"V","R"
28,"Class2",81,27.27,75.486,26,-11.166,44.676,53.638,44.158,"D","R"
84,"Class5",34,30.019,3.146,59,55.681,84.449,7.045,35.262,"G","L"
17,"Class4",26,48.511,32.813,63,48.243,73.416,75.629,67.234,"L","T"
68,"Class1",64,12.786,32.146,33,50.141,27.26,26.76,22.197,"L","U"
89,"Class5",49,26.668,3.296,61,26.243,82.308,10.496,36.202,"R","U"
22,"Class1",65,NA,54.289,66,61.355,74.478,31.707,32.335,"E","O"
84,"Class5",42,28.901,3.564,62,20.472,88.019,2.442,59.375,"L","U"
32,"Class1",64,12.691,55.398,40,80.804,65.425,28.735,41.111,"E","O"
64,"Class3",90,40.539,16.683,51,12.121,14.222,87.849,55.703,"U","A"
33,"Class2",75,26.582,71.151,23,83.525,41.057,68.979,36.156,"D","R"
85,"Class5",39,25.06,3.948,53,43.437,77.846,3.357,31.013,"K","D"
73,"Class3",75,40.546,13.394,NA,16.001,15.22,73.373,29.563,"I","A"
90,"Class5",42,26.575,3.376,60,39.146,77.765,8.57,69.484,"R","Z"
87,"Class5",28,NA,3.52,NA,33.869,81.835,1.145,42.122,"K","L"
21,"Class1",64,15.239,54.83,60,53.691,71.642,30.059,29.868,"E","Q"
65,"Class3",34,40.462,15.519,43,43.549,16.869,64.106,30.54,"U","B"
71,"Class3",90,40.028,24.203,42,17.959,14.429,87.877,50.828,"U","J"
37,"Class2",83,26.581,63.42,30,39.237,58.066,65.177,62.703,"M","Z"
78,"Class1",64,14.174,27.221,38,49.075,64.457,26.084,45.02,"L","U"
45,"Class2",73,31,73.124,33,22.45,51.77,57.886,78.207,"M","R"
55,"Class3",61,39.958,12.084,52,39.781,16.332,66.016,24.239,"U","J"
31,"Class2",75,30.498,73.037,25,91.358,70.827,60.634,80.195,"K","G"
84,"Class1",65,11.812,40.162,48,24.604,24.107,31.898,58.365,"E","V"
17,"Class1",64,17.452,37.36,37,41.083,34.078,27.318,48.285,"L","O"
56,"Class4",6,48.67,20.744,74,51.131,72.994,79.464,39.826,"A","F"
13,"Class4",15,48.047,20.108,72,54.89,80.723,80.645,35.573,"I","T"
51,"Class2",85,NA,49.777,26,68.51,11.921,71.703,54.459,"J","G"
72,"Class3",63,40.718,14.78,43,24.562,15.228,73.828,27.16,"G","B"
88,"Class5",31,26.733,3.925,55,26.663,91.294,5.813,28.937,"R","L"
37,"Class1",65,14.908,24.492,65,66.524,39.803,28.842,36.935,"Q","V"
58,"Class1",64,14.069,21.981,47,78.276,33.458,31.917,42.846,"J","W"
86,"Class5",20,28.747,3.74,56,17.179,82.084,4.611,27.006,"R","D"
57,"Class3",76,NA,8.009,54,35.964,14.234,85.245,35.138,"G","J"
90,"Class5",50,29.163,3.155,62,39.845,92.065,2.708,42.321,"K","U"
52,"Class3",84,40.433,15.825,56,13.065,18.103,87.096,34.871,"I","A"
68,"Class2",79,18.28,77.166,23,81.873,32.576,56.513,82.815,"K","R"
89,"Class5",51,33.753,3.613,55,35.484,86.554,7.757,33.507,"K","D"
89,"Class5",43,33.371,3.593,54,26.581,87.872,4.289,32.799,"G","D"
88,"Class5",34,NA,3.9,62,38.58,87.684,4.952,51.703,"K","D"
71,"Class3",57,39.793,14.084,51,28.718,17.647,56.701,24.748,"I","J"
52,"Class4",15,48.598,40.756,57,41.523,66.849,73.628,79.601,"A","Q"
14,"Class1",64,16.37,34.775,38,59.382,33.324,27.598,30.285,"J","O"
8,"Class1",65,12.727,51.256,64,62.054,57.26,29.938,39.757,"J","O"
58,"Class1",65,13.229,54.168,68,58.933,55.764,32.806,35.635,"L","V"
78,"Class2",74,22.535,54.987,32,78.917,33.448,66.759,72.342,"K","N"
78,"Class1",64,15.435,47.621,66,63.481,78.395,30.189,35.622,"E","Q"
71,"Class2",82,16.218,54.784,21,61.501,33.849,50.502,70.869,"K","N"
8,"Class4",11,48.788,30.141,65,47.423,27.602,82.667,55.949,"I","F"
79,"Class2",78,22.178,50.982,29,86.403,12.654,55.723,39.48,"J","E"
41,"Class2",93,7.194,51.541,16,3.1,29.896,53.857,36.974,"K","E"
57,"Class2",74,36.832,57.074,20,0.852,26.465,55.795,74.482,"P","E"
50,"Class3",47,40.063,20.879,59,24.931,17.406,61.705,57.59,"U","H"
52,"Class3",49,41.248,20.216,58,-0.027,17.197,91.448,37.074,"U","H"
63,"Class3",79,40.428,15.751,50,27.031,15.033,91.752,44.048,"G","A"
86,"Class5",18,33.451,3.523,64,36.742,84.728,8.226,63.005,"L","L"
70,"Class1",64,14.383,42.031,29,26.13,72.851,32.852,27.001,"L","W"
85,"Class2",81,24.739,69.931,19,52.876,23.844,67.225,47.195,"P","R"
88,"Class5",24,29.083,3.284,60,39.088,89.029,9.762,67.944,"R","Z"
88,"Class5",51,30.842,3.783,56,29.418,80.416,5.872,61.463,"T","L"
49,"Class1",64,15.662,48.38,48,57.686,47.072,29.653,38.901,"L","W"
21,"Class4",13,48.301,17.121,58,63.954,77.021,77.906,33.105,"I","F"
40,"Class4",15,47.892,46.574,75,49.72,83.558,76.05,71.171,"K","T"
41,"Class1",65,14.688,21.918,61,41.24,42.17,31.952,48.04,"L","W"
54,"Class3",43,41.1,24.31,44,10.777,17.031,90.991,42.851,"I","H"
81,"Class2",88,26.532,72.19,18,62.382,37.552,38.548,81.897,"M","G"
73,"Class3",30,40.672,18.805,42,22.577,15.8,91.445,18.665,"U","H"
