"Q1","Q2","Q3","Output16","Q4","Q5","Q6","Q7","Q8","Q9","Q10","Q11"
67.554,"Q",62,"Class1",93,70.727,93,37.689,"Z",15.096,23.255,27.087
18.705,"N",52,"Class1",93,78.076,96,31.226,"Z",15.005,26.758,69.426
14.44,"N",54,"Class1",95,64.637,85,38.427,"Z",15.163,20.502,59.263
8.244,"X",58,"Class2",49,94.626,50,74.518,"Y",0.268,53.407,85.057
12.065,"U",60,"Class2",37,93.121,36,44.661,"Q",0.037,53.238,80.71
8.692,"R",62,"Class2",28,96.927,42,40.17,"M",0.012,53.622,65.589
8.907,"Q",57,"Class2",42,96.545,69,42.908,"Q",1.148,54.108,75.286
96.698,"D",48,"Class1",95,58.624,96,51.938,"Y",15.737,18.461,18.844
1.528,"U",61,"Class2",29,93.491,37,39.756,"Y",1.149,53.407,50.057
8.683,"Q",61,"Class2",33,94.213,56,51.333,"M",1.759,53.576,91.499
5.801,"S",57,"Class2",47,91.224,90,67.377,"C",0.15,53.321,86.584
1.357,"R",60,"Class2",51,94.716,53,46.276,"P",0.083,53.518,79.34
77.488,"J",60,"Class1",93,61.513,73,39.349,"C",15.147,52.76,55.822
13.942,"S",60,"Class2",25,91.991,76,45.8,"Q",1.353,53.231,40.033
13.48,"U",54,"Class2",53,96.146,33,60.416,"M",1.025,53.235,75.823
80.275,"J",62,"Class1",94,70.597,76,53.438,"C",15.842,28.703,71.295
6.517,NA,56,"Class2",51,93.508,71,51.977,"P",0.203,53.861,40.976
58.6,"D",57,"Class1",94,55.751,96,44.89,"Y",15.332,15.473,12.837
36.663,"D",46,"Class1",95,62.026,73,35.292,"I",15.059,25.952,3.01
42.67,"D",52,"Class1",95,66.02,85,22.611,"O",15.309,29.387,2.196
6.305,"X",55,"Class2",38,91.941,73,53.595,"Y",1.191,53.606,61.569
86.117,"N",57,"Class1",93,53.606,85,43.013,"Z",15.629,10.75,73.016
50.708,"Q",49,"Class1",94,58.278,92,48.3,"O",15.978,19.929,27.798
12.694,"D",59,"Class1",93,56.855,80,44.028,"Y",15.366,25.392,9.618
8.02,"S",60,"Class2",44,90.128,57,60.807,"P",0.035,52.882,65.353
69.419,"D",50,"Class1",95,68.799,78,33.853,"C",15.559,26.206,19.617
64.183,"K",63,"Class1",93,49.472,82,41.616,"O",15.439,22.295,75.102
57.238,"D",55,"Class1",95,52.619,84,50.607,"I",15.799,25.897,57.53
50.478,"K",61,"Class1",93,55.645,82,37.633,"I",15.206,6.359,44.068
12.876,"R",56,"Class2",50,93.902,42,53.18,"P",0.557,53.592,98.109
9.446,"S",53,"Class2",25,92.395,92,54.017,"Y",1.381,53.792,67.195
9.746,"X",64,"Class2",35,92.06,68,56.055,"C",0.961,52.908,81.265
13.111,"X",55,"Class2",36,91.548,75,37.715,"P",1.966,53.253,82.665
13.572,"U",56,"Class2",33,94.199,60,54.677,"Q",1.115,52.926,53.406
11.497,"D",50,"Class1",93,66.164,80,36.478,"O",15.544,29.552,35.61
3.93,"Q",53,"Class2",45,94.746,42,60.419,"C",0.423,54.032,77.997
5.403,"R",53,"Class2",30,94.91,73,39.578,"P",1.69,53.213,72.477
25.745,"D",63,"Class1",94,55.403,77,47.825,"Y",15.954,40.582,55.375
12.83,"N",50,"Class1",93,53.591,97,48.099,"I",15.539,1.966,47.358
7.236,"R",62,"Class2",22,94.103,36,50.529,"M",0.065,53.971,78.554
8.409,"X",64,"Class2",47,93.964,59,51.057,"Y",0.55,53.777,96.881
35.537,"D",57,"Class1",95,60.25,86,34.657,"O",15.813,33.307,61.344
87.311,"Q",50,"Class1",95,61.845,83,54.776,"Y",15.053,11.692,71.118
38.179,"K",49,"Class1",94,70.578,73,41.851,"Z",15.198,40.592,48.33
10.833,"K",61,"Class1",95,61.266,79,40.693,"C",15.729,24.725,69.712
2.449,"S",64,"Class2",25,92.157,66,54.33,"M",1.888,53.195,69.209
48.391,"Q",50,"Class1",95,60.944,75,40.107,"C",15.961,24.117,60.04
33.323,"K",NA,"Class1",95,61.813,80,42.643,"Y",15.652,33.677,53.254
71.11,"J",52,"Class1",95,53.115,78,37.24,"C",15.54,39.331,61.313
3.609,"S",62,"Class2",40,95.762,32,71.876,"M",1.326,53.467,45.987
1.478,"Q",59,"Class2",27,93.19,52,41.627,"Q",0.819,52.835,64.559
12.042,"S",63,"Class2",40,94.417,31,56.963,"Q",1.972,53.451,71.787
5.88,"X",60,"Class2",30,90.5,64,44.405,"Y",0.371,54.078,93.081
47.001,"D",55,"Class1",94,61.667,80,33.078,"Z",15.509,22.103,6.78
7.1,"R",55,"Class2",31,94.08,25,50.477,"C",1.72,53.64,56.712
3.539,"Q",57,"Class2",52,93.676,58,39.411,"Y",0.609,54.074,46.711
72.608,"Q",63,"Class1",94,69.444,82,36.827,"Z",15.709,6.552,49.532
13.151,"R",64,"Class2",39,94.594,43,51.474,"Y",0.7,53.657,74.468
4.736,"S",56,"Class2",24,93.998,41,59.3,"C",1.014,53.42,84.653
3.112,"S",64,"Class2",35,93.522,57,31.681,"M",0.63,53.594,61.561
34.225,"K",54,"Class1",93,73.628,88,32.706,"Y",15.566,39.468,34.694
53.777,"N",59,"Class1",94,88.948,92,49.086,"I",15.331,28.021,48.115
10.316,"U",64,"Class2",33,94.862,89,38.245,"Y",0.133,53.582,48.187
47.796,"N",NA,"Class1",95,62.643,83,37.474,"C",15.736,14.404,21.213
21.543,"J",54,"Class1",95,52.735,80,28.144,"O",15.984,30.222,61.956
7.187,"Q",60,"Class2",43,98.791,34,65.486,"C",0.156,53.334,47.748
58.928,"J",55,"Class1",93,65.867,95,26.467,"Y",15.556,43.016,68.079
57.317,"K",45,"Class1",93,59.308,93,39.999,"C",15.051,20.953,37.5
96.302,"N",63,"Class1",94,70.366,97,36.904,"O",15.823,43.733,71.758
70.186,"K",52,"Class1",93,72.14,91,48.35,"Y",15.989,36.717,4.41
11.842,"U",54,"Class2",44,92,48,35.739,"Q",1.788,53.651,54.207
23.013,"N",53,"Class1",95,63.924,80,61.149,"Y",15.686,18.43,66.315
13.955,"R",63,"Class2",50,90.861,68,63.069,"C",1.641,53.336,45.821
53.029,"N",50,"Class1",95,52.377,95,36.22,"C",15.908,30.604,57.722
13.146,"S",55,"Class2",43,94.431,53,36.485,"C",0.247,53.251,41.583
13.939,"Q",53,"Class2",48,95.089,28,48.173,"P",1.621,53.06,65.211
45.61,"N",60,"Class1",95,59.633,82,39.448,"C",15.959,14.906,14.149
8.177,"U",63,"Class2",28,91.61,41,41.502,"Q",0.291,53.745,46.612
4.739,NA,61,"Class2",44,91.705,37,40.654,"M",0.403,53.567,43.316
47.525,"Q",46,"Class1",93,40.66,81,44.591,"I",15.807,20.351,54.085
15.951,"N",49,"Class1",95,51.262,94,53.282,"C",15.169,19.072,13.467
9.653,"R",63,"Class2",28,92.712,79,49.851,"P",1.762,53.665,83.577
56.729,"Q",51,"Class1",94,67.393,98,39.528,"Z",15.625,29.82,31.318
7.258,"R",61,"Class2",26,92.059,62,44.13,"P",1.44,53.138,73.592
35.785,NA,49,"Class1",95,74.049,96,53.002,"I",15.248,46.554,27.272
7.985,"S",NA,"Class2",24,90.841,26,58.035,"P",1.907,53.337,62.249
4.238,"Q",56,"Class2",54,93.415,65,51.982,"Y",1.601,53.517,70.658
13.055,"Q",NA,"Class2",26,95.461,57,54.682,"M",1.559,52.678,84.368
15.822,"K",52,"Class1",93,49.239,83,44.637,"C",15.895,1.181,43.424
1.211,"X",55,"Class2",28,93.003,45,28.157,"Q",1.394,53.713,48.057
8.626,"U",61,"Class2",53,93.522,42,59.955,"Y",0.05,53.392,67.56
4.862,"Q",54,"Class2",47,92.143,77,35.091,"C",1.914,53.293,57.78
34.035,"J",45,"Class1",95,50.946,95,35.479,"I",15.469,47.406,36.137
24.756,"J",53,"Class1",93,62.537,94,49.917,"Z",15.075,23.347,42.909
3.853,NA,54,"Class2",22,94.146,56,43.652,"M",0.459,53.068,71.611
13.164,"R",59,"Class2",30,93.788,90,54.437,"C",0.799,53.702,88.675
44.308,"J",50,"Class1",93,57.955,88,43.915,"I",15.739,20.093,66.249
9.177,"X",58,"Class2",49,91.902,95,48.692,"M",1.082,53.535,71.292
25.503,"Q",50,"Class1",93,54.533,95,33.855,"C",15.575,14.769,54.206
98.845,"Q",58,"Class1",94,74.641,95,44.603,"Z",15.499,9.504,24.325
74.15,"Q",59,"Class1",95,46.521,83,47.291,"Y",15.413,24.396,54.08
81.809,"N",63,"Class1",93,62.133,91,35.92,"C",15.81,33.112,44.451
11.919,"Q",55,"Class2",25,91.781,82,45.199,"P",0.902,53.773,69.318
4.032,"X",63,"Class2",41,93.617,81,31.162,"M",0.701,53.11,52.122
0.398,"S",60,"Class2",38,96.557,75,63.96,"P",1.789,53.693,50.239
31.963,"K",51,"Class1",94,62.102,77,46.558,"Z",15.607,22.066,11.432
15.495,"D",57,"Class1",95,48.448,79,40.965,"O",15.357,23.185,28.598
7.418,"X",63,"Class2",50,94.579,32,34.893,"C",1.688,53.142,67.358
31.767,"Q",58,"Class1",94,66.696,84,40.391,"C",15.507,28.807,9.401
76.056,"J",63,"Class1",94,62.51,98,50.108,"C",15.845,26.303,14.504
91.145,"D",60,"Class1",95,64.674,85,48.93,"C",15.619,15.716,38.475
7.175,"X",64,"Class2",47,94.155,30,20.844,"Y",0.728,53.451,72.068
23.839,"N",49,"Class1",93,68.548,74,44.193,"O",15.598,41.204,32.67
40.042,"D",53,"Class1",94,63.998,78,31.083,"C",15.503,21.915,49.766
58.817,"N",55,"Class1",93,56.981,74,44.759,"Z",15.742,28.109,22.722
1.23,"U",60,"Class2",40,91.957,56,44.855,"C",0.289,53.111,66.728
24.287,"K",NA,"Class1",94,46.281,91,41.21,"C",15.188,9.694,48.591
12.594,"X",54,"Class2",44,94.108,53,57.958,"P",0.136,53.793,90.196
10.48,"X",NA,"Class2",50,93.049,94,42.634,"Q",1.839,53.548,97.163
9.016,"D",62,"Class1",94,82.716,95,40.321,"O",15.554,30.674,34.299
2.274,"U",55,"Class2",50,92.108,38,46.251,"P",0.056,53.867,94.821
3.699,"S",57,"Class2",42,94.125,52,63.64,"P",0.688,54.011,65.683
7.344,"Q",62,"Class2",44,95.122,80,53.848,"Y",1.284,53.892,66.953
27.457,"J",53,"Class1",95,55.161,76,51.866,"C",15.513,30.412,8.506
58.785,"J",47,"Class1",95,65.648,97,56.688,"C",15.69,25.335,44.344
12.192,"U",NA,"Class2",53,91.285,82,33.997,"C",1.611,53.588,96.625
16.124,"Q",59,"Class1",93,64.463,92,16.726,"Y",15.493,27.602,60.734
9.671,"U",57,"Class2",51,92.904,37,50.464,"Y",0.117,53.668,40.903
26.417,"J",62,"Class1",94,60.153,82,32.994,"I",15.817,16.664,45.549
33.249,"N",NA,"Class1",94,49.736,89,55.726,"Y",15.826,20.804,49.69
13.056,NA,57,"Class2",44,95.165,60,58.402,"C",0.581,53.479,53.239
88.831,"Q",50,"Class1",95,53.736,84,53.894,"Y",15.132,21.115,23.78
9.353,"S",62,"Class2",48,93.547,80,49.653,"P",0.848,53.106,45.616
4.296,"X",63,"Class2",51,97.911,99,35.46,"C",0.392,53.785,70.668
56.22,"D",55,"Class1",95,59.864,93,52.122,"O",15.368,23.428,21.986
8.569,"S",54,"Class2",50,95.781,93,52.916,"Q",1.619,53.591,83.213
11.008,"R",56,"Class2",27,95.478,90,30.615,"P",1.653,53.131,45.254
9.134,"S",62,"Class2",26,96.551,92,37.515,"Y",1.113,53.631,82.497
65.544,"N",54,"Class1",93,68.267,73,38.993,"Y",15.291,13.887,51.132
13.628,"U",64,"Class2",23,92.374,56,54.975,"C",1.3,53.361,68.881
86.739,"J",51,"Class1",95,77.065,91,32.779,"Y",15.062,17.282,62.38
81.759,"Q",56,"Class1",94,55.092,89,33.016,"I",15.593,19.676,15.029
1.803,"Q",58,"Class2",37,93.476,38,46.959,"Q",0.931,53.913,44.739
82.719,"Q",57,"Class1",94,49.355,93,24.044,"O",15.319,33.86,14.498
19.421,"D",47,"Class1",95,72.08,76,48.761,"O",15.503,32.034,18.725
7.333,NA,59,"Class2",25,94.355,29,44.293,"C",0.977,53.713,80.807
51.806,"Q",55,"Class1",94,57.459,83,40.207,"Y",15.121,27.417,23.171
3.237,"S",63,"Class2",51,95.013,60,53.789,"P",1.46,53.778,82.227
5.612,"U",54,"Class2",46,94.364,91,62.598,"Y",0.437,54.206,95.426
0.124,"S",63,"Class2",47,97.041,26,55.567,"C",1.003,54.148,49.886
2.596,"R",NA,"Class2",43,91.031,78,37.52,"Q",1.655,53.715,95.162
53.045,"Q",45,"Class1",93,51.116,74,37.807,"O",15.982,26.311,53.421
36.967,"N",56,"Class1",95,83.502,98,51.134,"Z",15.075,27.566,58.602
98.285,"N",58,"Class1",93,53.215,74,42.784,"C",15.031,32.48,70.416
25.63,"N",59,"Class1",94,64.367,98,37.116,"Z",15.611,24.651,65.608
51.725,"N",48,"Class1",94,62.573,82,45.327,"Z",15.211,10.879,11.151
43.952,NA,53,"Class1",93,70.652,81,46.253,"C",15.798,18.434,52.875
33.534,"D",63,"Class1",95,64.856,84,51.77,"I",15.952,45.696,51.293
9.56,"S",59,"Class2",28,95.1,99,48.201,"Y",0.519,53.517,80.423
13.598,"X",53,"Class2",31,95.507,86,32.782,"P",0.675,54.25,81.385
71.112,"Q",47,"Class1",94,72.793,76,41.602,"O",15.394,14.73,31.25
96.505,"J",58,"Class1",94,67.268,73,40.488,"C",15.502,37.255,35.837
89.043,"D",47,"Class1",95,67.463,92,46.275,"Y",15.662,10.805,16.988
8.902,"U",NA,"Class2",38,95.877,32,60.013,"Y",0.252,53.692,40.878
6.774,"S",64,"Class2",44,92.963,43,25.409,"Y",1.32,53.978,87.588
3.304,"X",59,"Class2",48,93.634,63,53.116,"Q",0.151,53.731,97.412
77.137,"K",52,"Class1",95,88.818,97,33.756,"Y",15.483,17.681,56.29
23.694,"K",47,"Class1",95,62.088,86,49.104,"I",15.896,32.858,4.066
77.672,"Q",55,"Class1",94,63.194,89,43.911,"O",15.763,2.367,41.867
6.551,"U",59,"Class2",25,91.921,29,36.117,"Q",1.192,53.143,48.151
5.047,"R",62,"Class2",25,95.351,50,33.814,"M",0.761,53.357,53.065
11.758,"N",46,"Class1",95,64.066,92,43.503,"Y",15.587,19.819,23.579
38.9,"Q",47,"Class1",95,60.125,94,31.661,"I",15.993,11.293,3.539
7.057,"R",58,"Class2",24,92.176,30,43.003,"C",0.501,53.149,48.122
7.613,"X",64,"Class2",47,94.061,92,26.287,"M",1.232,53.622,48.728
10.819,"R",60,"Class2",31,92.534,99,59.837,"P",0.025,54.041,47.795
13.742,"Q",55,"Class2",37,94.128,98,46.811,"M",0.949,53.24,63.6
0.559,"U",64,"Class2",53,93.596,55,43.434,"Y",0.378,53.877,50.238
28.855,"J",52,"Class1",94,69.816,76,39.56,"C",15.269,30.654,54.885
6.72,"Q",53,"Class2",28,90.422,70,66.625,"C",0.907,54.056,91.918
12.86,"Q",59,"Class2",34,92.235,60,63.577,"P",0.265,53.911,41.042
13.417,"R",61,"Class2",41,92.547,48,43.818,"Y",1.508,53.487,93.006
30.546,"K",49,"Class1",93,56.658,80,41.998,"C",15.871,26.334,44.982
3.195,"Q",61,"Class2",48,95.122,48,40.008,"P",0.552,53.424,52.563
1.319,"Q",55,"Class2",43,93.06,56,49.511,"Q",1.008,53.461,45.189
9.49,"R",63,"Class2",23,93.876,78,39.406,"P",1.993,53.853,77.958
9.445,"Q",49,"Class1",93,75.485,91,36.603,"I",15.944,17.809,48.748
2.302,"U",53,"Class2",45,93.076,61,54.04,"P",0.15,52.622,41.388
7.744,"X",60,"Class2",54,91.341,80,38.577,"M",1.044,53.366,57.622
2.23,"R",56,"Class2",44,90.762,25,48.362,"C",0.658,53.55,58.701
0.968,NA,53,"Class2",49,95.058,28,50.007,"C",1.209,53.317,65.807
4.055,"Q",58,"Class2",51,97.516,44,44.108,"C",1.418,53.892,71.558
35.123,"K",52,"Class1",94,66.45,74,49.778,"Y",15.178,23.627,40.558
1.516,"U",56,"Class2",27,92.818,75,39.663,"Q",1.214,53.433,57.66
83.874,"Q",63,"Class1",95,50.95,74,36.857,"C",15.423,7.136,61.859
1.274,"U",56,"Class2",50,92.314,45,31.784,"C",1.154,53.128,94.44
53.132,"J",47,"Class1",94,32.405,81,26.481,"Y",15.554,27.123,14.028
32.237,"D",54,"Class1",95,52.6,78,45.133,"C",15.739,28.838,26.786
10.225,"R",56,"Class2",48,93.828,81,55.447,"Y",0.64,53.811,92.15
6.682,"Q",64,"Class2",41,93.716,58,35.45,"P",0.249,53.536,46.166
57.741,"N",52,"Class1",95,64.668,95,34.409,"C",15.775,5.704,31.442
25.432,"K",50,"Class1",94,71.056,86,59.59,"Y",15.265,6.632,51.864
50.016,"Q",63,"Class1",94,64.835,76,46.012,"O",15.932,28.605,67.292
0.15,"U",56,"Class2",40,90.304,80,47.064,"C",0.616,53.396,56.414
97.101,NA,61,"Class1",95,70.238,86,36.559,"O",15.949,33.493,57.209
11.117,"Q",54,"Class2",36,95.57,35,54.264,"Y",0.535,53.144,47.889
10.675,"X",56,"Class2",52,91.505,32,52.207,"P",1.103,53.261,67.638
2.453,"Q",59,"Class2",40,94.346,53,42.18,"M",1.512,53.345,94.035
1.128,NA,NA,"Class2",49,95.253,73,44.75,"Q",0.98,53.379,94.485
0.623,"U",62,"Class2",47,92.391,52,59.269,"Q",1.807,53.424,73.383
59.106,"K",53,"Class1",95,70.701,87,43.606,"C",15.282,21.279,5.586
90.997,"N",52,"Class1",93,52.229,81,50.911,"Y",15.764,27.669,40.274
92.311,"D",58,"Class1",95,55.748,79,41.985,"O",15.406,9.864,15.728
2.071,"R",62,"Class2",34,96.046,35,61.066,"C",1.094,53.575,85.612
34.032,"K",56,"Class1",95,62.419,98,32.042,"C",15.523,14.88,62.323
71.826,"K",61,"Class1",94,59.574,87,32.962,"Y",15.095,20.138,63.604
70.41,"N",51,"Class1",94,55.635,84,55.635,"I",15.747,33.103,19.822
20.615,"K",63,"Class1",93,54.859,83,59.007,"I",15.584,25.713,49.503
1.87,"S",60,"Class2",35,90.622,57,48.911,"P",1.923,53.815,88.507
2.072,"U",62,"Class2",23,93.56,40,29.737,"M",1.995,53.648,48.522
13.03,"S",NA,"Class2",29,91.933,63,38.619,"Y",1.131,53.757,60.299
11.91,"S",59,"Class2",39,94.469,87,66.474,"M",1.324,53.345,71.254
66.266,"Q",46,"Class1",95,68.811,96,54.004,"C",15.15,16.069,75.39
13.22,"Q",60,"Class2",30,91.746,44,60.474,"C",0.686,53.65,84.642
67.589,"N",45,"Class1",95,65.713,86,40.192,"Y",15.217,15.661,20.736
98.875,"K",52,"Class1",94,50.823,95,40.152,"C",15.442,29.276,10.337
10.778,"S",60,"Class2",31,97.158,73,53.122,"P",0.945,53.535,70.444
6.382,"S",62,"Class2",29,94.686,39,53.551,"Y",1.705,53.999,74.615
65.48,"N",60,"Class1",93,44.86,93,49.738,"Z",15.49,31.598,14.812
11.833,"Q",60,"Class2",22,91.108,86,40.794,"M",0.745,53.384,61.717
10.658,"X",63,"Class2",22,93.009,89,53.528,"Q",0.177,53.06,50.187
4.891,"U",60,"Class2",39,92.132,61,29.407,"Q",0.288,53.439,73.443
4.087,"S",59,"Class2",24,96.109,74,23.171,"Q",1.524,54.007,41.138
0.504,"U",61,"Class2",41,98.086,31,41.181,"Q",0.365,53.415,56.2
1.752,"U",54,"Class2",31,95.192,46,48.563,"M",1.697,53.769,66.32
16.577,"D",53,"Class1",95,66.186,83,45.914,"O",15.083,32.992,70.506
69.467,"K",58,"Class1",93,60.726,98,33.265,"I",15.834,30.813,28.604
77.091,"J",47,"Class1",93,59.617,76,53.635,"I",15.892,21.554,48.681
27.025,"Q",53,"Class1",94,52.021,76,31.162,"O",15.479,7.424,14.031
14.367,"N",56,"Class1",93,49.643,84,50.53,"I",15.495,13.318,32.221
75.907,"K",NA,"Class1",94,70.678,88,37.025,"I",15.238,21.057,22.234
3.46,"R",53,"Class2",39,93.659,50,50.883,"M",1.464,53.798,41.512
95.457,"D",63,"Class1",93,65.946,86,34.029,"Z",15.091,26.054,16.313
45.79,"J",57,"Class1",93,59.927,84,38.126,"I",15.202,16.305,39.25
0.188,"Q",59,"Class2",39,93.658,66,50.061,"C",1.833,53.297,66.604
