"N1","N2","N3","N4","Output13","N5","N6","N7","N8","N9","N10","N11"
35.289,51.485,"A",80,"Class1",60.882,"Q",62.746,51.997,53.033,42,64
67.509,64.594,"J",67,"Class2",42.774,"X",52.471,7.551,16.23,51,66
49.905,52.985,"D",74,"Class1",65.919,"C",74.654,64.973,66.77,42,72
65.759,90.62,"N",87,"Class3",24.205,"E",76.005,82.908,68.69,48,81
46.392,50.809,"A",66,"Class1",65.229,"T",64.446,62.94,46.983,40,87
48.349,19.304,"Y",57,"Class4",34.336,"H",50.53,24.522,73.086,81,62
28.319,38.506,"L",29,"Class4",33.681,"M",51.029,33.15,74.032,10,60
27.07,31.461,"Y",27,"Class4",34.788,"W",52.386,48.812,83.598,81,15
75.23,45.202,"D",79,"Class4",32.781,"H",49.219,24.79,56.81,90,48
68.05,106.52,"N",25,"Class3",9.128,"P",34.87,92.375,81.571,46,95
10.254,10.126,"T",60,"Class3",45.606,"D",50.829,86.619,73.748,49,74
26.689,70.779,"C",67,"Class2",45.573,"U",16.488,7.109,28.267,49,83
53.092,53.96,"H",80,"Class1",68.396,"T",64.957,51.647,68.138,40,73
55.626,57.444,"N",79,"Class3",59.873,"Q",57.08,NA,82.329,47,74
87.202,63.696,"J",62,"Class2",53.181,"D",28.659,13.228,33.41,59,98
57.981,45.496,"D",94,"Class4",34.991,"W",49.866,22.771,57.819,42,16
57.025,65.659,"J",59,"Class2",2.281,"C",52.722,13.438,16.04,41,77
13.421,66.806,"I",64,"Class2",58.946,"U",44.136,11.464,25.486,58,82
87.968,65.131,"N",38,"Class3",80.636,"Q",36.589,85.682,80.053,47,91
31.338,52.634,"R",67,"Class1",67.778,"T",69.6,58.363,75.557,40,65
23.157,61.995,"T",35,"Class3",46.92,"D",71.164,90.693,66.113,49,90
80.273,58,"T",69,"Class3",-2.734,"P",59.008,78.867,69.768,45,95
26.865,53.161,"A",57,"Class1",65.487,"C",59.447,53.749,48.919,42,68
69.773,26.833,"X",26,"Class4",33.163,"M",51.688,23.786,52.788,66,61
74.942,44.188,"L",32,"Class4",34.077,"W",51.585,36.895,83.677,2,38
76.845,85.654,"R",54,"Class3",50.272,"D",41.543,93.427,78.579,46,87
51.894,52.798,"R",65,"Class1",62.553,"C",75.541,61.281,42.961,41,77
17.328,69.324,"I",64,"Class2",51.259,"U",84.039,9.009,14.838,38,64
32.441,67.254,"F",59,"Class2",77.707,"A",42.074,17.933,20.168,54,80
70.833,33.557,"B",48,"Class4",35.633,"W",50.508,51.396,84.083,88,11
22.184,52.027,"D",64,"Class1",69.867,"T",58.1,56.757,87.69,41,66
28.128,58.877,"M",36,"Class3",57.088,"Q",39.225,91.99,80.08,48,88
57.105,53.347,"D",60,"Class1",67.21,"C",70.237,NA,49.257,41,71
40.9,51.172,"H",57,"Class1",64.167,"T",69.841,64.184,52.05,41,85
11.74,4.594,"M",78,"Class3",67.178,"L",50.945,94.735,64.253,49,99
