"X1","X2","X3","X4","X5","X6","X7","X8","X9","Output23","X10","X11"
70,"Q",45.277,58,17.808,95.597,58.674,72.526,"R","Class1",57.39,86
61,"Q",67.741,60,18.585,88.41,54.441,73.531,"R","Class1",69.629,80
51,"Q",68.798,78,18.384,106.013,78.789,69.357,"D","Class1",70.958,84
62,"S",36.221,21,65.735,31.911,61.529,85.396,"B","Class2",68.571,44
56,"Q",40.917,86,75.79,44.523,73.758,83.028,"M","Class2",87.543,75
60,"B",66.69,78,18.777,92.211,50.035,79.155,"F","Class1",66.511,81
59,"Y",66.605,51,17.44,95.258,68.189,65.868,"R","Class1",49.713,83
59,"L",40.3,61,71.059,30.613,62.11,75.651,"H","Class2",73.357,53
59,"Q",47.846,22,80.635,13.659,67.344,88.867,"U","Class2",52.95,65
57,"N",69.312,71,18.472,73.543,85.652,75.048,"O","Class1",81.647,84
54,"N",56.03,50,17.506,88.535,64.942,74.047,"F","Class1",57.629,88
61,"S",38.235,74,79.483,43.892,62.331,77.197,"H","Class2",63.315,56
61,"S",82.373,23,73.789,60.029,57.511,75.549,"H","Class2",62.632,39
73,"Y",68.267,60,18.015,91.684,47.713,71.685,NA,"Class1",65.68,89
NA,"Y",64.606,59,18.213,90.693,56.917,68.859,"O","Class1",71.74,84
58,"B",20.122,88,83.973,25.928,75.925,81.391,"H","Class2",51.834,41
65,"B",49.013,74,17.646,92.967,72.36,64.08,"K","Class1",77.492,86
71,"Q",70.743,43,17.947,88.963,72.301,60.831,"R","Class1",60.932,88
52,"B",55.502,43,17.505,92.04,64.884,59.092,"D","Class1",65.695,88
51,"N",57.455,41,17.819,78.923,81.462,67.516,"F","Class1",60.856,80
73,"B",55.693,54,18.291,93.786,73.259,64.182,"O","Class1",68.093,89
60,"Q",63.534,71,82.594,52.83,54.043,90.559,"M","Class2",71.721,67
65,"S",41.173,46,82.41,44.675,61.626,95.971,"B","Class2",85.787,43
NA,"B",59.549,47,18.054,84.109,70.879,80.061,"D","Class1",69.793,82
52,"B",52.816,55,17.71,85.513,82.788,64.372,"K","Class1",65.357,81
63,"N",49.323,77,18.05,84.56,48.719,80.469,"R","Class1",57.302,86
58,"B",29.986,85,71.389,28.608,68.191,79.737,"B","Class2",30.968,65
63,"N",52.362,47,18.615,88.502,100.729,66.759,"R","Class1",77.936,81
57,"N",49.665,79,17.832,91.936,73.449,81.753,"K","Class1",65.029,87
51,"B",59.459,45,17.052,90.644,58.14,68.115,"D","Class1",57.428,82
70,"N",50.279,69,17.463,94.157,63.599,67.257,"K","Class1",78.762,84
67,"S",44.443,71,87.051,38.583,51.933,75.923,"H","Class2",26.64,59
66,"J",45.698,41,18.483,84.286,46.499,69.588,"F","Class1",86.432,90
65,"D",33.21,17,64.647,54.733,73.775,91.837,"H","Class2",115.004,44
61,"B",62.916,72,17.837,77.372,64.512,66.677,"R","Class1",72.345,84
61,"N",63.587,77,17.79,67.225,49.746,59.035,"R","Class1",66.84,89
61,"L",83.877,63,69.94,51.214,70.613,86.626,"M","Class2",80.252,45
62,"L",71.671,91,69.1,35.767,55.889,75.945,"U","Class2",55.452,62
NA,"S",31.285,52,84.812,40.464,51.881,89.905,"H","Class2",25.652,62
58,"D",32.468,59,83.09,38.658,59.123,97.593,"M","Class2",91.66,59
65,"B",51.063,47,18.618,92.825,59.247,70.017,"K","Class1",59.58,79
57,"L",74.23,58,74.338,29.459,35.835,90.82,"B","Class2",42.861,46
59,"L",84.804,28,67.893,30.498,76.264,85.11,"B","Class2",62.784,64
58,"S",61.471,23,67.319,43.957,55.567,83.744,"H","Class2",92.363,67
63,"Q",78.508,34,68.5,43.9,57.807,85.31,"M","Class2",51.997,42
57,"L",21.306,30,71.298,50.364,57.898,91.72,"B","Class2",63.355,47
59,"B",40.188,27,63.706,60.793,64.267,94.632,"U","Class2",72.835,57
56,"D",82.371,20,78.275,50.989,59.853,89.895,"B","Class2",87.016,55
54,"N",70.176,69,18.535,102.064,70.004,69.335,"K","Class1",52.82,86
58,"Q",69.566,24,77.255,54.633,82.613,88.457,"B","Class2",74.838,56
67,"B",26.635,14,70.042,37.615,36.732,74.544,"H","Class2",107.541,43
60,"B",64.953,84,63.752,66.388,43.567,77.451,"U","Class2",82.593,44
NA,"Y",52.856,63,18.779,86.627,61.916,75.449,"R","Class1",70.192,80
72,"B",63.568,38,17.537,94.772,87.752,84.102,"R","Class1",62.075,81
65,"Y",51.724,60,17.471,98.962,71.117,84.001,"D","Class1",72.217,87
62,"Y",59.508,58,18.138,94.031,63.129,69.184,"R","Class1",64.767,82
52,"Y",51.608,66,17.03,78.347,71.807,68.887,"K","Class1",58.987,80
60,"L",72.04,87,73.611,64.773,61.065,92.722,"M","Class2",77.927,53
72,"Q",68.972,46,18.084,93.786,89.582,63.023,"O","Class1",59.243,89
62,"B",83.993,69,65.725,57.575,62.24,76.582,"Q","Class2",75.579,51
52,"N",45.19,58,18.785,87.283,60.121,60.226,"D","Class1",64.756,79
61,"J",53.232,39,18.396,80.394,64.295,68.456,"R","Class1",72.993,87
73,"Q",54.293,60,18.238,83.795,80.318,69.596,"R","Class1",66.92,90
57,"J",45.936,73,18.028,87.39,61.122,86.632,"D","Class1",39.06,86
65,"Y",48.583,56,18.897,69.923,65.282,70.703,"D","Class1",71.214,88
65,"D",34.29,41,67.97,55.6,53.835,92.612,"M","Class2",70.891,56
61,"S",75.621,61,86.67,40.972,65.195,74.924,"B","Class2",61.547,52
53,"Y",62.606,75,18.54,79.515,71.389,86.793,"D","Class1",68.427,83
66,"S",79.392,91,66.6,31.491,39.931,83.313,NA,"Class2",64.331,46
58,"Y",50.789,68,18.085,78.584,70.953,78.356,"F","Class1",80.517,81
55,"J",68.749,54,17.45,94.865,79.108,73.532,NA,"Class1",73.347,86
64,"Q",42.855,83,76.707,47.67,69.412,74.377,"M","Class2",85.565,57
68,"Q",57.691,51,17.19,90.33,50.632,70.769,"D","Class1",82.872,84
59,"B",89.577,90,71.815,42.638,34.186,85.345,"Q","Class2",65.162,69
66,"L",58.678,20,86.838,31.673,40.297,77.544,"Q","Class2",51.953,41
54,"J",68.815,59,17.789,84.085,71.42,83.896,"R","Class1",76.57,84
60,"Q",64.466,72,18.352,91.083,99.598,72.97,"F","Class1",64.792,83
73,"N",64.338,44,18.931,81.622,65.698,64.741,"D","Class1",77.15,81
59,"Q",59.439,64,18.056,87.769,68.994,82.259,"K","Class1",66.047,86
63,"L",20.012,88,65.765,55.479,60.858,77.824,"U","Class2",82.248,63
65,"B",47.18,72,76.666,63.497,81.158,92.271,NA,"Class2",28.925,59
59,"Q",52.843,50,17.356,85.863,79.449,67.193,"R","Class1",61.701,81
57,"J",58.703,45,18.807,95.138,52.793,68.007,"O","Class1",80.25,82
63,"J",59.105,48,17.909,98.238,74.736,78.805,"R","Class1",64.461,87
63,"D",42.168,11,66.529,33.061,32.938,77.535,"H","Class2",95.399,55
63,"L",42.757,78,70.085,46.071,95.574,76.494,"H","Class2",65.975,60
52,"Q",62.874,40,18.307,90.04,60.039,66.062,"O","Class1",72.54,87
66,"L",42.129,35,68.358,48.545,52.256,74.788,"H","Class2",105.686,52
59,"Q",39.121,10,86.462,45.198,62.43,77.341,"U","Class2",48.56,63
72,"B",52.329,66,17.416,97.479,66.138,78.139,"K","Class1",81.376,86
58,"D",71.088,46,79.87,37.233,72.654,80.981,"Q","Class2",84.287,48
69,"Q",57.082,65,17.597,91.946,74.177,68.236,"K","Class1",60.747,82
65,"L",64.62,46,74.448,29.146,75.635,78.117,"M","Class2",41.466,68
56,"D",33.721,58,74.236,33.709,40.479,90.104,NA,"Class2",17.092,39
66,"Q",78.856,63,68.855,61.26,54.161,79.446,"Q","Class2",89.153,68
59,"Q",77.262,41,66.025,68.189,75.511,88.925,"B","Class2",67.633,50
55,"Q",54.761,46,17.917,90.579,48.701,60.431,"K","Class1",75.504,83
65,"D",71.221,68,78.19,61.821,38.914,81.977,NA,"Class2",109.374,49
65,"L",43.262,10,71.254,37.084,57.535,94.677,"H","Class2",106.108,52
60,"D",33.3,34,85.972,44.529,75.959,76.684,NA,"Class2",58.476,60
NA,"S",77.907,40,78.123,25.633,74.28,77.767,"M","Class2",79.603,53
57,"Q",78.531,22,65.342,46.11,58.16,93.674,"B","Class2",27.198,54
57,"S",41.248,66,64.468,39.965,51.405,75.979,"U","Class2",81.912,65
67,"B",55.069,92,79.976,16.012,68.991,90.361,"M","Class2",57.984,46
71,"B",64.239,79,17.989,92.626,46.042,75.153,"K","Class1",53.856,84
65,"L",85.222,51,82.85,52.593,62.507,87.212,"H","Class2",44.999,45
68,"Q",60.424,46,17.14,96.999,60.255,86.731,"F","Class1",57.478,85
62,"Q",80.294,44,67.034,40.711,27.059,76.295,"H","Class2",69.927,59
60,"D",79.604,27,87.832,33.709,50.915,91.839,"H","Class2",58.273,42
53,"Q",55.663,55,18.378,75.905,56.468,66.822,"O","Class1",65.287,84
63,"J",55.98,65,17.903,88.59,72.296,75.678,"R","Class1",65.98,84
58,"Y",52.874,47,17.783,88.401,76.148,70.53,"D","Class1",44.548,82
69,"Y",49.985,52,17.174,84.516,97.727,86.58,"D","Class1",67.232,83
68,"J",44.716,51,18.769,84.575,80.901,67.725,"O","Class1",59.905,87
56,"Y",52.956,77,17.267,81.299,71.411,63.708,"D","Class1",73.773,79
63,"J",45.166,63,17.742,75.342,57.394,81.199,"F","Class1",79.65,84
61,"B",59.314,51,81.111,20.11,33.094,75.524,"U","Class2",78.945,70
NA,"N",44.658,45,17.89,74.678,63.066,77.417,"O","Class1",77.353,80
51,"Q",57.451,62,18.407,96.218,84.048,73.91,"R","Class1",72.789,79
58,"S",54.83,71,71.628,40.154,75.056,87.755,"M","Class2",48.32,67
66,"J",54.412,41,18.095,90.947,67.169,70.008,"K","Class1",66.956,90
57,"D",26.387,28,69.212,19.423,71.484,97.102,"H","Class2",75.11,73
73,"Y",50.226,42,17.928,92.681,56.367,70.484,"O","Class1",61.113,87
66,"B",82.655,44,78.943,41.088,62.398,75.953,"H","Class2",73.553,65
57,"Q",49.89,92,65.034,42.966,57.254,94.306,"M","Class2",59.193,62
63,"Q",46.004,47,83.462,24.588,45.841,84.898,"Q","Class2",91.91,45
61,"D",38.285,89,72.869,43.042,37.783,90.28,"H","Class2",60.798,55
65,"B",62.627,53,17.476,86.071,58.303,86.409,"K","Class1",69.552,90
62,"Q",41.975,21,76.999,20.159,45.815,79.945,"M","Class2",74.095,66
60,"L",75.442,71,69.831,29.182,54.619,91.984,"H","Class2",46.316,59
63,"L",69.277,48,83.301,59.553,83.501,88.919,"M","Class2",74.773,49
67,"J",64.954,67,17.195,94.431,78.675,69.449,"D","Class1",45.334,82
53,"J",51.733,58,17.938,93.975,79.009,73.043,"O","Class1",78.507,88
62,"Q",53.05,43,18.006,93.332,65.089,69.851,"R","Class1",79.813,79
60,"S",54.536,15,72.626,41.533,41.733,87.641,"U","Class2",67.401,61
66,"Q",59.359,75,17.581,79.962,75.773,71.663,"R","Class1",62.305,84
63,"B",66.165,64,17.283,83.782,80.156,86.52,"F","Class1",77.27,87
68,"B",65.568,48,17.454,80.968,38.191,64.723,"D","Class1",56.472,81
58,"B",67.096,26,70.817,55.586,74.893,80.026,NA,"Class2",79.648,47
62,"S",35.112,84,74.448,34.347,86.596,76.968,"Q","Class2",63.303,64
61,"Q",65.088,90,76.193,31.166,45.927,91.464,"M","Class2",71.059,75
67,"J",58.278,73,18.218,91.957,75.342,78.666,"F","Class1",61.829,87
66,"N",69.322,55,17.422,84.278,74.425,60.747,"F","Class1",71.865,84
67,"Q",88.027,91,62.855,43.857,77.315,93.583,"Q","Class2",71.938,50
69,"N",68.933,65,17.988,83.338,75.963,63.476,"O","Class1",61.965,81
52,"N",51.136,69,17.018,95.427,61.007,70.153,"D","Class1",54.92,84
60,"B",68.669,86,76.682,47.144,46.246,88.834,"U","Class2",34.835,50
67,"Q",44.326,71,18.582,99.524,79.029,59.87,"R","Class1",72.363,79
66,"D",40.645,14,66.268,44.226,52.444,78.492,"H","Class2",55.037,42
61,"D",62.185,50,66.748,30.602,71.276,75.6,"H","Class2",61.32,64
70,"B",55.52,68,17.926,84.477,63.485,75.391,"K","Class1",60.65,86
67,"S",63.549,32,78.063,55.81,52.674,74.025,"Q","Class2",52.836,75
59,"Q",71.489,55,17.354,78.021,48.719,68.331,"R","Class1",66.538,90
67,"S",41.626,29,87.44,41.944,55.814,96.538,"Q","Class2",91.947,43
61,"S",68.741,25,87.826,29.911,54.104,80.992,"Q","Class2",68.167,68
72,"B",61.603,68,18.432,83.901,67.808,73.848,"F","Class1",62.583,87
57,"L",70.109,72,76.843,34.144,76.21,85.03,"Q","Class2",88.307,49
63,"B",87.221,73,68.94,18.842,50.24,81.72,"H","Class2",87.893,50
63,"S",65.061,18,73.584,62.586,54.93,77.437,NA,"Class2",75.01,67
64,"S",49.685,36,84.192,41.937,55.678,88.068,"Q","Class2",85.185,49
NA,"B",61.451,61,18.076,86.837,75.056,76.975,"F","Class1",53.581,89
66,"Q",48.497,47,17.529,94.992,54.158,67.577,NA,"Class1",70.422,79
71,"Q",66.392,62,17.944,84.722,45.775,73.197,"R","Class1",71.645,80
56,"D",48.474,15,81.855,42.42,58.456,85.599,"B","Class2",82.301,70
61,"D",56.753,83,82.742,30.69,54.013,97.213,"H","Class2",78.384,74
NA,"D",68.833,55,72.034,44.785,60.239,85.166,"M","Class2",61.14,44
53,"Y",45.657,63,17.302,78.066,79.997,60.627,"K","Class1",78.866,79
65,"S",28.795,79,85.257,47.576,46.349,93.175,"U","Class2",55.589,40
63,"Q",51.228,23,63.007,56.182,43.094,76.17,"M","Class2",96.085,43
64,"D",74.165,23,74.472,39.585,57.331,86.026,"H","Class2",67.426,43
NA,"Q",59.211,31,70.464,49.17,64.567,97.89,"H","Class2",114.852,61
64,"S",67.493,63,72.516,39.878,73.046,79.812,"U","Class2",72.114,70
63,"B",40.547,37,78.89,50.603,54.291,90.292,"Q","Class2",18.967,42
64,"D",47.247,27,79.998,44.811,65.127,77.975,"M","Class2",53.044,71
57,"J",64.061,44,18.355,95.793,73.032,85.327,"O","Class1",60.068,85
64,"D",49.84,40,81.992,21.12,36.268,77.083,"U","Class2",42.629,53
72,"Q",58.729,70,18.964,91.619,64.34,77.964,"K","Class1",58.125,90
59,"S",19.32,15,62.701,50.242,65.532,76.353,"H","Class2",90.428,39
60,"L",58.042,36,72.055,27.221,51.842,79.76,"H","Class2",46.382,50
50,"Y",67.522,46,17.05,90.94,53.732,85.502,"O","Class1",74.638,85
51,"Y",52.295,59,18.97,77.686,78.45,67.562,"R","Class1",61.829,79
53,"B",58.722,61,18.828,85.752,80.748,73.649,"R","Class1",45.484,89
56,"D",19.763,42,79.917,46.858,68.474,75.816,"M","Class2",62.059,53
NA,"Y",44.908,45,17.886,91.674,47.68,80.879,"R","Class1",73.555,85
59,"S",32.623,35,63.735,38.15,85.378,86.483,"U","Class2",75.746,72
50,"Q",67.236,54,18.202,75.435,51.369,65.607,"F","Class1",70.906,81
59,"N",44.091,63,18.373,88.342,67.546,77.755,"D","Class1",51.438,87
59,"S",59.153,88,64.844,50.851,67.701,91.67,"M","Class2",93.938,72
57,"B",47.301,46,75.268,61.161,31.819,94.41,"M","Class2",55.321,50
67,"D",75.695,62,76.89,54.254,61.444,76.953,"U","Class2",96.557,47
53,"J",62.03,50,17.06,97.3,61.985,64.19,"O","Class1",58.878,82
61,"Q",64.155,50,17.669,94.201,50.626,80.814,"R","Class1",59.078,90
63,"B",21.984,51,73.49,36.973,54.376,95.758,"U","Class2",74.71,50
63,"D",50.169,12,72.036,23.062,45.452,88.686,"B","Class2",66.941,63
65,"L",65.628,76,72.084,34.973,60.255,93.825,"H","Class2",75.995,44
51,"Q",61.632,72,18.288,92.707,56.434,74.754,"K","Class1",63.491,89
NA,"Y",70.724,72,18.118,77.046,73.165,71.69,"O","Class1",71.194,83
56,"L",62.112,68,70.673,39.86,62.026,87.604,"H","Class2",65.313,69
62,"L",75.64,55,75.955,39.977,64.496,83.862,"M","Class2",71.061,40
66,"B",53.816,66,73.347,45.167,57.865,95.302,"M","Class2",36.057,44
58,"Q",61.821,42,63.441,35.16,36.442,74.437,"M","Class2",78.659,41
NA,"B",51.409,62,17.075,82.82,42.339,86.147,"O","Class1",82.789,79
56,"B",60.467,46,18.502,90.248,86.968,59.279,"O","Class1",72.137,80
63,"L",79.274,50,66.111,34.252,30.4,76.74,"U","Class2",75.615,68
62,"Y",53.702,67,18.88,89.746,50.019,85.276,"R","Class1",74.925,86
53,"Q",67.878,57,18.171,94.772,82.659,77.232,NA,"Class1",88.462,87
57,"L",53.226,54,87.944,52.709,64.178,74.83,"Q","Class2",62.104,57
56,"B",68.992,64,74.778,29.977,74.272,96.804,"Q","Class2",67.736,46
64,"D",36.444,43,79.239,56.957,56.87,78.601,"H","Class2",80.028,70
58,"B",71.626,53,17.461,92.562,55.332,77.465,"O","Class1",67.32,83
NA,"Q",68.124,68,87.343,61.028,67.241,97.429,"Q","Class2",97.564,61
59,"N",71.402,44,18.177,89.313,65.641,72.022,"O","Class1",70.847,87
60,"S",49.013,13,73.663,59.005,56.09,85.108,"U","Class2",84.6,71
64,"B",88.602,43,80.702,23.965,53.344,86.581,"B","Class2",78.635,66
56,"S",76.871,91,63.427,42.34,37.596,91.695,"H","Class2",42.74,50
69,"J",60.254,72,17.453,90.894,75.083,83.437,"O","Class1",62.599,79
67,"S",40.497,62,83.538,32.623,49.612,96.921,"U","Class2",75.56,57
56,"Q",66.59,65,72.545,58.574,64.753,84.986,"Q","Class2",64.785,44
63,"D",37.484,13,84.816,39.389,52.315,86.318,"Q","Class2",81.629,70
52,"N",62.722,58,17.592,90.571,69.759,74.427,"O","Class1",58.679,83
57,"Y",69.673,62,18.665,97.086,70.831,64.201,"O","Class1",61.187,89
NA,"D",66.91,76,74.998,36.58,68.158,87.961,"U","Class2",82.53,59
71,"Q",58.655,53,17.012,86.033,77.897,83.996,"R","Class1",64.485,90
66,"D",39.125,73,78.052,51.075,82.518,74.913,"B","Class2",50.526,60
56,"Q",68.067,45,68.385,33.024,56.785,81.171,"Q","Class2",30.288,59
67,"S",46.632,45,75.94,32.466,44.769,85.101,"Q","Class2",63.996,41
63,"Q",30.235,44,66.62,49.706,54.801,77.216,"M","Class2",54.722,52
62,"D",76.946,65,79.562,42.076,61.434,95.281,"U","Class2",94.652,56
62,"N",69.766,49,17.837,95.803,52.985,84.911,"R","Class1",68.985,86
61,"D",60.652,55,74.552,26.686,59.69,82.007,"M","Class2",35.5,55
69,"Y",71.635,65,18.389,94.892,83.191,80.187,"R","Class1",72.261,80
61,"D",52.817,57,74.144,11.425,77.072,96.889,"B","Class2",49.732,64
60,"B",81.196,39,81.679,61.48,58.105,89.454,"H","Class2",99.56,60
63,"S",78.813,33,68.564,45.003,56.878,92.545,"U","Class2",75.666,71
62,"D",59.043,26,73.14,39.753,72.082,92.677,"M","Class2",25.971,66
66,"Q",48.57,60,80.783,46.882,67.743,83.215,"M","Class2",62.318,58
57,"D",78.569,46,86.713,63.708,67.166,82.898,"U","Class2",76.057,49
58,"Q",69.136,42,17.842,93.289,61.865,63.014,"K","Class1",61.418,90
67,"L",81.237,28,66.327,36.26,47.54,94.805,"Q","Class2",62.725,53
67,"N",55.25,73,17.904,87.883,38.074,68.534,"R","Class1",73.74,88
59,"Q",19.811,13,80.665,38.5,61.858,83.776,"Q","Class2",90.893,45
NA,"Q",59.941,59,64.45,32.808,20.961,76.083,"M","Class2",97.474,39
60,"Q",72.658,89,73.755,47.391,42.473,95.615,"H","Class2",86.381,67
64,"J",55.822,66,18.846,87.72,66.026,79.084,"O","Class1",67.866,86
60,"L",31.991,91,64.396,44.386,44.264,78.407,"B","Class2",70.075,49
66,"Q",69.166,55,17.803,72.768,81.336,75.346,"K","Class1",39.193,87
64,"B",49.223,24,76.469,28.7,55.06,77.859,"H","Class2",78.076,73
NA,"S",72.038,46,66.974,38.539,46.813,96.361,"Q","Class2",39.397,55
57,"Q",55.073,75,17.313,90.815,66.484,59.215,"O","Class1",46.694,86
54,"Y",60.898,61,17.996,86.431,73.937,76.948,"F","Class1",77.693,81
60,"Y",57.778,42,18.756,102.722,56.603,80.761,"O","Class1",63.189,88
58,"B",46.096,90,62.503,18.413,86.047,89.225,"M","Class2",48.076,49
71,"B",67.066,53,17.281,89.817,77.555,77.775,"D","Class1",58.495,83
NA,"D",43.785,10,73.939,24.697,40.881,96.393,NA,"Class2",117.978,39
73,"Y",60.797,76,18.213,86.898,60.756,80.661,"F","Class1",64.734,80
67,"D",42.567,81,81.839,50.18,63.821,96.552,"U","Class2",32.652,46
73,"Q",56.18,63,18.402,76.042,59.408,72.948,"O","Class1",63.848,84
59,"Q",79.833,47,80.055,40.113,62.811,77.023,"Q","Class2",44.254,73
56,"Y",66.246,61,17.624,85.29,94.501,80.194,"K","Class1",63.361,83
58,"Q",29.375,84,83.09,26.895,71.719,96.099,"Q","Class2",88.972,59
NA,"N",57.036,59,18.902,90.277,62.318,82.237,"F","Class1",72.122,82
57,"L",84.423,26,79.958,62.149,50.148,97.898,"Q","Class2",92.254,63
52,"B",56.081,63,17.773,101.595,73.692,69.728,"F","Class1",57.118,86
63,"Y",47.961,57,18.946,101.19,61.62,68.437,"R","Class1",75.004,81
NA,"D",67.77,77,75.303,21.769,48.211,78.681,"H","Class2",65.336,44
60,"S",72.982,9,74.742,37.264,59.379,84.543,"B","Class2",67.602,64
73,"Y",49.801,49,18.737,91.576,67.617,70.741,"K","Class1",72.517,80
57,"Q",73.058,88,64.332,43.285,66.016,75.952,"H","Class2",64.013,48
56,"S",28.653,36,73.421,40.025,38.41,81.129,"H","Class2",104.757,65
66,"Q",26.511,16,67.835,42.728,56.306,97.645,"H","Class2",39.447,51
65,"S",34.169,84,65.343,40.558,54.728,90.006,"U","Class2",54.053,41
59,"S",71.477,10,65.319,33.159,60.885,89.82,"H","Class2",103.772,65
66,"J",61.451,65,18.372,81.996,68.463,74.218,"D","Class1",59.492,87
58,"D",22.639,69,81.037,60.66,63.745,92.542,"Q","Class2",55.293,51
61,"Y",59.381,61,17.868,94.811,76.122,68.319,NA,"Class1",77.631,85
63,"D",72.389,13,78.306,45.135,60.278,79.702,NA,"Class2",42.964,71
61,"Q",34.555,38,68.088,30.206,41.618,90.814,NA,"Class2",39.687,68
66,"B",52.065,79,18.226,88.071,71.461,72.564,"D","Class1",67.867,86
NA,"Q",73.434,85,73.627,44.263,42.026,86.497,"H","Class2",19.376,51
58,"Q",40.166,12,72.732,48.611,54.096,78.666,"H","Class2",55.265,72
54,"J",61.083,47,18.12,101.372,51.808,68.188,"F","Class1",62.714,85
62,"N",57.379,67,17.823,93.782,64.198,67.009,"R","Class1",74.9,80
63,"S",64.594,69,77.61,40.524,71.718,87.554,"H","Class2",68.945,69
64,"B",27.055,67,86.441,41.228,48.469,83.183,"U","Class2",50.174,71
55,"N",62.813,77,17.979,93.555,68.434,77.625,"R","Class1",52.62,87
65,"Q",57.818,46,17.989,95.796,46.89,60.318,"O","Class1",74.215,88
66,"S",24.031,82,70.657,39.351,44.913,78.539,"M","Class2",65.155,43
67,"L",54.308,52,64.165,59.914,52.967,90.178,"M","Class2",69.753,56
50,"N",70.32,77,17.045,84.153,89.816,64.931,"O","Class1",39.579,84
59,"S",19.744,40,86.043,50.644,59.572,95.676,"Q","Class2",-3.597,45
55,"B",60.173,62,18.265,70.621,79.196,83.564,"K","Class1",61.723,86
NA,"Q",60.365,74,18.41,82.037,79.471,84.064,"F","Class1",80.672,90
60,"B",71.772,69,72.29,27.422,56.257,78.866,"M","Class2",66.51,67
57,"B",58.374,47,62.019,19.7,51.305,83.979,"U","Class2",69.413,51
61,"D",85.254,90,84.517,42.685,63.649,78.874,"H","Class2",60.437,52
56,"L",65.485,74,77.676,44.592,59.177,76.864,"U","Class2",44.543,45
67,"B",74.95,53,63.644,56.311,48.606,87.631,"B","Class2",62.526,44
52,"Y",52.936,74,18.768,85.737,58.411,78.931,"F","Class1",69.776,84
61,"S",29.971,77,79.058,48.367,52.089,94.753,"B","Class2",70.855,49
61,"Y",45.347,74,18.647,89.161,29.745,81.631,"D","Class1",55.896,89
NA,"Q",60.956,54,17.817,85.673,56.257,79.566,"D","Class1",45.41,88
60,"D",31.753,53,78.468,44.906,52.739,82.118,"B","Class2",49.643,43
64,"Q",38.928,88,73.263,40.165,63.001,82.44,"M","Class2",62.399,61
57,"N",62.81,78,18.704,95.862,54.744,73.978,"R","Class1",56.916,85
57,"S",84.064,68,76.835,37.876,50.777,90.443,"U","Class2",77.839,70
59,"S",58.956,46,75.571,28.056,64.004,75.568,"B","Class2",103.108,51
64,"S",87.75,54,72.572,25.295,63.768,84.713,"M","Class2",65.62,50
67,"B",51.15,43,17.064,97.876,59.981,85.445,"R","Class1",73.599,86
67,"N",51.638,42,18.975,92.954,86.367,72.309,"R","Class1",74.353,87
65,"L",79.81,80,75.312,52.354,40.7,82.895,"B","Class2",55.624,56
62,"S",24.255,30,84.8,26.844,58.692,78.133,"M","Class2",71.204,58
66,"D",74.88,57,77.261,20.094,42.207,95.743,"Q","Class2",57.843,49
64,"B",83.799,61,77.813,45.829,78.12,88.705,"M","Class2",62.226,67
66,"J",61.09,71,18.888,76.531,54.796,73.024,"D","Class1",73.021,81
59,"D",78.361,84,76.944,31.066,61.994,93.502,"H","Class2",80.608,75
68,"B",63.684,69,18.552,88.385,61.259,64.796,"F","Class1",60.376,84
