"R1","Output17","R2","R3","R4","R5","R6","R7","R8","R9","R10","R11"
52.579,"Class4",53.284,77,"A",55.148,55,41.539,63,52.779,39.868,"D"
47.243,"Class3",50.953,26,"J",16.168,65,48.83,94,4.172,96.608,"Z"
33.792,"Class3",54.017,37,"F",23.122,48,81.787,82,13.018,NA,"C"
68.258,"Class2",36.976,41,"N",33.411,35,21.634,88,59.114,58.248,"H"
87.882,"Class1",28.701,56,"J",44.16,67,38.156,17,17.471,3.108,"C"
82.797,"Class1",51.487,40,"M",45.767,81,16.951,24,13.979,3.813,"M"
47.907,"Class4",64.376,66,"P",64.357,74,48.028,41,74.626,43.938,"P"
28.215,"Class3",55.076,29,"J",17.701,66,80.252,95,11.974,87.117,"M"
86.107,"Class1",38.129,14,"M",-8.936,66,37.581,16,12.101,7.156,"N"
-1.311,"Class4",29.83,59,"A",71.983,65,50.189,48,67.311,18.232,"D"
36.158,"Class3",54.475,44,"F",17.849,55,24.741,93,3.611,88.228,"I"
NA,"Class1",13.378,65,"J",62.114,60,16.636,19,10.335,4.065,"P"
40.639,"Class4",60.271,79,"R",47.596,53,50.636,57,60.304,71.575,"P"
4.012,"Class4",41.349,84,"T",20.643,67,41.258,57,63.142,18.833,"D"
41.683,"Class3",52.313,31,"M",24.601,60,30.282,77,5.156,98.602,"Z"
45.132,"Class3",55.211,32,"M",19.238,46,28.541,83,12.892,99.382,"C"
58.347,"Class2",46.469,44,"B",32.851,38,58.984,88,65.405,NA,"L"
59.301,"Class2",35.711,43,"B",24.418,39,18.26,95,52.43,48.878,"T"
83.111,"Class1",-0.078,27,"B",58.872,86,15.315,23,12.06,6.161,"D"
88.177,"Class1",60.306,31,"B",71.223,80,15.672,22,12.016,4.38,"D"
85.953,"Class1",34.184,46,"B",89.193,89,13.338,21,13.623,6.705,"P"
83.364,"Class1",22.371,12,"M",58.036,84,37.9,11,17.035,7.337,"M"
82.552,"Class1",38.008,51,"J",-18.304,61,45.634,16,13.014,6.761,"M"
58.364,"Class4",18.763,65,"P",26.457,74,44.691,59,68.158,65.772,"D"
16.552,"Class3",55.641,29,"J",13.449,45,46.193,82,5.248,93.977,"C"
28.441,"Class4",52.483,17,"R",6.577,47,41.102,50,71.684,70.239,"D"
83.328,"Class1",51.58,28,"G",13.014,63,24.515,18,16.888,5.554,"C"
52.159,"Class3",55.726,41,"F",26.466,53,76.666,77,9.657,88.244,"C"
45.52,"Class3",53.509,33,"F",11.075,54,40.271,85,8.8,98.581,"I"
83.956,"Class1",54.996,25,"G",32.188,32,11.086,7,14.684,4.9,"P"
51.308,"Class4",55.161,12,"C",51.971,46,42.487,37,56.552,18.391,"R"
46.749,"Class3",54.099,43,"W",20.716,57,26.711,78,3.486,87.522,"C"
49.876,"Class4",79.04,42,"A",42.852,67,49.101,51,73.821,31.496,"D"
22.561,"Class4",43.678,85,"R",83.305,72,38.172,33,66.509,37.688,"D"
33.836,"Class3",56.512,37,"Y",13.224,59,50.773,95,8.465,97.24,"Z"
38.655,"Class4",49.354,12,"A",57.407,77,46.518,35,62.136,36.896,"I"
85.548,"Class1",13.844,17,"E",61.391,31,25.685,14,17.361,6.369,"N"
83.725,"Class1",49.698,21,"B",45.514,81,21.301,17,16.324,4.931,"C"
27.589,"Class3",51.763,26,"W",14.383,64,32.133,82,13.696,94.171,"F"
86.174,"Class1",51.886,19,"B",27.468,90,27.037,18,10.971,5.566,"P"
44.264,"Class3",52.115,45,"F",19.867,48,38.419,90,9.565,99.398,"F"
83.02,"Class1",46.787,24,"M",44.691,38,41.307,14,17.607,6.302,"N"
18.893,"Class4",34.715,78,"C",60.733,54,47.67,48,76.861,70.288,"I"
33.79,"Class4",92.294,82,"P",60.469,79,34.405,50,69.68,25.52,"D"
55.508,"Class4",74.122,28,"R",59.787,78,50.438,55,60.805,71.775,"R"
84.241,"Class1",44.405,50,"B",13.318,30,20.772,11,17.119,6.157,"D"
82.386,"Class1",33.817,35,"B",32.01,76,45.148,13,13.771,4.991,"P"
NA,"Class4",42.634,86,"A",40.783,62,44.981,55,72.422,34.6,"X"
56.936,"Class3",54.857,43,"F",20.716,48,47.53,76,10.234,87.675,"C"
72.494,"Class3",51.508,39,"W",15.61,46,40.753,91,6.287,93.185,"I"
38.88,"Class3",55.105,35,"Y",15.31,50,19.978,91,4.19,91.662,"F"
NA,"Class3",51.955,25,"M",19.884,65,54.13,87,9.405,99.897,"F"
73.216,"Class2",58.749,46,"H",46.558,32,55.052,92,46.493,57.924,"H"
12.955,"Class3",54.568,42,"Y",18.288,51,35.05,90,10.322,94.351,"C"
33.564,"Class3",52.484,28,"Y",10.72,61,38.7,83,10.129,99.588,"M"
50.551,"Class3",50.382,38,"M",18.447,47,31.502,83,13.154,87.711,"Z"
84.009,"Class1",59.039,28,"J",30.508,75,37.674,15,13.146,3.534,"C"
57.557,"Class3",51.774,32,"J",21.871,53,67.164,96,4.407,90.799,"Z"
NA,"Class2",56.259,45,"V",24.728,38,21.998,91,63.718,72.566,"L"
38.192,"Class3",52.821,40,"W",13.92,60,70.512,80,10.198,98.898,"F"
27.819,"Class3",55.002,28,"M",14.104,65,59.52,88,5.973,96.268,"I"
80.5,"Class2",17.655,41,"V",37.338,31,33.118,95,61.469,70.689,"H"
66.409,"Class2",37.425,41,"B",36.538,24,55.346,92,62.49,54.023,"W"
89.27,"Class1",24.181,64,"B",48.711,42,15.484,7,17.423,6.561,"P"
65.013,"Class4",56.461,68,"C",67.341,42,48.316,56,71.249,52.311,"X"
48.143,"Class4",29.215,39,"R",35.745,67,46.331,35,76.705,45.63,"P"
50.812,"Class2",35.458,41,"Z",41.866,38,33.468,95,50.495,72.866,"T"
85.565,"Class1",41.526,65,"G",83.859,59,21.32,22,12.502,6.757,"C"
70.079,"Class2",32.801,44,"V",34.448,36,60.492,95,57.721,57.643,"W"
85.706,"Class1",39.827,50,"E",66.516,81,16.563,19,17.101,5.868,"C"
65.54,"Class4",51.672,77,"P",62.375,48,45.813,41,70.713,59.495,"P"
64.445,"Class2",-9.408,41,"B",35.396,20,29.506,88,49.55,88.775,"T"
31.171,"Class3",55.504,40,"F",16.137,51,41.19,84,5.339,95.496,"I"
43.406,"Class3",53.859,26,"J",24.001,62,72.68,81,4.888,86.847,"M"
24.426,"Class4",66.458,48,"T",75.194,56,48.155,40,76.696,71.383,"I"
25.991,"Class4",55.212,64,"R",58.619,53,37.497,45,54.783,55.043,"R"
88.275,"Class1",-3.973,18,"E",98.701,79,29.893,24,17.252,3.328,"N"
54.218,"Class2",4.426,45,"V",31.93,39,28.186,92,66.048,60.813,"A"
88.16,"Class1",66.027,56,"B",37.035,72,49.552,14,17.923,3.912,"P"
15.234,"Class4",62.651,84,"A",74.409,67,42.419,58,52.199,53.292,"R"
39.451,"Class4",39.555,53,"A",95.217,47,42.401,51,66.457,30.849,"P"
NA,"Class4",24.161,32,"P",63.642,51,34.58,51,64.1,65.915,"P"
63.511,"Class2",62.372,46,"B",42.659,35,56.355,92,64.272,67.335,"H"
31.524,"Class4",50.736,70,"R",24.73,46,43.383,44,70.038,40.093,"R"
85.567,"Class1",26.415,64,"J",6.99,33,14.697,10,14.181,5.255,"N"
55.267,"Class2",68.09,42,"B",40.486,33,49.606,89,54.451,70.958,"H"
9.583,"Class4",50.676,77,"R",77.729,64,50.742,37,77,63.804,"P"
18.409,"Class4",54.828,25,"R",119.192,45,40.207,59,68.222,70.464,"X"
48.064,"Class2",27.268,44,"N",52.971,31,33.628,92,51.032,46.529,"T"
62.537,"Class2",29.631,45,"V",46.238,28,59.984,91,66.864,90.494,"A"
43.054,"Class3",52.389,43,"Y",19.495,55,57.512,77,4.582,86.443,"I"
15.054,"Class4",81.726,54,"A",60.803,69,44.92,33,61.796,NA,"P"
36.949,"Class3",52.465,27,"F",23.318,67,51.096,96,4.927,93.685,"Z"
71.229,"Class2",65.173,41,"Z",40.244,30,38.531,88,45.676,55.941,"T"
25.059,"Class4",41.02,75,"R",43.611,46,43.858,53,68.73,45.745,"D"
53.045,"Class3",55.345,27,"J",18.129,55,49.195,95,3.204,91.504,"I"
49.672,"Class4",63.138,82,"T",66.594,55,41.435,58,72.666,30.749,"D"
50.183,"Class2",45.586,41,"H",43.051,40,26.518,94,41.216,59.592,"L"
83.961,"Class1",64.223,24,"E",42.301,59,24.412,11,16.098,6.642,"N"
41.56,"Class4",61.578,16,"A",57.466,60,44.473,51,63.32,39.326,"I"
82.567,"Class1",38.893,47,"G",3.049,36,16.004,8,17.255,5.53,"D"
45.629,"Class4",30.874,79,"A",37.566,71,37.678,33,58.72,64.293,"P"
63.259,"Class2",68.704,41,"H",41.863,20,25.624,89,50.551,69.009,"A"
60.881,"Class2",65.267,43,"H",31.393,19,34.77,94,38.642,52.004,"T"
22.459,"Class4",49.523,49,"P",56.652,43,44.678,42,60.544,69.953,"D"
70.168,"Class2",52.568,44,"B",38.652,34,29.499,95,62.265,52.186,"A"
82.983,"Class1",55.848,63,"M",77.333,35,21.617,14,14.215,6.143,"N"
87.155,"Class1",33.619,19,"G",21.353,38,26.913,19,17.78,5.159,"M"
86.167,"Class1",32.042,56,"M",73.828,63,35.389,11,11.348,7.481,"N"
52.287,"Class2",46.166,42,"Z",41.158,22,53.372,88,65.651,NA,"W"
45.43,"Class3",55.942,39,"Y",17.279,47,68.819,96,9.715,88.75,"C"
86.887,"Class1",14.431,61,"J",53.741,36,28.917,23,14.412,5.561,"C"
31.363,"Class4",75.181,42,"C",85.493,75,42.407,45,58.46,53.466,"I"
20.47,"Class3",53.152,38,"J",17.461,68,21.11,93,9.929,86.09,"F"
62.001,"Class2",31.854,44,"B",28.62,36,45.007,93,57.128,54.038,"L"
50.707,"Class4",40.767,83,"T",80.733,44,46.053,40,66.304,36.756,"R"
41.172,"Class3",52.976,44,"F",20.979,59,54.566,93,7.683,97.199,"F"
39.106,"Class3",58.481,30,"J",20.3,51,41.181,91,10.309,96.019,"F"
47.664,"Class2",38.701,41,"Z",39.014,20,26.316,91,66.811,90.795,"W"
NA,"Class2",99.009,44,"N",18.06,36,37.437,95,42.628,53.173,"L"
54.777,"Class2",67.969,46,"Z",31.738,30,60.379,88,61.876,46.697,"W"
16.876,"Class3",55.281,31,"W",19.287,54,33.438,80,7.501,90.205,"M"
46.865,"Class4",63.427,80,"C",52.286,62,44.8,61,67.155,63.174,"R"
85.913,"Class1",67.919,51,"E",53.232,37,27.694,21,17.114,NA,"D"
41.324,"Class3",58.732,30,"M",18.96,66,58.954,96,3.897,99.848,"C"
57.972,"Class2",20.24,45,"N",38.579,39,53.257,92,45.211,48.709,"A"
87.576,"Class1",61.534,55,"J",68.931,29,17.514,7,10.29,4.805,"N"
42.354,"Class2",35.403,45,"B",34.032,33,26.82,93,66.734,62.224,"A"
7.715,"Class4",63.507,37,"C",80.672,49,40.29,34,76.108,30.146,"R"
54.46,"Class4",50.473,65,"P",75.133,65,50.562,29,64.379,34.565,"X"
NA,"Class2",12.902,44,"N",40.478,39,54.864,94,62.989,89.662,"H"
57.63,"Class2",30.273,45,"B",18.814,41,38.493,94,44.32,62.269,"T"
53.123,"Class3",51.55,37,"Y",17.585,63,70.205,75,10.907,97.121,"F"
5.897,"Class4",80.799,16,"A",56.394,47,41.794,37,59.18,72.538,"I"
52.84,"Class3",53.39,36,"J",22.356,58,80.462,79,5.296,98.575,"M"
75.766,"Class2",66.612,46,"N",29.05,31,35.937,92,36.975,NA,"A"
32.397,"Class3",52.752,40,"F",13.889,48,43.084,91,7.306,95.561,"Z"
19.834,"Class3",54.296,28,"M",12.711,63,52.664,86,13.643,96.893,"I"
63.309,"Class2",2.594,45,"Z",23.973,39,51.563,94,46.221,46.863,"H"
35.556,"Class3",54.245,39,"M",23.14,45,57.27,91,5.146,88.405,"C"
48.285,"Class2",55.237,41,"N",44.583,20,22.908,93,39.668,54.439,"W"
86.858,"Class1",33.257,62,"B",17.498,40,33.059,10,16.11,3.884,"N"
84.265,"Class1",72.516,19,"B",39.677,69,41.923,22,12.733,5.884,"C"
48.44,"Class3",51.384,38,"Y",16.596,64,22.068,89,11.174,86.626,"C"
60.252,"Class2",71.14,41,"V",32.226,36,40.392,91,43.847,NA,"A"
86.548,"Class1",40.974,28,"J",43.427,63,45.252,11,12.905,4.633,"D"
84.182,"Class1",55.474,15,"E",52.809,65,16.061,10,15.474,6.681,"N"
82.898,"Class1",40.008,18,"M",107.398,51,29.125,21,11.98,4.806,"M"
47.357,"Class3",57.236,30,"M",15.249,53,45.949,91,11.177,91.766,"F"
49.834,"Class3",54.178,30,"J",15.419,45,51.407,93,3.709,86.177,"M"
48.164,"Class2",40.097,42,"B",19.889,42,38.855,94,60.834,65.838,"W"
30.677,"Class4",28.159,32,"C",33.966,65,35.717,56,67.128,72.943,"P"
47.447,"Class3",54.129,30,"M",13.664,46,21.238,96,4.607,92.065,"M"
62.523,"Class2",35.253,44,"Z",36.238,25,61.9,93,58.871,45.325,"A"
86.75,"Class1",43.57,58,"M",95.093,40,26.804,18,11.147,NA,"M"
59.115,"Class2",23.461,43,"V",41.212,42,23.252,90,37.028,56.31,"T"
20.148,"Class4",60.385,80,"R",65.227,62,48.404,31,58.13,21.129,"R"
33.475,"Class4",44.21,74,"T",66.347,56,41.832,63,62.712,39.372,"X"
87.203,"Class1",17.074,12,"J",38.869,86,34.917,23,16.174,3.976,"M"
60.778,"Class2",46.89,44,"B",26.354,38,42.51,90,36.984,47.233,"T"
65.767,"Class2",53.63,44,"H",35.985,40,44.83,91,38.732,63.314,"L"
88.681,"Class1",21.076,28,"M",75.547,46,47.278,15,14.55,7.708,"M"
54.509,"Class2",38.379,44,"N",42.606,36,47.329,89,66.114,52.158,"H"
85.016,"Class1",64.41,41,"G",57.9,40,36.777,12,14.479,5.024,"D"
49.436,"Class2",67.216,46,"H",33.709,33,54.958,94,36.479,71.758,"L"
83.933,"Class1",50.867,26,"G",67.578,46,26.561,20,16.676,4.419,"M"
40.999,"Class4",32.851,84,"C",78.843,54,37.274,47,62.776,62.394,"D"
61.469,"Class2",45.522,42,"V",38.088,19,43.419,88,58.842,89.215,"T"
67.464,"Class3",49.378,36,"Y",15.657,60,64.731,95,12.959,96.37,"F"
41.678,"Class3",54.309,34,"J",21.251,61,64.392,81,6.569,91.316,"I"
58.158,"Class2",22.092,43,"N",31.946,38,44.135,93,61.905,66.641,"W"
39.202,"Class4",24.241,84,"P",38.103,78,37.71,31,57.468,18.435,"D"
NA,"Class1",52.532,26,"M",38.41,74,28.915,10,11.192,7.857,"C"
56.905,"Class2",49.607,41,"B",31.25,42,46.907,92,39.448,62.467,"T"
84.172,"Class1",40.598,51,"G",64.396,41,22.052,19,10.565,7.142,"M"
31.335,"Class4",42.132,31,"A",64.385,73,46.416,30,76.345,29.712,"X"
83.634,"Class1",24.03,16,"J",68.876,66,16.878,15,11.035,4.261,"D"
NA,"Class2",4.261,41,"H",28.899,26,57.146,91,62.736,60.722,"L"
59.752,"Class2",29.054,43,"B",32.696,20,17.809,92,48.739,80.202,"A"
63.288,"Class2",71.985,44,"N",23.183,38,46.847,91,37.583,56.937,"A"
NA,"Class4",32.524,39,"C",100.282,55,38.538,41,56.927,33.605,"D"
37.53,"Class4",55.869,59,"C",24.875,47,48.405,52,60.61,19.086,"X"
22.311,"Class3",56.202,34,"W",17.847,54,40.59,84,5.294,92.906,"I"
55.197,"Class2",32.605,44,"N",19.267,42,38.829,94,51.364,54.022,"T"
87.91,"Class1",3.564,56,"J",8.356,94,40.649,6,10.572,6.559,"P"
41.461,"Class3",54.321,45,"Y",15.047,68,26.465,84,3.904,97.519,"I"
57.857,"Class4",52.208,26,"C",26.983,53,48.801,57,73.271,39.803,"R"
65.8,"Class2",47.434,42,"V",29.681,37,29.993,92,42.135,47.76,"A"
66.543,"Class2",24.334,42,"V",64.1,19,32.924,92,44.459,48.946,"H"
55.217,"Class2",4.417,46,"B",26.412,24,59.561,93,62.768,48.215,"T"
54.187,"Class2",69.095,43,"Z",41.208,29,51.473,93,45.497,87.525,"A"
28.63,"Class4",38.343,35,"R",50.694,49,48.131,54,68.169,54.166,"P"
92.088,"Class1",44.897,62,"B",74.143,54,21.456,8,10.665,4.786,"N"
31.323,"Class3",55.704,30,"F",17.989,68,26.4,94,11.279,91.896,"Z"
94.864,"Class1",41.136,44,"B",72.681,42,43.579,10,11.805,3.349,"M"
60.897,"Class3",52.689,30,"F",10.756,50,59.934,90,6.629,89.828,"M"
47.549,"Class4",47.272,46,"P",58.259,44,37.714,38,77.56,69.912,"P"
43.714,"Class4",54.088,62,"P",48.361,56,38.564,39,73.598,NA,"I"
29.168,"Class3",51.104,40,"Y",15.841,51,23.31,84,12.33,99.26,"Z"
5.073,"Class4",55.995,33,"R",58.894,51,40.89,60,57.168,28.448,"X"
89.826,"Class1",43.92,18,"B",30.148,46,13.54,23,16.851,4.124,"C"
73.93,"Class4",49.184,73,"R",34.354,47,42.949,40,57.586,NA,"D"
64.325,"Class2",57.34,44,"Z",39.983,37,33.608,95,48.944,69.815,"W"
87.621,"Class1",72.68,23,"E",53.028,44,44.507,24,17.994,NA,"C"
48.38,"Class2",23.959,44,"V",33.887,24,54.923,94,67.192,79.375,"W"
43.226,"Class4",103.475,26,"P",69.781,43,50.438,37,65.988,60.042,"P"
84.655,"Class1",22.293,40,"B",16.946,83,30.84,13,12.097,NA,"N"
48.95,"Class2",63.126,42,"Z",55.313,20,23.227,88,66.763,86.711,"A"
57.181,"Class2",59.847,44,"Z",39.629,39,51.787,92,52.63,85.347,"T"
39.521,"Class3",52.096,32,"J",25.919,53,34.522,82,12.401,86.187,"F"
34.14,"Class3",56.132,27,"Y",21.257,64,75.361,87,3.291,94.954,"I"
84.774,"Class1",42.345,17,"M",26.044,80,25.461,17,10.323,5.492,"N"
35.472,"Class4",43.848,51,"C",40.692,51,44.87,64,62.956,58.535,"P"
57.628,"Class4",39.305,16,"P",84.774,69,45.971,31,55.017,18.2,"R"
NA,"Class4",62.048,63,"T",48.636,79,39.908,53,52.957,60.903,"I"
58.204,"Class3",52.544,36,"M",16.435,47,37.496,79,13.585,95.695,"C"
36.09,"Class3",54.977,45,"W",17.394,56,33.477,78,12.198,86.323,"I"
59.838,"Class2",54.176,43,"V",39.329,25,59.038,95,56.757,45.873,"L"
NA,"Class4",21.881,50,"T",71.252,77,50.71,58,62.409,52.76,"D"
46.912,"Class3",56.87,36,"F",19.575,63,25.681,92,11.766,98.765,"I"
56.809,"Class2",66.562,43,"N",30.362,26,17.635,94,47.391,53.071,"H"
29.915,"Class4",66.244,32,"A",55.669,49,42.804,39,55.419,20.387,"I"
29.396,"Class4",81.455,37,"T",79.942,72,35.008,58,56.321,62.201,"R"
66.449,"Class2",9.766,43,"H",52.324,34,34.513,89,39.934,51.058,"H"
57.71,"Class4",38.025,30,"R",41.754,72,47.725,34,55.055,50.838,"R"
33.568,"Class4",53.514,80,"C",71.696,45,41.764,40,57.702,53.378,"P"
53.35,"Class4",57.99,38,"A",37.622,44,38.205,28,66.513,NA,"X"
80.308,"Class1",57.998,39,"G",36.131,75,45.433,16,11.532,6.024,"P"
58.057,"Class4",54.824,25,"P",78.66,68,43.636,49,75.432,50.94,"R"
52.792,"Class3",57.792,25,"W",15.709,49,32.671,85,4.517,89.8,"C"
84.847,"Class1",57.693,54,"J",31.979,81,28.999,9,14.276,6.823,"P"
79.373,"Class1",15.095,58,"J",54.5,55,41.836,6,12.182,7.385,"M"
20.007,"Class4",59.657,83,"C",43.604,45,49.367,39,68.24,67.185,"D"
91.084,"Class1",-6.242,46,"M",90.961,43,42.75,13,13.156,7.846,"N"
61.745,"Class2",54.046,42,"N",19.568,24,35.071,93,55.515,83.705,"L"
20.883,"Class4",63.41,32,"R",34.37,54,45.642,34,56.097,49.107,"D"
48.508,"Class3",56.07,29,"M",18.004,54,27.406,91,12.232,95.592,"F"
54.394,"Class3",57.365,42,"W",13.137,54,57.653,79,11.681,98.262,"C"
60.029,"Class2",27.008,46,"Z",35.382,37,51.361,91,36.628,79.283,"W"
56.992,"Class2",65.109,46,"H",34.786,21,43.478,91,59.268,89.919,"W"
61.218,"Class4",69.306,27,"T",82.987,72,36.339,63,77.812,27.887,"X"
47.825,"Class4",54.869,12,"T",71.322,48,47.315,42,56.142,70.841,"R"
84.325,"Class1",69.928,44,"G",41.568,35,40.557,8,11.467,3.989,"C"
26.078,"Class3",53.047,34,"Y",17.071,45,59.884,79,8.782,96.066,"I"
81.69,"Class1",36.351,14,"B",66.584,61,47.623,14,14.447,6.034,"C"
31.424,"Class4",41.475,55,"T",15.534,70,35.582,49,67.28,66.998,"D"
53.941,"Class3",51.652,41,"M",19.563,64,45.375,87,4.439,89.109,"M"
50.677,"Class2",30.337,43,"B",21.155,25,32.493,95,53.555,53.75,"W"
26.487,"Class3",54.877,33,"J",23.928,61,80.317,90,12.303,99.333,"M"
41.537,"Class4",51.205,69,"C",31.508,43,50.937,57,76.249,NA,"I"
41.83,"Class4",67.033,64,"P",12.23,74,41.989,46,55.201,51.396,"I"
82.167,"Class1",49.452,44,"E",29.06,95,36.622,12,12.967,5.4,"P"
59.652,"Class3",54.904,30,"F",14.908,45,70.544,85,11.468,93.785,"C"
87.174,"Class1",22.797,65,"B",51.87,51,45.079,19,12.71,6.252,"P"
8.531,"Class4",43.207,33,"C",90.517,60,49.055,63,53.09,26.848,"I"
53.717,"Class2",28.859,45,"B",30.671,31,57.106,95,66.607,70.068,"W"
84.644,"Class1",2.202,37,"B",12.853,82,49.385,7,13.832,3.119,"M"
86.424,"Class1",12.19,65,"E",47.96,47,24.311,9,12.369,5.685,"D"
56.383,"Class3",50.367,44,"F",13.71,61,55.043,92,8.526,89.426,"Z"
66.386,"Class2",69.702,43,"H",20.307,29,50.614,94,58.948,85.63,"L"
19.968,"Class4",60.305,49,"C",83.607,79,46.197,28,68.857,65.966,"P"
55.163,"Class3",53.279,26,"Y",17.878,58,57.628,94,4.28,97.742,"C"
28.05,"Class4",56.502,49,"P",36.374,79,36.547,33,71.826,37.003,"X"
82.942,"Class1",28.667,58,"B",76.709,95,26.575,10,13.02,6.228,"N"
49.925,"Class2",45.485,44,"B",30.521,20,58.252,95,68.525,79.101,"T"
82.228,"Class1",42.55,19,"G",49.501,47,31.61,10,16.715,6.186,"C"
64.411,"Class2",50.528,45,"Z",29.565,41,58.906,92,37.067,58.973,"H"
