"Output24","Y1","Y2","Y3","Y4","Y5","Y6","Y7","Y8","Y9","Y10","Y11"
"Class4",2.098,27.595,"G",15.652,8.148,93,16.443,40,82.282,"P",16
"Class3",20.48,50.871,"K",27.167,18.653,60,NA,63,71.54,"G",47
"Class3",12.391,48.341,"U",36.44,17.56,96,78.938,73,68.031,"Z",47
"Class4",6.313,23.935,"D",11.226,15.404,80,27.941,74,82.759,"K",16
"Class1",54.713,97.392,"J",58.199,95.531,79,38.719,46,15.98,"A",38
"Class4",5.568,27.942,"R",45.763,39.026,90,45.88,22,82.961,"P",15
"Class2",38.194,86.269,"Q",30.935,45.405,62,52.651,48,13.327,"F",40
"Class1",62.114,94.81,"W",67.747,93.607,71,26.173,69,14.854,"A",39
"Class3",39.065,51.019,"L",33.871,32.733,83,82.803,61,67.215,"H",46
"Class3",18.108,47.66,"L",38.095,31.824,42,69.357,74,67.719,"U",46
"Class4",10.602,25.978,"P",62.046,27.337,92,42.481,62,82.516,"M",16
"Class1",71.524,97.148,"J",19.859,97.729,82,44.363,53,12.715,"V",39
"Class3",36.049,46.337,"I",47.001,43.037,61,82.028,54,67.472,"H",47
"Class1",66.33,93.083,"G",72.9,96.094,73,26.225,65,14.793,"S",40
"Class1",72.079,95.069,"G",73.791,96.753,70,60.314,57,12.156,"A",38
"Class3",47.312,47.737,"U",35.54,25.19,56,68.909,47,66.902,"U",46
"Class3",49.035,51.56,"I",24.865,54.755,42,77.303,45,68.065,"U",47
"Class1",48.458,94.578,"W",48.251,94.718,75,54.915,50,14.689,"V",40
"Class4",11.897,26.965,"R",30.239,8.649,91,22.685,65,82.469,"R",15
"Class2",34.949,91.824,"R",39.118,20.1,61,45.903,56,27.471,"L",17
"Class3",48.51,47.11,"U",41.106,33.215,21,76.085,70,68.121,"H",46
"Class1",60.933,95.842,"P",69.237,95.065,82,58.172,63,15.998,"V",40
"Class2",47.448,86.908,"B",36.444,44.008,60,52.957,52,42.968,"L",41
"Class1",60.719,95.394,"W",60.586,99.673,70,47.481,59,12.178,"E",38
"Class3",45.895,49.337,"J",34.287,40.502,45,NA,60,71.958,"Z",47
"Class1",52.886,94.589,"P",67.129,95.74,71,31.414,64,14.543,"S",40
"Class2",21.602,89.809,"C",24.196,85.249,70,42.36,57,12.606,"G",39
"Class1",60.508,96.329,"P",99.863,92.671,78,42.817,47,13.063,"E",39
"Class4",-3.852,23.636,"R",84.152,16.773,80,31.222,68,82.105,"P",16
"Class3",67.056,46.452,"K",30.631,27.67,63,73.026,76,66.893,"Z",46
"Class4",12.998,27.155,"O",39.909,19.366,57,16.214,35,82.672,"W",15
"Class1",78.493,94.767,"G",26.792,94.484,72,26.838,69,12.238,"E",38
"Class4",5.987,26.922,"D",18.955,23.558,54,57.232,66,82.949,"M",15
"Class1",71.951,93.846,"G",25.916,97.128,73,40.27,50,15.271,"A",39
"Class3",30.229,45.317,"K",46.389,38.535,37,72.396,52,67.501,"O",47
"Class1",61.705,93.948,"J",55.767,95.594,72,35.497,64,12.237,"S",38
"Class3",47.787,50.367,"U",34.397,46.772,61,77.788,56,66.586,"U",46
"Class2",34.949,87.156,"G",35.2,71.735,63,42.453,60,11.337,"F",18
"Class2",53.019,92.193,"C",26.752,56.34,68,49.827,49,38.662,"J",41
"Class2",45.536,85.818,"B",34.482,50.648,62,44.477,46,27.373,"Y",59
"Class4",8.63,26.541,"G",70.391,24.947,88,18.149,53,82.584,"R",15
"Class1",72.771,96.265,"P",63.42,93.692,73,51.43,48,13.029,"V",38
"Class3",48.766,48.557,"U",43.991,32.025,52,77.787,58,71.528,"U",47
"Class4",5.769,26.271,"P",11.163,6.752,67,49.405,54,82.906,"M",15
"Class4",15.473,25.615,"D",81.564,21.301,73,26.715,94,82.682,"M",15
"Class4",10.398,25.413,"D",85.371,6.275,89,25.885,53,82.326,"R",16
"Class2",39.524,93.68,"C",38.805,63.237,63,52.121,49,31.45,"G",22
"Class4",5.253,25.585,"G",66.203,16.714,62,56.152,59,82.792,"W",16
"Class1",61.945,97.04,"J",76.371,93.941,71,59.131,64,15.437,"S",38
"Class2",28.931,90.002,"R",28.072,21.659,70,39.952,57,24.537,"F",56
"Class4",2.48,27.441,NA,72.082,19.195,65,15.679,61,82.619,"W",16
"Class2",22.623,89.818,"C",23.426,45.952,71,41.593,47,27.141,"Y",35
"Class3",24.919,46.533,"U",33.252,40.249,40,68.471,70,67.976,"O",47
"Class3",16.85,47.694,"K",48.973,46.086,60,75.342,64,67.914,"G",47
"Class4",6.009,23.23,"R",40.486,11.561,58,39.417,85,82.587,"W",16
"Class2",42.758,93.04,"B",23.277,68.59,71,45.04,54,32.552,"F",45
"Class1",79.929,92.479,"P",61.562,94.251,70,60.073,53,15.663,"A",40
"Class2",44.992,87.805,"G",41.554,50.539,70,43.317,46,29.632,"L",39
"Class3",9.687,52.261,"K",41.278,27.364,34,80.933,57,71.464,"U",46
"Class4",4.013,24.901,"O",22.992,31.926,65,37.714,55,82.767,"R",16
"Class3",57.978,47.708,"I",39.905,28.57,76,70.882,61,66.789,"U",47
"Class1",65.719,97.792,"G",90.899,92.74,73,NA,45,14.754,"S",40
"Class2",34.26,88.488,"R",31.535,64.214,60,45.879,46,23.278,"J",14
"Class4",8.902,27.527,"R",28.721,12.901,72,24.698,78,82.146,"K",16
"Class1",63.015,92.264,"J",39.877,96.004,73,39.616,64,13.317,"E",39
"Class1",54.568,94.405,"F",57.805,93.214,70,13.791,65,14.163,"L",39
"Class2",39.369,92.837,"Q",26.665,64.902,70,36.679,56,14.646,"Y",31
"Class4",3.753,23.115,"P",39.505,20.115,66,54.684,35,82.955,"M",15
"Class2",28.843,88.916,"G",28.085,42.62,68,51.417,54,23.543,"Y",33
"Class2",31.915,89.021,"B",43.528,81.108,60,37.587,53,20.265,"L",31
"Class4",5.154,25.842,"R",61.874,26.048,86,24.047,92,82.833,"M",15
"Class2",24.708,90.077,"C",12.954,60.934,65,48.073,60,41.518,"G",32
"Class3",33.609,52.239,"J",18.795,46.801,39,83.44,61,68.068,"U",46
"Class1",64.649,96.241,"J",62.798,95.655,72,42.351,48,15.012,"V",40
"Class4",7.539,25.408,"P",43.806,20.94,53,NA,94,82.937,"P",16
"Class1",61.333,95.949,"F",26.283,93.836,72,27.268,62,15.602,"E",39
"Class4",5.248,26.431,"P",76.158,6.745,86,44.425,45,82.217,"W",15
"Class1",77.559,94.951,"P",69.688,94.066,70,49.485,49,12.106,"E",39
"Class4",15.375,26.802,"G",47.377,-7.189,65,17.895,77,82.417,"K",15
"Class4",9.176,23.51,"O",79.753,28.66,60,36.6,34,82.191,"K",15
"Class2",48.756,87.222,"B",27.775,42.819,61,NA,53,11.861,"J",58
"Class4",6.275,27.127,"O",33.447,4.562,77,44.481,35,82.508,"K",16
"Class3",78.738,46.65,"U",31.474,44.562,73,75.694,57,70.803,"H",46
"Class3",77.221,50.244,"I",31.666,38.608,27,80.627,63,69.357,"H",46
"Class4",5.599,27.55,"D",57.969,21.925,59,39.252,31,82.576,"K",15
"Class1",63.362,96.502,"P",50.989,96.247,74,40.642,61,15.779,"E",38
"Class3",5.918,46.74,"J",40.88,25.419,61,84.164,58,68.704,"U",47
"Class2",38.837,91.997,"C",41.246,22.918,63,42.86,50,9.14,"G",50
"Class1",51.714,95.488,"P",76.853,97.478,80,44.614,55,12.726,"E",38
"Class2",38.708,88.906,"R",22.962,85.76,71,41.362,53,22.596,"L",58
"Class2",40.334,89.091,"C",43.316,74.322,60,36.785,49,45.092,"J",36
"Class3",35.726,49.118,"I",28.872,48.16,43,79.318,57,68.806,"O",46
"Class3",53.017,52.412,"J",50.366,32.968,47,79.401,68,71.009,"G",47
"Class1",68.013,94.467,"P",59.281,94.681,83,61.661,59,15.878,"A",39
"Class2",17.071,90.93,"Q",30.426,59.457,70,36.588,54,37.487,"J",20
"Class2",44.991,93.268,"Q",34.785,54.099,65,NA,58,17.07,"L",55
"Class1",59.918,94.666,"J",87.952,94.901,70,40.845,54,12.921,"A",38
"Class2",35.758,91.816,"Q",18.259,23.88,68,45.546,56,16,"F",29
"Class4",1.351,26.432,"D",102.976,21.224,56,26.885,47,82.03,"W",15
"Class4",11.467,25.006,"D",15.793,13.055,77,55.499,47,82.739,"W",16
"Class2",29.004,89.756,"Q",18.46,30.25,64,37.38,58,37.476,"Y",14
"Class2",41.64,87.637,"C",34.52,72.119,61,47.776,57,12.45,"Y",35
"Class1",56.287,96.696,"F",66.62,97.57,70,NA,53,12.743,"L",38
"Class2",58.662,86.089,"Q",32.724,45.317,67,50.485,56,12.14,"J",31
"Class4",11.849,26.584,"P",81.623,24.757,52,49.438,73,82.096,"K",15
"Class3",34.445,45.137,"J",25.678,40.211,93,82.429,48,69.976,"Z",47
"Class2",28.653,91.52,"R",29.977,60.579,60,50.656,61,23.512,"Y",38
"Class3",-0.68,47.397,"J",35.502,29.899,84,75.051,48,69.559,"G",47
"Class2",50.943,85.57,"B",34.158,36.111,59,NA,53,21.934,"L",35
"Class3",31.085,46.823,"U",36.142,35.975,25,78.852,46,71.607,"Z",47
"Class4",13.818,27.557,NA,89.452,16.823,53,17.468,56,82.438,"M",15
"Class2",39.744,85.558,"B",26.732,4.972,68,50.617,58,26.889,"F",31
"Class2",44.182,87.231,"B",26.762,56.562,66,34.837,57,42.553,"J",34
"Class3",43.589,50.586,"I",49.663,40.448,73,73.919,45,70.69,"U",47
"Class4",3.434,27.963,"G",59.418,18.831,60,49.271,23,82.916,"P",16
"Class4",6.76,25.74,"D",44.433,28.084,72,44.389,85,82.476,"P",15
"Class3",-2.828,49.988,"L",25.603,60.799,59,74.763,49,71.444,"U",47
"Class4",9.947,24.271,"P",51.912,15.243,90,55.088,49,82.36,"P",15
"Class3",28.348,52.835,"U",28.512,10.653,84,70.827,57,66.171,"O",47
"Class1",78.369,97.274,"J",77.521,91.325,74,18.276,56,12.811,"E",40
"Class4",10.343,27.904,"O",44.464,5.193,59,52.284,84,82.771,"M",16
"Class4",7.819,24.215,NA,38.426,-1.715,75,38.182,56,82.35,"P",16
"Class3",43.224,47.257,"I",13.278,34.544,26,68.261,63,68.316,"O",47
"Class4",6.562,23.348,"P",32.849,27.863,56,51.666,75,82.483,"R",15
"Class4",7.285,23.904,"G",62.651,10.905,68,61.811,70,82.058,"M",15
"Class1",64.12,97.915,"P",60.992,92.154,83,40.335,45,13.794,"A",40
"Class4",10.091,27.72,"G",19.2,23.395,74,26.591,86,82.463,"K",15
"Class1",52.001,92.294,NA,91.101,95.486,78,25.986,57,14.568,"A",38
"Class1",49.882,95.693,"G",58.582,96.24,82,44.483,47,15.382,"A",39
"Class3",4.929,45.652,"L",28.118,32.409,97,79.845,70,67.886,"G",46
"Class2",42.557,88.543,"B",40.864,49.758,72,52.13,50,20.612,"F",58
"Class3",14.799,47.755,"I",29.651,25.387,65,72.962,44,70.592,"H",46
"Class4",7.286,26.423,"G",52.137,10.029,51,48.509,81,82.309,"P",16
"Class2",30.715,93.672,"B",38.193,35.836,61,NA,50,44.036,"J",52
"Class2",65.925,87.031,"R",8.944,34.018,63,45.358,53,22.826,"Y",19
"Class4",6.395,27.202,"O",40.38,18.944,96,56.808,58,82.084,"K",15
"Class1",53.009,94.727,"W",59.266,96.861,74,47.245,46,13.387,"E",39
"Class2",46.89,93.844,"C",19.958,32.699,72,54.637,47,10.458,"L",39
"Class3",59.513,46.809,"K",35.795,47.504,40,70.47,51,68.986,"O",46
"Class2",36.511,90.57,NA,28.274,55.703,71,39.463,57,40.737,"Y",47
"Class4",3.745,26.856,"G",57.315,7.122,73,35.945,42,82.671,"P",16
"Class3",45.514,45.945,"K",46.227,43.387,22,81.204,46,69.234,"H",46
