"T1","T2","T3","T4","T5","T6","Output19","T7","T8","T9","T10","T11"
48,"J",89.241,61.374,4,29.038,"Class2",18.697,28,"N",35.682,24.433
47,"M",88.109,86.123,27,32.459,"Class2",17.536,60,"X",18.032,22.161
74,"K",69.53,10.852,47,56.284,"Class3",54.696,57,"J",82.81,42.074
65,"I",72.363,14.757,67,29.795,"Class3",56.461,38,"D",66.529,27.702
6,"Y",92.355,71.905,69,74.833,"Class1",64.904,82,"W",79.532,61.539
45,"O",74.475,12.728,44,60.989,"Class3",50.648,66,"J",82.446,23.036
51,"K",86.726,76.551,17,19.547,"Class2",13.561,32,"R",43.56,22.144
2,"C",93.124,31.014,71,34.507,"Class1",84.84,83,"Z",36.283,62.803
2,"P",90.988,90.792,30,74.644,"Class1",49.971,83,"B",33.096,65.175
46,"F",85.719,14.588,87,26.518,"Class3",63.942,50,"L",83.035,21.982
49,"J",88.793,35.807,16,27.974,"Class2",20.352,43,"R",50.509,26.674
50,"K",89.433,59.318,15,17.465,"Class2",23.569,17,"M",38.792,27.407
60,"K",75.229,13.22,71,25.464,"Class3",65.017,67,"L",64.561,19.2
5,"D",92.274,18.595,31,57.7,"Class1",52.25,82,"D",68.515,61.835
15,"C",94.391,-2.622,34,58.634,"Class1",83.094,82,"B",81.744,61.119
17,"Y",93.671,25.222,63,70.499,"Class1",79.375,82,"W",36.79,66.902
13,"N",91.277,57.37,24,69.757,"Class1",80.173,83,"R",70.86,70.642
58,"K",55.402,10.854,36,56.942,"Class3",34.973,24,"T",62.925,12.623
17,"P",90.681,71.083,27,61.807,"Class1",63.748,82,"R",41.11,55.146
77,"O",105.685,12.071,66,44.493,"Class3",48.704,29,"L",81.276,18.509
18,"C",90.84,70.717,47,62.458,"Class1",49.949,82,"B",58.029,70.69
56,"I",66.898,14.572,75,33.94,"Class3",41.231,42,"X",64.793,31.797
49,"Y",89.931,62.491,21,35.429,"Class2",15.278,23,"M",45.441,24.119
3,"P",91.834,41.491,59,46.082,"Class1",72.94,82,"W",70.221,74.011
46,"J",89.934,12.557,21,28.105,"Class2",8.844,13,"C",56.081,21.275
55,"I",102.12,14.347,56,60.072,"Class3",34.452,34,"D",67.445,36.884
5,"D",93.372,58.312,69,65.235,"Class1",52.781,83,"W",42.059,79.008
48,"Y",87.905,21.255,30,25.644,"Class2",36.328,48,"N",50.504,25.104
10,"Y",91.576,63.588,65,74.508,"Class1",85.265,83,"D",64.157,63.216
46,"K",89.167,73.016,25,26.346,"Class2",19.83,56,NA,20.259,26.781
3,"P",91.58,65.349,38,49.568,"Class1",69.283,83,"B",71.132,66.383
48,"K",88.464,28.318,25,19.099,"Class2",11.765,51,"C",6.02,24.762
47,"M",89.29,43.882,2,32.387,"Class2",39.193,31,"X",23.115,26.491
47,"J",90.874,72.784,29,25.323,"Class2",19.165,57,"M",54.513,27.813
69,"S",66.033,14.165,40,52.981,"Class3",76.394,81,"X",62.671,23.713
6,"N",93.913,90.157,46,37.23,"Class1",63.61,83,"Z",62.68,76.785
48,"M",88.364,100.937,2,5.194,"Class2",13.402,58,"N",62.918,25.744
81,"S",61.883,12.144,55,41.689,"Class3",67.08,80,"D",78.028,21.018
4,"P",92.712,60.291,34,48.367,"Class1",54.471,83,"B",82.117,55.647
57,"K",62.752,12.006,81,39.347,"Class3",55.911,37,"J",65.576,38.934
53,"O",70.968,12.272,74,33.609,"Class3",52.759,66,"L",65.575,27.513
15,"N",92.113,26.015,28,74.225,"Class1",49.024,83,"B",47.547,64.971
47,"M",87.477,47.844,9,24.913,"Class2",42.901,55,"R",43.873,26.586
55,"K",76.956,10.867,82,25.005,"Class3",58.266,29,"X",79.824,26.812
4,"P",94.057,60.295,38,33.909,"Class1",80.297,82,"R",51.209,71.969
49,"K",86.591,84.837,14,15.4,"Class2",26.934,15,"N",56.476,27.461
51,"Y",89.158,57.215,10,31,"Class2",14.07,59,"C",9.252,26.581
49,"O",57.094,13.71,57,53.153,"Class3",64.354,43,"J",77.043,34.797
47,"J",89.364,87.949,10,31.865,"Class2",32.506,27,"M",26.102,25.937
64,"F",71.56,12.619,48,40.576,"Class3",30.687,54,"X",62.503,21.737
5,"C",92.18,30.755,55,25.567,"Class1",83.719,82,"D",75.287,67.099
48,"J",86.459,38.905,5,22.264,"Class2",21.27,45,"R",37.985,30.206
46,"W",89.623,-12.988,2,13.515,"Class2",9.175,36,"M",50.487,31.665
15,NA,93.642,24.401,73,36.131,"Class1",71.735,83,"W",58.621,61.541
51,"Y",87.057,60.64,25,30.144,"Class2",41.576,41,"C",11.825,25.417
76,"F",88.771,12.03,60,35.113,"Class3",64.341,40,"L",66.475,15.245
44,"K",95.117,13.567,74,44.783,"Class3",51.638,69,"T",69.277,27.647
85,"K",62.205,11.458,31,39.597,"Class3",46.85,60,"T",84.891,23.282
76,"I",89.208,12.467,69,48.211,"Class3",77.888,43,"J",76.19,36.65
1,"C",92.225,69.493,28,67.589,"Class1",56.942,83,"Z",48.158,71.124
8,"D",92.973,45.541,51,53.725,"Class1",52.164,83,"Z",55.537,74.768
79,"F",82.264,13.169,58,40.939,"Class3",67.154,28,"L",65.77,23.019
48,"W",88.169,22.316,21,8.11,"Class2",23.245,36,"N",14.265,25.993
8,"N",92.884,44.887,38,72.484,"Class1",77.906,83,"R",52.041,59.384
13,"Y",92.999,90.308,45,45.64,"Class1",68.159,83,"W",50.955,68.116
47,"K",88.096,-12.021,22,15.071,"Class2",7.729,54,"R",31.645,25.796
3,"P",94.248,84.019,52,65.802,"Class1",51.895,83,"R",74.577,60.39
46,"M",88.198,125.175,3,22.43,"Class2",31.512,57,"M",15.569,29.867
7,"P",91.793,70.994,67,38.183,"Class1",56.515,83,"B",58.814,70.339
57,"F",77.676,12.911,36,26.881,"Class3",32.583,38,"J",79.172,13.765
5,"D",92.382,23.578,67,45.352,"Class1",49.18,82,"B",39.751,55.376
15,"Y",92.837,84.015,36,44.096,"Class1",65.86,82,"Z",62.984,75.789
82,"S",89.243,15.691,69,52.03,"Class3",79.942,69,"J",63.586,21.514
57,"O",102.077,13.36,67,31.839,"Class3",51.584,35,"L",79.043,32.542
69,"F",90.7,15.367,44,61.655,"Class3",70.748,28,"L",77.32,14.288
47,"K",86.888,25.669,30,15.641,"Class2",18.131,24,"C",3.909,24.333
49,"Y",88.173,68.798,30,24.626,"Class2",41.068,24,"X",57.021,33.62
46,"J",90.128,56.846,21,24.276,"Class2",33.462,32,"X",45.723,24.57
3,"D",93.127,69.849,36,65.258,"Class1",60.875,82,"R",87.23,76.878
62,"I",76.833,13.976,27,62.976,"Class3",53.429,22,"D",70.732,29.215
69,"S",79.86,10.874,62,24.973,"Class3",50.993,71,"D",62.868,31.713
46,"K",88.832,22.116,24,33.456,"Class2",21.383,42,"N",23.273,30.141
76,"S",88.811,10.6,48,59.778,"Class3",40.091,57,"T",72.086,20.487
80,"S",74.573,11.66,48,59.981,"Class3",38.603,72,"D",63.66,14.489
59,"O",44.119,15.208,84,56.699,"Class3",57.477,52,"T",84.53,18.158
46,"S",86.055,14.526,46,57.277,"Class3",41.055,21,"T",76.18,30.928
16,"N",91.38,81.227,39,58.604,"Class1",51.963,82,"Z",44.975,74.685
18,"D",93.498,22.666,65,49.197,"Class1",79.689,82,"R",47.521,68.021
50,"M",88.449,36.195,4,14.808,"Class2",25.477,61,"C",43.019,21.538
7,"N",92.971,14.992,65,38.243,"Class1",79.618,83,NA,45.808,57.157
12,"Y",92.234,45.797,59,55.782,"Class1",74.566,82,"W",60.853,62.378
51,"M",86.229,89.975,15,3.78,"Class2",12.039,43,"C",53.424,26.364
50,"J",87.902,47.917,4,33.108,"Class2",17.444,38,"M",25.976,25.167
48,"I",58.441,11.5,53,29.498,"Class3",37.529,66,"L",77.389,30.054
50,"K",90.158,78.505,24,3.717,"Class2",8.784,34,"N",44.76,26.865
68,"S",106.556,11.825,69,32.041,"Class3",34.947,63,"T",81.049,14.75
50,"J",89.187,72.425,3,26.346,"Class2",16.882,54,"X",29.577,25.958
47,"J",86.988,-30.696,28,30.806,"Class2",4.613,53,"N",56.737,25.202
63,"K",74.802,12.089,66,41.916,"Class3",45.241,52,"X",73.675,19.661
5,"C",91.486,10.965,47,63.34,"Class1",69.855,83,"D",82.772,58.552
9,"D",91.023,40.42,31,23.133,"Class1",53.63,83,"D",62.781,67.82
74,NA,87.192,12.412,63,59.009,"Class3",31.755,74,"T",64.255,22.361
48,"Y",88.897,50.919,25,23.279,"Class2",4.516,57,"C",54.148,22.722
46,NA,88.782,21.003,27,5.229,"Class2",32.924,33,"N",23.088,27.687
46,"J",88.772,84.087,9,20.155,"Class2",5.046,19,"C",3.392,24.232
61,"F",82.973,13.876,78,41.768,"Class3",68.444,29,"T",72.172,29.098
48,"W",88.366,84.242,22,5.659,"Class2",12.526,44,"N",14.663,28.569
12,"P",93.233,76.35,36,57.654,"Class1",69.048,83,NA,41.102,62.324
49,"J",89.246,120.7,9,4.552,"Class2",20.783,12,"N",14.975,24.709
64,"K",83.186,13.611,55,49.768,"Class3",37.955,68,"J",82.61,25.438
47,"K",87.963,48.765,9,29.091,"Class2",35.869,54,"R",6.535,25.199
1,"P",93.161,51.106,48,63.36,"Class1",71.871,82,"B",73.744,69.744
9,"D",92.216,53.606,67,40.744,"Class1",71.355,82,"Z",62.009,64.414
10,"P",92.85,-7.174,50,28.097,"Class1",69.631,82,"Z",49.616,66.198
11,"P",92.794,92.13,47,25.147,"Class1",78.658,83,"D",90.339,67.34
76,"I",72.928,14.025,78,24.094,"Class3",55.443,49,NA,82.652,28.647
3,"C",91.046,26.907,65,29.306,"Class1",49.546,83,"B",40.208,60.574
49,"W",87.511,34.624,3,25.367,"Class2",12.524,60,"N",21.402,26.187
13,"Y",92.695,54.083,45,60.408,"Class1",68.044,83,"Z",85.426,61.083
48,"M",86.444,21.985,11,12.815,"Class2",13.915,32,"C",31.404,25.516
15,"C",92.403,13.546,29,36.72,"Class1",87.929,82,"W",49.647,64.896
55,"S",65.912,12.392,77,27.211,"Class3",66.732,70,"L",82.111,26.732
84,"K",90.528,13.33,46,49.838,"Class3",63.547,82,"D",79.039,31.766
7,"N",94.442,31.183,53,42.522,"Class1",62.89,83,NA,82.801,62.28
46,"O",66.572,14.344,36,21.819,"Class3",48.059,59,"D",65.513,33.917
50,"M",87.545,50.177,18,32.725,"Class2",16.851,26,"C",57.255,24.937
49,"K",88.01,115.86,3,24.126,"Class2",10.48,27,"M",28.425,25.573
18,"P",92.145,39.428,41,59.224,"Class1",70.646,82,"D",33.845,73.668
8,"N",92.821,68.551,28,27.828,"Class1",55.648,83,"B",45.401,69.353
48,"J",89.34,60.782,2,10.426,"Class2",29.319,41,NA,61.86,23.181
15,"C",91.949,85.103,24,22.785,"Class1",72.486,82,"Z",54.955,70.153
7,"D",92.607,79.408,56,73.454,"Class1",88.532,83,"Z",74.678,74.674
62,"S",83.489,13.669,76,32.278,"Class3",52.209,52,"J",82.72,28.793
84,"K",85.675,11.566,73,53.999,"Class3",71.35,70,"J",62.64,35.071
51,"J",87.845,32.549,24,12.34,"Class2",30.303,21,"M",50.163,26.31
82,"S",77.628,12.561,49,52.245,"Class3",49.173,43,"J",63.698,34.361
48,"K",88.617,57.907,27,13.36,"Class2",37.321,52,"N",12.895,27.939
10,"N",91.059,101.876,44,62.431,"Class1",90.913,83,"W",77.361,51.767
1,"Y",91.769,85.121,30,26.262,"Class1",88.198,83,"B",44.248,60.409
51,NA,88.476,48.308,23,13.842,"Class2",34.681,48,"C",12.163,25.791
52,NA,74.364,11.893,51,32.036,"Class3",77.574,64,"X",77.868,42.462
3,"D",94.346,64.889,29,31.897,"Class1",63.765,83,"B",91.776,63.907
52,"O",76.742,13.711,34,42.61,"Class3",33.999,55,"X",68.73,25.665
76,"S",72.185,13.256,39,51.88,"Class3",50.193,21,"D",72.437,39.977
69,"F",99.301,13.963,46,25.759,"Class3",70.601,69,"D",70.505,6.727
49,"J",89.318,17.371,6,11.069,"Class2",20.842,53,"M",40.561,25.987
16,"N",92.492,9.84,46,61.007,"Class1",76.429,82,"B",86.752,61.778
48,"Y",88.12,47.626,11,32.687,"Class2",21.822,61,"R",24.085,29.976
1,"C",92.715,55.934,54,71.535,"Class1",61.385,83,"D",47.902,60.872
46,"M",87.95,11.751,8,17.399,"Class2",13.977,37,"N",11.192,21.334
4,"C",91.838,69.104,34,32.689,"Class1",52.245,83,"B",63.625,66.359
9,"P",92.106,75.746,69,51.689,"Class1",60.159,82,"D",83.758,62.61
45,"F",79.324,11.9,68,64.875,"Class3",60.321,65,"D",82.716,32.718
49,"Y",87.591,50.595,25,17.975,"Class2",22.195,15,"N",30.423,24.056
46,"K",88.155,52.234,21,12.506,"Class2",4.884,36,"C",29.783,26.37
3,"Y",92.736,62.363,47,64.238,"Class1",71.926,83,"R",47.497,62.819
4,"C",92.696,55.916,64,45.26,"Class1",53.438,83,"D",79.461,72.367
81,"O",73.567,13.006,27,64.889,"Class3",63.399,23,"D",62.715,8.246
46,"S",75.674,14.777,81,49.007,"Class3",38.293,68,"L",76.989,22.229
50,NA,87.988,58.765,11,18.361,"Class2",10.8,34,"M",26.398,22.485
49,"J",88.96,43.164,4,19.742,"Class2",19.877,51,"M",29.952,20.491
48,"Y",87.87,96.564,10,4.814,"Class2",19.413,20,"N",33.81,20.981
8,NA,92.712,68.149,38,31.969,"Class1",73.967,82,"W",81.321,70.088
77,"K",73.902,12.67,30,47.062,"Class3",40.269,33,"T",76.125,33.115
8,"P",91.694,76.264,47,27.846,"Class1",64.86,82,"R",91.917,64.664
17,"N",92.284,-14.298,56,42.548,"Class1",54.719,83,"W",55.171,61.187
49,"W",88.339,51.297,22,5.594,"Class2",24.871,59,"C",13.033,22.038
49,"K",87.591,8.139,29,33.467,"Class2",31.213,48,"C",49.116,25.103
12,"Y",92.516,37.119,34,52.023,"Class1",77.639,82,"Z",78.087,69.652
46,"K",88.84,63.426,23,26.326,"Class2",7.786,18,"X",29.444,23.104
67,"K",88.646,11.616,68,29.54,"Class3",63.096,63,"D",84.976,36.15
3,"C",91.24,52.582,47,43.177,"Class1",77.478,82,"W",42.966,70.642
17,"Y",91.462,112.753,32,51.523,"Class1",71.285,82,"D",81.971,54.929
46,"W",88.539,16.801,18,3.509,"Class2",27.486,53,"R",10.706,23.289
51,"M",88.374,105.872,22,22.925,"Class2",11.284,18,"N",47.155,28.369
16,"C",91.724,99.479,68,27.927,"Class1",83.246,83,"D",33.328,62.093
11,"Y",93.138,57.333,63,64.327,"Class1",57.543,82,"D",51.506,70.861
59,"O",73.083,10.451,74,61.424,"Class3",32.502,39,"T",67.367,19.877
14,"N",92.812,17.823,61,64.552,"Class1",69.405,83,"W",56.83,69.434
80,"I",82.17,11.244,88,57.124,"Class3",32.486,57,"D",79.143,25.792
15,"C",92.785,96.863,73,38.429,"Class1",85.015,83,"W",53.352,71.692
50,"Y",87.987,77.275,21,13.921,"Class2",35.221,52,"N",10.303,27.459
51,"M",88.74,45.116,17,13.621,"Class2",18.359,23,"N",46.629,27.451
3,"N",92.485,43.429,46,33.813,"Class1",60.203,82,"R",45.564,67.065
79,"O",88.76,15.155,66,62.845,"Class3",41.223,61,"T",74.804,0.432
48,"W",89.302,7.262,28,21.023,"Class2",18.507,34,"M",24.408,24.565
51,"M",89.012,-16.477,12,10.889,"Class2",40.597,37,"M",30.256,23.506
54,"K",71.635,13.487,32,42.743,"Class3",38.818,60,"D",77.977,39.568
49,"J",87.419,30.925,11,16.897,"Class2",12.614,49,NA,35.343,26.737
49,"M",87.751,-17.886,22,21.638,"Class2",16.483,58,"R",15.664,26.243
15,"D",90.429,52.917,35,24.393,"Class1",87.255,83,"B",67.938,63.361
72,"K",80.814,14.872,34,54.921,"Class3",44.511,52,"L",80.896,10.891
49,"J",89.23,33.826,7,9.004,"Class2",31.062,26,"C",49.032,26.06
48,"Y",88.535,60.996,13,3.627,"Class2",40.494,30,"C",10.011,23.743
51,"O",62.332,11.116,54,25.673,"Class3",40.851,61,"J",67.639,18.958
48,"Y",89.402,43.375,12,31.44,"Class2",17.36,35,"C",13.142,24.685
64,"S",72.84,11.815,84,53.138,"Class3",33.957,47,"D",79.772,37.222
51,"F",82.679,11.539,59,22.091,"Class3",72.716,65,"X",84.604,16.87
14,"D",92.139,17.168,40,51.924,"Class1",69.322,83,"R",83.679,62.054
49,"W",89.024,73.878,4,33.516,"Class2",5.532,32,NA,19.418,25.208
16,"P",93.53,30.418,53,43.935,"Class1",55.82,83,"D",42.889,64.789
18,"Y",91.976,26.135,42,48.785,"Class1",58.9,82,NA,46.986,63.323
56,"S",65.494,13.766,30,22.166,"Class3",63.683,35,"X",83.948,21.495
48,"M",86.887,0.648,20,26.816,"Class2",13.589,33,"X",28.813,26.448
79,"K",69.476,12.817,70,62.614,"Class3",35.062,33,"T",62.089,28.137
59,"I",78.172,11.638,63,29.241,"Class3",36.271,78,"T",64.057,33.18
47,"O",65.602,13.28,58,48.59,"Class3",36.858,21,"J",78.613,22.182
51,"J",88.153,101.175,18,22.164,"Class2",41.266,35,"N",26.434,25.472
50,"J",88.127,72.629,17,30.026,"Class2",35.086,59,"M",31.649,25.258
47,"K",88.117,63.39,30,23.937,"Class2",33.197,13,"X",58.518,31.743
2,"P",92.501,75.72,23,46.628,"Class1",53.197,83,"D",34.037,65.908
49,"O",88.962,11.396,50,57.738,"Class3",63.27,26,"D",71.473,22.883
51,NA,87.147,78.025,19,14.353,"Class2",31.134,39,"R",34.885,27.273
65,"I",77.667,14.214,33,22.435,"Class3",44.361,64,"J",79.158,35.3
55,"S",63.946,12.656,28,59.485,"Class3",38.436,36,"X",75.628,19.752
4,"C",91.147,83.767,56,46.382,"Class1",87.63,82,"D",56.703,63.031
48,"W",88.814,46.657,18,16.654,"Class2",10.049,17,"R",52.468,19.213
51,"M",88.864,103.254,11,18.929,"Class2",27.227,42,"N",26.674,23.584
17,"Y",91.49,61.604,59,32.293,"Class1",86.931,83,"Z",64.987,70.922
10,"N",93.225,39.337,24,32.464,"Class1",88.164,83,"B",78.581,67.322
50,"F",83.384,14.133,62,27.351,"Class3",76.116,69,"X",66.73,24.358
50,"J",88.023,21.559,20,12.03,"Class2",38.73,32,"C",6.884,26.113
81,"I",72.525,14.665,67,35.582,"Class3",77.366,33,NA,72.762,22.899
46,"M",87.805,8.405,27,7.513,"Class2",25.627,29,"M",19.574,22.324
51,"W",87.881,84.021,13,29.389,"Class2",4.764,23,"X",43.623,25.843
74,"I",70.675,10.448,62,61.881,"Class3",29.841,49,"J",78.739,28.209
85,"S",60.966,12.8,68,56.895,"Class3",75.447,51,NA,64.642,3.088
78,"K",61.933,12.439,60,60.98,"Class3",74.313,61,"T",84.284,38.168
51,"Y",88.533,25.826,21,24.984,"Class2",40.511,58,"N",12.175,25.487
2,"Y",92.563,97.708,53,34.888,"Class1",85.302,82,"D",74.701,80.81
53,"S",70.05,11.804,87,23.088,"Class3",72.703,79,"J",68.546,18.941
50,"W",90.294,64.426,17,12.635,"Class2",26.367,48,"M",26.566,27.537
79,"O",85.58,12.871,49,54.774,"Class3",50.338,78,"X",75.406,40.052
61,"I",115.152,11.795,60,62.28,"Class3",44.098,55,"D",70.735,13.174
47,"K",86.758,53.058,9,14.252,"Class2",30.356,28,"X",57.403,26.316
80,"F",67.775,11.969,27,61.767,"Class3",50.217,46,"T",74.918,30.629
46,"K",89.454,19.274,17,21.329,"Class2",22.94,61,"X",38.872,26.417
13,"P",91.959,70.495,38,61.604,"Class1",84.523,83,"R",84.766,63.769
85,"O",59.972,14.808,83,38.25,"Class3",56.722,36,"X",65.864,16.879
51,"Y",87.222,59.391,27,32.439,"Class2",39.683,50,NA,45.808,34.731
50,"J",88.299,52.386,21,32.159,"Class2",41.062,34,"C",61.385,22.811
12,"C",92.665,105.564,47,34.325,"Class1",69.148,82,"R",41.175,61.067
10,"Y",92.268,75.157,41,26.908,"Class1",68.672,82,"W",61.874,62.952
11,"N",91.929,66.922,28,72.521,"Class1",51.155,82,"W",34.669,67.754
76,"S",65.953,12.909,57,54.428,"Class3",57.959,53,"D",79.031,15.174
10,"N",90.833,42.01,39,48.679,"Class1",64.298,83,"D",56.644,59.186
13,"Y",93.049,68.412,62,48.207,"Class1",74.881,83,"B",86.663,61.448
16,"N",93.807,42.132,70,68.552,"Class1",62.077,83,"D",90.802,65.736
84,"I",83.177,12.184,44,46.351,"Class3",45.503,33,"D",73.062,24.278
15,"P",92.203,10.417,23,41.251,"Class1",65.095,83,"B",69.594,66.048
49,"W",89.955,37.229,26,8.438,"Class2",26.498,54,"M",9.846,28.364
85,"F",74.427,12.064,29,49.123,"Class3",62.108,50,"T",75.406,29.532
48,"K",89.457,54.677,18,26.211,"Class2",39.314,50,"M",56.35,29.472
51,"K",88.491,90.394,22,13.365,"Class2",32.907,59,"R",55.523,31.549
82,"S",67.099,13.224,32,43.943,"Class3",60.508,79,"J",78.661,24.348
6,"P",91.322,87.796,52,40.71,"Class1",51.006,82,"W",44.256,53.071
51,"K",70.235,13.63,66,60.289,"Class3",60.953,45,"X",68.264,11.743
64,"K",63.922,15.635,52,23.36,"Class3",70.399,43,"D",66.736,26.612
48,"M",85.64,119.01,24,4.605,"Class2",26.982,32,"C",22.754,25.097
16,"P",93.899,89.266,40,62.969,"Class1",84.204,83,"R",62.847,62.458
73,"S",81.798,11.527,57,47.498,"Class3",38.561,77,"X",71.383,28.985
73,"K",87.977,12.212,73,38.058,"Class3",44.435,77,"L",74.445,28.731
85,"O",81.25,13.299,75,59.386,"Class3",27.616,55,"L",70.995,24.558
47,"M",87.001,42.354,20,11.844,"Class2",5.881,56,"X",10.052,26.189
2,"C",93.186,57.421,44,41.53,"Class1",87.985,82,"R",91.521,69.424
5,"Y",89.971,98.025,38,51.539,"Class1",85.237,82,"Z",82.022,70.484
44,"I",86.93,13.402,50,51.846,"Class3",76.854,69,"T",64.332,21.406
18,"Y",90.615,23.299,71,39.617,"Class1",59.745,83,"B",86.158,66.163
60,"F",81.276,14.212,84,65.285,"Class3",60.247,77,"D",69.717,40.847
62,"S",60.373,15.5,44,61.455,"Class3",45.624,39,"T",81.292,25.716
46,"I",87.11,12.169,61,27.255,"Class3",50.965,30,"J",66.348,32.259
50,"K",89.026,93.151,19,6.154,"Class2",42.936,59,"C",57.802,29.956
13,"Y",92.465,50.178,48,65.526,"Class1",82.461,82,"B",63.554,61.439
48,"Y",88.479,48.543,24,10.702,"Class2",13.594,48,"C",44.829,29.659
46,"J",88.161,76.849,17,16.624,"Class2",15.935,44,"M",16.853,27.829
50,NA,89.698,86.982,14,33.094,"Class2",17.146,17,"M",58.341,24.525
73,"K",87.202,12.619,48,27.302,"Class3",77.818,44,"X",69.128,13.562
50,"M",88.148,-24.365,27,30.691,"Class2",22.739,43,"C",52.116,29.34
51,"M",88.039,50.044,17,28.766,"Class2",10.862,42,"X",20.307,23.907
47,"W",88.727,34.091,10,25.542,"Class2",11.14,15,"N",45.716,27.559
83,"K",104.769,12.456,78,27.88,"Class3",41.236,59,"D",72.772,27.666
46,"K",90.135,6.252,2,3.331,"Class2",33.354,29,"R",25.63,28.696
44,"K",61.465,12.867,28,40.596,"Class3",66.257,54,"T",80.268,30.969
9,NA,93.829,41.753,71,38.359,"Class1",79.724,82,"R",50.505,67.022
79,"K",92.767,14.596,44,27.489,"Class3",54.007,36,NA,70.981,34.239
47,"Y",90.003,40.736,13,32.182,"Class2",16.421,51,"C",39.636,29.93
46,"W",88.906,88.011,24,19.373,"Class2",30.857,33,NA,21.038,17.986
50,"K",87.809,6.94,23,14.472,"Class2",36.897,11,"C",17.275,26.595
85,"F",79.739,13.908,45,25.337,"Class3",53.067,73,"D",70.172,13.851
9,"P",93.607,70.398,26,29.65,"Class1",89.958,82,"R",33.456,62.796
15,"C",92.257,12.799,34,33.723,"Class1",82.829,82,"B",61.717,71.466
51,"K",88.145,95.322,15,31.774,"Class2",37.585,33,"R",19.79,33.377
72,"O",81.294,11.705,69,33.328,"Class3",46.318,34,"X",78.32,19.554
7,"P",91.687,65.162,49,71.367,"Class1",74.074,82,"W",42.898,64.308
47,"W",89.73,29.317,5,10.093,"Class2",7.025,31,NA,50.51,29.023
46,"Y",89.293,33.82,22,8.475,"Class2",6.572,33,"C",4.784,28.391
7,"P",92.673,15.106,31,37.046,"Class1",48.116,82,NA,39.852,73.285
15,"C",94.085,35.109,41,45.935,"Class1",87.342,82,"D",74.241,71.691
78,"F",77.475,11.892,61,22.825,"Class3",60.465,67,"J",77.645,16.297
14,"Y",91.04,33.913,70,25.569,"Class1",81.395,83,"Z",88.67,63.782
47,"K",71.622,12.746,63,61.699,"Class3",64.955,48,"T",72.791,21.027
47,"M",89.578,27.073,20,11.758,"Class2",17.734,30,"C",56.865,27.616
15,NA,92.082,54.397,43,27.227,"Class1",87.03,83,"B",73.315,70.787
