"I1","I2","I3","I4","I5","I6","I7","I8","Output8","I9","I10","I11"
74.059,4.893,"O",48.915,63.992,71,82,87,"Class3","E",22.255,22.112
71.986,64.501,"G",85.962,59.824,50,38,54,"Class2","K",79.44,78.398
73.433,79.437,"Q",70.041,72.285,70,37,84,"Class2","U",84.093,81.444
86.142,83.157,"S",89.602,64.668,57,54,39,"Class2","Y",78.774,74.968
67.908,69.378,"I",48.093,52.507,74,88,86,"Class3","W",29.086,20.932
67.626,67.167,"Q",65.017,69.002,64,32,82,"Class2","H",76.256,74.017
82.54,73.004,"H",25.196,46.446,50,81,87,"Class3","T",48.376,23.492
39.207,15.537,"B",36.802,53.11,48,92,80,"Class4","O",89.313,62.214
84.815,83.388,"O",89.983,42.141,78,87,87,"Class3","E",36.043,23.715
82.656,44.768,"L",42.835,30.138,57,88,85,"Class3","E",21.948,23.134
88.025,65.323,"S",68.486,70.023,57,15,75,"Class2","Y",75.019,72.458
45.824,67.87,"E",35.137,59.54,15,37,12,"Class1","T",76.179,27.143
69.536,39.401,"I",36.029,51.138,73,84,87,"Class3","T",45.225,21.392
73.917,6.586,"I",70.515,52.495,53,80,85,"Class3","X",27.655,20.518
40.505,62.042,"Q",45.719,59.158,61,34,10,"Class1","T",93.473,42.319
48.38,10.124,"V",38.846,108.66,68,34,17,"Class1","T",93.201,43.57
72.29,79.235,"M",70.326,53.274,48,43,66,"Class2","T",81.648,83.987
34.107,5.988,"S",33.241,57.654,60,85,80,"Class4","Z",80.019,68.178
NA,84.897,"L",42.399,29.269,78,83,87,"Class3","X",33.782,20.869
85.266,63.38,"M",74.886,62.873,68,22,79,"Class2","U",81.461,69.002
48.012,87.566,"F",41.943,40.601,50,36,16,"Class1","M",88.271,49.03
42.13,13.082,"F",42.747,74.352,89,31,17,"Class1","M",77.483,51.529
41.136,12.771,"B",65.048,85.318,34,68,44,"Class4","X",92.806,62.024
87.507,42.249,"O",68.674,36.536,49,87,86,"Class3","I",16.591,23.612
68.331,76.772,"G",83.936,64.681,56,31,40,"Class2","K",73.747,76.009
89.319,59.537,"L",23.991,34.223,66,90,88,"Class3","T",41.399,21.183
91.488,19.996,"I",37.272,26.804,53,82,87,"Class3","E",24.68,21.823
48.956,12.901,"J",36.214,68.421,27,62,25,"Class4","X",79.739,62.697
43.494,72.017,"Y",39.864,63.294,80,40,11,"Class1","B",82.28,44.385
44.08,53.343,"V",40.053,38.701,64,37,16,"Class1","E",65.967,56.354
88.42,39.527,"H",41.422,39.797,77,84,86,"Class3","X",38.982,21.215
83.681,74.365,"O",48.055,55.981,68,89,88,"Class3","E",19.305,20.684
41.25,70.62,"Q",40.71,73.816,53,34,13,"Class1","E",NA,58.75
43.54,42.239,"F",39.28,28.975,66,25,12,"Class1","T",91.139,81.569
NA,27.529,"S",47.317,52.894,60,88,87,"Class3","T",25.934,24.499
91.125,46.852,"H",53.967,50.256,74,86,85,"Class3","T",48.977,24.517
42.734,10.069,"B",16.43,44.435,47,65,33,"Class4","Z",78.814,43.396
41.156,30.596,"I",36.035,82.489,48,63,30,"Class4","C",83.481,56.828
26.928,20.224,"B",35.842,40.579,38,66,8,"Class4","C",85.711,62.433
88.394,53.971,"S",47.708,52.767,57,86,87,"Class3","T",39.067,19.998
85.777,24.292,"S",66.523,38.359,62,87,86,"Class3","W",40.115,23.064
78.533,2.976,"O",25.802,37.434,81,82,87,"Class3","X",46.84,20.882
71.019,45.217,"H",23.244,34.624,64,90,85,"Class3","I",16.693,21.786
76.684,52.337,"I",33.532,36.669,49,90,88,"Class3","W",44.12,20.371
69.472,78.567,"J",72.402,52.741,70,29,85,"Class2","H",74.807,83.189
68.335,78.241,"J",63.847,58.909,51,26,72,"Class2","U",81.889,62.377
70.143,34.012,"I",72.997,41.195,77,90,85,"Class3","W",16.074,20.595
74.115,80.898,"J",55.109,57.59,56,27,62,"Class2","H",73.951,75.295
44.417,17.523,"Q",37.819,71.933,9,24,16,"Class1","A",65.038,81.637
45.485,52.574,"E",38.153,58.087,93,31,16,"Class1","E",68.853,15.295
73.251,85.234,"Q",54.516,60.368,48,48,68,"Class2","T",79.407,74.532
73.345,84.069,"G",85.538,49.715,67,30,75,"Class2","Y",82.88,74.947
79.804,61.981,"G",87.572,57.216,57,32,59,"Class2","T",77.857,61.946
88.52,57.627,"H",62.776,39.753,60,80,88,"Class3","T",39.275,20.958
68.336,52.815,"S",41.849,48.084,81,82,86,"Class3","W",40.023,21.041
53.192,29.892,"B",63.559,61.848,23,64,39,"Class4","X",70.547,54.691
37.2,77.651,"F",39.07,64.011,70,26,12,"Class1","M",67.298,42.938
71.8,63.667,"J",78.619,57.446,53,43,27,"Class2","T",84.405,80.186
88.379,83.38,"G",62.565,54.156,53,32,72,"Class2","H",72.076,85.92
73.243,48.183,"S",70.827,64.476,60,83,86,"Class3","E",32.385,20.183
82.753,71.694,"Q",82,65.542,55,16,43,"Class2","Y",78.286,91.919
68.117,42.234,"I",27.191,55.48,80,90,86,"Class3","I",22.665,23.035
50.725,20.737,"S",31.496,76.506,34,57,15,"Class4","Z",83.315,49.997
41.185,66.758,"Q",40.185,61.829,91,37,10,"Class1","M",89.594,47.946
44.859,43.492,"E",35.169,63.368,32,24,12,"Class1","B",72.191,61.277
44.447,83.596,"E",39.633,105.948,24,36,14,"Class1","M",72.224,38.701
75.082,68.646,"S",78.138,88.33,64,45,46,"Class2","Y",82.501,76.673
NA,77.479,"V",44.169,90.341,74,36,10,"Class1","T",74.008,57.145
79.541,18.289,"L",49.269,54.569,80,83,87,"Class3","W",26.527,21.377
28.45,32.156,"S",71.884,82.865,50,81,13,"Class4","Z",73.719,67.094
53.715,20.357,"O",38.237,60.452,50,72,30,"Class4","X",86.674,59.627
49.68,40.572,"E",43.34,91.258,20,36,10,"Class1","M",71.44,52.905
80.972,79.101,"G",84.549,75.371,61,45,44,"Class2","K",78.641,66.525
40.369,8.856,"I",40.008,25.409,35,91,54,"Class4","X",66.421,60.919
38.694,10.254,"Q",42.867,23.531,77,32,13,"Class1","E",92.08,55.686
48.473,55.782,"Q",41.915,48.333,90,27,16,"Class1","T",77.762,49.805
84.467,69.245,"G",61.952,37.404,60,34,38,"Class2","U",79.587,98.572
77.8,62.616,"G",46.342,65.871,52,58,65,"Class2","T",77.888,84.899
90.992,61.339,"Q",112.701,69.813,68,46,66,"Class2","K",73.507,76.193
74.056,73.534,"Q",70.237,65.318,54,46,33,"Class2","H",79.495,73.658
50.646,67.165,"E",37.284,54.788,91,38,13,"Class1","B",66.078,12.376
39.229,31.738,"Y",34.334,54.282,91,25,12,"Class1","T",81.902,38.144
47.042,58.801,"Q",37.216,25.95,79,32,14,"Class1","M",68.811,45.892
81.979,62.504,"J",73.9,63.553,55,28,46,"Class2","K",82.297,68.484
91.212,31.948,"L",43.885,43.433,64,82,88,"Class3","E",34.371,21.88
38.07,16.234,"F",36.384,104.298,59,27,12,"Class1","T",NA,29.793
48.6,29.962,"V",40.517,77.733,70,38,11,"Class1","B",82.097,44.756
43.222,67.672,"V",36.11,85.598,17,28,16,"Class1","B",84.7,-4.054
47.848,75.028,"Y",38.694,14.518,27,34,10,"Class1","M",83.21,88.914
66.156,35.85,"S",34.266,27.446,56,87,85,"Class3","E",NA,23.382
48.624,91.019,"Q",41.739,71.493,67,32,15,"Class1","B",86.971,60.901
26.069,5.053,"O",46.965,78.78,48,80,36,"Class4","Q",85.296,62.717
38.515,24.652,"S",68.187,45.369,38,58,43,"Class4","O",78.445,56.474
88.935,86.152,"I",53.821,63.171,47,80,87,"Class3","W",31.627,20.555
46.564,33.044,"S",56.412,41.625,30,54,38,"Class4","C",72.205,54.975
86.304,85.049,"J",73.728,54.626,58,37,27,"Class2","T",80.258,73.482
41.172,33.348,"E",37.687,65.005,39,35,11,"Class1","T",77.241,43.092
77.973,18.002,"L",38.682,41.378,63,84,86,"Class3","X",31.196,24.64
NA,62.991,"Y",39.258,64.628,88,32,13,"Class1","E",70.864,70.09
48.064,13.036,"J",40.476,80.24,47,66,12,"Class4","O",76.556,62.395
32.163,22.726,"I",39.511,51.904,24,59,38,"Class4","Z",81.79,60.175
31.674,6.879,"S",49.391,54.468,31,66,28,"Class4","X",73.037,65.164
86.093,47.474,"L",43.077,53.281,74,81,86,"Class3","W",39.075,22.902
43.97,29.204,"Y",33.162,84.26,94,34,15,"Class1","M",73.667,15.894
43.357,10.502,"S",70.119,87.867,43,53,17,"Class4","Q",81.928,67.202
50.681,68.409,"F",38.862,58.566,36,24,16,"Class1","E",68.656,18.408
89.381,72.139,"J",68.137,52.139,49,40,52,"Class2","U",78.267,77.167
43.261,28.415,"Q",39.434,102.776,60,30,14,"Class1","T",72.599,56.854
84.204,68.187,"J",86.169,65.961,62,44,75,"Class2","Y",72.002,64.519
41.01,52.012,"F",37.934,80.116,43,39,16,"Class1","M",89.604,34.827
39.868,30.975,"O",51.414,34.044,27,53,38,"Class4","X",88.615,61.044
24.19,29.963,"S",29.773,87.836,56,85,46,"Class4","Q",83.171,63.651
85.091,31.511,"I",45.613,40.301,61,87,85,"Class3","I",38.963,23.26
88.395,64.704,"L",33.936,51.862,56,90,87,"Class3","T",46.426,24.504
79.295,24.699,"L",56.724,52.915,58,84,85,"Class3","E",38.519,24.267
NA,86.385,"I",13.948,48.108,81,83,85,"Class3","X",30.936,21.976
75.68,64.684,"Q",88.031,60.719,69,22,84,"Class2","T",76.006,77.392
48.224,32.01,"V",42.542,39.524,94,35,13,"Class1","B",84.844,33.914
66.318,79.919,"H",63.572,46.224,79,80,88,"Class3","W",22.111,24.744
88.721,49.93,"O",65.04,43.102,80,88,86,"Class3","X",23.828,21.648
67.706,79.622,"S",74.952,56.12,69,60,82,"Class2","H",83.552,75.859
38.478,7.446,"J",58.094,48.825,33,60,80,"Class4","X",90.014,63.463
NA,8.227,"I",40.355,81.117,53,82,55,"Class4","O",68.475,65.655
81.68,67.924,"S",62.832,71.711,58,50,40,"Class2","K",83.056,81.507
52.655,1.68,"B",48.621,41.617,55,69,67,"Class4","C",69.574,62.855
49.566,32.918,"E",42.333,84.467,65,30,11,"Class1","B",72.613,62.008
28.586,34.388,"J",63.149,47.459,35,72,29,"Class4","C",69.651,67.363
47.104,27.546,"V",36.969,39.937,67,40,15,"Class1","T",80.314,55.075
67.039,73.153,"S",77.986,36.971,48,87,86,"Class3","X",22.236,25.09
38.521,9.922,"O",67.504,58.548,34,84,52,"Class4","Q",71.62,59.208
32.205,6.013,"O",34.596,53.434,60,54,24,"Class4","X",NA,53.261
NA,63.077,"Y",36.922,42.564,66,38,13,"Class1","E",80.973,31.665
33.334,6.198,"O",54.334,69.231,26,78,23,"Class4","O",65.4,56.287
33.228,7.848,"I",27.911,17.169,22,55,75,"Class4","O",78.487,56.43
45.652,32.391,"O",47.602,73.208,30,73,56,"Class4","Z",91.34,59.507
68.871,25.357,"O",49.127,42.606,71,87,87,"Class3","W",28.445,19.623
70.233,71.208,"Q",76.361,39.044,56,49,86,"Class2","H",79.56,56.958
40.216,21.514,"Y",37.858,61.384,83,38,11,"Class1","M",63.38,42.776
44.611,10.997,"B",52,87.964,50,84,53,"Class4","Q",73.507,61.912
NA,62.768,"S",68.989,67.457,65,16,47,"Class2","U",NA,64.035
90.387,18.884,"S",60.999,55.653,59,88,85,"Class3","X",30.224,23.467
45.607,10.212,"I",76.728,71.072,59,65,36,"Class4","X",75.878,62.926
32.892,25.798,"I",35.247,64.01,22,63,66,"Class4","X",66.141,60.46
85.403,63.628,"Q",67.94,53.073,53,41,25,"Class2","Y",72.557,65.584
90.828,63.689,"S",69.233,66.442,50,28,60,"Class2","H",79.27,79.389
43.697,12.527,"S",62.506,36.841,43,75,40,"Class4","Q",65.002,55.152
77.881,70.981,"L",50.846,46.626,69,89,87,"Class3","I",26.826,19.313
50.716,33.946,"E",33.179,31.125,26,31,13,"Class1","B",65.651,41.897
40.987,75.592,"E",33.208,46.585,11,28,13,"Class1","B",80.484,48.71
43.228,87.742,"Q",42.527,30.855,19,34,15,"Class1","B",80.158,73.838
82.542,78.784,"Q",90.756,67.364,48,49,59,"Class2","K",75.321,67.558
27.093,31.166,"J",59.433,84.32,50,91,63,"Class4","C",92.619,60.407
76.04,82.122,"M",80.35,47.082,51,23,22,"Class2","Y",74.135,94.234
74.207,11.212,"O",57.373,52.185,64,83,88,"Class3","I",46.583,23.272
85.163,60.193,"J",64.02,66.017,70,45,37,"Class2","H",73.625,71.664
39.36,47.308,"Q",43.221,19.99,27,33,15,"Class1","A",70.006,42.98
35.089,26.46,"I",46.834,83.927,60,58,71,"Class4","X",87.972,66.004
89.601,74.544,"Q",68.542,82.157,65,47,63,"Class2","H",79.384,75.615
83.217,64.226,"Q",78.462,47.586,56,47,83,"Class2","Y",81.339,66.463
75.549,85.113,"J",81.536,57.844,69,58,69,"Class2","K",80.942,98.634
74.686,57.626,"S",72.983,53.755,61,34,23,"Class2","H",78.07,81.035
83.005,37.648,"O",50.277,28.346,75,84,85,"Class3","I",24.615,23.768
38.341,7.318,"B",55.866,68.061,34,80,75,"Class4","Z",65.238,70.634
NA,7.399,"O",63.961,71.768,35,87,87,"Class4","Q",83.001,60.105
79.115,27.181,"H",43.088,38.571,62,80,88,"Class3","W",33.332,22.929
39.236,75.703,"F",39.324,87.492,83,28,17,"Class1","E",86.287,42.235
79.284,18.684,"I",50.096,32.071,74,90,85,"Class3","X",35.485,23.626
89.192,67.088,"G",78.67,54.484,58,19,33,"Class2","T",80.993,79.839
47.758,66.975,"Y",38.106,38.303,47,23,14,"Class1","T",86.049,65.548
49.796,9.062,"B",31.386,45.814,48,85,30,"Class4","Q",86.304,60.505
91.048,83.896,"J",73.83,48.466,52,40,60,"Class2","H",84.944,84.38
39.887,23.051,"F",38.955,69.994,99,28,11,"Class1","E",84.388,72.991
35.825,32.698,"B",44.293,59.282,27,58,69,"Class4","Q",NA,60.252
73.664,77.02,"Q",87.325,64.344,50,44,67,"Class2","T",82.829,58.806
46.018,15.965,"B",27.484,84.648,26,90,53,"Class4","O",62.956,66.579
87.876,8.778,"O",66.681,53.65,51,88,87,"Class3","I",26.98,20.485
73.613,81.602,"G",83.51,52.211,61,46,63,"Class2","K",79.355,73.272
41.995,28.129,"E",35.909,94.664,36,33,15,"Class1","T",77.163,35.078
88.593,74.999,"M",68.981,65.013,51,58,20,"Class2","T",75.727,83.709
80.703,72.957,"I",78.8,35.67,79,87,88,"Class3","W",37.255,21.759
42.112,80.263,"F",38.288,60.82,69,23,11,"Class1","T",90.567,25.745
83.514,66.336,"S",65.229,48.163,45,89,87,"Class3","W",39.434,22.178
43.767,25.772,"O",51.247,60.604,32,79,48,"Class4","C",82.655,60.813
88.851,86.407,"O",25.908,44.617,65,89,88,"Class3","I",44.47,21.841
40.904,83.631,"F",38.562,64.834,22,27,10,"Class1","B",85.027,18.226
69.518,32.156,"I",61.194,47.569,79,81,85,"Class3","X",19.717,24.155
67.373,61.952,"M",91.218,66.57,69,29,47,"Class2","H",81.527,77.515
70.416,77.791,"G",67.891,46.394,66,34,28,"Class2","U",80.72,71.259
66.562,80.312,"O",65.514,22.732,47,81,87,"Class3","E",34.466,21.548
90.282,79.617,"Q",74.321,63.946,55,26,32,"Class2","Y",76.633,70.748
86.775,83.302,"S",75.708,38.593,65,42,53,"Class2","H",80.693,86.109
75.65,59.509,"J",91.378,81.208,52,55,40,"Class2","T",78.348,79.415
50.868,87.002,"Q",39.931,58.651,31,25,14,"Class1","B",73.991,-9.383
78.893,70.526,"J",60.71,73.363,50,42,38,"Class2","Y",73.78,75.216
68.805,12.597,"H",35.799,63.614,60,87,85,"Class3","I",34.975,21.071
45.428,64.519,"V",37.631,66.608,21,25,17,"Class1","B",79.61,30.748
48.221,15.343,"I",78.965,46.707,23,71,60,"Class4","O",78.738,57.296
NA,63.59,"Q",39.534,91.569,29,23,16,"Class1","A",82.644,50.473
78.506,66.26,"J",73.897,44.982,57,62,43,"Class2","U",76.122,68.343
33.564,23.611,"O",54.626,70.719,55,55,91,"Class4","Q",72.141,63.59
NA,73.919,"O",64.405,59.028,74,89,85,"Class3","T",43.544,20.943
41.417,32.695,"O",36.473,50.954,48,73,70,"Class4","C",77.633,60.401
26.949,16.505,"J",38.157,65.127,50,76,86,"Class4","O",72.71,61.655
NA,14.35,"J",28.148,94.916,58,89,16,"Class4","Z",88.51,57.617
86.897,76.208,"S",38.496,43.046,56,84,87,"Class3","X",NA,22.909
53.378,2.961,"I",35.414,47.396,27,71,76,"Class4","Z",81.389,63.627
49.84,12.295,"Y",41.663,57.877,20,26,11,"Class1","M",79.839,14.211
68.495,68.57,"L",38.72,41.247,76,87,87,"Class3","T",36.288,24.121
69.687,33.425,"L",17.171,59.801,56,85,86,"Class3","E",26.911,23.271
87.178,73.862,"M",68.074,56.626,65,47,86,"Class2","K",72.416,74.689
50.885,49.616,"Y",37.031,59.219,79,27,16,"Class1","T",65.079,32.731
77.609,66.73,"S",74.298,70.478,67,30,57,"Class2","T",77.42,69.919
91.404,45.313,"H",37.779,57.124,65,88,86,"Class3","I",41.676,21.882
91.562,65.017,"G",58.412,66.357,70,47,60,"Class2","U",77.315,74.274
38.39,68.324,"E",39.582,103.286,11,33,14,"Class1","T",68.057,-0.93
50.589,76.907,"F",34.659,56.71,43,29,13,"Class1","T",63.842,34.913
39.447,79.019,"E",38.205,80.757,92,31,16,"Class1","T",91.812,47.504
43.869,33.772,"Q",41.846,81.99,88,32,10,"Class1","M",80.584,0.917
82.694,78.932,"S",81.266,50.585,70,17,65,"Class2","T",74.114,86.495
89.436,60.832,"G",90.355,42.569,70,24,35,"Class2","T",84.585,67.236
30.119,28.515,"B",43.005,67.211,24,85,46,"Class4","C",68.097,58.502
45.293,5.224,"B",25.635,77.116,26,78,45,"Class4","Q",72.254,51.324
43.848,23.909,"J",43.927,88.912,30,79,73,"Class4","Q",72.472,60.825
48.386,41.395,"F",41.762,54.169,45,33,15,"Class1","B",67.13,51.6
88.886,68.881,"S",91.357,46.783,53,21,62,"Class2","H",83.607,70.763
NA,41.583,"Y",38.15,27.866,91,39,11,"Class1","B",85.442,65.51
92.379,38.623,"O",34.649,68.036,69,87,85,"Class3","E",44.599,22.311
67.423,31.195,"O",64.598,51.736,45,88,88,"Class3","T",24.417,22.476
41.42,42.952,"Y",39.46,40.144,89,40,13,"Class1","B",90.857,70.141
52.574,5.619,"J",33.631,84.473,57,60,18,"Class4","Z",86.818,53.959
NA,78.393,"E",38.364,87.977,70,24,15,"Class1","E",69.835,13.116
46.911,12.21,"V",43.493,33.988,66,37,15,"Class1","E",74.9,15.31
45.848,14.119,"I",38.201,72.976,22,70,27,"Class4","Z",63.146,51.362
46.216,25.134,"I",65.774,83.979,56,88,76,"Class4","O",75.594,65.165
79.935,4.078,"I",43.239,56.919,47,84,88,"Class3","T",40.261,23.753
84.304,11.666,"H",52.295,39.239,45,81,85,"Class3","W",NA,22.795
87.211,78.934,"Q",67.205,72.566,49,60,74,"Class2","Y",83.897,71.423
66.968,73.621,"L",49.62,42.184,52,89,88,"Class3","X",42.261,20.828
41.929,6.261,"I",59.037,43.249,23,86,60,"Class4","C",75.061,64.44
81.606,68.22,"G",71.841,73.706,63,21,80,"Class2","U",80.349,91.208
82.42,74.776,"S",81.167,54.586,63,46,83,"Class2","H",80.25,55.505
37.484,36.47,"Q",37.777,70.677,86,30,10,"Class1","B",NA,48.74
69.285,56.234,"O",38.766,52.779,66,87,85,"Class3","E",39.553,23.48
70.916,84.458,"S",78.291,77.201,61,62,59,"Class2","K",84.469,82.499
86.534,60.932,"L",23.284,55.236,45,82,87,"Class3","W",19.288,20.199
29.364,8.721,"I",57.111,118.632,27,87,8,"Class4","C",68.826,63.816
