"P1","P2","P3","Output15","P4","P5","P6","P7","P8","P9","P10","P11"
60.921,"D",52.664,"Class2",73,66.441,9.675,81,37.371,"Z",19.492,77
48.049,"K",19.776,"Class4",45,67.824,74.413,17,72.77,"J",56.851,31
33.693,"R",68.971,"Class1",16,8.438,39.248,81,20.317,"S",51.191,33
40.833,"Z",38.015,"Class1",47,7.609,35.25,65,27.032,"L",61.538,37
21.196,"U",53.843,"Class1",39,7.333,31.581,80,20.91,"J",51.549,36
65.683,"S",51.089,"Class1",20,8.081,38.556,61,25.745,"J",NA,37
29.875,"V",30.564,"Class3",71,58.681,47.988,73,83.305,"D",NA,46
49.167,"Y",19.035,"Class3",78,64.332,42.322,80,86.598,"D",50.364,49
64.459,"J",52.419,"Class2",51,65.201,19.665,83,36.85,"U",32.171,81
67.101,"J",58.145,"Class2",52,66.897,7.351,90,38.191,"P",19.36,77
40.099,"Z",55.058,"Class1",16,7.302,42.055,52,22.124,"X",57.898,24
12.007,"V",17.761,"Class3",73,67.298,49.461,76,83.356,"N",NA,22
81.103,"B",NA,"Class2",68,62.738,2.386,83,37.812,"Z",21.25,81
35.592,"U",45.463,"Class1",20,7.922,35.496,76,27.385,"S",50.04,15
36.386,"Z",67.825,"Class4",68,67.192,75.882,22,72.087,"D",54.188,39
72.814,"D",57.458,"Class2",68,64.018,11.012,76,36.93,"J",49.514,81
38.101,"Z",53.982,"Class1",38,8.669,36.225,79,24.869,"F",57.15,14
44.972,"O",53.694,"Class1",40,7.894,31.219,71,10.243,"L",47.093,23
54.685,"V",15.337,"Class3",76,69.355,35.984,72,82.591,"F",54.806,43
51.501,"O",54.365,"Class1",50,8.366,38.004,59,20.922,"S",52.496,18
40.608,"Y",22.595,"Class3",75,64.442,48.304,73,89.694,"C",9.948,42
37.994,"S",12.829,"Class3",78,83.17,36.711,78,81.678,"C",19.825,12
58.461,"J",48.262,"Class2",68,85.856,18.049,68,40.434,"U",29.726,80
62.674,"B",50.95,"Class2",53,61.641,30.748,73,30.37,"Q",16.742,76
57.176,"Y",80.069,"Class4",56,52.851,79.01,22,72.871,"J",43.481,45
61.41,"O",58.074,"Class1",29,7.329,42.362,81,21.552,"S",54.306,15
82.858,"J",51.434,"Class2",54,77.098,15.753,73,40.126,"P",32.937,78
79.453,"M",51.868,"Class2",69,58.552,25.075,81,48.352,"U",26.595,81
32.512,"R",NA,"Class3",70,79.211,46.346,80,85.194,"C",40.963,52
3.032,"F",16.92,"Class3",69,80.265,36.123,73,92.836,"N",57.842,14
36.299,"O",62.31,"Class1",35,8.855,35.805,60,20.501,"X",55.611,15
40.564,"F",NA,"Class3",76,75.17,39.455,71,96.477,"C",13.623,28
72.982,"S",48.42,"Class2",68,63.551,5.922,82,39.125,"U",49.772,78
39.455,"S",13.559,"Class3",73,86.476,38.146,83,92.111,"G",11.551,14
28.51,"F",24.924,"Class3",77,61.686,39.898,79,71.933,"F",44.751,32
71.843,"R",52.314,"Class1",36,8.42,36.74,63,32.731,"S",52.958,35
25.751,"R",16.767,"Class3",73,86.023,30.032,68,89.612,"C",28.905,38
29.982,"Y",68.217,"Class4",66,64.515,77.537,17,72.441,"Z",60.629,53
62.536,"Z",44.202,"Class4",81,62.439,76.564,22,72.58,"U",48.743,58
17.653,"R",7.466,"Class3",72,84.104,37.291,68,79.992,"D",39.552,22
53.305,"S",45.338,"Class2",52,84.955,29.073,77,31.948,"U",19.858,77
50.908,"Y",64.323,"Class4",59,59.778,74.38,18,72.086,"U",59.586,59
58.069,"C",49.361,"Class4",68,58.528,75.326,22,72.726,"U",48.2,33
69.358,"D",57.451,"Class2",64,79.011,13.202,87,46.673,"P",54.882,75
68.936,"S",49.27,"Class2",68,83.259,13.399,69,32.807,"Z",55.465,76
31.575,"F",33.486,"Class3",69,86.142,41.83,69,80.761,"N",9.764,34
77.038,"C",83.491,"Class4",23,52.517,76.022,17,72.042,"J",51.679,33
38.035,"V",NA,"Class3",72,52.91,44.963,76,88.602,"D",30.518,33
66.664,"K",60.775,"Class4",67,55.338,76.429,21,72.442,"J",41.013,36
34.942,"O",57.465,"Class1",41,7.392,33.73,59,17.864,"L",46.629,15
65.062,"S",54.238,"Class2",72,72.337,9.606,65,45.222,"J",24.374,81
65.131,"C",60.309,"Class4",16,58.186,80.137,20,72.128,"D",49.977,57
64.267,"J",52.169,"Class2",72,77.304,4.597,85,37.038,"J",52.827,75
32.85,"Z",58.818,"Class1",52,7.331,38.369,73,20.463,"F",47.676,17
78.706,"B",55.672,"Class2",71,74.481,2.906,71,43.944,"Z",33.617,80
57.149,"Y",NA,"Class4",42,67.742,80.417,19,72.68,"T",59.232,45
33.275,"R",52.351,"Class1",12,7.077,31.224,75,28.472,"X",56.221,35
44.818,"S",42.622,"Class1",47,7.763,37.672,46,16.305,"S",53.434,17
11.841,"F",14.29,"Class3",71,70.778,37.998,81,83.887,"G",41.726,38
17.157,"O",60.742,"Class1",37,7.576,31.404,77,21.259,"S",58.055,13
69.645,"Y",56.075,"Class4",26,67.714,81.674,22,72.831,"D",48.443,46
43.682,"K",69.782,"Class4",57,53.511,80.236,18,72.411,"T",45.501,49
39.199,"U",NA,"Class4",72,67.967,75.26,17,72.08,"U",57.384,36
65.987,"O",57.556,"Class1",32,8.454,32.859,75,29.587,"J",54.384,16
26.05,"F",21.216,"Class3",75,66.322,36.771,69,90.812,"D",47.796,23
41.677,"R",27.515,"Class3",78,56.83,42.711,68,89.518,"F",5.021,22
30.662,"F",31.582,"Class3",69,50.361,50.594,76,86.189,"C",20.928,15
80.686,"S",47.239,"Class2",59,67.074,26.594,66,44.734,"Z",44.94,78
64.762,"Y",67.334,"Class4",54,59.498,81.516,18,72.526,"D",56.953,45
31.166,"S",21.648,"Class3",80,48.125,45.659,76,76.041,"G",22.73,20
62.533,"Y",79.747,"Class4",44,60.342,80.096,20,73.18,"Z",54.654,40
50.818,"O",62.693,"Class1",21,8.716,34.065,69,9.111,"S",54.845,17
60.791,"S",54.279,"Class2",72,72.761,22.631,68,45.666,"J",24.305,80
21.78,"O",63.237,"Class1",42,7.882,38.522,56,29.259,"X",45.081,18
73.221,"Z",45.761,"Class1",22,8.942,38.536,50,22.297,"F",59.504,20
34.007,"R",NA,"Class3",78,50.385,45.354,79,86.801,"G",NA,42
23.391,"V",21.345,"Class3",79,52.859,46.39,68,85.597,"N",15.115,52
69.113,"U",56.128,"Class1",39,8.914,34.149,68,17.938,"J",57.002,23
64.289,"J",53.109,"Class2",58,63.093,27.78,86,33.067,"P",53.684,80
-1.03,"R",24.207,"Class3",80,83.501,49.675,74,83.57,"D",30.637,45
29.46,"R",23.453,"Class3",79,81.04,39.112,76,83.264,"N",18.529,20
34.083,"V",22.275,"Class3",75,69.923,46.37,80,81.079,"C",21.687,27
69.71,"S",46.67,"Class2",65,58.503,24.717,79,31.52,"J",49.947,76
27.235,"O",55.572,"Class1",8,7.947,32.85,74,25.448,"F",64.83,35
49.322,"M",54.181,"Class2",69,82.877,25.717,80,40.763,"P",21.699,77
71.612,"B",54.514,"Class2",57,67.159,24.755,81,37.231,"Q",50.785,79
50.93,"D",59.662,"Class2",64,68.916,21.339,84,40.837,"U",22.216,78
56.862,"S",NA,"Class1",24,8.221,41.469,74,29.947,"F",55.244,27
38.956,"V",18.847,"Class3",77,78.491,38.741,71,91.153,"N",41.181,37
48.763,"S",61.253,"Class1",15,7.798,41.427,50,47.27,"L",57.794,22
16.302,"V",17.279,"Class3",79,72.258,37.205,71,88.472,"N",32.47,41
41.155,"V",23.017,"Class3",69,67.63,44.452,77,96.614,"C",13.068,14
29.545,"C",65.239,"Class4",79,58.311,78.215,20,72.404,"J",46.462,42
23.498,"S",23.663,"Class3",78,55.187,30.372,79,82.118,"G",57.475,36
31.225,"F",17.563,"Class3",80,48.674,45.362,68,89.17,"D",33.729,14
23.644,"R",NA,"Class1",37,7.999,38.187,78,38.516,"L",49.058,32
41.312,"Z",65.261,"Class1",38,8.425,37.929,69,41.768,"L",53.736,18
69.404,"B",49.732,"Class2",55,79.479,9.488,79,35.567,"Z",44.468,76
71.627,"B",51.478,"Class2",63,75.312,7.895,84,31.881,"J",44.052,81
12.116,"F",14.016,"Class3",73,85.388,39.355,76,87.505,"G",45.991,39
33.71,"S",50.474,"Class1",15,7.334,37.821,61,18.163,"S",48.139,20
66.121,"J",50.055,"Class2",72,67.995,15.77,74,47.142,"P",56.001,78
79.331,"U",70.542,"Class4",66,55.343,77.216,17,72.088,"Z",44.685,35
49.361,"Y",34.606,"Class4",20,59.77,77.376,20,72.74,"J",61.948,69
42.759,"O",48.698,"Class1",33,7.707,40.624,73,31.832,"J",51.433,27
69.788,"J",54.26,"Class2",61,75.304,29.302,73,35.444,"Q",54.401,77
42.227,"V",29.266,"Class3",72,63.614,31.255,82,84.088,"D",26.074,20
24.103,"Y",25.483,"Class3",78,46.984,40.21,83,88.617,"F",57.995,16
49.342,"R",58.31,"Class1",32,7.382,38.887,47,17.168,"X",NA,20
69.179,"S",50.351,"Class2",74,73.926,10.983,82,39.081,"Q",47.553,77
28.057,"S",62.817,"Class1",39,8.031,35.516,45,20.597,"X",59.413,37
72.621,"J",60.001,"Class2",55,59.607,12.581,65,39.088,"Q",21.342,81
35.419,"F",11.556,"Class3",71,56.684,40.399,73,81.577,"N",21.356,20
61.488,"B",45.804,"Class2",53,76.835,13.521,79,42.151,"P",45.833,81
39.333,"S",16.799,"Class3",80,76.235,48.714,69,86.882,"F",56.605,19
62.834,"M",55.621,"Class2",69,73.626,8.22,87,38.236,"J",33.233,80
47.047,"Z",66.342,"Class1",43,7.896,40.239,78,31.011,"F",52.576,23
62.2,"D",56.385,"Class2",61,68.67,16.037,71,36.421,"U",23.843,78
73.301,"S",50.055,"Class2",63,67.041,2.318,78,45.504,"Q",25.509,79
76.811,"J",49.939,"Class2",60,78.049,23.669,90,42.441,"U",49.924,79
18.178,"F",12.166,"Class3",74,76.966,46.442,77,93.435,"F",11.71,30
16.814,"S",22.624,"Class3",77,60.871,35.708,75,85.529,"G",21.292,36
55.589,"Y",51.479,"Class4",52,61.692,77.136,22,72.562,"J",57.912,67
38.853,"Y",16.149,"Class3",79,63.571,43.371,67,86.97,"C",37.646,30
48.735,"Y",20.657,"Class3",78,80.187,31.197,82,96.859,"N",37.69,23
21.661,"Y",NA,"Class3",77,58.864,46.378,79,85.682,"G",26.987,45
67.804,"B",49.036,"Class2",63,59.415,27.524,88,39.268,"J",53.554,76
41.618,"V",NA,"Class3",79,54.076,41.611,72,88.47,"G",37.04,47
26.034,"S",20.814,"Class3",69,56.541,42.327,76,88.255,"D",58.037,45
71.301,"S",56.711,"Class2",67,84.257,4.453,74,42.257,"J",33.548,81
53.778,"O",59.323,"Class1",7,7.195,36.508,57,23.171,"F",50.084,29
70.187,"J",55.629,"Class2",53,83.243,29.739,83,42.29,"J",46.575,78
37.304,"S",24.821,"Class3",74,54.709,37.793,82,93.901,"F",28.47,22
23.463,"Y",23.363,"Class3",69,73.221,45.755,81,87.287,"C",55.991,48
32.934,"Z",63.027,"Class1",52,7.325,32.541,85,22.567,"F",46.844,13
67.981,"D",51.837,"Class2",61,83.042,27.424,65,42.283,"Q",28.213,77
35.933,"Z",68.003,"Class1",27,7.981,34.691,82,40.825,"S",47.135,21
28.534,"S",27.547,"Class3",75,73.477,38.585,71,83.31,"N",21.192,13
23.815,"O",NA,"Class1",50,8.731,32.208,47,39.224,"L",49.673,30
73.553,"K",83.721,"Class4",90,67.874,80.23,16,72.727,"D",54.136,67
17.029,"S",14.404,"Class3",75,55.396,30.15,67,86.754,"G",17.15,42
79.353,"M",53.532,"Class2",60,81.389,24.202,78,40.531,"J",43.273,79
26.467,"Y",11.158,"Class3",79,55.773,46.296,69,86.68,"F",36.884,27
32.592,"S",21.269,"Class3",74,54.158,30.487,71,84.256,"D",45.564,54
21.855,"R",45.898,"Class1",31,7.787,35.026,69,33.117,"J",48.557,33
55.3,"Z",56.723,"Class1",32,8.793,41.387,57,37.555,"S",64.941,22
65.937,"D",53.103,"Class2",60,63.482,22.095,91,40.09,"Z",35.578,78
34.193,"V",25.55,"Class3",74,78.369,47.493,75,93.345,"G",8.683,15
73.527,"C",52.963,"Class4",43,65.65,74.084,21,72.502,"J",NA,46
44.154,"Z",36.205,"Class4",14,52.54,74.744,19,73.195,"U",48.183,56
45.676,"S",NA,"Class1",41,8.986,41.322,83,18.689,"L",51.959,22
73.257,"D",55.34,"Class2",63,73.553,1.492,91,37.913,"J",16.562,75
70.986,"C",76.155,"Class4",14,59.798,76.547,16,71.724,"U",54.814,50
64.081,"J",50.901,"Class2",60,68.816,11.599,84,40.043,"P",36.659,76
27.393,"R",15.797,"Class3",79,49.237,40.641,80,85.1,"C",12.897,42
64.948,"K",46.231,"Class4",67,54.093,75.977,22,72.731,"T",NA,69
43.285,"V",25.235,"Class3",74,70.577,34.391,72,84.828,"C",8.159,40
57.723,"J",56.322,"Class2",71,83.738,24.365,86,37.147,"Q",49.758,77
43.508,"U",51.476,"Class4",21,62.395,75.086,22,71.996,"Z",56.593,47
20.689,"Y",17.632,"Class3",79,72.111,42.048,76,90.907,"D",26.334,14
71.926,"M",NA,"Class2",69,78.047,5.353,75,38.491,"P",54.281,78
61.501,"C",50.552,"Class4",49,54.903,77.641,19,72.193,"Z",55.224,61
84.368,"J",54.068,"Class2",56,70.402,11.367,71,34.91,"P",27.644,77
44.063,"S",17.658,"Class3",73,77.318,46.982,68,88.568,"C",54.824,36
58.824,"U",57.691,"Class1",18,7.398,36.891,87,28.187,"S",56.115,28
17.263,"R",23.207,"Class3",72,57.821,50.1,77,76.534,"C",25.275,44
19.762,"Y",15.278,"Class3",75,49.151,41.253,76,90.034,"N",54.676,42
63.012,"J",54.128,"Class2",65,66.933,30.896,90,39.4,"J",25.492,79
31.672,"Y",37.926,"Class4",80,54.74,78.775,20,72.572,"D",44.92,60
98.873,"Y",40.354,"Class4",70,61.375,80.916,16,72.386,"J",47.507,59
68.8,"D",56.418,"Class2",74,80.511,18.257,81,39.227,"U",25.124,78
49.614,"O",53.108,"Class1",43,7.784,37.304,77,30.1,"F",55.511,29
25.239,"Z",56.347,"Class1",48,8.432,36.151,66,-0.732,"F",52.02,30
78.057,"B",52.823,"Class2",52,79.25,7.892,88,43.415,"P",26.273,77
24.129,"R",9.885,"Class3",74,74.54,41.293,78,89.449,"N",55.743,35
16.781,"R",53.141,"Class1",43,7.921,37.579,69,29.916,"S",62.817,13
61.368,"U",98.296,"Class4",38,71.236,78.725,15,72.599,"J",53.246,55
67.029,"D",56.647,"Class2",61,67.686,16.925,82,42.178,"J",35.978,75
61.543,"S",49.27,"Class1",9,7.451,31.405,80,38.537,"F",54.331,20
43.034,"Y",19.388,"Class3",76,85.459,35.914,79,90.425,"C",17.476,35
71.251,"S",47.874,"Class2",51,61.404,7.839,76,40.433,"P",28.347,77
68.219,"S",49.99,"Class2",73,61.533,27.382,72,41.379,"U",35.835,76
41.666,"U",49.304,"Class1",52,7.41,33.581,47,12.524,"F",49.359,32
77.007,"R",59.234,"Class1",8,7.129,32.54,59,23.999,"X",55.687,21
66.195,"Z",59.476,"Class1",7,8.582,33.822,60,33.106,"F",53.656,22
62.704,"J",45.801,"Class2",59,60.042,16.598,68,39.718,"U",20.319,76
60.656,"K",58.542,"Class4",69,63.491,80.935,16,73.02,"T",44.526,44
37.015,"R",45.795,"Class1",51,8.273,36.609,46,20.797,"X",NA,28
18.444,"Z",44.546,"Class1",9,8.189,40.824,45,21.875,"J",53.78,24
75.132,"B",50.181,"Class2",66,79.294,1.026,80,34.484,"Q",26.729,76
23.139,"V",19.526,"Class3",80,62.881,47.422,69,89.369,"F",12.895,38
55.966,"U",57.511,"Class4",47,55.064,78.565,17,71.835,"U",60.004,47
53.711,"Z",78.434,"Class4",87,63.466,75.791,15,72.377,"D",60.689,45
66.007,"U",43.204,"Class4",26,72.538,75.854,22,73.204,"T",48.637,69
65.358,"Z",40.219,"Class4",25,58.453,77.431,20,72.24,"T",48.266,30
8.07,"U",52.097,"Class1",8,8.017,35.779,79,31.855,"X",59.378,19
37.517,"U",59.245,"Class1",8,8.397,37.062,62,12.664,"S",51.334,20
53.969,"S",48.82,"Class2",72,83.57,20.251,89,39.197,"Q",42.734,77
46.805,"F",NA,"Class3",73,70.229,30.177,75,91.513,"C",18.851,17
36.753,"S",22.308,"Class3",80,59.805,39.171,81,84.465,"C",12.629,31
28.527,"R",12.334,"Class3",72,61.388,30.38,74,85.537,"F",51.125,31
65.958,"D",50.084,"Class2",56,83.641,15.858,90,36.374,"P",16.253,80
80.776,"S",55.965,"Class2",72,85.378,29.335,91,33.161,"Z",19.795,78
40.305,"U",58.17,"Class4",45,55.269,74.004,17,72.261,"U",43.619,67
67.994,"D",57.436,"Class2",54,73.909,8.302,70,36.005,"P",18.795,80
70.006,"U",66.449,"Class1",46,8.882,40.354,86,9.12,"J",52.099,34
54.687,"B",49.357,"Class2",59,77.597,9.556,82,40.085,"Z",52.902,77
20.37,"F",19.091,"Class3",70,73.715,46.498,77,80.33,"N",47.585,53
13.015,"R",17.699,"Class3",73,56.491,39.827,83,82.108,"G",22.302,31
68.094,"M",54.612,"Class2",56,60.292,29.993,68,38.252,"J",47.866,79
59.067,"M",58.676,"Class2",65,62.366,10.921,79,43.203,"Q",54.344,80
44.966,"Z",65.427,"Class4",30,71.245,74.515,15,72.703,"T",NA,34
6.126,"F",15.457,"Class3",75,54.984,37.025,77,84.531,"D",27.529,31
40.899,"S",57.055,"Class1",48,7.184,39.007,62,32.759,"S",64.607,24
31.833,"F",26.279,"Class3",77,60.655,44.753,79,94.327,"F",34.191,14
42.956,"Y",61.73,"Class4",54,63.427,76.788,22,72.202,"D",54.386,39
57.535,"D",49.394,"Class2",74,63.92,26.112,65,33.597,"U",51.639,77
65.247,"B",54.453,"Class2",65,76.629,5.304,92,39.29,"J",40.877,78
73.103,"Z",62.952,"Class4",23,69.194,77.863,16,71.87,"T",48.833,66
60.432,"B",58.389,"Class2",62,80.285,1.635,76,42.219,"J",35.907,81
59.074,"C",77.121,"Class4",53,70.216,79.747,20,72.661,"J",46.058,45
43.949,"C",63.587,"Class4",78,64.776,75.44,20,72.643,"D",41.978,53
68.177,"K",57.845,"Class4",14,64.236,74.777,21,72.467,"T",NA,56
36.927,"K",64.467,"Class4",26,58.607,74.08,18,73.189,"D",41.593,62
70.785,"D",50.655,"Class2",57,79.546,21.448,87,35.699,"Q",51.072,79
61.638,"O",51.14,"Class1",32,7.212,39.773,82,15.237,"L",50.027,18
28.338,"Y",16.665,"Class3",69,78.015,50.295,77,84.896,"G",NA,41
51.202,"K",65.315,"Class4",67,68.049,80.516,20,72.598,"J",56.358,29
66.286,"U",65.52,"Class1",31,7.33,33.003,58,23.964,"S",59.523,26
60.607,"Z",37.371,"Class4",41,69.513,80.079,22,72.673,"T",46.902,70
78.531,"Z",57.787,"Class4",82,63.242,78.53,21,72.299,"T",56.924,42
67.439,"Z",72.783,"Class4",26,71.013,81.87,15,72.518,"Z",51.681,70
76.931,"S",52.101,"Class1",47,7.985,31.966,56,25.101,"X",54.688,18
69.893,"M",48.451,"Class2",62,80.416,30.401,68,36.675,"J",56.88,77
22.93,"R",32.465,"Class3",71,62.088,47.261,70,84.735,"C",9.616,24
34.637,"F",27.148,"Class3",73,59.948,31.584,83,81.134,"G",43.341,48
30.965,"U",58.916,"Class1",48,8.874,33.224,78,19.397,"X",51.024,37
54.082,"Z",49.716,"Class1",26,8.656,32.006,48,28.664,"J",48.633,15
88.83,"K",87.543,"Class4",47,72.059,81.931,15,72.689,"U",57.405,38
31.583,"S",42.661,"Class1",53,7.723,41.03,47,38.31,"L",NA,30
52.508,"M",50.001,"Class2",65,77.275,1.339,69,38.671,"Z",45.709,78
76.251,"R",NA,"Class1",31,8.559,42.754,52,21.432,"X",48.383,36
59.569,"K",57.18,"Class4",42,70.418,81.923,17,72.47,"T",47.648,39
31.805,"R",46.79,"Class1",20,8.51,36.051,86,14.318,"X",NA,30
50.142,"U",83.517,"Class4",41,70.691,79.18,16,72.48,"Z",42.023,69
56.438,"C",77.42,"Class4",79,65.599,80.23,20,72.729,"Z",59.022,34
73.764,"S",58.414,"Class2",57,84.837,6.063,88,34.982,"Q",47.798,80
79.855,"O",53.321,"Class1",10,8.126,39.049,89,11.725,"X",54.03,27
37.484,"Z",57.984,"Class1",48,8.612,31.576,50,13.893,"X",52.21,37
46.425,"U",115.552,"Class4",48,60.552,81.175,16,71.881,"D",53.63,57
43.277,"Z",52.871,"Class1",45,8.451,33.72,55,24.96,"F",57.7,15
27.968,"V",29.668,"Class3",69,79.622,34.113,82,85.822,"D",32.84,47
48.089,"V",18.461,"Class3",73,85.87,50.438,67,83.136,"N",23.766,45
75.437,"O",60.42,"Class1",52,8.908,38.188,47,14.873,"S",62.597,33
58.634,"Y",67.037,"Class4",12,56.166,81.21,18,72.214,"Z",48.022,60
66.957,"S",47.569,"Class2",73,59.555,18.095,84,36.956,"U",17.935,78
68.544,"K",19.795,"Class4",55,69.489,79.904,18,71.813,"U",NA,49
35.214,"V",18.243,"Class3",75,78.472,45.972,73,85.964,"F",33.892,25
36.172,"V",-0.327,"Class3",76,52.6,35.343,83,90.051,"G",29.138,35
25.158,"Y",NA,"Class3",72,72.564,34.349,68,93.975,"G",47.892,46
35.678,"S",24.235,"Class3",78,63.11,42.099,75,91.568,"N",53.194,49
59.593,"Y",93.068,"Class4",52,67.623,77.004,18,72.478,"Z",59.15,35
68.39,"K",84.673,"Class4",18,68.425,78.084,19,72.676,"U",61.372,70
64.85,"S",53.017,"Class2",72,67.528,27.229,69,32.512,"J",NA,77
57.107,"Z",56.234,"Class1",23,8.332,40.33,89,4.621,"L",56.113,23
68.365,"Z",48.868,"Class1",32,7.482,37.101,80,21.385,"S",63.034,18
24.662,"Z",93.619,"Class4",35,68.165,74.423,21,73.338,"D",44.76,57
72.54,"S",59.062,"Class2",54,80.248,5.147,82,35.4,"Q",44.059,78
44.792,"Y",13.595,"Class3",80,83.227,46.976,71,93.249,"F",40.133,31
73.008,"J",50.632,"Class2",52,75.377,22.075,77,39.546,"Q",49.273,81
64.648,"R",NA,"Class1",9,7.7,38.095,61,6.517,"L",60.959,23
57.311,"Y",82.485,"Class4",42,66.781,78.099,21,72.852,"J",57.929,45
78.44,"K",77.907,"Class4",48,58.727,80.17,16,72.54,"T",60.482,65
34.073,"F",24.397,"Class3",75,67.997,30.446,73,95.911,"C",37.659,17
41.401,"F",13.452,"Class3",79,49.206,34.399,74,86.62,"C",42.366,49
22.692,"V",21.144,"Class3",80,63.262,50.238,67,85.434,"D",54.065,14
52.744,"Z",75.801,"Class4",27,68.999,79.942,22,72.145,"J",NA,66
72.291,"M",55.281,"Class2",62,58.781,14.36,66,34.287,"Q",40.857,79
70.162,"S",54.886,"Class2",66,66.438,9.328,83,34.801,"J",51.026,79
13.419,"O",53.84,"Class1",8,8.58,38.92,56,3.917,"J",54.026,37
55.921,"S",54.785,"Class1",51,7.328,32.459,66,17.225,"J",45.369,28
26.918,"R",9.535,"Class3",69,78.493,50.553,72,85.439,"F",56.991,31
69.062,"S",50.012,"Class2",69,71.924,11.452,90,46.559,"J",26.687,75
68.461,"S",55.945,"Class2",56,72.205,7.164,81,39.246,"P",NA,77
20.21,"S",59.646,"Class1",44,7.818,35.921,86,41.878,"X",59.506,31
46.488,"Z",56.178,"Class4",85,62.732,76.957,18,72.328,"T",56.284,59
47.255,"U",51.426,"Class4",34,72.186,76.83,16,72.237,"J",47.133,47
62.7,"M",NA,"Class2",52,72.871,24.893,80,33.89,"Q",35.499,80
31.259,"Z",52.239,"Class1",37,8.926,42.88,89,21.198,"F",51.742,24
56.504,"M",49.2,"Class2",57,63.636,17.597,75,42.294,"Z",46.931,75
36.291,"Y",17.761,"Class3",71,74.93,43.581,74,87.751,"D",NA,17
57.188,"Z",52.266,"Class4",31,61.345,78.827,19,72.707,"J",42.803,35
70.224,"U",28,"Class4",73,62.1,79.228,21,72.61,"J",NA,44
8.731,"R",24.624,"Class3",77,81,32.993,80,83.914,"F",NA,38
59.078,"S",54.662,"Class2",70,72.542,4.222,87,38.457,"Q",54.695,80
50.819,"V",16.041,"Class3",70,74.288,42.416,71,95.703,"G",28.709,44
25.106,"Z",60.633,"Class1",9,7.733,39.345,72,21.579,"X",60.099,16
49.732,"C",34.352,"Class4",46,53.432,75.208,20,72.496,"U",41.605,67
65.421,"C",76.561,"Class4",68,63.188,81.51,22,72.401,"Z",61.481,52
64.71,"D",55.146,"Class2",68,72.069,17.122,66,39.466,"P",26.362,76
44.822,"Y",NA,"Class4",79,59.535,77.855,16,72.791,"J",46.885,39
53.782,"Y",41.204,"Class4",56,71.018,79.93,19,72.396,"J",58.954,33
17.36,"U",60.331,"Class1",20,8.939,36.884,80,17.025,"J",58.913,13
53.624,"D",54.171,"Class2",59,80.221,3.789,66,32.609,"U",32.353,76
72.34,"S",48.373,"Class2",51,82.579,9.717,85,38.462,"P",NA,78
26.227,"S",30.427,"Class3",72,81.046,50.089,82,92.042,"G",48.004,49
76.328,"Z",48.14,"Class4",48,63.016,74.662,21,72.819,"D",61.87,55
14.59,"R",NA,"Class3",76,86.001,37.234,71,84.926,"C",54.911,51
