"R1","R2","R3","R4","Output17","R5","R6","R7","R8","R9","R10","R11"
36.546,50,61,"V","Class3",29.356,73.04,57.605,50.716,"L",62,40.36
111.485,8,88,"K","Class1",78.844,48.811,84.551,57.574,"E",NA,95.164
37.897,13,88,"K","Class1",73.079,49.393,86.952,60.554,"Q",64,86.746
42.276,54,38,"M","Class2",44.883,58.401,25.038,11.263,"W",35,54.252
42.714,41,35,"S","Class2",46.502,57.112,39.961,44.049,"C",59,45.158
47.024,33,58,"Z","Class3",51.417,56.097,64.463,38.8,"S",57,15.975
70.853,77,61,"V","Class3",37.059,78.589,60.319,44.488,"A",51,75.809
111.127,20,89,"W","Class1",66.743,49.964,86.745,58.573,"E",NA,95.841
42.218,34,42,"X","Class2",38.481,57.896,41.177,13.263,"W",78,56.196
108.543,15,91,"P","Class1",80.166,50.061,95.77,60.343,"Y",39,98.829
42.116,69,40,"X","Class2",67.325,56.307,63.285,84.816,"W",65,52.966
42.128,93,61,"B","Class3",19.58,59.846,62.778,44.699,"L",52,26.995
42.042,68,29,"L","Class2",82.343,59.078,27.485,18.529,"C",39,60.642
93.23,37,89,"P","Class1",66.681,49.531,82.327,57.498,"Q",43,86.978
62.926,28,60,"G","Class3",47.372,62.921,64.306,50.025,"S",58,19.704
60.496,17,85,"W","Class1",75.956,49.306,91.664,59.769,"E",62,100.18
42.628,39,36,"X","Class2",21.427,58.036,69.336,88.282,"I",37,56.651
41.891,36,42,"S","Class2",42.863,57.664,19.819,58.302,"B",30,57.002
42.236,56,35,"S","Class2",31.072,57.964,24.677,44.062,"C",56,64.738
24.873,83,57,"S","Class3",27.063,66.522,63.675,48.563,"L",52,90.991
62.684,21,88,"P","Class1",76.664,49.067,85.75,59.859,"S",75,96.666
53.296,25,59,"G","Class3",3.452,65.879,57.962,61.057,"N",55,31.438
63.193,56,61,"Z","Class3",43.96,65.626,63.046,62.11,"S",61,75.834
46.852,51,59,"V","Class3",20.872,71.447,60.766,43.56,"A",51,54.586
85.653,58,55,"S","Class3",58.641,68.085,58.251,46.037,"N",57,43.664
74.925,45,58,"S","Class3",23.404,70.956,63.712,44.349,"O",57,88.423
42.677,58,37,"L","Class2",34.925,57.05,59.657,33.618,"F",NA,53.552
25.042,12,86,"W","Class1",76.55,49.312,83.401,60.079,"E",85,103.904
67.4,94,58,"G","Class3",31.156,81.799,57.582,64.865,"A",63,56.983
31.447,85,59,"G","Class3",56.135,70.448,67.774,39.088,"O",57,45.04
42.757,39,29,"S","Class2",72.804,58.896,65.335,76.805,"W",37,51.837
69.558,11,91,"Z","Class1",66.445,49.614,88.598,60.19,"S",27,89.319
71.427,91,60,"V","Class3",60.705,64.25,63.79,62.641,"A",53,54.098
42.241,58,30,"B","Class2",25.172,57.659,46.71,35.286,"F",23,48.176
42.796,50,32,"B","Class2",39.419,57.87,37.387,72.128,"B",48,46.98
42.497,35,30,"X","Class2",58.964,58.054,17.8,69.728,"C",76,63.549
88.37,29,87,"K","Class1",61.65,49.487,80.422,57.903,"S",50,89.215
31.509,17,91,"K","Class1",64.647,49.653,75.197,57.689,"Y",62,85.872
41.927,42,32,"M","Class2",61.858,NA,54.679,15.618,"F",36,62.054
76.935,41,91,"P","Class1",60.99,49.264,78.734,59.487,"S",NA,87.203
43.8,49,56,"B","Class3",47.391,53.33,71.849,41.01,"L",60,18.179
47.221,7,85,"P","Class1",88.715,48.657,93.287,58.173,"E",36,94.286
25.812,36,86,"P","Class1",62.034,49.588,88.869,60.035,"E",65,98.816
48.935,25,86,"W","Class1",65.641,49.532,84.196,57.187,"S",83,91.261
42.222,43,39,"L","Class2",37.845,58.747,21.185,17.36,"F",79,60.252
42.539,36,30,"L","Class2",50.412,58.062,38.147,42.521,"F",26,45.471
42.676,47,34,"M","Class2",79.183,58.685,27.296,30.409,"W",69,61.049
27.677,27,91,"Z","Class1",60.448,49.731,74.804,59.928,"E",22,93.284
42.535,36,37,"B","Class2",75.752,58.454,43.779,22.582,"W",36,58.834
31.272,36,59,"B","Class3",5.66,NA,63.033,42.559,"O",NA,43.545
48.653,22,89,"Z","Class1",87.984,49.535,75.775,59.88,"S",67,81.827
23.914,10,89,"Z","Class1",85.136,49.269,74.996,59.493,"E",61,97.266
35.349,58,56,"Z","Class3",40.486,NA,71.535,54.396,"N",51,10.018
62.991,55,61,"Z","Class3",20.616,68.039,70.599,63.255,"O",59,72.372
27.63,43,90,"W","Class1",85.992,49.626,96.55,60.183,"A",28,90.561
42.791,50,42,"L","Class2",57.076,58.45,44.178,83.536,"B",65,49.442
63.255,24,86,"P","Class1",79.023,49.553,75.292,59.917,"E",53,79.164
31.833,75,56,"G","Class3",32.346,72.946,71.266,39.934,"A",53,40.666
47.159,58,57,"Z","Class3",61.681,52.227,70.452,57.312,"N",54,39.221
42.236,51,41,"S","Class2",69.512,57.256,54.039,59.732,"C",26,51.575
-12.819,20,91,"P","Class1",79.267,NA,87.539,57.437,"A",29,98.829
45.864,51,55,"G","Class3",34.889,65.251,65.703,56.375,"L",62,29.249
39.03,50,57,"B","Class3",37.515,51.753,61.181,57.355,"O",53,56.546
42.362,47,33,"X","Class2",30.835,57.608,55.637,41.543,"I",NA,55.164
90.022,41,91,"I","Class1",79.634,49.324,93.072,57.686,"Q",74,92.69
73.446,94,55,"B","Class3",52.629,63.043,57.936,63.245,"N",54,19.175
52.196,89,60,"V","Class3",73.302,68.702,66.69,60.856,"O",63,61.447
42.282,57,31,"B","Class2",86.193,57.291,57.246,86.461,"I",31,55.147
42.474,47,30,"M","Class2",44.571,58.21,31.846,22.489,"W",51,51.089
39.096,16,90,"W","Class1",77.43,49.597,84.295,60.168,"Y",25,99.512
77.25,30,85,"K","Class1",58.615,49.933,89.688,58.639,"Q",84,103.534
42.712,30,89,"W","Class1",84.98,49.617,76.063,59.999,"E",35,94.936
42.277,45,35,"S","Class2",84.208,58.987,34.02,66.823,"C",66,61.625
41.795,59,43,"B","Class2",64.841,58.155,64.229,33.694,"I",34,55.654
95.253,38,90,"K","Class1",77.587,48.825,78.606,59.493,"S",66,88.752
-21.462,30,85,"K","Class1",80.367,49.473,81.727,57.945,"A",61,89.599
32.87,51,57,"V","Class3",70.765,64.955,62.386,64.334,"S",59,-4.546
42.275,61,44,"B","Class2",64.408,57.85,31.125,58.429,"B",39,56.103
101.5,32,89,"K","Class1",58.18,49.651,88.504,59,"S",29,95.835
43.222,38,30,"S","Class2",32.515,58.345,43.183,65.954,"B",63,56.423
42.756,71,35,"L","Class2",59.743,57.128,23.632,29.916,"F",73,50.572
64.629,42,61,"G","Class3",23.617,77.387,65.095,60.085,"S",55,96.755
66.072,85,55,"S","Class3",54.135,74.13,60.592,46.117,"O",58,37.061
42.839,71,33,"S","Class2",87.122,NA,29.214,8.184,"W",40,49.639
41.967,73,35,"M","Class2",19.505,59.05,27.041,49.294,"F",76,59.831
38.288,13,87,"Z","Class1",76.142,49.576,80.242,57.218,"E",41,94.612
58.912,92,56,"S","Class3",51.539,70.381,63.786,58.392,"O",56,20.203
25.465,50,60,"B","Class3",48.177,65.74,70.115,56.57,"A",52,37.255
1.835,20,89,"P","Class1",88.456,49.567,90.017,57.108,"Y",48,101.441
42.494,75,30,"L","Class2",77.087,56.275,56.093,83.005,"F",37,54.324
60.541,57,59,"V","Class3",44.485,65.19,57.107,55.184,"A",NA,27.116
40.775,25,58,"Z","Class3",51.271,71.217,61.528,56.52,"N",53,44.18
58.108,88,57,"V","Class3",57.531,82.862,68.469,42.586,"A",56,54.986
31.115,42,88,"K","Class1",82.601,49.218,93.651,59.702,"E",27,95.346
20.596,70,58,"S","Class3",7.511,58.756,58.369,62.836,"S",59,43.134
42.674,74,37,"B","Class2",72.198,57.069,57.294,33.755,"W",23,57.338
42.595,44,37,"B","Class2",43.222,57.385,18.416,58.636,"I",30,53.563
69.892,78,56,"V","Class3",6.382,70.454,67.244,62.825,"A",57,72.19
40.925,75,61,"G","Class3",80.109,60.104,57.647,55.166,"L",55,19.107
26.896,38,87,"P","Class1",79.476,49.448,89.416,60.528,"A",82,93.805
42.376,54,42,"M","Class2",78.296,56.822,29.412,44.674,"C",32,49.604
21.66,89,60,"B","Class3",23.524,60.033,62.052,38.547,"L",63,37.184
29.491,68,59,"Z","Class3",9.309,NA,58.53,49.349,"O",58,78.308
67.612,30,87,"K","Class1",86.255,49.037,77.22,60.077,"Q",82,97.36
43.028,58,34,"M","Class2",28.603,57.977,50.583,42.867,"I",73,52.565
42.191,48,36,"B","Class2",78.873,NA,64.269,51.272,"B",23,54.489
41.829,69,31,"M","Class2",47.522,58.932,39.745,11.884,"C",38,49.395
44.418,8,91,"W","Class1",63.504,49.683,86.125,60.658,"Y",NA,92.178
31.622,7,91,"I","Class1",70.335,50.049,96.348,57.382,"Y",41,86.157
42.52,45,41,"M","Class2",65.622,58.452,19.754,51.76,"W",35,55.695
42.335,70,40,"B","Class2",80.699,58.644,64.352,71.747,"F",28,55.986
42.455,59,29,"L","Class2",16.586,58.058,38.896,28.596,"I",39,57.502
42.374,45,35,"X","Class2",58.988,57.46,23.01,70.062,"W",75,63.481
39.283,31,88,"P","Class1",84.074,49.474,96.347,58.858,"A",25,98.793
42.504,71,41,"L","Class2",65.228,59.103,66.83,44.233,"C",26,53.879
51.873,82,58,"Z","Class3",78.846,75.25,66.566,44.592,"S",60,70.45
41.941,55,31,"X","Class2",81.864,58.003,31.153,88.866,"B",39,50.332
64.201,9,86,"P","Class1",80.682,49.304,95.969,60.537,"S",23,93.592
63.681,60,59,"V","Class3",11.902,67.688,63.255,64.647,"N",62,94.175
47.548,31,91,"W","Class1",65.314,49.434,94.264,59.892,"Q",84,102.931
35.377,33,60,"B","Class3",66.661,62.923,58.648,38.158,"A",63,51.375
11.193,12,86,"P","Class1",70.916,50.153,92.4,57.827,"A",51,92.411
42.691,38,34,"L","Class2",40.837,57.419,33.884,22.919,"B",40,51.899
43.004,74,40,"L","Class2",74.344,NA,25.022,83.533,"I",49,54.411
48.665,23,85,"Z","Class1",87.721,49.371,91.004,57.526,"E",55,90.88
42.35,56,36,"S","Class2",33.612,58.239,48.084,64.606,"I",75,47.495
42.162,55,41,"L","Class2",17.997,57.963,47.71,20.332,"W",38,49.688
48.857,35,87,"W","Class1",61.011,49.678,95.51,57.918,"Y",66,91.82
41.869,57,31,"M","Class2",49.586,58.117,66.288,34.455,"B",37,58.023
31.399,10,86,"P","Class1",58.63,49.686,77.815,57.43,"Y",69,94.76
48.991,39,60,"V","Class3",30.955,69.053,63.845,53.379,"A",NA,70.511
42.569,61,33,"S","Class2",24.818,57.869,22.556,75.281,"C",58,43.929
55.201,14,91,"K","Class1",66.574,49.848,95.5,59.527,"S",84,94.106
42.168,40,44,"L","Class2",61.898,57.78,45.215,65.897,"I",36,53.808
76.578,96,56,"Z","Class3",42.97,56.21,61.094,40.592,"L",52,31.208
42.059,59,31,"M","Class2",74.274,57.945,52.732,12,"C",55,45.918
41.819,19,91,"Z","Class1",86.681,49.484,82.922,60.406,"Y",25,91.038
59.154,9,87,"Z","Class1",63.524,49.563,95.492,58.451,"A",48,86.328
54.642,29,55,"B","Class3",74.087,54.779,69.417,41.057,"A",51,60.183
22.851,29,55,"Z","Class3",28.155,76.516,62.593,58.37,"L",63,67.429
42.111,51,34,"L","Class2",41.76,58.221,66.136,8.362,"C",NA,59.447
76.918,92,60,"S","Class3",43.366,NA,62.925,51.944,"L",53,22.902
46.665,44,57,"B","Class3",22.011,57.511,57.389,42.07,"S",51,65.871
20.021,39,86,"Z","Class1",65.852,49.622,76.962,57.051,"S",65,89.357
16.342,7,87,"I","Class1",65.505,49.262,81.961,59.586,"A",83,92.542
42.334,48,35,"M","Class2",38.255,59.486,50.326,31.628,"F",NA,52.685
42.477,68,35,"X","Class2",70.379,57.919,29.192,72.996,"C",24,56.814
20.011,12,89,"K","Class1",87.92,49.151,74.671,57.295,"A",57,89.813
36.727,47,60,"B","Class3",10.238,57.584,64.605,62.207,"N",62,33.146
42.722,62,41,"B","Class2",82.681,57.39,40.063,20.892,"C",65,56.666
34.405,34,87,"I","Class1",59.412,49.049,74.437,59.51,"Q",72,84.338
45.777,12,90,"P","Class1",77.067,49.746,79.629,58.072,"S",55,92.796
42.88,47,39,"L","Class2",60.957,57.596,71.926,8.767,"F",66,53.739
62.797,19,85,"I","Class1",72.535,49.207,87.594,59.974,"A",82,88.753
96.906,29,88,"Z","Class1",74.702,49.783,94.646,60.949,"Q",71,91.195
77.211,14,88,"W","Class1",64.313,49.478,90.808,59.926,"S",62,93.937
42.146,45,36,"X","Class2",44.162,57.897,41.224,16.693,"F",57,53.673
42.159,54,43,"X","Class2",63.536,57.123,56.671,75.391,"B",45,52.447
19.23,27,57,"S","Class3",61.187,69.435,70.451,38.451,"O",60,56.664
64.696,69,60,"G","Class3",44.241,67.401,71.092,60.084,"S",NA,41.296
48.325,42,86,"P","Class1",61.407,48.887,95.303,57.99,"Q",52,92.993
45.911,22,88,"I","Class1",67.447,49.657,81.868,57.454,"Y",34,92.513
42.011,54,44,"B","Class2",66.37,57.508,34.716,59.168,"B",68,59.168
11.648,69,59,"Z","Class3",48.551,74.684,59.128,48.332,"L",57,56.795
42.707,52,43,"X","Class2",72.164,58.257,44.443,32.321,"C",50,53.334
42.199,42,44,"L","Class2",46.351,56.714,71.244,40.005,"W",25,58.687
47.842,32,85,"Z","Class1",69.569,49.613,74.21,59.248,"E",68,90.572
72.791,39,85,"P","Class1",62.041,49.421,89.948,59.442,"Y",27,88.238
60.929,53,60,"S","Class3",19.577,69.683,57.157,38.927,"S",59,28.806
32.714,16,90,"I","Class1",67.375,49.723,93.454,60.208,"Y",68,89.621
