"G1","G2","G3","G4","G5","G6","G7","G8","Output6","G9","G10","G11"
24,41.101,82.377,"M",32.475,65,32.267,"F","Class1",67,55.242,34.941
75,48.034,38.552,"V",52.586,66,78.946,"R","Class2",13,70.584,18.575
20,34.658,73.707,"X",55.226,66,53.722,"M","Class1",38,55.879,35.107
80,48.017,110.178,"V",45.563,64,92.182,"B","Class2",9,21.9,NA
95,44.353,61.444,"A",41.988,47,78.958,"R","Class2",15,40.112,11.571
39,46.015,93.33,"B",33.74,67,54.66,"I","Class1",46,64.29,NA
86,43.434,56.607,"V",45.586,68,27.663,"Y","Class2",12,37.102,20.079
80,48.935,99.221,"A",41.068,68,67.227,"V","Class2",5,37.288,NA
23,32.608,88.251,"F",62.847,67,75.271,"D","Class1",56,56.901,24.863
85,43.462,76.067,"W",46.28,52,61.183,"V","Class2",10,119.372,16.766
75,48.939,59.938,"V",52.913,46,72.135,"V","Class2",13,41.598,16.237
87,48.297,36.021,"W",44.62,68,82.411,"V","Class2",5,39.129,12.619
71,47.027,-6.76,"V",53.754,83,48.892,"B","Class2",9,37.732,18.407
30,46.675,82.944,"B",56.786,88,54.522,"D","Class1",45,58.512,33.838
46,39.906,71.005,"X",39.538,82,52.338,"W","Class1",72,56.126,34.281
75,47.323,60.104,"N",46.667,42,66.227,"V","Class2",6,53.574,18.619
40,50.654,88.304,"M",57.104,79,51.329,"F","Class1",48,54.261,NA
29,31.625,84.93,"F",33.192,73,72.11,"I","Class1",49,61.232,27.371
97,44.657,79.839,"I",46.289,56,23.32,"Y","Class2",7,48.499,14.257
48,32.944,94.322,"T",40.034,83,32.475,"I","Class1",38,57.828,36.345
29,34.514,76.386,"F",51.615,88,31.12,"F","Class1",74,64.75,26.819
21,35.7,81.304,"M",40.818,82,35.848,"D","Class1",69,58.399,27.974
91,43.36,37.881,"V",53.386,73,62.272,"R","Class2",7,76.67,17.63
92,45.765,58.233,"N",41.78,77,60.103,"S","Class2",5,59.603,18.435
65,47.003,24.164,"N",44.063,65,48.696,"S","Class2",12,80.528,14.219
47,45.756,80.108,"F",50.168,84,25.402,"W","Class1",77,57.834,39.536
15,47.129,91.266,"X",53.365,64,94.264,"F","Class1",55,54.248,39.52
70,48.353,19.944,"I",39.061,46,72.762,"Y","Class2",11,43.829,17.276
44,44.984,84.606,"X",27.628,59,98.899,"W","Class1",57,57.146,34.645
86,44.87,108.926,"A",52.435,42,108.608,"R","Class2",16,22.502,15.052
27,30.241,86.582,"M",42.649,76,55.266,"M","Class1",72,60.916,30.269
66,48.433,41.265,"A",53.579,76,20.102,"R","Class2",9,50.625,21.712
81,48.007,54.68,"W",45.717,50,52.329,"R","Class2",8,28.832,NA
76,47.142,60.346,"A",47.398,77,61.628,"Y","Class2",15,56.305,12.066
18,38.57,76.394,"T",25.956,84,56.516,"D","Class1",61,55.836,38.523
29,33.257,91.323,"M",33.353,73,21.231,"M","Class1",77,58.569,38.618
79,47.393,3.693,"A",54.11,41,34.161,"V","Class2",15,79.882,16.098
82,46.868,7.171,"W",39.835,77,61.145,"V","Class2",7,24.216,18.06
90,46.334,71.898,"W",43.828,71,45.281,"S","Class2",8,71.825,13.99
43,34.868,78.608,"X",41.046,72,-8.359,"D","Class1",55,58.317,35.968
66,47.978,96.665,"A",49.288,42,47.782,"B","Class2",11,35.479,NA
78,47.601,77.596,"A",44.541,78,47.715,"Y","Class2",12,56.502,14.508
35,38.673,89.222,"M",33.283,73,70.973,"F","Class1",56,54.835,29.839
67,47.671,35.137,"W",52.736,52,45.898,"V","Class2",8,64.696,17.602
78,48.015,43.469,"V",46.616,61,89.566,"Y","Class2",13,38.464,16.895
71,45.684,13.227,"N",43.957,62,71.887,"B","Class2",7,35.564,14.873
78,45.315,70.665,"W",42.753,59,10.934,"V","Class2",8,67.719,17.326
37,44.14,75.961,"X",38.622,84,78.122,"D","Class1",40,67.188,32.408
64,48.413,24.579,"A",50.54,49,50.605,"Y","Class2",6,27.521,20.257
24,31.585,88.262,"X",40.629,73,64.018,"W","Class1",49,62.971,32.393
85,48.863,44.46,"W",49.004,57,55.673,"R","Class2",10,50.271,18.38
65,43.181,62.618,"A",44.143,61,80.842,"R","Class2",10,39.974,21.18
95,44.269,29.261,"W",46.697,80,73.966,"R","Class2",14,44.089,21.685
97,46.902,88.188,"W",40.255,64,78.192,"B","Class2",8,9.49,21.659
63,46.226,6.432,"N",50.347,63,59.138,"S","Class2",6,54.119,16.46
68,47.678,60.872,"W",54.275,64,55.398,"Y","Class2",15,45.937,17.296
41,42.167,81.442,"X",42.081,66,53.614,"M","Class1",65,61.59,35.05
95,45.202,65.826,"A",41.444,54,47.807,"S","Class2",15,1.03,12.457
68,47.45,109.658,"W",43.619,50,79.682,"B","Class2",11,43.668,14.71
37,39.708,74.907,"F",57.094,NA,77.501,"I","Class1",58,61.687,24.169
25,44.13,88.413,"M",50.664,80,78.753,"M","Class1",72,59.591,39.186
80,47.352,39.483,"N",45.082,NA,79.82,"S","Class2",11,59.188,13.169
93,43.196,63.801,"N",53.5,72,57.559,"B","Class2",14,14.989,12.288
26,50.306,83.66,"M",60.493,70,66.942,"W","Class1",75,56.106,29.501
92,43.46,66.311,"N",53.303,71,38.932,"Y","Class2",7,21.541,16.675
18,47.617,82.329,"M",48.87,77,72.199,"W","Class1",68,62.661,NA
91,46.724,10.594,"I",48.792,67,58.45,"Y","Class2",13,60.131,11.805
91,48.069,5.366,"W",40.266,79,28.607,"R","Class2",5,45.63,17.392
40,49.01,85.899,"B",58.216,71,64.71,"W","Class1",59,59.301,33.542
15,37.282,87.49,"B",33.533,NA,70.048,"F","Class1",51,56.07,39.875
88,45.953,36.328,"W",44.17,55,36.887,"R","Class2",14,39.759,20.116
28,49.024,86.805,"X",35.306,NA,123.595,"F","Class1",62,59.601,29.191
30,41.452,79.605,"T",56.405,NA,68.723,"I","Class1",47,65.666,38.316
17,45.289,89.287,"T",43.317,77,77.938,"M","Class1",46,63.701,28.989
95,43.523,78.109,"V",51.026,64,71.734,"Y","Class2",11,36.701,14.667
18,30.193,92.549,"X",61.952,NA,62.726,"M","Class1",73,58.776,38.903
26,49.475,86.906,"X",62.364,75,76.425,"D","Class1",72,59.958,39.668
87,45.725,8.671,"I",39.22,54,68.195,"V","Class2",6,44.027,NA
20,44.359,81.311,"T",58.292,79,32.282,"M","Class1",65,64.501,38.898
36,34.585,85.494,"F",33.488,76,19.773,"I","Class1",54,52.315,37.38
18,41.355,99.969,"F",60.063,62,110.217,"I","Class1",58,57.798,36.69
44,44.696,73.305,"B",58.57,85,77.521,"F","Class1",77,60.398,29.255
87,43.447,38.064,"N",51.096,41,42.785,"B","Class2",15,58.922,17.262
97,43.901,3.655,"V",39.932,44,36.682,"V","Class2",11,37.05,13.625
92,46.801,111.739,"N",49.438,56,69.86,"B","Class2",11,57.863,20.073
85,43.602,87.351,"V",48.992,44,80.414,"R","Class2",5,51.08,12.02
41,48.594,77.749,"B",39.154,71,4.113,"I","Class1",59,61.484,22.689
72,47.807,39.916,"I",54.852,52,47.911,"V","Class2",15,68.473,20.642
95,43.334,35.517,"V",47.648,72,67.206,"B","Class2",11,43.592,17.288
93,43.682,63.673,"N",40.676,82,76.815,"Y","Class2",7,27.469,NA
28,31.157,84.373,"T",50.316,84,36.246,"D","Class1",47,64.127,28.943
47,40.031,91.867,"M",40.569,85,72.027,"W","Class1",44,64.08,22.231
18,43.345,70.754,"M",37.93,59,77.513,"I","Class1",45,64.37,37.291
24,45.626,81.339,"X",59.551,59,62.77,"F","Class1",42,63.39,28.498
67,43.533,52.2,"A",48.273,67,37.389,"S","Class2",13,18.345,18.596
75,44.704,10.236,"V",53.782,45,38.039,"R","Class2",15,47.979,19.207
88,47.547,54.477,"V",39.082,81,31.064,"R","Class2",16,75.136,11.52
42,44.079,86.899,"M",33.043,81,88.778,"M","Class1",56,59.903,35.394
82,44.102,53.551,"I",51.627,49,62.746,"Y","Class2",13,43.374,11.654
78,47.084,22.381,"N",51.285,45,85.875,"B","Class2",11,61.66,19.794
81,48.73,73.15,"V",54.523,NA,67.07,"B","Class2",5,60.712,12.205
28,32.564,91.068,"X",61.845,83,59.373,"M","Class1",73,60.347,25.062
83,45.075,44.061,"V",52.771,56,78.77,"Y","Class2",11,52.273,13.059
15,36.184,77.956,"T",27.265,79,32.459,"M","Class1",61,67.596,34.222
26,50.609,84.186,"X",41.396,60,49.093,"F","Class1",76,60.548,35.221
64,48.461,48.439,"N",49.854,71,99.47,"Y","Class2",14,62.547,12.242
86,45.333,-25.198,"I",52.306,50,72.7,"S","Class2",5,82.798,20.333
15,44.724,85.823,"T",54.978,72,65.949,"F","Class1",52,55.063,29.201
76,43.74,63.113,"V",45.765,46,41.704,"Y","Class2",8,52.535,13.818
65,45.738,62.03,"A",48.445,42,82.547,"Y","Class2",9,30.639,19.853
39,50.121,78.148,"X",37.051,69,35.509,"W","Class1",52,65.768,36.339
30,42.496,75.27,"B",26.745,81,47.402,"M","Class1",58,61.187,35.593
67,44.293,52.827,"V",40.519,43,52.354,"S","Class2",13,13.044,18.192
44,33.901,78.841,"X",36.412,64,34.128,"I","Class1",71,57.299,29.901
24,30.189,83.218,"M",25.327,77,52.16,"M","Class1",80,61.312,32.44
92,47.178,21.542,"A",50.767,41,62.305,"B","Class2",14,52.072,19.002
67,43.847,53.972,"I",39.726,80,49.304,"V","Class2",9,35.77,16.341
67,44.541,80.644,"V",52.356,42,14.017,"R","Class2",5,29.087,15.227
96,45.797,75.24,"N",53.739,72,56.568,"V","Class2",11,49.199,21.342
40,36.307,82.295,"B",31.898,78,33.903,"W","Class1",49,55.268,38.525
95,47.99,6.985,"N",45.97,42,52.708,"R","Class2",15,56.802,17.248
93,45.449,94.629,"I",41.249,77,79.845,"B","Class2",13,40.366,NA
94,44.815,57.42,"W",52.827,56,45.267,"Y","Class2",8,31.996,21.766
28,35.902,92.848,"T",58.035,78,87.453,"I","Class1",57,63.902,36.192
15,42.473,83.572,"B",36.442,87,41.572,"I","Class1",54,62.324,25.158
20,39.502,89.08,"B",51.999,79,67.034,"W","Class1",67,58.299,30.796
63,46.553,21.973,"W",40.309,78,68.494,"V","Class2",9,72.406,11.419
68,48.623,79.557,"W",54.87,46,73.674,"S","Class2",14,65.236,11.561
39,50.795,90.545,"B",59.908,59,78.247,"I","Class1",80,59.958,37.649
65,46.527,15.913,"W",49.512,64,41.52,"B","Class2",8,12.495,16.543
37,43.685,66.928,"B",32.751,83,54.233,"W","Class1",61,62.773,36.712
47,38.673,85.484,"X",55.468,86,53.615,"I","Class1",67,62.004,31.579
40,31.608,79.341,"X",57.962,78,77.64,"W","Class1",52,61.348,27.006
91,47.25,62.811,"N",44.665,NA,71.909,"B","Class2",14,21.089,17.666
21,44.15,72.682,"M",37.693,NA,140.451,"I","Class1",59,61.053,29.8
76,48.168,25.305,"V",41.271,57,65.648,"S","Class2",13,55.693,16.22
44,31.141,86.411,"F",61.283,78,84.322,"D","Class1",60,54.636,24.986
45,44.742,82.617,"X",45.633,69,23.591,"W","Class1",47,64.266,33.445
92,48.9,-14.611,"N",48.758,60,29.873,"B","Class2",13,22.646,21.199
33,47.831,84.517,"X",42.354,87,75.421,"F","Class1",52,58.116,31.208
26,41.341,82.995,"M",63.841,66,100.796,"D","Class1",59,57.361,33.436
67,46.521,36.273,"N",39.141,72,85.33,"V","Class2",14,47.45,13.654
73,43.167,22.569,"I",49.069,71,21.93,"Y","Class2",14,60.787,16.067
15,39.263,77.32,"M",38.598,64,63.467,"F","Class1",46,66.063,34.641
92,45.599,-37.518,"V",52.197,76,45.356,"Y","Class2",10,65.558,12.18
39,39.691,86.037,"M",56.879,74,62.378,"D","Class1",71,59.743,30.919
45,37.22,83.749,"X",42.86,74,83.494,"M","Class1",67,53.708,25.186
65,46.742,48.33,"N",52.688,46,76.297,"V","Class2",9,26.849,18.94
20,32.349,93.699,"B",49.972,87,70.456,"W","Class1",73,57.455,39.816
67,47.316,50.745,"I",41.397,55,25.797,"V","Class2",16,51.958,14.549
22,30.799,88.813,"X",33.123,77,85.253,"I","Class1",71,58.509,36.851
93,47.865,20.477,"A",39.533,70,90.363,"S","Class2",15,64.894,11.03
91,47.826,60.015,"N",50.244,43,84.137,"B","Class2",7,27.599,11.767
48,39.427,86.059,"X",48.616,72,40.959,"W","Class1",53,57.468,39.989
19,32.109,81.512,"B",41.123,88,75.155,"F","Class1",65,60.338,34.237
96,46.19,18.637,"N",53.513,44,57.634,"V","Class2",8,26.871,14.336
43,36.551,100.762,"M",30.625,72,35.269,"D","Class1",68,59.63,26.081
94,44.418,128.844,"W",44.174,79,22.726,"Y","Class2",13,50.893,21.863
76,43.589,94.274,"W",52.4,80,30.318,"Y","Class2",13,19.481,19.359
73,47.646,26.66,"N",41.238,82,33.723,"Y","Class2",16,21.604,19.229
95,48.482,29.552,"V",40.573,52,0.279,"Y","Class2",7,42.852,14.54
30,36.331,75.193,"T",59.572,68,67.623,"F","Class1",38,59.112,34.987
27,38.525,77.326,"M",52.044,88,68.137,"I","Class1",59,59.182,25.652
32,37.019,84.711,"T",30.82,72,58.867,"M","Class1",69,58.187,28.134
83,45.071,-13.552,"V",45.977,63,42.047,"B","Class2",15,40.113,13.156
64,48.726,95.768,"A",48.639,58,61.953,"V","Class2",9,59.413,20.451
27,44.64,90.872,"T",26.551,72,48.013,"D","Class1",58,58.602,33.076
24,37.731,91.515,"T",38.52,63,24.422,"F","Class1",68,53.989,37.172
29,48.563,84.104,"F",29.615,66,15.209,"M","Class1",58,60.14,28.976
68,46.503,52.14,"I",45.999,NA,29.613,"V","Class2",8,49.174,12.087
32,46.984,77.271,"T",53.74,64,67.206,"F","Class1",47,59.225,25.19
77,48.724,38.965,"N",39.519,74,65.84,"V","Class2",10,32.385,19.495
82,47.685,46.089,"A",43.594,47,56.378,"R","Class2",10,34.05,13.347
88,44.685,25.931,"A",48.466,51,51.421,"Y","Class2",9,31.064,20.94
66,46.657,45.442,"W",43.845,61,51.912,"V","Class2",5,36.229,12.466
87,43.593,30.772,"W",52.055,61,49.156,"V","Class2",15,19.205,NA
42,41.901,101.444,"M",35.735,62,25.759,"M","Class1",69,58.969,38.932
25,34.272,90.909,"F",60.702,82,42.706,"M","Class1",68,67.518,36.531
64,44.969,69.389,"N",39.076,77,73.519,"V","Class2",11,52.654,15.058
39,32.482,80.245,"F",52.483,74,70.091,"F","Class1",56,59.89,36.509
78,43.36,40.477,"V",40.11,50,20.806,"V","Class2",11,19.588,14.323
93,48.494,84.896,"W",51.318,42,69.042,"B","Class2",9,30.315,12.547
21,47.165,79.525,"M",55.313,66,67.464,"I","Class1",46,58.201,28.678
92,43.671,23.104,"A",51.128,57,24.94,"Y","Class2",10,43.036,16.939
70,48.844,84.355,"A",54.722,60,57.618,"V","Class2",15,59.633,15.333
20,44.569,92.501,"F",27.397,65,60.61,"W","Class1",65,56.137,35.047
48,40.804,79.488,"B",59.176,74,5.659,"F","Class1",46,62.485,39.003
70,45.719,106.963,"W",52.655,79,36.42,"R","Class2",11,45.569,13.67
74,47.256,67.709,"W",43.133,50,36.443,"B","Class2",8,66.046,13.048
35,40.972,75.156,"T",58.962,73,49.376,"F","Class1",47,57.597,39.558
79,48.913,31.411,"A",43.074,73,47.883,"S","Class2",16,22.908,NA
28,50.642,86.774,"T",61.621,62,55.653,"M","Class1",58,58.346,32.068
20,45.792,67.326,"B",43.661,87,43.666,"W","Class1",66,55.203,23.774
70,46.561,12.07,"W",45.829,52,82.295,"B","Class2",16,74.367,15.374
32,34.333,92.275,"F",40.128,64,98.649,"F","Class1",46,59.412,23.451
38,41.083,91.625,"X",55.423,61,52.003,"D","Class1",62,55.444,30.566
63,47.289,53.615,"V",39.494,44,33.245,"S","Class2",11,51.344,20.957
76,48.563,63.829,"W",52.416,58,48.163,"R","Class2",14,37.713,19.431
91,45.977,52.453,"V",42.864,41,83.78,"S","Class2",7,46.604,18.856
19,33.146,71.982,"B",31.454,60,48.182,"M","Class1",80,62.392,22.239
77,46.958,40.886,"A",46.4,67,67.208,"Y","Class2",15,44.508,12.551
27,44.36,77.354,"B",50.479,77,14.779,"F","Class1",65,55.367,25.344
76,45.803,77.97,"A",47.969,75,27.97,"R","Class2",15,79.473,19.17
66,48.716,57.921,"W",51.315,63,43.573,"S","Class2",16,65.954,17.653
38,36.668,87.572,"M",47.832,88,27.45,"F","Class1",65,54.377,22.067
15,42.993,74.5,"M",45.192,70,66.417,"F","Class1",65,61.624,25.38
92,43.482,25.908,"N",53.927,50,54.986,"S","Class2",13,74.707,12.794
64,43.602,80.077,"A",51.647,55,19.883,"B","Class2",10,84.057,12.815
64,44.663,36.099,"I",45.976,79,68.329,"R","Class2",9,54.584,NA
90,47.554,3.479,"A",53.34,74,45.019,"B","Class2",16,46.828,18.328
76,47.451,53.02,"V",47.543,55,67.089,"S","Class2",8,40.68,11.922
22,40.218,79.125,"T",53.842,61,82.702,"F","Class1",51,61.733,24.671
94,45.051,67.577,"V",49.929,62,61.459,"Y","Class2",9,10.743,18.622
64,47.307,26.118,"N",39.412,63,50.97,"S","Class2",5,50.519,15.05
84,48.403,85.07,"V",48.434,58,51.351,"V","Class2",11,51.104,18.45
79,47.097,73.318,"N",50.046,45,33.655,"R","Class2",15,27.306,17.706
31,42.595,72.436,"F",46.487,NA,73.609,"W","Class1",72,64.8,25.388
17,39.94,96.598,"T",48.434,78,74.37,"M","Class1",66,61.8,25.209
34,41.477,93.297,"B",44.87,NA,110.954,"W","Class1",42,60.811,29.448
70,48.257,54.402,"W",43.328,43,73.302,"B","Class2",12,45.463,11.054
33,39.304,71.723,"X",30.051,84,52.054,"F","Class1",78,58.159,NA
35,48.765,77.553,"X",40.302,78,35.736,"F","Class1",65,63.971,34.021
95,43.38,82.088,"A",53.381,71,67.687,"S","Class2",8,20.393,17.002
80,45.521,22.842,"W",41.121,NA,57.551,"S","Class2",14,33.072,15.496
82,48.497,51.428,"N",43.212,49,86.789,"R","Class2",12,33.788,11.731
74,44.698,-8.495,"V",54.153,77,30.696,"R","Class2",9,63.517,18.736
40,31.634,85.051,"F",57.299,72,13.923,"D","Class1",38,57.101,23.313
83,43.986,27.596,"A",54.992,43,68.101,"V","Class2",9,25.526,15.313
91,46.697,82.415,"I",51.695,71,49.54,"B","Class2",8,33.601,11.385
95,45.275,19.266,"N",49.921,54,54.572,"S","Class2",10,53.395,12.45
70,43.166,-13.029,"N",47.891,71,48.562,"S","Class2",10,48.167,16.046
15,31.56,83.427,"B",29.588,87,38.857,"F","Class1",80,49.648,31.266
76,48.591,38.422,"W",41.979,82,56.46,"B","Class2",8,41.71,21.142
93,45.95,53.819,"W",44.317,66,26.154,"B","Class2",16,52.525,12.344
64,47.186,65.658,"I",41.981,79,54.958,"B","Class2",16,40.616,18.69
25,32.452,76.733,"T",36.635,67,19.945,"F","Class1",52,61.931,29.782
26,42.995,95.092,"F",40.533,73,30.635,"I","Class1",52,57.698,31.964
66,45.165,64.092,"W",54.382,55,35.173,"B","Class2",5,75.696,15.931
66,48.062,67.137,"A",54.416,53,25.689,"B","Class2",5,16.34,11.973
42,49.551,70.521,"F",43.683,88,87.71,"I","Class1",72,57.389,25.68
89,46.599,49.792,"W",39.676,51,23.232,"Y","Class2",10,46.737,16.893
88,44.614,24.2,"I",46.873,45,59.271,"R","Class2",6,46.813,15.675
65,46.861,19.555,"W",40.849,70,41.706,"R","Class2",12,67.237,17.2
89,45.629,71.634,"A",47.345,73,64.456,"R","Class2",16,43.407,14.505
44,40.066,86.373,"X",26.705,68,37.241,"F","Class1",80,55.678,37.262
94,48.867,29.834,"W",51.394,80,17.483,"R","Class2",5,27.069,18.853
93,44.376,19.612,"V",53.757,46,24.388,"Y","Class2",9,25.575,19.441
89,48.467,32.757,"I",44.513,44,47.286,"V","Class2",8,59.964,15.99
34,31.285,83.408,"X",58.465,76,78.224,"F","Class1",73,67.406,23.742
38,40.756,71.416,"M",42.221,70,26.754,"W","Class1",62,58.99,27.522
82,44.935,52.416,"V",49.972,73,51.215,"S","Class2",8,35.332,15.346
74,47.35,41.4,"A",42.31,42,51.84,"B","Class2",6,45.194,11.125
32,32.885,83.687,"M",30.676,74,-9.244,"D","Class1",46,64.033,33.076
65,43.882,44.895,"A",43.304,52,46.043,"V","Class2",9,58.186,15.669
43,36.357,86.005,"T",61.937,83,67.798,"W","Class1",56,63.822,35.879
43,40.855,77.999,"T",43.404,84,21.647,"W","Class1",40,60.588,23.117
27,39.33,96.114,"M",50.431,75,91.974,"I","Class1",71,47.657,23.423
77,48.392,76.584,"A",42.003,44,30.222,"S","Class2",15,32.141,11.168
20,33.057,96.217,"M",31.992,85,65.171,"M","Class1",54,60.988,28.283
78,47.522,73.112,"W",45.417,64,62.172,"V","Class2",15,81.144,13.084
69,44.57,42.874,"V",40.793,45,60.922,"S","Class2",6,55.702,15.728
30,33.543,83.692,"B",45.038,63,51.388,"F","Class1",70,62.011,31.498
70,47.328,40.439,"N",47.184,42,47.469,"Y","Class2",15,65.78,14.699
97,43.139,33.517,"A",43.48,55,12.575,"S","Class2",15,35.307,11.342
80,43.382,100.206,"N",41.173,78,50.83,"Y","Class2",8,69.439,11.419
15,36.063,82.924,"F",57.093,62,83.893,"I","Class1",58,58.551,34.335
95,47.567,80.177,"I",46.205,80,74.443,"S","Class2",8,46.203,17.019
78,45.705,67.004,"W",47.152,52,44.494,"S","Class2",8,58.506,15.742
46,34.654,92.61,"F",38.949,79,60.348,"D","Class1",68,60.961,31.645
84,45.172,28.273,"V",48.841,54,45.25,"V","Class2",5,73.667,12.865
47,40.646,86.657,"M",40.873,63,-0.397,"I","Class1",78,61.489,NA
36,40.694,87.127,"B",62.593,73,59.072,"D","Class1",64,62.213,29.027
91,46.052,46.673,"I",54.052,60,86.574,"R","Class2",7,22.483,18.468
27,43.925,84.822,"T",45.916,61,110.158,"D","Class1",41,58.425,37.518
77,47.451,91.488,"N",51.165,76,49.055,"R","Class2",12,80.652,15.019
76,43.609,69.505,"V",40.708,80,62.798,"S","Class2",10,23.035,17.043
18,32.319,84.335,"M",40.284,67,-2.39,"I","Class1",75,52.927,35.702
36,47.688,97.41,"T",25.084,67,69.256,"I","Class1",59,56.756,26.873
73,47.392,16.638,"W",41.64,73,36.569,"Y","Class2",8,59.676,14.608
29,35.393,71.373,"M",26.698,60,101.987,"F","Class1",59,55.353,28.693
15,37.341,85.992,"M",41.469,72,51.344,"W","Class1",54,56.192,33.377
34,41.741,75.399,"M",61.962,75,35.747,"D","Class1",76,53.601,35.768
43,49.477,85.769,"X",43.25,69,83.733,"F","Class1",45,58.027,35.527
96,43.879,72.375,"N",40.006,65,30.828,"Y","Class2",16,52.695,13.039
17,32.573,89.362,"X",27.752,86,57.058,"M","Class1",67,63.319,30.628
78,45.827,16.028,"N",45.849,82,71.59,"S","Class2",11,64.892,18.98
38,47.64,89.047,"B",39.992,74,97.851,"W","Class1",41,63.062,30.829
23,48.584,92.587,"T",29.606,61,35.641,"M","Class1",51,57.011,25.431
74,47.384,-21.993,"V",50.845,74,40.285,"V","Class2",6,61.269,18.417
43,47.761,78.074,"T",42.919,68,42.645,"M","Class1",48,54.881,23.408
84,43.176,53.325,"W",45.105,70,77.733,"S","Class2",14,29.199,11.552
