"S1","S2","S3","S4","S5","Output18","S6","S7","S8","S9","S10","S11"
"Q",87.865,42,36.966,52.061,"Class1",78.612,35,"E",30,29.639,74.163
"M",80.654,38,37.96,49.949,"Class1",83.23,59,"G",41,48.237,74.04
"C",56.418,63,20.759,64.369,"Class2",29.621,37,"A",53,52.904,10.683
"J",37.026,34,63.483,61.14,"Class4",26.045,28,"W",85,39.65,87.654
"M",-0.491,81,42.327,26.976,"Class5",82.761,25,"A",74,4.442,60.259
"G",85.866,52,41.907,62.398,"Class1",82.225,48,"I",42,42.819,83.139
"D",29.911,54,44.578,34.091,"Class3",31.023,74,"W",47,72.79,46.103
"N",37.583,50,37.771,32.122,"Class3",32.714,69,"W",45,59.741,42.997
"C",52.595,44,30.937,77.324,"Class2",29.425,39,"O",68,38.186,34.269
"G",79.388,38,43.783,49.312,"Class1",71.149,32,"E",32,37.451,72.587
"Z",20.707,83,42.91,13.635,"Class5",26.043,70,"H",45,35.889,63.624
"X",58.881,28,27.287,57.708,"Class2",4.256,39,"Q",51,49.289,36.637
"J",83.607,48,30.405,54.447,"Class1",91.836,40,"I",36,48.277,82.323
"J",75.12,65,72.876,67.13,"Class4",22.36,32,"V",87,42.293,74.962
"X",60.428,20,27.352,73.726,"Class2",16.912,37,"F",65,47.939,86.366
"N",47.206,43,43.637,30.423,"Class3",43.849,64,"A",46,69.595,45.243
"Z",NA,20,32.476,93.297,"Class2",6.257,40,"C",70,48.224,-2.712
"K",67.548,63,71.89,59.306,"Class4",6.42,22,"I",86,41.047,56.55
"M",94.111,9,26.183,51.744,"Class1",66.557,55,"S",41,32.835,78.861
"X",27.084,82,44.871,16.616,"Class5",51.41,47,"L",47,16.087,73.683
"Q",39.457,63,37.822,47.623,"Class3",37.256,61,"W",46,63.676,42.827
"B",41.578,42,44.256,47.497,"Class3",33.242,74,"Q",45,62.512,41.864
"N",21.095,41,40.01,35.383,"Class3",30.289,62,NA,47,69.918,43.828
"Q",29.164,56,45.187,19.778,"Class3",43.214,69,"Q",45,67.533,44.185
"H",85.248,29,43.391,55.534,"Class1",84.619,30,"S",35,36.296,76.781
"S",63.479,83,76.009,60.034,"Class4",41.048,35,"I",83,35.624,81.644
"Y",NA,84,27.318,15.999,"Class5",33.953,68,"H",49,22.965,60.781
"X",60.993,25,20.386,78.435,"Class2",11.467,39,"A",52,47.496,18.152
"Q",42.422,51,46.162,37.861,"Class3",33.901,67,"W",46,66.271,41.979
"J",83.22,30,32.397,51.852,"Class1",78.706,42,"I",32,35.603,77.244
"H",NA,23,38.009,55.673,"Class1",68.541,40,"I",38,35.166,79.944
"M",54.65,82,63.053,70.395,"Class4",25.445,32,"S",88,34.158,91.559
"C",48.968,56,20.123,85.815,"Class2",23.506,38,"C",52,39.711,4.185
"G",82.822,32,30.989,55.404,"Class1",77.092,51,"I",42,46.51,73.383
"Z",10.147,87,27.785,16.281,"Class5",78.226,79,"A",73,16.696,60.908
"Y",46.553,94,34.552,18.209,"Class5",56.248,78,"A",20,8.633,48.158
"M",NA,23,63.71,64.496,"Class4",26.523,37,"O",81,37.671,82.677
"M",84.852,29,41.107,63.817,"Class1",69.822,60,"E",37,40.258,73.096
"M",80.711,95,34.672,12.539,"Class5",25.358,58,"B",40,12.759,64.781
"R",57.118,34,18.693,91.701,"Class2",33.565,37,"F",63,52.345,4.609
"X",49.973,88,38.954,16.093,"Class5",27.942,49,"L",40,38.943,56.63
"M",69.177,59,63.364,70.941,"Class4",14.261,30,"O",73,38.29,99.692
"Y",54.185,81,32.316,18.089,"Class5",61.369,52,"A",17,51.599,59.248
"D",56.23,46,21.922,64.234,"Class2",31.226,39,NA,59,49.793,24.905
"K",NA,56,70.152,66.871,"Class4",20.535,35,"S",90,36.605,72.982
"K",65.926,51,65.654,66.91,"Class4",28.455,22,"I",87,39.737,76.353
"X",92.07,67,63.245,63.685,"Class4",36.773,36,"V",80,41.834,76.931
"Z",70.93,82,35.255,19.62,"Class5",26.416,52,"L",44,42.953,67.308
"I",-2.87,94,24.382,19.672,"Class5",43.226,48,"H",74,72.736,56.347
"S",72.207,81,62.717,67.43,"Class4",24.525,21,"S",68,36.309,71.896
"J",82.793,45,44.599,43.316,"Class1",78.744,51,"S",39,44.892,72.081
"Z",65.358,85,33.861,21.256,"Class5",42.056,66,"B",75,8.106,69.145
"X",41.012,77,75.197,64.196,"Class4",39.084,37,"I",78,40.477,89.013
"G",NA,40,28.185,45.413,"Class1",76.937,35,"I",40,38.753,73.916
"G",84.291,12,43.259,51.597,"Class1",92.384,45,"S",34,45.085,76.38
"Z",30.101,95,42.281,21.593,"Class5",82.679,49,"A",61,48.105,70.775
"C",58.046,31,17.563,87.837,"Class2",37.943,37,"F",72,51.977,59.079
"M",91.351,4,44.723,48.838,"Class1",89.639,59,"G",31,40.648,77.862
"M",58.15,31,66.637,61.471,"Class4",44.843,21,"S",78,42.032,74.497
"S",59.056,82,63.744,71.127,"Class4",26.435,29,"O",74,37.217,89.979
"J",85.254,25,37.283,59.356,"Class1",68.846,30,"E",32,36.973,78.2
"N",20.227,59,37.15,32.131,"Class3",53.777,63,"Z",45,60.893,39.572
"Q",84.178,41,31.298,63.088,"Class1",92.827,30,"G",40,47.402,75.643
"H",77.879,36,31.998,54.52,"Class1",80.502,58,"E",41,35.348,73.808
"J",87.986,50,26.54,51.564,"Class1",87.198,49,"G",32,32.017,68.528
"Q",83.516,33,26.897,54.408,"Class1",72.466,39,NA,34,34.317,80.395
"M",42.471,85,31.401,18.004,"Class5",71.911,20,"N",53,70.92,69.309
"H",95.58,53,39.416,58.216,"Class1",75.342,45,"S",42,40.184,88.231
"D",46.507,56,41.45,27.186,"Class3",58.399,75,"O",46,65.395,48.8
"M",93.528,19,35.053,49.293,"Class1",69.509,52,"S",32,36.085,81.836
"B",35.776,47,37.929,21.941,"Class3",32.202,75,"Q",47,59.078,44.54
"M",57.178,54,74.147,60.99,"Class4",21.423,33,"W",82,37.633,64.811
"M",60.506,91,46.969,9.019,"Class5",49.482,60,"N",75,36.302,64.289
"Y",53.593,83,32.256,21.805,"Class5",78.839,55,"L",58,31.21,71.179
"B",38.349,40,41.956,36.427,"Class3",51.416,74,"Q",46,70.932,38.947
"X",38.277,85,45.403,16.851,"Class5",81.231,48,"A",71,5.682,57.431
"M",49.104,49,70.446,76.346,"Class4",29.054,24,"I",85,36.499,85.653
"C",35.183,60,37.915,46.842,"Class3",71.861,74,"A",46,68.196,42.656
"Z",52.839,81,36.243,15.264,"Class5",55.477,54,"N",16,14.468,65.474
"X",60.245,39,23.279,79.584,"Class2",9.85,40,"C",65,38.665,-3.907
"M",39.688,90,41.251,17.182,"Class5",40.602,62,"B",37,69.129,65.758
"M",35.561,37,73.693,64.718,"Class4",10.982,19,"S",72,35.416,88.524
"X",56.66,93,32.233,10.765,"Class5",23.73,30,"A",39,50.977,60.178
"X",43.044,26,73.544,69.32,"Class4",20.948,24,"V",76,35.574,76.59
"C",39.528,43,46.854,46.431,"Class3",64.578,74,"A",46,62.729,42.296
"J",95.323,6,34.671,55.505,"Class1",87.155,37,"C",37,38.099,78.714
"M",84.11,30,34.536,52.044,"Class1",83.079,50,"I",35,48.169,79.904
"X",44.538,34,30.426,83.06,"Class2",9.398,36,"O",64,38.611,67.112
"G",92.764,21,30.816,41.537,"Class1",69.545,43,"G",41,32.454,80.953
"H",93.663,26,28.974,49.823,"Class1",90.892,60,"E",30,48.479,76.006
"R",55.211,61,19.444,78.615,"Class2",14.3,39,"A",60,38.261,57.9
"R",52.012,21,21.207,79.835,"Class2",38.633,40,"C",63,50.783,43.286
"Y",46.556,86,35.2,21.209,"Class5",52.606,56,"L",63,6.165,64.414
"C",33.316,41,44.86,36.161,"Class3",40.21,70,"Z",47,68.889,40.305
"Z",10.686,90,34.564,15.444,"Class5",80.89,74,"N",42,48.289,57.304
"J",87.442,16,28.782,60.948,"Class1",66.688,48,"G",33,40.085,76.665
"B",48.742,64,38.567,29.033,"Class3",67.194,65,"Z",45,68.813,45.983
"H",93.336,9,32.448,60.072,"Class1",66.063,57,"E",34,31.857,79.426
"J",83.518,51,68.625,56.814,"Class4",35.438,32,"V",82,43.796,69.246
"D",58.555,22,26.093,86.705,"Class2",15.781,36,"O",54,51.237,22.875
"J",59.513,72,74.324,56.82,"Class4",33.119,35,"S",90,42.832,95.631
"Q",88.465,52,40.072,44.486,"Class1",79.821,47,"S",36,44.416,77.082
"J",91.404,44,26.435,44.665,"Class1",93.176,61,"I",35,36.301,80.45
"M",52.935,45,66.908,65.253,"Class4",12.942,24,"W",70,39.243,66.789
"K",58.43,74,76.625,59.707,"Class4",38.914,35,"O",67,39.824,84.622
"Z",25.26,81,29.886,12.753,"Class5",22.844,34,"B",55,12.346,67.714
"Y",64.371,83,33.233,16.914,"Class5",34.732,54,"H",29,48.806,73.004
"X",51.307,58,26.495,77.993,"Class2",41.588,36,"O",57,40.445,43.911
"Q",18.302,57,41.775,30.234,"Class3",50.121,67,"Q",47,70.089,46.777
"B",42.638,48,45.473,43.14,"Class3",42.792,73,"W",45,61.601,43.873
"N",30.731,65,46.762,38.412,"Class3",40.194,72,NA,45,70.636,45.79
"X",48.004,88,41.398,16.188,"Class5",63.541,73,"L",35,76.876,74.448
"X",NA,87,46.319,18.713,"Class5",56.311,51,"L",76,71.47,63.555
"X",58.423,21,24.902,63.415,"Class2",35.118,36,"A",52,37.612,48.72
"X",49.441,23,26.336,80.959,"Class2",33.669,38,"C",65,38.116,13.832
"M",50.066,49,61.713,72.928,"Class4",45.031,29,"V",81,35.576,69.139
"J",21.448,75,71.46,54.694,"Class4",29.874,32,NA,70,37.134,60.729
"C",34.651,62,47.15,48.68,"Class3",62.719,62,"Z",45,71.033,43.705
"Y",47.124,94,44.48,18.152,"Class5",38.634,72,"B",68,72.207,57.835
"I",35.248,86,25.031,17.575,"Class5",72.497,28,"B",76,5.728,68.183
"S",59.705,49,72.405,74.706,"Class4",25.977,21,NA,79,34.611,62.671
"M",49.797,30,61.942,72.247,"Class4",30.044,23,"I",87,34.119,81.364
"M",92.308,21,34.654,55.297,"Class1",71.937,58,NA,33,34.739,79.174
"C",45.948,29,34.824,81.517,"Class2",14.063,37,"C",50,40.059,46.559
"B",30.939,53,42.346,52.686,"Class3",42.892,64,"A",47,72.925,44.692
"Q",91.07,4,41.291,51.721,"Class1",81.926,57,"I",40,48.551,75.022
"M",49.86,37,70.616,62.778,"Class4",11.453,21,"O",76,42.806,93.55
"M",93.56,27,39.869,44.127,"Class1",76.848,39,"C",33,33.054,79.653
"X",52.888,32,70.529,63.81,"Class4",30.055,38,"S",68,38.243,57.569
"Q",51.655,42,40.78,41.303,"Class3",68.303,67,NA,47,71.383,42.814
"K",99.296,38,72.482,65.517,"Class4",34.335,35,"I",82,40.193,84.276
"M",67.426,42,66.459,59.986,"Class4",16.633,28,"W",88,41.779,69.976
"Q",29.41,59,48.425,35.913,"Class3",43.815,75,"W",47,61.303,43.919
"R",56.621,58,21.09,68.694,"Class2",35.13,39,"A",69,49.555,48.127
"S",55.232,42,72.229,68.403,"Class4",32.976,37,"S",81,36.568,63.596
"X",76.042,39,64.082,60.648,"Class4",45.455,36,"W",84,43.861,100.029
"X",82.191,48,76.83,58.262,"Class4",16.295,36,"I",90,37.761,82.347
"Q",44.583,55,39.735,33.176,"Class3",35.41,64,"Z",47,62.201,42.847
"J",82.084,27,30.909,51.326,"Class1",72.305,57,"G",37,41.193,70.325
"Z",NA,95,38.725,10.724,"Class5",70.319,56,"N",52,73.341,72.957
"K",59.798,23,75.638,68.506,"Class4",29.772,26,"W",89,43.636,72.729
"X",5.65,94,27.573,15.484,"Class5",29.699,62,"A",45,60.111,71.406
"C",46.644,21,33.586,62.147,"Class2",38.61,36,"A",64,37.616,39.289
"S",68.594,25,70.58,59.921,"Class4",9.427,35,"O",68,41.951,86.325
"G",91.647,29,27.398,56.913,"Class1",89.675,32,"C",37,38.9,75.847
"J",75.073,39,42.673,56.794,"Class1",72.417,48,"S",39,29.12,86.193
"R",61.464,48,32.453,73.271,"Class2",17.929,38,NA,55,39.126,2.253
"Z",64.961,95,27.302,17.133,"Class5",69.683,25,"N",23,52.288,60.55
"M",40.79,88,42.674,15.596,"Class5",32.604,39,"H",58,57.429,61.369
"I",68.061,95,30.836,14.637,"Class5",38.51,31,"L",21,35.743,53.393
"X",52.649,60,63.712,65.65,"Class4",8.72,37,"V",89,42.593,78.014
"R",51.53,53,27.727,80.601,"Class2",33.41,39,"A",69,41.546,29.419
"B",30.174,49,44.791,41.08,"Class3",39.616,65,"Z",45,64.819,42.534
"X",56.191,56,27.528,71.522,"Class2",6.183,39,"Q",56,37.107,15.268
"D",58.335,34,22.924,64.599,"Class2",39.908,36,"F",49,43.385,55.076
"J",84.761,25,62.713,54.776,"Class4",12.706,18,"O",74,43.002,67.792
"X",57.035,37,24.949,80.215,"Class2",5.242,36,"A",60,35.895,39.86
"B",29.423,60,41.861,37.799,"Class3",61.247,68,NA,45,66.287,45.944
"M",95.642,32,35.593,57.946,"Class1",83.342,61,"C",35,44.266,82.799
"C",51.026,32,25.884,79.558,"Class2",41.884,36,"Q",57,52.023,41.572
"J",95.526,8,29.539,53.479,"Class1",66.177,32,"C",40,31.278,78.341
"M",80.957,67,63.087,55.002,"Class4",14.492,26,"V",79,34.311,95.806
"Z",36.097,95,44.007,12.137,"Class5",68.068,71,"A",30,62.453,69.282
"X",60.133,32,28.363,61.695,"Class2",2.314,39,"Q",56,38.652,82.418
"R",62.516,61,20.475,56.452,"Class2",29.67,37,"F",72,45.046,85.311
"B",32.912,51,43.847,36.023,"Class3",28.778,61,"A",46,71.28,43.392
"R",68.82,22,32.49,87.465,"Class2",11.405,40,"A",69,51.683,47.759
"X",66.105,59,74.544,65.705,"Class4",39.381,28,"W",86,36.65,74.067
"I",36.741,89,45.11,13.589,"Class5",24.498,33,"H",19,30.514,68.398
"B",37.648,61,38.652,37.574,"Class3",54.343,72,"Q",45,66.713,47.642
"D",43.188,31,20.838,90.579,"Class2",2.372,40,"O",57,36.568,59.586
"B",45.305,59,47.671,46.597,"Class3",42.513,73,"O",47,72.504,42.079
"C",68.922,35,28.749,80.646,"Class2",33.645,39,"F",61,52.483,26.591
"S",77.794,37,64.899,63.222,"Class4",37.56,20,"W",78,42.738,96.454
"Z",NA,83,30.016,14.174,"Class5",38.774,53,"N",37,42.041,65.887
"X",39.336,60,63.77,58.984,"Class4",24.787,32,"S",66,35.013,75.607
"M",62.363,90,35.31,19.596,"Class5",66.977,24,"N",47,19.339,71.518
"I",39.766,95,30.769,18.357,"Class5",73.824,30,"N",62,20.55,55.787
"K",55.56,62,64.302,70.311,"Class4",39.766,28,"I",79,42.133,84.628
"Z",51.542,62,33.559,80.801,"Class2",37.5,36,"O",66,35.937,65.755
"K",53.128,70,61.222,63.448,"Class4",25.737,22,"O",79,36.147,76.387
"C",58.912,27,20.087,70.344,"Class2",41.29,36,NA,48,34.072,55.693
"R",61.263,62,30.113,87.006,"Class2",21.393,37,"A",53,40.791,89.474
"M",86.388,31,42.64,56.787,"Class1",84.823,48,"C",36,37.237,76.961
"Q",86.343,25,43.076,46.234,"Class1",83.601,56,"C",32,29.9,71.472
"C",29.06,50,48.474,26.113,"Class3",49.403,76,"Z",47,63.058,40.597
"Y",40.109,93,25.401,18.845,"Class5",45.178,66,"H",74,75.012,62.879
"R",53.534,37,30.324,65.361,"Class2",2.764,37,"Q",55,35.192,16.322
"N",24.833,52,45.177,29.608,"Class3",36.702,70,"A",45,71.109,46.853
"Q",41.617,43,41.634,33.221,"Class3",59.57,69,"O",45,68.255,40.712
"N",42.904,63,47.664,41.566,"Class3",38.149,61,"Z",45,59.74,41.817
"Z",65.571,27,20.862,75.673,"Class2",23.573,36,"O",64,45.464,27.406
"X",62.592,20,29.927,79.996,"Class2",13.711,36,"F",69,50.666,53.113
"M",18.498,93,28.188,20.196,"Class5",34.417,39,"N",23,42.281,70.916
"I",67.699,83,44.534,16.338,"Class5",69.767,20,"A",46,13.514,62.671
"K",51.721,27,75.158,71.763,"Class4",22.889,37,"V",77,42.684,66.57
"Y",NA,92,45.821,15.293,"Class5",57.709,32,"B",15,36.443,57.665
"M",60.109,65,64.47,63.708,"Class4",13.79,22,"I",81,38.74,79.753
"X",50.602,51,22.2,96.063,"Class2",16.121,39,"Q",60,44.184,79.348
"M",87.78,2,32.659,55.484,"Class1",89.272,54,NA,31,38.625,82.956
"I",87.463,93,35.49,28.545,"Class5",25.684,53,"H",56,62.401,61.058
"J",52.964,65,61.922,65.608,"Class4",31.728,26,"V",68,41.637,93.91
"X",47.604,61,17.498,89.57,"Class2",17.615,38,"A",48,35.551,58.076
"M",85.584,41,43.353,48.083,"Class1",90.078,35,"C",36,46.893,63.977
"Z",26.943,91,44.79,16.696,"Class5",33.795,42,"B",62,29.949,67.995
"C",54.393,24,20.488,76.336,"Class2",31.146,37,"Q",57,42.974,-23.048
"X",13.533,86,39.693,21.237,"Class5",42.617,21,"L",59,29.858,57.164
"X",55.022,84,74.623,71.912,"Class4",20.104,39,"V",73,40.648,84.168
"D",21.196,46,43.855,30.903,"Class3",49.813,66,"A",47,61.328,39.183
"C",29.989,61,43.109,30.765,"Class3",61.014,75,"Q",46,71.02,39.262
"B",18.726,58,37.268,26.989,"Class3",63.509,67,"O",47,66.071,41.858
"C",35.925,59,43.109,39.746,"Class3",37.913,70,"Q",45,68.931,44.129
"Y",29.957,95,41.956,15.377,"Class5",64.122,80,"A",28,22.02,54.275
"M",78.541,19,31.461,50.449,"Class1",86.145,45,"S",33,37.547,73.484
"M",80.458,33,41.844,54.846,"Class1",80.742,37,NA,30,47.714,71.225
"J",66.123,45,76.671,66.846,"Class4",41.232,20,"O",70,41.156,78.619
"Q",80.438,36,39.95,56.491,"Class1",68.32,40,"C",35,48.011,75.176
"Y",51.686,84,41.199,23.042,"Class5",35.057,75,"H",23,41.016,61.056
"Q",76.624,3,34.874,56.06,"Class1",71.566,49,"S",39,36.311,69.187
"S",77.799,50,63.749,74.375,"Class4",5.204,26,"S",84,42.614,69.823
"Z",54.774,26,22.565,79.719,"Class2",19.935,36,"A",63,34.061,68.126
"H",87.48,7,36.582,50.021,"Class1",93.01,52,"C",32,39.334,80.078
"C",31.683,63,38.184,39.926,"Class3",47.285,61,"O",47,59.081,44.956
"X",39.237,91,27.073,10.229,"Class5",56.58,55,"H",59,22.406,65.98
"Z",67.792,43,25.48,64.462,"Class2",23.826,37,"F",65,42.5,63.929
"J",94.182,49,39.467,52.805,"Class1",93.237,60,"E",37,41.576,83.54
"K",56.147,71,64.93,74.739,"Class4",40.41,24,"S",77,42.368,59.788
"J",88.141,52,38.935,46.928,"Class1",91.209,39,"C",30,33.169,81.721
"Y",57.914,88,45.588,15.55,"Class5",26.284,77,"L",63,74.2,70.709
"Q",27.065,57,37.114,27.622,"Class3",57.59,68,"A",47,65.047,43.122
"Z",23.024,87,38.173,17.628,"Class5",78.918,34,"A",64,33.531,67.924
"Q",83.583,16,35.564,59.501,"Class1",84.834,60,"I",40,45.95,75.196
"I",47.026,88,42.56,20.134,"Class5",56.32,24,"A",48,32.935,63.748
"D",17.371,60,43.741,39.589,"Class3",33.094,73,"W",46,61.679,39.54
"Y",53.053,89,46.604,12.937,"Class5",62.685,34,"A",63,73.797,66.87
"K",37.131,58,75.983,70.137,"Class4",42.998,21,"O",81,39.701,91.631
"G",79.82,49,41.415,59.033,"Class1",81.099,36,"E",36,39.208,75.929
"D",41.811,57,37.234,35.679,"Class3",28.828,69,"A",47,62.913,46.784
"D",57.782,34,20.234,65.88,"Class2",34.351,40,"C",71,47.416,10.056
"M",62.067,73,73.385,73.866,"Class4",18.547,27,"S",90,38.97,77.714
"C",38.308,59,46.782,36.338,"Class3",64.102,66,"Q",47,65.324,41.792
"B",28.247,42,45.463,38.463,"Class3",43.109,62,"W",47,70.59,45.024
"M",93.633,16,29.994,54.427,"Class1",88.226,57,"S",37,44.882,79.445
"G",98.671,47,32.815,50.351,"Class1",79.863,31,"G",31,47.334,75.831
"D",NA,61,27.357,67.662,"Class2",8.761,38,"F",69,42.575,58.049
