"B1","B2","B3","B4","B5","B6","B7","B8","Output1","B9","B10","B11"
"U","L",12.81,13,54.484,48.744,21.426,64,"Class2",87.877,39,49.473
"J","Z",12.943,76,56.494,82.943,24.552,92,"Class1",20.146,39,54.156
"C","P",6.929,13,71.048,43.315,26.914,70,"Class2",58.867,41,47.05
"V","Q",16.444,12,42.127,45.426,28.836,53,"Class2",80.157,32,48.233
"V","W",15,12,36.347,57.136,29.591,63,"Class2",69.562,35,48.165
"W","D",29.616,66,56.988,78.541,42.926,48,"Class1",24.036,36,33.772
"T","H",18.347,68,56.685,78.401,42.284,71,"Class1",28.161,43,57.063
"T","H",31.467,80,56.484,82.112,40.93,93,"Class1",28.368,71,42.081
"J","H",14.617,78,NA,80.488,17.388,42,"Class1",25.109,11,63.519
"C","Q",6.61,13,53.451,99.187,28.59,51,"Class2",74.409,39,49.612
"R","G",35.85,62,56.444,79.661,18.813,63,"Class1",23.9,45,53.306
"R","A",22.078,63,56.773,81.948,33.998,93,"Class1",38.724,63,76.92
"P","W",17.39,13,39.216,75.197,42.739,47,"Class2",50.472,37,47.632
"J","G",11.984,74,56.365,72.629,40.449,92,"Class1",22.098,73,32.194
"R","Z",30.696,67,56.503,74.302,42.464,51,"Class1",28.427,76,51.9
"W","H",22.732,79,56.378,93.132,33.491,81,"Class1",26.883,45,61.768
"P","Z",20.378,68,56.811,76.915,19.423,80,"Class1",29.719,30,62.356
"T","H",19.825,61,56.628,78.965,22.202,81,"Class1",31.866,31,80.918
"T","G",14.307,13,36.649,60.54,26.371,68,"Class2",95.693,35,49.06
"P","H",24.64,63,56.868,79.44,36.528,77,"Class1",32.285,12,41.972
"P","W",14.888,12,82.3,48.434,25.954,51,"Class2",84.074,45,47.891
"J","A",27.553,77,56.191,73.475,20.165,78,"Class1",33.51,59,46.463
"J","H",18.996,75,56.921,74.131,27.875,60,"Class1",28.692,20,66.074
"P","D",18.225,84,56.283,77.368,38.636,93,"Class1",35.503,14,50.971
"C",NA,15.419,13,26.876,77.684,40.691,65,"Class2",89.244,42,48.746
"R","A",11.38,66,56.752,75.575,20.517,91,"Class1",31,53,43.854
"J","A",14.567,85,56.317,83.767,27.559,48,"Class1",30.676,37,30.102
"W","D",18.26,64,56.713,77.309,37.465,78,"Class1",21.89,69,55.556
"V","W",16.808,12,43.915,87.989,35.323,46,"Class2",81.766,33,47.4
"J","H",21.952,68,56.866,73.663,16.946,89,"Class1",20.881,86,55.707
"C","W",14.546,12,85.086,58.065,27.346,65,"Class2",80.912,38,49.706
"R","H",17.336,69,56.377,81.503,15.567,66,"Class1",26.85,62,75.57
"U","P",16.469,12,28.293,50.957,29.527,67,"Class2",73.955,33,50.448
"R","Z",15.987,63,56.975,82.416,17.928,63,"Class1",21.031,82,31.478
"P","P",16.273,12,31.325,73.704,28.29,77,"Class2",88.115,40,48.496
"C","P",16.983,13,62.401,53.827,28.815,56,"Class2",89.597,44,48.005
"P","L",14.051,13,NA,88.072,36.581,55,"Class2",90.692,39,47.943
"J","G",23.945,77,56.99,81.47,29.671,96,"Class1",35.339,68,81.785
"P","A",30.678,65,56.463,83.883,30.389,49,"Class1",28.492,31,50.633
"W","G",12.315,73,56.347,72.903,33.55,63,"Class1",24.364,16,34.76
"P","G",19.146,85,56.876,81.99,25.594,96,"Class1",33.02,82,56.837
"P","Z",12.372,72,56.885,82.692,17.372,71,"Class1",31.764,16,77.507
"R","A",14.802,63,56.701,82.22,25.269,92,"Class1",23.851,76,42.551
"R","Z",13.056,83,56.334,85.713,41.404,85,"Class1",18.951,6,48.348
"P","W",15.394,12,62.984,78.865,21.116,46,"Class2",108.091,50,48.275
"T","W",5.689,12,42.782,45.428,39.504,72,"Class2",65.424,49,48.089
"W","D",29.254,69,56.659,84.412,41.2,87,"Class1",24.385,68,52.322
"T","Q",15.137,12,30.713,99.242,37.053,72,"Class2",74.12,29,47.45
"V","G",7.519,13,35.645,39.763,32.694,67,"Class2",59.368,35,48.144
"T","Q",6.686,12,85.497,83.495,27.018,63,"Class2",62.466,42,50.674
"T","G",17.207,63,56.66,83.109,38.502,71,"Class1",22.243,64,48.965
"T","L",11.034,12,83.392,62.913,26.896,59,"Class2",66.439,42,47.953
"C","Q",4.052,13,67.662,62.439,37.059,68,"Class2",68.304,49,47.118
"P","P",13.548,12,88.9,70.203,25.994,74,"Class2",87.358,45,47.984
"T","A",31.675,59,56.861,82.127,40.607,54,"Class1",22.824,12,52.737
"J","D",27.745,60,56.869,71.972,39.419,46,"Class1",24.957,48,38.756
"P","Q",11.695,13,81.641,93.67,29.016,46,"Class2",57.966,47,47.703
"T","L",6.526,12,43.73,70.622,36.838,49,"Class2",62.798,47,48.335
"R","H",13.257,84,56.148,79.681,33.513,58,"Class1",21.494,67,63.088
"C","P",9.191,13,70.401,88.806,30.334,50,"Class2",58.562,39,48.302
"V","G",11.286,13,38.1,40.63,22.38,44,"Class2",67.242,46,50.957
"C","W",14.237,12,64.141,58.545,34.385,56,"Class2",73.443,41,48.975
"T","Z",23.712,77,56.002,79.567,35.651,51,"Class1",35.423,57,75.079
"T",NA,10.595,61,56.549,79.985,23.869,77,"Class1",23.971,32,54.49
"T","P",8.666,13,75.122,99.147,32.197,66,"Class2",64.593,46,48.77
"W","D",19.569,66,56.945,83.042,15.81,75,"Class1",31.526,70,51.498
"T","Z",14.175,69,56.401,81.071,17.424,83,"Class1",25.606,18,51.565
"U","W",12.843,13,78.352,48.399,42.647,50,"Class2",97.615,32,48.226
"U","P",15.291,13,34.534,60.973,37.672,64,"Class2",80.283,48,48.168
"P","D",34.01,82,56.578,79.615,26.476,86,"Class1",23.94,87,57.752
"T","G",29.893,78,56.858,84.89,16.101,70,"Class1",34.591,77,71.961
"T","G",20.449,80,56.534,76.923,32.971,98,"Class1",30.815,27,71.795
"V","L",11.512,13,32.47,56.393,33.026,75,"Class2",64.409,41,47.311
"T","P",10.218,13,80.108,77.447,30.888,62,"Class2",91.761,46,48.771
"W","Z",18.88,77,56.898,79.856,31.248,45,"Class1",31.489,44,56.253
"P","Z",10.886,77,56.584,69.961,28.74,70,"Class1",34.038,4,43.048
"P","Q",8.851,12,33.717,73.922,43.068,58,"Class2",81.908,43,49.952
"R","A",14.93,82,NA,82.379,24.422,58,"Class1",30.876,3,30.365
"T","Q",10.962,13,87.704,77.322,31.79,72,"Class2",77.064,48,48.547
"T","Q",7.921,13,71.61,69.045,44.7,45,"Class2",80.455,29,49.289
"P","Z",35.727,70,56.42,89.156,23.061,93,"Class1",37.087,22,42.677
"T","D",20.291,69,56.311,74.224,32.606,64,"Class1",36.696,19,52.058
"R","H",19.648,78,56.244,95.578,33.48,42,"Class1",33.056,78,75.002
"J","A",23.516,70,NA,75.71,36.94,88,"Class1",27.212,66,51.615
"J","D",32.618,79,56.437,85.673,27.434,95,"Class1",34.95,34,25.623
"V","L",5.112,12,72.642,57.622,42.52,63,"Class2",81.701,46,47.06
"P",NA,14.28,61,56.169,79.493,42.844,59,"Class1",26.205,29,78.983
"W","H",33.259,62,56.258,76.213,28.745,95,"Class1",26.561,75,36.81
"T","P",7.365,13,76.851,52.656,41.205,44,"Class2",62.344,50,47.975
"T","H",21.232,75,56.519,85.219,31.044,84,"Class1",25.222,33,29.579
"J","D",21.693,81,56.231,77.677,28.127,90,"Class1",37.698,47,44.436
"T","A",19.714,82,56.897,83.031,39.545,98,"Class1",29.485,52,44.765
"C","W",9.088,12,74.761,47.072,31.652,76,"Class2",86.932,31,46.786
"T","Z",13.588,82,56.62,80.436,39.868,90,"Class1",41.374,27,68.059
"R","D",24.219,69,56.748,79.644,22.734,50,"Class1",28.86,19,51.657
"V","L",13.851,12,83.982,67.529,21.715,60,"Class2",71.284,39,48.37
"T","L",13.871,12,75.761,56.957,33.408,57,"Class2",62.159,30,47.398
"C","Q",4.375,13,26.029,65.965,41.457,57,"Class2",82.508,38,47.433
"T","A",31.031,79,NA,80.073,15.879,59,"Class1",38.562,33,32.322
"C","G",15.007,12,54.004,62.811,28.461,71,"Class2",86.709,37,48.225
"U","G",10.969,12,26.138,88.048,35.127,69,"Class2",96.531,33,47.415
"J","A",12.122,74,56.026,83.941,17.358,87,"Class1",32.362,13,70.129
"P","Q",4.08,12,70.122,66.632,37.343,68,"Class2",78.608,39,48.943
"V","P",10.634,13,61.418,107.306,37.706,55,"Class2",87.1,44,47.323
"R","G",34.994,81,56.308,81.059,42.858,82,"Class1",35.434,57,39.895
"T","Q",4.778,13,75.346,68.255,35.543,61,"Class2",71.015,35,48.463
"W","G",18.449,70,56.278,75.643,36.49,77,"Class1",31.795,23,66.524
"C","G",14.402,13,65.151,75.682,35.532,55,"Class2",95.229,37,48.406
"P","P",5.365,12,69.08,73.886,31.97,50,"Class2",62.091,46,48.474
"V","W",13.244,12,77.122,51.186,24.153,59,"Class2",70.216,40,48.178
"P","W",7.608,13,NA,55.246,24.238,63,"Class2",66.197,36,48.81
"U","L",13.838,13,NA,78.247,42.113,69,"Class2",85.824,43,48.594
"R","H",21.077,60,56.347,76.211,38.874,82,"Class1",34.063,71,57.702
"C","G",7.743,13,64.277,84.604,37.508,64,"Class2",63.132,36,49.869
"P","Q",15.317,13,73.003,58.879,32.647,77,"Class2",87.782,47,48.143
"U","G",16.1,13,53.432,82.461,29.165,49,"Class2",85.893,51,48.954
"R","A",23.209,62,56.518,87.737,38.51,77,"Class1",37.609,59,82.006
"W","G",30.917,79,56.7,84.952,33.406,79,"Class1",18.396,20,44.94
"T","G",6.698,13,31.972,68.892,40.131,74,"Class2",84.589,45,48.759
"U","Q",8.163,13,68.49,80.382,35.126,58,"Class2",73.952,45,48.591
"U","W",5.908,13,33.57,61.123,43.603,45,"Class2",77.45,40,49.941
"R","G",29.584,72,56.713,71.279,36.102,91,"Class1",17.885,30,28.287
"V","L",8.183,12,42.021,81.223,32.741,70,"Class2",101.575,30,48.342
"J","G",10.731,72,56.055,77.308,42.415,73,"Class1",36.164,71,72.222
"V","Q",6.413,12,31.778,73.144,23.9,57,"Class2",58.38,43,49.688
"U","P",13.363,12,58.424,73.356,39.102,76,"Class2",54.001,46,46.604
"P",NA,16.726,13,42.581,61.75,33.755,53,"Class2",82.511,43,49.132
"R","A",19.769,81,56.201,83.311,32.553,92,"Class1",26.38,23,76.03
"C","Q",14.09,13,88.392,63.818,28.573,69,"Class2",78.059,29,48.848
"P","W",4.537,13,47.099,78.009,25.293,68,"Class2",92.942,39,48.238
"V","Q",16.309,13,86.068,70.071,29.13,56,"Class2",104.865,36,48.882
"R","G",22.622,60,NA,85.236,31.244,88,"Class1",24.577,52,54.758
"R","H",13.135,63,56.349,77.349,26.482,88,"Class1",24.309,19,71.795
"V","W",11.169,13,77.073,76.593,28.103,68,"Class2",63.546,50,49.541
"P","D",27.82,82,56.694,76.217,25.404,79,"Class1",27.992,36,58.354
"T","H",30.105,65,56.656,80.033,15.616,94,"Class1",25.159,20,47.021
"R","D",24.063,62,56.936,77.531,23.497,46,"Class1",20.203,34,69.449
"P","H",15.523,68,56.846,77.005,20.667,96,"Class1",30.809,35,-4.253
"P","H",31.075,59,56.863,75.787,34.311,61,"Class1",28.691,80,64.438
"P","L",15.506,13,51.43,84.685,25.282,72,"Class2",85.89,30,49.683
"P","Q",15.009,12,35.631,71.476,27.695,65,"Class2",81.789,51,48.69
"C","Q",4.33,13,73.59,91.561,35.208,53,"Class2",50.692,35,49.326
"C","W",15.915,13,45.485,83.416,40.521,44,"Class2",76.507,45,47.198
"P","D",20.402,72,56.656,81.736,39.939,74,"Class1",35.315,19,87.585
"R","H",13.357,62,56.678,92.919,23.847,61,"Class1",20.743,18,35.237
"R","D",22.658,78,56.716,81.158,16.622,52,"Class1",21.615,33,72.034
"P","W",5.794,13,76.514,83.724,42.969,53,"Class2",80.896,38,46.973
"T","Z",33.994,74,56.051,87.655,24.336,59,"Class1",36.621,81,59.633
"T","D",31.298,64,56.77,82.512,24.948,61,"Class1",27.663,11,62.889
"T","Z",26.809,84,56.432,76.789,19.636,78,"Class1",36.189,7,76.888
"T","P",7.002,12,31.065,54.305,22.484,56,"Class2",78.679,34,48.933
"J","A",19.588,73,56.896,80.754,31.237,89,"Class1",33.957,31,66.12
"V",NA,5.306,13,64.594,60.56,37.353,58,"Class2",83.868,49,47.239
"R","Z",33.516,84,56.52,85.603,20.932,78,"Class1",37.737,45,42.178
"C","Q",10.056,12,73.2,75.725,44.949,60,"Class2",59.459,32,48.887
"C","G",8.867,13,37.916,41.962,28.588,75,"Class2",99.097,35,47.853
"V","Q",4.221,12,33.456,65.746,22.426,62,"Class2",70.277,32,47.944
"J","D",12.957,83,56.559,79.647,28.805,84,"Class1",30.802,24,40.569
"T","P",14.315,13,74.529,80.128,36.042,59,"Class2",93.065,39,49.562
"J",NA,19.86,73,56.345,69.453,28.918,76,"Class1",28.514,68,58.325
"T","W",15.793,12,26.245,54.71,36.205,56,"Class2",83.843,44,47.992
"T","A",18.64,77,56.712,73.056,27.806,47,"Class1",29.435,18,62.331
"V",NA,5.849,13,35.036,110.672,40.48,57,"Class2",80.032,38,50.402
"J","G",15.45,64,56.139,81.879,41.903,62,"Class1",21.852,84,59.344
"R","A",33.294,68,56.291,79.443,15.354,72,"Class1",21.987,44,56.848
"R","A",25.541,62,56.374,75.594,20.855,71,"Class1",32.02,11,55.967
"U","G",10.583,12,51.809,75.784,42.904,60,"Class2",63.1,30,49.388
"P","D",18.017,69,56.373,81.375,18.384,63,"Class1",34.349,23,51.464
"J",NA,21.743,71,56.722,76.297,39.824,96,"Class1",28.139,13,54.339
"W","A",13.451,82,56.529,68.206,17.727,56,"Class1",23.1,53,65.731
"V","L",13.203,12,35.763,69.88,38.25,60,"Class2",89.357,45,48.656
"P","D",22.31,65,56.308,84.159,21.964,73,"Class1",27.74,40,63.394
"T","P",17.802,13,34.078,117.751,34.61,72,"Class2",83.706,41,48.635
"P","Q",10.746,13,73.856,63.515,37.776,56,"Class2",80.159,40,47.455
"C","P",17.753,13,NA,68.874,41.075,68,"Class2",70.435,49,50.158
"P","W",12.198,12,87.494,71.63,24.55,69,"Class2",86.838,48,50.343
"P","Q",8.139,13,58.574,77.253,26.117,71,"Class2",48.938,40,48.952
"W","H",18.491,78,56.749,77.755,27.379,54,"Class1",29.884,40,83.409
"P","G",12.84,12,45.165,81.871,43.631,73,"Class2",73.874,38,50.818
"U","P",8.121,12,63.722,36.716,37.13,60,"Class2",45.638,48,50.106
"U","Q",8.422,13,39.973,60.349,42.601,59,"Class2",80.083,48,48.517
"V","W",4.875,13,76.96,77.586,34.87,62,"Class2",59.031,30,49.28
"V","G",6.175,13,65.536,100.903,41.439,71,"Class2",66.555,38,48.132
"R","A",33.273,59,56.095,78.802,31.083,57,"Class1",24.401,7,20.77
"T","P",17.831,12,43.179,93.792,43.731,66,"Class2",70.507,47,47.251
"V","L",6.905,12,50.706,70.104,31.007,52,"Class2",68.348,46,46.544
"P","G",7.667,13,39.909,108.904,36.339,57,"Class2",87.65,42,48.007
"P","A",30.236,68,56.706,80.622,41.207,87,"Class1",25.493,30,59.357
"R","A",32.925,67,56.406,76.918,24.777,92,"Class1",20.616,16,27.596
"C","G",9.182,12,64.206,87.662,38.665,74,"Class2",78.06,42,49.037
"J","Z",34.823,77,56.136,84.1,35.136,82,"Class1",38.115,48,50.411
"P","A",12.175,68,56.974,86.388,40.318,91,"Class1",25.672,29,57.271
"T","Z",25.17,84,56.647,76.226,31.002,85,"Class1",27.715,37,72.51
"P","W",5.123,13,87.94,42.144,29.027,74,"Class2",58.415,46,49.228
"T","Z",13.483,81,56.979,81.533,32.491,48,"Class1",21.031,27,35.588
"V","W",11.194,12,46.428,54.125,32.002,49,"Class2",57.978,30,47.011
"U","G",13.058,13,70.989,91.936,44.929,45,"Class2",60.647,36,48.424
"P","G",28.028,80,56.575,81.625,20.017,48,"Class1",23.666,39,47.412
"P","A",29.521,70,56.244,80.785,40.1,74,"Class1",29.689,9,69.293
"V","L",7.835,13,68.04,71.563,24.922,63,"Class2",94.693,45,48.951
"P","G",11.951,60,56.903,87.315,29.287,95,"Class1",38.909,15,63.594
"R","A",14.421,66,56.278,90.432,33.121,52,"Class1",28.1,40,63.541
"P","G",11.531,84,56.304,82.385,35.313,51,"Class1",33.444,56,26.197
"T","G",23.186,59,56.383,74.8,38.002,58,"Class1",25.648,26,44.233
"V","G",4.145,12,54.235,55.91,26.052,71,"Class2",71.4,43,47.465
"T","L",4.44,12,47.536,99.495,38.507,73,"Class2",73.066,33,47.566
"W","H",33.824,66,56.322,81.799,29.975,50,"Class1",37.859,35,65.674
"T","Q",7.042,13,NA,84.69,38.884,77,"Class2",88.695,32,48.869
"W","A",33.342,63,56.406,79.144,29.553,49,"Class1",29.924,45,43.536
"U","Q",9.541,12,49.503,96.193,27.086,74,"Class2",83.467,29,46.781
"T","G",16.436,13,57.867,98.779,35.22,74,"Class2",78.293,29,48.862
"T",NA,34.228,59,56.515,77.37,30.605,88,"Class1",28.675,16,54.494
"V","Q",13.435,13,40.356,35.322,25.006,65,"Class2",80.144,39,47.806
"V","G",6.595,13,44.752,118.005,28.207,76,"Class2",75.159,44,47.496
"V","L",4.299,13,66.405,85.325,45.583,69,"Class2",82.958,41,47.468
"V","L",8.118,12,83.144,62.478,28.67,59,"Class2",78.338,33,49.028
"U","P",8.045,13,69.297,91.667,41.223,51,"Class2",88.162,42,48.416
"P",NA,7.62,12,81.978,79.919,39.278,49,"Class2",93.362,46,47.712
"R",NA,17.892,77,56.759,72.461,26.731,44,"Class1",22.426,41,49.136
"C",NA,9.627,12,36.376,49.857,21.035,64,"Class2",75.69,37,48.607
"T","L",15.882,12,81.312,66.986,36.049,54,"Class2",76.072,37,48.363
"T","A",34.815,65,56.099,87.586,18.616,81,"Class1",23.109,43,70.561
"U","P",14.682,12,74.625,83.259,36.795,77,"Class2",59.33,32,47.563
"W","Z",15.991,85,56.377,78.367,25.141,87,"Class1",27.528,17,64.958
"R","G",12.865,67,56.058,83.156,37.22,50,"Class1",21.55,68,49.622
"W","H",24.668,70,56.829,82.509,38.981,77,"Class1",9.085,23,56.213
"V","L",6.231,12,NA,64.617,23.463,66,"Class2",81.936,43,46.95
"U","W",7.252,12,65.78,85.171,28.792,48,"Class2",73.47,45,48.06
"U","G",10.415,13,83.138,65.308,36.066,47,"Class2",55.127,29,48.658
"V","W",4.969,13,NA,95.132,44.455,49,"Class2",73.305,37,48.113
"T","D",30.244,81,56.605,77.723,34.575,51,"Class1",28.185,83,44.397
"C","Q",15.091,12,35.244,58.406,22.288,57,"Class2",32.97,32,50.154
"C","G",11.841,12,69.622,72.401,41.115,61,"Class2",68.181,46,47.119
"W","A",10.114,64,56.712,77.374,30.602,81,"Class1",27.317,88,46.506
"P","W",4.607,12,78.917,59.725,39.594,66,"Class2",79.965,47,48.188
"P","L",17.721,12,NA,56.867,32.49,55,"Class2",66.824,49,47.12
"V","L",16.649,12,71.638,63.417,24.779,54,"Class2",64.463,41,50.198
"P","P",4.3,13,68.747,87.807,21.173,51,"Class2",82.756,46,48.499
"P","A",12.53,69,56.662,80.878,32.727,70,"Class1",29.737,38,53.534
"C",NA,11.344,12,88.293,73.301,42.968,73,"Class2",49.923,30,48.335
"P","H",25.125,73,56.685,90.893,22.816,55,"Class1",24.979,31,53.617
"R","G",26.747,71,56.124,85.282,24.215,81,"Class1",22.134,19,42.62
"J","D",24.349,82,56.579,71.821,23.931,51,"Class1",30.007,16,40.966
"C","P",6.439,12,83.699,48.545,41.306,65,"Class2",68.224,36,48.376
"J","D",29.326,74,56.285,87.459,17.747,90,"Class1",26.07,22,52.534
"T","Z",32.077,69,56.53,84.141,23.762,51,"Class1",20.99,31,34.666
"V","G",6.508,12,71.354,64.139,35.462,54,"Class2",95.424,41,49.339
"T","A",10.004,70,56.801,77.918,41.105,68,"Class1",23.566,52,50.242
"W","G",15.968,76,56.704,78.856,24.309,53,"Class1",34.795,73,78.239
"C","G",12.67,13,60.804,60.447,37.202,44,"Class2",84.205,50,47.7
"V","Q",14.814,13,56.607,86.203,27.585,60,"Class2",49.668,38,49.51
"J","A",24.435,77,56.012,79.209,22.029,78,"Class1",23.302,62,68.022
"W","A",30.557,65,56.016,79.961,28.31,96,"Class1",27.078,7,54.692
"U","L",4.623,12,38.733,82.819,39.304,62,"Class2",60.789,40,48.334
"T","G",10.789,12,47.937,55.34,25.857,58,"Class2",73.994,47,50.502
"J","Z",20.983,63,56.569,83.703,20.649,98,"Class1",34.559,26,61.868
"P","D",21.486,62,56.954,75.097,27.941,59,"Class1",29.142,73,56.582
"W","A",19.755,63,56.715,74.575,41.552,69,"Class1",40.59,10,69.657
"V","Q",10.928,13,70.765,57.061,27.394,69,"Class2",64.205,41,48.79
"W","G",35.2,60,56.865,75.631,38.885,91,"Class1",34.129,44,48.353
"R","Z",29.235,70,56.581,81.027,26.355,57,"Class1",24.948,9,40.5
"P","P",4.1,12,67.876,65.861,43.28,52,"Class2",60.338,48,47.235
"R","H",13.312,63,56.866,74.537,32.369,76,"Class1",32.112,7,50.592
"V","Q",15.889,12,87.196,39.071,33.532,51,"Class2",88.88,42,47.555
"P","G",10.869,78,56.268,81.537,36.596,46,"Class1",35.768,68,69.076
"P","W",13.895,12,79.171,74.363,42.996,62,"Class2",71.091,51,49.314
"R","H",13.346,80,56.391,79.669,23.438,89,"Class1",18.952,71,48.731
"J","H",21.349,76,56.726,81.153,42.045,49,"Class1",22.969,51,51.484
"T","L",5.782,13,77.54,57.427,28.613,59,"Class2",78.659,36,47.559
