"Y1","Output24","Y2","Y3","Y4","Y5","Y6","Y7","Y8","Y9","Y10","Y11"
77.257,"Class1",26.715,"B","H",27,50.139,51.053,12,40.129,70,35.667
72.556,"Class1",27.936,"Q","Y",55,43.515,48.345,3,41.735,36,49.77
71.161,"Class1",50.267,"I","U",35,67.599,45.847,7,41.534,60,48.542
64.503,"Class1",-0.103,"B","Y",18,28.837,77.427,8,45.63,40,57.808
NA,"Class2",69.22,"V","Z",41,83.091,77.289,82,66.16,27,25.073
35.804,"Class2",68.862,"W","Z",34,90.015,61.161,80,79.924,44,31.727
48.731,"Class2",68.85,"W","O",43,80.33,63.273,70,67.667,43,39.904
79.774,"Class1",87.097,"B","H",37,-6.078,30.564,2,41.314,33,70.404
73.334,"Class1",6.399,"B","H",3,49.839,72.481,8,42.416,67,47.976
56.609,"Class2",71.612,"W","Y",30,91.156,74.935,75,72.687,43,52.24
72.046,"Class1",41.924,"Q","Y",26,20.76,70.062,5,41.914,60,34.648
33.46,"Class2",70.687,"V","H",33,79.332,79.359,84,59.145,41,44.722
79.658,"Class1",61.574,"I","U",42,46.704,70.701,4,44.411,70,45.855
74.664,"Class2",69.934,"L","H",37,71.557,66.908,82,55.319,39,41.559
40.023,"Class2",68.566,"L","J",33,87.329,55.241,82,78.098,28,40.645
73.343,"Class1",54.731,"Q",NA,56,83.071,20.638,2,42.865,56,51.195
62.917,"Class1",97.991,"B","Z",22,26.594,52.406,8,39.743,44,53.687
59.123,"Class1",54.588,"I","Z",41,87.193,41.004,9,42.318,53,57.733
56.459,"Class2",69.363,"V","Y",41,101.758,68.079,88,72.212,45,5.641
26.727,"Class2",68.849,"S","Z",42,87.473,77.713,82,82.006,47,51.031
NA,"Class2",67.007,"S","Z",34,72.985,81.869,70,53.445,32,34.563
59.115,"Class1",49.222,"C",NA,43,23.413,71.919,10,40.976,43,50.023
62.983,"Class1",31.131,"T","Z",28,57.979,28.819,12,38.401,69,59.367
69.93,"Class2",68.35,"L","O",39,78.093,62.182,75,70.419,41,24.63
NA,"Class1",26.313,"Q","Y",5,36.281,39.578,10,41.665,39,37.098
62.979,"Class1",7.527,"T","Z",4,47.177,62.751,5,44.53,55,65.736
69.315,"Class1",68.293,"C","Y",16,133.254,58.088,7,42.836,40,62.686
73.222,"Class2",66.911,"V","O",38,77.372,81.178,77,49.455,56,28.293
68.244,"Class1",22.602,"C","Z",4,62.305,64.649,18,39.186,32,46.822
41.394,"Class2",69.198,"S","O",40,84.769,59.132,78,82.149,29,39.01
70.765,"Class1",20.068,"Q","W",38,75.742,14.651,17,43.005,69,45.94
59.25,"Class1",42.663,"C","W",6,58.259,28.193,3,43.743,33,52.542
82.703,"Class1",56.427,"B","H",16,56.936,46.311,8,45.273,74,57.524
62.404,"Class1",78.615,"C","U",53,79.738,38.536,13,41.612,28,59.462
68.189,"Class1",36.672,"B","Y",21,-32.835,64.067,17,45.56,67,57.46
45.791,"Class2",68.881,"K","J",38,84.94,58.048,70,72.409,24,26.176
NA,"Class2",69.617,"K","Z",34,79.657,61.262,72,49.67,56,52.667
33.364,"Class2",67.682,"S","J",41,97.395,57.815,69,50.728,46,37.634
63.276,"Class1",54.24,"Q","Z",14,79.722,24.562,15,40.311,37,58.747
73.736,"Class2",69.541,"W","J",42,80.563,76.969,73,61.402,38,21.973
62.956,"Class1",47.245,"T","Y",25,53.683,22.807,9,44.425,67,46.673
26.196,"Class2",68.49,"K","Z",36,76.852,64.482,73,50.855,50,12.868
73.01,"Class1",13.367,"I","Z",56,-17.769,12.584,5,41.128,58,59.272
74.753,"Class1",45.231,"C","U",53,17.244,50.208,8,38.807,47,52.228
84.054,"Class1",52.925,"I","W",52,42.817,67.179,20,41.24,42,43.213
80.571,"Class2",69.237,"L","O",31,88.626,75.32,82,76.587,55,13.312
65.86,"Class1",66.272,"Q","H",42,20.404,29.539,15,39.306,46,46.048
23.563,"Class2",69.918,"V","H",33,75.411,79.954,83,77.088,23,2.108
77.163,"Class1",43.218,"C","Z",20,-0.256,41.677,7,41.486,31,53.713
84.43,"Class1",41.518,"Q","Z",36,92.355,68.942,14,42.852,58,49.807
NA,"Class1",54.378,"I","H",38,53.101,61.853,15,41.209,47,39.906
28.366,"Class2",68.719,"W",NA,35,80.564,57.44,86,74.677,32,29.776
66.109,"Class1",56.648,"I","U",38,92.94,61.468,3,40.314,72,47.041
22.472,"Class2",71.144,"S","J",41,97.514,56.388,85,79.969,29,88.874
67.09,"Class1",44.649,"Q","Z",17,80.253,41.698,11,38.724,37,47.228
65.098,"Class1",73.213,"T","Y",32,72.708,50.458,20,42.1,34,50.112
53.552,"Class2",69.373,"K","H",35,79.282,57.363,80,59.912,49,35.112
81.426,"Class1",55.676,"Q","W",36,71.617,65.432,4,44.497,52,48.965
84.408,"Class1",44.615,"Q","U",44,63.452,22.761,11,39.321,41,31.237
56.987,"Class2",66.46,"W","H",37,75.643,71.78,82,55.972,22,26.408
64.788,"Class1",15.746,"I","H",13,32.908,47.178,19,44.38,57,46.506
82.423,"Class1",51.357,"Q","Z",10,21.822,27.044,13,45.685,55,38.749
69.468,"Class1",31.419,"C","Y",37,57.311,24.671,20,41.399,61,48.587
80.167,"Class2",68.453,"W","Z",43,94.881,58.989,82,67.488,42,47.694
62.901,"Class1",29.51,"B","Z",30,65.606,13.29,2,44.452,60,48.671
61.988,"Class2",67.478,"S","H",32,72.196,74.104,85,61.127,24,55.835
82.569,"Class1",52.32,"I","H",16,32.106,16.041,14,41.119,72,49.803
65.743,"Class1",36.287,"B","U",39,16.334,30.899,5,41.901,28,36.734
71.306,"Class1",47.615,"B","H",44,51.34,67.279,8,42.186,28,60.841
45.812,"Class2",69.701,"K","Z",35,93.297,79.045,80,68.065,42,10.795
59.626,"Class1",84.962,"Q","W",53,27.367,26.005,8,38.791,59,64.024
70.401,"Class2",68.82,"L","H",38,82.785,65.221,76,61.678,46,35.872
78.353,"Class1",10.498,"B","Z",5,22.547,36.778,3,45.236,42,56
72.19,"Class1",66,"C","Z",39,45.707,24.521,15,44.356,43,47.329
81.819,"Class1",86.598,"B","Z",13,8.731,22.602,19,40.178,69,60.84
NA,"Class2",67.163,"V","Y",34,92.318,69.198,78,54.512,31,13.936
60.443,"Class1",32.516,"I","Z",41,59.806,35.926,20,44.518,35,40.723
31.732,"Class2",67.632,"L","Y",35,96.968,68.244,78,56.94,39,18.596
NA,"Class1",8.39,"I","H",20,37.233,58.967,17,43.987,35,57.736
60.936,"Class2",69.134,"L","O",36,87.136,76.009,75,71.537,44,46.565
67.574,"Class1",63.412,"B","U",36,-10.521,58.047,19,43.661,67,58.404
46.985,"Class2",70.167,"V","H",37,71.077,83.009,79,69.178,49,45.196
40.036,"Class2",68.741,"V","Y",42,86.724,80.447,84,74.003,44,20.469
72.289,"Class2",67.862,"W","Y",37,81.812,75.198,88,79.841,25,39.462
NA,"Class1",23.822,"C","W",17,89.172,52.733,13,41.958,29,66.401
68.473,"Class1",18.198,"B","Y",5,32.807,42.123,6,42.113,47,45.883
69.767,"Class1",64.846,"C","Z",32,41.144,58.029,12,40.006,65,42.55
75.734,"Class1",46.042,"C","H",13,59.421,42.976,15,38.902,39,36.816
32.455,"Class2",69.821,"V","J",30,84.888,61.838,81,50.521,32,25.383
54.371,"Class2",69.581,"K","H",43,75.985,75.116,70,72.203,47,42.546
80.663,"Class1",33.5,"C","U",45,58.17,22.076,12,38.697,59,41.493
20.287,"Class2",67.665,"S","Y",37,92.693,65.723,83,82.699,49,30.295
78.896,"Class1",24.752,"Q","H",18,38.519,69.542,17,38.166,51,38.336
41.234,"Class2",70.419,"S","O",40,77.71,55.484,81,81.321,33,21.631
58.833,"Class2",66.564,"K","Z",41,79.241,69.237,80,65.545,33,28.33
NA,"Class1",86.419,"Q","H",16,64.988,73.189,11,40.029,52,58.402
64.433,"Class1",66.333,"Q","U",29,37.275,41.4,11,40.391,45,52.84
42.883,"Class2",67.858,"S","H",41,86.144,82.885,87,60.108,31,43.112
50.521,"Class2",69.818,"S","O",40,86.416,66.979,81,79.883,32,9.801
45.748,"Class2",68.061,"W","O",32,82.161,69.825,82,65.955,43,28.088
76.011,"Class1",39.846,"Q","U",28,82.254,45.891,4,43.721,55,54.383
55.026,"Class2",70.07,"K","Z",31,103.359,69.704,87,76.179,54,37.601
79.212,"Class1",76.823,"I","H",56,37.075,22.195,18,40.742,70,57.576
67.214,"Class1",46.561,"C",NA,5,33.984,49.84,19,44.767,43,35.449
61.526,"Class1",34.26,"T",NA,35,26.634,67.859,17,40.335,74,48.756
NA,"Class1",72.802,"B",NA,49,32.549,39.89,8,44.994,43,50.088
67.557,"Class1",47.302,"T","Y",21,114.348,41.597,9,44.616,53,54.414
25.926,"Class2",68.627,"K","Z",42,87.352,84.221,70,77.436,55,59.642
45.611,"Class2",68.111,"L","H",32,76.701,65.48,86,51.314,23,3.769
79.285,"Class2",69.994,"W","O",40,78.931,67.629,83,60.395,37,9.269
28.396,"Class2",70.704,"W","J",30,88.486,80.057,86,58.625,53,24.777
67.24,"Class1",37.786,"T","W",29,5.852,28.308,12,43.581,46,37.177
67.83,"Class2",68.757,"W","O",42,69.327,66.029,80,51.159,53,-14.178
52.35,"Class2",70.674,"S","Y",32,75.747,57.215,74,82.206,55,-11.085
68.405,"Class1",30.364,"B","U",28,29.408,73.553,19,42.444,40,43.079
56.882,"Class2",68.463,"V","H",41,82.169,68.654,76,58.974,48,-2.386
76.354,"Class2",70.268,"V","J",40,90.38,71.435,79,62.738,40,9.195
NA,"Class2",67.803,"K","J",40,90.278,73.288,70,68.849,35,98.974
84.63,"Class1",-20.314,"Q",NA,18,3.123,32.456,20,43.849,47,34.913
64.944,"Class1",64.974,"Q","Y",9,12.067,47.445,17,43.026,46,49.796
71.788,"Class1",108.855,"B",NA,20,42.54,44.664,13,40.315,73,27.96
79.155,"Class2",67.507,"S","Z",31,72.831,57.475,76,70.961,40,-4.144
60.627,"Class2",68.681,"W","Y",38,71.242,83.988,81,75.825,43,23.895
76.249,"Class1",-7.493,"C","H",10,19.447,48.141,2,40.925,35,52.84
82.937,"Class1",6.891,"Q","W",9,58.662,68.739,17,41.502,67,43.212
62.345,"Class2",69.507,"W","Z",42,79.477,72.934,87,70.523,46,27.925
81.4,"Class1",47.242,"Q","H",34,49.314,68.032,5,43.44,43,50.546
61.086,"Class1",44.321,"Q","H",26,88.298,42.295,2,44.163,36,46.784
19.11,"Class2",68.469,"L","O",34,84.862,73.143,75,69.141,44,14.336
62.999,"Class1",29.942,"Q","Z",16,34.199,11.125,12,42.894,72,48.256
29.426,"Class2",67.917,"L","H",33,72.913,84.485,76,62.258,46,19.753
66.583,"Class1",25.644,"C","H",23,55.487,60.009,5,38.499,47,54.204
71.73,"Class2",69.607,"K","Y",35,82.213,71.928,82,65.72,31,23.272
83.917,"Class1",22.782,"C","H",35,81.654,44.67,20,38.246,52,47.782
77.189,"Class2",68.674,"W","H",42,90.362,58.659,77,67.815,36,32.911
43.372,"Class2",66.519,"S","H",30,85.233,73.28,84,77.017,56,5.993
62.564,"Class1",38.856,"B","H",25,61.497,67.952,13,38.134,53,57.524
78.242,"Class1",68.077,"I","W",13,16.248,16.711,11,43.103,39,38.833
42.519,"Class2",68.403,"S","Z",38,74.316,81.021,75,55.751,26,78.195
NA,"Class2",66.4,"S","O",38,83.727,82.099,76,56.943,25,18.784
85.581,"Class1",35.562,"B","U",3,38.108,62.449,17,44.696,46,59.54
64.765,"Class1",60.525,"B","W",46,11.144,74.49,9,39.642,36,19.285
31.702,"Class2",67.077,"V",NA,38,76.151,63.758,85,58.93,26,41.374
69.532,"Class1",19.624,"B","Z",48,95.511,41.893,20,43.461,58,48.749
60.691,"Class1",28.39,"C","H",38,-17.405,13.015,18,41.117,73,47.242
81.328,"Class1",8.099,"T","H",13,38.025,41.227,12,44.122,56,51.463
77.261,"Class1",-20.42,"I","U",5,19.903,49.741,7,44.156,51,54.091
61.389,"Class2",69.098,"K","Y",37,83.021,81.564,69,73.115,30,24.716
82.243,"Class1",51.884,"C","H",6,75.98,15.568,2,45.997,50,44.268
78.155,"Class1",59.828,"Q","Z",11,67.042,65.299,12,44.334,68,63.79
75.855,"Class1",49.875,"I","U",12,87.262,75.475,4,41.033,56,67.107
47.588,"Class2",67.5,"L","J",30,86.66,60.006,87,80.463,55,73.745
75.813,"Class1",-8.973,"I","Z",50,31.433,14.804,19,40.525,37,50.251
85.097,"Class1",-5.728,"B","U",43,86.348,60.551,16,41.774,61,46.746
80.357,"Class1",14.739,"Q","H",55,61.038,65.3,5,41.966,63,47.074
46.515,"Class2",68.422,"W","J",36,85.01,80.556,81,80.682,53,23.849
69.218,"Class1",29.969,"Q","Z",40,-1.676,72.863,19,40.082,64,70.231
25.628,"Class2",69.389,"S","Z",38,75.13,68.75,82,56.678,49,46.309
84.927,"Class1",-1.814,"C",NA,54,81.983,77.217,6,39.955,28,52.64
73.053,"Class2",67.877,"S","Z",34,85.147,66.779,73,53.505,27,12.208
47.838,"Class2",68.098,"L","J",41,81.372,62.086,80,62.153,54,55.777
64.057,"Class1",64.692,"I","Y",18,41.379,75.81,17,40.339,73,50.631
78.598,"Class1",42.863,"B","H",30,48.841,77.036,9,45.112,36,45.327
50.876,"Class2",69.041,"K","H",33,94.128,65.561,87,72.516,43,39.902
76.789,"Class1",47.185,"T","Z",34,51.381,49.113,8,45.533,32,48.529
78.047,"Class1",56.155,"Q","Y",46,23.86,52.509,16,45.731,36,46.479
63.532,"Class2",67.261,"W","O",31,80.042,77.86,88,52.782,40,-24.018
79.414,"Class2",68.303,"V","O",32,86.886,60.794,73,78.857,51,47.542
60.859,"Class2",69.802,"K","J",42,87.225,56.319,73,69.407,31,66.945
22.421,"Class2",67.927,"K","H",38,83.935,69.598,73,78.37,29,36.376
80.29,"Class2",67.409,"L","Z",42,86.751,83.915,87,69.765,50,9.738
39.777,"Class2",68.026,"W","J",35,73.309,80.575,75,49.862,32,63.045
75.901,"Class1",26.34,"C","Y",43,56.126,20.717,17,43.733,60,45.962
68.332,"Class2",67.715,"K","Z",35,74.811,65.183,75,58.204,53,9.952
73.315,"Class1",47.707,"T","Y",50,25.692,42.983,8,43.851,57,57.561
67.541,"Class2",68.029,"L",NA,34,92.552,62.186,82,64.528,28,64.747
NA,"Class1",20.531,"Q","H",38,54.643,68.918,6,44.185,61,49.047
NA,"Class2",67.767,"V","H",33,88.136,70.09,78,79.478,27,35.887
67.01,"Class2",69.133,"K","O",36,88.488,76.738,78,69.457,37,18.648
41.246,"Class2",70.48,"L","J",39,96.547,75.57,75,82.989,29,6.743
NA,"Class2",67.763,"K","Y",40,88.447,74.214,77,67.21,56,56.925
78.876,"Class2",69.187,"K","Y",40,86.674,69.212,72,58.639,41,32.447
23.351,"Class2",67.06,"V","Y",39,87.51,76.381,80,52.923,47,29.898
76.606,"Class1",60.094,"I","H",48,49.152,44.254,19,43.046,68,44.872
62.637,"Class2",69.256,"K","J",42,93.136,79.678,83,54.289,55,43.696
41.48,"Class2",69.304,"L","Y",31,77.676,66.169,82,69.644,39,32.402
76.632,"Class1",14.132,"I","H",21,-10.905,48.137,7,45.442,54,45.587
70.21,"Class1",49.299,"Q","Z",46,22.201,66.178,5,44.239,52,53.067
76.136,"Class1",-3.669,"C",NA,25,72.119,22.27,9,44.496,37,62.483
21.576,"Class2",67.511,"V","H",43,66.848,57.643,87,75.856,29,-18.435
47.5,"Class2",69.67,"L","O",33,80.975,55.313,74,55.552,36,39.208
72.279,"Class1",54.614,"T","W",16,67.662,13.859,12,39.777,38,51.194
75.477,"Class2",69.232,"V","J",37,86.268,61.699,75,74.715,41,20.747
53.413,"Class2",67.136,"K","O",37,87.607,62.621,72,58.171,41,21.326
73.733,"Class1",66.355,"Q",NA,49,31.371,44.868,20,39.507,67,48.9
