"F1","F2","F3","F4","Output5","F5","F6","F7","F8","F9","F10","F11"
64,12.491,"M",62,"Class3",75.715,7.246,62,43.665,81.638,30.194,"O"
18,42.362,"E",64,"Class1",50.531,71.31,31,34.375,79.751,5.758,"Q"
21,29.173,"T",72,"Class2",13.494,3.94,78,49.734,60.042,29.825,"M"
10,23.115,"P",57,"Class1",59.487,45.519,35,34.448,68.149,4.43,"R"
22,19.211,"T",76,"Class2",-0.494,7.775,89,30.284,56.347,27.883,"M"
89,15.374,"N",59,"Class3",69.215,7.31,88,41.554,46.077,36.757,"G"
22,37.067,"M",24,"Class2",41.943,0.148,70,45.544,58.005,62.697,"I"
47,48.444,"N",86,"Class4",74.731,89.12,37,36.823,16.464,12.807,"I"
73,17.396,"Z",52,"Class3",105.701,4.407,62,43.069,42.294,44.228,"U"
10,80.574,"Y",8,"Class1",64.501,64.236,47,31.088,68.404,0.592,"Q"
12,60.204,"E",62,"Class1",52.968,82.327,34,23.401,80.994,5.037,NA
82,17.065,"X",48,"Class3",84.459,7.844,72,42.931,44.517,-2.783,"G"
92,13.241,"Z",49,"Class3",70.014,4.516,64,42.438,75.546,52.029,"F"
91,13.145,"X",42,"Class3",64.617,5.763,66,44.663,29.553,26.541,"O"
16,37.022,"Y",36,"Class1",61.085,69.861,43,30.206,68.496,3.024,"I"
68,17.102,"V",49,"Class3",92.262,5.058,61,43.749,69.742,52.137,"Z"
24,59.055,"V",77,"Class2",-0.84,10.259,86,52.683,60.788,41.935,"X"
18,45.255,"K",49,"Class1",94.606,87.588,42,36.046,80.965,3.214,"Q"
56,43.665,"M",72,"Class4",60.44,83.872,36,NA,16.081,54.545,"I"
80,17.817,"N",55,"Class3",55.39,5.734,82,41.933,70.186,20.66,"G"
16,44.074,"F",75,"Class4",53.962,93.803,46,19.502,16.655,75.123,"U"
7,18.923,"E",7,"Class1",35.046,70.325,33,40.985,70,2.923,"K"
13,58.102,"F",68,"Class4",81.802,93.315,41,41.624,16.324,30.601,"U"
7,40.798,"F",80,"Class4",42.327,84.553,35,29.422,16.136,95.231,"U"
21,31.63,"Y",50,"Class1",64.357,48.731,41,18.89,72.05,3.24,"R"
21,60.338,"J",14,"Class2",21.562,4.614,80,45.927,80.956,24.924,NA
10,56.882,"D",29,"Class1",32.237,89.936,37,33.628,69.513,3.952,"Q"
8,55.064,"P",34,"Class1",61.391,65.757,34,29.886,69.442,3.416,"K"
55,41.453,"V",79,"Class4",35.738,92.028,38,37.876,16.6,56.725,NA
15,52.407,"M",84,"Class4",83.645,86.108,36,27.107,16.012,34.7,"B"
15,32.638,"P",18,"Class1",36.414,57.015,32,35.803,77.553,5.086,"Q"
40,40.881,"V",86,"Class4",91.011,90.396,43,38.062,16.554,45.522,"N"
12,32.878,"P",61,"Class1",58.956,58.108,36,35.633,67.645,1.504,"R"
62,16.433,"N",62,"Class3",53.29,7.232,79,43.489,51.177,41.131,"U"
14,18.529,"E",11,"Class1",61.879,87.56,44,42.038,77.861,3.288,"L"
18,45.409,"V",71,"Class4",81.077,81.63,41,NA,16.978,72.94,"N"
24,57.423,"V",20,"Class2",6.735,0.938,76,48.305,83.887,33.05,"D"
6,46.908,"V",80,"Class4",92.581,84.59,38,30.432,16.399,55.39,"N"
12,40.824,"P",72,"Class4",97.313,85.051,36,40.589,16.461,43.774,"I"
24,48.474,"J",59,"Class2",22.263,8.626,59,42.24,69.708,70.608,"X"
23,22.635,"T",79,"Class2",34.816,12.024,63,39.562,64.57,45.158,"D"
52,57.995,"V",73,"Class4",37.234,91.244,42,61.188,16.354,13.922,"O"
23,20.457,"D",50,"Class2",6.213,8.409,59,43.204,75.529,39.61,"T"
62,42.342,"N",73,"Class4",66.806,93.163,41,26.785,16.799,39.967,"U"
21,35.031,"T",59,"Class2",32.992,1.971,93,45.072,86.431,25.394,"X"
8,43.784,"M",86,"Class4",51.503,82.468,35,20.788,16.454,33.66,"I"
24,43.875,"D",25,"Class2",33.858,3.604,83,46.179,83.721,54.862,"X"
16,72.311,"D",38,"Class1",74.04,72.322,46,NA,76.479,5.843,"R"
93,12.824,"X",53,"Class3",61.574,7.673,84,NA,56.537,36.621,"F"
70,17.154,"X",49,"Class3",49.956,7.33,87,45.974,69.829,49.161,"Z"
10,52.882,"F",78,"Class4",87.238,92.057,35,37.619,16.917,66.138,"B"
20,42.102,"K",55,"Class1",47.414,52.02,46,29.028,76.668,4,"Q"
24,46.195,"T",22,"Class2",10.322,14.457,65,44.627,57.13,60.104,"D"
24,46.695,"D",45,"Class2",27.114,4.962,85,46.23,62.941,19.077,"I"
21,37.489,"M",21,"Class2",10.947,14.282,87,50.312,52.684,16.843,"M"
19,66.719,"K",35,"Class1",65.787,92.468,47,34.014,68.942,5.19,"Q"
14,66.58,"D",27,"Class1",52.917,70.892,35,37.682,81.118,4.233,"K"
94,13.792,"N",42,"Class3",79.641,7.651,65,40.958,43.626,51.478,"Z"
10,42.453,"M",80,"Class4",72.126,93.61,40,39.553,16.784,44.597,"N"
26,41.965,"M",45,"Class2",25.411,4.311,68,44.04,85.189,53.907,"D"
9,19.638,"Y",9,"Class1",39.956,45.821,34,27.151,74.081,2.315,"I"
15,38.791,"E",7,"Class1",64.98,88.557,35,46.022,75.319,3.639,"R"
21,32.576,"D",47,"Class2",27.161,1.547,74,46.382,83.733,58.827,NA
16,49.72,"M",80,"Class4",50.61,80.646,41,31.15,16.082,36.915,"N"
80,12.594,"M",43,"Class3",32.547,4.116,72,48.407,26.173,60.715,"Z"
98,17.877,"X",50,"Class3",50.576,6.615,87,43.991,76.393,25.26,"O"
22,81.511,"K",13,"Class1",56.587,88.162,32,35.369,80.062,1.931,"K"
8,75.254,"E",51,"Class1",29.283,60.492,45,36.416,69.976,3.486,"I"
22,73.626,"Y",9,"Class1",16.754,59.087,41,18.858,81.599,3.342,"Q"
22,62.819,"J",54,"Class2",-5.635,1.133,63,54.66,81.204,41.065,"D"
18,23.799,"Y",57,"Class1",49.185,69.251,33,29.286,74.585,4.103,"I"
12,53.19,"V",68,"Class4",54.556,91.6,36,29.403,16.521,60.067,"I"
26,48.405,"V",21,"Class2",0.854,10.024,96,50.594,85.82,28.596,"T"
24,39.086,"D",50,"Class2",11.602,2.078,61,48.859,85.036,51.323,"D"
53,58.427,"P",80,"Class4",34.698,91.753,45,51.754,16.674,49.085,"U"
5,56.423,"N",73,"Class4",78.406,90.979,36,46.899,16.917,85.774,"N"
13,52.59,"D",32,"Class1",57.36,65.086,32,24.132,68.737,5.932,"R"
12,52.656,"D",9,"Class1",48.046,62.695,31,24.461,77.462,1.857,"L"
16,52.579,"D",26,"Class1",70.497,46.692,38,37.459,68.387,3.771,"I"
21,81.056,"K",45,"Class1",44.633,57.519,32,35.198,68.903,6.995,"I"
91,12.192,"X",49,"Class3",65.403,5.772,75,41.282,54.118,71.812,"G"
20,75.27,"K",57,"Class1",28.827,81.731,41,22.547,70.301,7.644,"R"
16,71.262,"Y",44,"Class1",63.046,52.531,35,24.841,76.251,3.36,"I"
11,34.606,"P",25,"Class1",135.577,86.283,40,26.732,78.017,3.001,"L"
92,16.204,"V",45,"Class3",68.206,6.179,64,46.247,58.371,23.108,NA
84,13.018,"V",45,"Class3",42.13,4.324,81,44.881,38.264,33.481,"O"
6,64.249,"P",65,"Class1",58.704,70.538,37,NA,78.941,5.498,"R"
10,82.747,"Y",7,"Class1",38.647,73.422,40,25.715,71.722,5.597,NA
73,15.52,"M",56,"Class3",69.577,5.438,84,44.141,46.029,50.263,"U"
45,42.455,"N",79,"Class4",46.734,88.927,39,11.091,16.78,26.032,"I"
6,82.714,"K",25,"Class1",52.676,84.621,45,26.179,81.034,4.539,"K"
25,34.391,"J",48,"Class2",8.408,11.68,89,47.743,74.565,52.222,"X"
49,48.033,"P",70,"Class4",52.713,92.096,42,48.59,16.174,37.079,"B"
69,14.108,"Z",52,"Class3",82.779,7.803,79,45.402,49.435,42.423,NA
9,22.046,"P",16,"Class1",80.707,70.981,31,47.005,74.734,6.343,"I"
22,35.665,"J",53,"Class2",-7.281,5.725,66,44.189,85.462,39.327,"X"
85,17.7,"Z",50,"Class3",84.46,4.919,85,NA,77.105,41.556,"F"
92,14.996,"M",44,"Class3",77.975,5.29,72,44.383,59.921,30.723,"O"
80,15.136,"M",53,"Class3",73.464,4.102,76,51.241,47.813,22.692,"U"
27,30.453,"V",55,"Class2",39.869,0.862,63,44.808,77.502,35.714,"X"
67,15.564,"N",51,"Class3",83.03,5.43,69,45.807,51.595,6.974,"F"
17,19.202,"Y",7,"Class1",114.987,51.358,40,18.072,82.214,4.801,"K"
90,15.944,"V",45,"Class3",71.367,5.208,63,40.562,66.227,59.73,"F"
20,28.101,"V",52,"Class2",19.855,11.309,75,38.422,81.565,51.406,"T"
27,20.644,"M",33,"Class2",20.729,5.504,64,38.076,64.53,54.712,"D"
25,55.723,"D",55,"Class2",16.858,12.214,70,46.469,57.569,32.93,"T"
14,39.445,"Y",18,"Class1",34.047,59.422,34,27.406,70.45,2.113,"I"
99,12.801,"N",55,"Class3",74.801,5.631,62,43.202,79.54,30.894,"F"
24,38.227,"D",34,"Class2",29.954,9.189,75,45.275,70.065,32.786,"M"
20,80.373,"P",36,"Class1",41.031,57.785,36,35.214,82.174,6.077,"K"
61,53.537,"P",79,"Class4",78.791,79.775,37,37.74,16.549,58.866,"B"
100,15.511,"X",55,"Class3",83.583,5.34,61,41.964,54.065,43.769,"Z"
27,40.28,"M",24,"Class2",18.648,2.394,91,44.477,73.962,57.707,"T"
22,60.428,"K",64,"Class1",40.32,77.225,43,34.444,68.904,4.94,"Q"
66,17.279,"M",48,"Class3",80.884,5.857,64,44.317,48.905,39.676,"Z"
16,64.268,"Y",70,"Class1",37.193,69.095,33,34.944,78.796,6.268,"Q"
12,86.003,"P",25,"Class1",47.859,77.066,44,47.568,67.581,3.406,"Q"
25,59.766,"T",35,"Class2",19.933,1.126,65,48.704,54.568,36.393,"I"
22,58.186,"M",38,"Class2",16.97,2.797,75,39.333,58.768,28.858,"M"
25,53.108,"J",39,"Class2",-25.682,12.472,70,43.349,84.041,3.498,"I"
20,25.787,"E",36,"Class1",36.289,71.819,35,33.503,74.879,5.021,"L"
27,24.87,"T",75,"Class2",10.265,0.329,74,41.632,55.099,0.937,"T"
25,43.834,"V",18,"Class2",-2.979,13.27,90,46.718,74.373,39.985,"T"
21,30.097,"M",30,"Class2",16.287,10.192,71,48.423,54.677,66.654,"I"
22,35.592,"V",47,"Class2",27.118,5.532,73,39.952,83.231,41.068,NA
24,29.374,"V",58,"Class2",3.1,4.603,75,44.709,79.135,57.831,"D"
75,13.009,"N",50,"Class3",80.439,4.243,74,48.108,75.132,53.853,"F"
10,42.701,"F",68,"Class4",60.856,81.269,44,31.057,16.387,47.619,"B"
27,43.131,"T",49,"Class2",23.102,9.236,62,47.633,80.917,8.57,"T"
89,12.162,"Z",53,"Class3",84.261,5.067,59,48.691,59.65,31.544,"G"
22,62.639,"M",46,"Class2",6.435,8.129,60,46.331,74.682,18.597,"D"
84,15.098,"Z",45,"Class3",77.901,6.282,60,47.037,33.805,41.7,"U"
96,15.677,"M",61,"Class3",87.953,4.641,78,43.215,57.619,57.358,"U"
93,15.301,"M",46,"Class3",43.784,6.181,85,47.597,52.726,21.386,"U"
21,57.385,"T",17,"Class2",12.937,13.031,77,42.48,76.982,42.676,"X"
84,13.644,"M",57,"Class3",65.313,6.013,82,46.006,60.895,37.643,"O"
23,43.337,"V",28,"Class2",4.241,12.471,88,45.501,82.111,35.13,"X"
81,16.575,"M",52,"Class3",79.68,4.706,88,48.273,38.454,46.222,"F"
52,51.398,"M",76,"Class4",66.6,84.906,45,28.826,16.46,42.306,"N"
20,31.619,"D",14,"Class2",28.186,13.913,89,34.068,64.909,50.205,"X"
53,46.036,"P",70,"Class4",74.827,84.903,44,48.066,16.627,32.7,"B"
80,12.711,"N",47,"Class3",92.4,6.096,76,40.075,82.598,31.994,"O"
18,54.841,"Y",28,"Class1",49.624,66.056,40,29.549,69.27,6.821,"K"
71,12.544,"V",50,"Class3",59.721,5.374,74,45.364,44.714,34.655,"O"
20,50.453,"T",44,"Class2",12.43,9.281,77,45.948,63.261,45.785,"I"
20,22.069,"Y",65,"Class1",81.309,52.759,46,27.188,80.233,7.741,"K"
27,54.726,"N",82,"Class4",60.366,89.594,39,37.561,16.354,57.102,"I"
33,48.693,"M",75,"Class4",34.164,93.277,45,40.631,16.313,56.746,"I"
5,50.418,"F",84,"Class4",62.219,83.647,43,30.738,16.033,48.634,"I"
16,68.715,"P",21,"Class1",38.944,49.459,39,30.926,82.992,7.505,"L"
90,14.291,"M",44,"Class3",58.679,5.679,86,47.273,35.741,28.237,"G"
71,16.816,"V",50,"Class3",69.2,5.928,61,40.649,50.167,30.947,"O"
72,17.689,"Z",50,"Class3",89.363,4.333,78,38.977,38.082,32.76,"U"
15,33.159,"E",48,"Class1",41.371,48.656,46,33.473,78.412,2.049,"K"
26,22.138,"V",19,"Class2",28.783,5.034,80,49.679,64.846,60.92,"T"
20,48.294,"P",78,"Class4",75.154,82.867,45,46.737,16.176,77.114,"O"
22,26.761,"T",65,"Class2",24.532,7.42,78,47.486,76.502,9.548,"M"
25,23.788,"J",53,"Class2",15.722,8.605,74,44.843,60.121,53.101,"X"
63,15.025,"M",42,"Class3",47.391,5.568,82,48.255,65.522,41.172,"O"
40,45.186,"P",84,"Class4",86.912,80.029,42,37.628,16.293,35.074,"B"
65,17.219,"M",55,"Class3",84.225,5.893,77,49.378,25.334,20.248,"G"
21,33.777,"T",80,"Class2",23.551,0.227,64,38.475,81.893,37.486,"X"
17,34.409,"E",43,"Class1",17.888,89.691,31,25.231,72.922,2.571,"I"
24,33.294,"V",59,"Class2",-2.141,7.418,89,41.499,64.638,14.521,"M"
33,46.898,"P",76,"Class4",69.956,79.056,45,7.248,16.521,63.143,"O"
24,57.77,"N",81,"Class4",32.88,87.045,38,42.777,16.257,37.285,"B"
24,29.085,"J",17,"Class2",-4.196,3.851,89,47.301,61.877,40.565,"X"
8,66.539,"P",32,"Class1",3.842,58.484,41,41.851,71.283,4.908,"Q"
22,53.898,"M",51,"Class2",9.241,13.419,88,41.162,80.961,61.305,"D"
20,41.076,"E",60,"Class1",46.25,54.544,36,32.758,82.76,6.392,"Q"
26,43.258,"N",73,"Class4",52.078,85.656,38,38.173,16.627,44.275,"N"
90,17.054,"X",61,"Class3",66.307,6.588,77,45.531,62.972,79.931,"O"
15,76.128,"Y",17,"Class1",33.516,73.92,32,33.48,69.615,4.946,"I"
11,73.726,"Y",49,"Class1",81.255,79.902,46,41.161,76.462,6.614,"Q"
23,44.139,"T",72,"Class2",23.179,6.072,72,47.347,83.627,48.051,"T"
58,45.256,"F",83,"Class4",70.368,80.094,44,24.805,16.186,44.984,"I"
97,13.82,"X",44,"Class3",59.842,7.982,77,46.736,82.481,64.057,NA
25,31.592,"V",43,"Class2",15.973,7.484,60,50.248,84.336,19.579,"T"
24,34.948,"V",60,"Class2",29.696,3.05,62,41.795,84.089,59.678,"D"
18,71.434,"D",19,"Class1",68.66,75.456,35,35.152,67.433,4.677,"Q"
27,57.4,"M",73,"Class2",19.042,0.958,65,46.264,67.378,16.53,"X"
86,14.372,"V",44,"Class3",64.225,5.65,59,47.318,74.81,35.614,"U"
43,40.503,"M",70,"Class4",89.698,84.821,44,44.333,16.257,67.509,"U"
8,23.697,"E",59,"Class1",39.812,86.2,45,33.959,80.882,2.478,"K"
21,62.635,"D",11,"Class1",29.379,83.59,46,36.755,71.029,1.717,"R"
8,87.144,"K",24,"Class1",56.136,86.392,45,30.04,81.598,4.475,"R"
7,59.596,"Y",40,"Class1",56.356,62.106,33,35.375,81.825,3.606,"K"
24,19.438,"J",59,"Class2",6.862,0.408,60,54.136,73.599,39.207,"D"
98,14.174,"N",45,"Class3",71.209,7.25,63,46.685,78.655,45.499,"Z"
15,33.943,"Y",12,"Class1",12.221,83.798,32,31.747,72.127,5.888,"K"
59,15.264,"M",45,"Class3",40.526,4.15,87,NA,79.646,34.963,"F"
66,15.962,"N",62,"Class3",94.379,5.559,62,42.986,82.179,33.588,"U"
69,17.031,"V",56,"Class3",59.388,5.986,61,43.419,28.918,32.675,"F"
10,72.072,"E",50,"Class1",60.389,65.411,40,47.605,76.756,4.875,NA
25,36.556,"V",30,"Class2",-1.537,3.768,95,52.562,78.171,36.59,"I"
24,46.969,"V",73,"Class2",20.93,11.923,96,54.701,59.615,25.892,"T"
67,17.765,"N",49,"Class3",71.373,5.78,83,45.765,34.972,44.414,"O"
27,32.733,"T",63,"Class2",16.171,0.725,89,50.564,84.69,15.487,"D"
98,14.281,"X",49,"Class3",73.218,6.409,61,45.135,50.254,47.426,"F"
24,39.667,"J",31,"Class2",22.323,3.074,85,50.961,67.535,37.48,"D"
32,52.826,"N",69,"Class4",86.911,87.083,41,13.019,16.451,28.933,"B"
21,50.723,"M",39,"Class2",28.447,4.934,81,29.77,66.49,45.336,"T"
11,54.554,"E",55,"Class1",54.106,78.55,31,36.337,76.565,3.475,"Q"
20,38.307,"T",70,"Class2",21.953,10.207,76,42.148,68.437,29.1,"I"
22,53.749,"T",20,"Class2",20.469,7.333,60,38.513,62.072,18.292,"D"
26,35.392,"D",44,"Class2",29.639,2.714,69,NA,56.938,35.27,"T"
8,48.364,"F",70,"Class4",55.453,86.532,39,40.676,16.529,60.478,"U"
25,35.632,"V",64,"Class2",10.394,0.176,87,38.595,65.054,40.588,NA
9,42.885,"V",74,"Class4",55.548,82.897,42,29.959,16.912,48.872,"B"
53,52.62,"M",74,"Class4",71.376,82.965,42,46.818,16.879,22.564,"U"
25,60.032,"T",40,"Class2",16.514,10.83,77,44.002,61.714,7.613,"D"
6,58.93,"E",23,"Class1",55.766,62.697,35,31.225,69.611,1.465,"K"
17,55.158,"N",71,"Class4",73.199,78.083,46,23.494,16.908,57.481,"U"
20,23.49,"K",28,"Class1",39.27,87.741,40,NA,74.612,4.993,"Q"
88,12.572,"X",47,"Class3",28.903,4.414,66,43.34,39.846,52.854,"G"
18,48.204,"Y",41,"Class1",58.408,90.183,41,58.366,79.98,2.72,"R"
12,75.234,"K",49,"Class1",62.859,59.653,37,28.997,78.962,2.564,"Q"
7,42.594,"M",72,"Class4",51.386,86.473,38,43.312,16.472,48.624,"U"
76,13.731,"M",50,"Class3",66.484,4.953,65,43.511,42.632,53.899,"O"
60,14.453,"N",46,"Class3",99.654,6.709,65,43.664,49.516,7.426,"Z"
65,17.263,"M",43,"Class3",61.366,5.317,69,43.166,52.611,73.112,"F"
60,16.549,"X",53,"Class3",80.047,6.722,80,46.456,68.171,58.887,"F"
9,40.445,"N",80,"Class4",61.58,90.649,45,42.899,16.44,38.794,"O"
70,17.506,"N",51,"Class3",34.914,4.715,80,NA,52.345,40.314,"F"
26,58.026,"V",11,"Class2",1.242,8.121,93,43.022,53.999,41.519,"T"
92,16.377,"Z",54,"Class3",45.27,7.978,67,44.389,48.295,13.07,"G"
98,16.466,"X",42,"Class3",58.213,6.213,72,NA,67.647,31.405,"G"
8,34.259,"Y",25,"Class1",70.497,56.797,31,26.3,80.056,1.728,"I"
20,35.514,"E",33,"Class1",70.588,52.827,43,31.941,72.72,4.875,"L"
19,49.016,"K",17,"Class1",40.679,55.074,47,22.669,68.805,4.774,"K"
25,61.316,"J",76,"Class2",14.224,5.342,67,43.708,83.833,42.633,"I"
86,12.572,"V",52,"Class3",61.625,6.399,85,44.505,59.214,16.815,"F"
65,13.963,"N",55,"Class3",63.994,6.322,72,41.95,38.766,34.863,"Z"
24,35.042,"J",71,"Class2",45.414,11.316,93,NA,55.732,31.647,"M"
19,28.352,"Y",20,"Class1",76.038,56.192,41,NA,73.013,4.559,"Q"
81,15.687,"V",42,"Class3",71.825,4.528,77,42.763,82.767,32.801,"Z"
16,26.874,"K",53,"Class1",70.52,91.589,36,36.867,75.868,4.999,"I"
18,75.767,"E",58,"Class1",32.738,85.15,47,35.82,75.444,7.59,"K"
71,17.88,"N",54,"Class3",49.758,6.495,81,43.341,87.014,39.227,"U"
10,46.659,"K",70,"Class1",65.616,50.229,45,29.337,70.387,2.305,"Q"
23,42.349,"D",70,"Class2",13.809,4.674,80,44.695,63.879,41.899,"X"
69,16.411,"N",58,"Class3",39.187,7.169,60,43.332,71.131,41.813,"U"
20,63.791,"J",66,"Class2",43.216,3.325,78,40.185,75.035,45.822,"T"
23,62.37,"M",11,"Class2",24.638,10.533,71,NA,67.645,46.807,"T"
24,35.51,"J",68,"Class2",6.681,12.407,76,47.366,80.175,22.525,"T"
94,16.181,"Z",42,"Class3",76.312,6.582,79,46.376,33.849,19.377,"G"
82,12.877,"V",60,"Class3",70.062,7.565,67,46.615,87.189,39.847,"U"
6,54.765,"V",84,"Class4",42.449,91.58,43,59.774,16.42,62.008,"B"
19,66.138,"Y",24,"Class1",44.103,48.254,32,38.2,75.171,6.835,"I"
6,57.55,"N",78,"Class4",61.19,79.874,46,79.395,16.217,50.104,"N"
21,34.982,"K",27,"Class1",83.457,85.448,33,25.132,82.405,7.546,"K"
85,12.869,"M",60,"Class3",71.735,5.815,87,40.19,35.039,30.163,"O"
80,16.006,"N",50,"Class3",49.742,7.642,72,44.527,33.176,53.811,"G"
10,69.501,"D",60,"Class1",67.299,79.327,32,27.115,67.667,2.604,"L"
9,38.542,"K",44,"Class1",63.444,49.245,47,16.757,75.338,3.097,"I"
56,52.671,"F",73,"Class4",57.654,84.357,40,NA,16.944,46.109,"B"
40,40.843,"M",80,"Class4",63.816,83.409,42,73.014,16.963,23.695,"B"
21,51.761,"E",52,"Class1",65.31,60.726,42,43.162,82.717,8.305,"K"
91,12.375,"V",56,"Class3",44.933,6.985,85,46.741,66.642,32.434,"F"
10,54.051,"E",39,"Class1",68.771,46.402,33,30.491,74.14,2.924,"Q"
50,43.5,"M",83,"Class4",35.264,79.453,36,43.863,16.836,40.438,"B"
26,24.719,"T",75,"Class2",16.387,4.929,93,47.99,66.698,47.771,"M"
24,46.342,"V",69,"Class2",15.128,2.283,67,42.268,73.725,40.941,"M"
27,43.619,"M",16,"Class2",7.659,13.93,60,43.296,68.558,41.305,"D"
10,73.452,"Y",39,"Class1",35.781,79.502,32,36.589,71.825,5.063,"R"
39,41.426,"M",83,"Class4",53.21,79.37,44,52.747,16.285,64.77,"U"
12,50.467,"M",71,"Class4",79.37,92.958,37,45.764,16.162,47.739,"N"
57,55.998,"N",81,"Class4",57.877,88.355,39,NA,16.146,44.439,NA
23,22.54,"J",67,"Class2",19.039,10.675,90,37.778,59.987,55.963,"D"
11,83.957,"E",53,"Class1",73.93,77.73,36,33.81,77.508,4.844,"K"
24,51.316,"N",73,"Class4",67.533,80.221,37,49.301,16.732,43.6,NA
21,34.417,"D",69,"Class1",38.94,89.107,43,52.896,71.234,4.792,"I"
81,15.826,"Z",59,"Class3",90.216,7.076,62,43.862,26.767,53.231,"F"
11,28.126,"K",42,"Class1",41.236,60.789,47,36.19,74.797,3.387,"I"
29,49.128,"N",85,"Class4",84.217,84.151,37,58.044,16.694,18.155,"I"
51,47.098,"P",70,"Class4",65.438,83.876,38,39.563,16.007,42.62,"N"
48,51.008,"F",72,"Class4",74.608,88.872,37,16.923,16.827,46.717,"O"
23,46.277,"M",16,"Class2",8.877,9.15,82,40.059,59.083,39.111,"I"
15,32.096,"E",50,"Class1",43.718,91.596,43,13.946,78.187,4.617,"K"
20,19.71,"D",40,"Class1",92.763,74.784,32,18.505,80.311,4.214,"Q"
55,50.686,"M",85,"Class4",47.522,90.021,45,34.727,16.102,13.031,"B"
87,14.497,"M",58,"Class3",71.003,7.002,69,46.359,82.275,49.362,"O"
9,65.983,"K",45,"Class1",48.378,61.155,33,43.919,82.202,6.658,"R"
22,44.368,"N",72,"Class4",75.088,80.32,38,54.369,16.29,58.205,"U"
21,62.988,"V",38,"Class2",30.472,9.527,88,51.638,58.005,48.264,"I"
76,12.014,"Z",48,"Class3",82.692,7.05,88,43.291,77.166,31.089,"F"
20,77.126,"P",28,"Class1",-0.385,78.106,33,32.095,74.546,2.014,"K"
74,16.954,"M",48,"Class3",72.459,4.148,70,44.457,35.394,39.207,"G"
14,57.588,"E",30,"Class1",64.11,72.9,31,37.746,73.643,6.36,"Q"
44,53.644,"M",68,"Class4",61.24,80.169,35,77.17,16.044,29.794,"I"
74,14.721,"X",53,"Class3",102.591,7.542,70,47.199,36.068,19.627,"G"
10,78.665,"Y",6,"Class1",59.338,89.887,33,21.059,82.62,4.586,"K"
9,42.065,"Y",46,"Class1",29.019,60.806,41,45.689,78.611,5.136,"I"
6,38.354,"D",29,"Class1",100.922,73.357,31,27.889,78.491,2.333,"Q"
54,43.393,"N",81,"Class4",103.469,82.501,42,31.635,16.603,28.041,"B"
25,44.448,"M",24,"Class2",20.71,14.076,91,52.224,81.93,35.18,"D"
22,46.482,"T",14,"Class2",26.269,8.92,86,52.604,81.275,31.559,"T"
26,24.705,"T",60,"Class2",16.495,11.756,66,41.046,79.484,44.545,"T"
63,12.797,"Z",46,"Class3",63.072,4.649,83,41.603,26.15,58.09,"U"
23,36.325,"D",14,"Class2",20.363,6.793,71,36.145,63.105,38.333,"M"
