"I1","I2","I3","I4","I5","I6","I7","I8","Output8","I9","I10","I11"
33.033,62,38.354,45.995,88.227,75,"O",55,"Class2",47.248,"C",58.497
24.364,25,46.967,88.947,89.654,73,"Z",49,"Class1",65.59,"W",80.871
32.705,74,32.16,44.037,91.194,79,"J",53,"Class2",46.549,"M",36.882
40.228,19,59.073,86.254,39.347,73,"W",44,"Class1",63.188,"W",80.493
55.159,19,43.877,82.629,37.851,72,"W",57,"Class1",53.141,"V",80.858
26.692,70,32.169,53.49,89.797,80,"E",59,"Class2",48.239,"L",104.255
12.566,19,48.326,89.349,61.745,72,"R",72,"Class1",79.065,"U",80.45
16.758,20,22.317,90.072,42.177,73,"U",43,"Class1",70.974,"T",80.822
30.941,55,35.246,45.571,79.95,75,"O",49,"Class2",46.879,"C",70.52
39.765,22,27.364,84.822,86.474,73,"R",61,"Class1",69.593,"V",80.509
35.331,58,35.704,49.968,75.994,72,"K",51,"Class2",47.638,"M",63.241
15.36,25,35.391,87.538,64.656,73,"X",69,"Class1",59.616,"T",80.923
34.634,68,32.197,47.659,91.344,74,"O",49,"Class2",NA,"G",79.696
33.993,75,34.289,47.32,79.245,64,"O",51,"Class2",46.724,"C",57.644
35.16,57,33.477,53.319,88.08,65,"K",55,"Class2",46.828,"C",73.487
-4.749,25,52.318,85.228,73.943,72,"W",68,"Class1",76.004,"T",80.513
23.961,70,35.313,44.162,93.03,65,"O",54,"Class2",46.506,"C",56.394
30.61,52,37.682,52.892,75.394,71,"J",52,"Class2",45.635,"L",73.65
33.233,56,38.384,51.452,93.756,71,"J",49,"Class2",48.056,"Q",59.964
19.479,27,71.052,85.316,59.617,73,"Z",60,"Class1",58.163,NA,80.217
16.02,73,36.246,46.933,91.449,68,"K",55,"Class2",47.24,"M",97.524
35.192,53,33.597,46.921,74.232,72,"R",49,"Class2",47.516,"M",56.816
62.497,21,49.044,88.926,70.181,72,"R",73,"Class1",70.235,"V",79.533
32.454,59,35.769,43.045,86.356,70,"O",56,"Class2",46.488,"C",61.758
26.847,58,35.064,44.551,83.611,70,"R",53,"Class2",47.305,"C",62.673
31.355,22,71.619,81.531,46.736,72,"Z",63,"Class1",70.26,NA,80.185
28.837,64,34.973,44.406,79.429,73,"E",50,"Class2",46.194,"L",24.391
37.404,70,37.218,52.683,89.429,78,"E",59,"Class2",46.983,"L",67.422
35.614,52,36.348,53.761,92.868,66,"R",53,"Class2",47,"L",78.511
23.361,66,33.672,52.172,90.209,64,"O",49,"Class2",46.661,NA,87.627
48.112,27,68.004,87.038,57.299,72,"Z",59,"Class1",63.977,"Q",80.141
51.965,21,60.159,81.784,35.466,73,"X",72,"Class1",60.852,"U",80.205
29.264,55,34.835,48.114,85.736,82,"R",53,"Class2",46.672,"C",71.628
-19.345,23,32.431,89.165,47.535,73,"W",60,"Class1",65.959,"T",80.436
34.678,25,65.448,82.174,74.036,72,"U",78,"Class1",57.272,"T",80.737
35.952,26,43.947,89.01,93.236,72,"U",57,"Class1",73.469,"U",80.369
25.088,57,34.371,47.625,95.739,72,"O",55,"Class2",47.504,"G",29.068
50.22,21,74.503,88.275,58.456,72,"X",57,"Class1",78.828,"T",80.379
33.08,25,61.168,89.276,36.301,73,"W",64,"Class1",74.621,"T",80.28
23.345,24,71.594,81.035,42.476,72,"U",70,"Class1",52.316,"V",80.575
37.128,18,30.933,88.135,61.559,73,"U",73,"Class1",NA,"W",80.489
62.118,23,72.417,85.067,42.61,73,"Z",49,"Class1",63.665,"W",80.852
-23.098,23,31.781,89.829,83.347,73,"W",38,"Class1",61.704,"Q",80.296
15.952,19,72.084,87.337,83.087,73,"R",67,"Class1",62.186,"V",81.082
12.648,24,74.889,90.357,53.324,73,"X",61,"Class1",69.273,"W",81.057
33.251,67,34.866,45.451,90.659,76,"R",58,"Class2",46.315,NA,90.082
35.28,23,59.433,86.25,41.73,72,"W",60,"Class1",66.566,"W",80.893
41.131,65,38.12,52.573,88.112,78,"J",59,"Class2",46.334,NA,46.187
25.974,53,35.051,50.227,84.693,67,"R",56,"Class2",NA,"L",73.25
27.663,55,33.316,49.971,94.012,64,"E",53,"Class2",47.112,"M",86.884
0.141,22,73.419,83.018,45.021,72,"U",69,"Class1",72.5,"Q",80.465
33.124,19,61.249,90.563,43.098,72,"U",57,"Class1",76.612,"W",80.638
24.92,23,67.638,87.063,67.542,72,"R",78,"Class1",67.728,"V",80.589
21.227,68,34.554,48.843,76.45,77,"K",51,"Class2",47.083,"M",51.096
46.711,25,59.704,86.454,67.149,73,"Z",46,"Class1",63.995,"W",81.323
44.65,17,42.044,85.139,55.476,72,"R",52,"Class1",75.485,"U",80.308
40.574,77,36.819,46.355,75.028,71,"K",57,"Class2",47.391,"Q",64.33
29.646,20,37.94,86.298,56.44,73,"Z",63,"Class1",70.072,"U",80.602
27.695,75,34.805,45.783,76.949,77,"K",59,"Class2",47.715,"L",78.691
32.082,54,36.453,48.683,74.394,78,"E",54,"Class2",NA,"Q",37.75
15.994,71,34.209,43.99,85.306,77,"J",52,"Class2",47.742,"Q",55.095
28.581,64,32.691,47.011,82.158,73,"E",49,"Class2",46.749,"M",60.333
42.003,54,33.732,46.709,81.943,64,"E",59,"Class2",NA,"L",45.408
64.538,19,20.46,87.893,45.648,73,"U",70,"Class1",78.985,"V",80.298
34.619,27,37.81,85.414,48.707,72,"Z",61,"Class1",63.7,"T",80.348
32.951,67,36.508,48.486,95.975,81,"J",54,"Class2",46.52,"C",47.216
47.573,19,23.686,89.711,76.644,73,"U",74,"Class1",56.902,NA,80.061
42.292,19,59.824,83.044,46.129,73,"W",38,"Class1",76.668,"U",79.888
-1.434,18,29.649,89.832,74.65,72,"X",54,"Class1",74.238,"U",80.458
28.654,76,36.667,45.557,79.487,68,"E",59,"Class2",46.631,"C",69.242
37.583,27,50.751,83.969,67.082,72,"R",65,"Class1",59.613,"W",80.678
36.745,18,38.657,84.918,46.13,72,"U",46,"Class1",69.793,"W",80.422
9.731,26,23.167,90.628,60.324,73,"W",71,"Class1",58.283,"U",80.741
38.036,52,37.014,46.196,74.683,82,"R",57,"Class2",47.845,"M",56.356
38.281,61,37.067,42.553,88.747,70,"K",56,"Class2",47.525,"M",54.213
48.789,17,55.261,85.755,89.072,73,"X",50,"Class1",54.158,"U",81.132
27.68,27,63.39,87.819,37.292,72,"Z",60,"Class1",73.496,"U",80.607
36.942,64,33.325,53.117,79.175,67,"R",54,"Class2",46.728,"C",75.014
51.724,18,37.254,82.129,46.944,72,"X",78,"Class1",NA,"W",80.632
32.412,70,36.218,51.888,76.288,78,"K",51,"Class2",NA,"L",80.78
11.803,27,55.122,90.009,78.363,72,"X",78,"Class1",71.066,"W",80.63
19.69,23,24.005,84.029,81.581,72,"R",43,"Class1",64.633,"V",80.082
62.055,26,66.837,86.093,91.284,73,"U",55,"Class1",67.509,"W",80.069
33.078,67,37.402,48.706,74.16,74,"E",50,"Class2",47.44,"L",28.559
29.433,67,33.76,45.078,95.371,79,"O",51,"Class2",46.923,NA,67.887
32.444,59,35.82,52.153,95.491,78,"K",56,"Class2",46.543,"Q",77.805
34.018,59,38.546,44.733,93.425,80,"J",54,"Class2",46.457,"G",68.252
49.857,21,57.812,84.221,53.348,72,"Z",45,"Class1",64.106,NA,81.133
25.923,65,34.269,43.365,82.513,76,"J",57,"Class2",46.915,"G",64.454
26.412,74,38.404,49.489,93.982,71,"E",58,"Class2",46.027,"L",73.512
48.974,20,66.008,82.544,86.191,73,"W",75,"Class1",77.837,"W",80.706
30.823,75,34.243,53.975,87.172,80,"O",59,"Class2",46.715,"G",72.648
26.548,20,24.643,86.074,64.652,72,"Z",39,"Class1",75.368,"Q",80.842
27.642,53,33.971,52.344,91.256,68,"E",53,"Class2",47.971,"L",63.01
23.476,58,38.945,48.965,83.768,65,"E",51,"Class2",47.173,"M",84.999
38.717,17,52.114,81.292,54.471,73,"Z",47,"Class1",65.775,"Q",80.415
32.803,22,38.198,87.663,55.813,72,"Z",57,"Class1",77.334,"Q",80.332
36.86,22,32.292,85.87,87.606,72,"U",54,"Class1",64.817,"Q",80.517
33.176,22,63.578,85.472,52.395,73,"W",57,"Class1",58.579,"U",80.629
27.883,75,38.388,53.284,94.019,74,"R",52,"Class2",46.319,"Q",55.294
43.949,19,61.983,89.719,91.09,73,"X",38,"Class1",68.93,NA,80.317
57.493,21,53.297,83.922,35.802,73,"Z",41,"Class1",72.067,"U",80.304
36.698,52,32.434,42.58,87.826,75,"O",52,"Class2",47.133,"C",76.583
35.277,74,35.556,48.192,88.255,80,"E",58,"Class2",47.533,"G",91.829
33.364,70,38.973,43.515,79.596,71,"O",57,"Class2",47.07,NA,88.617
32.087,72,35.072,52.414,74.807,67,"R",59,"Class2",NA,"C",73.929
29.522,77,35.831,48.357,94.81,77,"E",50,"Class2",47.305,"Q",69.909
15.668,27,65.083,90.786,62.659,72,"W",47,"Class1",76.363,"W",80.741
44.832,27,51.863,83.474,93.598,73,"U",40,"Class1",61.631,"T",80.977
31.92,63,38.347,44.517,93.705,74,"R",58,"Class2",46.175,"L",70.508
27.334,59,32.115,50.225,75.351,81,"J",49,"Class2",46.934,"M",79.275
25.108,76,33.13,48.972,88.191,73,"E",49,"Class2",46.807,"C",77.489
35.74,26,46.52,82.913,54.478,72,"U",52,"Class1",65.068,"T",80.519
45.067,26,50.704,81.189,49.027,73,"U",59,"Class1",59.182,"Q",80.638
30.142,60,36.539,51.91,94.586,64,"J",52,"Class2",47.415,"L",32.476
59.289,25,70.483,81.584,83.596,72,"Z",55,"Class1",56.354,"V",80.587
35.673,59,34.796,52.722,84.457,75,"O",55,"Class2",46.958,"L",39.044
14.317,21,18.043,87.896,80.483,72,"X",41,"Class1",73.932,"Q",80.692
32.33,61,38.639,46.68,88.928,81,"K",49,"Class2",47.021,"M",65.976
22.168,75,33.348,48.385,93.662,66,"K",52,"Class2",46.288,"C",77.469
28.185,53,33.548,45.754,91.584,75,"E",54,"Class2",45.369,NA,72.84
45.115,25,25.975,85.099,38.271,72,"U",66,"Class1",60.827,"T",80.212
32.654,27,68.682,86.066,38.779,72,"U",47,"Class1",67.666,"Q",80.639
31.674,55,35.179,48.952,74.637,81,"O",53,"Class2",46.11,"G",70.713
42.237,20,47.613,90.583,81.951,73,"Z",60,"Class1",67.309,"U",81.015
31.747,67,38.133,51.633,86.873,82,"R",59,"Class2",47.545,"C",52.034
23.786,62,33.609,50.358,77.63,82,"K",56,"Class2",46.36,"M",71.777
29.576,66,33.63,44.877,78.51,69,"E",49,"Class2",47.687,"G",65.044
63.798,25,54.226,88.982,83.799,73,"R",38,"Class1",60.48,"Q",80.195
20.581,62,38.526,45.029,81.189,64,"O",55,"Class2",46.95,"G",68.592
17.628,20,51.072,90.228,76.549,72,"R",40,"Class1",58.51,"T",80.376
22.411,21,52.284,90.876,48.423,72,"U",74,"Class1",47.803,"Q",80.858
28.827,69,37.282,48.816,84.488,65,"J",58,"Class2",46.787,"G",75.872
32.797,74,35.12,45.615,93.792,71,"E",59,"Class2",47.189,"M",56.923
24.064,17,31.978,83.208,71.219,72,"R",43,"Class1",61.432,"U",79.738
33.869,26,30.328,84.087,72.538,72,"X",71,"Class1",63.899,"V",80.092
30.654,74,37.689,52.909,79.563,74,"E",54,"Class2",47.853,"C",67.474
25.751,25,72.23,82.987,66.65,73,"Z",56,"Class1",66.703,"U",80.982
28.713,69,35.455,47.856,75.961,78,"J",58,"Class2",46.339,"M",82.505
29.269,73,32.275,43.83,87.757,72,"O",52,"Class2",46.852,"L",61.023
29.134,68,33.584,44.923,78.561,82,"O",51,"Class2",47.465,"G",65.351
16.44,20,19.392,86.591,70.957,72,"R",40,"Class1",77.878,"U",80.401
31.735,20,18.648,86.024,91.368,72,"W",61,"Class1",NA,NA,80.213
37.035,72,33.42,50.568,76.628,70,"J",53,"Class2",46.809,"M",61.898
27.67,22,69.494,84.56,59.222,73,"Z",53,"Class1",65.922,"U",80.582
31.609,64,32.963,52.141,88.58,71,"E",53,"Class2",46.734,"G",44.969
32.479,72,33.708,50.028,81.3,79,"O",54,"Class2",47.273,"Q",61.187
40.43,18,22.298,90.446,36.26,72,"Z",57,"Class1",61.228,"V",80.32
26.744,53,36.666,45.22,74.957,79,"E",51,"Class2",46.317,"M",61.228
35.845,77,33.612,50.294,84.597,82,"K",51,"Class2",47.498,"C",51.907
32.757,58,34.802,50.049,82.777,73,"E",49,"Class2",45.785,"M",28.583
26.991,18,72.751,87.986,71.491,72,"R",75,"Class1",82.342,"Q",80.485
22.821,69,32.595,46.841,83.705,73,"O",52,"Class2",45.846,"M",82.789
36.522,23,56.852,82.695,44.771,73,"X",76,"Class1",58.597,"T",80.362
47.202,27,24.208,86.489,41.253,72,"R",45,"Class1",NA,"W",80.802
25.428,67,36.44,42.161,81.455,65,"E",58,"Class2",46.879,"C",48.967
37.753,18,68.576,83.627,44.636,73,"W",64,"Class1",65.821,"V",80.156
22.32,55,38.201,49.814,77.269,70,"R",55,"Class2",46.364,"G",48.232
73.047,18,46.875,89.938,52.675,72,"Z",55,"Class1",64.096,"U",80.433
32.208,77,37.255,51.984,79.405,72,"J",55,"Class2",46.005,"Q",63.912
28.087,60,38.336,42.132,90.893,74,"O",54,"Class2",47.242,"C",80.191
38.673,18,62.706,88.067,70.831,73,"U",43,"Class1",54.347,"W",80.146
30.674,71,35.199,45.578,86.709,75,"E",57,"Class2",46.978,"Q",88.551
23.385,58,32.261,46.113,79.801,79,"J",56,"Class2",47.013,"C",62.442
33.662,24,31.101,87.688,74.496,73,"Z",55,"Class1",61.456,"V",80.38
64.754,24,61.945,84.406,59.478,73,"U",74,"Class1",59.922,"U",80.623
9.466,20,19.291,88.748,51.662,72,"W",58,"Class1",70.845,"W",80.73
45.334,21,28.689,84.006,56.959,73,"U",75,"Class1",75.032,"Q",80.862
5.919,17,55.769,81.354,50.955,73,"Z",70,"Class1",68.354,"Q",80.449
28.746,76,35.477,46.18,84.323,80,"E",53,"Class2",47.431,"G",48.86
32.578,55,35.719,49.212,81.167,79,"O",58,"Class2",47.43,"M",65.021
32.486,53,37.576,49.546,86.764,78,"R",56,"Class2",46.067,"G",64.175
31.565,69,32.292,52.986,88.293,75,"E",50,"Class2",46.511,NA,81.316
33.586,25,18.994,87.54,71.215,72,"W",78,"Class1",62.473,"U",80.732
31.056,67,33.442,44.647,76.924,72,"E",51,"Class2",48.016,"G",69.587
26.393,62,32.735,42.185,89.654,70,"O",50,"Class2",46.217,"Q",69.095
46.311,21,46.639,88.201,73.221,72,"W",71,"Class1",70.732,NA,80.571
29.299,67,38.045,45.01,89.689,65,"E",57,"Class2",47.022,"M",85.421
30.573,70,36.945,53.67,93.476,78,"E",56,"Class2",46.837,"C",55.463
34.503,65,35.814,43.972,75.622,68,"O",51,"Class2",47.625,"G",40.656
14.023,26,39.253,83.33,73.23,72,"Z",44,"Class1",73.712,"U",80.734
26.58,24,65.664,87.772,88.331,72,"U",46,"Class1",76.768,"T",80.569
29.386,68,32.545,52.087,79.897,71,"J",49,"Class2",47.852,"Q",13.734
27.55,54,34.622,51.701,75.648,76,"K",51,"Class2",47.188,"G",86.364
31.819,77,38.731,49.818,95.282,80,"R",49,"Class2",46.962,NA,69.727
26.766,71,35.438,44.48,82.471,71,"R",57,"Class2",47,"G",50.991
25.689,64,35.283,45.185,92.66,72,"J",51,"Class2",46.899,"M",66.115
41.52,17,62.064,84.322,89.948,72,"U",52,"Class1",75.531,"U",80.493
52.773,18,63.441,89.842,50.627,73,"Z",47,"Class1",66.88,"W",80.309
21.102,27,58.478,87.896,51.033,73,"Z",56,"Class1",67.818,"V",80.416
62.062,20,72.5,81.602,64.97,72,"R",73,"Class1",80.912,"W",81.043
68.305,17,17.704,89.25,77.443,73,"X",64,"Class1",65.219,"W",80.392
52.506,27,41.694,82.217,42.385,72,"W",62,"Class1",73.599,"T",80.653
35.42,56,34.895,48.689,93.277,74,"R",56,"Class2",45.814,"C",66.995
53.287,22,23.34,87.709,44.433,73,"Z",72,"Class1",70.245,"Q",80.829
16.055,75,36.582,48.169,82.413,81,"O",50,"Class2",46.588,"M",71.78
32.077,62,37.203,53.155,74.053,76,"K",58,"Class2",46.895,"C",75.547
32.765,70,33.126,52.517,95.1,82,"O",51,"Class2",47.2,"M",48.102
47.001,19,26.558,81.877,43.825,72,"W",47,"Class1",65.21,"V",80.554
49.199,21,37.135,82.633,46.95,73,"R",54,"Class1",52.48,"V",80.541
22.595,63,36.549,53.764,83.651,69,"E",56,"Class2",46.677,"M",103.969
41.334,72,35.905,47.072,80.865,80,"J",59,"Class2",47.114,"M",27.353
18.267,17,38.99,83.336,45.279,72,"Z",43,"Class1",87.785,"T",80.38
33.574,59,32.736,53.326,76.82,65,"K",51,"Class2",47.111,"G",81.703
31.274,74,36.127,49.588,90.585,68,"E",55,"Class2",45.919,"Q",78.155
24.791,26,48.02,81.258,53.84,73,"X",43,"Class1",89.824,"U",80.342
34.665,74,37.463,49.971,76.662,78,"E",51,"Class2",47.777,"M",64.257
32.983,71,32.424,49.461,78.161,76,"O",52,"Class2",47.487,"L",34.259
21.689,68,35,50.626,74.161,71,"O",53,"Class2",46.319,"G",60.549
29.616,77,33.366,44.397,87.191,72,"O",53,"Class2",45.862,"L",28.733
28.069,56,34.684,47.29,76.801,68,"O",58,"Class2",47.644,"C",82.75
33.916,60,37.1,50.997,95.871,65,"O",57,"Class2",48.661,"L",70.541
26.918,24,34.692,81.787,61.08,72,"Z",50,"Class1",56.441,"W",80.355
58.595,26,61.661,83.063,84.141,72,"W",39,"Class1",72.106,"U",80.308
27.503,64,33.29,51.373,79.79,74,"O",49,"Class2",47.117,"M",44.983
30.503,58,34.048,48.672,85.839,72,"E",59,"Class2",46.882,"Q",41.101
37.683,23,34.302,86.292,35.654,73,"R",61,"Class1",54.049,"V",80.459
57.927,27,21.42,90.249,84.029,73,"U",61,"Class1",72.629,"V",80.284
46.17,25,23.075,85.101,63.329,72,"Z",64,"Class1",59.237,"Q",79.86
20.665,23,55.939,88.872,59.08,72,"W",59,"Class1",74.244,"U",80.048
89.097,18,39.197,85.151,37.071,72,"U",43,"Class1",70.11,"Q",80.193
37.93,25,40.181,88.7,93.608,72,"X",52,"Class1",46.928,"Q",81.093
30.377,53,35.29,46.114,85.486,69,"J",57,"Class2",46.4,"L",84.014
80.026,20,65.521,81.747,89.426,72,"X",56,"Class1",58.571,"V",80.982
15.146,22,43.323,85.425,59.055,73,"R",59,"Class1",57.73,"Q",80.026
28.398,64,36.876,46.318,80.124,67,"K",57,"Class2",47.656,"Q",26.151
5.008,21,68.948,85.232,52.815,73,"U",41,"Class1",61.642,"Q",80.952
31.204,27,52.345,85.286,93.601,72,"Z",65,"Class1",72.302,"V",80.586
24.646,56,35.032,44.586,89.173,78,"E",50,"Class2",47.08,"G",97.402
33.333,70,35.425,50.452,74.861,67,"O",57,"Class2",47.619,"L",56.269
32.766,21,48.994,90.822,80.463,72,"W",56,"Class1",70.85,"V",79.939
28.106,74,37.978,50.215,85.816,72,"R",51,"Class2",NA,NA,99.96
38.232,65,35.438,49.467,84.365,80,"R",58,"Class2",47.245,"Q",61.644
26.82,62,33.23,51.158,86.56,71,"O",49,"Class2",47.12,"G",79.125
17.78,70,36.776,46.247,82.083,70,"K",50,"Class2",47.573,"G",54.307
35.554,65,34.874,51.724,77.101,68,"E",52,"Class2",46.72,"M",38.951
49.672,26,59.494,81.391,46.619,72,"R",52,"Class1",59.357,"Q",80.514
38.101,20,71.612,89.079,74.439,73,"X",49,"Class1",85.047,"W",80.896
30.201,69,35.963,46.357,85.244,66,"E",53,"Class2",47.144,"L",27.866
11.968,20,62.579,81.148,42.026,72,"R",44,"Class1",44.536,"T",80.519
8.979,20,56.021,83.269,45.044,73,"Z",49,"Class1",51.772,"T",80.429
30.99,71,38.482,49.841,95.807,69,"J",52,"Class2",46.427,"G",73.575
31.466,20,34.109,85.282,93.194,72,"X",42,"Class1",NA,"U",80.2
21.627,23,33.505,85.179,84.415,72,"X",51,"Class1",66.062,"V",81.542
24.94,61,36.311,48.559,89.638,64,"O",49,"Class2",47.187,NA,83.735
31.113,68,35.084,46.798,80.906,65,"E",51,"Class2",47.139,"Q",85.381
33.764,57,35.694,43.522,93.718,81,"R",55,"Class2",46.874,"G",57.96
47.638,22,17.453,86.647,76.927,73,"W",62,"Class1",67.977,"T",80.547
20.121,17,47.153,86.831,48.32,72,"Z",58,"Class1",82.821,"T",80.902
0.712,18,33.5,85.511,42.4,73,"X",51,"Class1",56.039,"T",80.078
27.765,53,36.252,44.204,82.077,78,"K",54,"Class2",47.227,"L",55.445
32.828,58,36.475,49.594,79.289,71,"J",58,"Class2",46.617,"M",67.785
30.807,63,38.052,52.449,88.319,80,"K",58,"Class2",47.67,"C",77.014
54.502,24,55.806,82.835,46.089,73,"Z",62,"Class1",73.876,"U",81.192
35.403,24,28.486,86.671,59.467,73,"R",68,"Class1",72.582,"Q",80.334
28.377,56,34.14,53.033,78.848,71,"K",59,"Class2",45.748,"M",35.132
22.747,77,34.86,44.584,95.092,71,"E",54,"Class2",46.301,"M",32.261
32.513,77,38.372,51.613,91.497,79,"O",53,"Class2",46.791,"Q",92.787
34.916,64,38.452,43.193,89.062,80,"O",58,"Class2",NA,"Q",59.54
23.926,76,38.317,44.261,90.228,75,"R",59,"Class2",47.095,"C",53.637
27.769,57,35.961,46.993,89.923,82,"K",57,"Class2",NA,"M",65.872
30.309,72,33.579,43.102,87.771,71,"K",53,"Class2",45.933,"L",84.737
30.222,63,36.956,44.243,82.035,82,"E",50,"Class2",47.034,"M",41.096
36.331,55,34.511,42.955,86.302,65,"R",49,"Class2",NA,"G",76.449
20.382,22,26.343,85.049,64.005,72,"X",54,"Class1",62.472,"V",80.513
-4.742,19,48.622,84.839,65.672,73,"U",75,"Class1",NA,"T",80.551
0.787,23,60.027,89.224,92.233,73,"X",76,"Class1",57.52,"V",79.813
43.797,22,52.733,81.005,39.091,72,"X",71,"Class1",76.005,"Q",80.045
19.624,19,21.676,82.226,91.099,73,"Z",57,"Class1",70.296,"Q",80.418
64.298,24,44.538,88.768,51.176,73,"X",60,"Class1",NA,"T",79.713
14.509,24,26.671,83.444,41.176,73,"R",67,"Class1",62.47,"T",80.053
39.261,66,38.21,42.694,89.668,68,"R",49,"Class2",47.227,"M",89.908
10.788,21,58.752,85.891,87.677,73,"W",57,"Class1",56.245,"T",80.279
41.853,60,33.79,52.484,80.787,73,"J",59,"Class2",47.36,"C",66.538
27.539,54,37.668,53.658,74.846,69,"E",52,"Class2",47.106,"M",76.333
28.752,23,38.767,81.086,93.962,72,"U",49,"Class1",73.974,"T",80.327
