"U1","U2","U3","Output20","U4","U5","U6","U7","U8","U9","U10","U11"
68.7,97,51.751,"Class1",80.344,39,"P",24.597,"O",39.586,51,78.461
71.55,38,72.321,"Class2",44.538,31,"N",54.825,"J",64.871,52,80.453
67.768,88,75.325,"Class1",58.147,61,"K",33.38,"T",34.025,50,51.024
27.01,61,42.753,"Class3",63.244,52,"H",70.543,"Q",68.172,90,86.693
66.159,87,67.008,"Class1",34.316,95,"P",27.87,"T",30.886,53,16.684
22.94,65,54.59,"Class3",80.614,60,"P",78.326,"E",67.564,90,93.387
72.56,40,73.463,"Class2",43.436,42,"C",53.969,"M",40.889,88,49.048
65.769,87,58.612,"Class1",50.965,37,"J",23.957,"L",36.332,51,76.76
74.227,66,61.218,"Class2",63.227,25,"C",26.675,"E",69.343,71,39.043
23.27,53,13.371,"Class3",75.397,51,"W",65.517,"S",68.454,90,NA
71.764,50,68.998,"Class2",35.177,44,"C",39.476,"E",47.341,81,65.364
34.362,70,44.315,"Class3",59.771,51,"F",75.161,"R",68.149,92,79.076
24.695,82,24.625,"Class3",66.977,60,"P",47.482,"Q",65.696,91,74.258
70.968,48,76.942,"Class2",113.877,46,"R",45.623,"M",52.417,66,34.47
23.323,66,48.567,"Class3",78.609,58,"W",77.796,"R",68.009,86,83.723
65.582,97,61.086,"Class1",66.63,41,"E",27.487,"C",29.724,65,NA
74.638,74,68.149,"Class2",90.077,48,"M",45.584,"J",70.467,76,56.063
24.609,69,69.282,"Class3",61.936,50,"P",70.299,"B",67.021,93,81.38
30.88,73,38.646,"Class3",57.646,54,"U",91.119,"B",67.594,83,90.741
70.644,31,70.222,"Class2",90.59,51,"U",42.921,"V",47.999,23,54.457
76.118,93,35.867,"Class1",32.846,34,"E",39.946,"T",38.29,65,85.85
71.979,30,60.644,"Class2",42.965,28,"U",44.582,"F",46.307,21,24.832
27.502,74,NA,"Class3",60.511,54,"P",74.459,"R",68.34,83,65.338
25.212,66,71.424,"Class3",65.147,56,"U",82.234,"Q",66.02,86,66.983
26.651,59,51.065,"Class3",51.01,57,"H",65.016,"R",68.6,83,67.908
72.565,54,61.549,"Class2",40.259,40,"U",42.848,"M",38.537,59,23.058
64.001,93,45.835,"Class1",57.333,71,"P",23.79,"L",39.969,65,16.457
17.817,78,38.41,"Class3",55.417,60,"U",48.864,"S",67.185,87,83.621
75.852,28,58.798,"Class2",61.247,49,"N",36.512,"M",55.983,28,56.306
63.519,92,51.167,"Class1",-0.005,35,"E",29.59,"R",29.131,52,34.216
34.915,68,66.589,"Class3",48.968,50,"P",20.892,"E",67.657,88,NA
28.52,50,52.734,"Class3",86.142,51,"U",58.191,"Q",67.696,87,79.459
57.217,89,69.744,"Class1",10.1,53,"J",27.72,"T",32.562,50,43.052
59.012,98,48.008,"Class1",56.782,58,"E",28.241,"R",34.908,52,41.384
34.422,76,38.718,"Class3",54.708,53,"H",33.329,"Q",65.419,84,96.285
27.229,74,38.238,"Class3",77.512,57,"F",86.441,"R",65.565,91,NA
29.646,79,NA,"Class3",68.567,49,"U",92.424,"Q",65.645,93,72.837
69.808,95,55.171,"Class1",55.011,73,"P",27.414,"O",25.939,60,20.705
71.248,46,61.221,"Class2",69.036,33,"M",52.526,"E",67.519,34,39.51
69.276,41,62.814,"Class2",42.006,51,"C",38.434,"V",54.271,55,44.211
75.501,26,69.227,"Class2",23.906,30,"R",47.253,"J",62.481,41,33.839
17.419,79,46.644,"Class3",68.586,55,"F",70.395,"E",65.106,92,67.765
76.639,93,66.084,"Class1",63.448,65,"D",27.756,"T",35.364,51,32.659
71.198,47,62.959,"Class2",70,23,"N",47.304,"J",43.482,84,60.368
22.479,61,46.11,"Class3",76.008,49,"F",78.424,"E",68.751,88,97.236
72.522,35,65.859,"Class2",-7.491,19,"N",47.261,"F",68.397,78,27.884
19.068,59,75.523,"Class3",73.38,56,"U",71.438,"R",68.004,86,71.392
74.345,95,NA,"Class1",47.209,97,"E",20.28,"O",26.597,62,40.647
75.194,67,66.821,"Class2",72.362,34,"N",48.878,"F",54.273,44,55.392
65.78,89,NA,"Class1",75.713,77,"D",22.92,"O",25.103,63,29.549
75.297,35,65.089,"Class2",13.022,33,"M",27.459,"E",56.289,38,23.688
73.74,28,61.768,"Class2",17.68,17,"C",44.118,"M",40.745,29,63.96
71.387,45,67.614,"Class2",61.129,41,"C",40.163,"J",59.634,27,56.551
34.19,77,60.635,"Class3",69.721,50,"W",55.253,"E",67.394,89,66.253
23.832,53,40.394,"Class3",62.328,55,"P",75.043,"E",66.837,85,93.369
70.183,44,62.728,"Class2",59.861,25,"C",35.033,"M",70.022,22,56.043
19.118,53,51.835,"Class3",67.585,51,"W",74.308,"B",65.174,84,79.478
68.51,88,56.889,"Class1",11.448,69,"D",22.272,"C",38.63,54,65.632
71.293,66,NA,"Class2",48.884,30,"U",51.613,"F",52.606,32,65.39
69.699,88,66.138,"Class1",12.248,79,"K",35.269,"C",23.75,60,48.929
72.784,30,63.147,"Class2",36.694,29,"R",44.407,"J",74.046,43,67.977
62.369,97,84.374,"Class1",6.371,55,"P",24.153,"O",30.079,50,33.863
70.982,94,64.539,"Class1",81.203,56,"D",29.824,"O",28.841,61,36.75
31.302,64,52.746,"Class3",57.874,57,"W",33.509,"B",67.747,93,65.033
68.753,95,51.567,"Class1",55.439,37,"J",29.894,"T",20.485,54,NA
72.241,53,75.193,"Class2",19.965,36,"U",56.084,"F",60.244,38,44.512
26.681,55,63.537,"Class3",54.067,59,"W",84.333,"B",66.901,85,79.659
72.175,30,61.266,"Class2",71.746,40,"R",44.78,"E",72.449,33,28.194
75.984,64,68.089,"Class2",69.694,20,"C",46.996,"E",61.242,42,60.005
32.17,74,69.064,"Class3",78.603,57,"F",66.642,"R",68.482,93,94.987
73.245,53,69.789,"Class2",49.163,20,"U",43.145,"V",74.093,28,23.672
66.364,90,44.582,"Class1",54.453,91,"D",26.422,"C",32.669,62,90.407
71.146,88,60.267,"Class1",61.186,46,"P",28.668,"L",39.828,62,50.466
74.697,74,65.55,"Class2",121.387,37,"N",44.309,"M",41.753,48,77.823
74.452,64,66.392,"Class2",61.031,48,"R",43.458,"M",67.866,68,75.256
20.853,81,35.551,"Class3",66.72,55,"W",73.718,"Q",65.439,84,63.562
17.506,67,77.535,"Class3",60.244,60,"P",37.541,"S",68.995,85,93.524
60.63,93,54.928,"Class1",64.918,77,"E",19.451,"T",22.7,64,NA
75.967,90,53.361,"Class1",81.389,46,"J",23.879,"O",37.764,52,76.97
68.476,92,58.719,"Class1",49.679,68,"K",26.609,"T",33.559,53,NA
74.78,79,66.678,"Class2",5.7,51,"N",36.329,"F",55.445,26,60.242
31.172,53,40.177,"Class3",58.533,55,"P",96.612,"B",67.076,87,69.547
71.73,69,65.467,"Class2",65.082,25,"R",42.505,"M",52.13,63,26.078
77.023,95,48.963,"Class1",31.438,81,"P",34.816,"T",31.041,62,31.025
32.107,84,48.127,"Class3",65.697,49,"F",95.509,"E",65.919,84,79.025
54.707,89,65.514,"Class1",94.755,56,"J",34.857,"O",37.613,62,26.625
30.64,80,23.589,"Class3",77.629,57,"U",73.802,"Q",65.789,87,95.935
32.691,54,30.508,"Class3",59.961,50,"F",70.142,"S",67.657,87,90.51
74.464,96,39.528,"Class1",68.038,96,"P",25.104,"O",28.249,62,21.502
21.898,53,87.74,"Class3",69.092,54,"W",73.067,"B",66.225,91,92.353
65.523,85,60,"Class1",61.819,53,"P",19.28,"C",25.839,54,30.793
20.837,50,44.491,"Class3",71.105,56,"U",81.183,"S",66.273,84,88.252
74.817,71,66.322,"Class2",49.501,42,"M",42.234,"J",43.583,88,38.658
69.801,44,68.545,"Class2",57.811,26,"M",43.392,"E",49.25,44,68.08
74.593,91,61.617,"Class1",24.952,80,"D",32.874,"C",29.747,54,41.065
54.876,97,52.295,"Class1",95.484,62,"K",25.365,"T",33.866,58,21.07
71.108,34,63.825,"Class2",63.459,17,"U",42.212,"J",54.132,68,37.742
56.833,91,32.833,"Class1",32.574,66,"D",25.898,"T",30.436,54,20.719
71.094,80,68.753,"Class2",45.59,47,"M",50.819,"V",50.175,59,38.915
33.035,72,40.594,"Class3",68.621,54,"W",49.02,"E",67.563,89,68.365
73.099,65,68.374,"Class2",-4.711,31,"R",42.513,"V",60.305,41,30.765
69.041,76,69.565,"Class2",60.196,31,"N",38.384,"E",59.179,75,81.983
73.15,72,58.072,"Class2",92.321,46,"U",43.336,"F",73.269,80,51.472
20.145,83,30.951,"Class3",77.836,59,"U",49.376,"S",68.796,89,80.427
70.065,70,66.029,"Class2",27.189,18,"C",48.502,"E",39.036,44,45.151
69.76,51,67.941,"Class2",34.339,32,"C",51.91,"F",65.697,68,84.207
32.451,78,49.902,"Class3",71.448,59,"U",56.853,"E",65.478,83,81.421
32.685,67,49.945,"Class3",52.802,53,"U",58.444,"E",66.583,92,78.135
27.108,69,48.846,"Class3",53.657,58,"H",65.642,"E",67.243,85,79.084
69.794,52,72.269,"Class2",18.875,42,"U",45.936,"J",49.447,51,60.762
30.128,48,35.568,"Class3",57.645,56,"W",56.215,"R",65.979,85,NA
18.392,49,56.79,"Class3",61.96,56,"P",41.571,"S",65.233,92,NA
72.422,28,59.27,"Class2",62.545,26,"R",47.098,"M",54.3,53,33.908
21.565,78,42.108,"Class3",60.716,51,"P",63.783,"B",65.022,92,NA
28.979,69,96.867,"Class3",78.85,60,"P",55.772,"E",67.161,91,87.887
65.705,93,43.261,"Class1",51.182,40,"J",22.837,"T",27.629,62,46.636
30.028,51,85.086,"Class3",78.909,56,"U",25.43,"R",67.808,85,73.924
75.252,95,65.292,"Class1",44.489,93,"K",36.84,"L",30.528,61,56.57
56.471,94,56.489,"Class1",-15.9,84,"E",33.401,"C",20.804,64,54.052
70.109,32,64.906,"Class2",93.394,46,"U",47.193,"J",40.508,54,85.239
70.87,68,73.329,"Class2",59.346,35,"U",51.839,"F",72.904,70,72.378
72.199,72,66.624,"Class2",90.167,51,"C",38.048,"M",51.634,85,59.86
69.544,88,60.952,"Class1",40.355,76,"K",31.554,"O",22.483,59,40.791
75.529,44,64.848,"Class2",-4.717,49,"M",44.72,"E",40.517,89,79.218
62.78,92,55.782,"Class1",65.486,46,"P",41.828,"C",33.838,65,36.732
59.36,91,63.327,"Class1",71.461,36,"K",37.025,"L",29.214,54,53.687
71.354,90,39.11,"Class1",-5.645,90,"E",27.594,"R",22.195,54,84.771
73.06,72,67.302,"Class2",51.398,17,"U",46.509,"M",63.611,55,80.805
75.629,60,65.904,"Class2",48.824,38,"C",49.977,"M",65.748,85,72.146
18.353,67,53.961,"Class3",73.402,55,"F",53.263,"Q",65.725,85,74.857
24.401,74,75.654,"Class3",36.27,60,"W",54.686,"S",68.824,90,70.869
75.773,51,74.02,"Class2",11.705,31,"N",56.797,"E",65.726,46,28.263
29.464,61,51.775,"Class3",80.831,50,"P",47.46,"S",68.108,89,68.924
66.7,93,42.43,"Class1",4.045,98,"D",32.795,"C",27.751,64,91.924
17.696,74,21.421,"Class3",64.854,55,"P",99.618,"B",67.663,89,71.282
79.874,94,39.062,"Class1",32.956,33,"J",39.24,"C",32.875,62,19.696
74.13,36,55.173,"Class2",31.141,42,"N",51.525,"M",72.826,69,56.776
55.159,97,53.487,"Class1",23.818,93,"P",28.798,"T",36.901,55,22.576
71.54,92,59.474,"Class1",82.877,75,"J",21.51,"O",39.356,55,28.388
24.203,55,NA,"Class3",68.968,49,"F",51.326,"R",68.575,92,66.774
73.142,47,72.113,"Class2",37.58,18,"R",51.466,"V",48.159,73,64.326
70.592,93,NA,"Class1",35.113,92,"D",24.67,"T",37.939,65,49.131
18.586,65,6.128,"Class3",56.74,59,"F",45.102,"Q",68.183,91,85.226
68.654,85,33.805,"Class1",50.812,57,"D",21.213,"R",39.206,55,22.957
63.945,96,73.645,"Class1",29.042,42,"P",20.986,"L",25.062,50,90.136
78.515,97,59.647,"Class1",46.581,64,"K",25.015,"C",28.586,61,88.359
24.365,53,65.906,"Class3",60.883,60,"W",84.728,"B",67.254,92,95.467
70.556,34,72.68,"Class2",50.242,41,"N",43.48,"J",38.06,49,NA
72.622,76,61.213,"Class2",64.168,22,"R",48.795,"J",51.744,25,36.46
30.47,82,69.096,"Class3",63.494,50,"P",47.564,"E",65.345,84,83.693
23.088,80,56.304,"Class3",53.907,60,"H",49.973,"Q",68.881,90,66.486
25.386,55,92.029,"Class3",75.243,53,"H",43.726,"E",68.796,91,81.632
68.561,91,55.491,"Class1",35.289,64,"D",36.412,"R",31.901,65,38.721
27.532,83,25.324,"Class3",60.868,58,"F",83.374,"Q",68.824,93,94.18
74.245,65,61.472,"Class2",123.28,18,"C",48.335,"F",38.489,77,86.874
27.198,53,22.738,"Class3",79.279,55,"F",68.481,"B",67.238,87,91.672
74.873,43,62.816,"Class2",49.344,46,"R",37.301,"V",67.378,87,32.913
72.849,27,71.178,"Class2",37.498,40,"U",45.249,"E",37.489,34,23.456
73.135,48,65.901,"Class2",54.93,52,"C",48.91,"J",67.543,87,63.253
29.219,63,38.346,"Class3",67.545,59,"P",105.905,"B",67.344,89,92.775
27.399,55,47.987,"Class3",70.731,60,"W",61.634,"R",66.086,90,78.062
28.083,76,60.612,"Class3",77.083,56,"U",71.486,"R",65.619,92,90.515
57.826,89,56.43,"Class1",52.899,86,"P",23.885,"L",23.733,53,71.512
77.733,93,42.955,"Class1",72.509,78,"P",27.768,"T",39.634,53,23.995
74.836,25,74.623,"Class2",5.731,28,"M",40.96,"J",62.128,59,56.628
65.58,94,54.456,"Class1",59.332,73,"K",14.447,"T",22.544,64,36.96
58.458,87,56.662,"Class1",30.78,61,"D",26.642,"T",24.859,58,86.34
74.545,86,50.899,"Class1",12.821,62,"D",28.297,"L",29.909,59,62.319
77.614,98,61.729,"Class1",45.732,43,"D",25.88,"L",29.674,63,66.441
73.274,46,67.312,"Class2",17.984,38,"C",50.513,"E",59.048,79,35.97
74.004,44,76.123,"Class2",22.548,47,"U",39.885,"F",46.358,76,30.891
23.552,49,48.574,"Class3",70.025,59,"H",64.089,"B",65.751,83,68.95
68.223,96,65.022,"Class1",2.386,40,"E",29.158,"O",29.027,58,59.334
69.949,85,54.431,"Class1",90.67,90,"E",37.239,"C",38.618,62,54.611
68.865,85,66.227,"Class1",37.88,60,"P",27.673,"R",30.358,56,48.185
29.336,63,66.536,"Class3",64.243,51,"W",89.837,"S",67.527,92,68.384
71.246,79,59.218,"Class2",93.499,18,"N",40.712,"E",68.678,75,43.797
31.281,61,49.284,"Class3",63.592,53,"U",39.551,"S",65.763,87,97.091
25.123,84,39.272,"Class3",69.478,57,"F",105.493,"Q",67.398,93,63.898
23.892,81,32.93,"Class3",71.009,58,"F",54.211,"R",68.262,88,71.272
66.434,88,61.135,"Class1",52.922,96,"E",30.364,"C",35.309,50,54.317
74.46,40,57.813,"Class2",58.621,29,"M",44.507,"E",39.959,19,29.894
24.288,47,40.108,"Class3",60.42,52,"F",86.335,"E",68.512,83,76.9
24.97,71,84.588,"Class3",52.205,51,"H",30.467,"R",68.261,91,93.202
67.6,91,49.531,"Class1",72.053,74,"P",44.873,"R",32.658,57,48.863
71.37,80,73.811,"Class2",77.151,27,"C",41.247,"J",41.919,42,28.408
67.641,94,36.792,"Class1",84.895,87,"E",19.3,"R",23.597,53,51.221
69.786,89,76.137,"Class1",29.787,57,"K",25.332,"O",36.972,64,33.119
71.721,62,72.661,"Class2",109.499,17,"C",50.826,"V",72.511,81,33.666
76.324,90,42.066,"Class1",60.183,50,"P",29.86,"L",37.829,57,42.526
69.842,58,NA,"Class2",76.148,29,"R",48.216,"M",61.837,32,NA
22.921,63,55.749,"Class3",71.497,58,"H",43.784,"B",67.657,88,89.284
62.732,98,61.564,"Class1",31.792,46,"E",22.36,"T",20.453,59,15.265
72.624,95,56.379,"Class1",13.694,39,"K",7.616,"T",20.266,65,52.128
74.993,76,66.838,"Class2",52.777,23,"U",44.153,"E",48.139,89,NA
74.541,40,67.627,"Class2",47.633,38,"N",52.841,"J",67.488,56,48.396
32.267,64,50.504,"Class3",70.964,54,"U",55.415,"Q",67.689,86,89.159
75.778,75,66.559,"Class2",33.769,44,"C",43.913,"E",59.83,34,NA
28.027,70,51.25,"Class3",65.095,52,"H",74.096,"S",65.336,90,75.849
27.839,66,74.519,"Class3",61.229,59,"F",51.352,"B",65.93,91,74.677
60.95,88,24.168,"Class1",44.092,47,"J",28.743,"O",32.508,60,55.339
30.095,83,67.282,"Class3",80.007,59,"W",58.984,"E",67.393,86,82.375
62.632,93,50.994,"Class1",21.051,51,"P",26.053,"T",36.029,55,49.474
71.183,42,66.008,"Class2",25.517,39,"U",50.209,"E",39.315,81,73.989
73.39,92,NA,"Class1",57.978,94,"E",28.656,"O",24.436,65,15.828
74.979,94,NA,"Class1",62.972,85,"D",31.736,"T",36.729,54,82.899
56.584,87,50.44,"Class1",24.315,68,"P",26.388,"O",28.878,50,69.831
72.604,56,69.101,"Class2",95.503,30,"M",36.168,"F",59.967,33,66.063
71.831,88,65.126,"Class1",85.133,81,"E",28.463,"L",24.641,55,66.565
72.939,98,NA,"Class1",34.506,44,"K",38.014,"R",29.471,59,53.963
75.548,95,83.299,"Class1",37.888,41,"J",19.503,"L",28.232,61,37.224
78.634,91,53.687,"Class1",33.469,67,"D",32.322,"T",39.856,59,45.936
31.093,80,34.665,"Class3",66.973,60,"H",56.669,"B",67.385,92,72.562
21.111,55,32.988,"Class3",76.722,49,"W",81.81,"S",65.955,84,66.464
67.65,94,53.439,"Class1",115.797,57,"J",25.395,"O",29.404,55,24.028
71.559,98,46.508,"Class1",43.775,80,"E",35.996,"C",23.563,60,89.848
75.746,61,67.76,"Class2",49.11,23,"U",37.603,"F",59.377,87,84.524
69.043,52,64.726,"Class2",30.359,23,"U",45.481,"M",41.119,77,24.76
70.23,61,67.453,"Class2",81.856,29,"R",47.033,"V",47.84,73,47.686
69.079,71,57.486,"Class2",32.761,23,"N",47.804,"V",55.441,77,55.664
69.354,45,66.482,"Class2",78.257,52,"C",41.712,"J",53.676,43,86.132
76.684,86,73.668,"Class1",28.933,90,"E",29.204,"L",38.696,50,23.393
75.6,47,71.27,"Class2",49.234,25,"C",36.49,"E",63.14,21,31.433
71.87,67,68.545,"Class2",96.784,31,"C",42.623,"M",64.691,37,56.932
71.272,43,66.02,"Class2",17.894,43,"R",50.075,"M",54.103,44,68.954
28.739,60,65.651,"Class3",61.673,55,"P",116.046,"Q",67.811,86,84.535
69.317,94,53.524,"Class1",59.728,97,"K",34.652,"O",22.129,52,80.502
57.084,98,55.5,"Class1",39.179,64,"D",33.227,"L",27.58,55,86.044
25.209,81,58.343,"Class3",73.48,60,"H",59.15,"S",67.549,91,79.996
32.94,47,56.825,"Class3",44.493,60,"H",61.666,"R",67.433,86,85.687
18.825,79,46.515,"Class3",49.676,51,"W",60.799,"B",65.909,84,88.257
32.661,74,55.04,"Class3",67.834,50,"F",57.691,"E",67.483,88,71.566
70.884,33,73.696,"Class2",41.58,24,"N",42.811,"V",63.178,77,79.955
78.775,86,46.1,"Class1",15.943,92,"P",35.632,"C",29.972,60,18.18
28.855,54,53.772,"Class3",50.786,53,"W",50.729,"R",68.73,90,64.315
31.43,58,63.622,"Class3",64.94,58,"H",76.853,"R",68.427,84,83.973
64.895,98,55.394,"Class1",34.58,42,"K",26.337,"O",29.228,55,56.716
70.186,93,45.229,"Class1",89.615,57,"K",37.493,"T",27.038,53,31.326
19.42,64,NA,"Class3",80.871,57,"H",57.691,"Q",67.765,83,79.027
21.813,59,74.579,"Class3",72.936,51,"U",52.438,"E",68.327,85,92.036
62.963,89,45.019,"Class1",-14.676,66,"D",18.464,"O",37.959,52,51.419
65.315,97,58.688,"Class1",-22.427,42,"P",23.407,"O",31.097,53,78.371
62.362,96,55.742,"Class1",75.437,55,"P",23.235,"L",36.655,65,84.969
76.997,93,55.204,"Class1",29.741,69,"E",29.652,"O",37.821,60,55.902
28.119,78,41.909,"Class3",64.871,59,"F",35.99,"B",65.823,89,69.362
60.525,88,65.026,"Class1",39.065,77,"J",29.168,"R",28.614,52,73.918
73.981,38,64.924,"Class2",18.381,50,"R",57.78,"F",48.487,83,63.029
70.238,30,64.412,"Class2",58.469,28,"U",47.41,"V",43.073,42,37.565
74.276,41,56.419,"Class2",31.921,21,"M",39.855,"J",54.448,69,63.01
72.067,80,58.866,"Class2",20.962,27,"N",50.443,"E",66.393,78,43.947
21.644,83,42.842,"Class3",74.186,58,"H",63.474,"E",66.012,85,69.555
66.147,86,74.227,"Class1",49.501,79,"E",25.693,"O",20.082,56,31.162
23.947,60,43.483,"Class3",72.941,54,"H",76.836,"R",66.267,89,79.212
34.593,59,40.637,"Class3",74.657,59,"U",97.228,"S",65.241,85,90.941
21.796,70,40.323,"Class3",71.362,51,"F",53.433,"B",68.807,87,65.471
79.095,92,57.882,"Class1",50.264,90,"E",26.63,"C",37.592,51,79.999
58.472,85,56.264,"Class1",19.332,71,"D",29.793,"T",26.947,65,91.033
27.868,53,53.37,"Class3",69.947,53,"F",43.813,"Q",68.94,88,75.738
71.282,34,66.401,"Class2",40.478,19,"C",55.775,"J",50.301,56,50.142
58.705,87,54.307,"Class1",70.206,40,"E",31.797,"L",25.626,52,40.473
74.492,62,62.455,"Class2",64.319,43,"C",41.581,"E",70.358,53,61.961
33.161,79,36.961,"Class3",74.589,49,"U",62.84,"R",68.799,83,79.438
56.15,93,48.965,"Class1",44.32,82,"D",26.11,"C",35.157,52,17.986
79.632,87,55.921,"Class1",71.055,70,"P",23.005,"O",36.2,59,79.201
20.17,49,48.156,"Class3",64.519,55,"F",52.336,"B",65.577,91,65.519
70.264,98,56.567,"Class1",27.448,68,"J",27.555,"R",37.376,50,27.024
67.662,97,53.685,"Class1",23.262,42,"E",30.918,"T",30.869,55,38.829
62.905,86,73.577,"Class1",46.235,94,"D",25.859,"O",34.501,62,37.202
72.702,66,67.261,"Class2",77.445,45,"N",41.944,"E",66.945,73,70.889
26.046,60,27.631,"Class3",58.194,54,"W",66.42,"Q",65.762,88,83.414
28.647,79,32.125,"Class3",69.078,58,"F",75.266,"S",68.089,85,97.394
23.69,55,0.716,"Class3",63.63,50,"W",82.256,"S",65.693,85,87.133
75.309,74,58.164,"Class2",76.506,39,"M",37.023,"J",68.878,42,66.549
60.613,86,25.407,"Class1",84.754,94,"E",27.119,"R",27.375,63,85.712
72.822,96,52.119,"Class1",80.921,59,"E",27.095,"O",31.948,64,29.281
21.599,83,52.954,"Class3",88.448,52,"P",90.777,"R",65.893,88,65.026
76.83,94,47.35,"Class1",46.027,40,"E",35.091,"T",39.541,59,14.63
78.596,88,52.991,"Class1",90.329,58,"K",20.614,"O",21.976,56,32.313
74.762,34,70.338,"Class2",64.884,46,"C",42.394,"J",63.94,42,78.118
64.496,95,59.123,"Class1",49.916,36,"D",30.852,"C",20.724,61,47.389
72.723,32,73.251,"Class2",62.664,24,"M",57.058,"M",70.865,48,32.813
69.778,36,62.126,"Class2",-11.104,24,"N",48.045,"V",64.234,89,59.234
71.435,80,64.807,"Class2",35.909,48,"M",56.644,"E",71.369,61,30.322
58.403,90,76.493,"Class1",67.6,78,"E",22.648,"L",39.32,62,NA
20.531,79,44.503,"Class3",52.036,49,"U",76.975,"B",66.233,87,67.477
74.461,36,76.753,"Class2",54.966,22,"N",50.41,"J",71.065,80,36.581
59.9,89,46.625,"Class1",43.914,43,"P",27.409,"O",39.65,52,NA
28.858,82,20.456,"Class3",66.19,55,"H",59.842,"Q",67.199,85,97.882
70.224,85,73.61,"Class1",77.166,42,"D",29.473,"L",30.162,50,87.711
61.438,90,58.965,"Class1",-14.797,43,"J",26.159,"R",29.709,65,32.995
28.274,78,80.041,"Class3",63.378,59,"U",42.042,"S",65.694,92,71.065
76.137,98,42.043,"Class1",64.123,83,"D",20.222,"O",35.335,58,21.408
73.418,66,71.245,"Class2",30.522,39,"M",49.603,"F",54.735,34,39.541
27.546,69,NA,"Class3",79.085,53,"P",13.512,"E",66.874,87,74.773
64.824,87,47.848,"Class1",61.379,45,"E",36.55,"T",32.288,53,78.19
71.908,62,70.87,"Class2",10.591,41,"M",49.854,"J",72.399,79,71.415
65.334,91,66.457,"Class1",45.356,33,"E",29.586,"T",24.616,51,32.928
