"Output4","E1","E2","E3","E4","E5","E6","E7","E8","E9","E10","E11"
"Class3",31,28,55.494,72.547,93.393,"F",34.292,82,46.687,"Z",59.595
"Class3",32,85,46.704,23.638,93.869,"T",39.682,74,48.565,"A",57.191
"Class2",58,94,60.621,20.376,31.466,"F",30.327,58,-0.971,"U",42.59
"Class2",78,94,59.233,11.448,32.817,"F",40.815,51,8.975,"L",63.022
"Class3",34,80,52.084,36.038,74.108,"L",55.54,74,46.781,"A",63.022
"Class1",20,80,57.078,67.946,95.533,"H",61.882,37,NA,"R",26.313
"Class1",33,69,63.376,92.333,80.784,"F",64.91,45,37.55,"C",16.607
"Class4",33,74,48.652,71.792,78.17,"M",45.194,64,58.197,"U",78.186
"Class4",3,76,47.05,24.989,72.399,"M",45.79,48,49.966,"T",85.094
"Class1",6,72,86.451,84.509,43.184,"Q",59.838,51,42.169,"K",26.228
"Class2",93,94,59.006,8.091,40.977,"H",33.654,58,17.278,"J",66.743
"Class2",67,93,60.631,5.75,44.895,"F",45.516,54,8.616,"B",73.694
"Class2",57,92,58.996,21.387,46.329,"L",34.39,68,22.249,"J",67.745
"Class3",36,60,47.323,22.966,78.593,"F",55.011,84,45.876,"P",60.58
"Class4",37,96,22.97,36.801,72.126,"M",44.972,52,NA,"B",74.61
"Class3",29,36,58.178,52.061,79.046,"V",31.199,76,37.456,"P",54.728
"Class2",49,94,60.21,3.191,35.638,"J",34.798,59,3.502,"L",45.078
"Class2",43,94,61.212,17.105,45.327,"O",30.22,67,16.464,"V",49.053
"Class1",7,70,74.58,73.942,71.934,"Q",57.327,37,40.988,"U",27.756
"Class2",51,93,57.676,10.569,39.101,"L",49.206,61,25.24,"U",42.234
"Class4",34,83,46.536,52.171,86.72,"U",46.384,56,52.987,"U",64.501
"Class1",17,78,79.702,69.745,42.756,"F",47.62,19,50.989,"J",23.047
"Class4",29,88,71.84,62.034,82.776,"E",45.981,50,51.8,"T",70.109
"Class4",11,68,10.828,40.408,72.273,"L",45.002,58,55.021,"T",70.526
"Class3",35,77,48.718,NA,89.396,"V",48.068,85,53.935,"M",59.324
"Class2",99,93,59.998,16.622,45.586,"J",26.027,63,20.71,"U",43.932
"Class1",21,73,50.086,NA,46.812,"F",58.439,70,52.608,"J",19.368
"Class1",21,72,73.579,71.697,80.604,"F",56.536,28,54.323,"R",24.309
"Class2",74,93,59.528,21.652,34.346,"L",31.16,56,12.288,"L",45.327
"Class3",36,32,53.752,32.234,90.125,"T",44.138,90,59.251,"M",50.309
"Class3",31,28,47.765,23.616,73.924,"T",34.833,78,53.003,"D",52.186
"Class1",33,73,76.568,82.614,87.542,"Q",74.437,67,58.866,"U",24.603
"Class4",21,65,63.603,36.728,83.204,"E",45.957,55,59.303,"U",94.692
"Class2",52,92,57.098,12.182,26.193,"F",22.944,71,5.745,"L",52.227
"Class3",28,52,48.504,71.511,89.674,"V",44.296,74,67.009,"A",49.285
"Class1",26,80,79.925,75.022,55.398,"F",84.362,41,40.691,"U",15.004
"Class4",39,67,70.309,47.757,75.622,"L",45.758,57,51.458,"D",88.44
"Class4",21,64,57.394,28.72,84.78,"L",45.73,53,50.817,"B",83.895
"Class4",34,75,47.408,31.26,74.861,"E",45.132,51,58.628,"T",91.429
"Class4",19,69,80.295,28.601,64.356,"J",45.758,56,60.031,"B",78.514
"Class1",26,67,70.191,88.492,55.359,"I",82.034,24,50.032,"C",21.85
"Class2",88,92,59.49,23.998,40.304,"H",43.278,67,-0.208,"L",69.179
"Class1",3,79,60.209,87.682,82.741,"E",50.551,17,60.101,"U",28.576
"Class4",1,56,70.359,73.079,57.933,"J",44.961,50,53.951,"B",75.944
"Class3",30,69,52.745,55.39,81.871,"L",40.892,83,61.456,"P",56.565
"Class1",24,80,74.768,63.367,83.897,"I",58.772,69,59.974,"C",18.15
"Class4",6,57,35.124,32.497,80.712,"E",45.178,50,47.91,"T",81.062
"Class3",31,41,61.261,61.055,88.554,"O",43.24,84,35.498,"D",57.707
"Class3",31,64,55.345,NA,93.16,"V",39.208,93,59.033,"P",57.317
"Class3",35,67,57.861,34.359,77.41,"T",42.69,74,43.486,"P",57.3
"Class3",28,53,60.64,35.444,74.758,"F",38.099,76,49.103,"M",52.522
"Class1",9,77,37.789,63.803,68.998,"Q",62.63,55,NA,"U",27.633
"Class1",17,79,79.554,92.29,55.253,"H",52.211,19,52.593,"K",26.938
"Class2",46,94,60.325,9.817,41.62,"O",40.393,69,27.285,"J",72.837
"Class2",71,92,58.938,19.465,42.937,"L",32.954,50,15.333,"U",59.662
"Class4",39,92,68.457,40.92,53.894,"U",45.453,52,61.023,"B",76.557
"Class4",6,95,56.908,64.421,58.065,"U",44.916,52,53.212,"U",93.436
"Class1",12,70,60.602,67.746,79.879,"H",64.43,28,35.264,"R",23.011
"Class2",48,92,59.999,16.08,37.331,"H",26.464,49,20.219,"B",64.624
"Class4",32,58,40.392,NA,56.767,"U",45.018,50,54.637,"U",90.203
"Class2",64,92,62.193,10.7,49.968,"F",29.081,54,-1.321,"U",61.828
"Class4",9,91,41.438,67.491,46.713,"M",45.132,55,52.799,"D",87.71
"Class2",93,94,61.935,17.83,49.751,"F",29.953,49,2.194,"B",58.423
"Class3",31,17,40.43,44.361,81.08,"L",48.625,93,49.119,"P",55.559
"Class1",12,79,82.609,91.67,95.638,"H",47.307,31,45.046,"J",20.478
"Class1",4,77,92.872,65.303,46.254,"Q",47.403,34,37.802,"U",29.684
"Class2",51,94,59.753,8.82,36.924,"O",28.762,59,16.482,"B",70.826
"Class2",82,94,60.48,16.62,41.997,"J",26.334,70,15.013,"L",46.718
"Class1",6,79,71.109,81.704,49.95,"E",68.694,37,42.033,"R",20.735
"Class1",8,74,60.629,63.443,90.647,"F",52.403,64,46.428,"R",23.763
"Class1",5,79,76.531,84.369,73.356,"I",63.726,38,35.502,"U",20.789
"Class2",65,93,59.3,10.058,30.894,"H",23.678,70,33.127,"U",62.492
"Class1",31,70,61.15,62.513,68.533,"H",52.436,35,NA,"K",20.373
"Class3",35,29,42.878,69.191,80.714,"L",63.724,90,76.313,"M",65.03
"Class4",13,69,54.733,40.472,48.487,"M",45.029,50,53.028,"U",94.554
"Class3",32,67,54.891,32.166,74.816,"T",29.977,85,60.348,"A",65.926
"Class2",88,94,58.93,7.143,38.565,"H",48.403,51,14.617,"U",52.962
"Class1",29,75,81.47,64.852,48.342,"H",55.045,72,62.88,"K",26.461
"Class3",32,25,54.207,48.424,83.976,"O",53.982,93,45.114,"A",53.986
"Class2",78,94,59.271,21.596,45.79,"J",27.999,56,-2.151,"J",71.075
"Class2",82,94,59.09,10.753,40.895,"J",30.188,60,14.101,"L",69.902
"Class1",14,71,61.975,68.898,38.833,"Q",77.055,53,38.428,"R",21.817
"Class4",8,86,55.408,33.35,66.326,"L",45.511,58,53.778,"D",72.917
"Class1",8,69,64.754,74.912,92.931,"Q",41.968,31,53.856,"C",20.579
"Class1",6,68,55.607,73.838,71.675,"I",47.167,30,67.913,"R",28.544
"Class2",87,92,59.06,4.887,27.988,"F",28.176,67,6.431,"L",52.825
"Class1",27,76,65.107,83.735,53.074,"I",70.023,50,48.68,"K",19.004
"Class1",18,70,71.384,70.874,64.727,"H",62.709,20,26.893,"J",28.662
"Class1",17,68,74.252,72.876,94.462,"I",30.728,60,60.018,"C",26.167
"Class2",71,92,60.515,20.071,38.045,"O",28.309,61,8.123,"U",56.563
"Class2",94,92,60.766,13.403,38.675,"H",34.49,59,11.055,"B",59.469
"Class1",29,72,65.49,89.572,84.865,"E",71.558,69,57.309,"C",18.895
"Class1",22,72,72.073,70.302,89.582,"I",69.533,16,31.909,"C",17.53
"Class4",20,67,59.604,57.674,86.75,"M",45.852,55,52.991,"T",69.17
"Class2",82,94,58.728,19.877,29.013,"L",27.78,52,7.703,"B",70.433
"Class3",29,61,50.825,71.184,73.334,"L",43.221,81,41.146,"D",49.841
"Class3",30,62,52.567,25.94,91.265,"F",39.489,88,72.165,"A",63.095
"Class1",19,79,84.286,84.363,38.671,"F",47.19,39,48.3,"C",23.617
"Class1",23,81,58.961,77.507,47.052,"Q",72.76,29,39.389,"J",21.633
"Class1",3,69,87.369,79.124,79.475,"H",62.471,71,72.725,"J",24.16
"Class3",29,87,49.206,30.266,85.967,"O",51.807,94,46.032,"D",53.608
"Class4",19,68,43.959,66.543,72.197,"J",45.722,63,47.627,"D",85.171
"Class3",36,62,52.275,71.463,76.422,"F",46.751,90,33.127,"M",50.291
"Class4",19,60,54.086,59.822,65.088,"J",45.013,58,51.874,"H",68.23
"Class1",12,71,82.086,82.994,42.491,"H",64.237,55,63.836,"U",24.311
"Class2",86,93,59.504,3.887,27.358,"O",33.847,60,1.182,"V",46.633
"Class2",45,93,58.214,9.72,30.5,"J",31.228,61,-2.306,"B",56.127
"Class3",35,35,49.301,41.969,75.763,"L",31.105,77,69.061,"A",57.943
"Class2",44,92,58.343,10.892,27.143,"F",27.963,60,17.465,"B",49.082
"Class4",29,68,41.882,25.21,45.737,"E",45.42,60,59.803,"D",76.345
"Class2",89,92,60.731,15.578,42.593,"O",26.142,71,12.68,"U",67.764
"Class2",70,94,57.989,11.977,34.66,"F",43.951,56,-1.619,"B",72.168
"Class1",14,77,94.714,65.911,95.75,"I",69.119,52,66.338,"J",15.28
"Class4",22,75,29.804,51.501,63.341,"U",45.264,49,49.351,"H",66.645
"Class4",32,82,28.964,62.29,85.261,"J",45.631,65,50.018,"B",90.026
"Class4",28,86,57.028,34.223,77.593,"J",45.723,56,54.041,"U",65.253
"Class2",58,93,58.907,22.547,28.75,"L",30.298,65,19.316,"B",75.343
"Class1",29,80,77.312,86.7,72.738,"I",71.83,56,63.107,"J",29.247
"Class4",28,76,42.54,69.42,79.621,"J",45.852,56,53.461,"T",91.138
"Class2",92,92,56.965,9.385,41.346,"L",35.825,56,19.031,"L",55.892
"Class4",32,76,37.194,31.26,81.728,"J",45.59,62,57.348,"T",63.675
"Class4",38,81,63.267,45.267,78.967,"E",45.232,55,56.619,"H",79.819
"Class3",31,73,41.782,44.67,90.47,"V",42.23,78,43.776,"P",49.217
"Class3",28,31,47.011,29.821,87.274,"O",29.109,74,72.688,"A",60.57
"Class2",41,92,61.536,17.722,47.199,"H",24.299,63,5.829,"B",51.433
"Class2",36,93,59.637,12.21,42.601,"O",35.423,60,NA,"B",53.782
"Class2",76,94,61.165,NA,26.058,"O",36.148,65,18.109,"L",76.175
"Class4",22,68,29.961,65.184,86.423,"L",45.244,53,54.696,"T",84.216
"Class3",30,47,53.963,58.244,86.339,"V",26.824,89,69.294,"Z",62.072
"Class3",31,87,44.693,30.025,86.078,"T",46.445,88,34.252,"P",64.601
"Class4",12,59,44.026,58.575,50.157,"E",45.736,52,52.681,"U",77.933
"Class1",19,71,72.971,64.532,89.08,"Q",58.786,52,53.557,"C",20.159
"Class1",33,73,71.558,75.789,91.307,"E",68.462,41,38.027,"J",28.033
"Class1",14,69,70.115,68.504,92.427,"Q",80.774,62,62.122,"J",29.608
"Class3",29,18,63.422,53.623,87.506,"T",43.965,93,75.499,"M",50.251
"Class4",23,67,55.038,67.204,85.778,"M",45.63,60,51.835,"D",67.581
"Class4",28,81,50.284,58.391,55.839,"L",45.453,63,60.393,"U",80.805
"Class1",16,74,63.446,77.931,40.177,"F",38.067,57,46.321,"K",29.719
"Class3",34,44,44.157,65.184,93.295,"L",18.602,85,56.919,"M",57.706
"Class3",34,67,59.116,34.929,81.617,"O",38.745,87,46.052,"Z",54.474
"Class3",29,21,43.252,71.636,76.479,"L",34.305,84,85.484,"D",54.652
"Class4",24,94,37.62,37.05,83.614,"U",45.631,59,53.882,"B",62.022
"Class4",26,65,54.739,42.456,66.673,"M",46.417,59,61.283,"H",62.582
"Class2",98,94,61.201,13.281,29.581,"H",27.645,49,15.168,"U",76.375
"Class4",35,66,58.636,65.752,75.643,"J",45.259,54,57.551,"H",65.809
"Class4",31,91,57.541,58.871,82.632,"L",44.977,51,54.84,"U",91.911
"Class4",36,87,27.166,41.328,70.947,"M",45.319,62,49.946,"D",71.894
"Class1",4,79,76.856,80.267,48.611,"Q",37.925,26,NA,"K",19.015
"Class1",22,73,47.438,90.178,47.075,"Q",48.18,38,45.118,"K",22.017
"Class4",25,65,35.834,66.276,76.667,"E",45.802,51,51.422,"U",91.474
"Class3",33,44,40.948,54.47,86.732,"T",42.216,92,28.539,"P",61.176
"Class1",32,72,87.809,67.777,52.056,"E",61.105,33,56.144,"R",17.501
"Class1",21,77,76.263,67.204,89.171,"H",54.043,30,38.611,"U",19.839
"Class1",26,79,65.854,NA,61.791,"H",54.064,21,55.302,"K",27.331
"Class2",64,93,58.12,NA,40.715,"H",35.321,66,24.516,"J",59.432
"Class3",36,87,46.313,46.993,78.191,"F",54,74,23.227,"M",60.931
"Class4",27,90,17.492,23.553,51.772,"E",45.699,50,54.783,"U",72.565
"Class2",90,94,58.809,10.034,38.965,"F",36.634,65,23.056,"U",52.88
"Class2",96,94,59.846,3.105,31.35,"O",29.306,65,-5.881,"L",75.085
"Class1",17,81,64.117,86.661,89.801,"Q",32.486,23,33.769,"R",20.027
"Class3",36,74,56.305,54.807,86.233,"L",42.842,80,40.04,"Z",58.534
"Class1",26,74,86.908,78.756,59.811,"H",55.918,69,31.187,"U",19.538
"Class4",8,87,74.9,65.199,65.49,"E",45.224,63,59.347,"U",61.215
"Class2",78,92,56.557,4.427,27.315,"L",35.362,60,2.661,"J",61.835
"Class2",60,93,58.744,13.336,39.713,"J",33.01,71,NA,"V",68.539
"Class1",10,68,79.687,79.778,78.119,"F",21.798,43,55.273,"U",29.921
"Class2",70,94,59.527,19.325,48.93,"H",32.084,70,26.541,"U",70.681
"Class3",32,59,51.512,47.137,92.737,"F",41.047,75,64.502,"D",56.255
"Class1",4,73,71.876,65.683,54.744,"E",67.691,47,34.404,"J",15.532
"Class4",29,92,24.961,50.403,51.733,"E",45.289,53,55.947,"T",88.268
"Class1",29,75,79.254,67.756,57.396,"E",79.162,66,54.416,"J",29.763
"Class1",4,77,66.155,81.249,72.393,"H",36.185,50,39.305,"U",25.083
"Class3",29,63,53.992,NA,80.923,"F",48.185,87,56.542,"A",53.6
"Class1",32,77,60.184,67.483,78.771,"F",64.772,31,70.723,"C",29.516
"Class4",4,85,69.581,61.883,53.178,"E",45.752,64,60.325,"T",61.965
"Class4",23,54,63.097,22.702,82.771,"E",45.84,51,50.153,"U",82.194
"Class3",33,24,45.248,53.305,77.331,"F",31.643,76,35.655,"A",65.639
"Class1",23,78,77.103,75.413,91.693,"E",62.015,56,34.637,"C",26.891
"Class4",19,77,80.806,53.572,72.527,"M",45.385,57,56.931,"B",64.066
"Class2",63,94,60.355,3.98,41.798,"L",32.447,66,16.838,"U",74.575
"Class3",33,17,60.883,28.483,89.66,"O",39.196,84,29.133,"Z",57.43
"Class1",9,67,84.099,71.896,69.965,"H",72.437,18,61.939,"R",28.308
"Class3",35,78,42.991,24.421,85.21,"F",37.036,84,37.675,"A",61.215
"Class4",27,91,2.292,44.357,85.449,"L",45.707,59,54.001,"U",63.924
"Class3",34,53,41.099,25.127,75.514,"L",61.865,78,83.928,"M",63.199
"Class2",90,94,60.405,15.305,43.961,"L",26.265,70,2.704,"B",75.348
"Class3",32,14,47.597,43.851,86.339,"V",24.463,91,54.511,"D",52.466
"Class2",43,94,59.027,10.498,48.086,"J",20.111,64,20.667,"B",55.165
"Class4",26,60,63.432,65.359,60.226,"J",45.732,64,63.928,"D",84.134
"Class3",29,50,51.769,48.906,75.882,"F",44.575,88,72.068,"Z",52.74
"Class3",33,79,55.898,42.452,91.132,"L",46.797,90,61.659,"Z",52.016
"Class2",60,94,58.211,3.426,35.007,"H",40.672,67,25.442,"B",56.672
"Class1",22,81,72.472,66.548,84.814,"I",36.681,68,47.058,"U",26.39
"Class3",28,38,56.177,42.115,82.071,"V",38.988,80,76.767,"D",63.183
"Class1",26,81,77.12,NA,73.97,"H",50.394,34,71.019,"J",16.221
"Class3",36,80,46.135,50.097,79.549,"F",36.12,94,42.368,"Z",52.341
"Class1",27,73,78.584,75.086,45.489,"F",67.435,40,34.426,"R",20.123
"Class3",30,79,50.071,41.338,84.113,"V",46.735,88,64.061,"M",60.295
"Class1",27,70,72.515,69.216,62.202,"Q",29.123,25,62.198,"C",15.838
"Class4",12,59,60.886,41.298,65.937,"L",45.555,49,58.828,"D",76.146
"Class4",37,78,40.795,49.45,61.33,"L",45.67,56,51.115,"T",75.052
"Class4",13,51,55.127,NA,86.749,"E",45.576,55,57.983,"D",77.738
"Class3",34,26,39.32,NA,84.409,"V",32.637,77,60.635,"A",61.681
"Class3",35,80,47.224,30.291,90.589,"F",45.119,75,34.491,"M",52.605
"Class1",12,70,69.295,65.965,58.043,"Q",52.908,52,46.198,"R",26.384
"Class4",17,64,23.307,42.519,67.648,"U",45.415,48,58.078,"D",85.986
"Class2",98,93,63.061,7.1,45.086,"H",32.155,69,19.534,"L",58.806
"Class3",35,23,43.255,44.573,80.48,"F",52.081,92,43.407,"A",54.866
"Class3",36,29,38.216,26.873,79.77,"V",34.646,75,52.418,"M",58.389
"Class3",32,63,42.489,60.526,88.489,"V",53.215,81,87.487,"P",60.069
"Class2",77,92,58.786,19.162,32.927,"H",32.039,55,12.129,"B",54.795
"Class4",20,64,92.888,55.788,78.124,"U",45.347,64,53.012,"T",84.159
"Class1",21,70,96.276,71.936,61.796,"I",38.105,49,67.487,"U",24.408
"Class2",88,93,58.074,5.03,31.478,"O",34.258,64,NA,"L",66.157
"Class1",11,70,106.659,62.39,97.112,"F",64.267,53,21.231,"K",29.865
"Class2",36,92,60.484,12.242,26.491,"O",39.21,53,19.549,"L",57.688
"Class4",19,89,41.475,65.071,76.407,"M",45.585,50,54.505,"H",77.073
"Class1",17,67,82.992,72.702,77.763,"I",34.018,33,51.71,"C",15.939
"Class3",32,52,54.539,53.406,79.796,"O",31.851,81,54.617,"A",54.292
"Class2",39,92,57.933,12.499,32.581,"F",25.551,51,4.812,"L",56.994
"Class4",16,77,40.763,23.655,47.706,"L",45.436,56,52.965,"T",67.722
"Class4",15,96,52.712,60.299,70.154,"M",45.396,61,51.705,"B",90.445
"Class3",32,37,52.281,38.539,93.302,"T",42.777,89,53.45,"D",49.548
"Class4",20,59,41.484,43.005,81.733,"E",45.65,52,54.666,"B",83.963
"Class2",89,94,61.45,18.783,26.683,"O",16.134,62,6.458,"B",47.953
"Class2",42,94,57.543,9.338,48.479,"H",33.061,67,18.166,"J",55.588
"Class1",5,74,79.888,85.318,97.34,"Q",68.794,43,53.686,"C",28.441
"Class4",27,96,81.525,NA,49.152,"L",45.311,63,54.312,"U",83.508
"Class2",70,93,56.213,22.113,41.743,"F",21.907,67,29.481,"L",47.874
"Class3",29,12,62.047,61.794,81.085,"L",49.203,92,66.701,"M",50.33
"Class2",82,92,58.5,3.093,44.525,"J",30.875,56,16.563,"U",61.415
"Class3",32,23,47.623,67.707,73.069,"V",33.028,83,55.891,"D",64.632
"Class2",87,94,58.13,18.174,39.935,"L",39.556,65,11.573,"L",77.297
"Class2",43,92,59.867,7.961,26.204,"H",23.919,63,14.425,"V",62.183
"Class4",20,58,47.341,34.658,64.267,"J",44.95,63,52.074,"U",95.793
"Class2",51,92,58.805,18.667,33.365,"F",27.453,50,14.286,"V",63.933
"Class4",18,55,68.207,27.098,74.834,"M",45.332,58,55.818,"D",92.112
"Class4",29,54,51.153,64.181,48.861,"J",45.335,54,56.831,"H",93.073
"Class3",34,37,50.982,44.303,92.797,"L",39.522,84,63.485,"A",62.873
"Class3",30,62,46.514,62.921,76.385,"V",36.056,77,22.643,"P",53.685
"Class3",34,12,50.323,NA,74.4,"F",39.212,83,27.693,"Z",55.942
"Class3",36,33,47.365,24.653,91.265,"F",35.433,83,35.755,"P",50.341
"Class3",28,73,49.759,70.43,74.517,"V",46.086,78,49.674,"D",52.896
"Class1",17,70,76.782,86.353,62.944,"E",60.407,64,57.539,"C",25.872
"Class4",32,87,57.079,47.886,69.92,"M",45.295,50,54.725,"B",63.68
"Class1",11,78,55.662,85.694,70.074,"H",53.659,39,43.159,"J",29.251
"Class4",22,93,49.235,50.146,55.082,"L",45.28,51,59.187,"B",74.492
"Class2",78,92,62.546,12.309,27.507,"O",33.081,49,10.317,"L",69.877
"Class4",33,65,61.525,NA,62.671,"U",45.372,56,52.895,"D",78.436
"Class3",29,72,48.264,31.713,74.561,"O",40.133,88,53.044,"P",62.444
"Class4",22,63,37.642,NA,76.16,"E",45.63,58,NA,"B",88.442
"Class3",31,68,43.453,46.537,79.438,"F",43.152,75,31.011,"P",64.599
"Class1",25,71,69.804,82.171,66.605,"H",55.15,28,51.409,"C",22.232
"Class3",34,59,51.422,NA,80.22,"F",43.794,79,45.323,"A",64.235
"Class2",83,93,57.02,4.807,49.99,"O",22.137,68,20.459,"J",75.553
"Class3",35,53,45.577,39.229,76.496,"T",38.84,94,56.253,"A",60.131
"Class4",20,86,72.307,52.649,76.982,"U",45.204,55,54.299,"H",71.317
"Class4",33,59,39.696,45.683,80.843,"U",45.64,61,NA,"B",84.09
"Class3",34,16,60.959,22.72,91.096,"O",43.635,85,75.141,"Z",65.259
"Class1",20,67,77.26,86.047,88.163,"E",59.887,54,53.237,"R",18.721
"Class2",80,93,59.212,7.951,26.827,"O",25.819,67,10.632,"B",77.667
"Class4",11,78,59.083,67.467,60.743,"M",45.417,61,55.902,"U",87.239
"Class2",64,93,59.047,21.023,41.537,"O",37.727,55,31.222,"U",45.325
"Class4",39,56,38.964,NA,60.243,"M",45.628,59,59.607,"T",92.277
"Class3",34,22,50.237,66.541,74.722,"L",52.496,85,59.834,"Z",55.005
"Class3",34,83,41.735,58.223,80.873,"T",8.739,77,62.906,"M",59.32
"Class2",90,94,59.741,8.305,45.487,"F",24.215,62,NA,"U",76.071
"Class3",35,34,56.856,53.418,89.724,"L",40.804,88,59.965,"P",65.831
"Class3",29,84,52.219,36.165,78.95,"L",35.058,82,56.159,"Z",60.893
"Class3",36,83,53.665,27.709,74.764,"L",36.869,83,43.916,"A",49.179
"Class2",49,94,56.892,6.398,35.637,"H",35.651,59,18.98,"J",44.768
"Class3",36,48,45.421,60.557,90.701,"V",47.371,75,43.371,"P",65.486
"Class4",31,78,18.543,NA,51.448,"E",45.692,59,49.709,"B",71.548
"Class3",29,83,52.61,28.155,76.311,"V",50.803,92,39.108,"P",61.925
"Class2",62,94,58.416,7.791,49.349,"F",36.539,63,14.643,"B",66.346
"Class3",33,19,47.85,44.438,79.522,"F",37.989,83,NA,"M",53.056
"Class2",69,93,58.245,3.714,44.687,"O",29.893,56,18.444,"B",52.172
"Class1",15,80,72.084,81.535,92.755,"F",49.219,50,53.438,"K",21.341
"Class1",16,79,80.52,72.475,65.794,"Q",61.483,67,NA,"C",17.621
"Class4",21,66,41.828,71.133,70.319,"E",45.837,51,56.116,"U",62.875
"Class1",7,81,56.838,79.53,61.843,"Q",74.592,33,40.05,"R",27.575
"Class1",21,79,73.713,88.66,95.217,"Q",61.112,55,54.915,"R",18.634
"Class2",39,92,59.506,18.792,33.09,"O",22.971,51,14.819,"U",59.403
"Class4",29,73,22.082,69.239,83.657,"L",45.142,61,59.638,"U",67.813
"Class3",30,51,53.87,26.776,78.621,"V",42.436,85,NA,"A",64.763
"Class2",41,92,59.229,11.366,31.738,"F",24.126,68,9.668,"B",66.199
"Class2",82,92,58.464,19.72,46.617,"H",23.15,52,7.064,"B",52.275
"Class2",42,92,59.686,NA,26.169,"L",33.984,59,23.111,"J",64.809
"Class1",11,75,60.972,92.373,42.676,"E",63.476,47,46.386,"U",25.169
"Class1",26,72,79.746,77.705,53.162,"Q",38.096,40,40.918,"J",24.553
"Class2",67,93,58.74,19.058,43.652,"H",20.269,58,4.902,"V",63.314
"Class4",35,84,46.777,45.643,64.05,"J",45.513,55,52.47,"H",78.964
"Class4",4,51,56.633,68.603,71.099,"M",44.982,48,51.934,"T",65.277
"Class2",88,92,60.988,21.603,39.727,"L",20.226,51,2.57,"L",57.381
"Class4",35,85,48.06,26.254,77.789,"U",45.503,59,47.139,"H",71.159
"Class3",29,29,53.83,33.519,75.614,"V",35.726,90,53.454,"M",54.677
"Class1",26,80,77.717,82.231,95.649,"Q",50.442,65,50.78,"K",24.749
"Class4",10,53,40.799,25.789,48.457,"J",45.217,59,60.088,"H",90.428
"Class3",32,38,58.791,33.522,78.738,"L",39.984,78,NA,"D",65.843
"Class1",21,72,87.933,63.758,68.43,"I",68.059,45,62.677,"R",17.163
"Class1",19,71,75.023,83.149,86.48,"H",55.183,34,56.823,"R",26.838
"Class4",22,78,79.582,71.046,81.044,"M",45.815,55,47.298,"H",79.514
"Class4",35,80,75.674,45.819,78.632,"U",44.99,60,54.108,"H",74.047
"Class4",27,86,62.731,35.793,81.168,"M",45.121,59,54.59,"D",61.601
"Class1",15,71,51.836,68.819,58.114,"F",70.195,49,53.783,"R",17.674
"Class3",30,63,55.949,53.047,88.15,"L",31.752,88,43.589,"Z",65.712
"Class1",23,77,86.51,66.459,78.941,"F",24.449,50,NA,"U",16.51
"Class3",29,69,52.039,65.787,89.672,"O",41.396,83,34.666,"A",50.801
"Class2",89,94,60.383,10.208,35.949,"O",33.677,49,16.817,"V",74.676
"Class1",18,69,78.103,71.131,83.799,"E",77.737,42,63.841,"R",29.763
"Class1",14,80,76.873,81.564,96.087,"E",68.329,25,21.379,"R",22.825
"Class1",14,71,76.073,77.339,43.711,"I",49.545,70,51.703,"U",16.138
"Class3",35,26,45.276,31.314,80.832,"O",48.988,74,NA,"A",58.426
"Class3",32,80,54.363,58.779,86.463,"O",32.149,92,39.242,"A",50.733
"Class1",26,73,67.933,62.173,82.72,"I",84.837,40,46.592,"K",21.853
"Class4",6,63,80.145,33.694,77.473,"M",45.527,48,NA,"U",87.263
"Class4",10,63,46.131,73.697,83.546,"M",45.311,57,54.873,"H",94.615
"Class1",7,75,63.81,67.796,40.447,"Q",55.286,49,48.307,"J",19.992
"Class2",68,94,60.817,16.061,33.504,"H",39.789,50,20.075,"J",47.707
"Class1",7,70,66.766,66.19,72.025,"I",49.808,33,35.437,"C",23.201
"Class3",31,22,47.849,40.53,89.392,"F",27.267,80,60.284,"A",57.574
"Class2",42,93,58.366,6.75,44.091,"L",34.563,70,17.507,"U",63.168
"Class2",97,93,56.693,3.742,44.684,"J",33.916,62,19.84,"L",67.894
"Class1",20,69,73.825,72.947,53.57,"I",46.911,64,47.472,"R",21.648
"Class1",20,76,69.4,NA,80.8,"H",69.013,55,37.923,"K",16.788
"Class4",38,94,87.61,54.497,71.656,"M",45.381,50,57.698,"B",73.842
"Class1",27,76,63.202,74.358,53.726,"Q",79.45,51,59.414,"J",28.028
"Class2",58,92,57.707,16.425,31.478,"F",44.753,64,2.434,"L",56.273
"Class3",28,20,56.003,62.837,93.114,"T",38.024,76,55.025,"P",49.932
"Class1",9,77,78.539,84.894,60.05,"I",57.117,69,71.001,"R",20.846
"Class3",28,54,42.857,35.471,74.666,"F",49.732,82,31.926,"P",63.697
"Class4",17,64,53.591,27.817,86.39,"M",46.227,59,56.366,"H",70.654
"Class2",65,92,58.187,15.363,49.612,"L",38.86,56,13.212,"B",54.919
"Class2",60,93,58.694,13.706,26.058,"L",26.128,52,10.704,"V",50.471
"Class2",54,92,59.386,7.415,26.305,"O",31.983,64,14.935,"B",62.767
"Class3",35,19,49.688,46.371,82.672,"O",28.112,92,64.491,"A",56.05
"Class4",27,93,92.798,42.258,58.304,"L",45.598,64,58.155,"U",65.33
"Class2",88,93,60.037,5.061,40.23,"H",46.066,57,11.896,"L",73.897
"Class3",34,33,51.355,70.284,88.7,"O",47.678,88,39.742,"M",51.125
"Class2",45,94,59.718,9.449,41.393,"F",37.869,53,-1.102,"U",68.327
