"D1","D2","D3","Output29","D4","D5","D6","D7","D8","D9","D10","D11"
88,38.62,"V","Class4",65,51.53,65.936,51.259,14.192,"I",18,86.231
87,15.257,"M","Class4",64,47.46,63.718,60.144,50.413,"Q",7,85.819
63,38.291,"X","Class5",5,72.563,70.663,78.029,18.481,"V",95,47.251
88,27.928,"V","Class4",69,58.58,47.43,NA,-2.429,"H",23,83.867
40,38.251,"X","Class5",40,72.305,56.013,73.808,15.603,"V",70,54.614
79,57.368,"X","Class3",42,39.103,56.537,53.437,59.394,"J",69,21.637
60,65.111,"K","Class1",27,23.56,26.897,47.389,52.907,"B",56,18.92
38,37.053,"L","Class5",56,71.227,26.75,92.95,18.249,"Y",87,55.574
60,85.659,"S","Class1",25,24.383,18.498,NA,41.039,"B",34,43.574
22,74.263,"X","Class1",24,23.734,35.26,NA,38.507,"P",41,20.78
73,39.832,"L","Class5",51,69.485,49.312,76.822,14.14,"V",71,103.683
78,68.557,"R","Class3",38,36.608,32.613,81.798,67.726,"J",56,21.638
49,19.489,"R","Class2",70,66.705,71.398,43.863,18.063,"M",49,38.806
48,61.092,"E","Class2",69,43.527,74.634,37.903,30.901,"M",30,45.587
50,58.142,"E","Class1",34,23.087,35.284,3.651,9.205,"I",84,39.25
58,58.33,"E","Class2",68,63.391,67.43,45.379,24.463,"M",56,22.573
87,24.025,"A","Class4",62,40.954,104.003,63.611,50.469,"H",12,87.285
46,61.102,"G","Class2",66,71.047,71.444,46.169,33.535,"A",51,23.108
30,60.93,"S","Class1",28,21.5,21.345,NA,11.967,"I",94,40.787
78,79.552,"C","Class3",45,35.911,35.962,55.928,62.935,"V",69,14.974
58,69.679,"E","Class2",68,79.892,66.345,42.112,25.586,"A",39,38.791
53,31.728,"G","Class2",68,69.499,72.525,44.435,39.972,"A",53,55.586
22,84.903,"E","Class1",32,24.821,22.587,NA,13.579,"B",51,25.424
75,39.085,"O","Class5",35,69.657,36.183,84.447,19.939,"U",71,43.854
62,35.499,"G","Class2",66,67.874,63.712,42.612,30.242,"N",79,37.161
40,55.891,"S","Class1",24,22.77,23.753,8.347,28.945,"M",44,20.317
79,73.728,"Y","Class3",55,33.679,45.506,55.647,56.197,"V",64,32.629
38,50.458,"X","Class1",34,22.605,34.384,67.612,23.44,"F",38,40.505
79,62.13,"C","Class3",NA,38.484,39.204,88.993,54.205,"K",54,23.414
65,39.596,"D","Class5",17,71.533,52.672,69.588,20.048,"E",94,34.432
79,70.898,"R","Class3",24,38.518,43.605,76.2,54.463,"E",57,23.432
50,39.261,"L","Class5",13,69.335,73.588,80.276,14.789,"U",69,42.123
87,43.867,"M","Class4",69,65.695,72.055,63.257,35.04,"H",26,84.442
54,64.485,"X","Class1",25,19.05,46.515,84.588,44.904,"F",29,49.72
37,63.365,"P","Class1",30,23.856,30.941,19.232,51.663,"M",54,16.588
62,39.864,"H","Class5",NA,71.754,67.561,80.67,18.359,"V",96,71.574
79,73.122,"X","Class3",13,35.474,36.66,77.823,58.008,"V",72,24.361
40,68.341,"X","Class1",30,23.015,40.129,64.202,32.174,"M",82,30.705
86,12.661,"E","Class4",45,39.373,80.113,NA,48.86,"C",14,87.006
60,39.563,"X","Class5",33,73.466,40.304,92.354,17.001,"U",91,45.759
79,57.83,"X","Class3",NA,35.183,33.784,62.831,57.626,"K",56,19.864
43,37.506,"L","Class5",19,71.078,94.446,80.618,15.777,"V",88,61.851
88,35.104,"E","Class4",47,52.179,92.029,66.413,33.672,"I",13,82.38
46,50.587,"X","Class1",31,21.792,24.916,21.886,24.923,"F",35,19.496
78,77.967,"C","Class3",56,34.845,35.528,54.141,57.468,"J",57,7.233
86,25.336,"V","Class4",38,41.815,101.445,59.048,20.591,"Q",32,85.587
69,39.381,"H","Class5",36,71.378,31.27,82.028,18.569,"B",80,40.108
32,37.303,"D","Class5",NA,71.291,71.567,85.453,13.954,"U",85,59.411
78,77.067,"X","Class3",43,38.447,36.728,53.276,54.97,"V",69,18.945
88,27.728,"A","Class4",47,55.763,59.67,NA,5.776,"H",31,84.103
79,57.91,"X","Class3",60,33.25,36.557,57.082,58.916,"K",64,22.01
86,19.599,"A","Class4",71,61.997,48.472,53.742,69.275,"H",26,83.278
54,46.983,"G","Class2",68,59.743,62.461,36.918,24.674,"A",77,42.053
78,78.49,"Y","Class3",27,33.697,25.533,79.212,61.334,"E",64,29.243
81,39.021,"D","Class5",22,71.734,68.871,78.267,18.49,"U",84,73.412
66,16.489,"R","Class2",69,76.987,69.099,46.7,6.528,"N",80,45.023
79,54.609,"X","Class3",53,39.419,16.634,63.552,48.604,"J",71,14.271
86,37.01,"P","Class4",41,51.743,46.484,64.394,45.296,"I",12,80.434
70,80.878,"X","Class1",32,23.87,37.268,9.682,45.539,"B",79,27.541
79,75.346,"Y","Class3",56,37.793,32.374,NA,55.974,"C",72,17.035
78,58.632,"X","Class3",31,38.905,63.731,71.667,54.731,"V",56,20.167
51,39.761,"L","Class5",15,70.517,67.919,69.995,11.354,"Y",90,54.718
27,37.041,"D","Class5",28,68.218,53.967,75.439,19.798,"U",77,53.732
85,37.903,"X","Class5",20,73.005,56.621,74.134,15.431,"U",71,60.518
87,22.968,"M","Class4",44,56.194,91.539,51.83,14.426,"H",33,84.687
38,39.351,"X","Class5",20,70.473,62.471,72.072,20.775,"Y",69,43.346
78,69.411,"Y","Class3",51,39.613,55.981,72.818,56.999,"C",70,30.012
79,63.574,"Y","Class3",21,35.182,26.155,63.003,64.395,"V",63,-3.185
88,31.76,"V","Class4",35,53.392,63.356,54.446,66.617,"Q",24,84.477
64,71.099,"P","Class1",26,22.991,22.426,42.588,50.653,"M",23,38.364
88,9.567,"V","Class4",38,42.653,50.945,56.732,58.808,"T",10,84.585
86,21.406,"P","Class4",38,65.14,81.228,62.648,43.856,"Q",23,84.892
37,37.309,"O","Class5",52,66.088,51.639,86.696,18.62,"E",94,45.041
79,38.48,"H","Class5",20,69.023,49.323,86.912,12.499,"E",91,33.918
88,12.989,"V","Class4",68,46.827,82.493,67.819,22.32,"H",33,87.384
78,62.561,"X","Class3",45,38.646,46.294,71.554,62.828,"E",65,12.682
79,73.531,"H","Class3",22,35.166,45.045,65.353,59.818,"J",67,17.352
29,38.352,"X","Class5",56,69.797,50.582,83.941,18.56,"B",80,61.541
51,39.152,"H","Class5",8,73.308,77.296,73.801,16.875,"V",96,69.282
68,37.656,"D","Class5",21,73.092,57.957,69.234,18.693,"V",79,72.118
43,38.164,"X","Class5",36,70.966,64.275,85.641,19.574,"B",76,95.44
82,39.625,"L","Class5",NA,68.941,64.424,92.977,21.544,"B",83,61.632
78,64.43,"R","Class3",35,37.268,43.707,88.801,50.537,"C",69,21.34
79,67.78,"Y","Class3",38,33.597,41.262,84.765,57.7,"V",73,25.024
78,75.643,"H","Class3",31,37.295,61.441,67.044,53.76,"V",58,41.314
88,16.28,"M","Class4",37,41.139,53.909,58.425,27.723,"Q",19,84.031
79,57.157,"H","Class3",51,39.264,50.279,63.013,52.221,"E",71,29.318
51,68.994,"E","Class2",66,57.087,71.136,42.976,10.488,"M",39,56.389
25,39.988,"D","Class5",11,71.005,57.904,66.392,17.843,"V",85,38.91
79,75.113,"X","Class3",NA,36.591,40.104,86.097,59.899,"V",72,29.371
51,64.686,"G","Class2",66,39.664,65.904,41.729,38.365,"R",42,33.369
86,22.615,"A","Class4",38,51.667,75.317,67.367,42.684,"Q",19,87.502
63,38.357,"O","Class5",29,71.525,69.977,75.581,18.296,"U",95,58.303
27,82.921,"E","Class1",29,22.401,28.329,80.425,61.696,"P",97,34.797
78,77.354,"R","Class3",11,35.423,37.013,73.123,51.856,"V",60,21.565
51,17.423,"G","Class2",66,49.749,75.387,47.11,19.341,"R",45,64.23
57,69.786,"R","Class2",69,71.91,72.05,37.213,11.828,"M",57,33.001
87,31.886,"P","Class4",60,60.817,60.214,66.183,17.071,"Q",22,85.907
78,64.665,"X","Class3",56,35.36,49.03,80.581,54.925,"C",60,16.693
88,19.353,"V","Class4",60,56.16,57.59,60.039,54.226,"H",26,85.56
35,74.475,"K","Class1",28,20.081,27.718,75.895,-21.149,"M",79,11.119
88,40.703,"E","Class4",56,51.392,46.647,52.57,67.563,"C",27,85.878
21,49.469,"P","Class1",26,23.185,27.083,7.22,26.084,"P",52,41.767
88,15.03,"E","Class4",46,54.662,84.953,60.691,7.497,"T",23,83.631
87,40.17,"A","Class4",37,53.512,52.35,53.038,38.457,"Q",18,86.595
54,32.043,"Z","Class2",67,65.961,69.618,39.186,29.074,"N",55,46.3
51,24.253,"G","Class2",67,57.412,66.905,47.332,22.536,"M",77,31.131
86,10.706,"M","Class4",60,43.135,84.171,62.579,34.187,"T",21,84.609
87,33.795,"V","Class4",60,67.002,90.24,52.4,30.585,"C",31,87.292
50,38.11,"H","Class5",41,66.656,45.039,77.421,17.252,"B",75,62.837
50,38.209,"O","Class5",49,66.437,31.422,92.177,17.97,"U",95,27.886
22,52.203,"X","Class1",27,19.78,38.138,53.451,72.81,"M",14,33.794
87,33.803,"P","Class4",45,39.272,73.587,63.562,28.793,"T",30,84.507
66,37.072,"L","Class5",56,71.415,59.358,79.951,17.52,"U",96,47.26
45,80.936,"E","Class1",33,24.191,14.724,98.881,66.655,"P",54,26.378
88,16.839,"V","Class4",67,59.527,77.669,56.082,55.308,"H",7,85.376
49,22.494,"R","Class2",71,60.099,63.509,37.812,24.655,"M",52,61.426
76,48.74,"X","Class1",28,20.596,47.386,18.808,24.631,"P",77,26.52
50,37.338,"X","Class5",NA,67.58,59.585,66.708,19.994,"E",91,72.385
62,55.194,"E","Class2",66,43.467,70.794,48.909,33.609,"N",45,57.463
60,38.61,"L","Class5",32,72.666,62.48,73.86,16.781,"E",76,79.289
60,37.629,"D","Class5",35,73.625,61.524,NA,19.935,"Y",72,34.051
87,24.104,"V","Class4",35,64.888,57.941,61.878,31.509,"C",8,83.191
86,10.836,"M","Class4",57,56.924,55.656,65.929,48.239,"T",26,83.095
79,80.282,"H","Class3",47,37.055,31.261,69.621,49.27,"C",63,21.84
78,58.03,"R","Class3",7,35.719,52.661,88.014,58.86,"V",54,16.309
57,39.736,"H","Class5",45,67.246,47.433,90.276,17.044,"B",72,55.494
58,38.2,"R","Class2",67,68.811,72.402,38.664,21.362,"M",43,47.881
35,39.23,"L","Class5",28,66.848,68.008,85.41,17.978,"V",80,35.676
29,39.63,"D","Class5",30,72.962,49.345,71.253,17.579,"E",75,50.913
78,77.336,"X","Class3",43,35.85,47.595,84.022,56.036,"J",72,17.117
86,23.416,"V","Class4",63,51.862,68.463,63.993,7.705,"I",17,85.529
86,27.996,"V","Class4",70,66.95,53.747,60.228,32.437,"I",17,84.279
86,14.687,"E","Class4",64,54.889,67.378,57.49,34.361,"I",15,85.43
35,48.31,"E","Class1",28,19.815,19.374,NA,13.736,"F",27,39.411
31,64.941,"X","Class1",30,19.692,12.173,9.037,6.755,"B",17,39.571
27,38.047,"D","Class5",NA,67.898,70.271,75.717,17.205,"Y",86,74.972
79,38.918,"O","Class5",50,68.386,52.134,93.405,14.975,"E",90,70.073
79,58.325,"X","Class3",33,38.03,32.215,63.859,58.177,"C",64,9.648
79,70.393,"H","Class3",64,36.615,33.117,67.77,57.313,"V",61,31.397
87,14.749,"E","Class4",38,39.602,56.079,59.117,20.389,"T",27,83.758
31,82.283,"X","Class1",25,19.47,25.608,91.783,17.417,"P",10,33.105
78,61.639,"X","Class3",19,37.337,49.267,69.719,57.859,"K",58,22.348
24,76.533,"K","Class1",32,23.285,23.38,91.963,46.04,"I",90,27.496
88,38.582,"P","Class4",48,63.137,40.486,61.248,58.292,"H",10,86.49
87,14.414,"V","Class4",NA,48.165,51.988,NA,61.617,"H",11,84.672
51,43.89,"Z","Class2",67,35.295,71.306,NA,30.343,"A",44,58.801
88,42.444,"V","Class4",62,42.398,73.357,58.588,20.591,"T",15,84.412
54,63.99,"R","Class2",67,41.152,69.21,41.859,42.593,"N",46,31.677
53,46.139,"G","Class2",66,38.124,72.993,39.046,9.231,"R",21,53.891
57,15.226,"R","Class2",67,38.081,63.584,45.664,41.411,"A",54,48.404
64,63.138,"W","Class2",66,69.063,62.493,49.216,31.219,"A",44,53.794
78,64.48,"R","Class3",64,38.993,20.243,57.634,54.204,"V",66,29.317
79,65.301,"X","Class3",11,39.062,28.463,84.831,53.13,"V",64,28.548
87,42.126,"V","Class4",48,41.003,83.426,55.53,34.364,"I",17,84.414
36,73.431,"K","Class1",36,23.256,39.627,50.343,33.904,"I",15,42.257
70,37.193,"O","Class5",13,68.373,54.369,72.881,18.376,"B",76,79.107
79,65.727,"C","Class3",8,38.352,39.441,68.512,65.756,"V",62,17.172
86,23.123,"V","Class4",45,43.291,97.589,51.761,42.364,"I",27,85.336
47,73.387,"X","Class1",29,21.697,45.16,8.205,9.141,"P",78,59.069
52,22.68,"G","Class2",68,47.196,71.068,42.298,26.52,"A",23,17.474
52,65.099,"E","Class2",NA,78.032,58.812,48.944,31.637,"R",21,50.864
68,59.609,"X","Class1",34,23.375,21.489,76.131,50.42,"M",44,44.01
59,38.006,"D","Class5",39,66.353,41.016,76.145,17.617,"U",87,35.904
41,39.149,"O","Class5",52,70.839,65.724,74.303,17.514,"U",75,44.116
86,35.792,"V","Class4",54,47.31,58.386,62.698,46.134,"H",5,82.664
86,15.134,"P","Class4",49,68.228,73.392,56.349,12.556,"I",12,85.026
65,25.363,"Z","Class2",71,51.936,70.079,39.443,16.442,"I",31,48.401
55,25.874,"Z","Class2",66,47.22,65.85,44.824,31.938,"I",26,56.121
66,78.952,"E","Class1",27,22.048,26.574,57.162,16.664,"I",37,19.806
48,66.71,"E","Class1",23,22.958,40.855,69.562,11.613,"M",16,46.898
87,27.184,"A","Class4",39,64.548,62.996,59.489,17.122,"I",27,86.491
68,38.703,"L","Class5",14,68.184,72.122,78.536,22.382,"Y",72,58.02
57,38.02,"D","Class5",22,71.652,43.592,79.954,18.667,"B",82,67.533
59,23.016,"W","Class2",69,41.444,65.759,44.024,29.56,"M",51,33.775
55,39.707,"L","Class5",6,66.004,73.268,72.621,13.995,"B",90,52.208
37,50.328,"E","Class1",32,21.608,25.451,18.44,-5.453,"P",55,17.487
45,22.449,"R","Class2",70,36.955,68.302,44.644,47.761,"A",45,57.039
78,71.971,"R","Class3",22,39.93,32.964,60.192,63.175,"K",63,17.649
78,74.946,"R","Class3",12,33.902,38.2,70.369,63.885,"V",67,12.193
79,72.594,"C","Class3",36,39.757,42.33,NA,58.985,"C",57,19.703
30,45.641,"K","Class1",26,21.543,23.757,34.21,19.573,"I",76,38.807
65,55.86,"R","Class2",NA,63.898,62.582,43.599,28.801,"N",55,54.473
78,62.286,"R","Class3",9,36.239,34.925,79.6,59.31,"C",74,5.845
47,57.498,"E","Class2",67,69.327,72.046,42.656,33.02,"I",67,62.087
88,33.686,"M","Class4",45,44.173,72.773,64.047,23.116,"H",12,86.777
79,69.388,"X","Class3",21,33.421,37.593,76.343,50.777,"V",69,17.833
61,41.586,"R","Class2",NA,46.941,66.49,49.295,18.603,"M",56,59.637
51,36.925,"G","Class2",68,36.246,67.366,40.116,34.982,"N",69,54.502
58,67.3,"W","Class2",71,47.011,73.59,42.43,21.554,"I",24,36.238
51,59.382,"E","Class1",30,22.907,38.04,21.407,38.289,"M",14,5.056
88,17.727,"V","Class4",67,57.386,109.164,57.041,24.915,"C",12,83.622
86,12.53,"A","Class4",34,52.289,78.947,64.174,34.584,"H",18,88.117
68,58.353,"P","Class1",23,20.149,32.277,57.474,48.937,"M",52,24.261
20,47.915,"P","Class1",32,19.196,38.865,8.423,8.925,"B",22,6.476
86,23.712,"V","Class4",NA,41.858,97.994,51.479,36.531,"Q",18,81.568
79,80.017,"C","Class3",58,39.488,51.283,59.84,55.157,"K",61,20.128
81,39.796,"H","Class5",29,66.172,75.654,81.031,13.486,"E",75,60.454
78,63.748,"R","Class3",39,36.593,46.526,82.33,57.161,"J",68,32.81
86,9.329,"V","Class4",52,66.431,64.011,60.129,28.776,"Q",25,86.071
87,43.544,"A","Class4",36,49.497,79.157,61.651,39.288,"T",24,84.555
80,60.372,"P","Class1",28,24.325,38.618,34.693,33.475,"M",70,42.303
55,64.404,"Z","Class2",71,49.017,73.244,45.009,26.759,"M",19,50.807
78,75.228,"H","Class3",55,34.457,48.562,73.22,56.203,"J",65,23.941
79,54.439,"R","Class3",20,35.277,49.14,NA,58.134,"C",65,18.528
79,37.686,"D","Class5",16,69.374,50.909,76.339,21.277,"U",94,36.112
86,10.363,"V","Class4",61,63.081,107.384,59.963,13.644,"C",30,84.888
88,40.216,"V","Class4",68,54.02,69.653,58.994,42.126,"H",31,85.45
48,82.24,"E","Class1",32,24.329,11.431,54.841,40.612,"I",62,15.502
87,11.732,"M","Class4",35,63.01,67.473,66.481,29.797,"Q",15,86.749
43,56.22,"P","Class1",24,19.29,47.489,67.893,32.61,"P",61,41.489
79,66.202,"Y","Class3",63,37.716,61.606,70.648,49.132,"K",70,24.968
79,68.407,"R","Class3",32,39.581,44.859,84.804,58.666,"K",67,29.054
41,57.864,"P","Class1",35,23.128,38.234,91.674,0.275,"P",10,38.721
86,38.101,"V","Class4",34,39.836,75.823,67.048,28.058,"T",29,83.695
52,37.71,"H","Class5",42,68.013,52.784,91.528,18.707,"E",96,51.436
57,38.011,"O","Class5",53,70.482,45.932,87.644,13.525,"B",74,68.616
62,37.798,"O","Class5",12,73.916,42.748,66.125,13.685,"V",85,49.735
47,61.983,"E","Class2",70,49.436,65.728,42.15,20.459,"I",42,45.458
33,38.113,"D","Class5",23,66.82,56.382,84.736,18.287,"B",71,76.42
86,10.314,"E","Class4",70,66.618,72.677,60.887,22.751,"C",5,85.779
51,41.862,"W","Class2",70,58.74,75.636,NA,7.013,"M",65,61.633
31,90.17,"S","Class1",27,19.509,43.788,19.358,52.673,"B",96,15.85
79,65.934,"X","Class3",12,37.937,54.528,86.44,56.781,"J",69,20.068
87,14.796,"V","Class4",65,43.623,61.874,61.68,27.467,"I",6,83.389
67,46.08,"W","Class2",67,38.355,61.97,49.753,40.275,"I",80,48.309
43,37.441,"L","Class5",44,66.122,63.167,80.576,19.834,"E",85,65.879
73,38.697,"X","Class5",56,68.883,76.424,83.772,23.473,"Y",92,49.906
32,38.218,"D","Class5",45,71.259,54.588,83.61,19.21,"V",78,83.077
52,32.847,"Z","Class2",67,63.907,60.271,47.476,30.521,"A",26,39.566
79,72.041,"X","Class3",11,38.799,35.002,59.169,62.16,"V",71,8.315
88,27.562,"E","Class4",39,48.965,77.787,61.341,35.497,"T",33,87.528
87,30.79,"V","Class4",49,61.075,72.023,56.624,45.383,"I",8,83.24
88,28.236,"A","Class4",42,55.6,97.834,60.314,43.96,"C",14,86.655
87,17.648,"V","Class4",35,46.598,77.706,55.836,5.316,"H",14,87.73
87,37.198,"M","Class4",51,45.565,71.165,64.614,6.645,"C",26,86.315
53,32.311,"W","Class2",66,73.082,59.444,44.827,29.677,"M",33,59.979
26,39.461,"O","Class5",36,69.715,42.458,92.208,13.556,"B",85,61.635
45,70.124,"X","Class1",25,23.01,32.886,78.861,42.504,"M",59,18.906
67,13.95,"Z","Class2",69,51.611,67.062,48.714,19.1,"R",33,59.007
47,81.449,"P","Class1",29,24.507,35.282,98.064,36.277,"B",77,44.043
86,9.027,"V","Class4",52,59.193,60.968,58.747,34.353,"T",28,86.851
82,39.439,"D","Class5",54,72.078,79.11,74.786,17.181,"Y",91,52.688
31,61.986,"K","Class1",36,22.37,20.157,25.788,78.706,"M",54,28.211
71,39.488,"O","Class5",NA,67.576,54.931,94.89,22.878,"B",82,57.808
88,10.14,"E","Class4",65,59.284,38.479,54.624,43.101,"I",14,85.099
88,34.748,"M","Class4",65,47.832,91.361,53.331,59.996,"Q",16,84.321
51,74.586,"S","Class1",31,21.364,26.818,6.611,-7.486,"F",76,8.243
73,74.141,"S","Class1",26,19.622,23.267,41.068,59.256,"B",79,23.375
61,14.954,"G","Class2",70,74.217,71.702,37.735,18.132,"M",61,30.744
88,33.935,"M","Class4",33,52.266,86.873,53.965,39.411,"Q",29,85.824
57,62.223,"W","Class2",69,73.019,67.715,49.725,25.208,"I",61,34.645
67,66.161,"X","Class1",34,24.617,29.074,70.062,28.02,"I",65,5.631
88,24.575,"A","Class4",33,46.698,72.418,60.105,0.558,"I",32,85.009
51,46.294,"Z","Class2",71,77.664,65.096,39.116,13.984,"A",40,39.323
71,37.88,"X","Class5",19,73.021,75.688,75.336,16.068,"B",91,32.621
63,38.143,"G","Class2",71,43.945,69.943,43.324,23.566,"M",57,28.316
35,45.129,"S","Class1",32,22.214,17.54,57.142,33.678,"M",20,65.116
36,81.04,"K","Class1",30,22.996,32.824,6.57,20.279,"I",83,42.829
37,38.837,"L","Class5",NA,73.583,47.983,93.413,18.222,"V",86,58.501
86,39.786,"E","Class4",57,55.025,82.7,62.964,55.092,"C",20,84.011
41,39.443,"H","Class5",32,70.234,62.839,77.047,15.794,"B",96,52.918
59,50.657,"G","Class2",67,35.712,66.794,42.069,21.213,"M",34,42.448
49,38.031,"L","Class5",55,66.488,28.269,92.023,14.288,"Y",73,46.809
56,27.691,"E","Class2",67,48.007,65.803,37.301,47.178,"R",26,54.4
79,60.337,"K","Class1",29,21.516,22.884,66.554,48.118,"P",65,36.629
65,66.984,"Z","Class2",68,68.143,68.569,48.275,22.286,"R",19,46.196
73,61.674,"K","Class1",25,24.354,30.58,80.805,14.929,"F",9,34.863
63,39.229,"D","Class5",21,66.509,37.211,69.891,21.097,"V",74,48.055
49,34.036,"W","Class2",70,50.688,63.829,49.155,37.628,"A",52,40.539
57,13.488,"W","Class2",NA,52.622,60.12,43.192,33.454,"I",51,39.527
63,62.59,"G","Class2",66,51.838,60.877,49.931,20.986,"A",71,52.306
52,67.484,"E","Class2",70,39.256,58.655,46.06,15.561,"N",69,44.6
26,70.104,"E","Class1",31,21.553,27.755,88.895,45.016,"P",81,40.601
45,60.356,"S","Class1",24,22.991,29.674,57.987,48.905,"F",60,42.118
42,82.521,"S","Class1",36,20.933,43.88,57.889,61.598,"I",87,54.223
61,39.937,"Z","Class2",67,45.119,67.064,36.302,-0.006,"I",38,64.174
58,86.459,"E","Class1",NA,24.399,23.319,24.026,54.657,"B",89,35.185
79,68.016,"Y","Class3",61,37.23,65.891,82.187,60.809,"C",69,24.954
77,38.93,"H","Class5",28,71.431,65.867,77.248,17.859,"U",86,25.924
51,57.907,"Z","Class2",70,55.194,69.345,NA,7.708,"I",67,59.074
87,26.661,"E","Class4",62,48.848,113.156,67.119,42.541,"C",30,84.743
56,37.442,"W","Class2",67,35.603,71.786,49.588,10.619,"A",34,45.762
35,37.862,"L","Class5",17,68.898,59.524,79.88,21.559,"B",88,41.964
79,61.919,"C","Class3",57,34.73,39.352,70.968,58.881,"K",55,15.521
46,39.945,"H","Class5",13,66.46,48.27,67.687,16.052,"E",72,67.158
48,54.896,"E","Class2",71,71.129,68.453,41.765,43.425,"M",75,45.056
66,55.154,"G","Class2",67,61.902,71.427,49.83,36.192,"A",43,54.514
56,39.994,"L","Class5",34,71.689,56.005,66.752,16.881,"E",86,73.528
87,12.087,"M","Class4",69,60.634,66.322,60.558,26.172,"I",8,85.032
88,43.636,"P","Class4",71,65.455,83.144,NA,31.066,"I",33,83.921
33,37.553,"O","Class5",10,68.792,48.139,69.024,15.236,"U",70,42.686
79,59.527,"X","Class3",51,34.765,43.088,71.424,60.859,"C",59,15.609
45,23.855,"W","Class2",69,54.41,77.264,46.659,49.047,"A",51,56.48
60,42.842,"R","Class2",67,61.101,69.452,47.594,18.642,"R",56,43.642
87,34.565,"M","Class4",69,54.752,74.404,54.734,52.419,"T",10,84.633
87,23.511,"A","Class4",64,44.083,56.37,55.813,20.285,"Q",14,84.342
61,17.332,"W","Class2",69,71.803,62.724,44.733,19.124,"M",28,35.733
51,37.159,"X","Class5",13,73.138,40.903,86.245,13.099,"U",96,86.704
53,43.472,"G","Class2",69,64.755,61.667,39.933,39.739,"R",45,45.209
66,79.174,"E","Class1",36,22.205,43.569,41.267,51.44,"P",25,41.888
88,11.112,"A","Class4",55,62.623,59.639,52.866,36.116,"T",18,84.956
79,59.744,"X","Class3",62,34.718,43.561,67.228,55.189,"K",68,4.115
46,60.414,"G","Class2",68,67.432,64.735,46.871,38.44,"M",27,26.972
76,60.243,"X","Class1",29,22.573,24.334,40.287,26.801,"P",72,2.859
26,37.947,"O","Class5",20,67.681,43.46,67.827,21.219,"E",72,53.386
64,64.899,"R","Class2",66,73.458,66.482,36.312,9.866,"I",61,38.724
78,63.729,"R","Class3",40,38.992,38.991,84.281,58.487,"E",72,30.641
63,38.226,"G","Class2",70,49.975,70.271,42.137,26.183,"M",75,58.087
