"J1","J2","J3","J4","J5","J6","J7","J8","J9","Output35","J10","J11"
57.404,72.209,40.838,"T",74,31,12.415,90,"X","Class2",31.127,64.027
69.26,72.367,52.509,"R",81,28,13.508,51,"C","Class2",35.638,73.729
63.959,69.993,86.572,"D",91,19,80.954,80,"W","Class1",81,59.392
44.299,43.292,65.153,"K",92,18,12.342,49,"Y","Class2",50.564,54.898
52.834,59.228,64.087,"F",92,10,92.765,86,"Y","Class1",46.111,58.36
99.076,14.934,82.465,"R",20,50,19.276,23,"A","Class3",80.358,45.682
89.441,16.405,82.959,"R",19,44,16.996,8,"A","Class3",44.517,53.005
82.732,13.836,81.85,"R",16,NA,23.939,21,"M","Class3",15.848,61.709
81.172,12.192,79.003,"M",19,87,15.556,34,"M","Class3",73.426,59.064
95.765,11.568,83.01,"M",22,41,17.352,8,"U","Class3",69.921,72.891
84.946,25.984,82.335,"P",17,70,16.9,35,"U","Class3",87.718,59.257
92.773,13.159,78.935,"M",17,89,18.72,13,"U","Class3",22.199,65.01
51.373,65.4,46.377,"K",80,27,76.314,75,"Y","Class1",78.725,58.281
86.91,25.278,82.157,"M",19,78,21.775,5,"M","Class3",5.701,38.651
58.352,79.844,56.956,"T",57,29,13.12,66,"Q","Class2",74.609,58.252
66.403,44.603,26.246,"S",52,23,13.532,53,"Q","Class2",50.86,46.118
94.836,15.027,83.472,"M",18,24,26.073,32,"E","Class3",42.044,80.468
91.287,20.486,80.223,"X",21,60,25.098,8,"K","Class3",56.477,78.004
61.565,40.12,61.348,"S",60,53,14.128,90,"C","Class2",49.051,26.893
49.808,67.241,47.781,"S",81,56,75.772,75,"C","Class1",71.492,59.673
79.871,24.615,82.526,"P",19,75,24.92,16,"M","Class3",54.998,64.385
55.725,48.301,NA,"D",84,32,80.28,76,"C","Class1",72.995,59.868
82.179,45.29,39.267,"R",82,40,13.278,54,"Q","Class2",60.069,42.801
58.221,30.456,69.199,"L",88,54,13.783,53,"C","Class2",38.379,74.329
99.875,21.566,80.835,"P",16,84,24.282,31,"M","Class3",74.732,45.914
88.527,19.74,83.293,"R",23,74,22.194,26,"E","Class3",26.152,70.629
52.585,75.98,45.023,"Q",78,29,83.105,72,"W","Class1",61.311,59.87
77.884,18.097,82.22,"P",24,44,11.403,27,"U","Class3",65.468,72.326
103.564,22.202,83.836,"X",17,42,14.684,31,"M","Class3",44.899,74.167
89.123,13.53,82.468,"M",15,77,23.749,8,"K","Class3",98.529,43.917
69.404,40.217,31.158,"S",52,17,14.565,85,"X","Class2",23.327,68.706
56.942,57.928,NA,"F",79,12,72.706,92,"Y","Class1",70.516,59.368
54.618,65.993,88.497,"S",64,51,12.998,92,"C","Class2",75.448,91.364
81.83,20.3,77.989,"N",15,29,18.329,12,"M","Class3",17.379,57.117
77.531,16.648,81.697,"R",18,92,16.302,26,"M","Class3",4.98,38.405
94.666,12.884,82.833,"R",19,52,17.12,18,"U","Class3",57.542,72.82
38.475,41.003,35.512,"L",60,32,12.71,54,"C","Class2",16.985,79.94
35.486,34.191,43.156,"F",86,16,75.137,89,"B","Class1",62.54,59.214
68.661,26.053,81.688,"R",20,67,26.528,34,"A","Class3",48.218,37.014
65.021,37.031,46.425,"Q",87,23,83.816,72,"W","Class1",44.553,59.379
80.489,10.821,79.226,"R",17,75,21.659,14,"K","Class3",69.148,43.646
94.405,14.495,82.686,"R",18,32,16.939,6,"E","Class3",7.592,59.914
25.282,66.299,43.44,"S",56,24,13.433,76,"Q","Class2",56.818,91.17
54.303,69.773,56.968,"K",81,21,77.928,82,"B","Class1",72.049,58.427
71.548,36.467,87.541,"D",88,48,77.949,91,"N","Class1",62.603,59.976
55.428,54.324,62.539,"L",62,45,12.469,63,"Q","Class2",59.363,39.425
26.387,43.585,98.609,"F",84,25,82.71,84,"B","Class1",35.385,58.083
77.799,12.3,83.855,"P",15,42,23.251,36,"M","Class3",7.123,73.871
95.664,12.402,78.602,"P",18,95,27.517,19,"M","Class3",78.281,52.955
82.63,15.907,81.026,"P",20,27,14.063,26,"A","Class3",31.533,77.431
37.932,35.815,87.975,"K",91,52,80.331,91,"Y","Class1",79.979,58.323
48.837,59.166,46.724,"S",96,44,81.813,79,"C","Class1",51.527,58.128
58.663,75.721,34.273,"S",21,50,11.991,80,"X","Class2",39.783,73.29
28.848,69.494,60.921,"F",76,41,80.572,81,"N","Class1",58.923,59.728
86.254,9.538,78.741,"M",21,74,12.332,16,"M","Class3",76.615,74.527
83.279,18.173,83.017,"N",23,62,17.05,27,"M","Class3",31.723,67.807
95.668,18.216,81.439,"M",23,28,22.977,7,"K","Class3",69.498,50.148
50.479,42.489,77.939,"D",86,37,88.833,89,"Y","Class1",29.881,58.4
48.052,72.821,54.084,"F",77,4,64.011,92,"Y","Class1",49.916,58.997
39.647,33.8,38.508,"Q",78,56,76.041,89,"W","Class1",41.573,59.637
79.524,20.947,82.133,"X",23,95,21.058,10,"A","Class3",86.343,58.893
100.382,16.673,83.728,"M",16,69,23.832,14,"K","Class3",63.389,42.359
76.535,21.916,81.183,"P",21,53,20.471,33,"U","Class3",52.128,54.027
73.019,95.738,72.641,"T",61,23,12.512,67,"X","Class2",53.406,68.167
37.592,32.003,70.981,"D",97,18,77.008,81,"B","Class1",52.667,59.306
36.981,84.8,72.19,"L",94,18,10.654,49,"Q","Class2",43.418,27.339
53.667,63.747,37.926,"F",80,3,74.485,81,"Y","Class1",68.411,59.727
63.834,39.434,64.676,"L",85,15,11.969,94,"L","Class2",66.82,57.178
76.97,24.214,78.686,"M",15,46,19.407,28,"M","Class3",74.891,67.367
64.814,75.818,84.592,"T",84,25,13.219,91,"Q","Class2",62.232,19.939
68.029,79.795,45.246,"S",47,34,13.663,60,"Q","Class2",24.109,36.589
50.3,93.559,86.595,"K",91,22,10.432,54,"Y","Class2",14.421,71.275
69.784,50.793,19.488,"L",39,44,14.259,52,"X","Class2",67.767,75.934
91.103,47.733,35.188,"Q",81,29,78.835,87,"B","Class1",36.856,58.098
84.16,22.294,80.54,"N",22,31,22.85,17,"M","Class3",10.922,76.632
72.581,88.902,81.435,"R",76,48,14.253,60,"X","Class2",3.391,46.673
84.025,19.117,78.738,"M",16,14,16.504,34,"U","Class3",33.321,49.211
37.59,85.92,22.838,"T",70,24,13.336,63,"X","Class2",74.458,42.555
48.708,48.32,42.422,"S",76,37,71.184,86,"N","Class1",53.031,58.204
48.881,49.65,65.471,"S",80,16,76.164,74,"N","Class1",32.772,59.869
64.433,47.753,82.448,"K",32,43,12.642,57,"C","Class2",47.059,91.487
46.601,43.44,NA,"S",80,35,77.893,82,"B","Class1",45.601,58.381
53.747,40.657,65.397,"S",77,14,72.906,87,"Y","Class1",50.63,58.87
80.039,21.49,80.709,"M",17,NA,17.083,15,"U","Class3",81.53,66.786
96.463,49.922,67.145,"T",54,31,11.874,81,"C","Class2",23.549,83.563
51.531,73.591,NA,"S",96,5,77.628,77,"N","Class1",48.626,58.065
45.094,70.93,51.821,"D",89,21,71.48,84,"Y","Class1",85.584,59.474
58.385,56.555,68.267,"S",96,26,76.719,78,"B","Class1",34.345,59.632
50.184,67.944,44.899,"K",92,54,13.169,71,"C","Class2",36.783,32.727
84.855,12.972,79.895,"N",20,95,22.517,35,"M","Class3",48.655,59.794
35.694,55.339,23.108,"S",90,6,77.734,79,"C","Class1",67.43,58.107
42.7,48.671,42.854,"K",86,55,75.549,85,"B","Class1",69.74,59.504
76.644,26.801,81.357,"N",22,44,20.538,21,"E","Class3",40.161,42.266
69.672,40.001,53.811,"Q",80,41,70.21,79,"Y","Class1",66.954,58.749
53.766,32.388,24.133,"L",28,51,12.082,74,"C","Class2",19.759,38.261
81.116,12.293,80.834,"N",18,16,18.419,23,"M","Class3",76.47,80.521
84.878,19.139,82.048,"X",24,67,8.829,22,"U","Class3",95.537,64.372
24.889,57.421,53.148,"K",83,47,85.512,80,"C","Class1",60.734,58.165
49.145,59.7,79.618,"K",83,44,70.521,74,"N","Class1",48.575,59.556
70.003,77.681,20.698,"D",93,25,79.379,72,"W","Class1",55.784,58.399
38.985,59.744,71.223,"F",94,20,76.852,77,"C","Class1",85.388,58.765
83.117,54.222,58.001,"L",38,16,11.744,72,"C","Class2",40.835,21.087
89.572,18.688,83.31,"R",16,NA,21.675,5,"A","Class3",58.853,71.943
40.989,55.391,13.26,"Q",96,27,78.967,76,"W","Class1",55.162,58.139
55.029,97.455,40.064,"R",22,29,13.262,83,"C","Class2",19.716,61.653
84.59,19.807,80.307,"R",19,49,13.917,12,"K","Class3",31.293,57.158
61.232,78.15,4.687,"K",27,12,12.98,83,"C","Class2",1.529,38.876
60.823,39.377,42.126,"D",97,23,88.342,75,"W","Class1",54.042,58.326
76.77,25.214,81.501,"P",15,36,13.624,6,"U","Class3",3.466,44.7
90.37,25.632,81.312,"N",22,35,21.307,22,"A","Class3",9.26,37.022
86.551,9.323,NA,"P",17,78,21.882,29,"M","Class3",27.319,79.528
68.364,19.006,81.716,"R",18,99,20.625,36,"M","Class3",34.211,55.728
90.801,19.538,79.211,"R",15,69,9.634,36,"U","Class3",43.379,48.981
91.369,11.775,83.434,"R",24,78,17.34,8,"U","Class3",97.431,56.263
85.298,11.064,82.493,"N",22,55,17.264,6,"U","Class3",68.591,69.741
89.218,46.817,78.38,"S",25,45,12.561,51,"L","Class2",16.175,49.603
57.626,71.878,43.826,"K",97,10,81.961,85,"N","Class1",77.402,58.119
72.41,39.987,46.589,"R",93,56,14.315,83,"C","Class2",49.014,23.323
52.729,37.926,38.441,"T",61,50,13.113,67,"C","Class2",7.312,38.606
41.659,47.491,56.363,"K",47,34,13.164,59,"L","Class2",52.602,32.826
57.881,46.583,38.541,"S",29,12,14.174,83,"X","Class2",58.614,72.338
62.562,19.071,82.988,"M",22,NA,15.849,8,"K","Class3",22.039,48.804
27.297,74.209,58.814,"K",83,11,74.816,69,"C","Class1",64.161,59.758
79.219,41.037,37.69,"D",95,16,81.114,78,"C","Class1",54.366,59.681
69.965,45.822,15.275,"T",32,39,12.9,94,"Y","Class2",33.119,60.997
55.099,62.255,27.419,"S",87,23,11.224,66,"L","Class2",0.952,63.494
70.516,50.165,52.695,"S",70,20,12.19,72,"X","Class2",60.199,62.075
86.743,23.795,81.77,"X",20,73,17.037,17,"U","Class3",16.905,61.479
60.49,57.874,78.567,"L",92,17,11.105,61,"X","Class2",25.026,49.049
64.392,42.994,77.598,"Q",78,50,73.019,69,"B","Class1",36.489,59.572
32.561,48.531,72.657,"S",83,17,80.271,72,"B","Class1",31.484,58.799
83.597,25.016,81.141,"M",22,19,17.241,25,"A","Class3",98.51,40.521
63.203,68.14,59.372,"R",89,31,12.505,89,"X","Class2",21.623,31.893
49.921,42.3,58.058,"Q",77,20,75.952,84,"B","Class1",68.539,59.743
52.891,64.405,39.346,"R",84,18,13.934,72,"L","Class2",40.141,33.126
91.677,11.529,NA,"X",20,56,15.458,21,"K","Class3",85.836,40.499
40.593,47.129,81.331,"Q",77,44,75.995,73,"N","Class1",69.314,59.397
68.545,22.495,83.453,"X",17,75,17.672,6,"U","Class3",27.782,46.136
76.553,79.029,99.888,"T",57,51,13.074,50,"Q","Class2",37.006,92.26
76.718,20.541,82.193,"M",17,48,25.22,36,"E","Class3",93.68,68.283
67.176,34.925,22.315,"K",57,52,13.287,61,"Y","Class2",40.66,75.147
62.998,43.859,81.983,"K",97,54,77.064,80,"C","Class1",84.304,59.469
31.849,76.485,79.868,"Q",80,NA,73.528,87,"N","Class1",72.636,58.694
55.677,81.723,67.787,"T",40,52,12.998,66,"Q","Class2",9.962,65.697
75.828,49.138,71.343,"T",79,44,12.366,87,"C","Class2",22.324,77.316
61.051,72.226,67.84,"S",79,53,75.995,83,"C","Class1",74.2,59.897
71.563,78.001,37.443,"Q",91,34,77.766,69,"B","Class1",77.881,59.813
43.851,55.646,51.211,"R",80,41,12.906,92,"Q","Class2",44.333,43.004
56.09,85.95,33.704,"L",84,48,11.387,85,"X","Class2",22.222,50.843
54.137,60.563,52.272,"K",92,22,79.957,80,"B","Class1",62.972,59.404
39.098,55.127,75.797,"F",82,13,77.852,78,"N","Class1",34.02,58.743
75.112,55.028,76.202,"D",90,9,79.073,91,"Y","Class1",51.965,58.052
61.739,33.073,64.254,"Q",75,26,80.003,80,"Y","Class1",33.306,59.119
86.361,24.957,82.351,"X",19,94,25.134,26,"A","Class3",7.931,38.128
96.218,26.64,NA,"R",21,38,32.614,13,"U","Class3",41.846,77.58
87.32,16.5,83.023,"N",21,15,23.922,31,"U","Class3",28.212,51.309
55.583,34.761,58.136,"K",40,48,10.937,46,"C","Class2",25.491,35.61
61.148,62.999,64.854,"K",91,46,82.804,84,"B","Class1",51.309,59.931
77.336,22.256,81.216,"N",19,63,15.351,15,"U","Class3",13.535,78.36
84.612,9.012,83.077,"N",17,27,24.147,26,"A","Class3",48.045,47.632
85.746,68.869,41.013,"T",24,17,12.872,79,"L","Class2",11.39,84.065
86.061,24.921,83.058,"P",23,61,24.548,27,"E","Class3",23.762,42.959
39.086,49.36,74.59,"Q",83,32,75.958,79,"C","Class1",32.588,58.791
45.127,29.47,29.136,"K",50,28,11.058,63,"C","Class2",38.48,69.032
40.607,37.792,70.294,"L",31,22,13.313,62,"L","Class2",52.815,41.661
45.532,40.155,57.643,"L",79,48,13.313,71,"Q","Class2",40.642,70.312
47.15,61.015,44.064,"K",95,15,79.039,81,"Y","Class1",80.509,59.548
75.001,22.231,81.17,"R",16,86,21.421,26,"U","Class3",24.194,68.682
42.604,90.716,27.43,"K",58,36,11.555,91,"C","Class2",52.182,32.15
85.752,19.025,80.55,"R",21,66,19.876,35,"K","Class3",93.412,69.437
75.2,79.772,67.914,"T",49,50,11.376,71,"Q","Class2",65.771,66.614
48.063,76.28,77.203,"K",97,49,70.973,88,"B","Class1",44.95,58.646
85.702,22.471,83.99,"P",15,43,19.573,35,"K","Class3",52.495,45.192
94.925,88.625,68.493,"T",22,32,12.958,61,"L","Class2",6.442,78.309
80.225,67.728,51.153,"K",85,29,81.915,77,"N","Class1",53.247,58.807
20.487,42.067,39.727,"S",89,37,74.941,71,"N","Class1",59.681,59.861
79.768,16.722,83.432,"X",24,26,23.492,17,"U","Class3",79.297,53.923
85.493,20.437,81.201,"N",15,NA,23.858,36,"E","Class3",68.651,69.358
50.248,49.749,37.958,"T",61,18,11.852,56,"C","Class2",33.758,24.353
72.169,77.078,38.534,"Q",93,NA,78.554,76,"N","Class1",37.529,59.485
45.997,77.201,42.923,"Q",83,5,68.917,83,"N","Class1",59.165,59.311
69.623,90.514,67.857,"S",70,12,12.771,51,"L","Class2",3.551,90.516
56.702,51.116,91.563,"F",96,28,82.216,83,"B","Class1",69.5,58.111
68.032,84.432,77.063,"K",23,35,11.287,79,"X","Class2",29.873,82.55
71.233,51.393,68.638,"K",46,56,12.034,49,"Y","Class2",67.68,32.491
63.856,60.219,58.641,"D",97,34,75.739,81,"N","Class1",62.666,58.722
70.758,45.934,76.338,"F",78,17,64.006,87,"Y","Class1",33.174,59.778
46.02,88.975,47.282,"L",37,45,12.626,64,"Y","Class2",14.572,70.321
87.69,20.326,83.174,"R",22,89,14.415,11,"E","Class3",90.149,49.953
61.938,29.044,94.986,"R",86,NA,13.59,53,"C","Class2",38.061,31.972
77.53,26.258,83.716,"X",23,43,17.15,26,"A","Class3",51.549,74.079
72.315,26.318,83.318,"M",21,98,20.377,15,"U","Class3",55.053,68.189
52.257,73.587,67.42,"K",94,16,86.687,91,"C","Class1",44.612,59.253
61.405,67.117,NA,"R",38,29,12.889,89,"Q","Class2",29.578,75.134
43.919,83.827,81.829,"K",60,NA,10.193,78,"L","Class2",59.375,41.668
91.934,10.875,81.669,"R",18,23,14.231,6,"A","Class3",23.213,49.447
56.521,51.708,76.396,"R",21,38,12.605,76,"L","Class2",47.733,47.544
69.735,69.599,79.158,"K",71,45,11.219,52,"Q","Class2",55.254,63.031
51.904,44.006,28.813,"K",95,43,85.068,73,"C","Class1",75.312,59.673
65.06,43.069,27.178,"T",45,21,12.879,64,"X","Class2",47.511,88.875
73.885,74.241,45.482,"L",92,35,12.923,48,"X","Class2",15.208,32.166
51.045,73.492,62.623,"R",60,18,12.425,87,"L","Class2",24.474,34.587
62.101,57.009,54.618,"T",60,18,12.103,64,"X","Class2",24.505,79.336
45.863,64.359,38.04,"T",94,28,12.321,65,"X","Class2",24.047,52.21
64.638,34.095,56.529,"K",46,56,11.898,83,"C","Class2",3.24,44.062
64.085,33.681,87.207,"K",97,50,74.344,89,"N","Class1",64.422,59.479
79.094,17.719,82.302,"P",15,60,19.091,21,"K","Class3",74.119,67.298
53.194,47.432,61.035,"S",79,44,11.374,47,"Q","Class2",48.47,68.815
75.468,70.711,33.995,"L",40,28,11.191,69,"Q","Class2",28.83,60.259
76.18,31.752,71.812,"T",72,42,12.377,73,"L","Class2",0.96,56.909
48.919,75.801,51.005,"Q",82,33,79.52,77,"B","Class1",81.295,58.04
69.161,58.297,64.232,"S",75,17,11.827,65,"X","Class2",63.045,53.393
76.901,86.374,57.21,"R",22,56,14.701,58,"X","Class2",69.382,81.941
49.477,74.718,28.597,"S",95,47,73.733,73,"C","Class1",58.603,58.196
85.255,15.091,80.834,"R",17,49,18.023,9,"K","Class3",66.014,74.718
83.354,25.288,79.255,"R",23,38,22.781,29,"M","Class3",57.764,45.857
43.426,37.965,40.891,"S",23,44,12.071,54,"Y","Class2",57.806,44.495
51.197,70.219,66.735,"K",80,7,78.37,71,"N","Class1",43.595,59.931
66.72,42.677,100.7,"Q",77,NA,74.486,81,"N","Class1",31.265,59.347
32.14,40.079,71.861,"Q",81,23,79.927,86,"W","Class1",69.324,59.605
51.165,75.444,NA,"K",81,28,11.68,48,"Q","Class2",74.72,70.421
65.008,98.58,NA,"S",89,53,12.775,70,"Q","Class2",25.752,58.937
84.736,18.455,80.935,"N",24,63,20.079,20,"U","Class3",94.178,74.091
83.268,44.261,103.577,"D",96,42,71.852,81,"Y","Class1",39.962,59.711
58.952,53.789,44.866,"K",64,29,12.853,92,"L","Class2",54.519,30.677
87.395,21.916,80.013,"M",21,47,17.72,30,"U","Class3",71.345,42.648
83.169,24.203,81.139,"P",22,91,15.926,27,"U","Class3",31.886,42.982
78.191,59.511,59.387,"Q",95,53,79.684,83,"B","Class1",41.38,58.044
85.299,26.644,81.416,"X",18,34,25.027,7,"A","Class3",24.213,57.773
87.543,19.734,86.004,"X",22,99,12.513,27,"E","Class3",53.466,63.319
56.275,75.996,75.922,"S",81,3,81.162,79,"N","Class1",59.765,58.401
48.39,78.54,75.115,"K",89,5,82.273,85,"Y","Class1",68.638,59.174
70.42,17.544,82.69,"R",24,25,19.926,8,"K","Class3",4.847,54.247
74.339,10.764,81.598,"P",24,47,20.25,18,"E","Class3",8.679,34.345
82.687,17.387,81.994,"P",17,88,18.214,10,"A","Class3",64.956,74.626
18.863,50.516,55.326,"K",85,43,68.18,73,"Y","Class1",79.825,58.575
88.082,17.798,82.473,"R",18,51,20.965,25,"M","Class3",34.506,63.617
57.787,46.037,60.616,"Q",79,15,76.365,91,"Y","Class1",63.867,59.037
66.888,65.249,101.575,"F",81,50,82.723,83,"B","Class1",30.693,58.268
77.715,26.136,80.291,"X",24,91,17.221,14,"E","Class3",94.144,77.658
67.151,70.148,109.945,"D",79,55,75.691,81,"B","Class1",42.906,58.042
95.903,16.497,84.116,"P",22,14,24.147,13,"E","Class3",92.478,53.528
91.15,27,NA,"R",17,50,18.835,36,"E","Class3",82.384,61.381
48.938,71.212,19.508,"F",91,16,84.302,73,"B","Class1",54.13,58.48
82.318,17.367,79.821,"X",17,68,19.25,23,"K","Class3",89.768,44.671
79.595,10.248,80.899,"X",17,28,16.327,31,"U","Class3",86.043,61.148
94.443,26.981,80.432,"X",21,85,9.105,25,"E","Class3",87.323,75.069
69.773,79.225,63.179,"S",90,16,78.719,69,"Y","Class1",65.823,58.298
63.964,30.859,43.872,"K",64,15,12.04,92,"C","Class2",75.346,20.269
48.415,80.546,62.268,"K",91,9,72.95,81,"N","Class1",33.05,58.449
70.114,17.901,79.144,"N",18,61,25.12,27,"E","Class3",97.563,51.476
50.648,74.249,27.248,"D",83,9,79.006,80,"B","Class1",54.337,58.249
89.569,16.645,82.752,"X",24,22,24.555,17,"E","Class3",35.968,42.19
68.576,36.855,62.959,"T",58,23,13.241,61,"C","Class2",29.343,64.207
78.579,12.737,81.299,"R",24,32,18.513,24,"A","Class3",40.036,71.17
84.699,24.846,82.776,"N",16,40,19.463,29,"U","Class3",90.209,78.829
35.345,38.796,34.702,"S",87,NA,77.576,74,"N","Class1",34.672,58.929
56.904,84.531,58.343,"T",62,NA,14.402,77,"Q","Class2",15.466,35.896
46.319,58.515,37.236,"S",76,NA,75.439,69,"N","Class1",58.533,59.221
80.519,18.64,83.324,"R",22,20,20.005,10,"E","Class3",28.51,67.754
47.25,38.623,49.649,"D",84,8,79.251,93,"C","Class1",60.569,59.588
57.893,33.614,54.017,"K",77,47,74.394,82,"N","Class1",38.653,58.376
88.298,20.115,79.179,"X",21,52,21.658,16,"M","Class3",66.627,50.617
86.116,23.686,81.41,"N",15,97,18.832,11,"K","Class3",88.321,42.542
41.342,37.806,NA,"S",86,7,75.803,85,"W","Class1",59.277,59.256
62.214,68.761,72.673,"S",80,16,12.428,89,"Q","Class2",34.532,46.822
14.923,71.473,55.404,"S",77,11,79.352,85,"C","Class1",80.543,59.282
86.374,19.474,83.583,"P",24,70,20.488,18,"M","Class3",43.586,80.23
68.389,63.771,51.583,"T",52,53,10.682,51,"Q","Class2",49.647,93.57
86.839,17.053,82.963,"M",15,NA,20.094,14,"E","Class3",72.116,66.3
73.773,27.421,45.477,"T",74,24,13.798,63,"Y","Class2",35.902,79.52
26.98,73.768,72.272,"F",76,53,68.523,70,"N","Class1",31.288,58.878
-8.899,76.148,98.475,"S",97,9,77.008,93,"Y","Class1",80.374,59.887
68.582,98.417,81.913,"K",92,55,12.374,71,"C","Class2",31.264,24.081
83.137,23.613,NA,"M",15,72,17.528,30,"M","Class3",65.565,60.093
76.284,62.114,62.879,"T",73,44,12.769,77,"X","Class2",54.19,88.028
